3294_167597_000000_000000	CHAPTER IX	CHAPTER nine	false	2.91	7.905	21.20711
3294_167597_000003_000003	As birds migrate to somewhere beyond the sea, so these men with their wives and children streamed to the southeast, to parts where none of them had ever been.	As birds migrate to somewhere beyond the sea, so these men with their wives and children streamed to the southeast, to parts where none of them had ever been.	true	147.41	156.46	17
3294_167597_000003_000004	They set off in caravans, bought their freedom one by one or ran away, and drove or walked toward the "warm rivers." Many of them were punished, some sent to Siberia, many died of cold and hunger on the road, many returned of their own accord, and the movement died down of itself just as it had sprung up, without apparent reason.	They set off in caravans, bought their freedom one by one or ran away, and drove or walked toward the "warm rivers." Many of them were punished, some sent to Siberia, many died of cold and hunger on the road, many returned of their own accord, and the movement died down of itself just as it had sprung up, without apparent reason.	false	157.01	177.97	20.27493
3294_167597_000003_000005	But such undercurrents still existed among the people and gathered new forces ready to manifest themselves just as strangely, unexpectedly, and at the same time simply, naturally, and forcibly.	But such undercurrents still existed among the people and gathered new forces ready to manifest themselves just as strangely, unexpectedly, and at the same time simply, naturally, and forcibly.	false	179	192.88	20.975758
3294_167597_000003_000006	Now in 1812, to anyone living in close touch with these people it was apparent that these undercurrents were acting strongly and nearing an eruption.	Now in eighteen twelve, to anyone living in close touch with these people it was apparent that these undercurrents were acting strongly and nearing an eruption.	true	193.34	202.57	20.621056
3294_167597_000004_000000	Alpatych, who had reached Bogucharovo shortly before the old prince's death, noticed an agitation among the peasants, and that contrary to what was happening in the Bald Hills district, where over a radius of forty miles all the peasants were moving away and leaving their villages to be devastated by the Cossacks, the peasants in the steppe region round Bogucharovo were, it was rumored, in touch with the French, received leaflets from them that passed from hand to hand, and did not migrate.	Alpatych, who had reached Bogucharovo shortly before the old prince's death, noticed an agitation among the peasants, and that contrary to what was happening in the Bald Hills district, where over a radius of forty miles all the peasants were moving away and leaving their villages to be devastated by the Cossacks, the peasants in the steppe region round Bogucharovo were, it was rumored, in touch with the French, received leaflets from them that passed from hand to hand, and did not migrate.	false	203.72	234.28	20.965443
3294_167597_000004_000001	He learned from domestic serfs loyal to him that the peasant Karp, who possessed great influence in the village commune and had recently been away driving a government transport, had returned with news that the Cossacks were destroying deserted villages, but that the French did not harm them.	He learned from domestic serfs loyal to him that the peasant Karp, who possessed great influence in the village commune and had recently been away driving a government transport, had returned with news that the Cossacks were destroying deserted villages, but that the French did not harm them.	true	234.83	253.21	21.623106
3294_167597_000004_000002	Alpatych also knew that on the previous day another peasant had even brought from the village of Visloukhovo, which was occupied by the French, a proclamation by a French general that no harm would be done to the inhabitants, and if they remained they would be paid for anything taken from them.	Alpatych also knew that on the previous day another peasant had even brought from the village of Visloukhovo, which was occupied by the French, a proclamation by a French general that no harm would be done to the inhabitants, and if they remained they would be paid for anything taken from them.	true	253.79	271.63	21.58189
3294_167597_000004_000003	As proof of this the peasant had brought from Visloukhovo a hundred rubles in notes (he did not know that they were false) paid to him in advance for hay.	As proof of this the peasant had brought from Visloukhovo a hundred rubles in notes (he did not know that they were false) paid to him in advance for hay.	true	272.12	282.94	20.417542
3294_167597_000005_000000	More important still, Alpatych learned that on the morning of the very day he gave the village Elder orders to collect carts to move the princess' luggage from Bogucharovo, there had been a village meeting at which it had been decided not to move but to wait.	More important still, Alpatych learned that on the morning of the very day he gave the village Elder orders to collect carts to move the princess' luggage from Bogucharovo, there had been a village meeting at which it had been decided not to move but to wait.	false	283.67	299.47	20.629807
3294_167597_000005_000001	Yet there was no time to waste.	Yet there was no time to waste.	true	299.78	301.93	21.903595
3294_167597_000005_000002	On the fifteenth, the day of the old prince's death, the Marshal had insisted on Princess Mary's leaving at once, as it was becoming dangerous.	On the fifteenth, the day of the old prince's death, the Marshal had insisted on Princess Mary's leaving at once, as it was becoming dangerous.	true	302.06	311.44	21.676758
3294_167597_000005_000003	He had told her that after the sixteenth he could not be responsible for what might happen.	He had told her that after the sixteenth he could not be responsible for what might happen.	true	311.6	316.81	21.414566
3294_167597_000005_000004	On the evening of the day the old prince died the Marshal went away, promising to return next day for the funeral.	On the evening of the day the old prince died the Marshal went away, promising to return next day for the funeral.	true	317.57	324.61	22.14561
3294_167597_000005_000005	But this he was unable to do, for he received tidings that the French had unexpectedly advanced, and had barely time to remove his own family and valuables from his estate.	But this he was unable to do, for he received tidings that the French had unexpectedly advanced, and had barely time to remove his own family and valuables from his estate.	true	324.83	335.62	20.872864
3294_167597_000006_000000	For some thirty years Bogucharovo had been managed by the village Elder, Dron, whom the old prince called by the diminutive "Dronushka."	For some thirty years Bogucharovo had been managed by the village Elder, Dron, whom the old prince called by the diminutive "Dronushka."	false	336.59	346.18	20.289051
3294_167597_000007_000000	Dron was one of those physically and mentally vigorous peasants who grow big beards as soon as they are of age and go on unchanged till they are sixty or seventy, without a gray hair or the loss of a tooth, as straight and strong at sixty as at thirty.	Dron was one of those physically and mentally vigorous peasants who grow big beards as soon as they are of age and go on unchanged till they are sixty or seventy, without a gray hair or the loss of a tooth, as straight and strong at sixty as at thirty.	false	346.88	362.29	20.659224
3294_167597_000008_000000	Soon after the migration to the "warm rivers," in which he had taken part like the rest, Dron was made village Elder and overseer of Bogucharovo, and had since filled that post irreproachably for twenty- three years.	Soon after the migration to the "warm rivers," in which he had taken part like the rest, Dron was made village Elder and overseer of Bogucharovo, and had since filled that post irreproachably for twenty three years.	true	363.08	376.36	20.078356
3294_167597_000008_000001	The peasants feared him more than they did their master.	The peasants feared him more than they did their master.	true	376.46	379.48	18.3965
3294_167597_000008_000002	The masters, both the old prince and the young, and the steward respected him and jestingly called him "the Minister." During the whole time of his service Dron had never been drunk or ill, never after sleepless nights or the hardest tasks had he shown the least fatigue, and though he could not read he had never forgotten a single money account or the number of quarters of flour in any of the endless cartloads he sold for the prince, nor a single shock of the whole corn crop on any single acre of the Bogucharovo fields.	The masters, both the old prince and the young, and the steward respected him and jestingly called him "the Minister." During the whole time of his service Dron had never been drunk or ill, never after sleepless nights or the hardest tasks had he shown the least fatigue, and though he could not read he had never forgotten a single money account or the number of quarters of flour in any of the endless cartloads he sold for the prince, nor a single shock of the whole corn crop on any single acre of the Bogucharovo fields.	false	379.61	412.99	20.95449
3294_167597_000009_000000	Alpatych, arriving from the devastated Bald Hills estate, sent for his Dron on the day of the prince's funeral and told him to have twelve horses got ready for the princess' carriages and eighteen carts for the things to be removed from Bogucharovo.	Alpatych, arriving from the devastated Bald Hills estate, sent for his Dron on the day of the prince's funeral and told him to have twelve horses got ready for the princess' carriages and eighteen carts for the things to be removed from Bogucharovo.	false	414.92	428.89	20.392204
3294_167597_000009_000001	Though the peasants paid quitrent, Alpatych thought no difficulty would be made about complying with this order, for there were two hundred and thirty households at work in Bogucharovo and the peasants were well to do.	Though the peasants paid quitrent, Alpatych thought no difficulty would be made about complying with this order, for there were two hundred and thirty households at work in Bogucharovo and the peasants were well to do.	true	429.35	441.04	22.760315
3294_167597_000009_000002	But on hearing the order Dron lowered his eyes and remained silent.	But on hearing the order Dron lowered his eyes and remained silent.	false	441.62	448.02	21.095835
3294_167597_000009_000003	Alpatych named certain peasants he knew, from whom he told him to take the carts.	Alpatych named certain peasants he knew, from whom he told him to take the carts.	false	448.02	452.68	20.237469
3294_167597_000010_000000	Dron replied that the horses of these peasants were away carting.	Dron replied that the horses of these peasants were away carting.	true	453.23	456.88	22.073603
3294_167597_000010_000001	Alpatych named others, but they too, according to Dron, had no horses available: some horses were carting for the government, others were too weak, and others had died for want of fodder.	Alpatych named others, but they too, according to Dron, had no horses available: some horses were carting for the government, others were too weak, and others had died for want of fodder.	true	457.55	469	22.281404
3294_167597_000010_000002	It seemed that no horses could be had even for the carriages, much less for the carting.	It seemed that no horses could be had even for the carriages, much less for the carting.	true	469.43	474.67	20.199993
3294_167597_000011_000000	Alpatych looked intently at Dron and frowned.	Alpatych looked intently at Dron and frowned.	true	475.52	479.11	22.870596
3294_167597_000011_000001	Just as Dron was a model village Elder, so Alpatych had not managed the prince's estates for twenty years in vain.	Just as Dron was a model village Elder, so Alpatych had not managed the prince's estates for twenty years in vain.	false	479.63	487.87	21
3294_167597_000011_000002	He was a model steward, possessing in the highest degree the faculty of divining the needs and instincts of those he dealt with.	He was a model steward, possessing in the highest degree the faculty of divining the needs and instincts of those he dealt with.	false	488.09	495.67	20.294151
3294_167597_000011_000003	Having glanced at Dron he at once understood that his answers did not express his personal views but the general mood of the Bogucharovo commune, by which the Elder had already been carried away.	Having glanced at Dron he at once understood that his answers did not express his personal views but the general mood of the Bogucharovo commune, by which the Elder had already been carried away.	false	496.28	508.84	20.4472
3294_167597_000011_000004	But he also knew that Dron, who had acquired property and was hated by the commune, must be hesitating between the two camps: the masters' and the serfs'.	But he also knew that Dron, who had acquired property and was hated by the commune, must be hesitating between the two camps: the masters' and the serfs'.	false	508.97	519.49	20.84585
3294_167597_000011_000005	He noticed this hesitation in Dron's look and therefore frowned and moved closer up to him.	He noticed this hesitation in Dron's look and therefore frowned and moved closer up to him.	true	519.95	526.21	20.965252
3294_167597_000012_000000	"Now just listen, Dronushka," said he.	"Now just listen, Dronushka," said he.	true	526.7	530.11	21.088282
3294_167597_000012_000001	"Don't talk nonsense to me.	"Don't talk nonsense to me.	false	530.6	532.69	21.990896
3294_167597_000012_000002	His excellency Prince Andrew himself gave me orders to move all the people away and not leave them with the enemy, and there is an order from the Tsar about it too.	His excellency Prince Andrew himself gave me orders to move all the people away and not leave them with the enemy, and there is an order from the Tsar about it too.	true	532.97	542.8	20.79869
3294_167597_000012_000003	Anyone who stays is a traitor to the Tsar.	Anyone who stays is a traitor to the Tsar.	true	543.14	546.55	22.860151
3294_167597_000012_000004	Do you hear?"	Do you hear?"	true	546.77	547.75	19.74211
3294_167597_000013_000000	"I hear," Dron answered without lifting his eyes.	"I hear," Dron answered without lifting his eyes.	true	548.66	552.09	19.523083
3294_167597_000014_000000	Alpatych was not satisfied with this reply.	Alpatych was not satisfied with this reply.	false	552.09	555.42	23.653982
3294_167597_000015_000000	"Eh, Dron, it will turn out badly!" he said, shaking his head.	"Eh, Dron, it will turn out badly!" he said, shaking his head.	false	555.42	560.5	20.8155
3294_167597_000016_000000	"The power is in your hands," Dron rejoined sadly.	"The power is in your hands," Dron rejoined sadly.	true	560.78	565.06	19.679203
3294_167597_000017_000000	"Eh, Dron, drop it!" Alpatych repeated, withdrawing his hand from his bosom and solemnly pointing to the floor at Dron's feet.	"Eh, Dron, drop it!" Alpatych repeated, withdrawing his hand from his bosom and solemnly pointing to the floor at Dron's feet.	true	565.31	573.07	22.579422
3294_167597_000017_000001	"I can see through you and three yards into the ground under you," he continued, gazing at the floor in front of Dron.	"I can see through you and three yards into the ground under you," he continued, gazing at the floor in front of Dron.	false	573.08	580.35	22.926895
3294_167597_000018_000000	Dron was disconcerted, glanced furtively at Alpatych and again lowered his eyes.	Dron was disconcerted, glanced furtively at Alpatych and again lowered his eyes.	false	580.35	586	19.882944
3294_167597_000019_000000	"You drop this nonsense and tell the people to get ready to leave their homes and go to Moscow and to get carts ready for tomorrow morning for the princess' things.	"You drop this nonsense and tell the people to get ready to leave their homes and go to Moscow and to get carts ready for tomorrow morning for the princess' things.	true	587.06	595.63	22.729582
3294_167597_000019_000001	And don't go to any meeting yourself, do you hear?"	And don't go to any meeting yourself, do you hear?"	true	595.76	598.47	22
3294_167597_000020_000000	Dron suddenly fell on his knees.	Dron suddenly fell on his knees.	false	598.47	601.84	17.57388
3294_167597_000021_000000	"Yakov Alpatych, discharge me!	"Yakov Alpatych, discharge me!	false	601.94	603.9	21.05098
3294_167597_000021_000001	Take the keys from me and discharge me, for Christ's sake!"	Take the keys from me and discharge me, for Christ's sake!"	true	603.9	606.82	22.50657
3294_167597_000022_000000	"Stop that!" cried Alpatych sternly.	"Stop that!" cried Alpatych sternly.	true	607.1	609.645	24.38636
3294_167597_000022_000001	"I see through you and three yards under you," he repeated, knowing that his skill in beekeeping, his knowledge of the right time to sow the oats, and the fact that he had been able to retain the old prince's favor for twenty years had long since gained him the reputation of being a wizard, and that the power of seeing three yards under a man is considered an attribute of wizards.	"I see through you and three yards under you," he repeated, knowing that his skill in beekeeping, his knowledge of the right time to sow the oats, and the fact that he had been able to retain the old prince's favor for twenty years had long since gained him the reputation of being a wizard, and that the power of seeing three yards under a man is considered an attribute of wizards.	false	609.645	630.93	21
3294_167597_000023_000000	Dron got up and was about to say something, but Alpatych interrupted him.	Dron got up and was about to say something, but Alpatych interrupted him.	false	630.93	635.95	22.352434
3294_167597_000024_000000	"What is it you have got into your heads, eh?...	"What is it you have got into your heads, eh?...	false	636.11	638.94	20.73876
3294_167597_000024_000001	What are you thinking of, eh?"	What are you thinking of, eh?"	true	638.94	640.6	23.65514
3294_167597_000025_000000	"What am I to do with the people?" said Dron.	"What am I to do with the people?" said Dron.	true	641.18	643.63	24.194124
3294_167597_000025_000001	"They're quite beside themselves; I have already told them..."	"They're quite beside themselves; I have already told them..."	true	643.73	646.395	21.2483
3294_167597_000026_000000	"'Told them,' I dare say!" said Alpatych.	"'Told them,' I dare say!" said Alpatych.	true	646.395	648.7	20.938429
3294_167597_000026_000001	"Are they drinking?" he asked abruptly.	"Are they drinking?" he asked abruptly.	true	649.34	651.97	22.630928
3294_167597_000027_000000	"Quite beside themselves, Yakov Alpatych; they've fetched another barrel."	"Quite beside themselves, Yakov Alpatych; they've fetched another barrel."	true	652.16	655.99	24.78508
3294_167597_000028_000000	"Well, then, listen!	"Well, then, listen!	true	656.21	657.67	21.470676
3294_167597_000028_000001	I'll go to the police officer, and you tell them so, and that they must stop this and the carts must be got ready."	I'll go to the police officer, and you tell them so, and that they must stop this and the carts must be got ready."	true	658.07	665.65	23.041239
3294_167597_000029_000000	"I understand."	"I understand."	true	666.5	667.5	24.355524
3294_167597_000030_000000	Alpatych did not insist further.	Alpatych did not insist further.	false	667.5	671.31	20.966919
3294_167597_000030_000001	He had managed people for a long time and knew that the chief way to make them obey is to show no suspicion that they can possibly disobey.	He had managed people for a long time and knew that the chief way to make them obey is to show no suspicion that they can possibly disobey.	true	671.31	679.57	20.993155
3294_167597_000030_000002	Having wrung a submissive "I understand" from Dron, Alpatych contented himself with that, though he not only doubted but felt almost certain that without the help of troops the carts would not be forthcoming.	Having wrung a submissive "I understand" from Dron, Alpatych contented himself with that, though he not only doubted but felt almost certain that without the help of troops the carts would not be forthcoming.	false	680.18	693.46	19.176577
3294_167597_000031_000000	And so it was, for when evening came no carts had been provided.	And so it was, for when evening came no carts had been provided.	true	693.83	698.53	22.322496
3294_167597_000031_000001	In the village, outside the drink shop, another meeting was being held, which decided that the horses should be driven out into the woods and the carts should not be provided.	In the village, outside the drink shop, another meeting was being held, which decided that the horses should be driven out into the woods and the carts should not be provided.	true	698.72	708.1	19.679306
3294_167597_000031_000002	Without saying anything of this to the princess, Alpatych had his own belongings taken out of the carts which had arrived from Bald Hills and had those horses got ready for the princess' carriages.	Without saying anything of this to the princess, Alpatych had his own belongings taken out of the carts which had arrived from Bald Hills and had those horses got ready for the princess' carriages.	false	708.56	719.74	20.603586
3294_167597_000031_000003	Meanwhile he went himself to the police authorities.	Meanwhile he went himself to the police authorities.	false	720.11	725.91	19.86942
3294_167597_000032_000000	CHAPTER X	CHAPTER ten	false	725.91	726.57	18
3294_167597_000033_000000	After her father's funeral Princess Mary shut herself up in her room and did not admit anyone.	After her father's funeral Princess Mary shut herself up in her room and did not admit anyone.	false	726.57	729.57	21.791225
3294_167597_000033_000001	A maid came to the door to say that Alpatych was asking for orders about their departure. (This was before his talk with Dron.) Princess Mary raised herself on the sofa on which she had been lying and replied through the closed door that she did not mean to go away and begged to be left in peace.	A maid came to the door to say that Alpatych was asking for orders about their departure. (This was before his talk with Dron.) Princess Mary raised herself on the sofa on which she had been lying and replied through the closed door that she did not mean to go away and begged to be left in peace.	false	729.57	730.23	16
