7833_102238_000001_000000	THE LINCOLN-STONE PROTEST	THE LINCOLN STONE PROTEST
7833_102238_000020_000008	He felt there was a "woe" upon him if he held his peace against the wickedness across the river.	He felt there was a "woe" upon him if he held his peace against the wickedness across the river.
7833_102238_000020_000009	He wrote and published what was in his heart to say, and Alton was again vehemently moved.	He wrote and published what was in his heart to say, and Alton was again vehemently moved.
7833_102238_000020_000010	A committee appointed itself to wait upon him; for this sort of outrage is usually accomplished with a curious formality which makes it seem to the participants legal and orderly.	A committee appointed itself to wait upon him; for this sort of outrage is usually accomplished with a curious formality which makes it seem to the participants legal and orderly.
7833_102238_000020_000011	The preacher met them with an undaunted front and told them he must do his duty as it appeared to him; that he was amenable to law, but nothing else; he even spoke in condemnation of mobs.	The preacher met them with an undaunted front and told them he must do his duty as it appeared to him; that he was amenable to law, but nothing else; he even spoke in condemnation of mobs.
7833_102238_000020_000012	Such language "from a minister of the gospel" shocked and infuriated the committee and those whom they represented. "The people assembled," says Governor Ford, "and quietly took the press and types and threw them into the river." We venture to say that the word "quietly" never before found itself in such company.	Such language "from a minister of the gospel" shocked and infuriated the committee and those whom they represented. "The people assembled," says Governor Ford, "and quietly took the press and types and threw them into the river." We venture to say that the word "quietly" never before found itself in such company.
7833_102238_000020_000013	It is not worth while to give the details of the bloody drama that now rapidly ran to its close.	It is not worth while to give the details of the bloody drama that now rapidly ran to its close.
7833_102238_000020_000014	There was a fruitless effort at compromise, which to Lovejoy meant merely surrender, and which he firmly rejected. The threats of the mob were answered by defiance; from the little band that surrounded the abolitionist.	There was a fruitless effort at compromise, which to Lovejoy meant merely surrender, and which he firmly rejected. The threats of the mob were answered by defiance; from the little band that surrounded the abolitionist.
7833_102238_000020_000016	They were there besieged by the infuriated crowd, and after a short interchange of shots Lovejoy was killed, his friends dispersed, and the press once more--and this time finally--thrown into the turbid flood.	They were there besieged by the infuriated crowd, and after a short interchange of shots Lovejoy was killed, his friends dispersed, and the press once more-and this time finally-thrown into the turbid flood.
7833_102238_000021_000000	These events took place in the autumn of 1837, but they indicate sufficiently the temper of the people of the State in the earlier part of the year.	These events took place in the autumn of eighteen thirty seven, but they indicate sufficiently the temper of the people of the State in the earlier part of the year.
7833_102238_000023_000000	The vehemence with which the early antislavery apostles were conducting their agitation in the East naturally roused a corresponding violence of expression in every other part of the country.	The vehemence with which the early antislavery apostles were conducting their agitation in the East naturally roused a corresponding violence of expression in every other part of the country.
7833_102238_000023_000001	William Lloyd Garrison, the boldest and most aggressive non- resistant that ever lived, had, since 1831, been pouring forth once a week in the "Liberator" his earnest and eloquent denunciations of slavery, taking no account of the expedient or the possible, but demanding with all the fervor of an ancient prophet the immediate removal of the cause of offense.	William Lloyd Garrison, the boldest and most aggressive non resistant that ever lived, had, since eighteen thirty one, been pouring forth once a week in the "Liberator" his earnest and eloquent denunciations of slavery, taking no account of the expedient or the possible, but demanding with all the fervor of an ancient prophet the immediate removal of the cause of offense.
7833_102238_000023_000002	Oliver Johnson attacked the national sin and wrong, in the "Standard," with zeal and energy equally hot and untiring.	Oliver Johnson attacked the national sin and wrong, in the "Standard," with zeal and energy equally hot and untiring.
7833_102238_000023_000003	Their words stung the slave-holding States to something like frenzy.	Their words stung the slave holding States to something like frenzy.
7833_102238_000023_000004	The Georgia Legislature offered a reward of five thousand dollars to any one who should kidnap Garrison, or who should bring to conviction any one circulating the "Liberator" in the State.	The Georgia Legislature offered a reward of five thousand dollars to any one who should kidnap Garrison, or who should bring to conviction any one circulating the "Liberator" in the State.
7833_102238_000023_000006	Petitions to Congress, which were met by gag-laws, constantly increasing in severity, brought the dreaded discussion more and more before the public.	Petitions to Congress, which were met by gag laws, constantly increasing in severity, brought the dreaded discussion more and more before the public.
7833_102238_000023_000007	But there was as yet little or no antislavery agitation in Illinois.	But there was as yet little or no antislavery agitation in Illinois.
7833_102238_000025_000000	There was no sympathy with nor even toleration for any public expression of hostility to slavery.	There was no sympathy with nor even toleration for any public expression of hostility to slavery.
7833_102238_000025_000003	A long and dragging debate ensued of which no record has been preserved; the resolutions, after numberless amendments had been voted upon, were finally passed, in the Senate, unanimously, in the House with none but Lincoln and five others in the negative.	A long and dragging debate ensued of which no record has been preserved; the resolutions, after numberless amendments had been voted upon, were finally passed, in the Senate, unanimously, in the House with none but Lincoln and five others in the negative.
7833_102238_000026_000000	There was no reason that Abraham Lincoln should take especial notice of these resolutions, more than another.	There was no reason that Abraham Lincoln should take especial notice of these resolutions, more than another.
7833_102238_000026_000001	He had done his work at this session in effecting the removal of the capital.	He had done his work at this session in effecting the removal of the capital.
7833_102238_000026_000002	He had only to shrug his shoulders at the violence and untruthfulness of the majority, vote against them, and go back to his admiring constituents, to his dinners and his toasts.	He had only to shrug his shoulders at the violence and untruthfulness of the majority, vote against them, and go back to his admiring constituents, to his dinners and his toasts.
7833_102238_000026_000003	But his conscience and his reason forbade him to be silent; he felt a word must be said on the other side to redress the distorted balance.	But his conscience and his reason forbade him to be silent; he felt a word must be said on the other side to redress the distorted balance.
7833_102238_000026_000004	He wrote his protest, saying not one word he was not ready to stand by then and thereafter, wasting not a syllable in rhetoric or feeling, keeping close to law and truth and justice.	He wrote his protest, saying not one word he was not ready to stand by then and thereafter, wasting not a syllable in rhetoric or feeling, keeping close to law and truth and justice.
7833_102238_000026_000005	When he had finished it he showed it to some of his colleagues for their adhesion; but one and all refused, except Dan Stone, who was not a candidate for reelection, having retired from politics to a seat on the bench.	When he had finished it he showed it to some of his colleagues for their adhesion; but one and all refused, except Dan Stone, who was not a candidate for reelection, having retired from politics to a seat on the bench.
7833_102238_000026_000006	The risk was too great for the rest to run.	The risk was too great for the rest to run.
7833_102238_000026_000007	Lincoln was twenty-eight years old; after a youth, of singular privations and struggles he had arrived at an enviable position in the politics and the society of the State.	Lincoln was twenty eight years old; after a youth, of singular privations and struggles he had arrived at an enviable position in the politics and the society of the State.
7833_102238_000026_000008	His intimate friends, those whom he loved and honored, were Browning, Butler, Logan, and Stuart--Kentuckians all, and strongly averse to any discussion of the question of slavery. The public opinion of his county, which was then little less than the breath of his life, was all the same way.	His intimate friends, those whom he loved and honored, were Browning, Butler, Logan, and Stuart-Kentuckians all, and strongly averse to any discussion of the question of slavery. The public opinion of his county, which was then little less than the breath of his life, was all the same way.
7833_102238_000026_000009	But all these considerations could not withhold him from performing a simple duty--a duty which no one could have blamed him for leaving undone.	But all these considerations could not withhold him from performing a simple duty-a duty which no one could have blamed him for leaving undone.
7833_102238_000027_000000	He had many years of growth and development before him.	He had many years of growth and development before him.
7833_102238_000027_000001	There was a long distance to be traversed between the guarded utterances of this protest and the heroic audacity which launched the proclamation of emancipation.	There was a long distance to be traversed between the guarded utterances of this protest and the heroic audacity which launched the proclamation of emancipation.
