7247_94108_000001_000000	CHAPTER III.	CHAPTER three.
7247_94108_000008_000003	A stone monument, six feet high, just observable through the willows on the right shore, marks the boundary; while upon the left bank, surmounting a high, rock-strewn beach, is the dilapidated frame house of a West Virginia "cracker," through whose garden-patch the line takes its way, unobserved and unthought of by pigs, chickens and children, which in hopeless promiscuity swarm the interstate premises.	A stone monument, six feet high, just observable through the willows on the right shore, marks the boundary; while upon the left bank, surmounting a high, rock strewn beach, is the dilapidated frame house of a West Virginia "cracker," through whose garden patch the line takes its way, unobserved and unthought of by pigs, chickens and children, which in hopeless promiscuity swarm the interstate premises.
7247_94108_000009_000000	For many days to come we are to have Ohio on the right bank and West Virginia on the left.	For many days to come we are to have Ohio on the right bank and West Virginia on the left.
7247_94108_000009_000001	There is no perceptible change, of course, in the contour of the rugged hills which hem us in; yet somehow it stirs the blood to reflect that quite within the recollection of all of us in Pilgrim's crew, save the Boy, that left bank was the house of bondage, and that right the land of freedom, and this river of ours the highway between.	There is no perceptible change, of course, in the contour of the rugged hills which hem us in; yet somehow it stirs the blood to reflect that quite within the recollection of all of us in Pilgrim's crew, save the Boy, that left bank was the house of bondage, and that right the land of freedom, and this river of ours the highway between.
7247_94108_000010_000000	East Liverpool (44 miles) and Wellsville (48 miles) are long stretches of pottery and tile-making works, both of them on the Ohio shore. There is nothing there to lure us, however, and we determined to camp on the banks of Yellow Creek (51 miles), a peaceful little Ohio stream some two rods in width, its mouth crossed by two great iron spans, for railway and highway.	East Liverpool (forty four miles) and Wellsville (forty eight miles) are long stretches of pottery and tile making works, both of them on the Ohio shore. There is nothing there to lure us, however, and we determined to camp on the banks of Yellow Creek (fifty one miles), a peaceful little Ohio stream some two rods in width, its mouth crossed by two great iron spans, for railway and highway.
7247_94108_000010_000001	But although Yellow Creek winds most gracefully and is altogether a charming bit of rustic water, deep-set amid picturesque slopes of field and wood, we fail to find upon its banks an appropriate camping-place.	But although Yellow Creek winds most gracefully and is altogether a charming bit of rustic water, deep set amid picturesque slopes of field and wood, we fail to find upon its banks an appropriate camping place.
7247_94108_000011_000000	It is storied ground, this neighborhood of ours.	It is storied ground, this neighborhood of ours.
7247_94108_000011_000001	Over there at the mouth of Yellow Creek was, a hundred and twenty years ago, the camp of Logan, the Mingo chief; opposite, on the West Virginia shore, Baker's Bottom, where occurred the treacherous massacre of Logan's family.	Over there at the mouth of Yellow Creek was, a hundred and twenty years ago, the camp of Logan, the Mingo chief; opposite, on the West Virginia shore, Baker's Bottom, where occurred the treacherous massacre of Logan's family.
7247_94108_000011_000002	The tragedy is interwoven with the history of the trans-Alleghany border; and schoolboys have in many lands and tongues recited the pathetic defense of the poor Mingo, who, more sinned against than sinning, was crushed in the inevitable struggle between savagery and civilization. "Who is there to mourn for Logan?"	The tragedy is interwoven with the history of the trans Alleghany border; and schoolboys have in many lands and tongues recited the pathetic defense of the poor Mingo, who, more sinned against than sinning, was crushed in the inevitable struggle between savagery and civilization. "Who is there to mourn for Logan?"
7247_94108_000012_000001	Above, just out of sight, are moored a brace of steam pile-drivers engaged in strengthening the dam which unites us with Baker's Bottom.	Above, just out of sight, are moored a brace of steam pile drivers engaged in strengthening the dam which unites us with Baker's Bottom.
7247_94108_000012_000004	There is a gentle tinkling of cowbells on the Ohio shore, and on both are human voices confused by distance.	There is a gentle tinkling of cowbells on the Ohio shore, and on both are human voices confused by distance.
7247_94108_000012_000005	All pervading is the deep, sullen roar of a great wing-dam, a half mile or so down-stream.	All pervading is the deep, sullen roar of a great wing dam, a half mile or so down stream.
7247_94108_000013_000000	The camp is gypsy-like.	The camp is gypsy like.
7247_94108_000013_000001	Our washing lies spread on bushes, where it will catch the first peep of morning sun.	Our washing lies spread on bushes, where it will catch the first peep of morning sun
7247_94108_000013_000002	Perishable provisions rest in notches of trees, where the cool evening breeze will strike them. Seated upon the "grub" box, I am writing up our log by aid of the lantern hung from a branch overhead, while W----, ever busy, sits by with her mending.	Perishable provisions rest in notches of trees, where the cool evening breeze will strike them. Seated upon the "grub" box, I am writing up our log by aid of the lantern hung from a branch overhead, while W----, ever busy, sits by with her mending.
