6269_66184_000000_000000	It was a letter with a great black seal.	It was a letter with a great black seal.	false	1.23	22.71	21.5693
6269_66184_000013_000001	I remember that the days appeared endless; that at times I could not realize the misfortune that had befallen us, and my heart upbraided me for not feeling a deeper grief; that a full sense of my loss would now and then sweep over me like an inspiration, and I would steal away to my chamber or wander forlornly about the gardens.	I remember that the days appeared endless; that at times I could not realize the misfortune that had befallen us, and my heart upbraided me for not feeling a deeper grief; that a full sense of my loss would now and then sweep over me like an inspiration, and I would steal away to my chamber or wander forlornly about the gardens.	false	169.88	191.5	20
6269_66184_000013_000002	I remember this, but little more.	I remember this, but little more.	true	191.87	194.11	18.863998
6269_66184_000014_000000	As the days went by my first grief subsided, and in its place grew up a want which I have experienced at every step in life from boyhood to manhood.	As the days went by my first grief subsided, and in its place grew up a want which I have experienced at every step in life from boyhood to manhood.	true	194.87	205.21	20
6269_66184_000014_000001	Often, even now, after all these years, when I see a lad of twelve or fourteen walking by his father's side, and glancing merrily up at his face, I turn and look after them, and am conscious that I have missed companionship most sweet and sacred.	Often, even now, after all these years, when I see a lad of twelve or fourteen walking by his father's side, and glancing merrily up at his face, I turn and look after them, and am conscious that I have missed companionship most sweet and sacred.	true	205.58	223.03	21
6269_66184_000015_000000	I shall not dwell on this portion of my story.	I shall not dwell on this portion of my story.	true	224	226.78	24
6269_66184_000015_000001	There were many tranquil, pleasant hours in store for me at that period, and I prefer to turn to them.	There were many tranquil, pleasant hours in store for me at that period, and I prefer to turn to them.	true	227.12	232.75	21.933975
6269_66184_000016_000000	One evening the Captain came smiling into the sitting-room with an open letter in his hand.	One evening the Captain came smiling into the sitting room with an open letter in his hand.	false	233.39	238.33	19.359999
6269_66184_000016_000001	My mother had arrived at New York, and would be with us the next day.	My mother had arrived at New York, and would be with us the next day.	true	238.7	243.01	22.468878
6269_66184_000016_000002	For the first time in weeks--years, it seemed to me--something of the old cheerfulness mingled with our conversation round the evening lamp.	For the first time in weeks-years, it seemed to me-something of the old cheerfulness mingled with our conversation round the evening lamp.	true	243.17	253.08	19.76392
6269_66184_000016_000003	I was to go to Boston with the Captain to meet her and bring her home.	I was to go to Boston with the Captain to meet her and bring her home.	true	253.08	256.9	22.510088
6269_66184_000016_000004	I need not describe that meeting.	I need not describe that meeting.	false	257.3	259.35	24.471907
6269_66184_000016_000005	With my mother's hand in mine once more, all the long years we had been parted appeared like a dream.	With my mother's hand in mine once more, all the long years we had been parted appeared like a dream.	true	259.35	265.26	20.020063
6269_66184_000016_000006	Very dear to me was the sight of that slender, pale woman passing from room to room, and lending a patient grace and beauty to the saddened life of the old house.	Very dear to me was the sight of that slender, pale woman passing from room to room, and lending a patient grace and beauty to the saddened life of the old house.	false	265.26	277.57	20.871998
6269_66184_000017_000000	Everything was changed with us now.	Everything was changed with us now.	true	278.06	280.27	21.976206
6269_66184_000017_000001	There were consultations with lawyers, and signing of papers, and correspondence; for my father's affairs had been left in great confusion.	There were consultations with lawyers, and signing of papers, and correspondence; for my father's affairs had been left in great confusion.	true	280.55	290.08	21.361519
6269_66184_000017_000002	And when these were settled, the evenings were not long enough for us to hear all my mother had to tell of the scenes she had passed through in the ill-fated city.	And when these were settled, the evenings were not long enough for us to hear all my mother had to tell of the scenes she had passed through in the ill fated city.	false	290.36	300.37	19.453278
6269_66184_000018_000000	Then there were old times to talk over, full of reminiscences of Aunt Chloe and little Black Sam.	Then there were old times to talk over, full of reminiscences of Aunt Chloe and little Black Sam.	false	300.71	306.97	22.096058
6269_66184_000018_000001	Little Black Sam, by the by, had been taken by his master from my father's service ten months previously, and put on a sugar-plantation near Baton Rouge.	Little Black Sam, by the by, had been taken by his master from my father's service ten months previously, and put on a sugar plantation near Baton Rouge.	true	307.1	318.64	22.187325
6269_66184_000018_000002	Not relishing the change, Sam had run away, and by some mysterious agency got into Canada, from which place he had sent back several indecorous messages to his late owner. Aunt Chloe was still in New Orleans, employed as nurse in one of the cholera hospital wards, and the Desmoulins, near neighbors of ours, had purchased the pretty stone house among the orange-trees.	Not relishing the change, Sam had run away, and by some mysterious agency got into Canada, from which place he had sent back several indecorous messages to his late owner. Aunt Chloe was still in New Orleans, employed as nurse in one of the cholera hospital wards, and the Desmoulins, near neighbors of ours, had purchased the pretty stone house among the orange trees.	false	319.34	346.54	21.640102
6269_66184_000019_000000	How all these simple details interested me will be readily understood by any boy who has been long absent from home.	How all these simple details interested me will be readily understood by any boy who has been long absent from home.	true	347.36	355.72	21.222025
6269_66184_000020_000000	I was sorry when it became necessary to discuss questions more nearly affecting myself.	I was sorry when it became necessary to discuss questions more nearly affecting myself.	true	356.3	362.56	22.491428
6269_66184_000020_000001	I had been removed from school temporarily, but it was decided, after much consideration, that I should not return, the decision being left, in a manner, in my own hands.	I had been removed from school temporarily, but it was decided, after much consideration, that I should not return, the decision being left, in a manner, in my own hands.	true	362.78	374.23	21.654848
6269_66184_000021_000000	The Captain wished to carry out his son's intention and send me to college, for which I was nearly fitted; but our means did not admit of this.	The Captain wished to carry out his son's intention and send me to college, for which I was nearly fitted; but our means did not admit of this.	true	375.08	383.79	21.939106
6269_66184_000021_000001	The Captain, too, could ill afford to bear the expense, for his losses by the failure of the New Orleans business had been heavy.	The Captain, too, could ill afford to bear the expense, for his losses by the failure of the New Orleans business had been heavy.	false	383.79	392.11	21.754917
6269_66184_000021_000002	Yet he insisted on the plan, not seeing clearly what other disposal to make of me.	Yet he insisted on the plan, not seeing clearly what other disposal to make of me.	false	392.93	398.46	22.165903
6269_66184_000022_000000	In the midst of our discussions a letter came from my Uncle Snow, a merchant in New York, generously offering me a place in his counting-house.	In the midst of our discussions a letter came from my Uncle Snow, a merchant in New York, generously offering me a place in his counting house.	true	398.46	407.92	21.052631
6269_66184_000022_000001	The case resolved itself into this: If I went to college, I should have to be dependent on Captain Nutter for several years, and at the end of the collegiate course would have no settled profession.	The case resolved itself into this: If I went to college, I should have to be dependent on Captain Nutter for several years, and at the end of the collegiate course would have no settled profession.	false	408.71	421.9	21.650442
6269_66184_000022_000002	If I accepted my uncle's offer, I might hope to work my way to independence without loss of time.	If I accepted my uncle's offer, I might hope to work my way to independence without loss of time.	true	422.99	429.37	22.590706
6269_66184_000022_000003	It was hard to give up the long-cherished dream of being a Harvard boy; but I gave it up.	It was hard to give up the long cherished dream of being a Harvard boy; but I gave it up.	true	430.43	436.27	22.726618
6269_66184_000023_000000	The decision once made, it was Uncle Snow's wish that I should enter his counting-house immediately.	The decision once made, it was Uncle Snow's wish that I should enter his counting house immediately.	true	436.28	442.125	21
6269_66184_000023_000001	The cause of my good uncle's haste was this--he was afraid that I would turn out to be a poet before he could make a merchant of me.	The cause of my good uncle's haste was this-he was afraid that I would turn out to be a poet before he could make a merchant of me.	true	442.125	450.88	22.438585
6269_66184_000023_000002	His fears were based upon the fact that I had published in the Rivermouth Barnacle some verses addressed in a familiar manner "To the Moon." Now, the idea of a boy, with his living to get, placing himself in communication with the Moon, struck the mercantile mind as monstrous.	His fears were based upon the fact that I had published in the Rivermouth Barnacle some verses addressed in a familiar manner "To the Moon." Now, the idea of a boy, with his living to get, placing himself in communication with the Moon, struck the mercantile mind as monstrous.	true	451.61	473.38	20.59968
6269_66184_000023_000003	It was not only a bad investment, it was lunacy.	It was not only a bad investment, it was lunacy.	true	473.78	477.34	22.132412
6269_66184_000024_000000	'We adopted Uncle Snow's views so far as to accede to his proposition forthwith.	'We adopted Uncle Snow's views so far as to accede to his proposition forthwith.	true	477.92	483.82	22.250195
6269_66184_000024_000001	My mother, I neglected to say, was also to reside in New York.	My mother, I neglected to say, was also to reside in New York.	true	484.13	488.37	23.077705
6269_66184_000025_000000	I shall not draw a picture of Pepper Whitcomb's disgust when the news was imparted to him, nor attempt to paint Sailor Ben's distress at the prospect of losing his little messmate.	I shall not draw a picture of Pepper Whitcomb's disgust when the news was imparted to him, nor attempt to paint Sailor Ben's distress at the prospect of losing his little messmate.	false	488.37	500.625	24.883612
6269_66184_000026_000000	In the excitement of preparing for the journey I didn't feel any very deep regret myself.	In the excitement of preparing for the journey I didn't feel any very deep regret myself.	true	500.625	506.26	22.064617
6269_66184_000026_000001	But when the moment came for leaving, and I saw my small trunk lashed up behind the carriage, then the pleasantness of the old life and a vague dread of the new came over me, and a mist filled my eyes, shutting out the group of schoolfellows, including all the members of the Centipede Club, who had come down to the house to see me off.	But when the moment came for leaving, and I saw my small trunk lashed up behind the carriage, then the pleasantness of the old life and a vague dread of the new came over me, and a mist filled my eyes, shutting out the group of schoolfellows, including all the members of the Centipede Club, who had come down to the house to see me off.	false	506.3	528.01	20.869421
6269_66184_000027_000000	As the carriage swept round the corner, I leaned out of the window to take a last look at Sailor Ben's cottage, and there was the Admiral's flag flying at half-mast.	As the carriage swept round the corner, I leaned out of the window to take a last look at Sailor Ben's cottage, and there was the Admiral's flag flying at half mast.	true	528.86	540.04	20.78238
6269_66184_000028_000000	So I left Rivermouth, little dreaming that I was not to see the old place again for many and many a year.	So I left Rivermouth, little dreaming that I was not to see the old place again for many and many a year.	false	540.35	548.4	20.439613
6269_66184_000029_000000	Chapter Twenty-Two--Exeunt Omnes	Chapter Twenty Two-Exeunt Omnes	false	548.4	549.3	16
6269_66184_000030_000000	With the close of my school-days at Rivermouth this modest chronicle ends.	With the close of my school days at Rivermouth this modest chronicle ends.	false	549.3	550.05	17.116371
6269_66184_000031_000000	The new life upon which I entered, the new friends and foes I encountered on the road, and what I did and what I did not, are matters that do not come within the scope of these pages.	The new life upon which I entered, the new friends and foes I encountered on the road, and what I did and what I did not, are matters that do not come within the scope of these pages.	false	550.05	552.24	-20
6269_66184_000031_000001	But before I write Finis to the record as it stands, before I leave it--feeling as if I were once more going away from my boyhood--I have a word or two to say concerning a few of the personages who have figured in the story, if you will allow me to call Gypsy a personage.	But before I write Finis to the record as it stands, before I leave it-feeling as if I were once more going away from my boyhood-I have a word or two to say concerning a few of the personages who have figured in the story, if you will allow me to call Gypsy a personage.	false	552.24	555.51	-20
