369_125882_000000_000000	"Some other poor fish, waiting as patiently as we to be digested by the Shark."	"Some other poor fish, waiting as patiently as we to be digested by the Shark."	false	0	3.75	19.376429
369_125882_000015_000014	The trap caught me and the Farmer put a collar on me and made me a watchdog.	The trap caught me and the Farmer put a collar on me and made me a watchdog.	true	198.26	203.26	24.55666
369_125882_000015_000015	He found out I was innocent when I caught the Weasels and he let me go.	He found out I was innocent when I caught the Weasels and he let me go.	true	203.33	207.58	22.35658
369_125882_000015_000016	The Serpent with the tail that smoked started to laugh and a vein in his chest broke and so I went back to the Fairy's house.	The Serpent with the tail that smoked started to laugh and a vein in his chest broke and so I went back to the Fairy's house.	false	207.68	215.445	25.373016
369_125882_000015_000017	She was dead, and the Pigeon, seeing me crying, said to me, 'I have seen your father building a boat to look for you in America,' and I said to him, 'Oh, if I only had wings!' and he said to me, 'Do you want to go to your father?' and I said, 'Perhaps, but how?' and he said, 'Get on my back.	She was dead, and the Pigeon, seeing me crying, said to me, 'I have seen your father building a boat to look for you in America,' and I said to him, 'Oh, if I only had wings!' and he said to me, 'Do you want to go to your father?' and I said, 'Perhaps, but how?' and he said, 'Get on my back.	false	215.445	233.85	21.738974
369_125882_000015_000018	I'll take you there.' We flew all night long, and next morning the fishermen were looking toward the sea, crying, 'There is a poor little man drowning,' and I knew it was you, because my heart told me so and I waved to you from the shore--"	I'll take you there.' We flew all night long, and next morning the fishermen were looking toward the sea, crying, 'There is a poor little man drowning,' and I knew it was you, because my heart told me so and I waved to you from the shore-"	false	233.85	246.76	22.030035
369_125882_000016_000000	"I knew you also," put in Geppetto, "and I wanted to go to you; but how could I?	"I knew you also," put in Geppetto, "and I wanted to go to you; but how could I?	false	247.13	252.285	20.554224
369_125882_000016_000001	The sea was rough and the whitecaps overturned the boat.	The sea was rough and the whitecaps overturned the boat.	true	252.285	255.45	23.539
369_125882_000016_000002	Then a Terrible Shark came up out of the sea and, as soon as he saw me in the water, swam quickly toward me, put out his tongue, and swallowed me as easily as if I had been a chocolate peppermint."	Then a Terrible Shark came up out of the sea and, as soon as he saw me in the water, swam quickly toward me, put out his tongue, and swallowed me as easily as if I had been a chocolate peppermint."	false	255.45	266.68	22.760958
369_125882_000017_000000	"And how long have you been shut away in here?"	"And how long have you been shut away in here?"	true	266.69	269.11	21.433743
369_125882_000018_000000	"From that day to this, two long weary years--two years, my Pinocchio, which have been like two centuries."	"From that day to this, two long weary years-two years, my Pinocchio, which have been like two centuries."	true	269.15	276.88	19.006433
369_125882_000019_000000	"And how have you lived?	"And how have you lived?	true	277.01	278.415	19.95278
369_125882_000019_000001	Where did you find the candle?	Where did you find the candle?	true	278.415	279.72	17
369_125882_000019_000002	And the matches with which to light it--where did you get them?"	And the matches with which to light it-where did you get them?"	true	279.72	282.85	24.57893
369_125882_000020_000000	"You must know that, in the storm which swamped my boat, a large ship also suffered the same fate.	"You must know that, in the storm which swamped my boat, a large ship also suffered the same fate.	false	282.89	289.035	23.300121
369_125882_000020_000001	The sailors were all saved, but the ship went right to the bottom of the sea, and the same Terrible Shark that swallowed me, swallowed most of it."	The sailors were all saved, but the ship went right to the bottom of the sea, and the same Terrible Shark that swallowed me, swallowed most of it."	true	289.035	297.87	21.624382
369_125882_000021_000000	"What!	"What!	true	297.87	298.575	35.0862
369_125882_000021_000001	Swallowed a ship?" asked Pinocchio in astonishment.	Swallowed a ship?" asked Pinocchio in astonishment.	true	298.575	301.935	20.098644
369_125882_000022_000000	"At one gulp.	"At one gulp.	true	301.935	303.105	20.15945
369_125882_000022_000001	The only thing he spat out was the main-mast, for it stuck in his teeth.	The only thing he spat out was the main mast, for it stuck in his teeth.	false	303.105	307.515	21.94916
369_125882_000022_000002	To my own good luck, that ship was loaded with meat, preserved foods, crackers, bread, bottles of wine, raisins, cheese, coffee, sugar, wax candles, and boxes of matches.	To my own good luck, that ship was loaded with meat, preserved foods, crackers, bread, bottles of wine, raisins, cheese, coffee, sugar, wax candles, and boxes of matches.	true	307.515	320.25	20.242458
369_125882_000022_000003	With all these blessings, I have been able to live happily on for two whole years, but now I am at the very last crumbs.	With all these blessings, I have been able to live happily on for two whole years, but now I am at the very last crumbs.	false	320.25	327.63	22.613184
369_125882_000022_000004	Today there is nothing left in the cupboard, and this candle you see here is the last one I have."	Today there is nothing left in the cupboard, and this candle you see here is the last one I have."	true	327.63	333.525	19.69539
369_125882_000023_000000	"And then?"	"And then?"	true	333.525	334.51	33.33017
369_125882_000024_000000	"And then, my dear, we'll find ourselves in darkness."	"And then, my dear, we'll find ourselves in darkness."	true	334.58	337.935	18.199085
369_125882_000025_000000	"Then, my dear Father," said Pinocchio, "there is no time to lose.	"Then, my dear Father," said Pinocchio, "there is no time to lose.	true	337.935	341.7	22.94055
369_125882_000025_000001	We must try to escape."	We must try to escape."	true	341.7	343.185	26.974339
369_125882_000026_000000	"Escape!	"Escape!	true	343.185	344.085	33.716164
369_125882_000026_000001	How?"	How?"	true	344.085	344.97	22.60726
369_125882_000027_000000	"We can run out of the Shark's mouth and dive into the sea."	"We can run out of the Shark's mouth and dive into the sea."	true	344.97	348.1	21.267467
369_125882_000028_000000	"You speak well, but I cannot swim, my dear Pinocchio."	"You speak well, but I cannot swim, my dear Pinocchio."	true	348.38	351.975	20.501589
369_125882_000029_000000	"Why should that matter?	"Why should that matter?	true	351.975	353.175	21.710094
369_125882_000029_000001	You can climb on my shoulders and I, who am a fine swimmer, will carry you safely to the shore."	You can climb on my shoulders and I, who am a fine swimmer, will carry you safely to the shore."	true	353.175	358.425	23.645107
369_125882_000030_000000	"Dreams, my boy!" answered Geppetto, shaking his head and smiling sadly. "Do you think it possible for a Marionette, a yard high, to have the strength to carry me on his shoulders and swim?"	"Dreams, my boy!" answered Geppetto, shaking his head and smiling sadly. "Do you think it possible for a Marionette, a yard high, to have the strength to carry me on his shoulders and swim?"	false	358.425	369.585	21.389978
369_125882_000031_000000	"Try it and see!	"Try it and see!	false	369.585	370.74	26.816645
369_125882_000031_000001	And in any case, if it is written that we must die, we shall at least die together."	And in any case, if it is written that we must die, we shall at least die together."	true	370.74	375.16	22.482767
369_125882_000032_000000	Not adding another word, Pinocchio took the candle in his hand and going ahead to light the way, he said to his father:	Not adding another word, Pinocchio took the candle in his hand and going ahead to light the way, he said to his father:	false	375.17	381.09	22.346004
369_125882_000033_000000	"Follow me and have no fear."	"Follow me and have no fear."	true	381.09	383.115	24.119852
369_125882_000034_000000	They walked a long distance through the stomach and the whole body of the Shark.	They walked a long distance through the stomach and the whole body of the Shark.	true	383.115	386.97	20.680567
369_125882_000034_000001	When they reached the throat of the monster, they stopped for a while to wait for the right moment in which to make their escape.	When they reached the throat of the monster, they stopped for a while to wait for the right moment in which to make their escape.	true	386.97	392.745	23.81181
369_125882_000035_000000	I want you to know that the Shark, being very old and suffering from asthma and heart trouble, was obliged to sleep with his mouth open. Because of this, Pinocchio was able to catch a glimpse of the sky filled with stars, as he looked up through the open jaws of his new home.	I want you to know that the Shark, being very old and suffering from asthma and heart trouble, was obliged to sleep with his mouth open. Because of this, Pinocchio was able to catch a glimpse of the sky filled with stars, as he looked up through the open jaws of his new home.	true	392.745	406.65	22.397102
369_125882_000036_000000	"The time has come for us to escape," he whispered, turning to his father.	"The time has come for us to escape," he whispered, turning to his father.	true	406.65	410.235	24.77573
369_125882_000036_000001	"The Shark is fast asleep.	"The Shark is fast asleep.	true	410.235	411.72	28.973711
369_125882_000036_000002	The sea is calm and the night is as bright as day.	The sea is calm and the night is as bright as day.	true	411.72	414.63	20
369_125882_000036_000003	Follow me closely, dear Father, and we shall soon be saved."	Follow me closely, dear Father, and we shall soon be saved."	true	414.63	418.455	20.324192
369_125882_000037_000000	No sooner said than done.	No sooner said than done.	false	418.455	419.775	18.368038
369_125882_000037_000001	They climbed up the throat of the monster till they came to that immense open mouth.	They climbed up the throat of the monster till they came to that immense open mouth.	true	419.775	424.065	21.674881
369_125882_000037_000002	There they had to walk on tiptoes, for if they tickled the Shark's long tongue he might awaken--and where would they be then?	There they had to walk on tiptoes, for if they tickled the Shark's long tongue he might awaken-and where would they be then?	true	424.065	431.01	23.520477
369_125882_000037_000003	The tongue was so wide and so long that it looked like a country road.	The tongue was so wide and so long that it looked like a country road.	true	431.01	434.505	21.717958
369_125882_000037_000004	The two fugitives were just about to dive into the sea when the Shark sneezed very suddenly and, as he sneezed, he gave Pinocchio and Geppetto such a jolt that they found themselves thrown on their backs and dashed once more and very unceremoniously into the stomach of the monster.	The two fugitives were just about to dive into the sea when the Shark sneezed very suddenly and, as he sneezed, he gave Pinocchio and Geppetto such a jolt that they found themselves thrown on their backs and dashed once more and very unceremoniously into the stomach of the monster.	false	434.505	450.3	22.016869
369_125882_000038_000000	To make matters worse, the candle went out and father and son were left in the dark.	To make matters worse, the candle went out and father and son were left in the dark.	true	450.3	455.04	22.183369
369_125882_000039_000000	"And now?" asked Pinocchio with a serious face.	"And now?" asked Pinocchio with a serious face.	true	455.04	457.84	24.508295
369_125882_000040_000000	"Now we are lost."	"Now we are lost."	true	457.88	459.51	20.311686
369_125882_000041_000000	"Why lost?	"Why lost?	true	459.51	460.605	24.276028
369_125882_000041_000001	Give me your hand, dear Father, and be careful not to slip!"	Give me your hand, dear Father, and be careful not to slip!"	true	460.605	464.13	24.217354
369_125882_000042_000000	"Where will you take me?"	"Where will you take me?"	true	464.13	465.45	26.546011
369_125882_000043_000000	"We must try again.	"We must try again.	true	465.45	466.725	25.636381
369_125882_000043_000001	Come with me and don't be afraid."	Come with me and don't be afraid."	true	466.725	468.735	23.56194
369_125882_000044_000000	With these words Pinocchio took his father by the hand and, always walking on tiptoes, they climbed up the monster's throat for a second time.	With these words Pinocchio took his father by the hand and, always walking on tiptoes, they climbed up the monster's throat for a second time.	true	468.735	476.13	24.237753
369_125882_000044_000001	They then crossed the whole tongue and jumped over three rows of teeth.	They then crossed the whole tongue and jumped over three rows of teeth.	false	476.13	479.625	23.574797
369_125882_000044_000002	But before they took the last great leap, the Marionette said to his father:	But before they took the last great leap, the Marionette said to his father:	true	479.625	483.525	23.18995
369_125882_000045_000000	"Climb on my back and hold on tightly to my neck.	"Climb on my back and hold on tightly to my neck.	true	483.525	486.405	28.016153
369_125882_000045_000001	I'll take care of everything else."	I'll take care of everything else."	true	486.405	488.325	22.61451
369_125882_000046_000000	As soon as Geppetto was comfortably seated on his shoulders, Pinocchio, very sure of what he was doing, dived into the water and started to swim.	As soon as Geppetto was comfortably seated on his shoulders, Pinocchio, very sure of what he was doing, dived into the water and started to swim.	true	488.325	495.675	20.646141
369_125882_000046_000001	The sea was like oil, the moon shone in all splendor, and the Shark continued to sleep so soundly that not even a cannon shot would have awakened him.	The sea was like oil, the moon shone in all splendor, and the Shark continued to sleep so soundly that not even a cannon shot would have awakened him.	false	495.675	506.94	21.944973
