296_142727_000000_000000	CHAPTER IV	CHAPTER four	false	1.11	21.06	21.90123
296_142727_000007_000004	The intellectualist theory is more vast than Herbartism; it exists in all doctrines in which the characteristic difference between thought and feeling is expunged and feeling is brought back to thought.	The intellectualist theory is more vast than Herbartism; it exists in all doctrines in which the characteristic difference between thought and feeling is expunged and feeling is brought back to thought.	true	272.63	285.58	22.423885
296_142727_000007_000005	One of the clearest means of so doing consists in only seeing in the feeling the fact of perceiving something.	One of the clearest means of so doing consists in only seeing in the feeling the fact of perceiving something.	false	286.52	292.84	21.762312
296_142727_000007_000006	To perceive is, in fact, the property of intelligence; to reason, to imagine, to judge, to understand, is always, in a certain sense, to perceive.	To perceive is, in fact, the property of intelligence; to reason, to imagine, to judge, to understand, is always, in a certain sense, to perceive.	true	293.21	302.38	21.792767
296_142727_000007_000007	It has been imagined that emotion is nothing else than a perception of a certain kind, an intellectual act strictly comparable to the contemplation of a landscape.	It has been imagined that emotion is nothing else than a perception of a certain kind, an intellectual act strictly comparable to the contemplation of a landscape.	true	303.11	313	22.817066
296_142727_000007_000008	Only, in the place of a landscape with placid features you must put a storm, a cataclysm of nature; and, instead of supposing this storm outside us, let it burst within us, let it reach us, not by the outer senses of sight and condition, but by the inner senses.	Only, in the place of a landscape with placid features you must put a storm, a cataclysm of nature; and, instead of supposing this storm outside us, let it burst within us, let it reach us, not by the outer senses of sight and condition, but by the inner senses.	true	313.13	330.28	23.054394
296_142727_000007_000009	What we then perceive will be an emotion.	What we then perceive will be an emotion.	true	330.95	333.4	21.245697
296_142727_000008_000000	Such is the theory that two authors--W.	Such is the theory that two authors-W.	false	334.22	337.05	22.736217
296_142727_000008_000001	James and Lange--happened to discover almost at the same time, Lange treating it as a physiologist and W. James as a philosopher.	james and Lange-happened to discover almost at the same time, Lange treating it as a physiologist and w james as a philosopher.	false	337.05	346.12	21.00738
296_142727_000008_000002	Their theory, at first sight, appears singular, like everything which runs counter to our mental habits.	Their theory, at first sight, appears singular, like everything which runs counter to our mental habits.	true	346.88	352.75	23.028858
296_142727_000008_000003	It lays down that the symptoms which we all till now have considered as the physiological consequence, the translation, and the distant effects of the emotions, constitute their essential base.	It lays down that the symptoms which we all till now have considered as the physiological consequence, the translation, and the distant effects of the emotions, constitute their essential base.	false	353.45	365.08	21.422379
296_142727_000008_000004	These effects are: the expression of the physiognomy, the gesture, the cry, and the speech; or the reflex action on the circulation, the pallor or blushing, the heat mounting to the head, or the cold of the shiver which passes over the body.	These effects are: the expression of the physiognomy, the gesture, the cry, and the speech; or the reflex action on the circulation, the pallor or blushing, the heat mounting to the head, or the cold of the shiver which passes over the body.	false	365.81	381.79	22.993507
296_142727_000008_000005	Or it is the heart, which hastens or slackens its beats, or makes them irregular, or enfeebles, or augments them.	Or it is the heart, which hastens or slackens its beats, or makes them irregular, or enfeebles, or augments them.	true	382.61	389.82	23.48081
296_142727_000008_000006	Or the respiration, which changes its rhythm, or increases, or is suspended.	Or the respiration, which changes its rhythm, or increases, or is suspended.	false	389.82	395.38	19.577187
296_142727_000008_000007	Or else it is the secretion of the saliva or of the sweat, which flows in abundance or dries up.	Or else it is the secretion of the saliva or of the sweat, which flows in abundance or dries up.	true	395.87	401.77	21.679829
296_142727_000008_000008	Or the muscular force, which is increased or decays.	Or the muscular force, which is increased or decays.	true	402.35	405.73	21.016226
296_142727_000008_000009	Or the almost undefinable organic troubles revealed to us by the singing in the ears, constriction of the epigastrium, the jerks, the trembling, vertigo, or nausea--all this collection of organic troubles which comes more or less confusedly to our consciousness under the form of tactile, muscular, thermal, and other sensations.	Or the almost undefinable organic troubles revealed to us by the singing in the ears, constriction of the epigastrium, the jerks, the trembling, vertigo, or nausea-all this collection of organic troubles which comes more or less confusedly to our consciousness under the form of tactile, muscular, thermal, and other sensations.	true	406.25	427.75	22.175352
296_142727_000008_000010	Until now this category of phenomena has been somewhat neglected, because we saw in it effects and consequences of which the role in emotion itself seemed slight, since, if they could have been suppressed, it was supposed that emotion would still remain.	Until now this category of phenomena has been somewhat neglected, because we saw in it effects and consequences of which the role in emotion itself seemed slight, since, if they could have been suppressed, it was supposed that emotion would still remain.	true	428.21	444.16	22.109322
296_142727_000008_000011	The new theory commences by changing the order of events.	The new theory commences by changing the order of events.	true	444.86	448.72	22.720072
296_142727_000008_000012	It places the physical symptoms of the emotions at the very beginning, and considers them the direct effects of the external excitant, which is expressed by this elegant formula: "It used to be said, 'I perceive a danger; I am frightened, I tremble.' Now we must say, 'I tremble before a danger, first, and it is after having trembled that I am frightened.'" This is not a change in order only; it is something much more serious.	It places the physical symptoms of the emotions at the very beginning, and considers them the direct effects of the external excitant, which is expressed by this elegant formula: "It used to be said, 'I perceive a danger; I am frightened, I tremble.' Now we must say, 'I tremble before a danger, first, and it is after having trembled that I am frightened.'" This is not a change in order only; it is something much more serious.	false	448.85	479.86	21.442413
296_142727_000008_000013	The change is directed to the nature of emotion.	The change is directed to the nature of emotion.	true	480.23	483.37	22
296_142727_000008_000014	It is considered to exist in the organic derangements indicated above.	It is considered to exist in the organic derangements indicated above.	true	483.53	488.38	23.34903
296_142727_000008_000015	These derangements are the basis of emotion, its physical basis, and to be moved is to perceive them.	These derangements are the basis of emotion, its physical basis, and to be moved is to perceive them.	true	488.84	495.94	22.031683
296_142727_000008_000016	Take away from the consciousness this physical reflex, and emotion ceases. It is no longer anything but an idea.	Take away from the consciousness this physical reflex, and emotion ceases. It is no longer anything but an idea.	true	496.49	503.95	20.852268
296_142727_000009_000000	This theory has at least the merit of originality.	This theory has at least the merit of originality.	true	505.49	508.45	22.940836
296_142727_000009_000001	It also pleases one by its great clearness--an entirely intellectual clearness, we may say; for it renders emotion comprehensible by enunciating it in terms of cognition.	It also pleases one by its great clearness-an entirely intellectual clearness, we may say; for it renders emotion comprehensible by enunciating it in terms of cognition.	false	508.79	520.15	21.323399
296_142727_000009_000002	It eliminates all difference which may exist between a perception and an emotion.	It eliminates all difference which may exist between a perception and an emotion.	true	520.52	525.31	21.952911
296_142727_000009_000003	Emotion is no longer anything but a certain kind of perception, the perception of the organic sensations.	Emotion is no longer anything but a certain kind of perception, the perception of the organic sensations.	true	525.62	531.97	20.87086
296_142727_000010_000000	This reduction, if admitted, would much facilitate the introduction of emotion into our system, which, being founded on the distinction between the consciousness and the object, is likewise an intellectualist system.	This reduction, if admitted, would much facilitate the introduction of emotion into our system, which, being founded on the distinction between the consciousness and the object, is likewise an intellectualist system.	true	532.91	545.86	22.053001
296_142727_000010_000001	The definition of emotion, as it is taught by W. James, seems expressly made for us who are seeking to resolve all intellectual states into physical impressions accompanied by consciousness.	The definition of emotion, as it is taught by w james, seems expressly made for us who are seeking to resolve all intellectual states into physical impressions accompanied by consciousness.	true	546.62	558.1	20
296_142727_000011_000000	By the side of emotion we may place, as demanding the same analytical study, the feeling of effort.	By the side of emotion we may place, as demanding the same analytical study, the feeling of effort.	true	558.89	565.3	20.036793
296_142727_000011_000001	We ought to inquire with effort, as has been done with emotion, what is the psychological nature of this phenomenon; and in the same way that there exists an intellectualist theory of the emotions, viz. that of James, who reduces all the history of the emotions to intelligence, so there exists an intellectualist theory of effort, which likewise tends to bring back, all will to intelligence.	We ought to inquire with effort, as has been done with emotion, what is the psychological nature of this phenomenon; and in the same way that there exists an intellectualist theory of the emotions, viz. that of james, who reduces all the history of the emotions to intelligence, so there exists an intellectualist theory of effort, which likewise tends to bring back, all will to intelligence.	false	565.79	590.62	21.067345
296_142727_000011_000002	It is again the same author, that true genius, W. James, who has attempted this reduction.	It is again the same author, that true genius, w james, who has attempted this reduction.	true	591.05	596.92	20.703209
296_142727_000011_000003	I do not know whether he has taken into account the parallelism of the two theories, but it is nevertheless evident.	I do not know whether he has taken into account the parallelism of the two theories, but it is nevertheless evident.	true	597.68	604.81	21.491232
296_142727_000011_000004	Effort, that basis of activity, that state of consciousness which so many psychologists have described as something _sui generis_, becomes to James a phenomenon of perception. It is the perception of sensations proceeding from the muscles, the tendons, the articulations, the skin, and from all the organs directly or indirectly concerned in the execution of movement.	Effort, that basis of activity, that state of consciousness which so many psychologists have described as something underscore sui generis underscore, becomes to james a phenomenon of perception. It is the perception of sensations proceeding from the muscles, the tendons, the articulations, the skin, and from all the organs directly or indirectly concerned in the execution of movement.	false	605.24	629.35	22.244606
296_142727_000011_000005	To be conscious of an effort would then be nothing else than to receive all these centripetal sensations; and what proves this is, that the consciousness of effort when most clearly manifested is accompanied by some muscular energy, some strong contraction, or some respiratory trouble, and yields if we render the respiration again regular and put the muscles back into repose.	To be conscious of an effort would then be nothing else than to receive all these centripetal sensations; and what proves this is, that the consciousness of effort when most clearly manifested is accompanied by some muscular energy, some strong contraction, or some respiratory trouble, and yields if we render the respiration again regular and put the muscles back into repose.	true	629.84	653.95	22.436916
296_142727_000012_000000	To my great regret I can state nothing very clear regarding these problems.	To my great regret I can state nothing very clear regarding these problems.	true	655.07	660.04	23.240786
296_142727_000012_000001	The attempt to intellectualise all psychical problems is infinitely interesting, and leads to a fairly clear conception, by which everything is explained by a mechanism reflected in a mirror, which is the consciousness.	The attempt to intellectualise all psychical problems is infinitely interesting, and leads to a fairly clear conception, by which everything is explained by a mechanism reflected in a mirror, which is the consciousness.	false	660.05	673.3	24.099276
296_142727_000012_000002	But we remain perplexed, and we ask ourselves whether this clearness of perception is not somewhat artificial, whether affectivity, emotivity, tendency, will, are really all reduced to perceptions, or whether they are not rather irreducible elements which should be added to the consciousness.	But we remain perplexed, and we ask ourselves whether this clearness of perception is not somewhat artificial, whether affectivity, emotivity, tendency, will, are really all reduced to perceptions, or whether they are not rather irreducible elements which should be added to the consciousness.	true	673.85	693.46	23.12659
296_142727_000012_000003	Does not, for instance, desire represent a complement of the consciousness?	Does not, for instance, desire represent a complement of the consciousness?	true	694.1	698.68	23.612785
296_142727_000012_000004	Do not desire and consciousness together represent a something which does not belong to the physical domain and which forms the moral world?	Do not desire and consciousness together represent a something which does not belong to the physical domain and which forms the moral world?	false	699.14	707.77	21.83428
296_142727_000012_000005	This question I leave unanswered.	This question I leave unanswered.	true	708.32	710.91	25.572363
296_142727_000013_000000	CHAPTER V	CHAPTER five	false	710.91	711	-6
296_142727_000014_000000	DEFINITION OF THE CONSCIOUSNESS--THE RELATION SUBJECT-OBJECT	DEFINITION OF THE CONSCIOUSNESS-THE RELATION SUBJECT OBJECT	false	711	711.48	-20
296_142727_000015_000000	After having separated from the consciousness that which it is not, let us try to define what it is.	After having separated from the consciousness that which it is not, let us try to define what it is.	false	711.48	712.59	-20
296_142727_000015_000001	This and the two following chapters are devoted to this study.	This and the two following chapters are devoted to this study.	false	712.59	712.86	53
296_142727_000016_000000	A theory has often been maintained with regard to the consciousness; namely, that it supposes a relation between two terms--a subject and an object, and that it consists exactly in the feeling of this relation.	A theory has often been maintained with regard to the consciousness; namely, that it supposes a relation between two terms-a subject and an object, and that it consists exactly in the feeling of this relation.	false	712.86	713.01	23
296_142727_000016_000001	By subject is understood the something that has consciousness; the object is the something of which we are conscious. Every thought, we are told, implies subject and object, the representer and the represented, the _sentiens_ and the _sensum_--the one active, the other passive, the active acting on the passive, the _ego_ opposed to the _non ego_.	By subject is understood the something that has consciousness; the object is the something of which we are conscious. Every thought, we are told, implies subject and object, the representer and the represented, the underscore sentiens underscore and the underscore sensum underscore--the one active, the other passive, the active acting on the passive, the underscore ego underscore opposed to the underscore non ego underscore.	false	713.01	719.34	21.2308
