100_122655_000003_000000	CHAPTER XXX	CHAPTER thirty
100_122655_000028_000000	"And since I am myself poor and obscure, I can offer you but a service of poverty and obscurity.	"And since I am myself poor and obscure, I can offer you but a service of poverty and obscurity.
100_122655_000028_000002	I hold that the more arid and unreclaimed the soil where the Christian labourer's task of tillage is appointed him--the scantier the meed his toil brings--the higher the honour.	I hold that the more arid and unreclaimed the soil where the Christian labourer's task of tillage is appointed him-the scantier the meed his toil brings-the higher the honour.
100_122655_000028_000003	His, under such circumstances, is the destiny of the pioneer; and the first pioneers of the Gospel were the Apostles--their captain was Jesus, the Redeemer, Himself."	His, under such circumstances, is the destiny of the pioneer; and the first pioneers of the Gospel were the Apostles-their captain was Jesus, the Redeemer, Himself."
100_122655_000029_000000	"Well?" I said, as he again paused--"proceed."	"Well?" I said, as he again paused-"proceed."
100_122655_000030_000000	He looked at me before he proceeded: indeed, he seemed leisurely to read my face, as if its features and lines were characters on a page.	He looked at me before he proceeded: indeed, he seemed leisurely to read my face, as if its features and lines were characters on a page.
100_122655_000031_000000	"I believe you will accept the post I offer you," said he, "and hold it for a while: not permanently, though: any more than I could permanently keep the narrow and narrowing--the tranquil, hidden office of English country incumbent; for in your nature is an alloy as detrimental to repose as that in mine, though of a different kind."	"I believe you will accept the post I offer you," said he, "and hold it for a while: not permanently, though: any more than I could permanently keep the narrow and narrowing-the tranquil, hidden office of English country incumbent; for in your nature is an alloy as detrimental to repose as that in mine, though of a different kind."
100_122655_000033_000000	"I will; and you shall hear how poor the proposal is,--how trivial--how cramping.	"I will; and you shall hear how poor the proposal is,--how trivial-how cramping.
100_122655_000033_000001	I shall not stay long at Morton, now that my father is dead, and that I am my own master.	I shall not stay long at Morton, now that my father is dead, and that I am my own master.
100_122655_000033_000002	I shall leave the place probably in the course of a twelve-month; but while I do stay, I will exert myself to the utmost for its improvement.	I shall leave the place probably in the course of a twelve month; but while I do stay, I will exert myself to the utmost for its improvement.
100_122655_000033_000003	Morton, when I came to it two years ago, had no school: the children of the poor were excluded from every hope of progress.	Morton, when I came to it two years ago, had no school: the children of the poor were excluded from every hope of progress.
100_122655_000033_000004	I established one for boys: I mean now to open a second school for girls.	I established one for boys: I mean now to open a second school for girls.
100_122655_000033_000005	I have hired a building for the purpose, with a cottage of two rooms attached to it for the mistress's house.	I have hired a building for the purpose, with a cottage of two rooms attached to it for the mistress's house.
100_122655_000033_000006	Her salary will be thirty pounds a year: her house is already furnished, very simply, but sufficiently, by the kindness of a lady, Miss Oliver; the only daughter of the sole rich man in my parish--Mr.	Her salary will be thirty pounds a year: her house is already furnished, very simply, but sufficiently, by the kindness of a lady, Miss Oliver; the only daughter of the sole rich man in my parish-mr
100_122655_000033_000007	Oliver, the proprietor of a needle- factory and iron-foundry in the valley.	Oliver, the proprietor of a needle factory and iron foundry in the valley.
100_122655_000033_000008	The same lady pays for the education and clothing of an orphan from the workhouse, on condition that she shall aid the mistress in such menial offices connected with her own house and the school as her occupation of teaching will prevent her having time to discharge in person.	The same lady pays for the education and clothing of an orphan from the workhouse, on condition that she shall aid the mistress in such menial offices connected with her own house and the school as her occupation of teaching will prevent her having time to discharge in person.
100_122655_000034_000000	He put the question rather hurriedly; he seemed half to expect an indignant, or at least a disdainful rejection of the offer: not knowing all my thoughts and feelings, though guessing some, he could not tell in what light the lot would appear to me.	He put the question rather hurriedly; he seemed half to expect an indignant, or at least a disdainful rejection of the offer: not knowing all my thoughts and feelings, though guessing some, he could not tell in what light the lot would appear to me.
100_122655_000035_000000	"I thank you for the proposal, Mr. Rivers, and I accept it with all my heart."	"I thank you for the proposal, mr Rivers, and I accept it with all my heart."
100_122655_000036_000000	"But you comprehend me?" he said.	"But you comprehend me?" he said.
100_122655_000036_000001	"It is a village school: your scholars will be only poor girls--cottagers' children--at the best, farmers' daughters.	"It is a village school: your scholars will be only poor girls-cottagers' children-at the best, farmers' daughters.
100_122655_000036_000002	Knitting, sewing, reading, writing, ciphering, will be all you will have to teach.	Knitting, sewing, reading, writing, ciphering, will be all you will have to teach.
100_122655_000036_000003	What will you do with your accomplishments? What, with the largest portion of your mind--sentiments--tastes?"	What will you do with your accomplishments? What, with the largest portion of your mind-sentiments-tastes?"
100_122655_000037_000000	"Save them till they are wanted.	"Save them till they are wanted.
100_122655_000037_000001	They will keep."	They will keep."
100_122655_000038_000000	"You know what you undertake, then?"	"You know what you undertake, then?"
100_122655_000039_000000	"I do."	"I do."
100_122655_000041_000000	"And when will you commence the exercise of your function?"	"And when will you commence the exercise of your function?"
100_122655_000042_000000	"I will go to my house to-morrow, and open the school, if you like, next week."	"I will go to my house to morrow, and open the school, if you like, next week."
100_122655_000043_000000	"Very well: so be it."	"Very well: so be it."
100_122655_000044_000000	He rose and walked through the room.	He rose and walked through the room.
100_122655_000044_000001	Standing still, he again looked at me.	Standing still, he again looked at me.
100_122655_000044_000002	He shook his head.	He shook his head.
100_122655_000045_000000	"What do you disapprove of, Mr. Rivers?" I asked.	"What do you disapprove of, mr Rivers?" I asked.
100_122655_000046_000000	"You will not stay at Morton long: no, no!"	"You will not stay at Morton long: no, no!"
100_122655_000047_000000	"Why?	"Why?
100_122655_000047_000001	What is your reason for saying so?"	What is your reason for saying so?"
100_122655_000048_000000	"I read it in your eye; it is not of that description which promises the maintenance of an even tenor in life."	"I read it in your eye; it is not of that description which promises the maintenance of an even tenor in life."
100_122655_000049_000000	"I am not ambitious."	"I am not ambitious."
100_122655_000050_000000	He started at the word "ambitious." He repeated, "No.	He started at the word "ambitious." He repeated, "no
100_122655_000050_000001	What made you think of ambition?	What made you think of ambition?
100_122655_000050_000003	I know I am: but how did you find it out?"	I know I am: but how did you find it out?"
100_122655_000051_000000	"I was speaking of myself."	"I was speaking of myself."
100_122655_000052_000000	"Well, if you are not ambitious, you are--" He paused.	"Well, if you are not ambitious, you are-" He paused.
100_122655_000053_000000	"What?"	"What?"
100_122655_000054_000000	"I was going to say, impassioned: but perhaps you would have misunderstood the word, and been displeased.	"I was going to say, impassioned: but perhaps you would have misunderstood the word, and been displeased.
100_122655_000054_000001	I mean, that human affections and sympathies have a most powerful hold on you.	I mean, that human affections and sympathies have a most powerful hold on you.
100_122655_000054_000002	I am sure you cannot long be content to pass your leisure in solitude, and to devote your working hours to a monotonous labour wholly void of stimulus: any more than I can be content," he added, with emphasis, "to live here buried in morass, pent in with mountains--my nature, that God gave me, contravened; my faculties, heaven-bestowed, paralysed--made useless.	I am sure you cannot long be content to pass your leisure in solitude, and to devote your working hours to a monotonous labour wholly void of stimulus: any more than I can be content," he added, with emphasis, "to live here buried in morass, pent in with mountains-my nature, that God gave me, contravened; my faculties, heaven bestowed, paralysed-made useless.
100_122655_000054_000003	You hear now how I contradict myself.	You hear now how I contradict myself.
100_122655_000054_000004	I, who preached contentment with a humble lot, and justified the vocation even of hewers of wood and drawers of water in God's service--I, His ordained minister, almost rave in my restlessness.	I, who preached contentment with a humble lot, and justified the vocation even of hewers of wood and drawers of water in God's service-I, His ordained minister, almost rave in my restlessness.
100_122655_000054_000005	Well, propensities and principles must be reconciled by some means."	Well, propensities and principles must be reconciled by some means."
100_122655_000055_000000	He left the room.	He left the room.
100_122655_000055_000001	In this brief hour I had learnt more of him than in the whole previous month: yet still he puzzled me.	In this brief hour I had learnt more of him than in the whole previous month: yet still he puzzled me.
100_122655_000057_000000	"He will sacrifice all to his long-framed resolves," she said: "natural affection and feelings more potent still.	"He will sacrifice all to his long framed resolves," she said: "natural affection and feelings more potent still.
100_122655_000057_000002	You would think him gentle, yet in some things he is inexorable as death; and the worst of it is, my conscience will hardly permit me to dissuade him from his severe decision: certainly, I cannot for a moment blame him for it.	You would think him gentle, yet in some things he is inexorable as death; and the worst of it is, my conscience will hardly permit me to dissuade him from his severe decision: certainly, I cannot for a moment blame him for it.
100_122655_000057_000003	It is right, noble, Christian: yet it breaks my heart!" And the tears gushed to her fine eyes.	It is right, noble, Christian: yet it breaks my heart!" And the tears gushed to her fine eyes.
100_122655_000057_000004	Mary bent her head low over her work.	Mary bent her head low over her work.
100_122655_000058_000000	"We are now without father: we shall soon be without home and brother," she murmured.	"We are now without father: we shall soon be without home and brother," she murmured.
100_122655_000059_000000	At that moment a little accident supervened, which seemed decreed by fate purposely to prove the truth of the adage, that "misfortunes never come singly," and to add to their distresses the vexing one of the slip between the cup and the lip.	At that moment a little accident supervened, which seemed decreed by fate purposely to prove the truth of the adage, that "misfortunes never come singly," and to add to their distresses the vexing one of the slip between the cup and the lip.
100_122655_000059_000002	He entered.	He entered.
100_122655_000060_000000	"Our uncle John is dead," said he.	"Our uncle john is dead," said he.
100_122655_000061_000000	Both the sisters seemed struck: not shocked or appalled; the tidings appeared in their eyes rather momentous than afflicting.	Both the sisters seemed struck: not shocked or appalled; the tidings appeared in their eyes rather momentous than afflicting.
100_122655_000062_000000	"Dead?" repeated Diana.	"Dead?" repeated Diana.
100_122655_000063_000000	"Yes."	"Yes."
100_122655_000064_000000	She riveted a searching gaze on her brother's face.	She riveted a searching gaze on her brother's face.
100_122655_000064_000001	"And what then?" she demanded, in a low voice.	"And what then?" she demanded, in a low voice.
100_122655_000065_000000	"What then, Die?" he replied, maintaining a marble immobility of feature. "What then?	"What then, Die?" he replied, maintaining a marble immobility of feature. "What then?
100_122655_000065_000001	Why--nothing.	Why-nothing.
100_122655_000065_000002	Read."	Read."
100_122655_000066_000000	He threw the letter into her lap.	He threw the letter into her lap.
100_122655_000066_000001	She glanced over it, and handed it to Mary.	She glanced over it, and handed it to Mary.
100_122655_000066_000002	Mary perused it in silence, and returned it to her brother.	Mary perused it in silence, and returned it to her brother.
100_122655_000066_000003	All three looked at each other, and all three smiled--a dreary, pensive smile enough.	All three looked at each other, and all three smiled-a dreary, pensive smile enough.
100_122655_000067_000001	We can yet live," said Diana at last.	We can yet live," said Diana at last.
100_122655_000068_000000	"At any rate, it makes us no worse off than we were before," remarked Mary.	"At any rate, it makes us no worse off than we were before," remarked Mary.
100_122655_000071_000000	For some minutes no one spoke.	For some minutes no one spoke.
100_122655_000071_000001	Diana then turned to me.	Diana then turned to me.
100_122655_000072_000000	"Jane, you will wonder at us and our mysteries," she said, "and think us hard-hearted beings not to be more moved at the death of so near a relation as an uncle; but we have never seen him or known him.	"Jane, you will wonder at us and our mysteries," she said, "and think us hard hearted beings not to be more moved at the death of so near a relation as an uncle; but we have never seen him or known him.
100_122655_000072_000001	He was my mother's brother.	He was my mother's brother.
100_122655_000072_000002	My father and he quarrelled long ago.	My father and he quarrelled long ago.
100_122655_000072_000003	It was by his advice that my father risked most of his property in the speculation that ruined him.	It was by his advice that my father risked most of his property in the speculation that ruined him.
100_122655_000072_000004	Mutual recrimination passed between them: they parted in anger, and were never reconciled.	Mutual recrimination passed between them: they parted in anger, and were never reconciled.
100_122655_000072_000005	My uncle engaged afterwards in more prosperous undertakings: it appears he realised a fortune of twenty thousand pounds.	My uncle engaged afterwards in more prosperous undertakings: it appears he realised a fortune of twenty thousand pounds.
100_122655_000072_000006	He was never married, and had no near kindred but ourselves and one other person, not more closely related than we.	He was never married, and had no near kindred but ourselves and one other person, not more closely related than we.
100_122655_000072_000008	He had a right, of course, to do as he pleased: and yet a momentary damp is cast on the spirits by the receipt of such news.	He had a right, of course, to do as he pleased: and yet a momentary damp is cast on the spirits by the receipt of such news.
100_122655_000073_000000	This explanation given, the subject was dropped, and no further reference made to it by either Mr. Rivers or his sisters.	This explanation given, the subject was dropped, and no further reference made to it by either mr Rivers or his sisters.
100_122655_000073_000001	The next day I left Marsh End for Morton.	The next day I left Marsh End for Morton.
100_122655_000073_000002	The day after, Diana and Mary quitted it for distant B-.	The day after, Diana and Mary quitted it for distant B .
