5918_46890_000000_000000	CHAPTER TEN.	CHAPTER TEN.	true	18.27	19.36	25.847464
5918_46890_000033_000000	I was at the tiller; so Bob took the glass, and levelling it at the brig, gave her a more thorough scrutiny than we had bestowed upon her at all hitherto.	I was at the tiller; so Bob took the glass, and levelling it at the brig, gave her a more thorough scrutiny than we had bestowed upon her at all hitherto.	true	528.83	537.85	23.960476
5918_46890_000034_000000	"The stars and stripes, and a pennant!" exclaimed he, with his eye still at the tube.	"The stars and stripes, and a pennant!" exclaimed he, with his eye still at the tube.	true	538.28	544.42	24.089893
5918_46890_000034_000001	"Lord bless us for the two pretty innocents he takes us for, Harry; but there, of course he don't know as we've got his character and all about him at our fingers' ends.	"Lord bless us for the two pretty innocents he takes us for, Harry; but there, of course he don't know as we've got his character and all about him at our fingers' ends.	true	544.52	553.18	21.089388
5918_46890_000034_000002	Well, anyhow, we won't be behindhand with him in the matter of politeness;" and therewith Master Bob dived below, returning in a moment with our ensign and club burgee in his hand, which he bent to their respective halliards and ran them up--the one to our gaff-end, and the other to our mast-head.	Well, anyhow, we won't be behindhand with him in the matter of politeness;" and therewith Master Bob dived below, returning in a moment with our ensign and club burgee in his hand, which he bent to their respective halliards and ran them up-the one to our gaff end, and the other to our mast head.	true	553.82	571.09	22.923883
5918_46890_000035_000000	As we had by this time finished our meal, Bob cleared the things away, muttering something about having "plenty to do afore long besides eating and drinking."	As we had by this time finished our meal, Bob cleared the things away, muttering something about having "plenty to do afore long besides eating and drinking."	true	571.94	580.75	23.639084
5918_46890_000036_000000	Our colours had not been displayed above a minute, when four small balls were seen ascending to the brig's main royal-mast-head, where they broke abroad and waved lazily out in the failing breeze as a signal.	Our colours had not been displayed above a minute, when four small balls were seen ascending to the brig's main royal mast head, where they broke abroad and waved lazily out in the failing breeze as a signal.	false	581.57	593.59	21.667086
5918_46890_000037_000000	Bob at once assumed the duties of signal-officer, by once more taking a peep through the glass.	Bob at once assumed the duties of signal officer, by once more taking a peep through the glass.	true	594.35	600.01	22.54884
5918_46890_000038_000000	"Commercial code pennant," said he; and then he read out the flags beneath it.	"Commercial code pennant," said he; and then he read out the flags beneath it.	true	600.77	605.71	26.182158
5918_46890_000039_000000	"Run down and fetch up the signal-book," said I.	"Run down and fetch up the signal book," said i	true	606.53	609.04	26.062298
5918_46890_000040_000000	He did so; we turned up the signal, and read, "Come under my lee; I wish to speak you."	He did so; we turned up the signal, and read, "Come under my lee; I wish to speak you."	false	610.16	616.63	23.24479
5918_46890_000041_000000	"Thank 'ee!" ejaculated Bob, "not if we can help it, Mister Johnson.	"Thank 'ee!" ejaculated Bob, "not if we can help it, Mister Johnson.	true	617.09	621.94	24.72486
5918_46890_000041_000001	I reckon 'twould be about the most onprofitable conwersation as ever the crew of this here cutter took a part in.	I reckon 'twould be about the most onprofitable conwersation as ever the crew of this here cutter took a part in.	true	622.31	628.36	21.812574
5918_46890_000041_000002	We've got our own wholesome planks to walk, aboard here, when we wants any of that sort of exercise; and though there's not much to boast of in the way of room, I dare say there's more of _that_ than we'd find on the plank _you'd_, give us for a parade ground.	We've got our own wholesome planks to walk, aboard here, when we wants any of that sort of exercise; and though there's not much to boast of in the way of room, I dare say there's more of underscore that underscore than we'd find on the plank underscore you'd underscore, give us for a parade ground.	false	628.82	642.4	21.996365
5918_46890_000041_000003	Seems to me, Hal, as we're bringing him nearer abeam than he was a while ago; ain't it so?"	Seems to me, Hal, as we're bringing him nearer abeam than he was a while ago; ain't it so?"	false	643.04	647.65	21.828665
5918_46890_000042_000000	"You are right, Bob," I replied, glancing at the compass; "he is more than a point farther aft than he was a quarter of an hour ago; but is it not possible that we are giving ourselves needless uneasiness?	"You are right, Bob," I replied, glancing at the compass; "he is more than a point farther aft than he was a quarter of an hour ago; but is it not possible that we are giving ourselves needless uneasiness?	true	648.23	659.83	23.346455
5918_46890_000042_000001	That craft certainly has a look of the _Albatross_; but we are not sure that it is her after all."	That craft certainly has a look of the underscore Albatross underscore; but we are not sure that it is her after all."	false	660.26	665.5	23.981766
5918_46890_000043_000000	"D'ye notice his main-topmast-staysail, Harry?" returned he; "cut like a trysail, and set on a stay that leads down just clear of his fore-top and into the slings of his fore-yard.	"D'ye notice his main topmast staysail, Harry?" returned he; "cut like a trysail, and set on a stay that leads down just clear of his fore top and into the slings of his fore yard.	false	665.9	677.41	21.734392
5918_46890_000043_000001	How many vessels will ye see with a sail shaped like that?	How many vessels will ye see with a sail shaped like that?	false	678.05	681.28	21.510065
5918_46890_000043_000002	Yet I noticed that _his_ was, the other day. And there's the red ribbon round him too; in fact, it's the _Albatross_ all over," concluded he, with the glass once more at his eye.	Yet I noticed that underscore his underscore was, the other day. And there's the red ribbon round him too; in fact, it's the underscore Albatross underscore all over," concluded he, with the glass once more at his eye.	false	681.65	693.75	22.581684
5918_46890_000044_000000	It was but too evident that Bob was right.	It was but too evident that Bob was right.	true	693.75	696.43	23.79046
5918_46890_000044_000001	I had been hoping that the general resemblance of the brig in sight to the _Albatross_ was purely accidental; but she was now within less than three miles of us; and, even without the aid of the telescope, certain features, if I may so term them, were recognisable, which identified her beyond all question as the pirate-brig.	I had been hoping that the general resemblance of the brig in sight to the underscore Albatross underscore was purely accidental; but she was now within less than three miles of us; and, even without the aid of the telescope, certain features, if I may so term them, were recognisable, which identified her beyond all question as the pirate brig.	false	696.68	715.48	23.0538
5918_46890_000045_000000	"What shall we do about answering his signal, Bob?" said I.	"What shall we do about answering his signal, Bob?" said i	false	715.52	718.48	25.064423
5918_46890_000046_000000	"Let it fly as it is, unanswered," he replied composedly.	"Let it fly as it is, unanswered," he replied composedly.	false	718.82	722.71	21.693771
5918_46890_000046_000001	"Look where we're dropping him to; in another quarter of an hour we shall have him fairly on our lee-beam, and that too out of gun-shot, unless, as is most likely the case, he's got a long gun; but if he _has_, we're a small mark to fire at, and we'll soon slip out of range even of that."	"Look where we're dropping him to; in another quarter of an hour we shall have him fairly on our lee beam, and that too out of gun shot, unless, as is most likely the case, he's got a long gun; but if he underscore has underscore, we're a small mark to fire at, and we'll soon slip out of range even of that."	false	723.11	740.02	23.350172
5918_46890_000047_000000	It was by this time perfectly manifest that whatever he might be able to do in a breeze, he had no chance with us in a light air like the present; and I entertained strong hopes of being able to slip past him unscathed, when I felt sanguine of our ability to get fairly away from him in a chase dead to windward.	It was by this time perfectly manifest that whatever he might be able to do in a breeze, he had no chance with us in a light air like the present; and I entertained strong hopes of being able to slip past him unscathed, when I felt sanguine of our ability to get fairly away from him in a chase dead to windward.	true	741.11	758.94	22.53568
5918_46890_000048_000000	But he evidently had no notion of letting us have our own way in this matter, without a pretty vigorous protest on his part; for as we were still watching him, we saw the brig slowly luff into the wind; his fore- sheet was raised for a moment, a flash of flame and a puff of white smoke darted suddenly from his forecastle, and then we saw the jets spouting up where the shot struck the water, as it came ricocheting towards us.	But he evidently had no notion of letting us have our own way in this matter, without a pretty vigorous protest on his part; for as we were still watching him, we saw the brig slowly luff into the wind; his fore sheet was raised for a moment, a flash of flame and a puff of white smoke darted suddenly from his forecastle, and then we saw the jets spouting up where the shot struck the water, as it came ricocheting towards us.	false	758.94	784.12	22.901812
5918_46890_000048_000001	He had aimed apparently so as to throw the shot across our fore-foot; but it fell short by about fifty feet.	He had aimed apparently so as to throw the shot across our fore foot; but it fell short by about fifty feet.	true	784.97	791.68	21.462347
5918_46890_000049_000000	"Do that again, you lubber!" exclaimed Bob, contemptuously apostrophising the brig.	"Do that again, you lubber!" exclaimed Bob, contemptuously apostrophising the brig.	true	792.14	798.12	23.900839
5918_46890_000049_000001	"Three more such fool's tricks as that, and we'll say good-bye t'ye without ever having been within range.	"Three more such fool's tricks as that, and we'll say good bye t'ye without ever having been within range.	true	798.12	804.015	24.00143
5918_46890_000049_000002	See how long it takes him to pay off ag'in, Harry; very near lost his way altogether, when he'd 'a had to box her off with his headyards; and by the time he'd done that we should be well clear of him.	See how long it takes him to pay off ag'in, Harry; very near lost his way altogether, when he'd 'a had to box her off with his headyards; and by the time he'd done that we should be well clear of him.	false	804.015	814.03	23.963968
5918_46890_000049_000003	Well, I _did_ think the man had more sense than to do the like of that."	Well, I underscore did underscore think the man had more sense than to do the like of that."	false	814.16	817.93	22.880148
5918_46890_000050_000000	Friend Johnson evidently saw his mistake as clearly as we did, for he fired no more until we had crept up fairly ahead of him.	Friend Johnson evidently saw his mistake as clearly as we did, for he fired no more until we had crept up fairly ahead of him.	false	818.63	826.65	23.228743
5918_46890_000050_000001	Just as we were crossing his bows, however, and had got his masts in tone--by which time he had drawn considerably nearer us--the brig _fell off_ a little, not to repeat her former error, and again came the flash, the smoke, and the ringing report.	Just as we were crossing his bows, however, and had got his masts in tone-by which time he had drawn considerably nearer us-the brig underscore fell off underscore a little, not to repeat her former error, and again came the flash, the smoke, and the ringing report.	false	826.65	841.6	22.517277
5918_46890_000051_000000	"Here it comes straight for us this time, and no mistake," exclaimed Bob, as the water-jets again marked the course of the shot.	"Here it comes straight for us this time, and no mistake," exclaimed Bob, as the water jets again marked the course of the shot.	true	841.73	848.38	24.690325
5918_46890_000051_000001	"Scaldings! out of the road all of us that's got thin skulls," continued he, as the shot came skipping across the water in such long bounds as showed we were within range.	"Scaldings! out of the road all of us that's got thin skulls," continued he, as the shot came skipping across the water in such long bounds as showed we were within range.	true	848.87	859.45	22.087198
5918_46890_000051_000002	"Well missed!" added he, as the shot struck the water close to us, and bounded fairly over the boat, passing close beneath the main-boom and the foot of the mainsail, without injuring so much as a ropeyarn.	"Well missed!" added he, as the shot struck the water close to us, and bounded fairly over the boat, passing close beneath the main boom and the foot of the mainsail, without injuring so much as a ropeyarn.	true	859.58	871.54	23.228056
5918_46890_000052_000000	"That's his long gun, Bob," said I; "his broadside guns would never reach so far as this, and though we're just now in rather warm quarters, we shall be out of range again very soon; and then, I think, we need give ourselves no further trouble concerning him.	"That's his long gun, Bob," said I; "his broadside guns would never reach so far as this, and though we're just now in rather warm quarters, we shall be out of range again very soon; and then, I think, we need give ourselves no further trouble concerning him.	true	872.33	887.38	21.684727
5918_46890_000052_000001	Any way, you've got something very like the fulfilment of the wish you expressed the other day."	Any way, you've got something very like the fulfilment of the wish you expressed the other day."	true	887.57	892.29	23.235748
5918_46890_000053_000000	"Ay, ay, that's true, Hal, I have," answered he, with a quiet laugh; "and I _do_ own it's a great satisfaction to me that we're carcumventin' the chap this a way.	"Ay, ay, that's true, Hal, I have," answered he, with a quiet laugh; "and I underscore do underscore own it's a great satisfaction to me that we're carcumventin' the chap this a way.	false	892.29	901.92	21.395905
5918_46890_000053_000001	I'll warrant he's walking the quarter-deck at this minute fit to bite his fingers off wi' vexation at our slipping past him in this style."	I'll warrant he's walking the quarter deck at this minute fit to bite his fingers off wi' vexation at our slipping past him in this style."	false	901.92	909.01	22.19814
5918_46890_000054_000000	Here another shot from the brig came bounding after us; but we offered him a much smaller mark than before, inasmuch as he was now nearly dead astern of us, and we consequently presented an _end_ instead of a broadside view to him.	Here another shot from the brig came bounding after us; but we offered him a much smaller mark than before, inasmuch as he was now nearly dead astern of us, and we consequently presented an underscore end underscore instead of a broadside view to him.	false	909.35	922.12	22.971447
5918_46890_000055_000000	The shot shaved us pretty close to windward nevertheless, striking the water for the last time just short of our taffrail, and scurrying along and ploughing up the surface close enough to give us a pretty copious shower-bath of spray ere it finally sank just ahead of us.	The shot shaved us pretty close to windward nevertheless, striking the water for the last time just short of our taffrail, and scurrying along and ploughing up the surface close enough to give us a pretty copious shower bath of spray ere it finally sank just ahead of us.	true	922.73	937.53	22.214678
5918_46890_000056_000000	The next shot, which quickly followed, passed almost as close to leeward; and the third came straight enough, but fell just short of us.	The next shot, which quickly followed, passed almost as close to leeward; and the third came straight enough, but fell just short of us.	false	937.53	946.21	24.211275
5918_46890_000057_000000	After this he fired no more.	After this he fired no more.	true	946.67	948.91	25.54547
5918_46890_000058_000000	"Very cleverly managed, I call that, Harry," said Bob, as soon as we found ourselves once more out of range.	"Very cleverly managed, I call that, Harry," said Bob, as soon as we found ourselves once more out of range.	false	949.88	955.69	21.8131
5918_46890_000058_000001	"We can now take things quietly; and as it's your watch below, I'd recommend you to turn in and get a bit of a snooze.	"We can now take things quietly; and as it's your watch below, I'd recommend you to turn in and get a bit of a snooze.	true	955.73	962.35	24.763083
5918_46890_000058_000002	It's your eight hours out to-night, my lad, and if the breeze should happen to freshen about sundown, and that chap comes after us--and, by the piper, he means that same, for I'm blest if he isn't in stays--you'll need to keep both eyes open all your watch."	It's your eight hours out to night, my lad, and if the breeze should happen to freshen about sundown, and that chap comes after us-and, by the piper, he means that same, for I'm blest if he isn't in stays-you'll need to keep both eyes open all your watch."	true	962.63	976.48	23.874105
