8848_293963_000002_000000	CHAPTER XXIII	CHAPTER twenty three
8848_293963_000019_000000	"What's that?" asked Miss Berengaria, coming up to the pair.	"What's that?" asked Miss Berengaria, coming up to the pair.
8848_293963_000020_000000	"I was only discussing Miss Malleson's future life," said Durham.	"I was only discussing Miss Malleson's future life," said Durham.
8848_293963_000021_000000	"Ah," sighed the old lady, sitting down.	"Ah," sighed the old lady, sitting down.
8848_293963_000021_000001	"What I shall do without her I don't know."	"What I shall do without her I don't know."
8848_293963_000022_000001	The Hall is within visiting distance."	The Hall is within visiting distance."
8848_293963_000023_000001	"But Bernard will want you all to himself, and small blame to him.	"But Bernard will want you all to himself, and small blame to him.
8848_293963_000023_000002	What is the time?"	What is the time?"
8848_293963_000024_000000	Alice glanced at her watch.	Alice glanced at her watch.
8848_293963_000024_000002	"Oh, I wish we could meet them."	"Oh, I wish we could meet them."
8848_293963_000025_000000	"Not at all," rejoined Miss Berengaria, brusquely, "better wait here with Lucy.	"Not at all," rejoined Miss Berengaria, brusquely, "better wait here with Lucy.
8848_293963_000025_000002	I don't want a scene of kissing and weeping on the platform.	I don't want a scene of kissing and weeping on the platform.
8848_293963_000026_000001	"Bernard at Gore Hall and Conniston at the castle."	"Bernard at Gore Hall and Conniston at the castle."
8848_293963_000027_000000	"I hope he and Lucy won't live there," said the old lady, rubbing her nose.	"I hope he and Lucy won't live there," said the old lady, rubbing her nose.
8848_293963_000027_000001	"A dreadfully damp place.	"A dreadfully damp place.
8848_293963_000027_000002	I went over there the other day to tell Mrs. Moon about Jerry."	I went over there the other day to tell mrs Moon about Jerry."
8848_293963_000028_000000	"Have you had good reports of him?"	"Have you had good reports of him?"
8848_293963_000029_000000	"So, so.	"So, so.
8848_293963_000029_000001	The reformatory he was put into seems to be a good one, and the boys are well looked after.	The reformatory he was put into seems to be a good one, and the boys are well looked after.
8848_293963_000029_000002	But Jerry is a tree which will grow crooked. He seems to have been giving a lot of trouble."	But Jerry is a tree which will grow crooked. He seems to have been giving a lot of trouble."
8848_293963_000030_000000	"Yet he was lucky to get off as he did," said Durham.	"Yet he was lucky to get off as he did," said Durham.
8848_293963_000031_000001	"At least, Bernard seems to think so."	"At least, Bernard seems to think so."
8848_293963_000032_000000	"I fancy Bernard is about right," replied Durham.	"I fancy Bernard is about right," replied Durham.
8848_293963_000032_000001	"The lad is a born criminal.	"The lad is a born criminal.
8848_293963_000032_000002	I wonder how he inherited such a tainted nature."	I wonder how he inherited such a tainted nature."
8848_293963_000033_000000	Miss Berengaria sat up briskly.	Miss Berengaria sat up briskly.
8848_293963_000033_000001	"I can tell you," she said.	"I can tell you," she said.
8848_293963_000033_000002	"Mrs. Moon informed me that her son--Jerry's father--was a desperate scamp, and also that several of her husband's people had come to bad ends."	"mrs Moon informed me that her son-Jerry's father-was a desperate scamp, and also that several of her husband's people had come to bad ends."
8848_293963_000034_000000	"To rope ends, I suppose, as Jerry will come," said Durham.	"To rope ends, I suppose, as Jerry will come," said Durham.
8848_293963_000034_000001	"However, he is safe for the next three years in his reformatory.	"However, he is safe for the next three years in his reformatory.
8848_293963_000034_000002	When he comes out, we will see what will happen.	When he comes out, we will see what will happen.
8848_293963_000035_000000	"Michael Gilroy?"	"Michael Gilroy?"
8848_293963_000036_000000	"Yes.	"Yes.
8848_293963_000036_000001	Has he taken that name for good?"	Has he taken that name for good?"
8848_293963_000037_000000	"He has.	"He has.
8848_293963_000037_000001	It's the only name he is entitled to.	It's the only name he is entitled to.
8848_293963_000037_000002	How glad I am that the poor creature was acquitted after that dreadful trial.	How glad I am that the poor creature was acquitted after that dreadful trial.
8848_293963_000037_000003	I am sure there is good in him."	I am sure there is good in him."
8848_293963_000038_000000	"So Bernard thought, and that was why he assisted him," said Alice.	"So Bernard thought, and that was why he assisted him," said Alice.
8848_293963_000039_000000	"I think you put in a good word for him, Miss Malleson."	"I think you put in a good word for him, Miss Malleson."
8848_293963_000040_000000	Alice assented.	Alice assented.
8848_293963_000040_000001	"I was sorry for the poor fellow.	"I was sorry for the poor fellow.
8848_293963_000040_000002	While I nursed him I saw much good in him.	While I nursed him I saw much good in him.
8848_293963_000040_000003	And, remember, that he had intended to tell me who he was when he arrived, only he was so ill."	And, remember, that he had intended to tell me who he was when he arrived, only he was so ill."
8848_293963_000042_000000	"Well, I don't think he was quite himself during that illness," said Alice, pensively.	"Well, I don't think he was quite himself during that illness," said Alice, pensively.
8848_293963_000042_000001	"Had he been better, he would certainly have doubted the fact of aunty's and my beliefs.	"Had he been better, he would certainly have doubted the fact of aunty's and my beliefs.
8848_293963_000042_000002	A few questions from me, and he would have been exposed, even had I truly believed he was Bernard."	A few questions from me, and he would have been exposed, even had I truly believed he was Bernard."
8848_293963_000043_000000	"And he must have wondered how you never put the questions."	"And he must have wondered how you never put the questions."
8848_293963_000044_000000	"Perhaps.	"Perhaps.
8848_293963_000044_000002	However, he spoke up well at the trial, and quite explained Bernard's innocence."	However, he spoke up well at the trial, and quite explained Bernard's innocence."
8848_293963_000045_000000	Durham shrugged his shoulders.	Durham shrugged his shoulders.
8848_293963_000045_000001	"The serpent in the bamboo.	"The serpent in the bamboo.
8848_293963_000045_000002	He was forced to be honest at the trial for his own sake."	He was forced to be honest at the trial for his own sake."
8848_293963_000046_000000	"Don't be hard on him," said Miss Berengaria, suddenly.	"Don't be hard on him," said Miss Berengaria, suddenly.
8848_293963_000046_000001	"I received a letter from him yesterday.	"I received a letter from him yesterday.
8848_293963_000046_000002	He is doing very well in America, and with the money Bernard gave him he has bought a farm.	He is doing very well in America, and with the money Bernard gave him he has bought a farm.
8848_293963_000046_000003	Also, he hopes to marry."	Also, he hopes to marry."
8848_293963_000047_000000	"I wonder will he tell his future wife anything of his past life."	"I wonder will he tell his future wife anything of his past life."
8848_293963_000048_000000	"Not if he is wise," said Durham, looking at Alice, who had spoken.	"Not if he is wise," said Durham, looking at Alice, who had spoken.
8848_293963_000048_000001	"By the way, Miss Berengaria, does he mention his mother?"	"By the way, Miss Berengaria, does he mention his mother?"
8848_293963_000049_000000	"No," replied the old lady, promptly.	"No," replied the old lady, promptly.
8848_293963_000049_000001	"Drat you, Durham! why should the boy mention his mother at this point?	"Drat you, Durham! why should the boy mention his mother at this point?
8848_293963_000049_000002	She has been dead all these months.	She has been dead all these months.
8848_293963_000049_000003	Poor soul! her end was a sad one.	Poor soul! her end was a sad one.
8848_293963_000049_000004	I never heard, though, of what poison she died."	I never heard, though, of what poison she died."
8848_293963_000050_000001	"The gipsies use it to poison pigs."	"The gipsies use it to poison pigs."
8848_293963_000051_000000	"Why do they wish to poison pigs?"	"Why do they wish to poison pigs?"
8848_293963_000052_000000	"Because, if they kill a pig in that way, the farmer to whom it belongs, thinking the animal has died a natural death, gives it to the gipsies and they eat it."	"Because, if they kill a pig in that way, the farmer to whom it belongs, thinking the animal has died a natural death, gives it to the gipsies and they eat it."
8848_293963_000053_000001	"I'll look well after my own pigs.	"I'll look well after my own pigs.
8848_293963_000053_000002	So the poor creature killed herself with that drug?"	So the poor creature killed herself with that drug?"
8848_293963_000054_000001	"I can't explain what it is.	"I can't explain what it is.
8848_293963_000054_000002	She hinted that I would know what drows meant before the end of the day, and I did.	She hinted that I would know what drows meant before the end of the day, and I did.
8848_293963_000054_000003	While I was telling Inspector Groom about her confession, she poisoned herself in my office.	While I was telling Inspector Groom about her confession, she poisoned herself in my office.
8848_293963_000054_000004	I thought she was asleep, but she evidently was watching for her opportunity to make away with herself."	I thought she was asleep, but she evidently was watching for her opportunity to make away with herself."
8848_293963_000055_000001	"I wonder you can bear to sit in that office after such an occurrence."	"I wonder you can bear to sit in that office after such an occurrence."
8848_293963_000056_000000	"How lucky it was that she signed that confession before she died," was the remark made by Alice.	"How lucky it was that she signed that confession before she died," was the remark made by Alice.
8848_293963_000057_000000	"My dear young lady, she came especially to confess, so as to save her son.	"My dear young lady, she came especially to confess, so as to save her son.
8848_293963_000059_000000	"Oh, I think so," said Durham, reflectively.	"Oh, I think so," said Durham, reflectively.
8848_293963_000059_000001	"After all, her confession meant hanging to her.	"After all, her confession meant hanging to her.
8848_293963_000059_000002	She wished to escape the gallows."	She wished to escape the gallows."
8848_293963_000060_000000	"I am glad Bernard did," said Miss Berengaria, emphatically; "even at the risk of all that scandal."	"I am glad Bernard did," said Miss Berengaria, emphatically; "even at the risk of all that scandal."
8848_293963_000061_000000	"It couldn't be kept out of the papers," said Durham, with a shrug. "After all, Bernard's character had to be fully cleansed.	"It couldn't be kept out of the papers," said Durham, with a shrug. "After all, Bernard's character had to be fully cleansed.
8848_293963_000061_000001	It was therefore necessary to tell the whole of Beryl's plot, to produce Michael as an example of what Nature can do in the way of resemblances, and to supplement the whole with Mrs. Gilroy's confession."	It was therefore necessary to tell the whole of Beryl's plot, to produce Michael as an example of what Nature can do in the way of resemblances, and to supplement the whole with mrs Gilroy's confession."
8848_293963_000062_000000	"And a nice trouble there was over it," said the old lady, annoyed.	"And a nice trouble there was over it," said the old lady, annoyed.
8848_293963_000062_000001	"I believe Bernard had a man calling on him who wished to write a play about the affair--a new kind of 'Corsican Brothers.'"	"I believe Bernard had a man calling on him who wished to write a play about the affair-a new kind of 'Corsican Brothers.'"
8848_293963_000063_000000	"Or a new 'Comedy of Errors,'" said Alice, smiling.	"Or a new 'Comedy of Errors,'" said Alice, smiling.
8848_293963_000063_000001	"Well, the public learned everything and were sorry for Bernard.	"Well, the public learned everything and were sorry for Bernard.
8848_293963_000063_000002	They cheered him when he left the court."	They cheered him when he left the court."
8848_293963_000064_000001	"The man who should have suffered was that wretch Beryl."	"The man who should have suffered was that wretch Beryl."
8848_293963_000065_000000	"We couldn't catch him," said Durham.	"We couldn't catch him," said Durham.
8848_293963_000065_000001	"Victoria reached him on that very night, and he cleared without loss of time.	"Victoria reached him on that very night, and he cleared without loss of time.
8848_293963_000065_000002	Of course, he was afraid of being accused of the crime, although he knew he was innocent, but, besides that, there was the conspiracy to get the estate by means of the false will.	Of course, he was afraid of being accused of the crime, although he knew he was innocent, but, besides that, there was the conspiracy to get the estate by means of the false will.
8848_293963_000066_000000	Miss Berengaria nodded.	Miss Berengaria nodded.
8848_293963_000066_000002	I understand she still believes in Jerry and will marry him when he comes out of the reformatory.	I understand she still believes in Jerry and will marry him when he comes out of the reformatory.
8848_293963_000066_000003	He will then be of a marriageable age, the brat!	He will then be of a marriageable age, the brat!
8848_293963_000066_000004	But, regarding Beryl, what became of him?"	But, regarding Beryl, what became of him?"
8848_293963_000067_000000	"I never could find out," confessed Durham.	"I never could find out," confessed Durham.
8848_293963_000068_000000	"Then I can tell you, Durham.	"Then I can tell you, Durham.
8848_293963_000068_000001	Michael saw him in New York."	Michael saw him in New York."
8848_293963_000069_000000	"Where?"	"Where?"
8848_293963_000070_000000	"In some low slum, very ragged and poor.	"In some low slum, very ragged and poor.
8848_293963_000070_000001	He didn't see Michael, or he might have troubled him.	He didn't see Michael, or he might have troubled him.
8848_293963_000070_000002	He has taken to drink, I believe--Beryl I mean--so some day he will die, and a nice fate awaits him where he will go," said Miss Berengaria, grimly.	He has taken to drink, I believe-Beryl I mean-so some day he will die, and a nice fate awaits him where he will go," said Miss Berengaria, grimly.
8848_293963_000071_000001	"Well," said he, looking down on the two ladies, "the whole case is over and ended.	"Well," said he, looking down on the two ladies, "the whole case is over and ended.
8848_293963_000071_000002	I don't see why we should revive such very unpleasant memories.	I don't see why we should revive such very unpleasant memories.
8848_293963_000071_000003	The past is past, so let it rest.	The past is past, so let it rest.
8848_293963_000071_000004	Bernard has the title and the money and----"	Bernard has the title and the money and----"
8848_293963_000072_000001	"Dear girl, how sweet she looks!"	"Dear girl, how sweet she looks!"
8848_293963_000073_000000	It was indeed Lucy tripping across the lawn in the lightest of summer frocks.	It was indeed Lucy tripping across the lawn in the lightest of summer frocks.
8848_293963_000073_000001	She looked charming, and greeted Alice with a kiss.	She looked charming, and greeted Alice with a kiss.
8848_293963_000073_000002	"I am so anxious," she whispered.	"I am so anxious," she whispered.
8848_293963_000073_000003	"The train will be in soon."	"The train will be in soon."
8848_293963_000074_000000	"You are anxious to see Conniston?" said Miss Berengaria.	"You are anxious to see Conniston?" said Miss Berengaria.
8848_293963_000075_000000	"Yes.	"Yes.
8848_293963_000076_000000	Durham bowed.	Durham bowed.
8848_293963_000076_000001	"You have been an admirable Lady of the Manor," he said. "But soon you will be Lady Conniston."	"You have been an admirable Lady of the Manor," he said. "But soon you will be Lady Conniston."
8848_293963_000077_000000	"And Alice will be Lady of the Manor," laughed Lucy.	"And Alice will be Lady of the Manor," laughed Lucy.
8848_293963_000077_000001	"Oh, by the way, Mr. Durham, I forgot to tell you that Signor Tolomeo called at the Hall yesterday.	"Oh, by the way, mr Durham, I forgot to tell you that Signor Tolomeo called at the Hall yesterday.
8848_293963_000077_000002	He thought Bernard was back, and came to thank him for his allowing him an income."	He thought Bernard was back, and came to thank him for his allowing him an income."
8848_293963_000078_000000	"I thought he had gone back to Italy," said Durham.	"I thought he had gone back to Italy," said Durham.
8848_293963_000079_000000	"He is going next week, and talks of marriage."	"He is going next week, and talks of marriage."
8848_293963_000080_000000	"I don't envy his wife," said Miss Berengaria, rising.	"I don't envy his wife," said Miss Berengaria, rising.
8848_293963_000080_000001	"Girls, come into the house to see that everything is prepared for our heroes."	"Girls, come into the house to see that everything is prepared for our heroes."
8848_293963_000081_000000	The girls laughed and tripped away.	The girls laughed and tripped away.
8848_293963_000081_000001	Durham left the garden and drove to the station to fetch back Conniston and Bernard.	Durham left the garden and drove to the station to fetch back Conniston and Bernard.
8848_293963_000081_000002	They did not come by that train, however, much to the disappointment of those at the Bower. It was seven before they arrived, and then the three ladies came out to meet them on the lawn.	They did not come by that train, however, much to the disappointment of those at the Bower. It was seven before they arrived, and then the three ladies came out to meet them on the lawn.
8848_293963_000082_000000	"Dear Alice," said Bernard, who had his arm in a sling, but otherwise looked what Conniston called "fit!", "how glad I am to see you!"	"Dear Alice," said Bernard, who had his arm in a sling, but otherwise looked what Conniston called "fit!", "how glad I am to see you!"
8848_293963_000083_000000	"And you, Lucy," said Conniston, taking his sweetheart in his arms.	"And you, Lucy," said Conniston, taking his sweetheart in his arms.
8848_293963_000084_000000	"Really," cried Miss Berengaria, while Durham stood by laughing, "it is most perplexing to assist at the meeting of a quartette of lovers.	"Really," cried Miss Berengaria, while Durham stood by laughing, "it is most perplexing to assist at the meeting of a quartette of lovers.
8848_293963_000084_000001	Gore, how are you?	Gore, how are you?
8848_293963_000084_000002	Conniston, your fever has pulled you down.	Conniston, your fever has pulled you down.
8848_293963_000084_000003	I hope you have both sown your wild oats and have come back to settle for good."	I hope you have both sown your wild oats and have come back to settle for good."
8848_293963_000085_000000	"With the most charming of wives," said Dick, bowing.	"With the most charming of wives," said Dick, bowing.
8848_293963_000085_000001	"We have."	"We have."
8848_293963_000086_000000	Miss Berengaria took Durham's arm.	Miss Berengaria took Durham's arm.
8848_293963_000086_000001	"I must look out a wife for you, sir," she said, leading him to the house.	"I must look out a wife for you, sir," she said, leading him to the house.
8848_293963_000086_000002	"Come away and let the turtle-doves coo alone.	"Come away and let the turtle doves coo alone.
8848_293963_000086_000003	I expect dinner will be late."	I expect dinner will be late."
8848_293963_000087_000000	And dinner was late.	And dinner was late.
8848_293963_000087_000001	Conniston, with Lucy on his arm, strolled away in the twilight, but Bernard and Alice remained under the elm.	Conniston, with Lucy on his arm, strolled away in the twilight, but Bernard and Alice remained under the elm.
8848_293963_000087_000002	When it grew quite dusk a red light was seen shining from the window of the drawing-room.	When it grew quite dusk a red light was seen shining from the window of the drawing room.
8848_293963_000087_000003	Gore pointed it out.	Gore pointed it out.
8848_293963_000088_000000	"That is the signal Lucy used to set in the window at the Hall to show that all was well," he said, putting his unwounded arm round the girl, "and now it gleams as a sign that there is a happy future for you and I, dearest."	"That is the signal Lucy used to set in the window at the Hall to show that all was well," he said, putting his unwounded arm round the girl, "and now it gleams as a sign that there is a happy future for you and I, dearest."
8848_293963_000089_000000	"A red light is a danger signal," said Alice, laughing.	"A red light is a danger signal," said Alice, laughing.
8848_293963_000090_000000	"This is the exception that proves the rule," said Gore.	"This is the exception that proves the rule," said Gore.
8848_293963_000090_000001	"It once led me into trouble, but now it shines upon me with my arms around you.	"It once led me into trouble, but now it shines upon me with my arms around you.
8848_293963_000090_000002	Thank Heaven that, after all our trouble, we are at last in smooth waters. There's the gong for dinner."	Thank Heaven that, after all our trouble, we are at last in smooth waters. There's the gong for dinner."
8848_293963_000091_000000	Alice laughed.	Alice laughed.
8848_293963_000091_000001	"A prosaic ending to a pretty speech," she said.	"A prosaic ending to a pretty speech," she said.
