7498_99156_000002_000000	META MOLLER.	META MOLLER.
7498_99156_000007_000003	I sincerely believed my love to be friendship.	I sincerely believed my love to be friendship.
7498_99156_000007_000004	I spoke to my friends of nothing but Klopstock, and showed his letters.	I spoke to my friends of nothing but Klopstock, and showed his letters.
7498_99156_000007_000005	They rallied me, and said I was in love.	They rallied me, and said I was in love.
7498_99156_000007_000006	I rallied them again, and said that they must have a very friendshipless heart if they had no idea of friendship to a man as well as to a woman.	I rallied them again, and said that they must have a very friendshipless heart if they had no idea of friendship to a man as well as to a woman.
7498_99156_000007_000007	Thus it continued eight months, in which time my friends found as much love in Klopstock's letters as in mine.	Thus it continued eight months, in which time my friends found as much love in Klopstock's letters as in mine.
7498_99156_000007_000008	I perceived it likewise, but I would not believe it.	I perceived it likewise, but I would not believe it.
7498_99156_000007_000009	At the last, Klopstock said plainly that he loved; and I startled as for a wrong thing.	At the last, Klopstock said plainly that he loved; and I startled as for a wrong thing.
7498_99156_000007_000010	I answered that it was no love, but friendship, as it was what I felt for him; we had not seen one another enough to love (as if love must have more time than friendship).	I answered that it was no love, but friendship, as it was what I felt for him; we had not seen one another enough to love (as if love must have more time than friendship).
7498_99156_000007_000012	This he did a year after we had seen one another for the first time.	This he did a year after we had seen one another for the first time.
7498_99156_000007_000013	We saw; we were friends; we loved; and we believed that we loved; and a short time after I could even tell Klopstock that I loved.	We saw; we were friends; we loved; and we believed that we loved; and a short time after I could even tell Klopstock that I loved.
7498_99156_000007_000014	But we were obliged to part again, and wait two years for our wedding.	But we were obliged to part again, and wait two years for our wedding.
7498_99156_000007_000016	I could marry then without her consentment, as by the death of my father my fortune depended not upon her; but this was an horrible idea for me, and thank heaven I have prevailed by prayers.	I could marry then without her consentment, as by the death of my father my fortune depended not upon her; but this was an horrible idea for me, and thank heaven I have prevailed by prayers.
7498_99156_000007_000017	At this time, knowing Klopstock, she loves him as her lifely son, and thanks God that she has not persisted.	At this time, knowing Klopstock, she loves him as her lifely son, and thanks God that she has not persisted.
7498_99156_000007_000018	We married, and I am the happiest wife in the world."	We married, and I am the happiest wife in the world."
7498_99156_000008_000000	This was written in March 1758, after they had been about four years married.	This was written in march seventeen fifty eight, after they had been about four years married.
7498_99156_000008_000001	Writing again in the beginning of May, she thus sketches the life they led together: "It will be a delightful occupation for me to make you more acquainted with my husband's poem.	Writing again in the beginning of May, she thus sketches the life they led together: "It will be a delightful occupation for me to make you more acquainted with my husband's poem.
7498_99156_000008_000002	Nobody can do it better than I, being the person who knows the most of that which is not yet published, being always present at the birth of the young verses, which begin always by fragments here and there of a subject of which his soul is just then filled.	Nobody can do it better than I, being the person who knows the most of that which is not yet published, being always present at the birth of the young verses, which begin always by fragments here and there of a subject of which his soul is just then filled.
7498_99156_000008_000003	He has many great fragments of the whole work ready.	He has many great fragments of the whole work ready.
7498_99156_000008_000004	You may think that persons who love as we do have no need of two chambers; we are always in the same.	You may think that persons who love as we do have no need of two chambers; we are always in the same.
7498_99156_000008_000005	I, with my little work, still only regarding sometimes my husband's sweet face, which is so venerable at that time with tears of devotion and all the sublimity of the subject, my husband reading me the young verses and suffering my criticism."	I, with my little work, still only regarding sometimes my husband's sweet face, which is so venerable at that time with tears of devotion and all the sublimity of the subject, my husband reading me the young verses and suffering my criticism."
7498_99156_000009_000000	With this we may compare what Klopstock says, writing of her: "How perfect was her taste! how exquisitely fine her feelings! she observed everything even to the slightest turn of the thought.	With this we may compare what Klopstock says, writing of her: "How perfect was her taste! how exquisitely fine her feelings! she observed everything even to the slightest turn of the thought.
7498_99156_000009_000001	I had only to look at her, and could see in her face when even a syllable pleased or displeased her; and when I led her to explain the reason of her remarks, no demonstration could be more true, more accurate, or more appropriate to the subject.	I had only to look at her, and could see in her face when even a syllable pleased or displeased her; and when I led her to explain the reason of her remarks, no demonstration could be more true, more accurate, or more appropriate to the subject.
7498_99156_000009_000002	But, in general, this gave us very little trouble, for we understood each other when we had scarcely began to explain our ideas."	But, in general, this gave us very little trouble, for we understood each other when we had scarcely began to explain our ideas."
7498_99156_000010_000000	But all this happiness, too bright for earth, or for long endurance, was about to be suddenly extinguished.	But all this happiness, too bright for earth, or for long endurance, was about to be suddenly extinguished.
7498_99156_000010_000002	It was the first time that they had been separated.	It was the first time that they had been separated.
7498_99156_000010_000003	It is remarkable that she seems to have had more than a mere apprehension, almost an assured foreboding, of what awaited her.	It is remarkable that she seems to have had more than a mere apprehension, almost an assured foreboding, of what awaited her.
7498_99156_000010_000005	The two following months they spent together at Hamburg.	The two following months they spent together at Hamburg.
7498_99156_000010_000006	From that place poor Meta was never to return.	From that place poor Meta was never to return.
