4967_3586_000003_000000	Everything had gone wrong with Polly that day.	Everything had gone wrong with Polly that day.
4967_3586_000028_000000	"I haven't finished," said Polly, snipping away vigorously, and longing to get back to mamsie.	"I haven't finished," said Polly, snipping away vigorously, and longing to get back to mamsie.
4967_3586_000028_000001	"Wait till they're done; then they'll be good--as good as can be!"	"Wait till they're done; then they'll be good-as good as can be!"
4967_3586_000029_000000	"And it's bad enough to have to make them," put in Jasper, flinging aside his book and rolling over to watch them, "without having to be found fault with every second, Percy."	"And it's bad enough to have to make them," put in Jasper, flinging aside his book and rolling over to watch them, "without having to be found fault with every second, Percy."
4967_3586_000030_000000	"They're too big," said Percy, surveying them critically, and then looking at his boat.	"They're too big," said Percy, surveying them critically, and then looking at his boat.
4967_3586_000031_000000	"Oh, that corner's coming off," cried Polly cheerfully, giving it a sharp cut that sent it flying on the floor.	"Oh, that corner's coming off," cried Polly cheerfully, giving it a sharp cut that sent it flying on the floor.
4967_3586_000031_000002	There," as she held one up for inspection, "that's just the way I used to make Ben's and mine, when we sailed boats."	There," as she held one up for inspection, "that's just the way I used to make Ben's and mine, when we sailed boats."
4967_3586_000032_000000	"Is it?" asked Percy, looking with more respect at the piece of cloth Polly was waving alluringly before him.	"Is it?" asked Percy, looking with more respect at the piece of cloth Polly was waving alluringly before him.
4967_3586_000032_000001	"Just exactly like it, Polly?"	"Just exactly like it, Polly?"
4967_3586_000034_000000	"And were theirs just like this?" asked Percy, laying his hand on the sail she had finished cutting out.	"And were theirs just like this?" asked Percy, laying his hand on the sail she had finished cutting out.
4967_3586_000035_000000	"Pre-cisely," said Polly, with a pin in her mouth.	"Pre cisely," said Polly, with a pin in her mouth.
4967_3586_000035_000001	"Just as like as two peas, Percy Whitney."	"Just as like as two peas, Percy Whitney."
4967_3586_000037_000000	"Oh now, that's too bad!" he cried, seeing Polly fold up the remaining bits of cloth, and pick up the scraps on the floor.	"Oh now, that's too bad!" he cried, seeing Polly fold up the remaining bits of cloth, and pick up the scraps on the floor.
4967_3586_000039_000000	"I forgot--" began Percy, "and she cut 'em so quick--and--"	"I forgot-" began Percy, "and she cut 'em so quick-and-"
4967_3586_000040_000000	"And I've been waiting," said Van, in a loud wrathful key, "and waiting--and waiting!"	"And I've been waiting," said Van, in a loud wrathful key, "and waiting-and waiting!"
4967_3586_000042_000000	"They're done and done beautifully, aren't they?" he said, holding up one.	"They're done and done beautifully, aren't they?" he said, holding up one.
4967_3586_000043_000000	But this only proved fresh fuel for the fire of Van's indignation.	But this only proved fresh fuel for the fire of Van's indignation.
4967_3586_000045_000001	"I cut--all the keel--and the bow--and--"	"I cut-all the keel-and the bow-and-"
4967_3586_000046_000000	"Oh dear!" said Polly, in extreme dismay, looking at Jasper.	"Oh dear!" said Polly, in extreme dismay, looking at Jasper.
4967_3586_000046_000001	"Come, I'll tell you what I'll do, boys."	"Come, I'll tell you what I'll do, boys."
4967_3586_000047_000000	"What?" said Van, cooling off a little, and allowing Percy to edge into a corner with the beloved boat and one sail.	"What?" said Van, cooling off a little, and allowing Percy to edge into a corner with the beloved boat and one sail.
4967_3586_000047_000001	"What will you, Polly?"	"What will you, Polly?"
4967_3586_000052_000002	"You did say so, Polly!	"You did say so, Polly!
4967_3586_000052_000003	You know you did!"	You know you did!"
4967_3586_000053_000000	"Of course I did, Vanny," said Polly, smiling down into his eager face, "and we'll have a splendid pair in just--one--minute!" she sang.	"Of course I did, Vanny," said Polly, smiling down into his eager face, "and we'll have a splendid pair in just-one-minute!" she sang.
4967_3586_000054_000000	And so the sails were cut out, and the hems turned down and basted, and tucked away into Polly's little work-basket ready for the sewing on the morrow.	And so the sails were cut out, and the hems turned down and basted, and tucked away into Polly's little work basket ready for the sewing on the morrow.
