8119_115686_000004_000000	CHAPTER VI	CHAPTER six
8119_115686_000033_000000	One hurled his knife at me.	One hurled his knife at me.
8119_115686_000033_000001	It grazed my cheek.	It grazed my cheek.
8119_115686_000033_000002	Then a couple of them made a break for the doorway.	Then a couple of them made a break for the doorway.
8119_115686_000033_000003	The rest followed.	The rest followed.
8119_115686_000033_000004	But I fired pointblank with my hand-gun, pressing the button as fast as I could and aiming at their feet to make sure my explosive rockets would make contact and do their work.	But I fired pointblank with my hand gun, pressing the button as fast as I could and aiming at their feet to make sure my explosive rockets would make contact and do their work.
8119_115686_000034_000003	They had been fairly bunched, and I got them all.	They had been fairly bunched, and I got them all.
8119_115686_000036_000000	Some eighth of a mile away I saw one of the ships crash to earth.	Some eighth of a mile away I saw one of the ships crash to earth.
8119_115686_000036_000002	But it never reached it.	But it never reached it.
8119_115686_000038_000001	The other, farther away, drifted down diagonally, its disintegrator ray playing viciously over the ground below it.	The other, farther away, drifted down diagonally, its disintegrator ray playing viciously over the ground below it.
8119_115686_000041_000000	His commands, sending out jumpers in pursuit of the descending ship, rang in my ears, but I paid no attention to them.	His commands, sending out jumpers in pursuit of the descending ship, rang in my ears, but I paid no attention to them.
8119_115686_000041_000001	I leaped back into the compartment of the Han ship and knelt beside my Wilma.	I leaped back into the compartment of the Han ship and knelt beside my Wilma.
8119_115686_000042_000000	"Oh, my head!" she groaned, coming to as I lifted her gently in my arms and strode out in the open with her.	"Oh, my head!" she groaned, coming to as I lifted her gently in my arms and strode out in the open with her.
8119_115686_000043_000001	"All but one crashed and that one is drifting down toward the south; we've captured this one we're in intact.	"All but one crashed and that one is drifting down toward the south; we've captured this one we're in intact.
8119_115686_000045_000001	It was in the form of a public warning and news item, and read as follows:	It was in the form of a public warning and news item, and read as follows:
8119_115686_000049_000003	So unless further evidence actually is developed, or the Heaven-Born orders to the contrary, the Military will hold to a defensive policy.	So unless further evidence actually is developed, or the Heaven Born orders to the contrary, the Military will hold to a defensive policy.
8119_115686_000052_000006	The party debarked, leaving one man on board in the control cabin.	The party debarked, leaving one man on board in the control cabin.
8119_115686_000053_000003	An instant later confused sounds reached the control-room electrophone, such as might be made by a man falling heavily, and footsteps reapproached the control room, a figure entering and leaving the control room hurriedly.	An instant later confused sounds reached the control room electrophone, such as might be made by a man falling heavily, and footsteps reapproached the control room, a figure entering and leaving the control room hurriedly.
8119_115686_000053_000004	The Base Captain now believes, and the stills of the photorecord support his belief, that this was not the crew member who had been left in the control room.	The Base Captain now believes, and the stills of the photorecord support his belief, that this was not the crew member who had been left in the control room.
8119_115686_000053_000005	Before the Base Captain could speak to him he left the room, nor was any response given to the attention signal the Captain flashed throughout the ship.	Before the Base Captain could speak to him he left the room, nor was any response given to the attention signal the Captain flashed throughout the ship.
8119_115686_000054_000000	"At this point projectoscope RB-3 of the ship now out of focus control, dimly showed the landing party walking back toward the ship.	"At this point projectoscope r b three of the ship now out of focus control, dimly showed the landing party walking back toward the ship.
8119_115686_000057_000003	Then the forward rep-ray generator exploded, and all signals went dead.	Then the forward rep ray generator exploded, and all signals went dead.
8119_115686_000059_000000	"As its control room was shattered, verbal report from its Action Captain was precluded.	"As its control room was shattered, verbal report from its Action Captain was precluded.
8119_115686_000059_000002	The projectoscope relays, swinging in wide arcs, recorded little of value except at the ends of their swings.	The projectoscope relays, swinging in wide arcs, recorded little of value except at the ends of their swings.
8119_115686_000059_000003	One of these, from a machine which happened to be set in telescopic focus, shows several views of great value in picturing the falls of the other ships, and all of the rear projectoscope records enable the reconstruction in detail of the pendulum and torsional movements of the ship, and its sag toward the earth.	One of these, from a machine which happened to be set in telescopic focus, shows several views of great value in picturing the falls of the other ships, and all of the rear projectoscope records enable the reconstruction in detail of the pendulum and torsional movements of the ship, and its sag toward the earth.
