699_132866_000000_000000	She waived references.	She waived references.	false	0	0.51	8
699_132866_000008_000002	Mrs. Arbuthnot's conscience, made super-sensitive by years of pampering, could not reconcile what she was doing with its own high standard of what was right.	mrs Arbuthnot's conscience, made super sensitive by years of pampering, could not reconcile what she was doing with its own high standard of what was right.	true	158.03	169.81	20.595476
699_132866_000008_000003	It gave her little peace.	It gave her little peace.	true	170.57	172.39	19.441782
699_132866_000008_000004	It nudged her at her prayers.	It nudged her at her prayers.	true	173.24	175.33	18.015606
699_132866_000008_000005	It punctuated her entreaties for divine guidance with disconcerting questions, such as, "Are you not a hypocrite?	It punctuated her entreaties for divine guidance with disconcerting questions, such as, "Are you not a hypocrite?	true	176.24	184.6	18.997206
699_132866_000008_000006	Do you really mean that?	Do you really mean that?	true	185.09	186.91	18
699_132866_000008_000007	Would you not, frankly, be disappointed if that prayer were granted?"	Would you not, frankly, be disappointed if that prayer were granted?"	true	187.91	195.28	22.32247
699_132866_000009_000000	The prolonged wet, raw weather was on the side too of her conscience, producing far more sickness than usual among the poor. They had bronchitis; they had fevers; there was no end to the distress. And here she was going off, spending precious money on going off, simply and solely to be happy.	The prolonged wet, raw weather was on the side too of her conscience, producing far more sickness than usual among the poor. They had bronchitis; they had fevers; there was no end to the distress. And here she was going off, spending precious money on going off, simply and solely to be happy.	true	195.83	217.93	19.976807
699_132866_000009_000001	One woman.	One woman.	true	218.51	219.46	20.957865
699_132866_000009_000002	One woman being happy, and these piteous multitudes . . .	One woman being happy, and these piteous multitudes . . .	true	219.86	225.49	19.193966
699_132866_000010_000000	She was unable to look the vicar in the face.	She was unable to look the vicar in the face.	true	226.88	229.24	18
699_132866_000010_000001	He did not know, nobody knew, what she was going to do, and from the very beginning she was unable to look anybody in the face.	He did not know, nobody knew, what she was going to do, and from the very beginning she was unable to look anybody in the face.	true	230.27	239.29	21.24812
699_132866_000010_000002	She excused herself from making speeches appealing for money.	She excused herself from making speeches appealing for money.	true	240.02	243.82	19
699_132866_000010_000003	How could she stand up and ask people for money when she herself was spending so much on her own selfish pleasure?	How could she stand up and ask people for money when she herself was spending so much on her own selfish pleasure?	true	244.52	252.4	20.855053
699_132866_000010_000004	Nor did it help her or quiet her that, having actually told Frederick, in her desire to make up for what she was squandering, that she would be grateful if he would let her have some money, he instantly gave her a cheque for L100.	Nor did it help her or quiet her that, having actually told Frederick, in her desire to make up for what she was squandering, that she would be grateful if he would let her have some money, he instantly gave her a cheque for l one hundred.	false	253.4	267.75	21.686707
699_132866_000010_000005	He asked no questions. She was scarlet.	He asked no questions. She was scarlet.	false	267.75	273.57	20.28631
699_132866_000010_000006	He looked at her a moment and then looked away.	He looked at her a moment and then looked away.	true	273.57	276.1	14
699_132866_000010_000007	It was a relief to Frederick that she should take some money.	It was a relief to Frederick that she should take some money.	true	276.77	280.12	18
699_132866_000010_000008	She gave it all immediately to the organization she worked with, and found herself more tangled in doubts than ever.	She gave it all immediately to the organization she worked with, and found herself more tangled in doubts than ever.	true	280.79	288.19	20
699_132866_000011_000000	Mrs. Wilkins, on the contrary, had no doubts.	mrs Wilkins, on the contrary, had no doubts.	true	289.67	292.66	16
699_132866_000011_000001	She was quite certain that it was a most proper thing to have a holiday, and altogether right and beautiful to spend one's own hard-collected savings on being happy.	She was quite certain that it was a most proper thing to have a holiday, and altogether right and beautiful to spend one's own hard collected savings on being happy.	true	293.03	303.43	17
699_132866_000012_000000	"Think how much nicer we shall be when we come back," she said to Mrs. Arbuthnot, encouraging that pale lady.	"Think how much nicer we shall be when we come back," she said to mrs Arbuthnot, encouraging that pale lady.	true	305.15	312.91	20
699_132866_000013_000000	No, Mrs. Wilkins had no doubts, but she had fears; and March was for her too an anxious month, with the unconscious Mr. Wilkins coming back daily to his dinner and eating his fish in the silence of imagined security.	No, mrs Wilkins had no doubts, but she had fears; and March was for her too an anxious month, with the unconscious mr Wilkins coming back daily to his dinner and eating his fish in the silence of imagined security.	true	314.48	331.68	21.507229
699_132866_000014_000000	Also things happened so awkwardly.	Also things happened so awkwardly.	false	331.68	335.65	19.765287
699_132866_000014_000001	It really is astonishing, how awkwardly they happen.	It really is astonishing, how awkwardly they happen.	true	336.11	340.09	18
699_132866_000014_000002	Mrs. Wilkins, who was very careful all this month to give Mellersh only the food he liked, buying it and hovering over its cooking with a zeal more than common, succeeded so well the Mellersh was pleased; definitely pleased; so much pleased that he began to think that he might, after all, have married the right wife instead of, as he had frequently suspected, the wrong one.	mrs Wilkins, who was very careful all this month to give Mellersh only the food he liked, buying it and hovering over its cooking with a zeal more than common, succeeded so well the Mellersh was pleased; definitely pleased; so much pleased that he began to think that he might, after all, have married the right wife instead of, as he had frequently suspected, the wrong one.	false	340.97	370.03	20.556767
699_132866_000014_000003	The result was that on the third Sunday in the month--Mrs.	The result was that on the third Sunday in the month-mrs	true	370.91	374.88	19.821638
699_132866_000014_000004	Wilkins had made up her trembling mind that on the fourth Sunday, there being five in that March and it being on the fifth of them that she and Mrs. Arbuthnot were to start, she would tell Mellersh of her invitation--on the third Sunday, then, after a very well-cooked lunch in which the Yorkshire pudding had melted in his mouth and the apricot tart had been so perfect that he ate it all, Mellersh, smoking his cigar by the brightly burning fire the while hail gusts banged on the window, said "I am thinking of taking you to Italy for Easter." And paused for her astounded and grateful ecstasy.	Wilkins had made up her trembling mind that on the fourth Sunday, there being five in that March and it being on the fifth of them that she and mrs Arbuthnot were to start, she would tell Mellersh of her invitation-on the third Sunday, then, after a very well cooked lunch in which the Yorkshire pudding had melted in his mouth and the apricot tart had been so perfect that he ate it all, Mellersh, smoking his cigar by the brightly burning fire the while hail gusts banged on the window, said "I am thinking of taking you to Italy for Easter." And paused for her astounded and grateful ecstasy.	true	374.88	418.84	20.570484
699_132866_000015_000000	None came.	None came.	true	418.94	420.22	23.085373
699_132866_000015_000001	The silence in the room, except for the hail hitting the windows and the gay roar of the fire, was complete.	The silence in the room, except for the hail hitting the windows and the gay roar of the fire, was complete.	true	422.06	429.46	21.298216
699_132866_000015_000002	Mrs. Wilkins could not speak.	mrs Wilkins could not speak.	true	430.61	432.91	23.593777
699_132866_000015_000003	She was dumbfounded.	She was dumbfounded.	true	433.28	435.43	18.910276
699_132866_000015_000004	The next Sunday was the day she had meant to break her news to him, and she had not yet even prepared the form of words in which she would break it.	The next Sunday was the day she had meant to break her news to him, and she had not yet even prepared the form of words in which she would break it.	false	436.01	444.82	20.457943
699_132866_000016_000000	Mr. Wilkins, who had not been abroad since before the war, and was noticing with increasing disgust, as week followed week of wind and rain, the peculiar persistent vileness of the weather, and slowly conceived a desire to get away from England for Easter.	mr Wilkins, who had not been abroad since before the war, and was noticing with increasing disgust, as week followed week of wind and rain, the peculiar persistent vileness of the weather, and slowly conceived a desire to get away from England for Easter.	true	447.14	466.15	21
699_132866_000016_000001	He was doing very well in his business.	He was doing very well in his business.	true	467.21	469.245	15
699_132866_000016_000002	He could afford a trip.	He could afford a trip.	true	469.245	470.74	21.01807
699_132866_000016_000003	Switzerland was useless in April.	Switzerland was useless in April.	true	471.41	474.87	16.562113
699_132866_000016_000004	There was a familiar sound about Easter in Italy. To Italy he would go; and as it would cause comment if he did not take his wife, take her he must--besides, she would be useful; a second person was always useful in a country whose language one did not speak for holding things, for waiting with the luggage.	There was a familiar sound about Easter in Italy. To Italy he would go; and as it would cause comment if he did not take his wife, take her he must-besides, she would be useful; a second person was always useful in a country whose language one did not speak for holding things, for waiting with the luggage.	true	474.87	499.18	20.550152
699_132866_000017_000000	He had expected an explosion of gratitude and excitement.	He had expected an explosion of gratitude and excitement.	true	500.63	504.82	20.495224
699_132866_000017_000001	The absence of it was incredible.	The absence of it was incredible.	true	505.58	508.09	23.229576
699_132866_000017_000002	She could not, he concluded, have heard. Probably she was absorbed in some foolish day-dream.	She could not, he concluded, have heard. Probably she was absorbed in some foolish day dream.	true	508.97	515.5	19.788792
699_132866_000017_000003	It was regrettable how childish she remained.	It was regrettable how childish she remained.	true	516.56	519.76	14
699_132866_000018_000000	He turned his head--their chairs were in front of the fire--and looked at her.	He turned his head-their chairs were in front of the fire-and looked at her.	true	520.85	525.73	20.35147
699_132866_000018_000001	She was staring straight into the fire, and it was no doubt the fire that made her face so red.	She was staring straight into the fire, and it was no doubt the fire that made her face so red.	true	526.73	533.35	19.998547
699_132866_000019_000000	"I am thinking," he repeated, raising his clear, cultivated voice and speaking with acerbity, for inattention at such a moment was deplorable, "of taking you to Italy for Easter.	"I am thinking," he repeated, raising his clear, cultivated voice and speaking with acerbity, for inattention at such a moment was deplorable, "of taking you to Italy for Easter.	true	534.02	547.78	21.24372
699_132866_000019_000001	Did you not hear me?"	Did you not hear me?"	true	547.94	549.55	25.894932
699_132866_000020_000000	Yes, she had heard him, and she had been wondering at the extraordinary coincidence--really most extraordinary--she was just going to tell him how--how she had been invited--a friend had invited her--Easter, too--Easter was in April, wasn't it?---her friend had a-- had a house there.	Yes, she had heard him, and she had been wondering at the extraordinary coincidence-really most extraordinary-she was just going to tell him how-how she had been invited-a friend had invited her-Easter, too-Easter was in April, wasn't it?---her friend had a- had a house there.	false	551.15	574.75	20.44739
699_132866_000021_000000	In fact Mrs. Wilkins, driven by terror, guilt and surprise, had been more incoherent if possible than usual.	In fact mrs Wilkins, driven by terror, guilt and surprise, had been more incoherent if possible than usual.	true	576.11	584.56	21
699_132866_000022_000000	It was a dreadful afternoon.	It was a dreadful afternoon.	true	586.49	588.76	20.495367
699_132866_000022_000001	Mellersh, profoundly indignant, besides having his intended treat coming back on him like a blessing to roost, cross-examined her with the utmost severity.	Mellersh, profoundly indignant, besides having his intended treat coming back on him like a blessing to roost, cross examined her with the utmost severity.	true	589.4	601.3	21.283955
699_132866_000022_000002	He demanded that she refuse the invitation.	He demanded that she refuse the invitation.	true	602.33	605.14	18
699_132866_000022_000003	He demanded that, since she had so outrageously accepted it without consulting him, she should write and cancel her acceptance.	He demanded that, since she had so outrageously accepted it without consulting him, she should write and cancel her acceptance.	true	606.08	614.23	22
699_132866_000022_000004	Finding himself up against an unsuspected, shocking rock of obstinacy in her, he then declined to believe she had been invited to Italy at all.	Finding himself up against an unsuspected, shocking rock of obstinacy in her, he then declined to believe she had been invited to Italy at all.	true	615.8	625.36	21
699_132866_000022_000005	He declined to believe in this Mrs. Arbuthnot, of whom till that moment he had never heard; and it was only when the gentle creature was brought round--with such difficulty, with such a desire on her part to throw the whole thing up rather than tell Mr. Wilkins less than the truth--and herself endorsed his wife's statements that he was able to give them credence.	He declined to believe in this mrs Arbuthnot, of whom till that moment he had never heard; and it was only when the gentle creature was brought round-with such difficulty, with such a desire on her part to throw the whole thing up rather than tell mr Wilkins less than the truth-and herself endorsed his wife's statements that he was able to give them credence.	false	626.69	651.4	20.153816
699_132866_000022_000006	He could not but believe Mrs. Arbuthnot.	He could not but believe mrs Arbuthnot.	true	651.5	654.16	22
699_132866_000022_000007	She produced the precise effect on him that she did on Tube officials.	She produced the precise effect on him that she did on Tube officials.	true	654.65	659.02	17
699_132866_000022_000008	She hardly needed to say anything.	She hardly needed to say anything.	true	660.02	662.08	15
699_132866_000022_000009	But that made no difference to her conscience, which knew and would not let her forget that she had given him an incomplete impression.	But that made no difference to her conscience, which knew and would not let her forget that she had given him an incomplete impression.	true	662.87	671.46	20.793955
699_132866_000022_000010	"Do you," asked her conscience, "see any real difference between an incomplete impression and a completely stated lie?	"Do you," asked her conscience, "see any real difference between an incomplete impression and a completely stated lie?	false	671.46	682.84	21.551838
699_132866_000022_000011	God sees none."	God sees none."	true	683.36	684.7	22.628433
699_132866_000023_000000	The remainder of March was a confused bad dream.	The remainder of March was a confused bad dream.	true	687.26	690.16	18
699_132866_000023_000001	Both Mrs. Arbuthnot and Mrs. Wilkins were shattered; try as they would not to, both felt extraordinarily guilty; and when on the morning of the 30th they did finally get off there was no exhilaration about the departure, no holiday feeling at all.	Both mrs Arbuthnot and mrs Wilkins were shattered; try as they would not to, both felt extraordinarily guilty; and when on the morning of the thirtieth they did finally get off there was no exhilaration about the departure, no holiday feeling at all.	true	691.07	708.85	20.456688
699_132866_000024_000000	"We've been too good--much too good," Mrs. Wilkins kept on murmuring as they walked up and down the platform at Victoria, having arrived there an hour before they need have, "and that's why we feel as though we're doing wrong.	"We've been too good-much too good," mrs Wilkins kept on murmuring as they walked up and down the platform at Victoria, having arrived there an hour before they need have, "and that's why we feel as though we're doing wrong.	true	710.81	726.01	20.481592
699_132866_000024_000001	We're brow-beaten--we're not any longer real human beings.	We're brow beaten-we're not any longer real human beings.	true	726.32	730.78	21.83141
699_132866_000024_000002	Real human beings aren't ever as good as we've been. Oh"--she clenched her thin hands--"to think that we ought to be so happy now, here on the very station, actually starting, and we're not, and it's being spoilt for us just simply because we've spoilt them! What have we done--what have we done, I should like to know," she inquired of Mrs. Arbuthnot indignantly, "except for once want to go away by ourselves and have a little rest from them?"	Real human beings aren't ever as good as we've been. Oh"--she clenched her thin hands-"to think that we ought to be so happy now, here on the very station, actually starting, and we're not, and it's being spoilt for us just simply because we've spoilt them! What have we done-what have we done, I should like to know," she inquired of mrs Arbuthnot indignantly, "except for once want to go away by ourselves and have a little rest from them?"	false	731.3	757.47	21.53853
699_132866_000025_000000	Mrs. Arbuthnot, patiently pacing, did not ask who she meant by them, because she knew.	mrs Arbuthnot, patiently pacing, did not ask who she meant by them, because she knew.	false	757.47	763.89	20.906515
699_132866_000025_000001	Mrs. Wilkins meant their husbands, persisting in her assumption that Frederick was as indignant as Mellersh over the departure of his wife, whereas Frederick did not even know his wife had gone.	mrs Wilkins meant their husbands, persisting in her assumption that Frederick was as indignant as Mellersh over the departure of his wife, whereas Frederick did not even know his wife had gone.	true	763.89	777.1	20
699_132866_000026_000000	Mrs. Arbuthnot, always silent about him, had said nothing of this to Mrs. Wilkins.	mrs Arbuthnot, always silent about him, had said nothing of this to mrs Wilkins.	true	778.04	783.67	19
699_132866_000026_000001	Frederick went too deep into her heart for her to talk about him.	Frederick went too deep into her heart for her to talk about him.	true	784.55	789.1	23.024956
699_132866_000026_000002	He was having an extra bout of work finishing another of those dreadful books, and had been away practically continually the last few weeks, and was away when she left.	He was having an extra bout of work finishing another of those dreadful books, and had been away practically continually the last few weeks, and was away when she left.	true	789.98	801.07	21
699_132866_000026_000003	Why should she tell him beforehand?	Why should she tell him beforehand?	true	802.1	804.31	16
699_132866_000026_000004	Sure as she so miserably was that he would have no objection to anything she did, she merely wrote him a note and put it on the hall-table ready for him if and when he should come home.	Sure as she so miserably was that he would have no objection to anything she did, she merely wrote him a note and put it on the hall table ready for him if and when he should come home.	true	805.31	819.76	18.325697
699_132866_000026_000005	She said she was going for a month's holiday as she needed a rest and she had not had one for so long, and that Gladys, the efficient parlourmaid, had orders to see to his comforts.	She said she was going for a month's holiday as she needed a rest and she had not had one for so long, and that Gladys, the efficient parlourmaid, had orders to see to his comforts.	false	819.83	832.03	21.28437
699_132866_000026_000006	She did not say where she was going; there was no reason why she should; he would not be interested, he would not care.	She did not say where she was going; there was no reason why she should; he would not be interested, he would not care.	true	833.09	844.05	18.164003
699_132866_000027_000000	The day was wretched, blustering and wet; the crossing was atrocious, and they were very sick.	The day was wretched, blustering and wet; the crossing was atrocious, and they were very sick.	true	844.05	850.3	19.400852
699_132866_000027_000001	But after having been very sick, just to arrive at Calais and not be sick was happiness, and it was there that the real splendour of what they were doing first began to warm their benumbed spirits.	But after having been very sick, just to arrive at Calais and not be sick was happiness, and it was there that the real splendour of what they were doing first began to warm their benumbed spirits.	true	851.93	865.54	21
699_132866_000027_000002	It got hold of Mrs. Wilkins first, and spread from her like a rose-coloured flame over her pale companion. Mellersh at Calais, where they restored themselves with soles because of Mrs. Wilkins's desire to eat a sole Mellersh wasn't having--Mellersh at Calais had already begun to dwindle and seem less important.	It got hold of mrs Wilkins first, and spread from her like a rose coloured flame over her pale companion. Mellersh at Calais, where they restored themselves with soles because of mrs Wilkins's desire to eat a sole Mellersh wasn't having-Mellersh at Calais had already begun to dwindle and seem less important.	false	866.51	892.54	19.887129
699_132866_000027_000003	None of the French porters knew him; not a single official at Calais cared a fig for Mellersh.	None of the French porters knew him; not a single official at Calais cared a fig for Mellersh.	true	893.81	900.94	20.771212
699_132866_000027_000004	In Paris there was no time to think of him because their train was late and they only just caught the Turin train at the Gare de Lyons; and by the afternoon of the next day when they got into Italy, England, Frederick, Mellersh, the vicar, the poor, Hampstead, the club, Shoolbred, everybody and everything, the whole inflamed sore dreariness, had faded to the dimness of a dream.	In Paris there was no time to think of him because their train was late and they only just caught the Turin train at the Gare de Lyons; and by the afternoon of the next day when they got into Italy, England, Frederick, Mellersh, the vicar, the poor, Hampstead, the club, Shoolbred, everybody and everything, the whole inflamed sore dreariness, had faded to the dimness of a dream.	false	902.21	940.17	20.080793
