4138_11079_000000_000000	CHAPTER IV.	CHAPTER four.	true	19.08	20.14	22.915346
4138_11079_000005_000000	The stewardess looked in with offers of tea and toast, the very idea of which was simply dreadful, and pronounced the other lady "'orridly ill, worse than you are, Miss," and the little girl "takin' on dreadful in the h'upper berth." Of this fact Katy soon had audible proof; for as her dizzy senses rallied a little, she could hear Amy in the opposite stateroom crying and sobbing pitifully.	The stewardess looked in with offers of tea and toast, the very idea of which was simply dreadful, and pronounced the other lady "'orridly ill, worse than you are, Miss," and the little girl "takin' on dreadful in the h'upper berth." Of this fact Katy soon had audible proof; for as her dizzy senses rallied a little, she could hear Amy in the opposite stateroom crying and sobbing pitifully.	true	118.76	141.76	22.800077
4138_11079_000005_000001	She seemed to be angry as well as sick, for she was scolding her poor mother in the most vehement fashion.	She seemed to be angry as well as sick, for she was scolding her poor mother in the most vehement fashion.	true	142.04	147.49	21
4138_11079_000006_000000	"I hate being at sea," Katy heard her say.	"I hate being at sea," Katy heard her say.	true	148.07	150.79	24.944172
4138_11079_000006_000001	"I won't stay in this nasty old ship.	"I won't stay in this nasty old ship.	true	150.89	153.255	25.079803
4138_11079_000006_000002	Mamma!	Mamma!	true	153.255	154.02	25.095821
4138_11079_000006_000003	Mamma! do you hear me?	Mamma! do you hear me?	true	154.02	155.325	21
4138_11079_000006_000004	I won't stay in this ship!	I won't stay in this ship!	true	155.325	156.93	24.304733
4138_11079_000006_000005	It wasn't a bit kind of you to bring me to such a horrid place.	It wasn't a bit kind of you to bring me to such a horrid place.	true	156.93	160.18	24.737284
4138_11079_000006_000006	It was very unkind; it was cru-el.	It was very unkind; it was cru el.	false	160.19	162.96	23.152706
4138_11079_000006_000007	I want to go back, mamma.	I want to go back, mamma.	true	162.96	164.52	31.723848
4138_11079_000006_000008	Tell the captain to take me back to the land.	Tell the captain to take me back to the land.	true	164.52	166.93	21.761503
4138_11079_000006_000009	Mamma, why don't you speak to me?	Mamma, why don't you speak to me?	true	167.09	168.97	24.558458
4138_11079_000006_000010	Oh, I am so sick and so very un-happy.	Oh, I am so sick and so very un happy.	false	169.07	172.54	22.991636
4138_11079_000006_000011	Don't you wish you were dead?	Don't you wish you were dead?	true	172.73	174.43	27.012682
4138_11079_000006_000012	I do!"	I do!"	true	174.47	175.54	32.74886
4138_11079_000007_000000	And then came another storm of sobs, but never a sound from Mrs. Ashe, who, Katy suspected, was too ill to speak.	And then came another storm of sobs, but never a sound from mrs Ashe, who, Katy suspected, was too ill to speak.	true	176.27	183.19	21
4138_11079_000007_000001	She felt very sorry for poor little Amy, raging there in her high berth like some imprisoned creature, but she was powerless to help her.	She felt very sorry for poor little Amy, raging there in her high berth like some imprisoned creature, but she was powerless to help her.	true	183.53	191.41	24
4138_11079_000007_000002	She could only resign herself to her own discomforts, and try to believe that somehow, sometime, this state of things must mend,--either they should all get to land or all go to the bottom and be drowned, and at that moment she didn't care very much which it turned out to be.	She could only resign herself to her own discomforts, and try to believe that somehow, sometime, this state of things must mend,--either they should all get to land or all go to the bottom and be drowned, and at that moment she didn't care very much which it turned out to be.	true	191.63	206.23	24.272112
4138_11079_000008_000000	The gale increased as the day wore on, and the vessel pitched dreadfully.	The gale increased as the day wore on, and the vessel pitched dreadfully.	true	207.2	211.45	24.088446
4138_11079_000008_000001	Twice Katy was thrown out of her berth on the floor; then the stewardess came and fixed a sort of movable side to the berth, which held her in, but made her feel like a child fastened into a railed crib. At intervals she could still hear Amy crying and scolding her mother, and conjectured that they were having a dreadful time of it in the other stateroom.	Twice Katy was thrown out of her berth on the floor; then the stewardess came and fixed a sort of movable side to the berth, which held her in, but made her feel like a child fastened into a railed crib. At intervals she could still hear Amy crying and scolding her mother, and conjectured that they were having a dreadful time of it in the other stateroom.	true	211.61	230.41	23.2766
4138_11079_000008_000002	It was all like a bad dream.	It was all like a bad dream.	true	230.66	232.48	26.394188
4138_11079_000008_000003	"And they call this travelling for pleasure!" thought poor Katy.	"And they call this travelling for pleasure!" thought poor Katy.	true	232.82	236.17	23.326206
4138_11079_000009_000000	One droll thing happened in the course of the second night,--at least it seemed droll afterward; at the time Katy was too uncomfortable to enjoy it.	One droll thing happened in the course of the second night,--at least it seemed droll afterward; at the time Katy was too uncomfortable to enjoy it.	true	237.32	246.01	26.30927
4138_11079_000009_000001	Amid the rush of the wind, the creaking of the ship's timbers, and the shrill buzz of the screw, she heard a sound of queer little footsteps in the entry outside of her open door, hopping and leaping together in an odd irregular way, like a regiment of mice or toy soldiers.	Amid the rush of the wind, the creaking of the ship's timbers, and the shrill buzz of the screw, she heard a sound of queer little footsteps in the entry outside of her open door, hopping and leaping together in an odd irregular way, like a regiment of mice or toy soldiers.	true	246.74	261.79	21
4138_11079_000009_000002	Nearer and nearer they came; and Katy opening her eyes saw a procession of boots and shoes of all sizes and shapes, which had evidently been left on the floors or at the doors of various staterooms, and which in obedience to the lurchings of the vessel had collected in the cabin.	Nearer and nearer they came; and Katy opening her eyes saw a procession of boots and shoes of all sizes and shapes, which had evidently been left on the floors or at the doors of various staterooms, and which in obedience to the lurchings of the vessel had collected in the cabin.	true	262.34	277.42	21
4138_11079_000009_000003	They now seemed to be acting in concert with one another, and really looked alive as they bumped and trotted side by side, and two by two, in at the door and up close to her bedside.	They now seemed to be acting in concert with one another, and really looked alive as they bumped and trotted side by side, and two by two, in at the door and up close to her bedside.	true	278.03	287.53	20
4138_11079_000009_000004	There they remained for several moments executing what looked like a dance; then the leading shoe turned on its heel as if giving a signal to the others, and they all hopped slowly again into the passage-way and disappeared.	There they remained for several moments executing what looked like a dance; then the leading shoe turned on its heel as if giving a signal to the others, and they all hopped slowly again into the passage way and disappeared.	true	288.11	300.58	22.747238
4138_11079_000009_000005	It was exactly like one of Hans Christian Andersen's fairy-tales, Katy wrote to Clover afterward.	It was exactly like one of Hans Christian Andersen's fairy tales, Katy wrote to Clover afterward.	true	301.25	306.76	25
4138_11079_000009_000006	She heard them going down the cabin; but how it ended, or whether the owners of the boots and shoes ever got their own particular pairs again, she never knew.	She heard them going down the cabin; but how it ended, or whether the owners of the boots and shoes ever got their own particular pairs again, she never knew.	true	307.31	315.7	24.534122
4138_11079_000010_000000	Toward morning the gale abated, the sea became smoother, and she dropped asleep.	Toward morning the gale abated, the sea became smoother, and she dropped asleep.	true	316.79	321.76	27.164927
4138_11079_000010_000001	When she woke the sun was struggling through the clouds, and she felt better.	When she woke the sun was struggling through the clouds, and she felt better.	true	322.1	326.38	24.354994
4138_11079_000011_000000	The stewardess opened the port-hole to freshen the air, and helped her to wash her face and smooth her tangled hair; then she produced a little basin of gruel and a triangular bit of toast, and Katy found that her appetite was come again and she could eat.	The stewardess opened the port hole to freshen the air, and helped her to wash her face and smooth her tangled hair; then she produced a little basin of gruel and a triangular bit of toast, and Katy found that her appetite was come again and she could eat.	false	327.53	341.05	21.940802
4138_11079_000012_000000	"And 'ere's a letter, ma'am, which has come for you by post this morning," said the nice old stewardess, producing an envelope from her pocket, and eying her patient with great satisfaction.	"And 'ere's a letter, ma'am, which has come for you by post this morning," said the nice old stewardess, producing an envelope from her pocket, and eying her patient with great satisfaction.	true	341.6	351.31	25.434671
4138_11079_000013_000000	"By post!" cried Katy, in amazement; "why, how can that be?" Then catching sight of Rose's handwriting on the envelope, she understood, and smiled at her own simplicity.	"By post!" cried Katy, in amazement; "why, how can that be?" Then catching sight of Rose's handwriting on the envelope, she understood, and smiled at her own simplicity.	true	351.95	362.62	22.934593
4138_11079_000014_000000	The stewardess beamed at her as she opened it, then saying again, "Yes, 'm, by post, m'm," withdrew, and left Katy to enjoy the little surprise.	The stewardess beamed at her as she opened it, then saying again, "Yes, 'm, by post, m'm," withdrew, and left Katy to enjoy the little surprise.	false	363.41	372.76	22.332237
4138_11079_000015_000000	The letter was not long, but it was very like its writer.	The letter was not long, but it was very like its writer.	true	373.7	376.96	23.052053
4138_11079_000015_000001	Rose drew a picture of what Katy would probably be doing at the time it reached her,--a picture so near the truth that Katy felt as if Rose must have the spirit of prophecy, especially as she kindly illustrated the situation with a series of pen-and-ink drawings, in which Katy was depicted as prone in her berth, refusing with horror to go to dinner, looking longingly backward toward the quarter where the United States was supposed to be, and fishing out of her port-hole with a crooked pin in hopes of grappling the submarine cable and sending a message to her family to come out at once and take her home.	Rose drew a picture of what Katy would probably be doing at the time it reached her,--a picture so near the truth that Katy felt as if Rose must have the spirit of prophecy, especially as she kindly illustrated the situation with a series of pen and ink drawings, in which Katy was depicted as prone in her berth, refusing with horror to go to dinner, looking longingly backward toward the quarter where the United States was supposed to be, and fishing out of her port hole with a crooked pin in hopes of grappling the submarine cable and sending a message to her family to come out at once and take her home.	true	377.27	409.21	24
4138_11079_000015_000002	It ended with this short "poem," over which Katy laughed till Mrs. Ashe called feebly across the entry to ask what _was_ the matter?	It ended with this short "poem," over which Katy laughed till mrs Ashe called feebly across the entry to ask what underscore was underscore the matter?	false	409.88	417.04	21
4138_11079_000016_000000	"Break, break, break And mis-behave, O sea, And I wish that my tongue could utter The hatred I feel for thee!	"Break, break, break And mis behave, O sea, And I wish that my tongue could utter The hatred I feel for thee!	false	417.59	424.89	28.765757
4138_11079_000017_000000	"Oh, well for the fisherman's child On the sandy beach at his play; Oh, well for all sensible folk Who are safe at home to-day!	"Oh, well for the fisherman's child On the sandy beach at his play; Oh, well for all sensible folk Who are safe at home to day!	false	424.89	432.07	24
4138_11079_000018_000000	"But this horrible ship keeps on, And is never a moment still, And I yearn for the touch of the nice dry land, Where I needn't feel so ill!	"But this horrible ship keeps on, And is never a moment still, And I yearn for the touch of the nice dry land, Where I needn't feel so ill!	true	432.32	440.71	20
4138_11079_000019_000000	"Break! break!	"Break! break!	true	441.14	442.38	34.43651
4138_11079_000019_000001	break! There is no good left in me; For the dinner I ate on the shore so late Has vanished into the sea!"	break! There is no good left in me; For the dinner I ate on the shore so late Has vanished into the sea!"	true	442.38	449.26	23.818508
4138_11079_000020_000000	Laughter is very restorative after the forlornity of sea-sickness; and Katy was so stimulated by her letter that she managed to struggle into her dressing-gown and slippers and across the entry to Mrs. Ashe's stateroom.	Laughter is very restorative after the forlornity of sea sickness; and Katy was so stimulated by her letter that she managed to struggle into her dressing gown and slippers and across the entry to mrs Ashe's stateroom.	false	450.62	463.24	20
4138_11079_000020_000001	Amy had fallen asleep at last and must not be waked up, so their interview was conducted in whispers.	Amy had fallen asleep at last and must not be waked up, so their interview was conducted in whispers.	true	463.7	469.33	22
4138_11079_000020_000002	Mrs. Ashe had by no means got to the tea-and-toast stage yet, and was feeling miserable enough.	mrs Ashe had by no means got to the tea and toast stage yet, and was feeling miserable enough.	true	469.94	475.57	23
4138_11079_000021_000000	"I have had the most dreadful time with Amy," she said.	"I have had the most dreadful time with Amy," she said.	true	475.91	479.05	19.296553
4138_11079_000021_000001	"All day yesterday, when she wasn't sick she was raging at me from the upper berth, and I too ill to say a word in reply.	"All day yesterday, when she wasn't sick she was raging at me from the upper berth, and I too ill to say a word in reply.	true	479.3	486.22	21
4138_11079_000021_000002	I never knew her so naughty!	I never knew her so naughty!	true	486.32	488.08	17
4138_11079_000021_000003	And it seemed very neglectful not to come to see after you, poor dear child! but really I couldn't raise my head."	And it seemed very neglectful not to come to see after you, poor dear child! but really I couldn't raise my head."	true	488.48	495.22	24
4138_11079_000022_000000	"Neither could I, and I felt just as guilty not to be taking care of you," said Katy.	"Neither could I, and I felt just as guilty not to be taking care of you," said Katy.	true	495.92	500.35	22
4138_11079_000022_000001	"Well, the worst is over with all of us, I hope.	"Well, the worst is over with all of us, I hope.	true	500.75	503.67	21.343763
4138_11079_000022_000002	The vessel doesn't pitch half so much now, and the stewardess says we shall feel a great deal better as soon as we get on deck.	The vessel doesn't pitch half so much now, and the stewardess says we shall feel a great deal better as soon as we get on deck.	true	503.67	510.1	23
4138_11079_000022_000003	She is coming presently to help me up; and when Amy wakes, won't you let her be dressed, and I will take care of her while Mrs. Barrett attends to you."	She is coming presently to help me up; and when Amy wakes, won't you let her be dressed, and I will take care of her while mrs Barrett attends to you."	false	510.53	519.22	23.905773
4138_11079_000023_000000	"I don't think I can be dressed," sighed poor Mrs. Ashe.	"I don't think I can be dressed," sighed poor mrs Ashe.	true	519.98	523.5	17
4138_11079_000023_000001	"I feel as if I should just lie here till we get to Liverpool."	"I feel as if I should just lie here till we get to Liverpool."	false	523.5	527.08	22.670258
4138_11079_000024_000000	"Oh no, h'indeed, mum,--no, you won't," put in Mrs. Barrett, who at that moment appeared, gruel-cup in hand.	"Oh no, h'indeed, mum,--no, you won't," put in mrs Barrett, who at that moment appeared, gruel cup in hand.	true	528.17	535.18	23.28416
4138_11079_000024_000001	"I don't never let my ladies lie in their berths a moment longer than there is need of.	"I don't never let my ladies lie in their berths a moment longer than there is need of.	true	535.64	540.16	18
4138_11079_000024_000002	I h'always gets them on deck as soon as possible to get the h'air.	I h'always gets them on deck as soon as possible to get the h'air.	true	540.32	543.79	24.376585
4138_11079_000024_000003	It's the best medicine you can 'ave, ma'am, the fresh h'air; h'indeed it h'is."	It's the best medicine you can 'ave, ma'am, the fresh h'air; h'indeed it h'is."	false	543.95	549.42	22.73241
4138_11079_000025_000000	Stewardesses are all-powerful on board ship, and Mrs. Barrett was so persuasive as well as positive that it was not possible to resist her. She got Katy into her dress and wraps, and seated her on deck in a chair with a great rug wrapped about her feet, with very little effort on Katy's part.	Stewardesses are all powerful on board ship, and mrs Barrett was so persuasive as well as positive that it was not possible to resist her. She got Katy into her dress and wraps, and seated her on deck in a chair with a great rug wrapped about her feet, with very little effort on Katy's part.	true	549.42	566.17	24.337797
4138_11079_000025_000001	Then she dived down the companion-way again, and in the course of an hour appeared escorting a big burly steward, who carried poor little pale Amy in his arms as easily as though she had been a kitten.	Then she dived down the companion way again, and in the course of an hour appeared escorting a big burly steward, who carried poor little pale Amy in his arms as easily as though she had been a kitten.	true	566.96	577.66	19
4138_11079_000025_000002	Amy gave a scream of joy at the sight of Katy, and cuddled down in her lap under the warm rug with a sigh of relief and satisfaction.	Amy gave a scream of joy at the sight of Katy, and cuddled down in her lap under the warm rug with a sigh of relief and satisfaction.	true	578.63	586.12	20
4138_11079_000026_000000	"I thought I was never going to see you again," she said, with a little squeeze.	"I thought I was never going to see you again," she said, with a little squeeze.	true	586.85	590.95	22
4138_11079_000026_000001	"Oh, Miss Katy, it has been so horrid!	"Oh, Miss Katy, it has been so horrid!	true	591.17	594.34	26.108656
4138_11079_000026_000002	I never thought that going to Europe meant such dreadful things as this!"	I never thought that going to Europe meant such dreadful things as this!"	true	594.41	598.18	26
4138_11079_000027_000000	"This is only the beginning; we shall get across the sea in a few days, and then we shall find out what going to Europe really means.	"This is only the beginning; we shall get across the sea in a few days, and then we shall find out what going to Europe really means.	true	599.27	605.65	22
4138_11079_000027_000001	But what made you behave so, Amy, and cry and scold poor mamma when she was sick? I could hear you all the way across the entry."	But what made you behave so, Amy, and cry and scold poor mamma when she was sick? I could hear you all the way across the entry."	true	605.87	612.88	24
4138_11079_000028_000000	"Could you?	"Could you?	true	613.58	614.47	30.844112
4138_11079_000028_000001	Then why didn't you come to me?"	Then why didn't you come to me?"	true	614.48	616.24	24.763845
4138_11079_000029_000000	"I wanted to; but I was sick too, so sick that I couldn't move.	"I wanted to; but I was sick too, so sick that I couldn't move.	true	616.76	621.04	26.179308
4138_11079_000029_000001	But why were you so naughty?--you didn't tell me."	But why were you so naughty?--you didn't tell me."	true	621.08	623.92	19.386204
4138_11079_000030_000000	"I didn't mean to be naughty, but I couldn't help crying.	"I didn't mean to be naughty, but I couldn't help crying.	true	624.8	627.64	24
4138_11079_000030_000001	You would have cried too, and so would Johnnie, if you had been cooped up in a dreadful old berth at the top of the wall that you couldn't get out of, and hadn't had anything to eat, and nobody to bring you any water when you wanted some.	You would have cried too, and so would Johnnie, if you had been cooped up in a dreadful old berth at the top of the wall that you couldn't get out of, and hadn't had anything to eat, and nobody to bring you any water when you wanted some.	true	627.74	638.8	23
4138_11079_000030_000002	And mamma wouldn't answer when I called to her."	And mamma wouldn't answer when I called to her."	true	638.93	641.59	21.17898
4138_11079_000031_000000	"She couldn't answer; she was too ill," explained Katy.	"She couldn't answer; she was too ill," explained Katy.	true	642.26	645.58	25.893896
4138_11079_000031_000001	"Well, my pet, it _was_ pretty hard for you.	"Well, my pet, it underscore was underscore pretty hard for you.	false	646.01	648.58	29.0855
4138_11079_000031_000002	I hope we sha'n't have any more such days. The sea is a great deal smoother now."	I hope we sha'n't have any more such days. The sea is a great deal smoother now."	false	648.74	654.36	21.557463
4138_11079_000032_000000	"Mabel looks quite pale; she was sick, too," said Amy, regarding the doll in her arms with an anxious air.	"Mabel looks quite pale; she was sick, too," said Amy, regarding the doll in her arms with an anxious air.	true	654.36	660.58	23.90346
4138_11079_000032_000001	"I hope the fresh h'air will do her good."	"I hope the fresh h'air will do her good."	true	660.74	663.13	26.686476
4138_11079_000033_000000	"Is she going to have any fresh hair?" asked Katy, wilfully misunderstanding.	"Is she going to have any fresh hair?" asked Katy, wilfully misunderstanding.	true	663.98	668.35	22
4138_11079_000034_000000	"That was what that woman called it,--the fat one who made me come up here.	"That was what that woman called it,--the fat one who made me come up here.	true	669.11	672.73	25.584972
4138_11079_000034_000001	But I'm glad she did, for I feel heaps better already; only I keep thinking of poor little Maria Matilda shut up in the trunk in that dark place, and wondering if she's sick.	But I'm glad she did, for I feel heaps better already; only I keep thinking of poor little Maria Matilda shut up in the trunk in that dark place, and wondering if she's sick.	true	672.8	682.33	25.832584
4138_11079_000034_000002	There's nobody to explain to her down there."	There's nobody to explain to her down there."	false	682.34	684.85	27
4138_11079_000035_000000	"They say that you don't feel the motion half so much in the bottom of the ship," said Katy.	"They say that you don't feel the motion half so much in the bottom of the ship," said Katy.	true	685.94	690.07	22
4138_11079_000035_000001	"Perhaps she hasn't noticed it at all.	"Perhaps she hasn't noticed it at all.	true	690.14	692.2	23.494759
4138_11079_000035_000002	Dear me, how good something smells!	Dear me, how good something smells!	true	692.63	694.99	19.487755
4138_11079_000035_000003	I wish they would bring us something to eat."	I wish they would bring us something to eat."	true	695.18	697.48	24.28361
4138_11079_000036_000000	A good many passengers had come up by this time; and Robert, the deck steward, was going about, tray in hand, taking orders for lunch.	A good many passengers had come up by this time; and Robert, the deck steward, was going about, tray in hand, taking orders for lunch.	true	698.42	705.76	23.43552
4138_11079_000036_000001	Amy and Katy both felt suddenly ravenous; and when Mrs. Ashe awhile later was helped up the stairs, she was amazed to find them eating cold beef and roasted potatoes, with the finest appetites in the world.	Amy and Katy both felt suddenly ravenous; and when mrs Ashe awhile later was helped up the stairs, she was amazed to find them eating cold beef and roasted potatoes, with the finest appetites in the world.	true	706.07	717.25	24
4138_11079_000036_000002	"They had served out their apprenticeships," the kindly old captain told them, "and were made free of the nautical guild from that time on." So it proved; for after these two bad days none of the party were sick again during the voyage.	"They had served out their apprenticeships," the kindly old captain told them, "and were made free of the nautical guild from that time on." So it proved; for after these two bad days none of the party were sick again during the voyage.	true	717.95	730.72	26.119448
4138_11079_000037_000000	Amy had a clamorous appetite for stories as well as for cold beef; and to appease this craving, Katy started a sort of ocean serial, called "The History of Violet and Emma," which she meant to make last till they got to Liverpool, but which in reality lasted much longer.	Amy had a clamorous appetite for stories as well as for cold beef; and to appease this craving, Katy started a sort of ocean serial, called "The History of Violet and Emma," which she meant to make last till they got to Liverpool, but which in reality lasted much longer.	false	732.11	748.48	21.956112
4138_11079_000037_000001	It might with equal propriety have been called "The Adventures of two little Girls who didn't have any Adventures," for nothing in particular happened to either Violet or Emma during the whole course of their long-drawn-out history.	It might with equal propriety have been called "The Adventures of two little Girls who didn't have any Adventures," for nothing in particular happened to either Violet or Emma during the whole course of their long drawn out history.	true	749.03	760.78	24.851957
4138_11079_000037_000002	Amy, however, found them perfectly enchanting, and was never weary of hearing how they went to school and came home again, how they got into scrapes and got out of them, how they made good resolutions and broke them, about their Christmas presents and birthday treats, and what they said and how they felt.	Amy, however, found them perfectly enchanting, and was never weary of hearing how they went to school and came home again, how they got into scrapes and got out of them, how they made good resolutions and broke them, about their Christmas presents and birthday treats, and what they said and how they felt.	true	761.54	777.85	24.649559
4138_11079_000037_000003	The first instalment of this un-exciting romance was given that first afternoon on deck; and after that, Amy claimed a new chapter daily, and it was a chief ingredient of her pleasure during the voyage.	The first instalment of this un exciting romance was given that first afternoon on deck; and after that, Amy claimed a new chapter daily, and it was a chief ingredient of her pleasure during the voyage.	false	778.4	789.52	25
4138_11079_000038_000000	On the third morning Katy woke and dressed so early, that she gained the deck before the sailors had finished their scrubbing and holystoning. She took refuge within the companion-way, and sat down on the top step of the ladder, to wait till the deck was dry enough to venture upon it. There the Captain found her and drew near for a talk.	On the third morning Katy woke and dressed so early, that she gained the deck before the sailors had finished their scrubbing and holystoning. She took refuge within the companion way, and sat down on the top step of the ladder, to wait till the deck was dry enough to venture upon it. There the Captain found her and drew near for a talk.	false	790.46	808.9	23.035833
4138_11079_000039_000000	Captain Bryce was exactly the kind of sea-captain that is found in story-books, but not always in real life.	Captain Bryce was exactly the kind of sea captain that is found in story books, but not always in real life.	true	809.69	815.95	21.464046
4138_11079_000039_000001	He was stout and grizzled and brown and kind.	He was stout and grizzled and brown and kind.	true	816.2	819.25	26.267403
4138_11079_000039_000002	He had a bluff weather-beaten face, lit up with a pair of shrewd blue eyes which twinkled when he was pleased; and his manner, though it was full of the habit of command, was quiet and pleasant.	He had a bluff weather beaten face, lit up with a pair of shrewd blue eyes which twinkled when he was pleased; and his manner, though it was full of the habit of command, was quiet and pleasant.	true	819.53	830.17	25.095222
4138_11079_000039_000003	He was a Martinet on board his ship.	He was a Martinet on board his ship.	true	830.66	833.02	23.089994
4138_11079_000039_000004	Not a sailor under him would have dared dispute his orders for a moment; but he was very popular with them, notwithstanding; they liked him as much as they feared him, for they knew him to be their best friend if it came to sickness or trouble with any of them.	Not a sailor under him would have dared dispute his orders for a moment; but he was very popular with them, notwithstanding; they liked him as much as they feared him, for they knew him to be their best friend if it came to sickness or trouble with any of them.	true	833.06	847.06	21.720686
4138_11079_000040_000000	Katy and he grew quite intimate during their long morning talk.	Katy and he grew quite intimate during their long morning talk.	true	848.54	852.07	23.342382
4138_11079_000040_000001	The Captain liked girls.	The Captain liked girls.	true	852.68	854.29	27.39548
4138_11079_000040_000002	He had one of his own, about Katy's age, and was fond of talking about her.	He had one of his own, about Katy's age, and was fond of talking about her.	true	854.51	858.88	25.02481
4138_11079_000040_000003	Lucy was his mainstay at home, he told Katy. Her mother had been "weakly" now this long time back, and Bess and Nanny were but children yet, so Lucy had to take command and keep things ship-shape when he was away.	Lucy was his mainstay at home, he told Katy. Her mother had been "weakly" now this long time back, and Bess and Nanny were but children yet, so Lucy had to take command and keep things ship shape when he was away.	true	859.13	871.39	22.486809
4138_11079_000041_000000	"She'll be on the lookout when the steamer comes in," said the Captain. "There's a signal we've arranged which means 'All's well,' and when we get up the river a little way I always look to see if it's flying.	"She'll be on the lookout when the steamer comes in," said the Captain. "There's a signal we've arranged which means 'All's well,' and when we get up the river a little way I always look to see if it's flying.	true	872.87	882.91	21.532812
4138_11079_000041_000001	It's a bit of a towel hung from a particular window; and when I see it I say to myself, 'Thank God! another voyage safely done and no harm come of it.' It's a sad kind of work for a man to go off for a twenty-four days' cruise leaving a sick wife on shore behind him.	It's a bit of a towel hung from a particular window; and when I see it I say to myself, 'Thank God! another voyage safely done and no harm come of it.' It's a sad kind of work for a man to go off for a twenty four days' cruise leaving a sick wife on shore behind him.	true	883.07	897.58	22.811646
4138_11079_000041_000002	If it wasn't that I have Lucy to look after things, I should have thrown up my command long ago."	If it wasn't that I have Lucy to look after things, I should have thrown up my command long ago."	true	897.83	902.43	19
4138_11079_000042_000000	"Indeed, I am glad you have Lucy; she must be a great comfort to you," said Katy, sympathetically; for the Captain's hearty voice trembled a little as he spoke.	"Indeed, I am glad you have Lucy; she must be a great comfort to you," said Katy, sympathetically; for the Captain's hearty voice trembled a little as he spoke.	false	902.43	912.64	24.811787
4138_11079_000042_000001	She made him tell her the color of Lucy's hair and eyes, and exactly how tall she was, and what she had studied, and what sort of books she liked.	She made him tell her the color of Lucy's hair and eyes, and exactly how tall she was, and what she had studied, and what sort of books she liked.	false	912.74	921.07	22.859743
4138_11079_000042_000002	She seemed such a very nice girl, and Katy thought she should like to know her.	She seemed such a very nice girl, and Katy thought she should like to know her.	true	921.47	925.63	22
4138_11079_000043_000000	The deck had dried fast in the fresh sea-wind, and the Captain had just arranged Katy in her chair, and was wrapping the rug about her feet in a fatherly way, when Mrs. Barrett, all smiles, appeared from below.	The deck had dried fast in the fresh sea wind, and the Captain had just arranged Katy in her chair, and was wrapping the rug about her feet in a fatherly way, when mrs Barrett, all smiles, appeared from below.	true	926.72	938.2	26.159727
4138_11079_000044_000000	"Oh, 'ere you h'are, Miss.	"Oh, 'ere you h'are, Miss.	false	939.89	941.58	20
