4236_8927_000000_000000	It was a man-trap.	It was a man trap.	false	6.84	17.055	18.88404
4236_8927_000012_000000	Obedient to his order, Suke had gone to bed; and as soon as he had bolted the door, Tim unlaced and kicked off his boots at the foot of the stairs, and retired likewise, without lighting a candle.	Obedient to his order, Suke had gone to bed; and as soon as he had bolted the door, Tim unlaced and kicked off his boots at the foot of the stairs, and retired likewise, without lighting a candle.	true	353.99	365.05	16
4236_8927_000012_000001	His object seemed to be to undress as soon as possible.	His object seemed to be to undress as soon as possible.	true	365.69	369.25	18.549381
4236_8927_000012_000002	Before, however, he had completed the operation, a long cry resounded without--penetrating, but indescribable.	Before, however, he had completed the operation, a long cry resounded without-penetrating, but indescribable.	true	369.32	377.8	18.439793
4236_8927_000013_000000	"What's that?" said Suke, starting up in bed.	"What's that?" said Suke, starting up in bed.	true	378.71	381.88	20.311172
4236_8927_000014_000000	"Sounds as if somebody had caught a hare in his gin."	"Sounds as if somebody had caught a hare in his gin."	true	382.37	385.45	18
4236_8927_000015_000000	"Oh no," said she.	"Oh no," said she.	false	386.39	387.12	19
4236_8927_000015_000001	"It was not a hare, 'twas louder.	"It was not a hare, 'twas louder.	false	387.12	389.505	19.819292
4236_8927_000015_000002	Hark!"	Hark!"	true	389.505	390.22	23.123545
4236_8927_000016_000000	"Do 'ee get to sleep," said Tim.	"Do 'ee get to sleep," said Tim.	false	390.95	393.1	19.634575
4236_8927_000016_000001	"How be you going to wake at half-past three else?"	"How be you going to wake at half past three else?"	false	393.47	396.64	17
4236_8927_000017_000000	She lay down and was silent.	She lay down and was silent.	true	397.58	399.4	19.702814
4236_8927_000017_000001	Tim stealthily opened the window and listened.	Tim stealthily opened the window and listened.	true	399.98	402.52	18
4236_8927_000017_000002	Above the low harmonies produced by the instrumentation of the various species of trees around the premises he could hear the twitching of a chain from the spot whereon he had set the man-trap. But further human sound there was none.	Above the low harmonies produced by the instrumentation of the various species of trees around the premises he could hear the twitching of a chain from the spot whereon he had set the man trap. But further human sound there was none.	true	403.01	417.79	18.67306
4236_8927_000018_000000	Tim was puzzled.	Tim was puzzled.	true	418.7	419.74	20.279135
4236_8927_000018_000001	In the haste of his project he had not calculated upon a cry; but if one, why not more?	In the haste of his project he had not calculated upon a cry; but if one, why not more?	false	420.44	426.25	19.543556
4236_8927_000018_000002	He soon ceased to essay an answer, for Hintock was dead to him already.	He soon ceased to essay an answer, for Hintock was dead to him already.	true	427.16	430.87	12
4236_8927_000018_000003	In half a dozen hours he would be out of its precincts for life, on his way to the antipodes. He closed the window and lay down.	In half a dozen hours he would be out of its precincts for life, on his way to the antipodes. He closed the window and lay down.	true	430.94	438.48	19.61961
4236_8927_000019_000000	The hour which had brought these movements of Tim to birth had been operating actively elsewhere.	The hour which had brought these movements of Tim to birth had been operating actively elsewhere.	false	438.48	438.87	-2
4236_8927_000019_000001	Awaiting in her father's house the minute of her appointment with her husband, Grace Fitzpiers deliberated on many things.	Awaiting in her father's house the minute of her appointment with her husband, Grace Fitzpiers deliberated on many things.	false	438.87	439.32	1
4236_8927_000019_000002	Should she inform her father before going out that the estrangement of herself and Edgar was not so complete as he had imagined, and deemed desirable for her happiness?	Should she inform her father before going out that the estrangement of herself and Edgar was not so complete as he had imagined, and deemed desirable for her happiness?	false	439.32	440.19	14.18179
4236_8927_000019_000003	If she did so she must in some measure become the apologist of her husband, and she was not prepared to go so far.	If she did so she must in some measure become the apologist of her husband, and she was not prepared to go so far.	false	440.19	440.19	
4236_8927_000020_000000	As for him, he kept her in a mood of considerate gravity.	As for him, he kept her in a mood of considerate gravity.	false	440.19	443.86	19.888678
4236_8927_000020_000001	He certainly had changed.	He certainly had changed.	true	444.35	445.935	16.322304
4236_8927_000020_000002	He had at his worst times always been gentle in his manner towards her.	He had at his worst times always been gentle in his manner towards her.	false	445.935	449.59	14
4236_8927_000020_000003	Could it be that she might make of him a true and worthy husband yet?	Could it be that she might make of him a true and worthy husband yet?	false	450.2	454.33	15
4236_8927_000020_000004	She had married him; there was no getting over that; and ought she any longer to keep him at a distance?	She had married him; there was no getting over that; and ought she any longer to keep him at a distance?	false	454.88	461.17	18.43275
4236_8927_000020_000005	His suave deference to her lightest whim on the question of his comings and goings, when as her lawful husband he might show a little independence, was a trait in his character as unexpected as it was engaging.	His suave deference to her lightest whim on the question of his comings and goings, when as her lawful husband he might show a little independence, was a trait in his character as unexpected as it was engaging.	true	461.27	474.22	19.24306
4236_8927_000020_000006	If she had been his empress, and he her thrall, he could not have exhibited a more sensitive care to avoid intruding upon her against her will.	If she had been his empress, and he her thrall, he could not have exhibited a more sensitive care to avoid intruding upon her against her will.	true	475.01	485.17	18.68784
4236_8927_000021_000000	Impelled by a remembrance she took down a prayer-book and turned to the marriage-service.	Impelled by a remembrance she took down a prayer book and turned to the marriage service.	true	486.68	491.32	14
4236_8927_000021_000001	Reading it slowly through, she became quite appalled at her recent off-handedness, when she rediscovered what awfully solemn promises she had made him at those chancel steps not so very long ago.	Reading it slowly through, she became quite appalled at her recent off handedness, when she rediscovered what awfully solemn promises she had made him at those chancel steps not so very long ago.	false	491.66	504.61	19.662632
4236_8927_000022_000000	She became lost in long ponderings on how far a person's conscience might be bound by vows made without at the time a full recognition of their force.	She became lost in long ponderings on how far a person's conscience might be bound by vows made without at the time a full recognition of their force.	true	505.34	515.53	16
4236_8927_000022_000001	That particular sentence, beginning "Whom God hath joined together," was a staggerer for a gentlewoman of strong devotional sentiment.	That particular sentence, beginning "Whom God hath joined together," was a staggerer for a gentlewoman of strong devotional sentiment.	true	515.87	525.07	18.649282
4236_8927_000022_000002	She wondered whether God really did join them together. Before she had done deliberating the time of her engagement drew near, and she went out of the house almost at the moment that Tim Tangs retired to his own.	She wondered whether God really did join them together. Before she had done deliberating the time of her engagement drew near, and she went out of the house almost at the moment that Tim Tangs retired to his own.	true	525.89	539.32	17.270733
4236_8927_000023_000000	The position of things at that critical juncture was briefly as follows.	The position of things at that critical juncture was briefly as follows.	true	540.29	544.48	18
4236_8927_000024_000000	Two hundred yards to the right of the upper end of Tangs's garden Fitzpiers was still advancing, having now nearly reached the summit of the wood-clothed ridge, the path being the actual one which further on passed between the two young oaks.	Two hundred yards to the right of the upper end of Tangs's garden Fitzpiers was still advancing, having now nearly reached the summit of the wood clothed ridge, the path being the actual one which further on passed between the two young oaks.	false	545.33	558.91	17
4236_8927_000024_000001	Thus far it was according to Tim's conjecture.	Thus far it was according to Tim's conjecture.	true	559.52	562.03	20.196526
4236_8927_000024_000002	But about two hundred yards to the left, or rather less, was arising a condition which he had not divined, the emergence of Grace as aforesaid from the upper corner of her father's garden, with the view of meeting Tim's intended victim.	But about two hundred yards to the left, or rather less, was arising a condition which he had not divined, the emergence of Grace as aforesaid from the upper corner of her father's garden, with the view of meeting Tim's intended victim.	false	562.04	575.29	18.027237
4236_8927_000024_000003	Midway between husband and wife was the diabolical trap, silent, open, ready.	Midway between husband and wife was the diabolical trap, silent, open, ready.	true	575.84	582.85	18.69263
4236_8927_000025_000000	Fitzpiers's walk that night had been cheerful, for he was convinced that the slow and gentle method he had adopted was promising success. The very restraint that he was obliged to exercise upon himself, so as not to kill the delicate bud of returning confidence, fed his flame. He walked so much more rapidly than Grace that, if they continued advancing as they had begun, he would reach the trap a good half-minute before she could reach the same spot.	Fitzpiers's walk that night had been cheerful, for he was convinced that the slow and gentle method he had adopted was promising success. The very restraint that he was obliged to exercise upon himself, so as not to kill the delicate bud of returning confidence, fed his flame. He walked so much more rapidly than Grace that, if they continued advancing as they had begun, he would reach the trap a good half minute before she could reach the same spot.	false	583.79	609.22	18
4236_8927_000026_000000	But here a new circumstance came in; to escape the unpleasantness of being watched or listened to by lurkers--naturally curious by reason of their strained relations--they had arranged that their meeting for to-night should be at the holm-tree on the ridge above named.	But here a new circumstance came in; to escape the unpleasantness of being watched or listened to by lurkers-naturally curious by reason of their strained relations-they had arranged that their meeting for to night should be at the holm tree on the ridge above named.	true	609.89	624.49	18
4236_8927_000026_000001	So soon, accordingly, as Fitzpiers reached the tree he stood still to await her.	So soon, accordingly, as Fitzpiers reached the tree he stood still to await her.	false	624.62	630.28	20.223045
4236_8927_000027_000000	He had not paused under the prickly foliage more than two minutes when he thought he heard a scream from the other side of the ridge. Fitzpiers wondered what it could mean; but such wind as there was just now blew in an adverse direction, and his mood was light.	He had not paused under the prickly foliage more than two minutes when he thought he heard a scream from the other side of the ridge. Fitzpiers wondered what it could mean; but such wind as there was just now blew in an adverse direction, and his mood was light.	false	631.04	644.98	19.401329
4236_8927_000027_000001	He set down the origin of the sound to one of the superstitious freaks or frolicsome scrimmages between sweethearts that still survived in Hintock from old-English times; and waited on where he stood till ten minutes had passed.	He set down the origin of the sound to one of the superstitious freaks or frolicsome scrimmages between sweethearts that still survived in Hintock from old English times; and waited on where he stood till ten minutes had passed.	false	645.41	658.02	18.008213
4236_8927_000027_000002	Feeling then a little uneasy, his mind reverted to the scream; and he went forward over the summit and down the embowered incline, till he reached the pair of sister oaks with the narrow opening between them.	Feeling then a little uneasy, his mind reverted to the scream; and he went forward over the summit and down the embowered incline, till he reached the pair of sister oaks with the narrow opening between them.	true	658.02	669.19	19.856585
4236_8927_000028_000000	Fitzpiers stumbled and all but fell.	Fitzpiers stumbled and all but fell.	true	669.8	671.94	17.40401
4236_8927_000028_000001	Stretching down his hand to ascertain the obstruction, it came in contact with a confused mass of silken drapery and iron-work that conveyed absolutely no explanatory idea to his mind at all.	Stretching down his hand to ascertain the obstruction, it came in contact with a confused mass of silken drapery and iron work that conveyed absolutely no explanatory idea to his mind at all.	false	671.94	683.08	17
4236_8927_000028_000002	It was but the work of a moment to strike a match; and then he saw a sight which congealed his blood.	It was but the work of a moment to strike a match; and then he saw a sight which congealed his blood.	true	684.11	691.15	19.762802
4236_8927_000029_000000	The man-trap was thrown; and between its jaws was part of a woman's clothing--a patterned silk skirt--gripped with such violence that the iron teeth had passed through it, skewering its tissue in a score of places.	The man trap was thrown; and between its jaws was part of a woman's clothing-a patterned silk skirt-gripped with such violence that the iron teeth had passed through it, skewering its tissue in a score of places.	true	691.94	705.4	20.560835
4236_8927_000029_000001	He immediately recognized the skirt as that of one of his wife's gowns--the gown that she had worn when she met him on the very last occasion.	He immediately recognized the skirt as that of one of his wife's gowns-the gown that she had worn when she met him on the very last occasion.	true	706.07	713.47	18
4236_8927_000030_000000	Fitzpiers had often studied the effect of these instruments when examining the collection at Hintock House, and the conception instantly flashed through him that Grace had been caught, taken out mangled by some chance passer, and carried home, some of her clothes being left behind in the difficulty of getting her free.	Fitzpiers had often studied the effect of these instruments when examining the collection at Hintock House, and the conception instantly flashed through him that Grace had been caught, taken out mangled by some chance passer, and carried home, some of her clothes being left behind in the difficulty of getting her free.	false	714.11	731.59	18
4236_8927_000030_000001	The shock of this conviction, striking into the very current of high hope, was so great that he cried out like one in corporal agony, and in his misery bowed himself down to the ground.	The shock of this conviction, striking into the very current of high hope, was so great that he cried out like one in corporal agony, and in his misery bowed himself down to the ground.	false	732.29	743.83	18
4236_8927_000031_000000	Of all the degrees and qualities of punishment that Fitzpiers had undergone since his sins against Grace first began, not any even approximated in intensity to this.	Of all the degrees and qualities of punishment that Fitzpiers had undergone since his sins against Grace first began, not any even approximated in intensity to this.	true	744.5	753.79	13
4236_8927_000032_000000	"Oh, my own--my darling!	"Oh, my own-my darling!	true	754.13	755.85	15
4236_8927_000032_000001	Oh, cruel Heaven--it is too much, this!" he cried, writhing and rocking himself over the sorry accessaries of her he deplored.	Oh, cruel Heaven-it is too much, this!" he cried, writhing and rocking himself over the sorry accessaries of her he deplored.	false	755.85	764.29	19.692318
4236_8927_000033_000000	The voice of his distress was sufficiently loud to be audible to any one who might have been there to hear it; and one there was.	The voice of his distress was sufficiently loud to be audible to any one who might have been there to hear it; and one there was.	false	764.84	772.38	19.139519
4236_8927_000033_000001	Right and left of the narrow pass between the oaks were dense bushes; and now from behind these a female figure glided, whose appearance even in the gloom was, though graceful in outline, noticeably strange.	Right and left of the narrow pass between the oaks were dense bushes; and now from behind these a female figure glided, whose appearance even in the gloom was, though graceful in outline, noticeably strange.	true	772.38	786.58	20.100828
4236_8927_000034_000000	She was in white up to the waist, and figured above.	She was in white up to the waist, and figured above.	false	786.8	789.67	18
4236_8927_000034_000001	She was, in short, Grace, his wife, lacking the portion of her dress which the gin retained.	She was, in short, Grace, his wife, lacking the portion of her dress which the gin retained.	true	789.98	795.61	19.676664
4236_8927_000035_000000	"Don't be grieved about me--don't, dear Edgar!" she exclaimed, rushing up and bending over him.	"Don't be grieved about me-don't, dear Edgar!" she exclaimed, rushing up and bending over him.	true	796.61	801.16	15
4236_8927_000035_000001	"I am not hurt a bit!	"I am not hurt a bit!	true	801.17	802.425	19.151491
4236_8927_000035_000002	I was coming on to find you after I had released myself, but I heard footsteps; and I hid away, because I was without some of my clothing, and I did not know who the person might be."	I was coming on to find you after I had released myself, but I heard footsteps; and I hid away, because I was without some of my clothing, and I did not know who the person might be."	false	802.425	811.47	13
4236_8927_000036_000000	Fitzpiers had sprung to his feet, and his next act was no less unpremeditated by him than it was irresistible by her, and would have been so by any woman not of Amazonian strength.	Fitzpiers had sprung to his feet, and his next act was no less unpremeditated by him than it was irresistible by her, and would have been so by any woman not of Amazonian strength.	false	811.47	823.74	17.75145
4236_8927_000036_000001	He clasped his arms completely round, pressed her to his breast, and kissed her passionately.	He clasped his arms completely round, pressed her to his breast, and kissed her passionately.	false	823.74	828.13	17
4236_8927_000037_000000	"You are not dead!--you are not hurt!	"You are not dead!--you are not hurt!	true	829.22	831.165	19.888573
4236_8927_000037_000001	Thank God--thank God!" he said, almost sobbing in his delight and relief from the horror of his apprehension.	Thank God-thank God!" he said, almost sobbing in his delight and relief from the horror of his apprehension.	true	831.165	837.01	12
4236_8927_000037_000002	"Grace, my wife, my love, how is this--what has happened?"	"Grace, my wife, my love, how is this-what has happened?"	false	837.2	841.21	19
4236_8927_000038_000000	"I was coming on to you," she said as distinctly as she could in the half-smothered state of her face against his.	"I was coming on to you," she said as distinctly as she could in the half smothered state of her face against his.	false	841.67	847.57	13
4236_8927_000038_000001	"I was trying to be as punctual as possible, and as I had started a minute late I ran along the path very swiftly--fortunately for myself.	"I was trying to be as punctual as possible, and as I had started a minute late I ran along the path very swiftly-fortunately for myself.	false	847.91	856.36	18
4236_8927_000038_000002	Just when I had passed between these trees I felt something clutch at my dress from behind with a noise, and the next moment I was pulled backward by it, and fell to the ground.	Just when I had passed between these trees I felt something clutch at my dress from behind with a noise, and the next moment I was pulled backward by it, and fell to the ground.	false	856.49	865.3	15
4236_8927_000038_000003	I screamed with terror, thinking it was a man lying down there to murder me, but the next moment I discovered it was iron, and that my clothes were caught in a trap.	I screamed with terror, thinking it was a man lying down there to murder me, but the next moment I discovered it was iron, and that my clothes were caught in a trap.	true	865.34	874.21	18.932098
4236_8927_000038_000004	I pulled this way and that, but the thing would not let go, drag it as I would, and I did not know what to do.	I pulled this way and that, but the thing would not let go, drag it as I would, and I did not know what to do.	false	874.61	880.78	17
4236_8927_000038_000005	I did not want to alarm my father or anybody, as I wished nobody to know of these meetings with you; so I could think of no other plan than slipping off my skirt, meaning to run on and tell you what a strange accident had happened to me.	I did not want to alarm my father or anybody, as I wished nobody to know of these meetings with you; so I could think of no other plan than slipping off my skirt, meaning to run on and tell you what a strange accident had happened to me.	false	881	893.89	16
4236_8927_000038_000006	But when I had just freed myself by leaving the dress behind, I heard steps, and not being sure it was you, I did not like to be seen in such a pickle, so I hid away."	But when I had just freed myself by leaving the dress behind, I heard steps, and not being sure it was you, I did not like to be seen in such a pickle, so I hid away."	false	894.2	913.17	19.81884
4236_8927_000039_000000	"It was only your speed that saved you!	"It was only your speed that saved you!	true	913.17	915.34	17
4236_8927_000039_000001	One or both of your legs would have been broken if you had come at ordinary walking pace."	One or both of your legs would have been broken if you had come at ordinary walking pace."	false	915.47	920.53	14
4236_8927_000040_000000	"Or yours, if you had got here first," said she, beginning to realize the whole ghastliness of the possibility.	"Or yours, if you had got here first," said she, beginning to realize the whole ghastliness of the possibility.	true	921.08	928.36	18.530132
4236_8927_000040_000001	"Oh, Edgar, there has been an Eye watching over us to-night, and we should be thankful indeed!"	"Oh, Edgar, there has been an Eye watching over us to night, and we should be thankful indeed!"	true	928.43	934.45	18
4236_8927_000041_000000	He continued to press his face to hers.	He continued to press his face to hers.	true	934.91	937.21	18
4236_8927_000041_000001	"You are mine--mine again now."	"You are mine-mine again now."	true	937.31	939.61	17
4236_8927_000042_000000	She gently owned that she supposed she was.	She gently owned that she supposed she was.	true	940.31	943.24	19
4236_8927_000042_000001	"I heard what you said when you thought I was injured," she went on, shyly, "and I know that a man who could suffer as you were suffering must have a tender regard for me.	"I heard what you said when you thought I was injured," she went on, shyly, "and I know that a man who could suffer as you were suffering must have a tender regard for me.	true	943.97	954.31	17
4236_8927_000042_000002	But how does this awful thing come here?"	But how does this awful thing come here?"	true	954.59	956.89	18.935589
4236_8927_000043_000000	"I suppose it has something to do with poachers." Fitzpiers was still so shaken by the sense of her danger that he was obliged to sit awhile, and it was not until Grace said, "If I could only get my skirt out nobody would know anything about it," that he bestirred himself.	"I suppose it has something to do with poachers." Fitzpiers was still so shaken by the sense of her danger that he was obliged to sit awhile, and it was not until Grace said, "If I could only get my skirt out nobody would know anything about it," that he bestirred himself.	false	958.1	971.23	16
4236_8927_000044_000000	By their united efforts, each standing on one of the springs of the trap, they pressed them down sufficiently to insert across the jaws a billet which they dragged from a faggot near at hand; and it was then possible to extract the silk mouthful from the monster's bite, creased and pierced with many holes, but not torn.	By their united efforts, each standing on one of the springs of the trap, they pressed them down sufficiently to insert across the jaws a billet which they dragged from a faggot near at hand; and it was then possible to extract the silk mouthful from the monster's bite, creased and pierced with many holes, but not torn.	false	971.75	989.2	18.922987
4236_8927_000044_000001	Fitzpiers assisted her to put it on again; and when her customary contours were thus restored they walked on together, Grace taking his arm, till he effected an improvement by clasping it round her waist.	Fitzpiers assisted her to put it on again; and when her customary contours were thus restored they walked on together, Grace taking his arm, till he effected an improvement by clasping it round her waist.	false	989.39	1001.47	19.772442
4236_8927_000045_000000	The ice having been broken in this unexpected manner, she made no further attempt at reserve.	The ice having been broken in this unexpected manner, she made no further attempt at reserve.	false	1002.68	1007.95	17
4236_8927_000045_000001	"I would ask you to come into the house," she said, "but my meetings with you have been kept secret from my father, and I should like to prepare him."	"I would ask you to come into the house," she said, "but my meetings with you have been kept secret from my father, and I should like to prepare him."	false	1008.38	1014.97	14
4236_8927_000046_000000	"Never mind, dearest.	"Never mind, dearest.	true	1015.25	1016.65	19.876978
4236_8927_000046_000001	I could not very well have accepted the invitation.	I could not very well have accepted the invitation.	true	1016.66	1019.25	14
4236_8927_000046_000002	I shall never live here again--as much for your sake as for mine.	I shall never live here again-as much for your sake as for mine.	true	1019.25	1023.22	17
4236_8927_000046_000003	I have news to tell you on this very point, but my alarm had put it out of my head.	I have news to tell you on this very point, but my alarm had put it out of my head.	false	1023.47	1027.84	18.827065
