100_121674_000000_000000	Little Bun Rabbit	Little Bun Rabbit	false	10.59	14.13	24.51161
100_121674_000020_000000	"'You look very pretty this morning, Bun Rabbit,' he said, in his jolly way; 'I think the babies would love to have you to play with.'	"'You look very pretty this morning, Bun Rabbit,' he said, in his jolly way; 'I think the babies would love to have you to play with.'	true	312.92	320.02	23.291758
100_121674_000021_000000	"'I do n't doubt it, your honor,' I answered; 'but they 'd soon kill me with handling, even if they did not scare me to death; for babies are very rough with their playthings.'	"'I do n't doubt it, your honor,' I answered; 'but they 'd soon kill me with handling, even if they did not scare me to death; for babies are very rough with their playthings.'	true	320.48	329.83	25.25713
100_121674_000022_000000	"'That is true,' replied Santa Claus; 'and yet you are so soft and pretty it is a pity the babies can't have you.	"'That is true,' replied Santa Claus; 'and yet you are so soft and pretty it is a pity the babies can't have you.	true	330.35	337.24	25.704721
100_121674_000022_000001	Still, as they would abuse a live rabbit I think I shall make them some toy rabbits, which they cannot hurt; so if you will jump into my sleigh with me and ride home to my castle for a few days, I 'll see if I can't make some toy rabbits just like you."	Still, as they would abuse a live rabbit I think I shall make them some toy rabbits, which they cannot hurt; so if you will jump into my sleigh with me and ride home to my castle for a few days, I 'l l see if I can't make some toy rabbits just like you."	false	337.4	352.48	24.51759
100_121674_000023_000000	"Of course I consented, for we all like to please old Santa, and a minute later I had jumped into the sleigh beside him and we were dashing away at full speed toward his castle.	"Of course I consented, for we all like to please old Santa, and a minute later I had jumped into the sleigh beside him and we were dashing away at full speed toward his castle.	true	353.18	363.37	23.141161
100_121674_000023_000001	I enjoyed the ride very much, but I enjoyed the castle far more; for it was one of the loveliest places you could imagine.	I enjoyed the ride very much, but I enjoyed the castle far more; for it was one of the loveliest places you could imagine.	true	363.56	371.26	21.913713
100_121674_000023_000002	It stood on the top of a high mountain and is built of gold and silver bricks, and the windows are pure diamond crystals.	It stood on the top of a high mountain and is built of gold and silver bricks, and the windows are pure diamond crystals.	true	371.45	379	24.638527
100_121674_000023_000003	The rooms are big and high, and there is a soft carpet upon every floor and many strange things scattered around to amuse one.	The rooms are big and high, and there is a soft carpet upon every floor and many strange things scattered around to amuse one.	false	379.19	386.8	24
100_121674_000023_000004	Santa Claus lives there all alone, except for old Mother Hubbard, who cooks the meals for him; and her cupboard is never bare now, I can promise you!	Santa Claus lives there all alone, except for old Mother Hubbard, who cooks the meals for him; and her cupboard is never bare now, I can promise you!	true	387.02	396.01	25.466007
100_121674_000023_000005	At the top of the castle there is one big room, and that is Santa's work-shop, where he makes the toys.	At the top of the castle there is one big room, and that is Santa's work shop, where he makes the toys.	true	396.23	402.43	23.138609
100_121674_000023_000006	On one side is his work-bench, with plenty of saws and hammers and jack-knives; and on another side is the paint-bench, with paints of every color and brushes of every size and shape.	On one side is his work bench, with plenty of saws and hammers and jack knives; and on another side is the paint bench, with paints of every color and brushes of every size and shape.	true	402.86	413.92	24.004713
100_121674_000023_000007	And in other places are great shelves, where the toys are put to dry and keep new and bright until Christmas comes and it is time to load them all into his sleigh.	And in other places are great shelves, where the toys are put to dry and keep new and bright until Christmas comes and it is time to load them all into his sleigh.	true	414.05	424.12	26.132013
100_121674_000024_000000	"After Mother Hubbard had given me a good dinner, and I had eaten some of the most delicious clover I have ever tasted, Santa took me up into his work-room and sat me upon the table.	"After Mother Hubbard had given me a good dinner, and I had eaten some of the most delicious clover I have ever tasted, Santa took me up into his work room and sat me upon the table.	true	424.91	435.64	25.200506
100_121674_000025_000000	"'If I can only make rabbits half as nice as you are,' he said, 'the little ones will be delighted.' Then he lit a big pipe and began to smoke, and soon he took a roll of soft fur from a shelf in a corner and commenced to cut it out in the shape of a rabbit.	"'If I can only make rabbits half as nice as you are,' he said, 'the little ones will be delighted.' Then he lit a big pipe and began to smoke, and soon he took a roll of soft fur from a shelf in a corner and commenced to cut it out in the shape of a rabbit.	true	436.25	451.81	25.29126
100_121674_000025_000001	He smoked and whistled all the time he was working, and he talked to me in such a jolly way that I sat perfectly still and allowed him to measure my ears and my legs so that he could cut the fur into the proper form.	He smoked and whistled all the time he was working, and he talked to me in such a jolly way that I sat perfectly still and allowed him to measure my ears and my legs so that he could cut the fur into the proper form.	true	452	465.33	24.792252
100_121674_000026_000000	"'Why, I 've got your nose too long, Bunny,' he said once; and so he snipped a little off the fur he was cutting, so that the toy rabbit's nose should be like mine.	"'Why, I 've got your nose too long, Bunny,' he said once; and so he snipped a little off the fur he was cutting, so that the toy rabbit's nose should be like mine.	false	465.33	476.08	23.966665
100_121674_000026_000001	And again he said, 'Good gracious! the ears are too short entirely!' So he had to get a needle and thread and sew on more fur to the ears, so that they might be the right size.	And again he said, 'Good gracious! the ears are too short entirely!' So he had to get a needle and thread and sew on more fur to the ears, so that they might be the right size.	true	476.21	487.72	24.34216
100_121674_000026_000002	But after a time it was all finished, and then he stuffed the fur full of sawdust and sewed it up neatly; after which he put in some glass eyes that made the toy rabbit look wonderfully life-like.	But after a time it was all finished, and then he stuffed the fur full of sawdust and sewed it up neatly; after which he put in some glass eyes that made the toy rabbit look wonderfully life like.	true	487.91	500.08	23.610847
100_121674_000026_000003	When it was all done he put it on the table beside me, and at first I did n't know whether I was the live rabbit or the toy rabbit, we were so much alike.	When it was all done he put it on the table beside me, and at first I did n't know whether I was the live rabbit or the toy rabbit, we were so much alike.	true	500.24	509.77	23.701868
100_121674_000027_000000	"'It 's a very good job,' said Santa, nodding his head at us pleasantly; 'and I shall have to make a lot of these rabbits, for the little children are sure to be greatly pleased with them.'	"'It 's a very good job,' said Santa, nodding his head at us pleasantly; 'and I shall have to make a lot of these rabbits, for the little children are sure to be greatly pleased with them.'	false	510.47	520.33	25.08655
100_121674_000028_000000	"So he immediately began to make another, and this time he cut the fur just the right size, so that it was even better than the first rabbit.	"So he immediately began to make another, and this time he cut the fur just the right size, so that it was even better than the first rabbit.	true	520.76	529.21	24.894636
100_121674_000029_000000	"'I must put a squeak in it,' said Santa.	"'I must put a squeak in it,' said Santa.	true	529.7	531.88	28.092451
100_121674_000030_000000	"So he took a box of squeaks from a shelf and put one into the rabbit before he sewed it up.	"So he took a box of squeaks from a shelf and put one into the rabbit before he sewed it up.	true	532.43	537.46	28.499655
100_121674_000030_000001	When it was all finished he pressed the toy rabbit with his thumb, and it squeaked so naturally that I jumped off the table, fearing at first the new rabbit was alive.	When it was all finished he pressed the toy rabbit with his thumb, and it squeaked so naturally that I jumped off the table, fearing at first the new rabbit was alive.	true	537.65	547.51	23.240833
100_121674_000030_000002	Old Santa laughed merrily at this, and I soon recovered from my fright and was pleased to think the babies were to have such pretty playthings.	Old Santa laughed merrily at this, and I soon recovered from my fright and was pleased to think the babies were to have such pretty playthings.	true	547.64	555.85	25.09843
100_121674_000031_000000	"'After this,' said Santa Claus, 'I can make rabbits without having you for a pattern; but if you like you may stay a few days longer in my castle and amuse yourself."	"'After this,' said Santa Claus, 'I can make rabbits without having you for a pattern; but if you like you may stay a few days longer in my castle and amuse yourself."	true	556.34	565.99	26.291039
100_121674_000032_000000	"I thanked him and decided to stay.	"I thanked him and decided to stay.	true	566.6	568.81	22.855885
100_121674_000032_000001	So for several days I watched him making all kinds of toys, and I wondered to see how quickly he made them, and how many new things he invented.	So for several days I watched him making all kinds of toys, and I wondered to see how quickly he made them, and how many new things he invented.	true	568.94	577.69	25.563648
100_121674_000033_000000	"'I almost wish I was a child,' I said to him one day, 'for then I too could have playthings.'	"'I almost wish I was a child,' I said to him one day, 'for then I too could have playthings.'	true	578.06	583.84	24.739164
100_121674_000034_000000	"'Ah, you can run about all day, in summer and in winter, and enjoy yourself in your own way,' said Santa; 'but the poor little children are obliged to stay in the house in the winter and on rainy days in the summer, and then they must have toys to amuse them and keep them contented."	"'Ah, you can run about all day, in summer and in winter, and enjoy yourself in your own way,' said Santa; 'but the poor little children are obliged to stay in the house in the winter and on rainy days in the summer, and then they must have toys to amuse them and keep them contented."	true	584.27	600.76	23.94789
100_121674_000035_000000	"I knew this was true, so I only said, admiringly, 'You must be the quickest and the best workman in all the world, Santa.'	"I knew this was true, so I only said, admiringly, 'You must be the quickest and the best workman in all the world, Santa.'	true	601.4	608.89	27.835974
100_121674_000036_000000	"'I suppose I am,' he answered; 'but then, you see, I have been making toys for hundreds of years, and I make so many it is no wonder I am skillful.	"'I suppose I am,' he answered; 'but then, you see, I have been making toys for hundreds of years, and I make so many it is no wonder I am skillful.	true	609.41	618.79	24.43254
100_121674_000036_000001	And now, if you are ready to go home, I 'll hitch up the reindeer and take you back again.'	And now, if you are ready to go home, I 'l l hitch up the reindeer and take you back again.'	false	618.92	623.89	26.453064
100_121674_000037_000000	"'Oh, no,' said I, 'I prefer to run by myself, for I can easily find the way and I want to see the country.'	"'Oh, no,' said I, 'I prefer to run by myself, for I can easily find the way and I want to see the country.'	true	624.47	631.45	24.578375
100_121674_000038_000000	"'If that is the case,' replied Santa, 'I must give you a magic collar to wear, so that you will come to no harm.'	"'If that is the case,' replied Santa, 'I must give you a magic collar to wear, so that you will come to no harm.'	true	631.94	638.92	26.083784
100_121674_000039_000000	"So, after Mother Hubbard had given me a good meal of turnips and sliced cabbage, Santa Claus put the magic collar around my neck and I started for home.	"So, after Mother Hubbard had given me a good meal of turnips and sliced cabbage, Santa Claus put the magic collar around my neck and I started for home.	true	639.23	648.7	25.878809
100_121674_000039_000001	I took my time on the journey, for I knew nothing could harm me, and I saw a good many strange sights before I got back to this place again."	I took my time on the journey, for I knew nothing could harm me, and I saw a good many strange sights before I got back to this place again."	true	648.77	656.92	26.636776
100_121674_000040_000000	"But what became of the magic collar?" asked Dorothy, who had listened with breathless interest to the rabbit's story.	"But what became of the magic collar?" asked Dorothy, who had listened with breathless interest to the rabbit's story.	true	657.68	664.425	25.287083
100_121674_000041_000000	"After I got home," replied the rabbit, "the collar disappeared from around my neck, and I knew Santa had called it back to himself again. He did not give it to me, you see; he merely let me take it on my journey to protect me.	"After I got home," replied the rabbit, "the collar disappeared from around my neck, and I knew Santa had called it back to himself again. He did not give it to me, you see; he merely let me take it on my journey to protect me.	true	664.425	677.59	25.51097
100_121674_000041_000001	The next Christmas, when I watched by the road-side to see Santa, I was pleased to notice a great many of the toy rabbits sticking out of the loaded sleigh.	The next Christmas, when I watched by the road side to see Santa, I was pleased to notice a great many of the toy rabbits sticking out of the loaded sleigh.	true	677.96	686.95	25.247309
100_121674_000041_000002	The babies must have liked them, too, for every year since I have seen them amongst the toys.	The babies must have liked them, too, for every year since I have seen them amongst the toys.	true	687.17	692.98	24.792952
100_121674_000042_000000	"Santa never forgets me, and every time he passes he calls out, in his jolly voice,	"Santa never forgets me, and every time he passes he calls out, in his jolly voice,	true	693.53	699.1	25.278038
100_121674_000043_000000	"'A merry Christmas to you, Bun Rabbit!	"'A merry Christmas to you, Bun Rabbit!	true	699.5	701.68	25.78558
100_121674_000043_000001	The babies still love you dearly.'"	The babies still love you dearly.'"	true	701.72	703.87	27.498955
100_121674_000044_000000	The Rabbit paused, and Dorothy was just about to ask another question when Bunny raised his head and seemed to hear something coming.	The Rabbit paused, and Dorothy was just about to ask another question when Bunny raised his head and seemed to hear something coming.	true	704.45	712.42	26.679314
100_121674_000045_000000	"What is it?" enquired the girl.	"What is it?" enquired the girl.	true	712.88	714.82	23.27621
100_121674_000046_000000	"It 's the farmer's big shepherd dog," answered the Rabbit, "and I must be going before he sees me, or I shall shall [both shalls in original] have to run for my life.	"It 's the farmer's big shepherd dog," answered the Rabbit, "and I must be going before he sees me, or I shall shall [both shalls in original] have to run for my life.	false	715.31	722.71	23.588211
100_121674_000046_000001	So good bye, Dorothy; I hope we shall meet again, and then I will gladly tell you more of my adventures."	So good bye, Dorothy; I hope we shall meet again, and then I will gladly tell you more of my adventures."	true	722.9	728.98	26.157957
100_121674_000047_000000	The next instant he had sprung into the wood, and all that Dorothy could see of him was a gray streak darting in and out amongst the trees.	The next instant he had sprung into the wood, and all that Dorothy could see of him was a gray streak darting in and out amongst the trees.	true	729.5	738.28	25.910639
100_121674_000048_000000	End of the Project Gutenberg EBook of Mother Goose in Prose, by L. Frank Baum	End of the Project Gutenberg EBook of Mother Goose in Prose, by l Frank Baum	false	739.61	741.99	24.645159
100_121674_000049_000000	*** END OF THE PROJECT GUTENBERG EBOOK MOTHER GOOSE IN PROSE ***	asterisk asterisk asterisk END OF THE PROJECT GUTENBERG EBOOK MOTHER GOOSE IN PROSE asterisk asterisk asterisk	false	741.99	744.9	22.717728
