716_129582_000000_000000	VI.	VI.	false	6.9	7.2	17
716_129582_000014_000000	"It was you," said I, "that saved me again."	"It was you," said I, "that saved me again."	true	502.25	505.21	24.94509
716_129582_000015_000000	"That depends.	"That depends.	true	505.7	506.74	27.423782
716_129582_000015_000001	You'll find this island an infernally rum place, I promise you.	You'll find this island an infernally rum place, I promise you.	true	506.93	510.7	22.765749
716_129582_000015_000002	I'd watch my goings carefully, if I were you. _He_--" He hesitated, and seemed to alter his mind about what was on his lips.	I'd watch my goings carefully, if I were you. underscore He underscore--" He hesitated, and seemed to alter his mind about what was on his lips.	false	511.07	519.22	23.937588
716_129582_000015_000003	"I wish you'd help me with these rabbits," he said.	"I wish you'd help me with these rabbits," he said.	true	519.68	522.01	27.802332
716_129582_000016_000000	His procedure with the rabbits was singular.	His procedure with the rabbits was singular.	true	523.1	525.43	20.873837
716_129582_000016_000001	I waded in with him, and helped him lug one of the hutches ashore. No sooner was that done than he opened the door of it, and tilting the thing on one end turned its living contents out on the ground. They fell in a struggling heap one on the top of the other. He clapped his hands, and forthwith they went off with that hopping run of theirs, fifteen or twenty of them I should think, up the beach.	I waded in with him, and helped him lug one of the hutches ashore. No sooner was that done than he opened the door of it, and tilting the thing on one end turned its living contents out on the ground. They fell in a struggling heap one on the top of the other. He clapped his hands, and forthwith they went off with that hopping run of theirs, fifteen or twenty of them I should think, up the beach.	false	525.53	545.68	23.907026
716_129582_000017_000000	"Increase and multiply, my friends," said Montgomery. "Replenish the island.	"Increase and multiply, my friends," said Montgomery. "Replenish the island.	true	546.08	550.66	28.914755
716_129582_000017_000001	Hitherto we've had a certain lack of meat here."	Hitherto we've had a certain lack of meat here."	true	550.79	553.54	27.891163
716_129582_000018_000000	As I watched them disappearing, the white-haired man returned with a brandy-flask and some biscuits.	As I watched them disappearing, the white haired man returned with a brandy flask and some biscuits.	true	554.15	559.18	23.177574
716_129582_000018_000001	"Something to go on with, Prendick," said he, in a far more familiar tone than before.	"Something to go on with, Prendick," said he, in a far more familiar tone than before.	true	559.61	564.49	23.111801
716_129582_000018_000002	I made no ado, but set to work on the biscuits at once, while the white-haired man helped Montgomery to release about a score more of the rabbits. Three big hutches, however, went up to the house with the puma. The brandy I did not touch, for I have been an abstainer from my birth.	I made no ado, but set to work on the biscuits at once, while the white haired man helped Montgomery to release about a score more of the rabbits. Three big hutches, however, went up to the house with the puma. The brandy I did not touch, for I have been an abstainer from my birth.	true	565.01	580.08	23.350597
716_129582_000019_000000	VII.	seven.	false	580.08	580.14	-20
716_129582_000019_000001	THE LOCKED DOOR.	THE LOCKED DOOR.	false	580.14	580.35	-20
716_129582_000020_000000	THE reader will perhaps understand that at first everything was so strange about me, and my position was the outcome of such unexpected adventures, that I had no discernment of the relative strangeness of this or that thing.	THE reader will perhaps understand that at first everything was so strange about me, and my position was the outcome of such unexpected adventures, that I had no discernment of the relative strangeness of this or that thing.	false	580.35	583.44	23.381142
716_129582_000020_000001	I followed the llama up the beach, and was overtaken by Montgomery, who asked me not to enter the stone enclosure. I noticed then that the puma in its cage and the pile of packages had been placed outside the entrance to this quadrangle.	I followed the llama up the beach, and was overtaken by Montgomery, who asked me not to enter the stone enclosure. I noticed then that the puma in its cage and the pile of packages had been placed outside the entrance to this quadrangle.	false	583.44	587.22	-20
