953_130625_000000_000000	CHAPTER IV.	CHAPTER four.	true	26.955	28.27	24.544443
953_130625_000013_000003	There, the wind carried a whiff from the cheeses full on to our steed.	There, the wind carried a whiff from the cheeses full on to our steed.	true	323.6	328.45	21.00484
953_130625_000013_000004	It woke him up, and, with a snort of terror, he dashed off at three miles an hour.	It woke him up, and, with a snort of terror, he dashed off at three miles an hour.	true	328.67	334.15	21.026
953_130625_000013_000005	The wind still blew in his direction, and before we reached the end of the street he was laying himself out at the rate of nearly four miles an hour, leaving the cripples and stout old ladies simply nowhere.	The wind still blew in his direction, and before we reached the end of the street he was laying himself out at the rate of nearly four miles an hour, leaving the cripples and stout old ladies simply nowhere.	false	334.49	346.93	18
953_130625_000014_000000	It took two porters as well as the driver to hold him in at the station; and I do not think they would have done it, even then, had not one of the men had the presence of mind to put a handkerchief over his nose, and to light a bit of brown paper.	It took two porters as well as the driver to hold him in at the station; and I do not think they would have done it, even then, had not one of the men had the presence of mind to put a handkerchief over his nose, and to light a bit of brown paper.	true	348.8	364.21	20.978745
953_130625_000015_000000	I took my ticket, and marched proudly up the platform, with my cheeses, the people falling back respectfully on either side.	I took my ticket, and marched proudly up the platform, with my cheeses, the people falling back respectfully on either side.	true	364.76	372.88	22.180172
953_130625_000015_000001	The train was crowded, and I had to get into a carriage where there were already seven other people.	The train was crowded, and I had to get into a carriage where there were already seven other people.	true	373.28	379.36	21.215666
953_130625_000015_000002	One crusty old gentleman objected, but I got in, notwithstanding; and, putting my cheeses upon the rack, squeezed down with a pleasant smile, and said it was a warm day.	One crusty old gentleman objected, but I got in, notwithstanding; and, putting my cheeses upon the rack, squeezed down with a pleasant smile, and said it was a warm day.	true	379.73	391.21	22.162577
953_130625_000016_000000	A few moments passed, and then the old gentleman began to fidget.	A few moments passed, and then the old gentleman began to fidget.	true	391.67	396.01	20.441893
953_130625_000017_000000	"Very close in here," he said.	"Very close in here," he said.	true	396.38	398.41	19.544233
953_130625_000018_000000	"Quite oppressive," said the man next him.	"Quite oppressive," said the man next him.	true	398.75	401.17	21.67106
953_130625_000019_000000	And then they both began sniffing, and, at the third sniff, they caught it right on the chest, and rose up without another word and went out. And then a stout lady got up, and said it was disgraceful that a respectable married woman should be harried about in this way, and gathered up a bag and eight parcels and went.	And then they both began sniffing, and, at the third sniff, they caught it right on the chest, and rose up without another word and went out. And then a stout lady got up, and said it was disgraceful that a respectable married woman should be harried about in this way, and gathered up a bag and eight parcels and went.	true	401.96	421.9	21.452269
953_130625_000019_000001	The remaining four passengers sat on for a while, until a solemn-looking man in the corner, who, from his dress and general appearance, seemed to belong to the undertaker class, said it put him in mind of dead baby; and the other three passengers tried to get out of the door at the same time, and hurt themselves.	The remaining four passengers sat on for a while, until a solemn looking man in the corner, who, from his dress and general appearance, seemed to belong to the undertaker class, said it put him in mind of dead baby; and the other three passengers tried to get out of the door at the same time, and hurt themselves.	true	422.51	441.39	21.753122
953_130625_000020_000000	[Picture: Railway carriage]	[Picture: Railway carriage]	false	441.39	442.395	-2
953_130625_000021_000000	I smiled at the black gentleman, and said I thought we were going to have the carriage to ourselves; and he laughed pleasantly, and said that some people made such a fuss over a little thing.	I smiled at the black gentleman, and said I thought we were going to have the carriage to ourselves; and he laughed pleasantly, and said that some people made such a fuss over a little thing.	true	442.395	453.49	21.605618
953_130625_000021_000001	But even he grew strangely depressed after we had started, and so, when we reached Crewe, I asked him to come and have a drink.	But even he grew strangely depressed after we had started, and so, when we reached Crewe, I asked him to come and have a drink.	true	453.83	462.16	19.492752
953_130625_000021_000002	He accepted, and we forced our way into the buffet, where we yelled, and stamped, and waved our umbrellas for a quarter of an hour; and then a young lady came, and asked us if we wanted anything.	He accepted, and we forced our way into the buffet, where we yelled, and stamped, and waved our umbrellas for a quarter of an hour; and then a young lady came, and asked us if we wanted anything.	true	462.38	474.22	20.312513
953_130625_000022_000000	"What's yours?" I said, turning to my friend.	"What's yours?" I said, turning to my friend.	true	474.71	477.25	20.58529
953_130625_000023_000000	"I'll have half-a-crown's worth of brandy, neat, if you please, miss," he responded.	"I'll have half a crown's worth of brandy, neat, if you please, miss," he responded.	true	477.65	482.25	20.365683
953_130625_000024_000000	And he went off quietly after he had drunk it and got into another carriage, which I thought mean.	And he went off quietly after he had drunk it and got into another carriage, which I thought mean.	false	482.25	488.62	23.020967
953_130625_000025_000000	From Crewe I had the compartment to myself, though the train was crowded. As we drew up at the different stations, the people, seeing my empty carriage, would rush for it.	From Crewe I had the compartment to myself, though the train was crowded. As we drew up at the different stations, the people, seeing my empty carriage, would rush for it.	true	489.56	500.11	21.90885
953_130625_000025_000001	"Here y' are, Maria; come along, plenty of room." "All right, Tom; we'll get in here," they would shout.	"Here y' are, Maria; come along, plenty of room." "All right, Tom; we'll get in here," they would shout.	false	500.27	506.05	22.967886
953_130625_000025_000002	And they would run along, carrying heavy bags, and fight round the door to get in first.	And they would run along, carrying heavy bags, and fight round the door to get in first.	true	506.27	510.97	20
953_130625_000025_000003	And one would open the door and mount the steps, and stagger back into the arms of the man behind him; and they would all come and have a sniff, and then droop off and squeeze into other carriages, or pay the difference and go first.	And one would open the door and mount the steps, and stagger back into the arms of the man behind him; and they would all come and have a sniff, and then droop off and squeeze into other carriages, or pay the difference and go first.	false	511.49	525.61	20.847591
953_130625_000026_000000	From Euston, I took the cheeses down to my friend's house.	From Euston, I took the cheeses down to my friend's house.	true	526.67	530.35	22
953_130625_000026_000001	When his wife came into the room she smelt round for an instant.	When his wife came into the room she smelt round for an instant.	true	530.57	534.52	20.207415
953_130625_000026_000002	Then she said:	Then she said:	true	534.59	535.72	21.24585
953_130625_000027_000000	"What is it?	"What is it?	true	535.76	536.67	23.879156
953_130625_000027_000001	Tell me the worst."	Tell me the worst."	true	536.67	538	21.897982
953_130625_000028_000000	I said:	I said:	true	538.19	538.875	23.063381
953_130625_000029_000000	"It's cheeses.	"It's cheeses.	true	538.875	539.95	23
953_130625_000029_000001	Tom bought them in Liverpool, and asked me to bring them up with me."	Tom bought them in Liverpool, and asked me to bring them up with me."	true	540.32	544.39	21.96322
953_130625_000030_000000	And I added that I hoped she understood that it had nothing to do with me; and she said that she was sure of that, but that she would speak to Tom about it when he came back.	And I added that I hoped she understood that it had nothing to do with me; and she said that she was sure of that, but that she would speak to Tom about it when he came back.	false	544.91	554.2	20.640442
953_130625_000031_000000	My friend was detained in Liverpool longer than he expected; and, three days later, as he hadn't returned home, his wife called on me.	My friend was detained in Liverpool longer than he expected; and, three days later, as he hadn't returned home, his wife called on me.	true	554.84	563.835	21.487503
953_130625_000031_000001	She said:	She said:	true	563.835	564.73	21.082281
953_130625_000032_000000	"What did Tom say about those cheeses?"	"What did Tom say about those cheeses?"	true	565.01	567.55	23
953_130625_000033_000000	I replied that he had directed they were to be kept in a moist place, and that nobody was to touch them.	I replied that he had directed they were to be kept in a moist place, and that nobody was to touch them.	true	567.77	574.155	22.612673
953_130625_000034_000000	She said:	She said:	true	574.155	574.99	24.71467
953_130625_000035_000000	"Nobody's likely to touch them.	"Nobody's likely to touch them.	true	575.03	577.18	23.327541
953_130625_000035_000001	Had he smelt them?"	Had he smelt them?"	true	577.19	578.62	26.083443
953_130625_000036_000000	I thought he had, and added that he seemed greatly attached to them.	I thought he had, and added that he seemed greatly attached to them.	true	578.84	583.69	19.955162
953_130625_000037_000000	"You think he would be upset," she queried, "if I gave a man a sovereign to take them away and bury them?"	"You think he would be upset," she queried, "if I gave a man a sovereign to take them away and bury them?"	true	584	590.17	20.530504
953_130625_000038_000000	I answered that I thought he would never smile again.	I answered that I thought he would never smile again.	true	590.6	593.44	18
953_130625_000039_000000	An idea struck her.	An idea struck her.	true	593.81	595.47	19.63138
953_130625_000039_000001	She said:	She said:	true	595.47	596.295	18.846066
953_130625_000040_000000	"Do you mind keeping them for him?	"Do you mind keeping them for him?	true	596.295	598.335	21
953_130625_000040_000001	Let me send them round to you."	Let me send them round to you."	true	598.335	600.01	24.913542
953_130625_000041_000000	"Madam," I replied, "for myself I like the smell of cheese, and the journey the other day with them from Liverpool I shall ever look back upon as a happy ending to a pleasant holiday.	"Madam," I replied, "for myself I like the smell of cheese, and the journey the other day with them from Liverpool I shall ever look back upon as a happy ending to a pleasant holiday.	true	600.77	612.25	21.904036
953_130625_000041_000001	But, in this world, we must consider others.	But, in this world, we must consider others.	true	612.68	615.28	20
953_130625_000041_000002	The lady under whose roof I have the honour of residing is a widow, and, for all I know, possibly an orphan too.	The lady under whose roof I have the honour of residing is a widow, and, for all I know, possibly an orphan too.	true	615.44	622.96	17.830225
953_130625_000041_000003	She has a strong, I may say an eloquent, objection to being what she terms 'put upon.' The presence of your husband's cheeses in her house she would, I instinctively feel, regard as a 'put upon'; and it shall never be said that I put upon the widow and the orphan."	She has a strong, I may say an eloquent, objection to being what she terms 'put upon.' The presence of your husband's cheeses in her house she would, I instinctively feel, regard as a 'put upon'; and it shall never be said that I put upon the widow and the orphan."	true	623.15	640.72	19.35377
953_130625_000042_000000	"Very well, then," said my friend's wife, rising, "all I have to say is, that I shall take the children and go to an hotel until those cheeses are eaten.	"Very well, then," said my friend's wife, rising, "all I have to say is, that I shall take the children and go to an hotel until those cheeses are eaten.	true	641.63	651.49	21
953_130625_000042_000001	I decline to live any longer in the same house with them."	I decline to live any longer in the same house with them."	true	651.8	655.36	16.736395
953_130625_000043_000000	She kept her word, leaving the place in charge of the charwoman, who, when asked if she could stand the smell, replied, "What smell?" and who, when taken close to the cheeses and told to sniff hard, said she could detect a faint odour of melons.	She kept her word, leaving the place in charge of the charwoman, who, when asked if she could stand the smell, replied, "What smell?" and who, when taken close to the cheeses and told to sniff hard, said she could detect a faint odour of melons.	true	655.97	672.22	21.759535
953_130625_000043_000001	It was argued from this that little injury could result to the woman from the atmosphere, and she was left.	It was argued from this that little injury could result to the woman from the atmosphere, and she was left.	true	672.47	678.85	19
953_130625_000044_000000	The hotel bill came to fifteen guineas; and my friend, after reckoning everything up, found that the cheeses had cost him eight-and-sixpence a pound.	The hotel bill came to fifteen guineas; and my friend, after reckoning everything up, found that the cheeses had cost him eight and sixpence a pound.	false	679.67	690.13	21.264341
953_130625_000044_000001	He said he dearly loved a bit of cheese, but it was beyond his means; so he determined to get rid of them.	He said he dearly loved a bit of cheese, but it was beyond his means; so he determined to get rid of them.	true	690.29	696.84	19.084587
953_130625_000044_000002	He threw them into the canal; but had to fish them out again, as the bargemen complained.	He threw them into the canal; but had to fish them out again, as the bargemen complained.	false	696.84	702.79	19.440207
953_130625_000044_000003	They said it made them feel quite faint.	They said it made them feel quite faint.	true	702.95	705.52	21.187979
953_130625_000044_000004	And, after that, he took them one dark night and left them in the parish mortuary.	And, after that, he took them one dark night and left them in the parish mortuary.	true	705.71	710.83	20
953_130625_000044_000005	But the coroner discovered them, and made a fearful fuss.	But the coroner discovered them, and made a fearful fuss.	true	711.02	714.55	22.583508
953_130625_000045_000000	He said it was a plot to deprive him of his living by waking up the corpses.	He said it was a plot to deprive him of his living by waking up the corpses.	true	714.86	719.77	21
953_130625_000046_000000	My friend got rid of them, at last, by taking them down to a sea-side town, and burying them on the beach.	My friend got rid of them, at last, by taking them down to a sea side town, and burying them on the beach.	true	720.44	727.54	20.565218
953_130625_000046_000001	It gained the place quite a reputation.	It gained the place quite a reputation.	true	727.76	730.24	24.614153
953_130625_000046_000002	Visitors said they had never noticed before how strong the air was, and weak-chested and consumptive people used to throng there for years afterwards.	Visitors said they had never noticed before how strong the air was, and weak chested and consumptive people used to throng there for years afterwards.	true	730.46	740.29	20
953_130625_000047_000000	Fond as I am of cheese, therefore, I hold that George was right in declining to take any.	Fond as I am of cheese, therefore, I hold that George was right in declining to take any.	true	741.8	747.55	20.213907
953_130625_000048_000000	"We shan't want any tea," said George (Harris's face fell at this); "but we'll have a good round, square, slap-up meal at seven--dinner, tea, and supper combined."	"We shan't want any tea," said George (Harris's face fell at this); "but we'll have a good round, square, slap up meal at seven-dinner, tea, and supper combined."	false	748.04	759.61	21.24335
953_130625_000049_000000	Harris grew more cheerful.	Harris grew more cheerful.	true	759.95	761.56	24.879637
953_130625_000049_000001	George suggested meat and fruit pies, cold meat, tomatoes, fruit, and green stuff.	George suggested meat and fruit pies, cold meat, tomatoes, fruit, and green stuff.	true	761.78	768.07	21.973877
953_130625_000049_000002	For drink, we took some wonderful sticky concoction of Harris's, which you mixed with water and called lemonade, plenty of tea, and a bottle of whisky, in case, as George said, we got upset.	For drink, we took some wonderful sticky concoction of Harris's, which you mixed with water and called lemonade, plenty of tea, and a bottle of whisky, in case, as George said, we got upset.	true	768.17	780.67	20.498388
953_130625_000050_000000	It seemed to me that George harped too much on the getting-upset idea. It seemed to me the wrong spirit to go about the trip in.	It seemed to me that George harped too much on the getting upset idea. It seemed to me the wrong spirit to go about the trip in.	true	781.43	789.01	21.124504
953_130625_000051_000000	But I'm glad we took the whisky.	But I'm glad we took the whisky.	true	789.5	791.47	22.200315
953_130625_000052_000000	We didn't take beer or wine.	We didn't take beer or wine.	true	791.84	793.9	17.638615
953_130625_000052_000001	They are a mistake up the river.	They are a mistake up the river.	true	793.94	795.72	25.437578
953_130625_000052_000002	They make you feel sleepy and heavy.	They make you feel sleepy and heavy.	true	795.72	798.16	22.808199
953_130625_000052_000003	A glass in the evening when you are doing a mouch round the town and looking at the girls is all right enough; but don't drink when the sun is blazing down on your head, and you've got hard work to do.	A glass in the evening when you are doing a mouch round the town and looking at the girls is all right enough; but don't drink when the sun is blazing down on your head, and you've got hard work to do.	false	798.44	810.19	18
953_130625_000053_000000	We made a list of the things to be taken, and a pretty lengthy one it was, before we parted that evening.	We made a list of the things to be taken, and a pretty lengthy one it was, before we parted that evening.	false	810.74	816.34	21.753021
953_130625_000053_000001	The next day, which was Friday, we got them all together, and met in the evening to pack.	The next day, which was Friday, we got them all together, and met in the evening to pack.	true	816.65	822.13	21.625778
953_130625_000053_000002	We got a big Gladstone for the clothes, and a couple of hampers for the victuals and the cooking utensils.	We got a big Gladstone for the clothes, and a couple of hampers for the victuals and the cooking utensils.	true	822.47	829.24	20.859562
953_130625_000053_000003	We moved the table up against the window, piled everything in a heap in the middle of the floor, and sat round and looked at it.	We moved the table up against the window, piled everything in a heap in the middle of the floor, and sat round and looked at it.	true	829.76	837.25	19.727274
953_130625_000054_000000	I said I'd pack.	I said I'd pack.	true	837.53	839.2	23.24526
953_130625_000055_000000	I rather pride myself on my packing.	I rather pride myself on my packing.	true	839.69	842.02	23.942215
953_130625_000055_000001	Packing is one of those many things that I feel I know more about than any other person living. (It surprises me myself, sometimes, how many of these subjects there are.) I impressed the fact upon George and Harris, and told them that they had better leave the whole matter entirely to me.	Packing is one of those many things that I feel I know more about than any other person living. (It surprises me myself, sometimes, how many of these subjects there are.) I impressed the fact upon George and Harris, and told them that they had better leave the whole matter entirely to me.	true	842.06	860.62	19.848066
953_130625_000055_000002	They fell into the suggestion with a readiness that had something uncanny about it.	They fell into the suggestion with a readiness that had something uncanny about it.	true	860.96	865.99	19.08917
953_130625_000055_000003	George put on a pipe and spread himself over the easy-chair, and Harris cocked his legs on the table and lit a cigar.	George put on a pipe and spread himself over the easy chair, and Harris cocked his legs on the table and lit a cigar.	true	866.27	873.94	21
953_130625_000056_000000	This was hardly what I intended.	This was hardly what I intended.	true	874.43	876.82	18.995375
953_130625_000056_000001	What I had meant, of course, was, that I should boss the job, and that Harris and George should potter about under my directions, I pushing them aside every now and then with, "Oh, you--!" "Here, let me do it." "There you are, simple enough!"--really teaching them, as you might say.	What I had meant, of course, was, that I should boss the job, and that Harris and George should potter about under my directions, I pushing them aside every now and then with, "Oh, you-!" "Here, let me do it." "There you are, simple enough!"--really teaching them, as you might say.	true	876.98	894.76	21.095184
953_130625_000056_000002	Their taking it in the way they did irritated me.	Their taking it in the way they did irritated me.	true	895.88	899.2	22.527435
953_130625_000056_000003	There is nothing does irritate me more than seeing other people sitting about doing nothing when I'm working.	There is nothing does irritate me more than seeing other people sitting about doing nothing when I'm working.	true	899.33	905.68	18
953_130625_000057_000000	I lived with a man once who used to make me mad that way.	I lived with a man once who used to make me mad that way.	true	906.44	909.7	19.490194
953_130625_000057_000001	He would loll on the sofa and watch me doing things by the hour together, following me round the room with his eyes, wherever I went.	He would loll on the sofa and watch me doing things by the hour together, following me round the room with his eyes, wherever I went.	false	909.77	917.56	19.974977
953_130625_000057_000002	He said it did him real good to look on at me, messing about.	He said it did him real good to look on at me, messing about.	true	918.08	921.58	17
953_130625_000057_000003	He said it made him feel that life was not an idle dream to be gaped and yawned through, but a noble task, full of duty and stern work.	He said it made him feel that life was not an idle dream to be gaped and yawned through, but a noble task, full of duty and stern work.	true	921.62	930.1	20.89854
953_130625_000057_000004	He said he often wondered now how he could have gone on before he met me, never having anybody to look at while they worked.	He said he often wondered now how he could have gone on before he met me, never having anybody to look at while they worked.	true	930.29	937.69	17
953_130625_000058_000000	Now, I'm not like that.	Now, I'm not like that.	true	938.42	939.945	19.639055
953_130625_000058_000001	I can't sit still and see another man slaving and working.	I can't sit still and see another man slaving and working.	true	939.945	943.6	16
953_130625_000058_000002	I want to get up and superintend, and walk round with my hands in my pockets, and tell him what to do.	I want to get up and superintend, and walk round with my hands in my pockets, and tell him what to do.	false	943.79	950.2	22.91871
953_130625_000058_000003	It is my energetic nature. I can't help it.	It is my energetic nature. I can't help it.	true	950.24	953.98	22.009872
953_130625_000059_000000	However, I did not say anything, but started the packing.	However, I did not say anything, but started the packing.	true	955.25	959.29	21.857958
953_130625_000059_000001	It seemed a longer job than I had thought it was going to be; but I got the bag finished at last, and I sat on it and strapped it.	It seemed a longer job than I had thought it was going to be; but I got the bag finished at last, and I sat on it and strapped it.	false	959.54	966.91	20.789343
953_130625_000060_000000	"Ain't you going to put the boots in?" said Harris.	"Ain't you going to put the boots in?" said Harris.	true	967.43	969.97	22.23289
953_130625_000061_000000	And I looked round, and found I had forgotten them.	And I looked round, and found I had forgotten them.	true	970.31	972.97	22.114721
953_130625_000061_000001	That's just like Harris.	That's just like Harris.	true	973.07	974.59	20.481796
953_130625_000061_000002	He couldn't have said a word until I'd got the bag shut and strapped, of course.	He couldn't have said a word until I'd got the bag shut and strapped, of course.	true	974.66	978.97	21
953_130625_000061_000003	And George laughed--one of those irritating, senseless, chuckle-headed, crack-jawed laughs of his.	And George laughed-one of those irritating, senseless, chuckle headed, crack jawed laughs of his.	true	979.1	985.93	21.58051
953_130625_000061_000004	They do make me so wild.	They do make me so wild.	true	986.21	988.27	20.478928
953_130625_000062_000000	I opened the bag and packed the boots in; and then, just as I was going to close it, a horrible idea occurred to me.	I opened the bag and packed the boots in; and then, just as I was going to close it, a horrible idea occurred to me.	true	988.7	996.64	21.29165
953_130625_000062_000001	Had I packed my tooth-brush?	Had I packed my tooth brush?	true	996.89	998.95	19.429085
953_130625_000062_000002	I don't know how it is, but I never do know whether I've packed my tooth-brush.	I don't know how it is, but I never do know whether I've packed my tooth brush.	false	999.14	1003.45	21.552794
953_130625_000063_000000	My tooth-brush is a thing that haunts me when I'm travelling, and makes my life a misery.	My tooth brush is a thing that haunts me when I'm travelling, and makes my life a misery.	true	1003.76	1009.21	20.794014
953_130625_000063_000001	I dream that I haven't packed it, and wake up in a cold perspiration, and get out of bed and hunt for it.	I dream that I haven't packed it, and wake up in a cold perspiration, and get out of bed and hunt for it.	true	1009.49	1016.2	20.264135
953_130625_000063_000002	And, in the morning, I pack it before I have used it, and have to unpack again to get it, and it is always the last thing I turn out of the bag; and then I repack and forget it, and have to rush upstairs for it at the last moment and carry it to the railway station, wrapped up in my pocket-handkerchief.	And, in the morning, I pack it before I have used it, and have to unpack again to get it, and it is always the last thing I turn out of the bag; and then I repack and forget it, and have to rush upstairs for it at the last moment and carry it to the railway station, wrapped up in my pocket handkerchief.	false	1016.3	1033.53	20.24441
953_130625_000064_000000	[Picture: Boot] Of course I had to turn every mortal thing out now, and, of course, I could not find it.	[Picture: Boot] Of course I had to turn every mortal thing out now, and, of course, I could not find it.	false	1033.53	1040.2	19.949318
953_130625_000064_000001	I rummaged the things up into much the same state that they must have been before the world was created, and when chaos reigned.	I rummaged the things up into much the same state that they must have been before the world was created, and when chaos reigned.	true	1040.36	1048.09	20
