953_130625_000000_000000	CHAPTER IV.	CHAPTER four.
953_130625_000049_000002	For drink, we took some wonderful sticky concoction of Harris's, which you mixed with water and called lemonade, plenty of tea, and a bottle of whisky, in case, as George said, we got upset.	For drink, we took some wonderful sticky concoction of Harris's, which you mixed with water and called lemonade, plenty of tea, and a bottle of whisky, in case, as George said, we got upset.
953_130625_000050_000000	It seemed to me that George harped too much on the getting-upset idea. It seemed to me the wrong spirit to go about the trip in.	It seemed to me that George harped too much on the getting upset idea. It seemed to me the wrong spirit to go about the trip in.
953_130625_000051_000000	But I'm glad we took the whisky.	But I'm glad we took the whisky.
953_130625_000052_000001	They are a mistake up the river.	They are a mistake up the river.
953_130625_000052_000002	They make you feel sleepy and heavy.	They make you feel sleepy and heavy.
953_130625_000053_000001	The next day, which was Friday, we got them all together, and met in the evening to pack.	The next day, which was Friday, we got them all together, and met in the evening to pack.
953_130625_000053_000002	We got a big Gladstone for the clothes, and a couple of hampers for the victuals and the cooking utensils.	We got a big Gladstone for the clothes, and a couple of hampers for the victuals and the cooking utensils.
953_130625_000054_000000	I said I'd pack.	I said I'd pack.
953_130625_000055_000000	I rather pride myself on my packing.	I rather pride myself on my packing.
953_130625_000055_000003	George put on a pipe and spread himself over the easy-chair, and Harris cocked his legs on the table and lit a cigar.	George put on a pipe and spread himself over the easy chair, and Harris cocked his legs on the table and lit a cigar.
953_130625_000056_000001	What I had meant, of course, was, that I should boss the job, and that Harris and George should potter about under my directions, I pushing them aside every now and then with, "Oh, you--!" "Here, let me do it." "There you are, simple enough!"--really teaching them, as you might say.	What I had meant, of course, was, that I should boss the job, and that Harris and George should potter about under my directions, I pushing them aside every now and then with, "Oh, you-!" "Here, let me do it." "There you are, simple enough!"--really teaching them, as you might say.
953_130625_000056_000002	Their taking it in the way they did irritated me.	Their taking it in the way they did irritated me.
953_130625_000057_000003	He said it made him feel that life was not an idle dream to be gaped and yawned through, but a noble task, full of duty and stern work.	He said it made him feel that life was not an idle dream to be gaped and yawned through, but a noble task, full of duty and stern work.
953_130625_000058_000003	It is my energetic nature. I can't help it.	It is my energetic nature. I can't help it.
953_130625_000059_000000	However, I did not say anything, but started the packing.	However, I did not say anything, but started the packing.
953_130625_000060_000000	"Ain't you going to put the boots in?" said Harris.	"Ain't you going to put the boots in?" said Harris.
953_130625_000061_000000	And I looked round, and found I had forgotten them.	And I looked round, and found I had forgotten them.
953_130625_000061_000001	That's just like Harris.	That's just like Harris.
953_130625_000061_000002	He couldn't have said a word until I'd got the bag shut and strapped, of course.	He couldn't have said a word until I'd got the bag shut and strapped, of course.
953_130625_000061_000003	And George laughed--one of those irritating, senseless, chuckle-headed, crack-jawed laughs of his.	And George laughed-one of those irritating, senseless, chuckle headed, crack jawed laughs of his.
953_130625_000061_000004	They do make me so wild.	They do make me so wild.
953_130625_000062_000000	I opened the bag and packed the boots in; and then, just as I was going to close it, a horrible idea occurred to me.	I opened the bag and packed the boots in; and then, just as I was going to close it, a horrible idea occurred to me.
953_130625_000063_000000	My tooth-brush is a thing that haunts me when I'm travelling, and makes my life a misery.	My tooth brush is a thing that haunts me when I'm travelling, and makes my life a misery.
953_130625_000063_000001	I dream that I haven't packed it, and wake up in a cold perspiration, and get out of bed and hunt for it.	I dream that I haven't packed it, and wake up in a cold perspiration, and get out of bed and hunt for it.
953_130625_000064_000001	I rummaged the things up into much the same state that they must have been before the world was created, and when chaos reigned.	I rummaged the things up into much the same state that they must have been before the world was created, and when chaos reigned.
953_130625_000064_000002	Of course, I found George's and Harris's eighteen times over, but I couldn't find my own.	Of course, I found George's and Harris's eighteen times over, but I couldn't find my own.
953_130625_000064_000003	I put the things back one by one, and held everything up and shook it.	I put the things back one by one, and held everything up and shook it.
953_130625_000064_000004	Then I found it inside a boot. I repacked once more.	Then I found it inside a boot. I repacked once more.
953_130625_000065_000000	When I had finished, George asked if the soap was in.	When I had finished, George asked if the soap was in.
953_130625_000065_000001	I said I didn't care a hang whether the soap was in or whether it wasn't; and I slammed the bag to and strapped it, and found that I had packed my tobacco-pouch in it, and had to re-open it.	I said I didn't care a hang whether the soap was in or whether it wasn't; and I slammed the bag to and strapped it, and found that I had packed my tobacco pouch in it, and had to re-open it.
953_130625_000066_000000	They began in a light-hearted spirit, evidently intending to show me how to do it.	They began in a light-hearted spirit, evidently intending to show me how to do it.
953_130625_000066_000001	I made no comment; I only waited.	I made no comment; I only waited.
953_130625_000067_000000	It did.	It did.
953_130625_000067_000001	They started with breaking a cup.	They started with breaking a cup.
953_130625_000068_000000	Then Harris packed the strawberry jam on top of a tomato and squashed it, and they had to pick out the tomato with a teaspoon.	Then Harris packed the strawberry jam on top of a tomato and squashed it, and they had to pick out the tomato with a teaspoon.
953_130625_000069_000003	I felt that.	I felt that.
953_130625_000069_000004	It made them nervous and excited, and they stepped on things, and put things behind them, and then couldn't find them when they wanted them; and they packed the pies at the bottom, and put heavy things on top, and smashed the pies in.	It made them nervous and excited, and they stepped on things, and put things behind them, and then couldn't find them when they wanted them; and they packed the pies at the bottom, and put heavy things on top, and smashed the pies in.
953_130625_000070_000001	I never saw two men do more with one-and-twopence worth of butter in my whole life than they did.	I never saw two men do more with one and twopence worth of butter in my whole life than they did.
953_130625_000070_000002	After George had got it off his slipper, they tried to put it in the kettle.	After George had got it off his slipper, they tried to put it in the kettle.
953_130625_000071_000000	"I'll take my oath I put it down on that chair," said George, staring at the empty seat.	"I'll take my oath I put it down on that chair," said George, staring at the empty seat.
953_130625_000074_000000	"Most extraordinary thing I ever heard of," said George.	"Most extraordinary thing I ever heard of," said George.
953_130625_000075_000000	"So mysterious!" said Harris.	"So mysterious!" said Harris.
953_130625_000076_000000	Then George got round at the back of Harris and saw it.	Then George got round at the back of Harris and saw it.
953_130625_000078_000000	"Where?" cried Harris, spinning round.	"Where?" cried Harris, spinning round.
953_130625_000079_000000	"Stand still, can't you!" roared George, flying after him.	"Stand still, can't you!" roared George, flying after him.
953_130625_000080_000000	And they got it off, and packed it in the teapot.	And they got it off, and packed it in the teapot.
953_130625_000081_000000	Montmorency was in it all, of course.	Montmorency was in it all, of course.
953_130625_000081_000002	If he can squirm in anywhere where he particularly is not wanted, and be a perfect nuisance, and make people mad, and have things thrown at his head, then he feels his day has not been wasted.	If he can squirm in anywhere where he particularly is not wanted, and be a perfect nuisance, and make people mad, and have things thrown at his head, then he feels his day has not been wasted.
953_130625_000082_000000	To get somebody to stumble over him, and curse him steadily for an hour, is his highest aim and object; and, when he has succeeded in accomplishing this, his conceit becomes quite unbearable.	To get somebody to stumble over him, and curse him steadily for an hour, is his highest aim and object; and, when he has succeeded in accomplishing this, his conceit becomes quite unbearable.
953_130625_000083_000000	He came and sat down on things, just when they were wanted to be packed; and he laboured under the fixed belief that, whenever Harris or George reached out their hand for anything, it was his cold, damp nose that they wanted.	He came and sat down on things, just when they were wanted to be packed; and he laboured under the fixed belief that, whenever Harris or George reached out their hand for anything, it was his cold, damp nose that they wanted.
953_130625_000084_000000	Harris said I encouraged him.	Harris said I encouraged him.
953_130625_000084_000002	A dog like that don't want any encouragement.	A dog like that don't want any encouragement.
953_130625_000084_000003	It's the natural, original sin that is born in him that makes him do things like that.	It's the natural, original sin that is born in him that makes him do things like that.
953_130625_000085_000004	Harris was to sleep with us that night, and we went upstairs.	Harris was to sleep with us that night, and we went upstairs.
953_130625_000086_000001	He said:	He said:
953_130625_000087_000000	"Do you prefer the inside or the outside, J.?"	"Do you prefer the inside or the outside, j?"
953_130625_000090_000000	George said:	George said:
953_130625_000092_000000	Harris said:	Harris said:
953_130625_000093_000000	"Seven."	"Seven."
953_130625_000095_000000	"No--six," because I wanted to write some letters.	"No-six," because I wanted to write some letters.
953_130625_000096_000000	Harris and I had a bit of a row over it, but at last split the difference, and said half-past six.	Harris and I had a bit of a row over it, but at last split the difference, and said half past six.
