7717_104491_000003_000000	"I know she is.	"I know she is.
7717_104491_000050_000002	"He must have clothes, you know," said the poor woman, wailing.	"He must have clothes, you know," said the poor woman, wailing.
7717_104491_000050_000004	The loan had to be arranged in full conclave, as otherwise Mrs. Carroll would have found it difficult to obtain access to her brother's ear.	The loan had to be arranged in full conclave, as otherwise mrs Carroll would have found it difficult to obtain access to her brother's ear.
7717_104491_000050_000005	But the one auditor whom she feared was her niece.	But the one auditor whom she feared was her niece.
7717_104491_000050_000006	On the present occasion Miss Grey simply took up her book to show that the subject was one which had no interest for her; but she did undoubtedly listen to all that was said on the subject. "There was never anything settled about poor Patrick's clothes," said Mrs. Carroll, in a half-whisper.	On the present occasion Miss Grey simply took up her book to show that the subject was one which had no interest for her; but she did undoubtedly listen to all that was said on the subject. "There was never anything settled about poor Patrick's clothes," said mrs Carroll, in a half whisper.
7717_104491_000051_000000	"I dare say something ought to be done at some time," said Mr. Grey, who knew that he would be told, when the evening was over, that he would give away all his substance to that man if he were asked.	"I dare say something ought to be done at some time," said mr Grey, who knew that he would be told, when the evening was over, that he would give away all his substance to that man if he were asked.
7717_104491_000052_000000	"Papa has not had a new pair of trousers this year," said Sophy.	"Papa has not had a new pair of trousers this year," said Sophy.
7717_104491_000053_000000	"Except those green ones he wore at the races," said Georgina.	"Except those green ones he wore at the races," said Georgina.
7717_104491_000054_000000	"Hold your tongue, miss!" said her mother.	"Hold your tongue, miss!" said her mother.
7717_104491_000054_000001	"That was a pair I made up for him and sent them to the man to get pressed."	"That was a pair I made up for him and sent them to the man to get pressed."
7717_104491_000055_000001	Of course, papa is a trouble."	Of course, papa is a trouble."
7717_104491_000056_000001	"Uncle John would not like not to have any clothes."	"Uncle john would not like not to have any clothes."
7717_104491_000058_000001	His "own" income consisted of what had been saved out of his wife's fortune, and was thus named as in opposition to the larger sum paid to Mrs. Carroll by Mr. Grey.	His "own" income consisted of what had been saved out of his wife's fortune, and was thus named as in opposition to the larger sum paid to mrs Carroll by mr Grey.
7717_104491_000058_000002	There was one hundred and fifty pounds a year coming from settled property, which had been preserved by the lawyer's care, and which was regarded in the family as "papa's own."	There was one hundred and fifty pounds a year coming from settled property, which had been preserved by the lawyer's care, and which was regarded in the family as "papa's own."
7717_104491_000059_000002	It was very necessary that she should do so, if the family was to be kept on its legs at all. "I don't think any good can come from discussing what my uncle does with the money."	It was very necessary that she should do so, if the family was to be kept on its legs at all. "I don't think any good can come from discussing what my uncle does with the money."
7717_104491_000059_000003	This was Dolly's first speech.	This was Dolly's first speech.
7717_104491_000059_000004	"If he is to have it, let him have it, but let him have as little as possible."	"If he is to have it, let him have it, but let him have as little as possible."
7717_104491_000061_000000	"Your cousin Dorothy is very fortunate," said Mrs. Carroll.	"Your cousin Dorothy is very fortunate," said mrs Carroll.
7717_104491_000061_000001	"She does not know what it is to want for anything."	"She does not know what it is to want for anything."
7717_104491_000062_000001	"It is Dolly's only fault that she won't."	"It is Dolly's only fault that she won't."
7717_104491_000063_000000	"Because she has it all done for her," said Amelia.	"Because she has it all done for her," said Amelia.
7717_104491_000064_000000	Dolly had gone back to her book, and disdained to make any farther reply.	Dolly had gone back to her book, and disdained to make any farther reply.
7717_104491_000064_000002	"He does want them very badly--for decency's sake," said the poor wife, thus winding up her plea.	"He does want them very badly-for decency's sake," said the poor wife, thus winding up her plea.
7717_104491_000064_000003	Then Mr. Grey got out his check-book and wrote the check for twenty pounds.	Then mr Grey got out his check book and wrote the check for twenty pounds.
7717_104491_000064_000004	But he made it payable, not to Mr. but to Mrs. Carroll.	But he made it payable, not to mr but to mrs Carroll.
7717_104491_000065_000000	"I suppose, papa, nothing can be done about Mr. Carroll."	"I suppose, papa, nothing can be done about mr Carroll."
7717_104491_000065_000001	This was said by Dolly as soon as the family had withdrawn.	This was said by Dolly as soon as the family had withdrawn.
7717_104491_000066_000000	"In what way 'done,' my dear?"	"In what way 'done,' my dear?"
7717_104491_000067_000000	"As to settling some farther sum for himself."	"As to settling some farther sum for himself."
7717_104491_000068_000000	"He'd only spend it, my dear."	"He'd only spend it, my dear."
7717_104491_000069_000000	"That would be intended," said Dolly.	"That would be intended," said Dolly.
7717_104491_000070_000000	"And then he would come back just the same."	"And then he would come back just the same."
7717_104491_000071_000000	"But in that case he should have nothing more.	"But in that case he should have nothing more.
7717_104491_000072_000000	"My dear," said Mr. Grey, "you cannot get rid of the gnats of the world. They will buzz and sting and be a nuisance.	"My dear," said mr Grey, "you cannot get rid of the gnats of the world. They will buzz and sting and be a nuisance.
7717_104491_000072_000001	Poor Jane suffers worse from this gnat than you or I. Put up with it; and understand in your own mind that when he comes for another twenty pounds he must have it.	Poor Jane suffers worse from this gnat than you or i Put up with it; and understand in your own mind that when he comes for another twenty pounds he must have it.
7717_104491_000072_000002	You needn't tell him, but so it must be."	You needn't tell him, but so it must be."
7717_104491_000073_000000	"If I had my way," said Dolly, after ten minutes' silence, "I would punish him.	"If I had my way," said Dolly, after ten minutes' silence, "I would punish him.
7717_104491_000073_000001	He is an evil thing, and should be made to reap the proper reward.	He is an evil thing, and should be made to reap the proper reward.
7717_104491_000073_000002	It is not that I wish to avoid my share of the world's burdens, but that justice should be done.	It is not that I wish to avoid my share of the world's burdens, but that justice should be done.
7717_104491_000073_000003	I don't know which I hate the worst,--Uncle Carroll or Mr. Scarborough."	I don't know which I hate the worst,--Uncle Carroll or mr Scarborough."
7717_104491_000074_000000	The next day was Sunday, and Dolly was very anxious before breakfast to induce her father to say that he would go to church with her; but he was inclined to be obstinate, and fell back upon his usual excuse, saying that there were Scarborough papers which it would be necessary that he should read before he started for Tretton on the following day.	The next day was Sunday, and Dolly was very anxious before breakfast to induce her father to say that he would go to church with her; but he was inclined to be obstinate, and fell back upon his usual excuse, saying that there were Scarborough papers which it would be necessary that he should read before he started for Tretton on the following day.
7717_104491_000076_000001	That is the intention; but somehow it fails with me sometimes."	That is the intention; but somehow it fails with me sometimes."
7717_104491_000077_000000	"Do you think that you hate people when you go to church as much as when you don't?"	"Do you think that you hate people when you go to church as much as when you don't?"
7717_104491_000078_000000	"I am not sure that I hate anybody very much."	"I am not sure that I hate anybody very much."
7717_104491_000079_000000	"I do."	"I do."
7717_104491_000081_000000	"But if you don't hate them it is because you won't take the trouble, and that again is not right.	"But if you don't hate them it is because you won't take the trouble, and that again is not right.
7717_104491_000081_000002	You'd hate Uncle Carroll's idleness and abominable self-indulgence worse than you do."	You'd hate Uncle Carroll's idleness and abominable self indulgence worse than you do."
7717_104491_000084_000000	"Then you certainly ought to go to church."	"Then you certainly ought to go to church."
7717_104491_000087_000000	"I know you would, you dear, sweet, kind-hearted, but most un-Christian, father.	"I know you would, you dear, sweet, kind hearted, but most un Christian, father.
7717_104491_000087_000001	You must come to church, in order that some idea of what Christianity demands of you may make its way into your heart.	You must come to church, in order that some idea of what Christianity demands of you may make its way into your heart.
7717_104491_000087_000002	It is not what the clergyman may say of you, but that your mind will get away for two hours from that other reptile and his concerns." Then Mr. Grey, with a loud, long sigh, allowed his boots, and his gloves, and his church-going hat, and his church-going umbrella to be brought to him.	It is not what the clergyman may say of you, but that your mind will get away for two hours from that other reptile and his concerns." Then mr Grey, with a loud, long sigh, allowed his boots, and his gloves, and his church going hat, and his church going umbrella to be brought to him.
7717_104491_000087_000003	It was, in fact, his aversion to these articles that Dolly had to encounter.	It was, in fact, his aversion to these articles that Dolly had to encounter.
7717_104491_000088_000001	I have got a frock which I will bring with me as a present for Potsey; and I will make her sew on the buttons for herself.	I have got a frock which I will bring with me as a present for Potsey; and I will make her sew on the buttons for herself.
7717_104491_000088_000002	Tell Minna I will lend her that book I spoke of.	Tell Minna I will lend her that book I spoke of.
7717_104491_000089_000001	The discussion was held in the dining-room, and may, therefore, be supposed to have been premeditated. Those at night in Mr. Grey's own bedroom were generally the result of sudden thought.	The discussion was held in the dining room, and may, therefore, be supposed to have been premeditated. Those at night in mr Grey's own bedroom were generally the result of sudden thought.
7717_104491_000089_000002	"I should lay down the law to him--" began Dolly.	"I should lay down the law to him-" began Dolly.
7717_104491_000091_000000	"I don't mean the law in that sense.	"I don't mean the law in that sense.
7717_104491_000091_000002	If his son is willing to pay these money-lenders what sums they have actually advanced, and if by any effort on his part the money can be raised, let it be done.	If his son is willing to pay these money lenders what sums they have actually advanced, and if by any effort on his part the money can be raised, let it be done.
7717_104491_000091_000003	There seems to be some justice in repaying out of the property that which was lent to the property when by Mr. Scarborough's own doing the property was supposed to go into the eldest son's hands.	There seems to be some justice in repaying out of the property that which was lent to the property when by mr Scarborough's own doing the property was supposed to go into the eldest son's hands.
7717_104491_000091_000005	Go there prepared with your opinion.	Go there prepared with your opinion.
7717_104491_000091_000006	But if either father or son will not accept it, then depart, and shake the dust from your feet."	But if either father or son will not accept it, then depart, and shake the dust from your feet."
7717_104491_000092_000000	"You propose it all as though it were the easiest thing in the world."	"You propose it all as though it were the easiest thing in the world."
7717_104491_000093_000000	"Easy or difficult.	"Easy or difficult.
7717_104491_000093_000001	I would not discuss anything of which the justice may hereafter be disputed."	I would not discuss anything of which the justice may hereafter be disputed."
7717_104491_000094_000000	What was the result of the consultation on Mr. Grey's mind he did not declare, but he resolved to take his daughter's advice in all that she said to him.	What was the result of the consultation on mr Grey's mind he did not declare, but he resolved to take his daughter's advice in all that she said to him.
