7717_104491_000000_000000	CHAPTER XVIII.	CHAPTER eighteen.	false	0.51	6.825	28.900818
7717_104491_000016_000000	"Poor papa isn't very well, either," said Sophy, who was supposed to be her father's pet.	"Poor papa isn't very well, either," said Sophy, who was supposed to be her father's pet.	true	209.24	214.21	24
7717_104491_000017_000000	"I hope his state of health will not debar him from dining with his friends to-night," said Miss Grey.	"I hope his state of health will not debar him from dining with his friends to night," said Miss Grey.	true	214.64	219.34	25
7717_104491_000018_000000	"You have always something ill-natured to say about papa," said Sophy.	"You have always something ill natured to say about papa," said Sophy.	false	220.04	223.84	23.794828
7717_104491_000019_000000	"Nothing will ever keep him back when conviviality demands his presence."	"Nothing will ever keep him back when conviviality demands his presence."	true	224.57	228.52	19
7717_104491_000019_000001	This came from his afflicted wife, who, in spite of all his misfortunes, would ever speak with some respect of her husband's employments.	This came from his afflicted wife, who, in spite of all his misfortunes, would ever speak with some respect of her husband's employments.	true	228.98	235.96	22.85642
7717_104491_000019_000002	"He wasn't at all in a fit state to go to-night, but he had promised, and that was enough."	"He wasn't at all in a fit state to go to night, but he had promised, and that was enough."	true	236.03	241.24	25.41575
7717_104491_000020_000000	When they had waited three-quarters of an hour Amelia began to complain,--certainly not without reason.	When they had waited three quarters of an hour Amelia began to complain,--certainly not without reason.	true	242.09	247.57	25.495605
7717_104491_000020_000001	"I wonder why Uncle John always keeps us waiting in this way?"	"I wonder why Uncle john always keeps us waiting in this way?"	true	247.91	251.14	24.027235
7717_104491_000021_000000	"Papa has, unfortunately, something to do with his time, which is not altogether his own." There was not much in these words, but the tone in which they were uttered would have crushed any one more susceptible than Amelia Carroll.	"Papa has, unfortunately, something to do with his time, which is not altogether his own." There was not much in these words, but the tone in which they were uttered would have crushed any one more susceptible than Amelia Carroll.	true	251.57	264.07	22.757717
7717_104491_000021_000001	But at that moment the cab arrived, and Dolly went down to meet her father.	But at that moment the cab arrived, and Dolly went down to meet her father.	true	264.11	268.08	24.202087
7717_104491_000022_000000	"Have they come?" he asked.	"Have they come?" he asked.	false	268.08	269.86	24.476526
7717_104491_000023_000000	"Come," she answered, taking his gloves and comforter from him, and giving him a kiss as she did so.	"Come," she answered, taking his gloves and comforter from him, and giving him a kiss as she did so.	false	269.9	275.44	21.851936
7717_104491_000023_000001	"That girl up-stairs is nearly famished."	"That girl up stairs is nearly famished."	true	275.75	278.14	24.797663
7717_104491_000024_000000	"I won't be half a moment," said the repentant father, hastening up-stairs to go through his ordinary dressing arrangement.	"I won't be half a moment," said the repentant father, hastening up stairs to go through his ordinary dressing arrangement.	true	278.42	284.56	22
7717_104491_000025_000000	"I wouldn't hurry for her," said Dolly; "but of course you'll hurry. You always do, don't you, papa?" Then they sat down to dinner.	"I wouldn't hurry for her," said Dolly; "but of course you'll hurry. You always do, don't you, papa?" Then they sat down to dinner.	true	285.05	291.67	22.450974
7717_104491_000026_000000	"Well, girls, what is your news?"	"Well, girls, what is your news?"	true	293.27	295.09	25.149822
7717_104491_000027_000000	"We were out to-day on the Brompton Road," said the eldest, "and there came up Prince Chitakov's drag with four roans."	"We were out to day on the Brompton Road," said the eldest, "and there came up Prince Chitakov's drag with four roans."	true	296.12	303.04	26.19452
7717_104491_000028_000000	"Prince Chitakov!	"Prince Chitakov!	false	303.77	305.4	23.906664
7717_104491_000028_000001	I didn't know there was such a prince."	I didn't know there was such a prince."	true	305.4	307.6	20.080793
7717_104491_000029_000000	"Oh, dear, yes; with very stiff mustaches, turned up high at the corners, and pink cheeks, and a very sharp, nobby-looking hat, with a light-colored grey coat, and light gloves.	"Oh, dear, yes; with very stiff mustaches, turned up high at the corners, and pink cheeks, and a very sharp, nobby looking hat, with a light colored grey coat, and light gloves.	true	308.39	319.72	25.078629
7717_104491_000029_000001	You must know the prince."	You must know the prince."	true	319.88	321.55	22.191833
7717_104491_000030_000000	"Upon my word, I never heard of him, my dear.	"Upon my word, I never heard of him, my dear.	true	321.92	324.22	19.842817
7717_104491_000030_000001	What did the prince do?"	What did the prince do?"	true	324.35	325.66	29.517052
7717_104491_000031_000000	"He was tooling his own drag, and he had a lady with him on the box.	"He was tooling his own drag, and he had a lady with him on the box.	true	327.17	331.12	20.656221
7717_104491_000031_000001	I never saw anything more tasty than her dress,--dark red silk, with little fluffy fur ornaments all over it.	I never saw anything more tasty than her dress,--dark red silk, with little fluffy fur ornaments all over it.	true	331.34	338.59	23.271645
7717_104491_000031_000002	I wonder who she was?"	I wonder who she was?"	true	338.69	340.18	21.765814
7717_104491_000032_000000	"Mrs. Chitakov, probably," said the attorney.	"mrs Chitakov, probably," said the attorney.	true	340.79	343.87	26.24995
7717_104491_000033_000000	"I don't think the prince is a married man," said Sophy.	"I don't think the prince is a married man," said Sophy.	true	344.42	347.23	21.480629
7717_104491_000034_000000	"They never are, for the most part," said Amelia; "and she wouldn't be Mrs. Chitakov, Uncle John."	"They never are, for the most part," said Amelia; "and she wouldn't be mrs Chitakov, Uncle john."	false	347.54	353.05	22.191933
7717_104491_000035_000000	"Wouldn't she, now?	"Wouldn't she, now?	false	353.51	354.6	26.30674
7717_104491_000035_000001	What would she be?	What would she be?	false	354.6	355.6	26.793379
7717_104491_000035_000002	Can either of you tell me what the wife of a Prince of Chitakov would call herself?"	Can either of you tell me what the wife of a Prince of Chitakov would call herself?"	false	355.82	359.89	24.574236
7717_104491_000036_000000	"Princess of Chitakov, of course," said Sophy.	"Princess of Chitakov, of course," said Sophy.	false	360.11	363.09	23.148619
7717_104491_000036_000001	"It's the Princess of Wales."	"It's the Princess of Wales."	true	363.09	364.96	20.11935
7717_104491_000037_000000	"But it isn't the Princess of Christian, nor yet the Princess of Teck, nor the Princess of England.	"But it isn't the Princess of Christian, nor yet the Princess of Teck, nor the Princess of England.	true	365.69	371.59	24.657995
7717_104491_000037_000001	I don't see why the lady shouldn't be Mrs. Chitakov, if there is such a lady."	I don't see why the lady shouldn't be mrs Chitakov, if there is such a lady."	false	371.93	376.93	23.031708
7717_104491_000038_000000	"Papa, don't bamboozle her," said his daughter.	"Papa, don't bamboozle her," said his daughter.	true	377.39	379.96	23.737257
7717_104491_000039_000000	"But," continued the attorney, "why shouldn't the lady have been his wife?	"But," continued the attorney, "why shouldn't the lady have been his wife?	true	380.21	384.075	23.648708
7717_104491_000039_000001	Don't married ladies wear little fluffy fur ornaments?"	Don't married ladies wear little fluffy fur ornaments?"	true	384.075	386.98	21
7717_104491_000040_000000	"I wish, John, you wouldn't talk to the girls in that strain," said their mother.	"I wish, john, you wouldn't talk to the girls in that strain," said their mother.	true	387.53	390.66	17
7717_104491_000040_000001	"It really isn't becoming."	"It really isn't becoming."	true	390.66	392.23	22.792402
7717_104491_000041_000000	"To suggest that the lady was the gentleman's wife?"	"To suggest that the lady was the gentleman's wife?"	false	392.57	395.32	21.602331
7717_104491_000042_000000	"But I was going to say," continued Amelia, "that as the prince drove by he kissed his hand--he did, indeed.	"But I was going to say," continued Amelia, "that as the prince drove by he kissed his hand-he did, indeed.	false	395.66	402.58	22.440825
7717_104491_000042_000001	And Sophy and I were walking along as demurely as possible.	And Sophy and I were walking along as demurely as possible.	true	402.59	406	15
7717_104491_000042_000002	I never was so knocked of a heap in all my life."	I never was so knocked of a heap in all my life."	false	406.13	409.48	23.45165
7717_104491_000043_000000	"He did," said Sophy.	"He did," said Sophy.	true	410.15	412	27.43586
7717_104491_000043_000001	"It's the most impertinent thing I ever heard.	"It's the most impertinent thing I ever heard.	true	412.07	414.7	28.960072
7717_104491_000043_000002	If my father had seen it he'd have had the prince off the box of the coach in no time."	If my father had seen it he'd have had the prince off the box of the coach in no time."	true	414.74	419.86	23.875393
7717_104491_000044_000000	"Then, my dear," said the attorney, "I am very glad that your father did not see it." Poor Dolly, during this conversation about the prince, sat angry and silent, thinking to herself in despair of what extremes of vulgarity even a first cousin of her own could be guilty.	"Then, my dear," said the attorney, "I am very glad that your father did not see it." Poor Dolly, during this conversation about the prince, sat angry and silent, thinking to herself in despair of what extremes of vulgarity even a first cousin of her own could be guilty.	false	420.26	437.32	23.731499
7717_104491_000044_000001	That she should be sitting at table with a girl who could boast that a reprobate foreigner had kissed his hand to her from the box of a fashionable four-horsed coach!	That she should be sitting at table with a girl who could boast that a reprobate foreigner had kissed his hand to her from the box of a fashionable four horsed coach!	true	437.75	447.01	26
7717_104491_000044_000002	For it was in that light that Miss Grey regarded it. "And did you have any farther adventures besides this memorable encounter with the prince?"	For it was in that light that Miss Grey regarded it. "And did you have any farther adventures besides this memorable encounter with the prince?"	true	447.62	455.65	20.888603
7717_104491_000045_000000	"Nothing nearly so interesting," said Sophy.	"Nothing nearly so interesting," said Sophy.	true	456.26	458.71	21.059065
7717_104491_000046_000000	"That was hardly to be expected," said the attorney.	"That was hardly to be expected," said the attorney.	true	459.41	462.13	28.618826
7717_104491_000046_000001	"Jane, you will have a glass of port-wine?	"Jane, you will have a glass of port wine?	true	462.35	464.685	25.182083
7717_104491_000046_000002	Girls, you must have a glass of port-wine to support you after your disappointment with the prince."	Girls, you must have a glass of port wine to support you after your disappointment with the prince."	true	464.685	469.63	22.668541
7717_104491_000047_000000	"We were not disappointed in the least," said Amelia.	"We were not disappointed in the least," said Amelia.	true	469.88	472.81	25.000967
7717_104491_000048_000000	"Pray, pray, let the subject drop," said Dolly.	"Pray, pray, let the subject drop," said Dolly.	false	473.06	476.68	26.423271
7717_104491_000049_000000	"That is because the prince did not kiss his hand to you," said Sophy. Then Miss Grey sunk again into silence, crushed beneath this last blow.	"That is because the prince did not kiss his hand to you," said Sophy. Then Miss Grey sunk again into silence, crushed beneath this last blow.	true	477.23	485.53	23.178173
7717_104491_000050_000000	In the evening, when the dinner-things had been taken away, a matter of business came up, and took the place of the prince and his mustaches. Mrs. Carroll was most anxious to know whether her brother could "lend" her a small sum of twenty pounds.	In the evening, when the dinner things had been taken away, a matter of business came up, and took the place of the prince and his mustaches. mrs Carroll was most anxious to know whether her brother could "lend" her a small sum of twenty pounds.	true	486.47	500.35	23.249557
7717_104491_000050_000001	It came out in conversation that the small sum was needed to satisfy some imperious demand made upon Mr. Carroll by a tailor.	It came out in conversation that the small sum was needed to satisfy some imperious demand made upon mr Carroll by a tailor.	true	500.84	508.99	19.952927
7717_104491_000050_000002	"He must have clothes, you know," said the poor woman, wailing.	"He must have clothes, you know," said the poor woman, wailing.	true	509.3	513.285	20.33995
7717_104491_000050_000003	"He doesn't have many, but he must have some." There had been other appeals on the same subject made not very long since, and, to tell the truth, Mr. Grey did require to have the subject argued, in fear of the subsequent remarks which would be made to him afterward by his daughter if he gave the money too easily.	"He doesn't have many, but he must have some." There had been other appeals on the same subject made not very long since, and, to tell the truth, mr Grey did require to have the subject argued, in fear of the subsequent remarks which would be made to him afterward by his daughter if he gave the money too easily.	false	513.285	534.1	22.201023
7717_104491_000050_000004	The loan had to be arranged in full conclave, as otherwise Mrs. Carroll would have found it difficult to obtain access to her brother's ear.	The loan had to be arranged in full conclave, as otherwise mrs Carroll would have found it difficult to obtain access to her brother's ear.	true	534.59	542.2	20.457214
7717_104491_000050_000005	But the one auditor whom she feared was her niece.	But the one auditor whom she feared was her niece.	true	542.96	545.89	22.46175
7717_104491_000050_000006	On the present occasion Miss Grey simply took up her book to show that the subject was one which had no interest for her; but she did undoubtedly listen to all that was said on the subject. "There was never anything settled about poor Patrick's clothes," said Mrs. Carroll, in a half-whisper.	On the present occasion Miss Grey simply took up her book to show that the subject was one which had no interest for her; but she did undoubtedly listen to all that was said on the subject. "There was never anything settled about poor Patrick's clothes," said mrs Carroll, in a half whisper.	true	546.23	563.35	24.061693
7717_104491_000050_000007	She did not care how much her own children heard, and she knew how vain it was to attempt so to speak that Dolly should not hear.	She did not care how much her own children heard, and she knew how vain it was to attempt so to speak that Dolly should not hear.	false	564.29	571.3	20.81702
7717_104491_000051_000000	"I dare say something ought to be done at some time," said Mr. Grey, who knew that he would be told, when the evening was over, that he would give away all his substance to that man if he were asked.	"I dare say something ought to be done at some time," said mr Grey, who knew that he would be told, when the evening was over, that he would give away all his substance to that man if he were asked.	true	572.69	583.39	22.301922
7717_104491_000052_000000	"Papa has not had a new pair of trousers this year," said Sophy.	"Papa has not had a new pair of trousers this year," said Sophy.	true	584.09	587.41	21.6677
7717_104491_000053_000000	"Except those green ones he wore at the races," said Georgina.	"Except those green ones he wore at the races," said Georgina.	true	587.48	591.16	21.498983
7717_104491_000054_000000	"Hold your tongue, miss!" said her mother.	"Hold your tongue, miss!" said her mother.	true	591.17	593.77	25.092407
7717_104491_000054_000001	"That was a pair I made up for him and sent them to the man to get pressed."	"That was a pair I made up for him and sent them to the man to get pressed."	true	594.05	597.91	24.52592
7717_104491_000055_000000	"When the hundred a year was arranged for all our dresses," said Amelia, "not a word was said about papa.	"When the hundred a year was arranged for all our dresses," said Amelia, "not a word was said about papa.	true	598.79	603.87	19
7717_104491_000055_000001	Of course, papa is a trouble."	Of course, papa is a trouble."	true	603.87	605.74	25.130888
7717_104491_000056_000000	"I don't see that he is more of a trouble than any one else," said Sophy.	"I don't see that he is more of a trouble than any one else," said Sophy.	true	606.74	610.32	19.01625
7717_104491_000056_000001	"Uncle John would not like not to have any clothes."	"Uncle john would not like not to have any clothes."	true	610.32	613.33	21.463324
7717_104491_000057_000000	"No, I should not, my dear."	"No, I should not, my dear."	true	613.64	615.18	18
7717_104491_000058_000000	"And his own income is all given up to the house uses." Here Sophy touched imprudently on a sore subject.	"And his own income is all given up to the house uses." Here Sophy touched imprudently on a sore subject.	false	615.18	623.11	21.26992
7717_104491_000058_000001	His "own" income consisted of what had been saved out of his wife's fortune, and was thus named as in opposition to the larger sum paid to Mrs. Carroll by Mr. Grey.	His "own" income consisted of what had been saved out of his wife's fortune, and was thus named as in opposition to the larger sum paid to mrs Carroll by mr Grey.	true	623.15	633.25	21
7717_104491_000058_000002	There was one hundred and fifty pounds a year coming from settled property, which had been preserved by the lawyer's care, and which was regarded in the family as "papa's own."	There was one hundred and fifty pounds a year coming from settled property, which had been preserved by the lawyer's care, and which was regarded in the family as "papa's own."	true	634.25	643.75	21.688814
7717_104491_000059_000000	It certainly is essential for respectability that something should be set apart from a man's income for his wearing apparel; and though the money was, perhaps, improperly so designated, Dolly would not have objected had she not thought that it had already gone to the race-course,--in company with the green trousers.	It certainly is essential for respectability that something should be set apart from a man's income for his wearing apparel; and though the money was, perhaps, improperly so designated, Dolly would not have objected had she not thought that it had already gone to the race course,--in company with the green trousers.	false	644.33	661.66	21.90731
7717_104491_000059_000001	She had her own means of obtaining information as to the Carroll family.	She had her own means of obtaining information as to the Carroll family.	false	662.03	665.95	19
7717_104491_000059_000002	It was very necessary that she should do so, if the family was to be kept on its legs at all. "I don't think any good can come from discussing what my uncle does with the money."	It was very necessary that she should do so, if the family was to be kept on its legs at all. "I don't think any good can come from discussing what my uncle does with the money."	true	666.83	676.09	22.225868
7717_104491_000059_000003	This was Dolly's first speech.	This was Dolly's first speech.	true	676.46	678.19	25.410763
7717_104491_000059_000004	"If he is to have it, let him have it, but let him have as little as possible."	"If he is to have it, let him have it, but let him have as little as possible."	true	678.35	682.12	23.78091
7717_104491_000060_000000	"I never heard anybody so cross as you always are to papa," said Sophy.	"I never heard anybody so cross as you always are to papa," said Sophy.	false	683.15	687.67	23
7717_104491_000061_000000	"Your cousin Dorothy is very fortunate," said Mrs. Carroll.	"Your cousin Dorothy is very fortunate," said mrs Carroll.	true	688.34	691.42	21
7717_104491_000061_000001	"She does not know what it is to want for anything."	"She does not know what it is to want for anything."	true	691.55	694.42	23.87005
7717_104491_000062_000000	"She never spends anything--on herself," said her father.	"She never spends anything-on herself," said her father.	true	694.67	698.02	18.492573
7717_104491_000062_000001	"It is Dolly's only fault that she won't."	"It is Dolly's only fault that she won't."	true	698.15	700.39	26.600723
7717_104491_000063_000000	"Because she has it all done for her," said Amelia.	"Because she has it all done for her," said Amelia.	true	700.85	703.36	25.988342
7717_104491_000064_000000	Dolly had gone back to her book, and disdained to make any farther reply.	Dolly had gone back to her book, and disdained to make any farther reply.	true	703.76	707.59	27
7717_104491_000064_000001	Her father felt that quite enough had been said about it, and was prepared to give the twenty pounds, under the idea that he might be thought to have made a stout fight upon the subject.	Her father felt that quite enough had been said about it, and was prepared to give the twenty pounds, under the idea that he might be thought to have made a stout fight upon the subject.	false	708.29	717.76	26.531567
7717_104491_000064_000002	"He does want them very badly--for decency's sake," said the poor wife, thus winding up her plea.	"He does want them very badly-for decency's sake," said the poor wife, thus winding up her plea.	true	718.34	723.94	25.883368
7717_104491_000064_000003	Then Mr. Grey got out his check-book and wrote the check for twenty pounds.	Then mr Grey got out his check book and wrote the check for twenty pounds.	true	724.37	728.26	23.663399
7717_104491_000064_000004	But he made it payable, not to Mr. but to Mrs. Carroll.	But he made it payable, not to mr but to mrs Carroll.	true	728.42	731.95	27.772953
7717_104491_000065_000000	"I suppose, papa, nothing can be done about Mr. Carroll."	"I suppose, papa, nothing can be done about mr Carroll."	true	732.62	735.7	23
7717_104491_000065_000001	This was said by Dolly as soon as the family had withdrawn.	This was said by Dolly as soon as the family had withdrawn.	true	735.86	738.64	22
7717_104491_000066_000000	"In what way 'done,' my dear?"	"In what way 'done,' my dear?"	true	739.16	741.19	24.798042
7717_104491_000067_000000	"As to settling some farther sum for himself."	"As to settling some farther sum for himself."	true	741.92	744.67	23.22476
7717_104491_000068_000000	"He'd only spend it, my dear."	"He'd only spend it, my dear."	true	744.89	746.65	23.671427
7717_104491_000069_000000	"That would be intended," said Dolly.	"That would be intended," said Dolly.	true	747.08	749.05	26.126993
7717_104491_000070_000000	"And then he would come back just the same."	"And then he would come back just the same."	true	749.24	751.39	32.59412
7717_104491_000071_000000	"But in that case he should have nothing more.	"But in that case he should have nothing more.	true	751.61	753.7	26.103838
7717_104491_000071_000001	Though they were to declare that he hadn't a pair of trousers in which to appear at a race-course, he shouldn't have it."	Though they were to declare that he hadn't a pair of trousers in which to appear at a race course, he shouldn't have it."	false	753.8	758.92	21.699999
7717_104491_000072_000000	"My dear," said Mr. Grey, "you cannot get rid of the gnats of the world. They will buzz and sting and be a nuisance.	"My dear," said mr Grey, "you cannot get rid of the gnats of the world. They will buzz and sting and be a nuisance.	true	759.53	766.42	22.922636
7717_104491_000072_000001	Poor Jane suffers worse from this gnat than you or I. Put up with it; and understand in your own mind that when he comes for another twenty pounds he must have it.	Poor Jane suffers worse from this gnat than you or i Put up with it; and understand in your own mind that when he comes for another twenty pounds he must have it.	true	766.73	776.2	21.212044
7717_104491_000072_000002	You needn't tell him, but so it must be."	You needn't tell him, but so it must be."	true	776.42	778.96	30.220016
7717_104491_000073_000000	"If I had my way," said Dolly, after ten minutes' silence, "I would punish him.	"If I had my way," said Dolly, after ten minutes' silence, "I would punish him.	true	780.02	784.965	23.599833
7717_104491_000073_000001	He is an evil thing, and should be made to reap the proper reward.	He is an evil thing, and should be made to reap the proper reward.	true	784.965	788.59	24.79765
7717_104491_000073_000002	It is not that I wish to avoid my share of the world's burdens, but that justice should be done.	It is not that I wish to avoid my share of the world's burdens, but that justice should be done.	true	789.08	794.59	25.782415
7717_104491_000073_000003	I don't know which I hate the worst,--Uncle Carroll or Mr. Scarborough."	I don't know which I hate the worst,--Uncle Carroll or mr Scarborough."	true	795.23	798.85	25
7717_104491_000074_000000	The next day was Sunday, and Dolly was very anxious before breakfast to induce her father to say that he would go to church with her; but he was inclined to be obstinate, and fell back upon his usual excuse, saying that there were Scarborough papers which it would be necessary that he should read before he started for Tretton on the following day.	The next day was Sunday, and Dolly was very anxious before breakfast to induce her father to say that he would go to church with her; but he was inclined to be obstinate, and fell back upon his usual excuse, saying that there were Scarborough papers which it would be necessary that he should read before he started for Tretton on the following day.	true	800.24	818.47	23.112722
7717_104491_000075_000000	"Papa, I think it would do you good if you came."	"Papa, I think it would do you good if you came."	false	818.99	821.74	24.928886
7717_104491_000076_000000	"Well, yes; I suppose it would.	"Well, yes; I suppose it would.	true	822.08	823.92	18.031391
7717_104491_000076_000001	That is the intention; but somehow it fails with me sometimes."	That is the intention; but somehow it fails with me sometimes."	true	823.92	827.68	21.596422
7717_104491_000077_000000	"Do you think that you hate people when you go to church as much as when you don't?"	"Do you think that you hate people when you go to church as much as when you don't?"	true	828.53	832.15	29.956099
7717_104491_000078_000000	"I am not sure that I hate anybody very much."	"I am not sure that I hate anybody very much."	true	832.76	835.27	20.092268
7717_104491_000079_000000	"I do."	"I do."	true	835.46	836.25	28.162043
7717_104491_000080_000000	"That seems an argument for your going."	"That seems an argument for your going."	false	836.25	839.05	21.570507
7717_104491_000081_000000	"But if you don't hate them it is because you won't take the trouble, and that again is not right.	"But if you don't hate them it is because you won't take the trouble, and that again is not right.	true	839.39	844.81	24.004517
7717_104491_000081_000001	If you would come to church you would be better for it all round.	If you would come to church you would be better for it all round.	false	844.94	847.99	21.757519
7717_104491_000081_000002	You'd hate Uncle Carroll's idleness and abominable self-indulgence worse than you do."	You'd hate Uncle Carroll's idleness and abominable self indulgence worse than you do."	true	848	852.49	21
7717_104491_000082_000000	"I don't love him, as it is, my dear."	"I don't love him, as it is, my dear."	true	853.04	855.1	18.297009
7717_104491_000083_000000	"And I should hate him less.	"And I should hate him less.	true	855.65	857.26	18.205511
7717_104491_000083_000001	I felt last night as though I could rise from my bed and go and murder him."	I felt last night as though I could rise from my bed and go and murder him."	false	857.48	861.1	22
7717_104491_000084_000000	"Then you certainly ought to go to church."	"Then you certainly ought to go to church."	true	861.47	863.5	27.66213
