7460_104483_000001_000000	SIR MAGNUS MOUNTJOY.	SIR MAGNUS MOUNTJOY.
7460_104483_000023_000004	We'll go and spend six weeks with your uncle at Brussels.	We'll go and spend six weeks with your uncle at Brussels.
7460_104483_000023_000005	He has always been pressing us to come."	He has always been pressing us to come."
7460_104483_000024_000000	"Oh, mamma, he does not want us."	"Oh, mamma, he does not want us."
7460_104483_000025_000000	"How can you say that?	"How can you say that?
7460_104483_000025_000001	How do you know?"	How do you know?"
7460_104483_000026_000000	"I am sure Sir Magnus will not care for our coming now.	"I am sure Sir Magnus will not care for our coming now.
7460_104483_000026_000001	Besides, how could that be retiring into private life?	Besides, how could that be retiring into private life?
7460_104483_000026_000002	Sir Magnus, as ambassador, has his house always full of company."	Sir Magnus, as ambassador, has his house always full of company."
7460_104483_000027_000000	"My dear, he is not ambassador.	"My dear, he is not ambassador.
7460_104483_000027_000001	He is minister plenipotentiary.	He is minister plenipotentiary.
7460_104483_000027_000002	It is not quite the same thing.	It is not quite the same thing.
7460_104483_000027_000003	And then he is our nearest relative,--our nearest, at least, since my own brother has made this great separation, of course.	And then he is our nearest relative,--our nearest, at least, since my own brother has made this great separation, of course.
7460_104483_000027_000004	We cannot go to him to be out of the way of himself."	We cannot go to him to be out of the way of himself."
7460_104483_000028_000000	"Why do you want to go anywhere, mamma?	"Why do you want to go anywhere, mamma?
7460_104483_000029_000000	Sir Magnus Mountjoy, the late general's elder brother, had been for the last four or five years the English minister at Brussels.	Sir Magnus Mountjoy, the late general's elder brother, had been for the last four or five years the English minister at Brussels.
7460_104483_000029_000001	He had been minister somewhere for a very long time, so that the memory of man hardly ran back beyond it, and was said to have gained for himself very extensive popularity.	He had been minister somewhere for a very long time, so that the memory of man hardly ran back beyond it, and was said to have gained for himself very extensive popularity.
7460_104483_000029_000002	It had always been a point with successive governments to see that poor Sir Magnus got something, and Sir Magnus had never been left altogether in the cold.	It had always been a point with successive governments to see that poor Sir Magnus got something, and Sir Magnus had never been left altogether in the cold.
7460_104483_000029_000003	He was not a man who would have been left out in the cold in silence, and perhaps the feeling that such was the case had been as efficacious on his behalf as his well-attested popularity.	He was not a man who would have been left out in the cold in silence, and perhaps the feeling that such was the case had been as efficacious on his behalf as his well attested popularity.
7460_104483_000029_000004	At any rate, poor Sir Magnus had always been well placed, and was now working out his last year or two before the blessed achievement of his pursuit should have been reached.	At any rate, poor Sir Magnus had always been well placed, and was now working out his last year or two before the blessed achievement of his pursuit should have been reached.
7460_104483_000029_000005	Sir Magnus had a wife of whom it was said at home that she was almost as popular as her husband; but the opinion of the world at Brussels on this subject was a good deal divided.	Sir Magnus had a wife of whom it was said at home that she was almost as popular as her husband; but the opinion of the world at Brussels on this subject was a good deal divided.
7460_104483_000029_000006	There were those who declared that Lady Mountjoy was of all women the most overbearing and impertinent.	There were those who declared that Lady Mountjoy was of all women the most overbearing and impertinent.
7460_104483_000029_000007	But they were generally English residents at Brussels, who had come to live there as a place at which education for their children would be cheaper than at home.	But they were generally English residents at Brussels, who had come to live there as a place at which education for their children would be cheaper than at home.
7460_104483_000029_000008	Of these Lady Mountjoy had been heard to declare that she saw no reason why, because she was the minister's wife, she should be expected to entertain all the second-class world of London.	Of these Lady Mountjoy had been heard to declare that she saw no reason why, because she was the minister's wife, she should be expected to entertain all the second class world of London.
7460_104483_000029_000011	You could not see her going along the boulevards in her carriage without being aware that a special personage was passing.	You could not see her going along the boulevards in her carriage without being aware that a special personage was passing.
7460_104483_000029_000013	Of Sir Magnus it was hinted that he was afraid of his wife; but in truth he desired it to be understood that all the disagreeable things done at the Embassy were done by Lady Mountjoy, and not by him.	Of Sir Magnus it was hinted that he was afraid of his wife; but in truth he desired it to be understood that all the disagreeable things done at the Embassy were done by Lady Mountjoy, and not by him.
7460_104483_000029_000014	He did not refuse leave to the ladies to drop their cards at his hall-door.	He did not refuse leave to the ladies to drop their cards at his hall door.
7460_104483_000029_000015	He could ask a few men to his table without referring the matter to his wife; but every one would understand that the asking of ladies was based on a different footing.	He could ask a few men to his table without referring the matter to his wife; but every one would understand that the asking of ladies was based on a different footing.
7460_104483_000030_000000	He knew well that as a rule it was not fitting that he should ask a married man without his wife; but there are occasions on which an excuse can be given, and upon the whole the men liked it.	He knew well that as a rule it was not fitting that he should ask a married man without his wife; but there are occasions on which an excuse can be given, and upon the whole the men liked it.
7460_104483_000030_000001	He was a stout, tall, portly old gentleman, sixty years of age, but looking somewhat older, whom it was a difficulty to place on horseback, but who, when there, looked remarkably well.	He was a stout, tall, portly old gentleman, sixty years of age, but looking somewhat older, whom it was a difficulty to place on horseback, but who, when there, looked remarkably well.
7460_104483_000030_000002	He rarely rose to a trot during his two hours of exercise, which to the two attache's who were told off for the duty of accompanying him was the hardest part of their allotted work.	He rarely rose to a trot during his two hours of exercise, which to the two attache's who were told off for the duty of accompanying him was the hardest part of their allotted work.
7460_104483_000030_000003	But other gentlemen would lay themselves out to meet Sir Magnus and to ride with him, and in this way he achieved that character for popularity which had been a better aid to him in life than all the diplomatic skill which he possessed.	But other gentlemen would lay themselves out to meet Sir Magnus and to ride with him, and in this way he achieved that character for popularity which had been a better aid to him in life than all the diplomatic skill which he possessed.
7460_104483_000031_000000	"What do you think?" said he, walking off with Mrs. Mountjoy's letter into his wife's room.	"What do you think?" said he, walking off with mrs Mountjoy's letter into his wife's room.
7460_104483_000032_000000	"I don't think anything, my dear."	"I don't think anything, my dear."
7460_104483_000033_000000	"You never do." Lady Mountjoy, who had not yet undergone her painting, looked cross and ill-natured.	"You never do." Lady Mountjoy, who had not yet undergone her painting, looked cross and ill natured.
7460_104483_000033_000001	"At any rate, Sarah and her daughter are proposing to come here."	"At any rate, Sarah and her daughter are proposing to come here."
7460_104483_000034_000000	"Good gracious!	"Good gracious!
7460_104483_000034_000001	At once?"	At once?"
7460_104483_000035_000000	"Yes, at once.	"Yes, at once.
7460_104483_000035_000001	Of course, I've asked them over and over again, and something was said about this autumn, when we had come back from Pimperingen."	Of course, I've asked them over and over again, and something was said about this autumn, when we had come back from Pimperingen."
7460_104483_000036_000000	"Why did you not tell me?"	"Why did you not tell me?"
7460_104483_000037_000000	"Bother!	"Bother!
7460_104483_000037_000001	I did tell you.	I did tell you.
7460_104483_000039_000000	"Anderson will know how to look after himself," said Sir Magnus.	"Anderson will know how to look after himself," said Sir Magnus.
7460_104483_000039_000001	"At any rate they must come.	"At any rate they must come.
7460_104483_000039_000002	They have never troubled us before, and we ought to put up with them once."	They have never troubled us before, and we ought to put up with them once."
7460_104483_000040_000000	"But, my dear, what is all this about her brother?"	"But, my dear, what is all this about her brother?"
7460_104483_000041_000000	"She won't bring her brother with her."	"She won't bring her brother with her."
7460_104483_000042_000000	"How can you be sure of that?" said the anxious lady.	"How can you be sure of that?" said the anxious lady.
7460_104483_000043_000000	"He is dying, and can't be moved."	"He is dying, and can't be moved."
7460_104483_000044_000000	"But that son of his--Mountjoy.	"But that son of his-Mountjoy.
7460_104483_000044_000001	It's altogether a most distressing story.	It's altogether a most distressing story.
7460_104483_000044_000003	What would you do if he were to turn up here?	What would you do if he were to turn up here?
7460_104483_000044_000004	The girl was engaged to him, you know, and has only thrown him off since his own father declared that he was not legitimate.	The girl was engaged to him, you know, and has only thrown him off since his own father declared that he was not legitimate.
7460_104483_000044_000005	There never was such a mess about anything since London first began."	There never was such a mess about anything since London first began."
7460_104483_000045_000000	Then Sir Magnus declared that, let Mountjoy Scarborough and his father have misbehaved as they might, Mr. Scarborough's sister must be received at Brussels.	Then Sir Magnus declared that, let Mountjoy Scarborough and his father have misbehaved as they might, mr Scarborough's sister must be received at Brussels.
7460_104483_000045_000002	Sir Magnus had borrowed three thousand pounds from the general which had been settled on the general's widow, and the interest was not always paid with extreme punctuality.	Sir Magnus had borrowed three thousand pounds from the general which had been settled on the general's widow, and the interest was not always paid with extreme punctuality.
7460_104483_000045_000003	To give Mrs. Mountjoy her due, it must be said that this had not entered into her consideration when she had written to her brother-in-law; but it was a burden to Sir Magnus, and had always tended to produce from him a reiteration of those invitations, which Mrs. Mountjoy had taken as an expression of brotherly love.	To give mrs Mountjoy her due, it must be said that this had not entered into her consideration when she had written to her brother in law; but it was a burden to Sir Magnus, and had always tended to produce from him a reiteration of those invitations, which mrs Mountjoy had taken as an expression of brotherly love.
7460_104483_000046_000000	"Take her about in the carriage," said Sir Magnus, who was beginning to be a little angry with this interference.	"Take her about in the carriage," said Sir Magnus, who was beginning to be a little angry with this interference.
7460_104483_000047_000000	"And the daughter?	"And the daughter?
7460_104483_000047_000001	Daughters are twice more troublesome than their mothers."	Daughters are twice more troublesome than their mothers."
7460_104483_000048_000001	And for goodness' sake don't make so much trouble about things which need not be troublesome." Then Sir Magnus left his wife to ring for her chambermaid and go on with her painting, while he himself undertook the unwonted task of writing an affectionate letter to his sister-in-law.	And for goodness' sake don't make so much trouble about things which need not be troublesome." Then Sir Magnus left his wife to ring for her chambermaid and go on with her painting, while he himself undertook the unwonted task of writing an affectionate letter to his sister in law.
7460_104483_000049_000000	The letter which Sir Magnus wrote was as follows:	The letter which Sir Magnus wrote was as follows:
7460_104483_000050_000000	MY DEAR SARAH,--Lady Mountjoy bids me say that we shall be delighted to receive you and my niece at the British Ministry on the 1st of October, and hope that you will stay with us till the end of the month.--Believe me, most affectionately yours, MAGNUS MOUNTJOY.	MY DEAR SARAH,--Lady Mountjoy bids me say that we shall be delighted to receive you and my niece at the British Ministry on the first of October, and hope that you will stay with us till the end of the month.--Believe me, most affectionately yours, MAGNUS MOUNTJOY.
7460_104483_000051_000000	"I have a most kind letter from Sir Magnus," said Mrs. Mountjoy to her daughter.	"I have a most kind letter from Sir Magnus," said mrs Mountjoy to her daughter.
7460_104483_000052_000000	"What does he say?"	"What does he say?"
7460_104483_000053_000000	"That he will be delighted to receive us on the 1st of October.	"That he will be delighted to receive us on the first of October.
7460_104483_000054_000000	"Do you know her, mamma?" asked Florence.	"Do you know her, mamma?" asked Florence.
7460_104483_000055_000000	"I did see her once; but I cannot say that I know her.	"I did see her once; but I cannot say that I know her.
7460_104483_000056_000000	"I never saw him but that once," said Florence.	"I never saw him but that once," said Florence.
7460_104483_000057_000000	And so it was settled that she and her mother were to spend a month at Brussels.	And so it was settled that she and her mother were to spend a month at Brussels.
