7926_254948_000000_000000	CHAPTER IV. VOYAGES OF ADVENTURE AND PRIVATEERING WARFARE.	CHAPTER four. VOYAGES OF ADVENTURE AND PRIVATEERING WARFARE.	false	29.25	36.78	23.774494
7926_254948_000003_000001	Drake was in command of a ship of fifty tons.	Drake was in command of a ship of fifty tons.	true	142.43	145.09	26.8797
7926_254948_000003_000002	At first starting they captured some negroes on the Cape de Verd Islands, a sort of rehearsal of what was destined to take place in Mexico.	At first starting they captured some negroes on the Cape de Verd Islands, a sort of rehearsal of what was destined to take place in Mexico.	false	145.49	153.13	26.303274
7926_254948_000003_000003	Then they besieged La Mina, where some more negroes were taken, which they sold at the Antilles.	Then they besieged La Mina, where some more negroes were taken, which they sold at the Antilles.	true	153.62	159.34	21.61837
7926_254948_000003_000004	Hawkins, doubtless by the advice of Drake, captured the town of Rio de la Hacha; after which he reached St. Jean d'Ulloa, having encountered a fearful storm.	Hawkins, doubtless by the advice of Drake, captured the town of Rio de la Hacha; after which he reached saint Jean d'Ulloa, having encountered a fearful storm.	true	160.04	170.14	23.213608
7926_254948_000003_000005	But the harbour contained a numerous fleet, and was defended by formidable artillery. The English fleet was defeated, and Drake had much difficulty in regaining the English coast in January, 1568.	But the harbour contained a numerous fleet, and was defended by formidable artillery. The English fleet was defeated, and Drake had much difficulty in regaining the English coast in January, fifteen sixty eight.	true	170.6	182.68	23.526356
7926_254948_000004_000000	Drake afterwards made two expeditions to the West Indies for the purpose of studying the country.	Drake afterwards made two expeditions to the West Indies for the purpose of studying the country.	true	184.19	189.49	24.254221
7926_254948_000004_000001	When he considered himself to have acquired the necessary information, he fitted out two vessels at his own expense: the _Swan_, of twenty-five tons, commanded by his brother John, and the _Pasha_ of Plymouth, of seventy tons.	When he considered himself to have acquired the necessary information, he fitted out two vessels at his own expense: the underscore Swan underscore, of twenty five tons, commanded by his brother john, and the underscore Pasha underscore of Plymouth, of seventy tons.	false	190.13	203.59	24.486399
7926_254948_000004_000002	The two vessels had as crew seventy-three jack-tars, who could be thoroughly depended on.	The two vessels had as crew seventy three jack tars, who could be thoroughly depended on.	true	204.08	209.38	21.93369
7926_254948_000004_000003	From July, 1572, to August, 1573, sometimes alone, sometimes in concert with a certain Captain Rawse, Drake made a lucrative cruise upon the coasts of the Gulf of Darien, attacked the towns of Vera Cruz and of Nombre de Dios, and obtained considerable spoil.	From July, fifteen seventy two, to August, fifteen seventy three, sometimes alone, sometimes in concert with a certain Captain Rawse, Drake made a lucrative cruise upon the coasts of the Gulf of Darien, attacked the towns of Vera Cruz and of Nombre de Dios, and obtained considerable spoil.	false	209.99	229.27	21.9976
7926_254948_000004_000004	Unfortunately these enterprises were not carried out without much cruelty and many acts of violence which would make men of the present day blush.	Unfortunately these enterprises were not carried out without much cruelty and many acts of violence which would make men of the present day blush.	true	230.24	238.78	23.59975
7926_254948_000004_000005	But we will not dwell upon the scenes of piracy and barbarity which are only too frequently met with in the sixteenth century.	But we will not dwell upon the scenes of piracy and barbarity which are only too frequently met with in the sixteenth century.	true	239.75	247.33	20.613783
7926_254948_000005_000000	After assisting in the suppression of the rebellion in Ireland, Drake, whose name was beginning to be well known, was presented to Queen Elizabeth.	After assisting in the suppression of the rebellion in Ireland, Drake, whose name was beginning to be well known, was presented to Queen Elizabeth.	true	247.76	255.67	20.983826
7926_254948_000005_000001	He laid before her his project of going to ravage the western coasts of South America, by passing through the Strait of Magellan, and he obtained, with the title of admiral, a fleet of six vessels, on board of which were 160 picked sailors.	He laid before her his project of going to ravage the western coasts of South America, by passing through the Strait of Magellan, and he obtained, with the title of admiral, a fleet of six vessels, on board of which were one hundred sixty picked sailors.	false	256.01	271.21	22.67282
7926_254948_000006_000000	Francis Drake started from Plymouth on the 15th November, 1577.	Francis Drake started from Plymouth on the fifteenth of november fifteen seventy seven.	true	272.24	276.82	23.669556
7926_254948_000006_000001	He had some intercourse with the Moors of Mogador, of which he had no reason to boast, made some captures of small importance before arriving at the Cape de Verd Islands, where he took in fresh provisions, and then was fifty-six days in crossing the Atlantic and reaching the coast of Brazil, which he followed as far as the estuary of La Plata, where he laid in a supply of water.	He had some intercourse with the Moors of Mogador, of which he had no reason to boast, made some captures of small importance before arriving at the Cape de Verd Islands, where he took in fresh provisions, and then was fifty six days in crossing the Atlantic and reaching the coast of Brazil, which he followed as far as the estuary of La Plata, where he laid in a supply of water.	true	277.28	298.33	22.545853
7926_254948_000006_000002	He afterwards arrived at Seal Bay in Patagonia, where he traded with the natives, and killed a great number of penguins and sea-wolves for the nourishment of his crew.	He afterwards arrived at Seal Bay in Patagonia, where he traded with the natives, and killed a great number of penguins and sea wolves for the nourishment of his crew.	false	299	308.02	23.625229
7926_254948_000006_000003	"Some of the Patagonians who were seen on the 13th May a little below Seal Bay," says the original narrative, "wore on the head a kind of horn, and nearly all had many beautiful birds' feathers by way of hats.	"Some of the Patagonians who were seen on the thirteenth of may a little below Seal Bay," says the original narrative, "wore on the head a kind of horn, and nearly all had many beautiful birds' feathers by way of hats.	false	308.81	321.43	21.675425
7926_254948_000006_000004	They also had the face painted and diversified by several kinds of colours, and they each held a bow in the hand, from which every-time they drew it, they discharged two arrows.	They also had the face painted and diversified by several kinds of colours, and they each held a bow in the hand, from which every time they drew it, they discharged two arrows.	true	322.01	332.14	21.67827
7926_254948_000006_000005	They were very agile, and as far as we could see, well instructed in the art of making war, for they kept good order in marching and advancing, and for so few men as they were, they made themselves appear a large number." M. Charton, in his _Voyageurs Anciens et Modernes_, notices that Drake does not mention the extraordinary stature which Magellan had attributed to the Patagonians.	They were very agile, and as far as we could see, well instructed in the art of making war, for they kept good order in marching and advancing, and for so few men as they were, they made themselves appear a large number." m Charton, in his underscore Voyageurs Anciens et Modernes underscore, notices that Drake does not mention the extraordinary stature which Magellan had attributed to the Patagonians.	false	333.02	356.17	21.750488
7926_254948_000006_000006	For this there is more than one good reason.	For this there is more than one good reason.	true	356.72	358.9	23.098663
7926_254948_000006_000007	There exists in Patagonia more than one tribe, and the description here given by Drake of the savages whom he met, does not at all resemble that given by Pigafetta of the Patagonians of Port St. Julian.	There exists in Patagonia more than one tribe, and the description here given by Drake of the savages whom he met, does not at all resemble that given by Pigafetta of the Patagonians of Port saint Julian.	true	359.39	372.19	22.520332
7926_254948_000006_000008	If there exist, as seems now to be proved, a race of men of great stature, their habitat appears fixed upon the shores of the Strait at the southern extremity of Patagonia, and not at fifteen days' sail from Port Desire, at which Drake arrived on the 2nd June.	If there exist, as seems now to be proved, a race of men of great stature, their habitat appears fixed upon the shores of the Strait at the southern extremity of Patagonia, and not at fifteen days' sail from Port Desire, at which Drake arrived on the second of june.	false	372.89	389.5	24.667892
7926_254948_000006_000009	On the following day he reached the harbour of St. Julian, where he found a gibbet erected of yore by Magellan for the punishment of some rebellious members of his crew.	On the following day he reached the harbour of saint Julian, where he found a gibbet erected of yore by Magellan for the punishment of some rebellious members of his crew.	true	390.56	400.09	21.788784
7926_254948_000006_000010	Drake in his turn, chose this spot to rid himself of one of his captains, named Doughty, who had been long accused of treason and underhand dealing, and who on several occasions had separated himself from the fleet.	Drake in his turn, chose this spot to rid himself of one of his captains, named Doughty, who had been long accused of treason and underhand dealing, and who on several occasions had separated himself from the fleet.	false	400.61	413.41	23.093487
7926_254948_000006_000011	Some sailors having confessed that he had solicited them to join with him in frustrating the voyage, Doughty was convicted of the crimes of rebellion, and of tampering with the sailors, and according to the laws of England, he was condemned by a court martial to be beheaded. This sentence was immediately executed, although Doughty until the last moment vehemently declared his innocence.	Some sailors having confessed that he had solicited them to join with him in frustrating the voyage, Doughty was convicted of the crimes of rebellion, and of tampering with the sailors, and according to the laws of England, he was condemned by a court martial to be beheaded. This sentence was immediately executed, although Doughty until the last moment vehemently declared his innocence.	false	414.08	436.06	21.844019
7926_254948_000006_000012	Was his guilt thoroughly proved?	Was his guilt thoroughly proved?	true	436.76	438.88	24.81987
7926_254948_000006_000013	If Drake were accused upon his return to England--in spite of the moderation which he always evinced towards his men,--of having taken advantage of the opportunity to get rid of a rival whom he dreaded, it is difficult to conceive that the forty judges who pronounced the sentence should have concerted together to further the secret designs of their admiral and condemn an innocent man.	If Drake were accused upon his return to England-in spite of the moderation which he always evinced towards his men,--of having taken advantage of the opportunity to get rid of a rival whom he dreaded, it is difficult to conceive that the forty judges who pronounced the sentence should have concerted together to further the secret designs of their admiral and condemn an innocent man.	true	438.95	459.67	22.173588
7926_254948_000007_000000	On the 20th of August, the fleet, now reduced to three vessels--two of the ships having been so much damaged that they were at once destroyed by the admiral--entered the strait, which had not been traversed since the time of Magellan.	On the twentieth of August, the fleet, now reduced to three vessels-two of the ships having been so much damaged that they were at once destroyed by the admiral-entered the strait, which had not been traversed since the time of Magellan.	true	460.76	474.13	22.536541
7926_254948_000007_000001	Although he met with fine harbours, Drake found that it was difficult to anchor in them, on account both of the depth of the water close to the shore, and of the violence of the wind, which, blowing as it did in sudden squalls, rendered navigation dangerous.	Although he met with fine harbours, Drake found that it was difficult to anchor in them, on account both of the depth of the water close to the shore, and of the violence of the wind, which, blowing as it did in sudden squalls, rendered navigation dangerous.	false	474.68	489.85	23.217747
7926_254948_000007_000002	During a storm which was encountered at the point where the strait opens into the Pacific, Drake beheld one of his ships founder, while his last companion was separated from him a few days afterwards, nor did he see her again until the end of the campaign.	During a storm which was encountered at the point where the strait opens into the Pacific, Drake beheld one of his ships founder, while his last companion was separated from him a few days afterwards, nor did he see her again until the end of the campaign.	false	490.7	504.7	21.725733
7926_254948_000007_000003	Driven by the currents to the south of the strait as far as 55 degrees 40 minutes, Drake had now only his own vessel; but by the injury which he did to the Spaniards, he showed what ravages he would have committed if he had had still under his command the fleet with which he left England.	Driven by the currents to the south of the strait as far as fifty five degrees forty minutes, Drake had now only his own vessel; but by the injury which he did to the Spaniards, he showed what ravages he would have committed if he had had still under his command the fleet with which he left England.	false	505.34	521.29	21.953135
7926_254948_000007_000004	During a descent upon the island of Mocha, the English had two men killed and several wounded, while Drake himself, hit by two arrows on the head, found himself utterly unable to punish the Indians for their perfidy.	During a descent upon the island of Mocha, the English had two men killed and several wounded, while Drake himself, hit by two arrows on the head, found himself utterly unable to punish the Indians for their perfidy.	true	521.93	534.01	22.934896
7926_254948_000007_000005	In the harbour of Valparaiso he captured a vessel richly laden with the wines of Chili, and with ingots of gold valued at 37,000 ducats; afterwards he pillaged the town, which had been precipitately abandoned by its inhabitants.	In the harbour of Valparaiso he captured a vessel richly laden with the wines of Chili, and with ingots of gold valued at thirty seven thousand ducats; afterwards he pillaged the town, which had been precipitately abandoned by its inhabitants.	true	534.53	548.83	21.932865
7926_254948_000007_000006	At Coquimbo, the people were forewarned of his approach, so that he found there a strong force, which obliged him to re-embark.	At Coquimbo, the people were forewarned of his approach, so that he found there a strong force, which obliged him to re embark.	true	549.35	556.75	24.33267
7926_254948_000007_000007	At Arica he plundered three small vessels, in one of which he found fifty-seven bars of silver valued at 2006_l._ In the harbour of Lima, where were moored twelve ships or barks, the booty was considerable.	At Arica he plundered three small vessels, in one of which he found fifty seven bars of silver valued at two thousand six underscore l.underscore In the harbour of Lima, where were moored twelve ships or barks, the booty was considerable.	false	557.3	570.4	23.5609
7926_254948_000007_000008	But what most rejoiced the heart of Drake was to learn that a galleon named the _Cagafuego_, very richly laden, was sailing towards Paraca.	But what most rejoiced the heart of Drake was to learn that a galleon named the underscore Cagafuego underscore, very richly laden, was sailing towards Paraca.	false	570.68	579.1	23.917234
7926_254948_000007_000009	He immediately went in pursuit, capturing on the way a bark carrying 80 lbs. of gold, which would be worth 14,080 French crowns, and in the latitude of San Francisco he seized without any difficulty the _Cagafuego_, in which he found 80 lbs. weight of gold.	He immediately went in pursuit, capturing on the way a bark carrying eighty pounds. of gold, which would be worth fourteen thousand eighty French crowns, and in the latitude of San Francisco he seized without any difficulty the underscore Cagafuego underscore, in which he found eighty pounds. weight of gold.	false	579.38	596.41	23.937998
7926_254948_000007_000010	This caused the Spanish pilot to say, laughing, "Captain, our ship ought no longer to be called _Cagafuego_ (spit-fire), but rather _Caga-Plata_ (spit money), it is yours which should be named _Caga-Fuego_." After making some other captures more or less valuable, upon the Peruvian coast, Drake, learning that a considerable fleet was being prepared to oppose him, thought it time to return to England.	This caused the Spanish pilot to say, laughing, "Captain, our ship ought no longer to be called underscore Cagafuego underscore (spit fire), but rather underscore Caga Plata underscore (spit money), it is yours which should be named underscore Caga Fuego underscore." After making some other captures more or less valuable, upon the Peruvian coast, Drake, learning that a considerable fleet was being prepared to oppose him, thought it time to return to England.	false	596.81	622.24	24.039585
7926_254948_000007_000011	For this, there were three different routes open to him: he might again pass the Strait of Magellan, or he might cross the Southern Sea, and doubling the Cape of Good Hope might so return to the Atlantic Ocean, or he could sail up the coast of China and return by the Frozen Sea and the North Cape.	For this, there were three different routes open to him: he might again pass the Strait of Magellan, or he might cross the Southern Sea, and doubling the Cape of Good Hope might so return to the Atlantic Ocean, or he could sail up the coast of China and return by the Frozen Sea and the North Cape.	true	622.76	640.09	24.222897
7926_254948_000007_000012	It was this last alternative, as being the safest of the three, which was adopted by Drake.	It was this last alternative, as being the safest of the three, which was adopted by Drake.	true	640.43	645.76	24.64325
7926_254948_000007_000013	He therefore put out to sea, reached the 38 degrees of north latitude, and landed on the shore of the Bay of San Francisco, which had been discovered three years previously by Bodega.	He therefore put out to sea, reached the thirty eight degrees of north latitude, and landed on the shore of the Bay of San Francisco, which had been discovered three years previously by Bodega.	true	646.19	657.34	24.123417
7926_254948_000007_000014	It was now the month of June, the temperature was very low, and the ground covered with snow.	It was now the month of June, the temperature was very low, and the ground covered with snow.	true	658.04	663.22	24.18275
7926_254948_000007_000015	The details given by Drake of his reception by the natives, are curious enough: "When we arrived, the savages manifested great admiration at the sight of us, and thinking that we were gods, they received us with great humanity and reverence."	The details given by Drake of his reception by the natives, are curious enough: "When we arrived, the savages manifested great admiration at the sight of us, and thinking that we were gods, they received us with great humanity and reverence."	true	663.68	677.38	21.773853
7926_254948_000008_000000	"As long as we remained, they continued to come and visit us, sometimes bringing us beautiful plumes made of feathers of divers colours, and sometimes petun (tobacco) which is a herb in general use among the Indians.	"As long as we remained, they continued to come and visit us, sometimes bringing us beautiful plumes made of feathers of divers colours, and sometimes petun (tobacco) which is a herb in general use among the Indians.	true	679.04	692.02	22.23177
7926_254948_000008_000001	But before presenting these things to us, they stopped at a little distance, in a spot where we had pitched our tents.	But before presenting these things to us, they stopped at a little distance, in a spot where we had pitched our tents.	false	692.54	698.44	25.791
7926_254948_000008_000002	Then they made a long discourse after the manner of a harangue, and when they had finished, they laid aside their bows and arrows in that place, and approached us to offer their presents."	Then they made a long discourse after the manner of a harangue, and when they had finished, they laid aside their bows and arrows in that place, and approached us to offer their presents."	true	698.81	708.34	21.683796
7926_254948_000009_000000	"The first time they came their women remained in the same place, and scratched and tore the skin and flesh of their cheeks, lamenting themselves in a wonderful manner, whereat we were much astonished. But we have since learnt that it was a kind of sacrifice which they offered to us."	"The first time they came their women remained in the same place, and scratched and tore the skin and flesh of their cheeks, lamenting themselves in a wonderful manner, whereat we were much astonished. But we have since learnt that it was a kind of sacrifice which they offered to us."	true	709.85	724.9	21.658636
7926_254948_000010_000000	The facts given by Drake with regard to the Indians of California are almost the only ones which he furnishes upon the manners and customs of the nations which he visited.	The facts given by Drake with regard to the Indians of California are almost the only ones which he furnishes upon the manners and customs of the nations which he visited.	true	726.62	735.76	22
7926_254948_000010_000001	We would draw the reader's attention here, to that custom of long harangues which the traveller especially remarks, just as Cartier had observed upon it forty years earlier, and which is so noticeable amongst the Canadian Indians at the present day.	We would draw the reader's attention here, to that custom of long harangues which the traveller especially remarks, just as Cartier had observed upon it forty years earlier, and which is so noticeable amongst the Canadian Indians at the present day.	true	736.4	751.45	22.65581
7926_254948_000010_000002	Drake did not advance farther north and gave up his project of returning by the Frozen Sea.	Drake did not advance farther north and gave up his project of returning by the Frozen Sea.	true	752.18	757.18	22.137892
7926_254948_000010_000003	When he again set sail, it was to descend towards the Line, to reach the Moluccas, and to return to England by the Cape of Good Hope.	When he again set sail, it was to descend towards the Line, to reach the Moluccas, and to return to England by the Cape of Good Hope.	false	757.88	765.73	23.389248
7926_254948_000010_000004	As this part of the voyage deals with countries already known, and as the observations made by Drake are neither numerous nor novel, our narrative here shall be brief.	As this part of the voyage deals with countries already known, and as the observations made by Drake are neither numerous nor novel, our narrative here shall be brief.	false	766.1	776.68	23.174337
7926_254948_000011_000000	On the 13th of October, 1579, Drake arrived in latitude 8 degrees north, at a group of islands of which the inhabitants had their ears much lengthened by the weight of the ornaments suspended to them; their nails were allowed to grow, and appeared to serve as defensive weapons, while their teeth, "black as ship's pitch," contracted this colour from the use of the betel-nut.	On the thirteenth of October, fifteen seventy nine, Drake arrived in latitude eight degrees north, at a group of islands of which the inhabitants had their ears much lengthened by the weight of the ornaments suspended to them; their nails were allowed to grow, and appeared to serve as defensive weapons, while their teeth, "black as ship's pitch," contracted this colour from the use of the betel nut.	true	776.78	799.54	24.208374
7926_254948_000011_000001	After resting for a time, Drake passed by the Philippines, and on the 14th of November arrived at Ternate.	After resting for a time, Drake passed by the Philippines, and on the fourteenth of November arrived at Ternate.	false	800.06	807.72	24.761393
7926_254948_000011_000002	The king of this island came alongside, with four canoes bearing his principal officers dressed in their state costumes. After an interchange of civilities and presents, the English received some rice, sugar-canes, fowls, _figo_, cloves, and sago.	The king of this island came alongside, with four canoes bearing his principal officers dressed in their state costumes. After an interchange of civilities and presents, the English received some rice, sugar canes, fowls, underscore figo underscore, cloves, and sago.	false	807.72	823.33	22.391825
7926_254948_000011_000003	On the morrow, some of the sailors who had landed, were present at a council.	On the morrow, some of the sailors who had landed, were present at a council.	true	823.64	827.53	20.34325
7926_254948_000011_000004	"When the king arrived, a rich umbrella or parasol all embroidered in gold was borne before him.	"When the king arrived, a rich umbrella or parasol all embroidered in gold was borne before him.	true	828.08	833.5	21.922302
7926_254948_000011_000005	He was dressed after the fashion of his country, but with extreme magnificence, for he was enveloped from the shoulders with a long cloak of cloth of gold reaching to the ground.	He was dressed after the fashion of his country, but with extreme magnificence, for he was enveloped from the shoulders with a long cloak of cloth of gold reaching to the ground.	false	833.87	843.04	23.583515
7926_254948_000011_000006	He wore as an ornament upon the head, a kind of turban made of the same stuff, all worked in fine gold and enriched with jewels and tufts.	He wore as an ornament upon the head, a kind of turban made of the same stuff, all worked in fine gold and enriched with jewels and tufts.	true	843.65	851.65	24.456242
7926_254948_000011_000007	On his neck there hung a fine gold chain many times doubled, and formed of broad links.	On his neck there hung a fine gold chain many times doubled, and formed of broad links.	true	852.11	857.83	23.852978
7926_254948_000011_000008	On his fingers, he had six rings of very valuable stones, and his feet were encased in shoes of morocco leather."	On his fingers, he had six rings of very valuable stones, and his feet were encased in shoes of morocco leather."	true	858.5	865.09	22.084036
7926_254948_000012_000000	After remaining some time in the country to refresh his crew, Drake again put to sea, but his ship on the 9th of January, 1580, struck on a rock, and to float her off it was necessary to throw overboard eight pieces of ordnance and a large quantity of provisions.	After remaining some time in the country to refresh his crew, Drake again put to sea, but his ship on the ninth of January, fifteen eighty, struck on a rock, and to float her off it was necessary to throw overboard eight pieces of ordnance and a large quantity of provisions.	false	866.03	882.28	23.420645
7926_254948_000012_000001	A month later, Drake arrived at Baratena Island where he repaired his ship. This island afforded much silver, gold, copper, sulphur, spices, lemons, cucumbers, cocoa-nuts, and other delicious fruits.	A month later, Drake arrived at Baratena Island where he repaired his ship. This island afforded much silver, gold, copper, sulphur, spices, lemons, cucumbers, cocoa nuts, and other delicious fruits.	false	882.95	897.91	23.717997
7926_254948_000012_000002	"We loaded our vessels abundantly with these, being able to certify that since our departure from England we have not visited any place where we have found more comforts in the way of food and fresh provisions than in this island and that of Ternate."	"We loaded our vessels abundantly with these, being able to certify that since our departure from England we have not visited any place where we have found more comforts in the way of food and fresh provisions than in this island and that of Ternate."	false	898.22	914.31	22.118486
7926_254948_000013_000000	After quitting this richly endowed island, Drake landed at Greater Java, where he was very warmly welcomed by the five kings amongst whom the island was partitioned, and by the inhabitants.	After quitting this richly endowed island, Drake landed at Greater Java, where he was very warmly welcomed by the five kings amongst whom the island was partitioned, and by the inhabitants.	true	914.31	925.12	22.74672
7926_254948_000013_000001	"These people are of a fine degree of corpulence, they are great connoisseurs in arms, with which they are well provided, such as swords, daggers, and bucklers, and all these arms are made with much art." Drake had been some little time at Java when he learnt that not far distant there was a powerful fleet at anchor, which he suspected must belong to Spain; to avoid it he put to sea in all haste.	"These people are of a fine degree of corpulence, they are great connoisseurs in arms, with which they are well provided, such as swords, daggers, and bucklers, and all these arms are made with much art." Drake had been some little time at Java when he learnt that not far distant there was a powerful fleet at anchor, which he suspected must belong to Spain; to avoid it he put to sea in all haste.	false	925.7	950.53	23.63957
7926_254948_000013_000002	He doubled the Cape of Good Hope during the first days of June, and after stopping at Sierra Leone to take in water, he entered Plymouth harbour on the 3rd November, 1580, after an absence of three years all but a few days.	He doubled the Cape of Good Hope during the first days of June, and after stopping at Sierra Leone to take in water, he entered Plymouth harbour on the third of november fifteen eighty, after an absence of three years all but a few days.	false	950.66	963.97	23.515024
7926_254948_000014_000000	The reception which awaited him in England was at first extremely cold.	The reception which awaited him in England was at first extremely cold.	true	965.03	969.22	23.872334
7926_254948_000014_000001	His having fallen by surprise both upon Spanish towns and ships, at a time when the two nations were at peace, rightly caused him to be regarded by a portion of society as a pirate, who tramples under foot the rights of nations.	His having fallen by surprise both upon Spanish towns and ships, at a time when the two nations were at peace, rightly caused him to be regarded by a portion of society as a pirate, who tramples under foot the rights of nations.	true	969.47	982.99	23.586706
7926_254948_000014_000002	For five months the Queen herself, under the pressure of diplomatic proprieties, pretended to be ignorant of his return.	For five months the Queen herself, under the pressure of diplomatic proprieties, pretended to be ignorant of his return.	true	983.57	990.13	23.912233
7926_254948_000014_000003	But at the end of that time, either because circumstances had altered, or because she did not wish to show herself any longer severe towards the skilful sailor, she repaired to Deptford where Drake's ship was moored, went on board, and conferred the honour of knighthood upon the navigator.	But at the end of that time, either because circumstances had altered, or because she did not wish to show herself any longer severe towards the skilful sailor, she repaired to Deptford where Drake's ship was moored, went on board, and conferred the honour of knighthood upon the navigator.	true	990.53	1006.2	23.98732
7926_254948_000015_000000	[Illustration: Elizabeth knighting Drake.]	[Illustration: Elizabeth knighting Drake.]	false	1006.2	1008.06	-2
7926_254948_000016_000000	From this period Drake's part as a discoverer is ended, and his after-life as a warrior and as the implacable enemy of the Spaniards does not concern us.	From this period Drake's part as a discoverer is ended, and his after life as a warrior and as the implacable enemy of the Spaniards does not concern us.	true	1008.06	1017.37	23.332619
7926_254948_000016_000001	Loaded with honours, and invested with important commands, Drake died at sea on the 28th January, 1596, during an expedition against the Spaniards.	Loaded with honours, and invested with important commands, Drake died at sea on the twenty eighth of january fifteen ninety six, during an expedition against the Spaniards.	false	1017.8	1028.83	23.696066
7926_254948_000017_000000	To him pertains the honour of having been the second to pass through the Strait of Magellan, and to have visited Tierra del Fuego as far as the parts about Cape Horn.	To him pertains the honour of having been the second to pass through the Strait of Magellan, and to have visited Tierra del Fuego as far as the parts about Cape Horn.	true	1029.2	1038.49	23.777557
7926_254948_000017_000001	He also ascended the coast of North America to a point higher than any his predecessors had attained, and he discovered several islands and archipelagos.	He also ascended the coast of North America to a point higher than any his predecessors had attained, and he discovered several islands and archipelagos.	true	1038.95	1048.3	20.737373
7926_254948_000017_000002	Being a very clever navigator, he made the transit through the Strait of Magellan with great rapidity.	Being a very clever navigator, he made the transit through the Strait of Magellan with great rapidity.	true	1048.82	1053.85	22.1754
7926_254948_000017_000003	If there are but very few discoveries due to him, this is probably either because he neglected to record them in his journal, or because he often mentions them in so inaccurate a manner that it is scarcely possible to recognize the places.	If there are but very few discoveries due to him, this is probably either because he neglected to record them in his journal, or because he often mentions them in so inaccurate a manner that it is scarcely possible to recognize the places.	true	1054.19	1067.92	22.80464
7926_254948_000017_000004	It was he who inaugurated that privateering warfare by which the English, and later on the Dutch, were destined to inflict much injury upon the Spaniards.	It was he who inaugurated that privateering warfare by which the English, and later on the Dutch, were destined to inflict much injury upon the Spaniards.	true	1068.56	1077.82	22.786345
7926_254948_000017_000005	And the large profits accruing to him from it, encouraged his contemporaries, and gave birth in their minds to the love for long and hazardous voyages.	And the large profits accruing to him from it, encouraged his contemporaries, and gave birth in their minds to the love for long and hazardous voyages.	true	1078.37	1086.67	23.496183
7926_254948_000018_000000	Among all those who took example by Drake, the most illustrious was undoubtedly Thomas Cavendish or Candish.	Among all those who took example by Drake, the most illustrious was undoubtedly Thomas Cavendish or Candish.	true	1088.48	1095.25	21.63331
