480_127525_000000_000000	Narrative Continued by the Doctor: The Jolly-boat's Last Trip	Narrative Continued by the Doctor: The Jolly boat's Last Trip	true	21.57	26.56	25.960442
480_127525_000036_000003	Where the ball passed, not one of us precisely knew, but I fancy it must have been over our heads and that the wind of it may have contributed to our disaster.	Where the ball passed, not one of us precisely knew, but I fancy it must have been over our heads and that the wind of it may have contributed to our disaster.	true	652.52	665.38	21.02873
480_127525_000037_000000	At any rate, the boat sank by the stern, quite gently, in three feet of water, leaving the captain and myself, facing each other, on our feet. The other three took complete headers, and came up again drenched and bubbling.	At any rate, the boat sank by the stern, quite gently, in three feet of water, leaving the captain and myself, facing each other, on our feet. The other three took complete headers, and came up again drenched and bubbling.	false	667.52	688.3	23.118778
480_127525_000038_000000	So far there was no great harm.	So far there was no great harm.	true	690.65	693.28	20.03082
480_127525_000038_000001	No lives were lost, and we could wade ashore in safety.	No lives were lost, and we could wade ashore in safety.	false	693.74	698.32	21.537067
480_127525_000038_000002	But there were all our stores at the bottom, and to make things worse, only two guns out of five remained in a state for service.	But there were all our stores at the bottom, and to make things worse, only two guns out of five remained in a state for service.	false	699.92	710.14	22.666292
480_127525_000038_000003	Mine I had snatched from my knees and held over my head, by a sort of instinct.	Mine I had snatched from my knees and held over my head, by a sort of instinct.	true	711.71	717.01	20.408405
480_127525_000038_000004	As for the captain, he had carried his over his shoulder by a bandoleer, and like a wise man, lock uppermost.	As for the captain, he had carried his over his shoulder by a bandoleer, and like a wise man, lock uppermost.	false	718.46	727.87	21.22372
480_127525_000038_000005	The other three had gone down with the boat.	The other three had gone down with the boat.	true	728.69	731.53	22.39909
480_127525_000039_000000	To add to our concern, we heard voices already drawing near us in the woods along shore, and we had not only the danger of being cut off from the stockade in our half-crippled state but the fear before us whether, if Hunter and Joyce were attacked by half a dozen, they would have the sense and conduct to stand firm.	To add to our concern, we heard voices already drawing near us in the woods along shore, and we had not only the danger of being cut off from the stockade in our half crippled state but the fear before us whether, if Hunter and Joyce were attacked by half a dozen, they would have the sense and conduct to stand firm.	false	733.85	761.5	21.949852
480_127525_000039_000001	Hunter was steady, that we knew; Joyce was a doubtful case--a pleasant, polite man for a valet and to brush one's clothes, but not entirely fitted for a man of war.	Hunter was steady, that we knew; Joyce was a doubtful case-a pleasant, polite man for a valet and to brush one's clothes, but not entirely fitted for a man of war.	false	763.1	779.89	24.084175
480_127525_000040_000000	With all this in our minds, we waded ashore as fast as we could, leaving behind us the poor jolly-boat and a good half of all our powder and provisions.	With all this in our minds, we waded ashore as fast as we could, leaving behind us the poor jolly boat and a good half of all our powder and provisions.	true	782.09	796.11	20.360668
480_127525_000041_000000	18	eighteen	false	796.11	796.65	-20
480_127525_000042_000000	Narrative Continued by the Doctor: End of the First Day's Fighting	Narrative Continued by the Doctor: End of the First Day's Fighting	false	796.65	803.01	17.95838
