480_127525_000000_000000	Narrative Continued by the Doctor: The Jolly-boat's Last Trip	Narrative Continued by the Doctor: The Jolly boat's Last Trip
480_127525_000021_000000	"Mr. Trelawney, will you please pick me off one of these men, sir? Hands, if possible," said the captain.	"mr Trelawney, will you please pick me off one of these men, sir? Hands, if possible," said the captain.
480_127525_000022_000001	He looked to the priming of his gun.	He looked to the priming of his gun.
480_127525_000023_000000	"Now," cried the captain, "easy with that gun, sir, or you'll swamp the boat.	"Now," cried the captain, "easy with that gun, sir, or you'll swamp the boat.
480_127525_000023_000001	All hands stand by to trim her when he aims."	All hands stand by to trim her when he aims."
480_127525_000025_000000	They had the gun, by this time, slewed round upon the swivel, and Hands, who was at the muzzle with the rammer, was in consequence the most exposed.	They had the gun, by this time, slewed round upon the swivel, and Hands, who was at the muzzle with the rammer, was in consequence the most exposed.
480_127525_000025_000001	However, we had no luck, for just as Trelawney fired, down he stooped, the ball whistled over him, and it was one of the other four who fell.	However, we had no luck, for just as Trelawney fired, down he stooped, the ball whistled over him, and it was one of the other four who fell.
480_127525_000026_000000	The cry he gave was echoed not only by his companions on board but by a great number of voices from the shore, and looking in that direction I saw the other pirates trooping out from among the trees and tumbling into their places in the boats.	The cry he gave was echoed not only by his companions on board but by a great number of voices from the shore, and looking in that direction I saw the other pirates trooping out from among the trees and tumbling into their places in the boats.
480_127525_000028_000000	"Give way, then," cried the captain.	"Give way, then," cried the captain.
480_127525_000028_000001	"We mustn't mind if we swamp her now.	"We mustn't mind if we swamp her now.
480_127525_000028_000002	If we can't get ashore, all's up."	If we can't get ashore, all's up."
480_127525_000030_000000	"They'll have a hot run, sir," returned the captain.	"They'll have a hot run, sir," returned the captain.
480_127525_000030_000001	"Jack ashore, you know.	"Jack ashore, you know.
480_127525_000030_000002	It's not them I mind; it's the round-shot.	It's not them I mind; it's the round shot.
480_127525_000030_000003	Carpet bowls!	Carpet bowls!
480_127525_000030_000004	My lady's maid couldn't miss.	My lady's maid couldn't miss.
480_127525_000030_000005	Tell us, squire, when you see the match, and we'll hold water."	Tell us, squire, when you see the match, and we'll hold water."
480_127525_000031_000000	In the meanwhile we had been making headway at a good pace for a boat so overloaded, and we had shipped but little water in the process.	In the meanwhile we had been making headway at a good pace for a boat so overloaded, and we had shipped but little water in the process.
480_127525_000031_000001	We were now close in; thirty or forty strokes and we should beach her, for the ebb had already disclosed a narrow belt of sand below the clustering trees.	We were now close in; thirty or forty strokes and we should beach her, for the ebb had already disclosed a narrow belt of sand below the clustering trees.
480_127525_000031_000002	The gig was no longer to be feared; the little point had already concealed it from our eyes.	The gig was no longer to be feared; the little point had already concealed it from our eyes.
480_127525_000031_000003	The ebb-tide, which had so cruelly delayed us, was now making reparation and delaying our assailants.	The ebb tide, which had so cruelly delayed us, was now making reparation and delaying our assailants.
480_127525_000031_000004	The one source of danger was the gun.	The one source of danger was the gun.
480_127525_000032_000000	"If I durst," said the captain, "I'd stop and pick off another man."	"If I durst," said the captain, "I'd stop and pick off another man."
480_127525_000033_000000	But it was plain that they meant nothing should delay their shot.	But it was plain that they meant nothing should delay their shot.
480_127525_000033_000001	They had never so much as looked at their fallen comrade, though he was not dead, and I could see him trying to crawl away.	They had never so much as looked at their fallen comrade, though he was not dead, and I could see him trying to crawl away.
480_127525_000034_000000	"Ready!" cried the squire.	"Ready!" cried the squire.
480_127525_000035_000000	"Hold!" cried the captain, quick as an echo.	"Hold!" cried the captain, quick as an echo.
480_127525_000036_000000	And he and Redruth backed with a great heave that sent her stern bodily under water.	And he and Redruth backed with a great heave that sent her stern bodily under water.
480_127525_000036_000002	This was the first that Jim heard, the sound of the squire's shot not having reached him.	This was the first that Jim heard, the sound of the squire's shot not having reached him.
480_127525_000036_000003	Where the ball passed, not one of us precisely knew, but I fancy it must have been over our heads and that the wind of it may have contributed to our disaster.	Where the ball passed, not one of us precisely knew, but I fancy it must have been over our heads and that the wind of it may have contributed to our disaster.
480_127525_000038_000000	So far there was no great harm.	So far there was no great harm.
480_127525_000038_000003	Mine I had snatched from my knees and held over my head, by a sort of instinct.	Mine I had snatched from my knees and held over my head, by a sort of instinct.
480_127525_000038_000005	The other three had gone down with the boat.	The other three had gone down with the boat.
480_127525_000040_000000	With all this in our minds, we waded ashore as fast as we could, leaving behind us the poor jolly-boat and a good half of all our powder and provisions.	With all this in our minds, we waded ashore as fast as we could, leaving behind us the poor jolly boat and a good half of all our powder and provisions.
