475_125002_000000_000000	There are moments when one sympathises with Herod.	There are moments when one sympathises with Herod.	false	5.25	20.595	19.85301
475_125002_000008_000003	Isn't there a bishop or somebody who believes we shall meet all the animals we have known on earth in another world?	Isn't there a bishop or somebody who believes we shall meet all the animals we have known on earth in another world?	false	189.69	197.71	18.665638
475_125002_000008_000004	How frightfully embarrassing to meet a whole shoal of whitebait you had last known at Prince's!	How frightfully embarrassing to meet a whole shoal of whitebait you had last known at Prince's!	true	198.59	204.01	20.06124
475_125002_000008_000005	I'm sure in my nervousness I should talk of nothing but lemons.	I'm sure in my nervousness I should talk of nothing but lemons.	true	204.62	207.82	17.484173
475_125002_000008_000006	Still, I daresay they would be quite as offended if one hadn't eaten them.	Still, I daresay they would be quite as offended if one hadn't eaten them.	true	207.89	212.23	19.939718
475_125002_000008_000007	I know if I were served up at a cannibal feast I should be dreadfully annoyed if anyone found fault with me for not being tender enough, or having been kept too long."	I know if I were served up at a cannibal feast I should be dreadfully annoyed if anyone found fault with me for not being tender enough, or having been kept too long."	true	212.36	222.49	20.909012
475_125002_000009_000000	"My idea about the lecture," resumed the Duchess hurriedly, "is to inquire whether promiscuous Continental travel doesn't tend to weaken the moral fibre of the social conscience.	"My idea about the lecture," resumed the Duchess hurriedly, "is to inquire whether promiscuous Continental travel doesn't tend to weaken the moral fibre of the social conscience.	true	223.67	234.46	22.38794
475_125002_000009_000001	There are people one knows, quite nice people when they are in England, who are so _different_ when they are anywhere the other side of the Channel."	There are people one knows, quite nice people when they are in England, who are so underscore different underscore when they are anywhere the other side of the Channel."	false	235.25	244.75	22.724472
475_125002_000010_000000	"The people with what I call Tauchnitz morals," observed Reginald.	"The people with what I call Tauchnitz morals," observed Reginald.	true	246.08	250.48	21.539137
475_125002_000010_000001	"On the whole, I think they get the best of two very desirable worlds.	"On the whole, I think they get the best of two very desirable worlds.	true	250.7	255.16	20.675894
475_125002_000010_000002	And, after all, they charge so much for excess luggage on some of those foreign lines that it's really an economy to leave one's reputation behind one occasionally."	And, after all, they charge so much for excess luggage on some of those foreign lines that it's really an economy to leave one's reputation behind one occasionally."	true	255.38	265.12	19
475_125002_000011_000000	"A scandal, my dear Reginald, is as much to be avoided at Monaco or any of those places as at Exeter, let us say."	"A scandal, my dear Reginald, is as much to be avoided at Monaco or any of those places as at Exeter, let us say."	true	266.3	272.71	21.263819
475_125002_000012_000000	"Scandal, my dear Irene--I may call you Irene, mayn't I?"	"Scandal, my dear Irene-I may call you Irene, mayn't I?"	true	273.86	278.35	22.12144
475_125002_000013_000000	"I don't know that you have known me long enough for that."	"I don't know that you have known me long enough for that."	true	279.14	281.59	21.90894
475_125002_000014_000000	"I've known you longer than your god-parents had when they took the liberty of calling you that name.	"I've known you longer than your god parents had when they took the liberty of calling you that name.	true	282.74	287.77	19
475_125002_000014_000001	Scandal is merely the compassionate allowance which the gay make to the humdrum.	Scandal is merely the compassionate allowance which the gay make to the humdrum.	true	288.53	293.29	19
475_125002_000014_000002	Think how many blameless lives are brightened by the blazing indiscretions of other people.	Think how many blameless lives are brightened by the blazing indiscretions of other people.	true	293.6	298.6	19
475_125002_000014_000003	Tell me, who is the woman with the old lace at the table on our left?	Tell me, who is the woman with the old lace at the table on our left?	true	299.81	304.54	22.498905
475_125002_000014_000004	Oh, _that_ doesn't matter; it's quite the thing nowadays to stare at people as if they were yearlings at Tattersall's."	Oh, underscore that underscore doesn't matter; it's quite the thing nowadays to stare at people as if they were yearlings at Tattersall's."	false	305.21	311.62	21.26225
475_125002_000015_000000	"Mrs. Spelvexit?	"mrs Spelvexit?	true	312.83	314.23	20.769075
475_125002_000015_000001	Quite a charming woman; separated from her husband"--	Quite a charming woman; separated from her husband"--	true	314.66	317.77	20.223848
475_125002_000016_000000	"Incompatibility of income?"	"Incompatibility of income?"	true	317.81	319.75	16.10781
475_125002_000017_000000	"Oh, nothing of that sort.	"Oh, nothing of that sort.	true	320.15	321.51	20.505678
475_125002_000017_000001	By miles of frozen ocean, I was going to say. He explores ice-floes and studies the movements of herrings, and has written a most interesting book on the home-life of the Esquimaux; but naturally he has very little home-life of his own."	By miles of frozen ocean, I was going to say. He explores ice floes and studies the movements of herrings, and has written a most interesting book on the home life of the Esquimaux; but naturally he has very little home life of his own."	true	321.51	334.65	20.479607
475_125002_000018_000000	"A husband who comes home with the Gulf Stream _would_ be rather a tied- up asset."	"A husband who comes home with the Gulf Stream underscore would underscore be rather a tied up asset."	false	334.65	340.81	19.302353
475_125002_000019_000000	"His wife is exceedingly sensible about it.	"His wife is exceedingly sensible about it.	true	341.45	343.78	19.278055
475_125002_000019_000001	She collects postage-stamps. Such a resource.	She collects postage stamps. Such a resource.	true	343.88	347.59	21.001116
475_125002_000019_000002	Those people with her are the Whimples, very old acquaintances of mine; they're always having trouble, poor things."	Those people with her are the Whimples, very old acquaintances of mine; they're always having trouble, poor things."	true	347.81	353.98	22.396666
475_125002_000020_000000	"Trouble is not one of those fancies you can take up and drop at any moment; it's like a grouse-moor or the opium-habit--once you start it you've got to keep it up."	"Trouble is not one of those fancies you can take up and drop at any moment; it's like a grouse moor or the opium habit-once you start it you've got to keep it up."	true	354.41	364.78	20.883028
475_125002_000021_000000	"Their eldest son was such a disappointment to them; they wanted him to be a linguist, and spent no end of money on having him taught to speak--oh, dozens of languages!--and then he became a Trappist monk.	"Their eldest son was such a disappointment to them; they wanted him to be a linguist, and spent no end of money on having him taught to speak-oh, dozens of languages!--and then he became a Trappist monk.	true	365.75	377.56	20.563362
475_125002_000021_000001	And the youngest, who was intended for the American marriage market, has developed political tendencies, and writes pamphlets about the housing of the poor.	And the youngest, who was intended for the American marriage market, has developed political tendencies, and writes pamphlets about the housing of the poor.	true	378.02	386.74	20.443201
475_125002_000021_000002	Of course it's a most important question, and I devote a good deal of time to it myself in the mornings; but, as Laura Whimple says, it's as well to have an establishment of one's own before agitating about other people's.	Of course it's a most important question, and I devote a good deal of time to it myself in the mornings; but, as Laura Whimple says, it's as well to have an establishment of one's own before agitating about other people's.	false	387.47	399.94	21.968697
475_125002_000021_000003	She feels it very keenly, but she always maintains a cheerful appetite, which I think is so unselfish of her."	She feels it very keenly, but she always maintains a cheerful appetite, which I think is so unselfish of her."	false	400.01	407.25	18.737814
475_125002_000022_000000	"There are different ways of taking disappointment.	"There are different ways of taking disappointment.	true	407.25	409.81	22.041204
475_125002_000022_000001	There was a girl I knew who nursed a wealthy uncle through a long illness, borne by her with Christian fortitude, and then he died and left his money to a swine-fever hospital.	There was a girl I knew who nursed a wealthy uncle through a long illness, borne by her with Christian fortitude, and then he died and left his money to a swine fever hospital.	true	409.91	420.01	18.97653
475_125002_000022_000002	She found she'd about cleared stock in fortitude by that time, and now she gives drawing-room recitations.	She found she'd about cleared stock in fortitude by that time, and now she gives drawing room recitations.	true	420.08	426.13	19.983036
475_125002_000022_000003	That's what I call being vindictive."	That's what I call being vindictive."	true	426.41	428.92	23.467474
475_125002_000023_000000	"Life is full of its disappointments," observed the Duchess, "and I suppose the art of being happy is to disguise them as illusions.	"Life is full of its disappointments," observed the Duchess, "and I suppose the art of being happy is to disguise them as illusions.	true	429.89	437.01	21.476648
475_125002_000023_000001	But that, my dear Reginald, becomes more difficult as one grows older."	But that, my dear Reginald, becomes more difficult as one grows older."	true	437.01	441.07	22.502394
475_125002_000024_000000	"I think it's more generally practised than you imagine.	"I think it's more generally practised than you imagine.	true	442.43	445.45	20.240131
475_125002_000024_000001	The young have aspirations that never come to pass, the old have reminiscences of what never happened.	The young have aspirations that never come to pass, the old have reminiscences of what never happened.	true	445.94	452.53	20.674685
475_125002_000024_000002	It's only the middle-aged who are really conscious of their limitations--that is why one should be so patient with them.	It's only the middle aged who are really conscious of their limitations-that is why one should be so patient with them.	true	452.75	460.39	19.715757
475_125002_000024_000003	But one never is."	But one never is."	true	460.85	462.22	19.29635
475_125002_000025_000000	"After all," said the Duchess, "the disillusions of life may depend on our way of assessing it.	"After all," said the Duchess, "the disillusions of life may depend on our way of assessing it.	true	463.28	469.15	21.369837
475_125002_000025_000001	In the minds of those who come after us we may be remembered for qualities and successes which we quite left out of the reckoning."	In the minds of those who come after us we may be remembered for qualities and successes which we quite left out of the reckoning."	true	469.34	475.39	20
475_125002_000026_000000	"It's not always safe to depend on the commemorative tendencies of those who come after us.	"It's not always safe to depend on the commemorative tendencies of those who come after us.	true	476.72	481.78	19
475_125002_000026_000001	There may have been disillusionments in the lives of the mediaeval saints, but they would scarcely have been better pleased if they could have foreseen that their names would be associated nowadays chiefly with racehorses and the cheaper clarets.	There may have been disillusionments in the lives of the mediaeval saints, but they would scarcely have been better pleased if they could have foreseen that their names would be associated nowadays chiefly with racehorses and the cheaper clarets.	true	482.09	496.09	20.61237
475_125002_000026_000002	And now, if you can tear yourself away from the salted almonds, we'll go and have coffee under the palms that are so necessary for our discomfort."	And now, if you can tear yourself away from the salted almonds, we'll go and have coffee under the palms that are so necessary for our discomfort."	true	496.61	504.67	19.340143
475_125002_000027_000000	REGINALD ON BESETTING SINS: THE WOMAN WHO TOLD THE TRUTH	REGINALD ON BESETTING SINS: THE WOMAN w h o TOLD THE TRUTH	false	506.45	511.62	16.79475
