6683_63841_000000_000000	I do not copy these words as commendation, but as warning.	I do not copy these words as commendation, but as warning.	false	0	1.89	18.346796
6683_63841_000004_000004	He paid for everything which he consumed the market price--no more, no less--and he made his purchases with prudence and forethought.	He paid for everything which he consumed the market price-no more, no less-and he made his purchases with prudence and forethought.	true	88.52	98.77	23.111177
6683_63841_000004_000005	As he lived for many years next door to the Astor Library, the frequenters of that noble institution had an opportunity of observing that he laid in his year's supply of coal in the month of June, when coal is cheapest.	As he lived for many years next door to the Astor Library, the frequenters of that noble institution had an opportunity of observing that he laid in his year's supply of coal in the month of June, when coal is cheapest.	true	99.2	115.75	21.780916
6683_63841_000005_000000	There was nothing which he so much abhorred as waste.	There was nothing which he so much abhorred as waste.	true	117.17	120.82	22.260103
6683_63841_000005_000001	It was both an instinct and a principle with him to avoid waste.	It was both an instinct and a principle with him to avoid waste.	true	121.25	125.65	22.561388
6683_63841_000005_000002	He did not have the gas turned down low in a temporarily vacated room because he would save two cents by doing so, but because he justly regarded waste as wicked. His example in this particular, in a city so given to careless and ostentatious profusion as New York, was most useful.	He did not have the gas turned down low in a temporarily vacated room because he would save two cents by doing so, but because he justly regarded waste as wicked. His example in this particular, in a city so given to careless and ostentatious profusion as New York, was most useful.	true	126.08	148.81	21.71851
6683_63841_000005_000003	We needed such an example.	We needed such an example.	true	149.15	151.18	21.906769
6683_63841_000005_000004	Nor did he appear to carry this principle to an extreme.	Nor did he appear to carry this principle to an extreme.	true	151.49	155.2	20.695477
6683_63841_000005_000005	He was very far from being miserly, though keenly intent upon accumulation.	He was very far from being miserly, though keenly intent upon accumulation.	true	155.87	161.77	22.574583
6683_63841_000006_000000	In the life of the Old World there is nothing so shocking to a republicanized mind as the awful contrast between the abodes of the poor and the establishments of the rich.	In the life of the Old World there is nothing so shocking to a republicanized mind as the awful contrast between the abodes of the poor and the establishments of the rich.	true	162.53	175.06	23.21287
6683_63841_000006_000001	A magnificent park of a thousand acres of the richest land set apart and walled in for the exclusive use of one family, while all about it are the squalid hovels of the peasants to whom the use of a single acre to a family would be ease and comfort, is the most painful and shameful spectacle upon which the sun looks down this day.	A magnificent park of a thousand acres of the richest land set apart and walled in for the exclusive use of one family, while all about it are the squalid hovels of the peasants to whom the use of a single acre to a family would be ease and comfort, is the most painful and shameful spectacle upon which the sun looks down this day.	true	175.49	201.31	22.37155
6683_63841_000006_000002	Nothing can make it right.	Nothing can make it right.	true	201.83	203.59	24.098223
6683_63841_000006_000003	It is monstrous.	It is monstrous.	true	203.99	205.36	23.104815
6683_63841_000006_000004	It curses _equally_ the few who ride in the park and the many who look over its walls; for the great lord who can submit to be the agent of such injustice is as much its victim as the degraded laborer who drowns the sense of his misery in pot-house beer.	It curses underscore equally underscore the few who ride in the park and the many who look over its walls; for the great lord who can submit to be the agent of such injustice is as much its victim as the degraded laborer who drowns the sense of his misery in pot house beer.	false	205.82	224.89	21.928747
6683_63841_000006_000005	The mere fact that the lord can look upon such a scene and not stir to mend it, is proof positive of a profound vulgarity.	The mere fact that the lord can look upon such a scene and not stir to mend it, is proof positive of a profound vulgarity.	true	225.5	235.36	24.315466
6683_63841_000007_000000	Nor is it lords alone who thus waste the hard earned wealth of the toiling sons of men.	Nor is it lords alone who thus waste the hard earned wealth of the toiling sons of men.	true	236.33	242.68	18
6683_63841_000007_000001	I read some time ago of a wedding in Paris.	I read some time ago of a wedding in Paris.	true	243.35	246.52	20
6683_63841_000007_000002	A thriving banker there, who is styled the Baron Alphonse de Rothschild, having a daughter of seventeen to marry, appears to have set seriously to work to find out how much money a wedding could be made to cost.	A thriving banker there, who is styled the Baron Alphonse de Rothschild, having a daughter of seventeen to marry, appears to have set seriously to work to find out how much money a wedding could be made to cost.	true	246.89	264.31	22.689537
6683_63841_000007_000003	In pursuing this inquiry, he caused the wedding festivals of Louis XIV's court, once so famous, to seem poverty-stricken and threadbare.	In pursuing this inquiry, he caused the wedding festivals of Louis the fourteenth's court, once so famous, to seem poverty stricken and threadbare.	true	264.32	274.99	21.2191
6683_63841_000007_000004	He began by a burst of ostentatious charity.	He began by a burst of ostentatious charity.	true	275.48	278.89	20.631735
6683_63841_000007_000005	He subscribed money for the relief of the victims of recent inundations, and dowered a number of portionless girls; expending in these ways a quarter of a million francs.	He subscribed money for the relief of the victims of recent inundations, and dowered a number of portionless girls; expending in these ways a quarter of a million francs.	true	279.26	291.43	22.895824
6683_63841_000007_000006	He gave his daughter a portion of five millions of francs.	He gave his daughter a portion of five millions of francs.	true	292.04	296.08	22.715546
6683_63841_000007_000007	One of her painted fans cost five thousand francs.	One of her painted fans cost five thousand francs.	true	296.78	300.88	22.63909
6683_63841_000007_000008	He provided such enormous quantities of clothing for her little body, that his house, if it had not been exceedingly large, would not have conveniently held them.	He provided such enormous quantities of clothing for her little body, that his house, if it had not been exceedingly large, would not have conveniently held them.	true	301.55	313.06	22.637213
6683_63841_000007_000009	For the conveyance of the wedding party from the house to the synagogue, he caused twenty-five magnificent carriages to be made, such as monarchs use when they are going to be crowned, and these vehicles were drawn by horses imported from England for the purpose.	For the conveyance of the wedding party from the house to the synagogue, he caused twenty five magnificent carriages to be made, such as monarchs use when they are going to be crowned, and these vehicles were drawn by horses imported from England for the purpose.	true	313.67	331.15	22.205032
6683_63841_000007_000010	The bridal veil was composed of ineffable lace, made from an original design expressly for this bride.	The bridal veil was composed of ineffable lace, made from an original design expressly for this bride.	true	331.61	340.09	22.38566
6683_63841_000008_000000	And then what doings in the synagogue!	And then what doings in the synagogue!	true	341.03	343.87	22.403467
6683_63841_000008_000001	A choir of one hundred and ten trained voices, led by the best conductor in Europe--the first tenor of this generation engaged, who sang the prayer from "Moses in Egypt"--a crowd of rabbis, and assistant-rabbis, with the grand rabbi of Paris at their head.	A choir of one hundred and ten trained voices, led by the best conductor in Europe-the first tenor of this generation engaged, who sang the prayer from "Moses in Egypt"--a crowd of rabbis, and assistant rabbis, with the grand rabbi of Paris at their head.	true	343.97	364.42	21.872927
6683_63841_000008_000002	To complete the histrionic performance, eight young girls, each bearing a beautiful gold-embroidered bag, and attended by a young gentleman, "took up a collection" for the poor, which yielded seven thousand francs.	To complete the histrionic performance, eight young girls, each bearing a beautiful gold embroidered bag, and attended by a young gentleman, "took up a collection" for the poor, which yielded seven thousand francs.	true	364.82	380.95	22.550293
6683_63841_000009_000000	Mr. Astor could, if he had chosen, have thrown his millions about in this style.	mr Astor could, if he had chosen, have thrown his millions about in this style.	true	381.77	387.46	21.06612
6683_63841_000009_000001	He was one of a score or two of men in North America who could have maintained establishments in town and country on the dastardly scale so common among rich people in Europe.	He was one of a score or two of men in North America who could have maintained establishments in town and country on the dastardly scale so common among rich people in Europe.	true	387.92	400.27	23.82038
6683_63841_000009_000002	He, too, could have had his park, his half a dozen mansions, his thirty carriages, his hundred horses and his yacht as big as a man-of-war.	He, too, could have had his park, his half a dozen mansions, his thirty carriages, his hundred horses and his yacht as big as a man of war.	true	400.61	411.16	23.922283
6683_63841_000009_000003	That he was above such atrocious vulgarity as this, was much to his credit and more to our advantage.	That he was above such atrocious vulgarity as this, was much to his credit and more to our advantage.	true	411.59	419.17	21.900486
6683_63841_000009_000004	What he could have done safely, other men would have attempted to whom the attempt would have been destruction.	What he could have done safely, other men would have attempted to whom the attempt would have been destruction.	true	419.69	426.91	22.713524
6683_63841_000009_000005	Some discredit also would have been cast upon those who live in moderate and modest ways.	Some discredit also would have been cast upon those who live in moderate and modest ways.	true	427.46	434.17	21.714695
6683_63841_000010_000000	Every quarter day Mr. Astor had nearly half a million dollars to invest in the industries of the country.	Every quarter day mr Astor had nearly half a million dollars to invest in the industries of the country.	true	435.05	442.21	20.312223
6683_63841_000010_000001	To invest his surplus income in the best and safest manner was the study of his life.	To invest his surplus income in the best and safest manner was the study of his life.	true	442.82	449.8	21.80678
6683_63841_000010_000002	His business was to take care of and increase his estate; and that _being_ his business, he was right in giving the necessary attention to it.	His business was to take care of and increase his estate; and that underscore being underscore his business, he was right in giving the necessary attention to it.	false	449.99	459.46	22.14802
6683_63841_000010_000003	"William will never make money," his father used to say; "but he will take good care of what he has." And so it proved.	"William will never make money," his father used to say; "but he will take good care of what he has." And so it proved.	true	459.92	468.31	21.85171
6683_63841_000010_000004	The consequence was, that all his life he invested money in the way that was at once best for himself and best for the country.	The consequence was, that all his life he invested money in the way that was at once best for himself and best for the country.	true	468.5	478.78	21.105951
6683_63841_000010_000005	No useless or premature scheme had had any encouragement from him.	No useless or premature scheme had had any encouragement from him.	true	479.18	484.36	21.18748
6683_63841_000010_000006	He invariably, and by a certainty of judgment that resembled an instinct, "put his money where it would do most good." Political economists demonstrate that an investment which is the best for the investor must of necessity be the best for the public.	He invariably, and by a certainty of judgment that resembled an instinct, "put his money where it would do most good." Political economists demonstrate that an investment which is the best for the investor must of necessity be the best for the public.	false	484.76	504.13	21.836971
6683_63841_000010_000007	Here, again, we were lucky.	Here, again, we were lucky.	true	504.5	506.2	24.632776
6683_63841_000010_000008	When we wanted houses more than we wanted coal, he built houses for us; and when we wanted coal more than we wanted houses, he set his money to digging coal; charging nothing for his trouble but the mere cost of his subsistence.	When we wanted houses more than we wanted coal, he built houses for us; and when we wanted coal more than we wanted houses, he set his money to digging coal; charging nothing for his trouble but the mere cost of his subsistence.	true	506.54	523.27	21.651197
6683_63841_000011_000000	One fault he had as a public servant--for we may fairly regard in that light a man who wields so large a portion of our common estate.	One fault he had as a public servant-for we may fairly regard in that light a man who wields so large a portion of our common estate.	true	523.7	533.77	22.683992
6683_63841_000011_000001	He was one of the most timid of men.	He was one of the most timid of men.	true	534.26	537.22	22.290808
6683_63841_000011_000002	He was even timorous.	He was even timorous.	true	537.59	539.56	21.75029
6683_63841_000011_000003	His timidity was constitutional and physical.	His timidity was constitutional and physical.	true	539.96	543.61	21
6683_63841_000011_000004	He would take a great deal of trouble to avoid crossing a temporary bridge or scaffolding, though assured by an engineer that it was strong enough to bear ten elephants.	He would take a great deal of trouble to avoid crossing a temporary bridge or scaffolding, though assured by an engineer that it was strong enough to bear ten elephants.	true	544.04	555.01	23.502033
6683_63841_000011_000005	Nor can it be said that he was morally brave.	Nor can it be said that he was morally brave.	true	555.56	558.94	22.327974
6683_63841_000011_000006	Year after year he saw a gang of thieves in the City Hall stealing his revenues under the name of taxes and assessments, but he never led an assault upon them nor gave the aid he ought to those who did.	Year after year he saw a gang of thieves in the City Hall stealing his revenues under the name of taxes and assessments, but he never led an assault upon them nor gave the aid he ought to those who did.	true	559.22	574.15	21.348774
6683_63841_000011_000007	Unless he is grossly belied, he preferred to compromise than fight, and did not always disdain to court the ruffians who plundered him.	Unless he is grossly belied, he preferred to compromise than fight, and did not always disdain to court the ruffians who plundered him.	true	574.64	584.29	22.820707
6683_63841_000012_000000	This was a grave fault.	This was a grave fault.	true	585.08	586.99	25.099155
6683_63841_000012_000001	He who had the most immediate and the most obvious interest in exposing and resisting the scoundrels, ought to have taken the lead in putting them down.	He who had the most immediate and the most obvious interest in exposing and resisting the scoundrels, ought to have taken the lead in putting them down.	true	587.24	597.82	21.704283
6683_63841_000012_000002	This he could not do.	This he could not do.	true	598.19	599.89	22.024784
6683_63841_000012_000003	Nature had denied him the qualities required for such a contest.	Nature had denied him the qualities required for such a contest.	true	600.44	605.26	23.916058
6683_63841_000012_000004	He had his enormous estate, and he had mind enough to take care of it in ordinary ways; but he had nothing more.	He had his enormous estate, and he had mind enough to take care of it in ordinary ways; but he had nothing more.	true	605.69	614.95	22.074303
6683_63841_000012_000005	We must therefore praise him less for the good he did in his life, than for the evil which he refrained from doing.	We must therefore praise him less for the good he did in his life, than for the evil which he refrained from doing.	false	615.29	630.78	22.389938
