6683_63841_000001_000000	WILLIAM B. ASTOR.	WILLIAM b ASTOR.
6683_63841_000006_000001	A magnificent park of a thousand acres of the richest land set apart and walled in for the exclusive use of one family, while all about it are the squalid hovels of the peasants to whom the use of a single acre to a family would be ease and comfort, is the most painful and shameful spectacle upon which the sun looks down this day.	A magnificent park of a thousand acres of the richest land set apart and walled in for the exclusive use of one family, while all about it are the squalid hovels of the peasants to whom the use of a single acre to a family would be ease and comfort, is the most painful and shameful spectacle upon which the sun looks down this day.
6683_63841_000006_000002	Nothing can make it right.	Nothing can make it right.
6683_63841_000006_000003	It is monstrous.	It is monstrous.
6683_63841_000006_000005	The mere fact that the lord can look upon such a scene and not stir to mend it, is proof positive of a profound vulgarity.	The mere fact that the lord can look upon such a scene and not stir to mend it, is proof positive of a profound vulgarity.
6683_63841_000007_000001	I read some time ago of a wedding in Paris.	I read some time ago of a wedding in Paris.
6683_63841_000007_000002	A thriving banker there, who is styled the Baron Alphonse de Rothschild, having a daughter of seventeen to marry, appears to have set seriously to work to find out how much money a wedding could be made to cost.	A thriving banker there, who is styled the Baron Alphonse de Rothschild, having a daughter of seventeen to marry, appears to have set seriously to work to find out how much money a wedding could be made to cost.
6683_63841_000007_000003	In pursuing this inquiry, he caused the wedding festivals of Louis XIV's court, once so famous, to seem poverty-stricken and threadbare.	In pursuing this inquiry, he caused the wedding festivals of Louis the fourteenth's court, once so famous, to seem poverty stricken and threadbare.
6683_63841_000007_000004	He began by a burst of ostentatious charity.	He began by a burst of ostentatious charity.
6683_63841_000007_000005	He subscribed money for the relief of the victims of recent inundations, and dowered a number of portionless girls; expending in these ways a quarter of a million francs.	He subscribed money for the relief of the victims of recent inundations, and dowered a number of portionless girls; expending in these ways a quarter of a million francs.
6683_63841_000007_000006	He gave his daughter a portion of five millions of francs.	He gave his daughter a portion of five millions of francs.
6683_63841_000007_000007	One of her painted fans cost five thousand francs.	One of her painted fans cost five thousand francs.
6683_63841_000007_000008	He provided such enormous quantities of clothing for her little body, that his house, if it had not been exceedingly large, would not have conveniently held them.	He provided such enormous quantities of clothing for her little body, that his house, if it had not been exceedingly large, would not have conveniently held them.
6683_63841_000007_000009	For the conveyance of the wedding party from the house to the synagogue, he caused twenty-five magnificent carriages to be made, such as monarchs use when they are going to be crowned, and these vehicles were drawn by horses imported from England for the purpose.	For the conveyance of the wedding party from the house to the synagogue, he caused twenty five magnificent carriages to be made, such as monarchs use when they are going to be crowned, and these vehicles were drawn by horses imported from England for the purpose.
6683_63841_000007_000010	The bridal veil was composed of ineffable lace, made from an original design expressly for this bride.	The bridal veil was composed of ineffable lace, made from an original design expressly for this bride.
6683_63841_000008_000000	And then what doings in the synagogue!	And then what doings in the synagogue!
6683_63841_000008_000001	A choir of one hundred and ten trained voices, led by the best conductor in Europe--the first tenor of this generation engaged, who sang the prayer from "Moses in Egypt"--a crowd of rabbis, and assistant-rabbis, with the grand rabbi of Paris at their head.	A choir of one hundred and ten trained voices, led by the best conductor in Europe-the first tenor of this generation engaged, who sang the prayer from "Moses in Egypt"--a crowd of rabbis, and assistant rabbis, with the grand rabbi of Paris at their head.
6683_63841_000008_000002	To complete the histrionic performance, eight young girls, each bearing a beautiful gold-embroidered bag, and attended by a young gentleman, "took up a collection" for the poor, which yielded seven thousand francs.	To complete the histrionic performance, eight young girls, each bearing a beautiful gold embroidered bag, and attended by a young gentleman, "took up a collection" for the poor, which yielded seven thousand francs.
6683_63841_000009_000000	Mr. Astor could, if he had chosen, have thrown his millions about in this style.	mr Astor could, if he had chosen, have thrown his millions about in this style.
6683_63841_000009_000001	He was one of a score or two of men in North America who could have maintained establishments in town and country on the dastardly scale so common among rich people in Europe.	He was one of a score or two of men in North America who could have maintained establishments in town and country on the dastardly scale so common among rich people in Europe.
6683_63841_000009_000002	He, too, could have had his park, his half a dozen mansions, his thirty carriages, his hundred horses and his yacht as big as a man-of-war.	He, too, could have had his park, his half a dozen mansions, his thirty carriages, his hundred horses and his yacht as big as a man of war.
6683_63841_000009_000003	That he was above such atrocious vulgarity as this, was much to his credit and more to our advantage.	That he was above such atrocious vulgarity as this, was much to his credit and more to our advantage.
6683_63841_000009_000004	What he could have done safely, other men would have attempted to whom the attempt would have been destruction.	What he could have done safely, other men would have attempted to whom the attempt would have been destruction.
6683_63841_000009_000005	Some discredit also would have been cast upon those who live in moderate and modest ways.	Some discredit also would have been cast upon those who live in moderate and modest ways.
6683_63841_000010_000000	Every quarter day Mr. Astor had nearly half a million dollars to invest in the industries of the country.	Every quarter day mr Astor had nearly half a million dollars to invest in the industries of the country.
6683_63841_000010_000001	To invest his surplus income in the best and safest manner was the study of his life.	To invest his surplus income in the best and safest manner was the study of his life.
6683_63841_000010_000003	"William will never make money," his father used to say; "but he will take good care of what he has." And so it proved.	"William will never make money," his father used to say; "but he will take good care of what he has." And so it proved.
6683_63841_000010_000004	The consequence was, that all his life he invested money in the way that was at once best for himself and best for the country.	The consequence was, that all his life he invested money in the way that was at once best for himself and best for the country.
6683_63841_000010_000005	No useless or premature scheme had had any encouragement from him.	No useless or premature scheme had had any encouragement from him.
6683_63841_000010_000007	Here, again, we were lucky.	Here, again, we were lucky.
6683_63841_000010_000008	When we wanted houses more than we wanted coal, he built houses for us; and when we wanted coal more than we wanted houses, he set his money to digging coal; charging nothing for his trouble but the mere cost of his subsistence.	When we wanted houses more than we wanted coal, he built houses for us; and when we wanted coal more than we wanted houses, he set his money to digging coal; charging nothing for his trouble but the mere cost of his subsistence.
6683_63841_000011_000000	One fault he had as a public servant--for we may fairly regard in that light a man who wields so large a portion of our common estate.	One fault he had as a public servant-for we may fairly regard in that light a man who wields so large a portion of our common estate.
6683_63841_000011_000001	He was one of the most timid of men.	He was one of the most timid of men.
6683_63841_000011_000002	He was even timorous.	He was even timorous.
6683_63841_000011_000003	His timidity was constitutional and physical.	His timidity was constitutional and physical.
6683_63841_000011_000004	He would take a great deal of trouble to avoid crossing a temporary bridge or scaffolding, though assured by an engineer that it was strong enough to bear ten elephants.	He would take a great deal of trouble to avoid crossing a temporary bridge or scaffolding, though assured by an engineer that it was strong enough to bear ten elephants.
6683_63841_000011_000005	Nor can it be said that he was morally brave.	Nor can it be said that he was morally brave.
6683_63841_000011_000006	Year after year he saw a gang of thieves in the City Hall stealing his revenues under the name of taxes and assessments, but he never led an assault upon them nor gave the aid he ought to those who did.	Year after year he saw a gang of thieves in the City Hall stealing his revenues under the name of taxes and assessments, but he never led an assault upon them nor gave the aid he ought to those who did.
6683_63841_000011_000007	Unless he is grossly belied, he preferred to compromise than fight, and did not always disdain to court the ruffians who plundered him.	Unless he is grossly belied, he preferred to compromise than fight, and did not always disdain to court the ruffians who plundered him.
6683_63841_000012_000000	This was a grave fault.	This was a grave fault.
6683_63841_000012_000001	He who had the most immediate and the most obvious interest in exposing and resisting the scoundrels, ought to have taken the lead in putting them down.	He who had the most immediate and the most obvious interest in exposing and resisting the scoundrels, ought to have taken the lead in putting them down.
6683_63841_000012_000002	This he could not do.	This he could not do.
6683_63841_000012_000003	Nature had denied him the qualities required for such a contest.	Nature had denied him the qualities required for such a contest.
6683_63841_000012_000004	He had his enormous estate, and he had mind enough to take care of it in ordinary ways; but he had nothing more.	He had his enormous estate, and he had mind enough to take care of it in ordinary ways; but he had nothing more.
