7957_39967_000000_000000	Summary.	Summary.	false	0	0.06	-20
7957_39967_000002_000002	To say that education is a social function, securing direction and development in the immature through their participation in the life of the group to which they belong, is to say in effect that education will vary with the quality of life which prevails in a group.	To say that education is a social function, securing direction and development in the immature through their participation in the life of the group to which they belong, is to say in effect that education will vary with the quality of life which prevails in a group.	true	46.4	60.73	16
7957_39967_000002_000003	Particularly is it true that a society which not only changes but-which has the ideal of such change as will improve it, will have different standards and methods of education from one which aims simply at the perpetuation of its own customs.	Particularly is it true that a society which not only changes but which has the ideal of such change as will improve it, will have different standards and methods of education from one which aims simply at the perpetuation of its own customs.	false	61.01	75.49	17
7957_39967_000002_000004	To make the general ideas set forth applicable to our own educational practice, it is, therefore, necessary to come to closer quarters with the nature of present social life.	To make the general ideas set forth applicable to our own educational practice, it is, therefore, necessary to come to closer quarters with the nature of present social life.	true	75.83	86.8	20
7957_39967_000003_000000	1.	one.	true	87.95	88.63	23.185877
7957_39967_000003_000001	The Implications of Human Association.	The Implications of Human Association.	true	89.36	91.9	18.840416
7957_39967_000003_000002	Society is one word, but many things.	Society is one word, but many things.	true	92.54	95.32	19.283379
7957_39967_000003_000003	Men associate together in all kinds of ways and for all kinds of purposes.	Men associate together in all kinds of ways and for all kinds of purposes.	true	95.45	100	16
7957_39967_000003_000004	One man is concerned in a multitude of diverse groups, in which his associates may be quite different.	One man is concerned in a multitude of diverse groups, in which his associates may be quite different.	true	100.31	106.09	19.988695
7957_39967_000003_000005	It often seems as if they had nothing in common except that they are modes of associated life. Within every larger social organization there are numerous minor groups: not only political subdivisions, but industrial, scientific, religious, associations.	It often seems as if they had nothing in common except that they are modes of associated life. Within every larger social organization there are numerous minor groups: not only political subdivisions, but industrial, scientific, religious, associations.	true	106.43	122.08	18.27071
7957_39967_000003_000006	There are political parties with differing aims, social sets, cliques, gangs, corporations, partnerships, groups bound closely together by ties of blood, and so on in endless variety.	There are political parties with differing aims, social sets, cliques, gangs, corporations, partnerships, groups bound closely together by ties of blood, and so on in endless variety.	true	122.42	134.95	19.75053
7957_39967_000003_000007	In many modern states and in some ancient, there is great diversity of populations, of varying languages, religions, moral codes, and traditions.	In many modern states and in some ancient, there is great diversity of populations, of varying languages, religions, moral codes, and traditions.	true	135.32	144.85	19.572315
7957_39967_000003_000008	From this standpoint, many a minor political unit, one of our large cities, for example, is a congeries of loosely associated societies, rather than an inclusive and permeating community of action and thought. (See ante, p. 20.)	From this standpoint, many a minor political unit, one of our large cities, for example, is a congeries of loosely associated societies, rather than an inclusive and permeating community of action and thought. (See ante, p. twenty.)	false	145.19	159.51	19.109226
7957_39967_000004_000000	The terms society, community, are thus ambiguous.	The terms society, community, are thus ambiguous.	true	159.51	163.21	18.99421
7957_39967_000004_000001	They have both a eulogistic or normative sense, and a descriptive sense; a meaning de jure and a meaning de facto.	They have both a eulogistic or normative sense, and a descriptive sense; a meaning de jure and a meaning de facto.	false	163.49	171.67	20.66988
7957_39967_000004_000002	In social philosophy, the former connotation is almost always uppermost.	In social philosophy, the former connotation is almost always uppermost.	true	171.98	176.89	20
7957_39967_000004_000003	Society is conceived as one by its very nature.	Society is conceived as one by its very nature.	true	177.14	180.49	17
7957_39967_000004_000004	The qualities which accompany this unity, praiseworthy community of purpose and welfare, loyalty to public ends, mutuality of sympathy, are emphasized.	The qualities which accompany this unity, praiseworthy community of purpose and welfare, loyalty to public ends, mutuality of sympathy, are emphasized.	true	180.71	190.39	20.623693
7957_39967_000004_000005	But when we look at the facts which the term denotes instead of confining our attention to its intrinsic connotation, we find not unity, but a plurality of societies, good and bad.	But when we look at the facts which the term denotes instead of confining our attention to its intrinsic connotation, we find not unity, but a plurality of societies, good and bad.	true	191.12	202.09	17
7957_39967_000004_000006	Men banded together in a criminal conspiracy, business aggregations that prey upon the public while serving it, political machines held together by the interest of plunder, are included.	Men banded together in a criminal conspiracy, business aggregations that prey upon the public while serving it, political machines held together by the interest of plunder, are included.	true	202.61	213.61	19
7957_39967_000004_000007	If it is said that such organizations are not societies because they do not meet the ideal requirements of the notion of society, the answer, in part, is that the conception of society is then made so "ideal" as to be of no use, having no reference to facts; and in part, that each of these organizations, no matter how opposed to the interests of other groups, has something of the praiseworthy qualities of "Society" which hold it together.	If it is said that such organizations are not societies because they do not meet the ideal requirements of the notion of society, the answer, in part, is that the conception of society is then made so "ideal" as to be of no use, having no reference to facts; and in part, that each of these organizations, no matter how opposed to the interests of other groups, has something of the praiseworthy qualities of "Society" which hold it together.	true	213.98	240.34	18
7957_39967_000004_000008	There is honor among thieves, and a band of robbers has a common interest as respects its members.	There is honor among thieves, and a band of robbers has a common interest as respects its members.	true	240.71	246.49	19.715866
7957_39967_000004_000009	Gangs are marked by fraternal feeling, and narrow cliques by intense loyalty to their own codes.	Gangs are marked by fraternal feeling, and narrow cliques by intense loyalty to their own codes.	true	247.01	253.63	22.475334
7957_39967_000004_000010	Family life may be marked by exclusiveness, suspicion, and jealousy as to those without, and yet be a model of amity and mutual aid within.	Family life may be marked by exclusiveness, suspicion, and jealousy as to those without, and yet be a model of amity and mutual aid within.	true	253.97	263.08	19
7957_39967_000004_000011	Any education given by a group tends to socialize its members, but the quality and value of the socialization depends upon the habits and aims of the group.	Any education given by a group tends to socialize its members, but the quality and value of the socialization depends upon the habits and aims of the group.	true	263.63	273.46	18
7957_39967_000004_000012	Hence, once more, the need of a measure for the worth of any given mode of social life.	Hence, once more, the need of a measure for the worth of any given mode of social life.	true	273.59	278.65	20.383274
7957_39967_000004_000013	In seeking this measure, we have to avoid two extremes.	In seeking this measure, we have to avoid two extremes.	true	278.96	282.49	20.720339
7957_39967_000004_000014	We cannot set up, out of our heads, something we regard as an ideal society.	We cannot set up, out of our heads, something we regard as an ideal society.	true	282.71	287.35	19.25119
7957_39967_000004_000015	We must base our conception upon societies which actually exist, in order to have any assurance that our ideal is a practicable one.	We must base our conception upon societies which actually exist, in order to have any assurance that our ideal is a practicable one.	true	287.75	295.42	17.819614
7957_39967_000004_000016	But, as we have just seen, the ideal cannot simply repeat the traits which are actually found.	But, as we have just seen, the ideal cannot simply repeat the traits which are actually found.	true	295.82	301.42	21.622992
7957_39967_000004_000017	The problem is to extract the desirable traits of forms of community life which actually exist, and employ them to criticize undesirable features and suggest improvement.	The problem is to extract the desirable traits of forms of community life which actually exist, and employ them to criticize undesirable features and suggest improvement.	true	301.73	311.44	17
7957_39967_000004_000018	Now in any social group whatever, even in a gang of thieves, we find some interest held in common, and we find a certain amount of interaction and cooperative intercourse with other groups.	Now in any social group whatever, even in a gang of thieves, we find some interest held in common, and we find a certain amount of interaction and cooperative intercourse with other groups.	true	312.38	323.11	19
7957_39967_000004_000019	From these two traits we derive our standard.	From these two traits we derive our standard.	true	323.51	326.32	19.966019
7957_39967_000004_000020	How numerous and varied are the interests which are consciously shared?	How numerous and varied are the interests which are consciously shared?	true	326.81	330.52	19.49202
7957_39967_000004_000021	How full and free is the interplay with other forms of association?	How full and free is the interplay with other forms of association?	true	330.74	334.99	17
7957_39967_000004_000022	If we apply these considerations to, say, a criminal band, we find that the ties which consciously hold the members together are few in number, reducible almost to a common interest in plunder; and that they are of such a nature as to isolate the group from other groups with respect to give and take of the values of life.	If we apply these considerations to, say, a criminal band, we find that the ties which consciously hold the members together are few in number, reducible almost to a common interest in plunder; and that they are of such a nature as to isolate the group from other groups with respect to give and take of the values of life.	true	335.45	354.76	19.686127
7957_39967_000004_000023	Hence, the education such a society gives is partial and distorted.	Hence, the education such a society gives is partial and distorted.	true	355.07	359.92	19.495892
7957_39967_000004_000024	If we take, on the other hand, the kind of family life which illustrates the standard, we find that there are material, intellectual, aesthetic interests in which all participate and that the progress of one member has worth for the experience of other members--it is readily communicable--and that the family is not an isolated whole, but enters intimately into relationships with business groups, with schools, with all the agencies of culture, as well as with other similar groups, and that it plays a due part in the political organization and in return receives support from it.	If we take, on the other hand, the kind of family life which illustrates the standard, we find that there are material, intellectual, aesthetic interests in which all participate and that the progress of one member has worth for the experience of other members-it is readily communicable-and that the family is not an isolated whole, but enters intimately into relationships with business groups, with schools, with all the agencies of culture, as well as with other similar groups, and that it plays a due part in the political organization and in return receives support from it.	true	360.2	393.64	19
7957_39967_000004_000025	In short, there are many interests consciously communicated and shared; and there are varied and free points of contact with other modes of association.	In short, there are many interests consciously communicated and shared; and there are varied and free points of contact with other modes of association.	false	394.22	404.88	19.849863
7957_39967_000005_000000	I. Let us apply the first element in this criterion to a despotically governed state.	I. Let us apply the first element in this criterion to a despotically governed state.	false	404.88	411.55	19.61441
7957_39967_000005_000001	It is not true there is no common interest in such an organization between governed and governors.	It is not true there is no common interest in such an organization between governed and governors.	true	412.04	417.49	13
7957_39967_000005_000002	The authorities in command must make some appeal to the native activities of the subjects, must call some of their powers into play.	The authorities in command must make some appeal to the native activities of the subjects, must call some of their powers into play.	true	417.83	425.26	18.936201
7957_39967_000005_000003	Talleyrand said that a government could do everything with bayonets except sit on them.	Talleyrand said that a government could do everything with bayonets except sit on them.	true	425.87	430.57	19.846188
7957_39967_000005_000004	This cynical declaration is at least a recognition that the bond of union is not merely one of coercive force.	This cynical declaration is at least a recognition that the bond of union is not merely one of coercive force.	true	430.88	437.41	15
7957_39967_000005_000005	It may be said, however, that the activities appealed to are themselves unworthy and degrading--that such a government calls into functioning activity simply capacity for fear. In a way, this statement is true.	It may be said, however, that the activities appealed to are themselves unworthy and degrading-that such a government calls into functioning activity simply capacity for fear. In a way, this statement is true.	true	437.63	450.4	19.877949
7957_39967_000005_000006	But it overlooks the fact that fear need not be an undesirable factor in experience.	But it overlooks the fact that fear need not be an undesirable factor in experience.	true	450.71	456.22	18
7957_39967_000005_000007	Caution, circumspection, prudence, desire to foresee future events so as to avert what is harmful, these desirable traits are as much a product of calling the impulse of fear into play as is cowardice and abject submission.	Caution, circumspection, prudence, desire to foresee future events so as to avert what is harmful, these desirable traits are as much a product of calling the impulse of fear into play as is cowardice and abject submission.	true	456.74	470.74	21.599949
7957_39967_000005_000008	The real difficulty is that the appeal to fear is isolated.	The real difficulty is that the appeal to fear is isolated.	true	471.23	474.88	21.717062
7957_39967_000005_000009	In evoking dread and hope of specific tangible reward--say comfort and ease--many other capacities are left untouched.	In evoking dread and hope of specific tangible reward-say comfort and ease-many other capacities are left untouched.	true	475.16	483.22	20.467152
7957_39967_000005_000010	Or rather, they are affected, but in such a way as to pervert them.	Or rather, they are affected, but in such a way as to pervert them.	true	483.38	487.57	22.32195
7957_39967_000005_000011	Instead of operating on their own account they are reduced to mere servants of attaining pleasure and avoiding pain.	Instead of operating on their own account they are reduced to mere servants of attaining pleasure and avoiding pain.	true	487.7	494.17	20
7957_39967_000006_000000	This is equivalent to saying that there is no extensive number of common interests; there is no free play back and forth among the members of the social group.	This is equivalent to saying that there is no extensive number of common interests; there is no free play back and forth among the members of the social group.	true	494.87	503.05	19
7957_39967_000006_000001	Stimulation and response are exceedingly one-sided.	Stimulation and response are exceedingly one sided.	true	503.24	506.65	19.67187
7957_39967_000006_000002	In order to have a large number of values in common, all the members of the group must have an equable opportunity to receive and to take from others.	In order to have a large number of values in common, all the members of the group must have an equable opportunity to receive and to take from others.	true	507.11	515.2	17
7957_39967_000006_000003	There must be a large variety of shared undertakings and experiences.	There must be a large variety of shared undertakings and experiences.	true	515.42	519.91	19
7957_39967_000006_000004	Otherwise, the influences which educate some into masters, educate others into slaves.	Otherwise, the influences which educate some into masters, educate others into slaves.	true	520.13	525.97	19.910284
7957_39967_000006_000005	And the experience of each party loses in meaning, when the free interchange of varying modes of life-experience is arrested.	And the experience of each party loses in meaning, when the free interchange of varying modes of life experience is arrested.	true	526.25	533.5	19
7957_39967_000006_000006	A separation into a privileged and a subject-class prevents social endosmosis.	A separation into a privileged and a subject class prevents social endosmosis.	true	533.72	539.02	18
7957_39967_000006_000007	The evils thereby affecting the superior class are less material and less perceptible, but equally real.	The evils thereby affecting the superior class are less material and less perceptible, but equally real.	true	539.45	546.19	20.930805
7957_39967_000006_000008	Their culture tends to be sterile, to be turned back to feed on itself; their art becomes a showy display and artificial; their wealth luxurious; their knowledge overspecialized; their manners fastidious rather than humane.	Their culture tends to be sterile, to be turned back to feed on itself; their art becomes a showy display and artificial; their wealth luxurious; their knowledge overspecialized; their manners fastidious rather than humane.	true	546.41	560.59	20.57864
7957_39967_000007_000000	Lack of the free and equitable intercourse which springs from a variety of shared interests makes intellectual stimulation unbalanced.	Lack of the free and equitable intercourse which springs from a variety of shared interests makes intellectual stimulation unbalanced.	false	561.86	569.38	17
7957_39967_000007_000001	Diversity of stimulation means novelty, and novelty means challenge to thought. The more activity is restricted to a few definite lines--as it is when there are rigid class lines preventing adequate interplay of experiences--the more action tends to become routine on the part of the class at a disadvantage, and capricious, aimless, and explosive on the part of the class having the materially fortunate position.	Diversity of stimulation means novelty, and novelty means challenge to thought. The more activity is restricted to a few definite lines-as it is when there are rigid class lines preventing adequate interplay of experiences-the more action tends to become routine on the part of the class at a disadvantage, and capricious, aimless, and explosive on the part of the class having the materially fortunate position.	true	569.96	593.29	19.763166
7957_39967_000007_000002	Plato defined a slave as one who accepts from another the purposes which control his conduct.	Plato defined a slave as one who accepts from another the purposes which control his conduct.	true	593.96	599.41	19
7957_39967_000007_000003	This condition obtains even where there is no slavery in the legal sense.	This condition obtains even where there is no slavery in the legal sense.	true	599.72	604.12	18
7957_39967_000007_000004	It is found wherever men are engaged in activity which is socially serviceable, but whose service they do not understand and have no personal interest in.	It is found wherever men are engaged in activity which is socially serviceable, but whose service they do not understand and have no personal interest in.	true	604.67	612.88	16
7957_39967_000007_000005	Much is said about scientific management of work.	Much is said about scientific management of work.	true	613.37	616.15	19.286928
7957_39967_000007_000006	It is a narrow view which restricts the science which secures efficiency of operation to movements of the muscles.	It is a narrow view which restricts the science which secures efficiency of operation to movements of the muscles.	true	616.46	622.99	18
7957_39967_000007_000007	The chief opportunity for science is the discovery of the relations of a man to his work--including his relations to others who take part--which will enlist his intelligent interest in what he is doing.	The chief opportunity for science is the discovery of the relations of a man to his work-including his relations to others who take part-which will enlist his intelligent interest in what he is doing.	true	623.39	634.12	18.855396
7957_39967_000007_000008	Efficiency in production often demands division of labor.	Efficiency in production often demands division of labor.	true	634.58	638.11	19
7957_39967_000007_000009	But it is reduced to a mechanical routine unless workers see the technical, intellectual, and social relationships involved in what they do, and engage in their work because of the motivation furnished by such perceptions.	But it is reduced to a mechanical routine unless workers see the technical, intellectual, and social relationships involved in what they do, and engage in their work because of the motivation furnished by such perceptions.	true	638.21	650.77	16
7957_39967_000007_000010	The tendency to reduce such things as efficiency of activity and scientific management to purely technical externals is evidence of the one-sided stimulation of thought given to those in control of industry--those who supply its aims.	The tendency to reduce such things as efficiency of activity and scientific management to purely technical externals is evidence of the one sided stimulation of thought given to those in control of industry-those who supply its aims.	true	651.2	665.17	18
7957_39967_000007_000011	Because of their lack of all-round and well-balanced social interest, there is not sufficient stimulus for attention to the human factors and relationships in industry.	Because of their lack of all round and well balanced social interest, there is not sufficient stimulus for attention to the human factors and relationships in industry.	true	665.69	674.95	17
7957_39967_000007_000012	Intelligence is narrowed to the factors concerned with technical production and marketing of goods.	Intelligence is narrowed to the factors concerned with technical production and marketing of goods.	true	675.29	680.74	21
7957_39967_000007_000013	No doubt, a very acute and intense intelligence in these narrow lines can be developed, but the failure to take into account the significant social factors means none the less an absence of mind, and a corresponding distortion of emotional life.	No doubt, a very acute and intense intelligence in these narrow lines can be developed, but the failure to take into account the significant social factors means none the less an absence of mind, and a corresponding distortion of emotional life.	false	681.47	697.59	19.907938
7957_39967_000007_000014	II.	two.	false	697.59	701.64	20.12
7957_39967_000007_000015	This illustration (whose point is to be extended to all associations lacking reciprocity of interest) brings us to our second point.	This illustration (whose point is to be extended to all associations lacking reciprocity of interest) brings us to our second point.	true	701.64	709.72	19
7957_39967_000007_000016	The isolation and exclusiveness of a gang or clique brings its antisocial spirit into relief.	The isolation and exclusiveness of a gang or clique brings its antisocial spirit into relief.	false	710.18	716.35	20.310598
7957_39967_000007_000017	But this same spirit is found wherever one group has interests "of its own" which shut it out from full interaction with other groups, so that its prevailing purpose is the protection of what it has got, instead of reorganization and progress through wider relationships.	But this same spirit is found wherever one group has interests "of its own" which shut it out from full interaction with other groups, so that its prevailing purpose is the protection of what it has got, instead of reorganization and progress through wider relationships.	false	716.69	732.64	19
7957_39967_000007_000018	It marks nations in their isolation from one another; families which seclude their domestic concerns as if they had no connection with a larger life; schools when separated from the interest of home and community; the divisions of rich and poor; learned and unlearned.	It marks nations in their isolation from one another; families which seclude their domestic concerns as if they had no connection with a larger life; schools when separated from the interest of home and community; the divisions of rich and poor; learned and unlearned.	true	732.95	748.69	19.31183
7957_39967_000007_000019	The essential point is that isolation makes for rigidity and formal institutionalizing of life, for static and selfish ideals within the group.	The essential point is that isolation makes for rigidity and formal institutionalizing of life, for static and selfish ideals within the group.	true	749.24	757.63	18
7957_39967_000007_000020	That savage tribes regard aliens and enemies as synonymous is not accidental.	That savage tribes regard aliens and enemies as synonymous is not accidental.	true	757.79	762.91	16
7957_39967_000007_000021	It springs from the fact that they have identified their experience with rigid adherence to their past customs. On such a basis it is wholly logical to fear intercourse with others, for such contact might dissolve custom.	It springs from the fact that they have identified their experience with rigid adherence to their past customs. On such a basis it is wholly logical to fear intercourse with others, for such contact might dissolve custom.	true	763.07	776.2	20.67661
7957_39967_000007_000022	It would certainly occasion reconstruction.	It would certainly occasion reconstruction.	true	776.54	779.02	20.929678
7957_39967_000007_000023	It is a commonplace that an alert and expanding mental life depends upon an enlarging range of contact with the physical environment.	It is a commonplace that an alert and expanding mental life depends upon an enlarging range of contact with the physical environment.	true	779.33	787.69	17
7957_39967_000007_000024	But the principle applies even more significantly to the field where we are apt to ignore it--the sphere of social contacts. Every expansive era in the history of mankind has coincided with the operation of factors which have tended to eliminate distance between peoples and classes previously hemmed off from one another.	But the principle applies even more significantly to the field where we are apt to ignore it-the sphere of social contacts. Every expansive era in the history of mankind has coincided with the operation of factors which have tended to eliminate distance between peoples and classes previously hemmed off from one another.	false	788.03	806.65	19
7957_39967_000007_000025	Even the alleged benefits of war, so far as more than alleged, spring from the fact that conflict of peoples at least enforces intercourse between them and thus accidentally enables them to learn from one another, and thereby to expand their horizons.	Even the alleged benefits of war, so far as more than alleged, spring from the fact that conflict of peoples at least enforces intercourse between them and thus accidentally enables them to learn from one another, and thereby to expand their horizons.	true	807.14	821.83	19
7957_39967_000007_000026	Travel, economic and commercial tendencies, have at present gone far to break down external barriers; to bring peoples and classes into closer and more perceptible connection with one another.	Travel, economic and commercial tendencies, have at present gone far to break down external barriers; to bring peoples and classes into closer and more perceptible connection with one another.	true	822.02	833.38	20.168629
7957_39967_000007_000027	It remains for the most part to secure the intellectual and emotional significance of this physical annihilation of space.	It remains for the most part to secure the intellectual and emotional significance of this physical annihilation of space.	true	833.75	840.72	15
7957_39967_000008_000000	2.	two.	false	840.72	844.2	14.395973
7957_39967_000008_000001	The Democratic Ideal.	The Democratic Ideal.	true	844.2	845.77	22.195623
7957_39967_000008_000002	The two elements in our criterion both point to democracy.	The two elements in our criterion both point to democracy.	true	846.44	850.18	21.677917
7957_39967_000008_000003	The first signifies not only more numerous and more varied points of shared common interest, but greater reliance upon the recognition of mutual interests as a factor in social control.	The first signifies not only more numerous and more varied points of shared common interest, but greater reliance upon the recognition of mutual interests as a factor in social control.	true	850.46	861.19	17
7957_39967_000008_000004	The second means not only freer interaction between social groups (once isolated so far as intention could keep up a separation) but change in social habit--its continuous readjustment through meeting the new situations produced by varied intercourse.	The second means not only freer interaction between social groups (once isolated so far as intention could keep up a separation) but change in social habit-its continuous readjustment through meeting the new situations produced by varied intercourse.	true	861.59	876.91	19
7957_39967_000008_000005	And these two traits are precisely what characterize the democratically constituted society.	And these two traits are precisely what characterize the democratically constituted society.	true	877.25	882.49	20.572033
7957_39967_000009_000000	Upon the educational side, we note first that the realization of a form of social life in which interests are mutually interpenetrating, and where progress, or readjustment, is an important consideration, makes a democratic community more interested than other communities have cause to be in deliberate and systematic education.	Upon the educational side, we note first that the realization of a form of social life in which interests are mutually interpenetrating, and where progress, or readjustment, is an important consideration, makes a democratic community more interested than other communities have cause to be in deliberate and systematic education.	true	882.98	902.5	17
7957_39967_000009_000001	The devotion of democracy to education is a familiar fact.	The devotion of democracy to education is a familiar fact.	true	902.9	906.55	20
7957_39967_000009_000002	The superficial explanation is that a government resting upon popular suffrage cannot be successful unless those who elect and who obey their governors are educated.	The superficial explanation is that a government resting upon popular suffrage cannot be successful unless those who elect and who obey their governors are educated.	true	906.83	916.39	18
7957_39967_000009_000003	Since a democratic society repudiates the principle of external authority, it must find a substitute in voluntary disposition and interest; these can be created only by education.	Since a democratic society repudiates the principle of external authority, it must find a substitute in voluntary disposition and interest; these can be created only by education.	true	916.73	927.67	20
7957_39967_000009_000004	But there is a deeper explanation.	But there is a deeper explanation.	true	927.83	929.86	20.324656
7957_39967_000009_000005	A democracy is more than a form of government; it is primarily a mode of associated living, of conjoint communicated experience.	A democracy is more than a form of government; it is primarily a mode of associated living, of conjoint communicated experience.	true	929.99	937.84	19.627428
7957_39967_000009_000006	The extension in space of the number of individuals who participate in an interest so that each has to refer his own action to that of others, and to consider the action of others to give point and direction to his own, is equivalent to the breaking down of those barriers of class, race, and national territory which kept men from perceiving the full import of their activity.	The extension in space of the number of individuals who participate in an interest so that each has to refer his own action to that of others, and to consider the action of others to give point and direction to his own, is equivalent to the breaking down of those barriers of class, race, and national territory which kept men from perceiving the full import of their activity.	true	938.06	958.81	15
7957_39967_000009_000007	These more numerous and more varied points of contact denote a greater diversity of stimuli to which an individual has to respond; they consequently put a premium on variation in his action. They secure a liberation of powers which remain suppressed as long as the incitations to action are partial, as they must be in a group which in its exclusiveness shuts out many interests.	These more numerous and more varied points of contact denote a greater diversity of stimuli to which an individual has to respond; they consequently put a premium on variation in his action. They secure a liberation of powers which remain suppressed as long as the incitations to action are partial, as they must be in a group which in its exclusiveness shuts out many interests.	true	959.75	981.76	19
7957_39967_000010_000000	The widening of the area of shared concerns, and the liberation of a greater diversity of personal capacities which characterize a democracy, are not of course the product of deliberation and conscious effort. On the contrary, they were caused by the development of modes of manufacture and commerce, travel, migration, and intercommunication which flowed from the command of science over natural energy.	The widening of the area of shared concerns, and the liberation of a greater diversity of personal capacities which characterize a democracy, are not of course the product of deliberation and conscious effort. On the contrary, they were caused by the development of modes of manufacture and commerce, travel, migration, and intercommunication which flowed from the command of science over natural energy.	true	983.03	1005.91	17
7957_39967_000010_000001	But after greater individualization on one hand, and a broader community of interest on the other have come into existence, it is a matter of deliberate effort to sustain and extend them.	But after greater individualization on one hand, and a broader community of interest on the other have come into existence, it is a matter of deliberate effort to sustain and extend them.	true	1006.19	1016.35	17
7957_39967_000010_000002	Obviously a society to which stratification into separate classes would be fatal, must see to it that intellectual opportunities are accessible to all on equable and easy terms.	Obviously a society to which stratification into separate classes would be fatal, must see to it that intellectual opportunities are accessible to all on equable and easy terms.	false	1016.66	1027.81	18
7957_39967_000010_000003	A society marked off into classes need he specially attentive only to the education of its ruling elements.	A society marked off into classes need he specially attentive only to the education of its ruling elements.	false	1028.27	1034.38	16
7957_39967_000010_000004	A society which is mobile, which is full of channels for the distribution of a change occurring anywhere, must see to it that its members are educated to personal initiative and adaptability.	A society which is mobile, which is full of channels for the distribution of a change occurring anywhere, must see to it that its members are educated to personal initiative and adaptability.	true	1034.72	1045.18	14
7957_39967_000010_000005	Otherwise, they will be overwhelmed by the changes in which they are caught and whose significance or connections they do not perceive.	Otherwise, they will be overwhelmed by the changes in which they are caught and whose significance or connections they do not perceive.	true	1045.52	1052.77	19
7957_39967_000010_000006	The result will be a confusion in which a few will appropriate to themselves the results of the blind and externally directed activities of others.	The result will be a confusion in which a few will appropriate to themselves the results of the blind and externally directed activities of others.	true	1052.87	1062.37	19.207151
7957_39967_000011_000000	3.	three.	true	1062.68	1063.93	22.041397
7957_39967_000011_000001	The Platonic Educational Philosophy.	The Platonic Educational Philosophy.	true	1063.93	1066.3	21.242939
7957_39967_000011_000002	Subsequent chapters will be devoted to making explicit the implications of the democratic ideas in education.	Subsequent chapters will be devoted to making explicit the implications of the democratic ideas in education.	true	1067	1073.23	17
7957_39967_000011_000003	In the remaining portions of this chapter, we shall consider the educational theories which have been evolved in three epochs when the social import of education was especially conspicuous.	In the remaining portions of this chapter, we shall consider the educational theories which have been evolved in three epochs when the social import of education was especially conspicuous.	true	1073.63	1084.3	17
7957_39967_000011_000004	The first one to be considered is that of Plato.	The first one to be considered is that of Plato.	true	1085.03	1087.66	20.861536
