56_1731_000000_000000	"It's that idiotic smile that's to blame for it all," thought Stepan Arkadyevitch.	"It's that idiotic smile that's to blame for it all," thought Stepan Arkadyevitch.	false	0	4.29	21.820963
56_1731_000013_000000	"Matvey, my sister Anna Arkadyevna will be here tomorrow," he said, checking for a minute the sleek, plump hand of the barber, cutting a pink path through his long, curly whiskers.	"Matvey, my sister Anna Arkadyevna will be here tomorrow," he said, checking for a minute the sleek, plump hand of the barber, cutting a pink path through his long, curly whiskers.	false	235.58	245.38	22.890556
56_1731_000014_000000	"Thank God!" said Matvey, showing by this response that he, like his master, realized the significance of this arrival--that is, that Anna Arkadyevna, the sister he was so fond of, might bring about a reconciliation between husband and wife.	"Thank God!" said Matvey, showing by this response that he, like his master, realized the significance of this arrival-that is, that Anna Arkadyevna, the sister he was so fond of, might bring about a reconciliation between husband and wife.	false	245.72	260.98	21.89475
56_1731_000015_000000	"Alone, or with her husband?" inquired Matvey.	"Alone, or with her husband?" inquired Matvey.	true	261.47	263.98	23.508213
56_1731_000016_000000	Stepan Arkadyevitch could not answer, as the barber was at work on his upper lip, and he raised one finger.	Stepan Arkadyevitch could not answer, as the barber was at work on his upper lip, and he raised one finger.	true	264.44	270.07	22.010061
56_1731_000016_000001	Matvey nodded at the looking-glass.	Matvey nodded at the looking glass.	true	270.23	272.17	23.973747
56_1731_000017_000000	"Alone.	"Alone.	true	272.3	273.13	22.268341
56_1731_000017_000001	Is the room to be got ready upstairs?"	Is the room to be got ready upstairs?"	true	273.26	275.2	23
56_1731_000018_000000	"Inform Darya Alexandrovna: where she orders."	"Inform Darya Alexandrovna: where she orders."	true	275.84	278.86	22.744183
56_1731_000019_000000	"Darya Alexandrovna?" Matvey repeated, as though in doubt.	"Darya Alexandrovna?" Matvey repeated, as though in doubt.	true	279.5	283.24	21.507057
56_1731_000020_000000	"Yes, inform her.	"Yes, inform her.	true	283.4	284.625	21.399097
56_1731_000020_000001	Here, take the telegram; give it to her, and then do what she tells you."	Here, take the telegram; give it to her, and then do what she tells you."	true	284.625	287.89	24.020124
56_1731_000021_000000	"You want to try it on," Matvey understood, but he only said, "Yes sir."	"You want to try it on," Matvey understood, but he only said, "Yes sir."	true	288.68	292.75	20.450903
56_1731_000022_000000	Stepan Arkadyevitch was already washed and combed and ready to be dressed, when Matvey, stepping deliberately in his creaky boots, came back into the room with the telegram in his hand.	Stepan Arkadyevitch was already washed and combed and ready to be dressed, when Matvey, stepping deliberately in his creaky boots, came back into the room with the telegram in his hand.	false	293.63	303.97	21
56_1731_000022_000001	The barber had gone.	The barber had gone.	true	304.19	305.47	23.367975
56_1731_000023_000000	"Darya Alexandrovna told me to inform you that she is going away.	"Darya Alexandrovna told me to inform you that she is going away.	false	306.38	309.85	16.310965
56_1731_000023_000001	Let him do--that is you--do as he likes," he said, laughing only with his eyes, and putting his hands in his pockets, he watched his master with his head on one side.	Let him do-that is you-do as he likes," he said, laughing only with his eyes, and putting his hands in his pockets, he watched his master with his head on one side.	false	310.01	319.78	21.133429
56_1731_000023_000002	Stepan Arkadyevitch was silent a minute.	Stepan Arkadyevitch was silent a minute.	false	320.09	322.77	23.587076
56_1731_000023_000003	Then a good-humored and rather pitiful smile showed itself on his handsome face.	Then a good humored and rather pitiful smile showed itself on his handsome face.	true	322.77	327.03	15
56_1731_000024_000000	"Eh, Matvey?" he said, shaking his head.	"Eh, Matvey?" he said, shaking his head.	false	327.03	330.07	24.555264
56_1731_000025_000000	"It's all right, sir; she will come round," said Matvey.	"It's all right, sir; she will come round," said Matvey.	true	330.38	332.86	23.4316
56_1731_000026_000000	"Come round?"	"Come round?"	true	333.26	334.24	23.545681
56_1731_000027_000000	"Yes, sir."	"Yes, sir."	true	334.55	335.35	20.78875
56_1731_000028_000000	"Do you think so?	"Do you think so?	true	335.75	336.615	24.71074
56_1731_000028_000001	Who's there?" asked Stepan Arkadyevitch, hearing the rustle of a woman's dress at the door.	Who's there?" asked Stepan Arkadyevitch, hearing the rustle of a woman's dress at the door.	false	336.615	341.38	21.519382
56_1731_000029_000000	"It's I," said a firm, pleasant, woman's voice, and the stern, pockmarked face of Matrona Philimonovna, the nurse, was thrust in at the doorway.	"It's I," said a firm, pleasant, woman's voice, and the stern, pockmarked face of Matrona Philimonovna, the nurse, was thrust in at the doorway.	false	341.87	351.78	23.31629
56_1731_000030_000000	"Well, what is it, Matrona?" queried Stepan Arkadyevitch, going up to her at the door.	"Well, what is it, Matrona?" queried Stepan Arkadyevitch, going up to her at the door.	false	351.78	356.17	22.375534
56_1731_000031_000000	Although Stepan Arkadyevitch was completely in the wrong as regards his wife, and was conscious of this himself, almost every one in the house (even the nurse, Darya Alexandrovna's chief ally) was on his side.	Although Stepan Arkadyevitch was completely in the wrong as regards his wife, and was conscious of this himself, almost every one in the house (even the nurse, Darya Alexandrovna's chief ally) was on his side.	true	357.14	369.34	22.15297
56_1731_000032_000000	"Well, what now?" he asked disconsolately.	"Well, what now?" he asked disconsolately.	true	369.8	372.25	23.908789
56_1731_000033_000000	"Go to her, sir; own your fault again.	"Go to her, sir; own your fault again.	true	372.5	375.07	18.640377
56_1731_000033_000001	Maybe God will aid you.	Maybe God will aid you.	true	375.08	376.45	24.25251
56_1731_000033_000002	She is suffering so, it's sad to see her; and besides, everything in the house is topsy-turvy.	She is suffering so, it's sad to see her; and besides, everything in the house is topsy turvy.	false	376.52	381.91	22.01515
56_1731_000033_000003	You must have pity, sir, on the children.	You must have pity, sir, on the children.	true	382.04	384.19	24.174383
56_1731_000033_000004	Beg her forgiveness, sir.	Beg her forgiveness, sir.	true	384.29	385.74	21.018154
56_1731_000033_000005	There's no help for it!	There's no help for it!	true	385.74	386.76	19.989468
56_1731_000033_000006	One must take the consequences..."	One must take the consequences..."	true	386.76	388.81	22.794392
56_1731_000034_000000	"But she won't see me."	"But she won't see me."	true	389	390.49	23.267345
56_1731_000035_000000	"You do your part.	"You do your part.	true	390.92	392.47	21.19213
56_1731_000035_000001	God is merciful; pray to God, sir, pray to God."	God is merciful; pray to God, sir, pray to God."	true	392.54	396.34	21.260061
56_1731_000036_000000	"Come, that'll do, you can go," said Stepan Arkadyevitch, blushing suddenly.	"Come, that'll do, you can go," said Stepan Arkadyevitch, blushing suddenly.	true	396.98	401.23	22.13445
56_1731_000036_000001	"Well now, do dress me." He turned to Matvey and threw off his dressing-gown decisively.	"Well now, do dress me." He turned to Matvey and threw off his dressing gown decisively.	false	401.33	406.09	22.219135
56_1731_000037_000000	Matvey was already holding up the shirt like a horse's collar, and, blowing off some invisible speck, he slipped it with obvious pleasure over the well-groomed body of his master.	Matvey was already holding up the shirt like a horse's collar, and, blowing off some invisible speck, he slipped it with obvious pleasure over the well groomed body of his master.	true	406.61	416.28	21.483856
56_1731_000038_000000	Chapter 3	Chapter three	false	416.28	416.4	6
56_1731_000039_000000	When he was dressed, Stepan Arkadyevitch sprinkled some scent on himself, pulled down his shirt-cuffs, distributed into his pockets his cigarettes, pocketbook, matches, and watch with its double chain and seals, and shaking out his handkerchief, feeling himself clean, fragrant, healthy, and physically at ease, in spite of his unhappiness, he walked with a slight swing on each leg into the dining-room, where coffee was already waiting for him, and beside the coffee, letters and papers from the office.	When he was dressed, Stepan Arkadyevitch sprinkled some scent on himself, pulled down his shirt cuffs, distributed into his pockets his cigarettes, pocketbook, matches, and watch with its double chain and seals, and shaking out his handkerchief, feeling himself clean, fragrant, healthy, and physically at ease, in spite of his unhappiness, he walked with a slight swing on each leg into the dining room, where coffee was already waiting for him, and beside the coffee, letters and papers from the office.	false	416.4	424.32	17.000908
