7939_120325_000002_000000	CHAPTER XXV	CHAPTER twenty five
7939_120325_000039_000000	"I may be an infidel, Mr. Curtis," replied the other, quickly; "but I never paid two hundred dollars to Slattery so that the police would let me block the sidewalks of the town."	"I may be an infidel, mr Curtis," replied the other, quickly; "but I never paid two hundred dollars to Slattery so that the police would let me block the sidewalks of the town."
7939_120325_000041_000005	You are crucifying Him again every day!"	You are crucifying Him again every day!"
7939_120325_000042_000001	"It is blasphemy!"	"It is blasphemy!"
7939_120325_000043_000000	"It must stop instantly," put in Mr. Wygant.	"It must stop instantly," put in mr Wygant.
7939_120325_000044_000001	"Mr. Hamerton, won't you help me?"	"mr Hamerton, won't you help me?"
7939_120325_000045_000000	"What do you want us to do?" demanded Mr. Hamerton.	"What do you want us to do?" demanded mr Hamerton.
7939_120325_000046_000000	"I want the vestry to investigate these charges.	"I want the vestry to investigate these charges.
7939_120325_000046_000002	And if it is true, I want you to drive such men from the church!	And if it is true, I want you to drive such men from the church!
7939_120325_000046_000003	They have no place in the church, sir!	They have no place in the church, sir!
7939_120325_000046_000006	They are the enemies the church exists to fight--"	They are the enemies the church exists to fight-"
7939_120325_000051_000001	But I tell you I will not give up without a fight.	But I tell you I will not give up without a fight.
7939_120325_000051_000002	I will expose you and denounce you to the world!	I will expose you and denounce you to the world!
7939_120325_000051_000003	The people shall know you for what you are--cowards and hypocrites, faithless to your trust!	The people shall know you for what you are-cowards and hypocrites, faithless to your trust!
7939_120325_000051_000004	Plunderers of the public! Corrupters of the state!"	Plunderers of the public! Corrupters of the state!"
7939_120325_000053_000003	I have been among the lowest--I have been with saloon keepers and criminals--with publicans and harlots and thieves--but never yet have I met a man as merciless and as hard as you!	I have been among the lowest-I have been with saloon keepers and criminals-with publicans and harlots and thieves-but never yet have I met a man as merciless and as hard as you!
7939_120325_000053_000004	You a Christian--you might be the Roman soldier who spat in Jesus' face!"	You a Christian-you might be the Roman soldier who spat in Jesus' face!"
7939_120325_000055_000000	For at least a couple of hours Samuel paced the streets of Lockmanville, to let his rage and grief subside.	For at least a couple of hours Samuel paced the streets of Lockmanville, to let his rage and grief subside.
7939_120325_000058_000000	"I went to see little Ethel," she replied.	"I went to see little Ethel," she replied.
7939_120325_000061_000000	"And what came of it?"	"And what came of it?"
7939_120325_000062_000000	"She cried," said Sophie.	"She cried," said Sophie.
7939_120325_000062_000001	"She was terribly unhappy.	"She was terribly unhappy.
7939_120325_000066_000000	"She scolded me!	"She scolded me!
7939_120325_000066_000001	She was very angry with me.	She was very angry with me.
7939_120325_000066_000002	She said I had no right to fill the child's mind with falsehoods about her uncle.	She said I had no right to fill the child's mind with falsehoods about her uncle.
