7495_252341_000000_000001	SOME TRAITS OF LIFE	SOME TRAITS OF LIFE
7495_252341_000012_000000	"I don't believe a word of it,--I'll never believe it," cried the Princess.	"I don't believe a word of it,--I'll never believe it," cried the Princess.
7495_252341_000013_000000	"That's exactly what I was recommending to the Mar-quesa Guesteni.	"That's exactly what I was recommending to the Mar quesa Guesteni.
7495_252341_000013_000001	I said, you need n't believe it.	I said, you need n't believe it.
7495_252341_000013_000002	Why, how do we go anywhere, nowadays, except by 'not believing' the evil stories that are told of our entertainers."	Why, how do we go anywhere, nowadays, except by 'not believing' the evil stories that are told of our entertainers."
7495_252341_000014_000001	She, a Countess, of a family second to none in all Italy; her father a Grand d'Espagne.	She, a Countess, of a family second to none in all Italy; her father a Grand d'Espagne.
7495_252341_000015_000000	"She'll not see you.	"She'll not see you.
7495_252341_000016_000000	"What is to be done?" exclaimed the Princess, sorrowfully.	"What is to be done?" exclaimed the Princess, sorrowfully.
7495_252341_000017_000000	"Just what you suggested a few moments ago,--don't believe it.	"Just what you suggested a few moments ago,--don't believe it.
7495_252341_000017_000001	Hang me, but good houses and good cooks are growing too scarce to make one credulous of the ills that can be said of their owners."	Hang me, but good houses and good cooks are growing too scarce to make one credulous of the ills that can be said of their owners."
7495_252341_000019_000000	"I'll tell you, then.	"I'll tell you, then.
7495_252341_000019_000002	You know as well as I, Princess, that social credit is as great a bubble as commercial; we should all of us be bankrupts if our books were seen.	You know as well as I, Princess, that social credit is as great a bubble as commercial; we should all of us be bankrupts if our books were seen.
7495_252341_000021_000000	Various were the sentiments expressed by the different speakers,--some sorrowfully deploring the disaster; others more eagerly inveighing against the infamy of the man who had proclaimed it.	Various were the sentiments expressed by the different speakers,--some sorrowfully deploring the disaster; others more eagerly inveighing against the infamy of the man who had proclaimed it.
7495_252341_000021_000001	Many declared that they had come to the determination to discredit the story.	Many declared that they had come to the determination to discredit the story.
7495_252341_000021_000002	Not one, however, sincerely professed that he disbelieved it.	Not one, however, sincerely professed that he disbelieved it.
7495_252341_000023_000001	At length the space slowly began to thin.	At length the space slowly began to thin.
7495_252341_000024_000000	The next day Florence sat in committee over the lost Countess.	The next day Florence sat in committee over the lost Countess.
7495_252341_000024_000001	Witnesses were heard and evidence taken as to her case.	Witnesses were heard and evidence taken as to her case.
7495_252341_000024_000002	They all agreed it was a great hardship,--a terrible calamity; but still, if true, what could be done?	They all agreed it was a great hardship,--a terrible calamity; but still, if true, what could be done?
7495_252341_000025_000000	Never was there a society less ungenerously prudish, and yet there were cases--this, one of them--which transgressed all conventional rule. Like a crime which no statute had ever contemplated, it stood out self-accused and self-condemned.	Never was there a society less ungenerously prudish, and yet there were cases-this, one of them-which transgressed all conventional rule. Like a crime which no statute had ever contemplated, it stood out self accused and self condemned.
7495_252341_000025_000001	A few might, perhaps, have been merciful, but they were overborne by numbers.	A few might, perhaps, have been merciful, but they were overborne by numbers.
7495_252341_000025_000002	Lady Glencore's beauty and her vast fortune were now counts in the indictment against her, and many a jealous rival was not sorry at this hour of humiliation.	Lady Glencore's beauty and her vast fortune were now counts in the indictment against her, and many a jealous rival was not sorry at this hour of humiliation.
7495_252341_000025_000003	The despotism of beauty is not a very mild sway, after all; and perhaps the Countess had exercised her rule right royally.	The despotism of beauty is not a very mild sway, after all; and perhaps the Countess had exercised her rule right royally.
7495_252341_000025_000005	They discussed and debated the question all day; but while they hesitated over the reprieve, the prisoner was beyond the law.	They discussed and debated the question all day; but while they hesitated over the reprieve, the prisoner was beyond the law.
7495_252341_000025_000006	The gate of the palace, locked and barred all day, refused entrance to every one; at night, it opened to admit the exit of a travelling-carriage.	The gate of the palace, locked and barred all day, refused entrance to every one; at night, it opened to admit the exit of a travelling carriage.
7495_252341_000025_000007	The next morning large bills of sale, posted over the walls, declared that all the furniture and decorations-were to be sold.	The next morning large bills of sale, posted over the walls, declared that all the furniture and decorations were to be sold.
7495_252341_000027_000000	"I must really have those large Sevres jars," said one.	"I must really have those large Sevres jars," said one.
7495_252341_000028_000000	"And I, the small park phaeton," cried another.	"And I, the small park phaeton," cried another.
7495_252341_000029_000000	"I hope she has not taken Horace with her; he was the best cook in Italy.	"I hope she has not taken Horace with her; he was the best cook in Italy.
7495_252341_000029_000001	Splendid hock she had,--I wonder is there much of it left?"	Splendid hock she had,--I wonder is there much of it left?"
7495_252341_000030_000000	"I wish we were certain of another bad reputation to replace her," grunted out Scaresby; "they are the only kind of people who give good dinners, and never ask for returns."	"I wish we were certain of another bad reputation to replace her," grunted out Scaresby; "they are the only kind of people who give good dinners, and never ask for returns."
7495_252341_000032_000000	It may seem small-minded and narrow to stigmatize such conduct as this. Some may say that for the ordinary courtesies of society no pledges of friendship are required, no real gratitude incurred.	It may seem small minded and narrow to stigmatize such conduct as this. Some may say that for the ordinary courtesies of society no pledges of friendship are required, no real gratitude incurred.
7495_252341_000032_000002	Still, the revulsion, from habits of deference and respect, to disparagement, and even sarcasm, is a sorry evidence of human kindness; and the threshold, over which for years we had only passed as guests, might well suggest sadder thoughts as we tread it to behold desolation.	Still, the revulsion, from habits of deference and respect, to disparagement, and even sarcasm, is a sorry evidence of human kindness; and the threshold, over which for years we had only passed as guests, might well suggest sadder thoughts as we tread it to behold desolation.
7495_252341_000034_000001	They are often well born, almost always well mannered, invariably well dressed.	They are often well born, almost always well mannered, invariably well dressed.
7495_252341_000034_000002	They do not, at first blush, appear to discharge any very great or necessary function in life; but we must by no means, from that, infer their inutility.	They do not, at first blush, appear to discharge any very great or necessary function in life; but we must by no means, from that, infer their inutility.
7495_252341_000034_000003	Naturalists tell us that several varieties of insect existence we rashly set down as mere annoyances, have their peculiar spheres of usefulness and good; and, doubtless, these same loungers contribute in some mysterious manner to the welfare of that state which they only seem to burden.	Naturalists tell us that several varieties of insect existence we rashly set down as mere annoyances, have their peculiar spheres of usefulness and good; and, doubtless, these same loungers contribute in some mysterious manner to the welfare of that state which they only seem to burden.
7495_252341_000034_000006	Are they not invariably devouring and destroying some vermin a little smaller than themselves, and making thus a healthier atmosphere for their betters?	Are they not invariably devouring and destroying some vermin a little smaller than themselves, and making thus a healthier atmosphere for their betters?
7495_252341_000035_000001	To the former he gave vent to all his sarcasm and bitterness; they liked it just because they would n't condescend to it themselves.	To the former he gave vent to all his sarcasm and bitterness; they liked it just because they would n't condescend to it themselves.
7495_252341_000036_000000	He, however, effected this much: he kept the memory of her who had gone, alive by daily calumnies.	He, however, effected this much: he kept the memory of her who had gone, alive by daily calumnies.
7495_252341_000037_000001	The gay world, for so it likes to be called, has no greater element of enjoyment amongst all its high gifts than its precious power of forgetting.	The gay world, for so it likes to be called, has no greater element of enjoyment amongst all its high gifts than its precious power of forgetting.
7495_252341_000037_000002	It forgets not only all it owes to others,--gratitude, honor, and esteem,--but even the closer obligations it has contracted with itself.	It forgets not only all it owes to others,--gratitude, honor, and esteem,--but even the closer obligations it has contracted with itself.
7495_252341_000037_000003	The Palazzo della Torre was for a fortnight the resort of the curious and the idle.	The Palazzo della Torre was for a fortnight the resort of the curious and the idle.
