3717_21493_000001_000000	The Wounded Lion	The Wounded Lion
3717_21493_000019_000000	When he had gone quite out of sight the girl climbed down from the tree and went to the rock, which she pushed aside, and entered the opening before her.	When he had gone quite out of sight the girl climbed down from the tree and went to the rock, which she pushed aside, and entered the opening before her.
3717_21493_000019_000001	The path led to a beautiful house.	The path led to a beautiful house.
3717_21493_000019_000002	She went in, swept and dusted the furniture, and put everything tidy.	She went in, swept and dusted the furniture, and put everything tidy.
3717_21493_000019_000003	Then she ate a very good dinner, which was on a shelf in the corner, and once more clambered up to the top of her tree.	Then she ate a very good dinner, which was on a shelf in the corner, and once more clambered up to the top of her tree.
3717_21493_000020_000000	As the sun set she saw the same young man walking gaily down the path, and, as before, he pushed aside the rock and disappeared behind it.	As the sun set she saw the same young man walking gaily down the path, and, as before, he pushed aside the rock and disappeared behind it.
3717_21493_000021_000000	Next morning out came the lion.	Next morning out came the lion.
3717_21493_000021_000001	He looked sharply about him on all sides, but saw no one, and then vanished into the forest.	He looked sharply about him on all sides, but saw no one, and then vanished into the forest.
3717_21493_000022_000000	The maiden then came down from the tree and did exactly as she had done the day before.	The maiden then came down from the tree and did exactly as she had done the day before.
3717_21493_000022_000001	Thus three days went by, and every day she went and tidied up the palace.	Thus three days went by, and every day she went and tidied up the palace.
3717_21493_000022_000002	At length, when the girl found she was no nearer to discovering the secret, she resolved to ask him, and in the evening when she caught sight of him coming through the wood she came down from the tree and begged him to tell her his name.	At length, when the girl found she was no nearer to discovering the secret, she resolved to ask him, and in the evening when she caught sight of him coming through the wood she came down from the tree and begged him to tell her his name.
3717_21493_000023_000000	The young man looked very pleased to see her, and said he thought it must be she who had secretly kept his house for so many days.	The young man looked very pleased to see her, and said he thought it must be she who had secretly kept his house for so many days.
3717_21493_000023_000001	And he added that he was a prince enchanted by a powerful giant, but was only allowed to take his own shape at night, for all day he was forced to appear as the lion whom she had so often helped; and, more than this, it was the giant who had stolen the oxen and the asses and the pigs in revenge for her kindness.	And he added that he was a prince enchanted by a powerful giant, but was only allowed to take his own shape at night, for all day he was forced to appear as the lion whom she had so often helped; and, more than this, it was the giant who had stolen the oxen and the asses and the pigs in revenge for her kindness.
3717_21493_000024_000000	And the girl asked him, 'What can I do to disenchant you?'	And the girl asked him, 'What can I do to disenchant you?'
3717_21493_000025_000000	But he said he was afraid it was very difficult, because the only way was to get a lock of hair from the head of a king's daughter, to spin it, and to make from it a cloak for the giant, who lived up on the top of a high mountain.	But he said he was afraid it was very difficult, because the only way was to get a lock of hair from the head of a king's daughter, to spin it, and to make from it a cloak for the giant, who lived up on the top of a high mountain.
3717_21493_000026_000000	'Very well,' answered the girl, 'I will go to the city, and knock at the door of the king's palace, and ask the princess to take me as a servant.'	'Very well,' answered the girl, 'I will go to the city, and knock at the door of the king's palace, and ask the princess to take me as a servant.'
3717_21493_000027_000000	So they parted, and when she arrived at the city she walked about the streets crying, 'Who will hire me for a servant?	So they parted, and when she arrived at the city she walked about the streets crying, 'Who will hire me for a servant?
3717_21493_000027_000001	Who will hire me for a servant?' But, though many people liked her looks, for she was clean and neat, the maiden would listen to none, and still continued crying, 'Who will hire me for a servant?	Who will hire me for a servant?' But, though many people liked her looks, for she was clean and neat, the maiden would listen to none, and still continued crying, 'Who will hire me for a servant?
3717_21493_000027_000002	Who will hire me for a servant?'	Who will hire me for a servant?'
3717_21493_000028_000000	At last there came the waiting-maid of the princess.	At last there came the waiting maid of the princess.
3717_21493_000029_000000	'What can you do?' she said; and the girl was forced to confess that she could do very little.	'What can you do?' she said; and the girl was forced to confess that she could do very little.
3717_21493_000030_000000	'Then you will have to do scullion's work, and wash up dishes,' said she; and they went straight back to the palace.	'Then you will have to do scullion's work, and wash up dishes,' said she; and they went straight back to the palace.
3717_21493_000031_000000	Then the maiden dressed her hair afresh, and made herself look very neat and smart, and everyone admired and praised her, till by-and-bye it came to the ears of the princess.	Then the maiden dressed her hair afresh, and made herself look very neat and smart, and everyone admired and praised her, till by and bye it came to the ears of the princess.
3717_21493_000032_000000	Now the hair of the princess was very thick and long, and shone like the sun.	Now the hair of the princess was very thick and long, and shone like the sun
3717_21493_000033_000000	The princess, who was very proud of her hair, did not like the idea of parting with any of it, so she said no.	The princess, who was very proud of her hair, did not like the idea of parting with any of it, so she said no
3717_21493_000033_000001	But the girl could not give up hope, and each day she entreated to be allowed to cut off just one tress.	But the girl could not give up hope, and each day she entreated to be allowed to cut off just one tress.
3717_21493_000033_000002	At length the princess lost patience, and exclaimed, 'You may have it, then, on condition that you shall find the handsomest prince in the world to be my bridegroom!'	At length the princess lost patience, and exclaimed, 'You may have it, then, on condition that you shall find the handsomest prince in the world to be my bridegroom!'
3717_21493_000034_000000	And the girl answered that she would, and cut off the lock, and wove it into a coat that glittered like silk, and brought it to the young man, who told her to carry it straight to the giant.	And the girl answered that she would, and cut off the lock, and wove it into a coat that glittered like silk, and brought it to the young man, who told her to carry it straight to the giant.
3717_21493_000034_000001	But that she must be careful to cry out a long way off what she had with her, or else he would spring upon her and run her through with his sword.	But that she must be careful to cry out a long way off what she had with her, or else he would spring upon her and run her through with his sword.
3717_21493_000035_000000	So the maiden departed and climbed up the mountain, but before she reached the top the giant heard her footsteps, and rushed out breathing fire and flame, having a sword in one hand and a club in the other.	So the maiden departed and climbed up the mountain, but before she reached the top the giant heard her footsteps, and rushed out breathing fire and flame, having a sword in one hand and a club in the other.
3717_21493_000035_000001	But she cried loudly that she had brought him the coat, and then he grew quiet, and invited her to come into his house.	But she cried loudly that she had brought him the coat, and then he grew quiet, and invited her to come into his house.
3717_21493_000036_000000	He tried on the coat, but it was too short, and he threw it off, and declared it was no use.	He tried on the coat, but it was too short, and he threw it off, and declared it was no use.
3717_21493_000036_000001	And the girl picked it up sadly, and returned quite in despair to the king's palace.	And the girl picked it up sadly, and returned quite in despair to the king's palace.
3717_21493_000037_000000	The next morning, when she was combing the princess's hair, she begged leave to cut off another lock.	The next morning, when she was combing the princess's hair, she begged leave to cut off another lock.
3717_21493_000038_000000	The maiden told her that she had already found him, and spun the lock into shining stuff, and fastened it on to the end of the coat.	The maiden told her that she had already found him, and spun the lock into shining stuff, and fastened it on to the end of the coat.
3717_21493_000039_000000	This time it fitted him, and he was quite pleased, and asked her what he could give her in return.	This time it fitted him, and he was quite pleased, and asked her what he could give her in return.
3717_21493_000039_000001	And she said that the only reward he could give her was to take the spell off the lion and bring him back to his own shape.	And she said that the only reward he could give her was to take the spell off the lion and bring him back to his own shape.
3717_21493_000040_000000	For a long time the giant would not hear of it, but in the end he gave in, and told her exactly how it must all be done.	For a long time the giant would not hear of it, but in the end he gave in, and told her exactly how it must all be done.
3717_21493_000040_000001	She was to kill the lion herself and cut him up very small; then she must burn him, and cast his ashes into the water, and out of the water the prince would come free from enchantment for ever.	She was to kill the lion herself and cut him up very small; then she must burn him, and cast his ashes into the water, and out of the water the prince would come free from enchantment for ever.
3717_21493_000041_000000	But the maiden went away weeping, lest the giant should have deceived her, and that after she had killed the lion she would find she had also slain the prince.	But the maiden went away weeping, lest the giant should have deceived her, and that after she had killed the lion she would find she had also slain the prince.
3717_21493_000043_000000	And the maiden believed what the prince told her; and in the morning when he put on his lion's form she took a knife and slew him, and cut him up very small, and burnt him, and cast his ashes into the water, and out of the water came the prince, beautiful as the day, and as glad to look upon as the sun himself.	And the maiden believed what the prince told her; and in the morning when he put on his lion's form she took a knife and slew him, and cut him up very small, and burnt him, and cast his ashes into the water, and out of the water came the prince, beautiful as the day, and as glad to look upon as the sun himself.
3717_21493_000044_000000	Then the young man thanked the maiden for all she had done for him, and said she should be his wife and none other.	Then the young man thanked the maiden for all she had done for him, and said she should be his wife and none other.
3717_21493_000045_000000	But the prince replied, 'If it is the princess, we must go quickly.	But the prince replied, 'If it is the princess, we must go quickly.
3717_21493_000045_000001	Come with me.'	Come with me.'
3717_21493_000046_000000	So they went together to the king's palace.	So they went together to the king's palace.
3717_21493_000046_000001	And when the king and queen and princess saw the young man a great joy filled their hearts, for they knew him for the eldest son, who had long ago been enchanted by a giant and lost to them.	And when the king and queen and princess saw the young man a great joy filled their hearts, for they knew him for the eldest son, who had long ago been enchanted by a giant and lost to them.
