7816_108621_000000_000000	CHAPTER 11	CHAPTER eleven	true	27.915	29.17	27.038656
7816_108621_000005_000002	I therefore returned in despair.	I therefore returned in despair.	true	229.97	232	25.966722
7816_108621_000006_000000	There seemed now to be no longer any room for hope, and I could perceive in the countenances of my companions that they had made up their minds to perish.	There seemed now to be no longer any room for hope, and I could perceive in the countenances of my companions that they had made up their minds to perish.	true	232.79	241.84	23.288736
7816_108621_000006_000001	The wine had evidently produced in them a species of delirium, which, perhaps, I had been prevented from feeling by the immersion I had undergone since drinking it.	The wine had evidently produced in them a species of delirium, which, perhaps, I had been prevented from feeling by the immersion I had undergone since drinking it.	true	242.39	252.28	19
7816_108621_000006_000002	They talked incoherently, and about matters unconnected with our condition, Peters repeatedly asking me questions about Nantucket.	They talked incoherently, and about matters unconnected with our condition, Peters repeatedly asking me questions about Nantucket.	true	252.77	260.98	23.946053
7816_108621_000006_000003	Augustus, too, I remember, approached me with a serious air, and requested me to lend him a pocket-comb, as his hair was full of fish-scales, and he wished to get them out before going on shore.	Augustus, too, I remember, approached me with a serious air, and requested me to lend him a pocket comb, as his hair was full of fish scales, and he wished to get them out before going on shore.	true	261.44	273.25	23.364922
7816_108621_000006_000004	Parker appeared somewhat less affected, and urged me to dive at random into the cabin, and bring up any article which might come to hand.	Parker appeared somewhat less affected, and urged me to dive at random into the cabin, and bring up any article which might come to hand.	true	273.98	281.77	25.173407
7816_108621_000006_000005	To this I consented, and, in the first attempt, after staying under a full minute, brought up a small leather trunk belonging to Captain Barnard.	To this I consented, and, in the first attempt, after staying under a full minute, brought up a small leather trunk belonging to Captain Barnard.	true	282.23	290.95	24.556818
7816_108621_000006_000006	This was immediately opened in the faint hope that it might contain something to eat or drink.	This was immediately opened in the faint hope that it might contain something to eat or drink.	true	291.17	296.2	23.65351
7816_108621_000006_000007	We found nothing, however, except a box of razors and two linen shirts.	We found nothing, however, except a box of razors and two linen shirts.	true	296.45	301.06	21
7816_108621_000006_000008	I now went down again, and returned without any success.	I now went down again, and returned without any success.	true	301.52	305.05	26
7816_108621_000006_000009	As my head came above water I heard a crash on deck, and, upon getting up, saw that my companions had ungratefully taken advantage of my absence to drink the remainder of the wine, having let the bottle fall in the endeavour to replace it before I saw them.	As my head came above water I heard a crash on deck, and, upon getting up, saw that my companions had ungratefully taken advantage of my absence to drink the remainder of the wine, having let the bottle fall in the endeavour to replace it before I saw them.	true	305.54	320.5	22
7816_108621_000006_000010	I remonstrated with them on the heartlessness of their conduct, when Augustus burst into tears.	I remonstrated with them on the heartlessness of their conduct, when Augustus burst into tears.	true	320.81	326.44	22.516598
7816_108621_000006_000011	The other two endeavoured to laugh the matter off as a joke, but I hope never again to behold laughter of such a species: the distortion of countenance was absolutely frightful.	The other two endeavoured to laugh the matter off as a joke, but I hope never again to behold laughter of such a species: the distortion of countenance was absolutely frightful.	true	326.81	337.51	22.694427
7816_108621_000006_000012	Indeed, it was apparent that the stimulus, in the empty state of their stomachs, had taken instant and violent effect, and that they were all exceedingly intoxicated.	Indeed, it was apparent that the stimulus, in the empty state of their stomachs, had taken instant and violent effect, and that they were all exceedingly intoxicated.	true	338	348.22	22.726393
7816_108621_000006_000013	With great difficulty I prevailed upon them to lie down, when they fell very soon into a heavy slumber, accompanied with loud stertorous breathing.	With great difficulty I prevailed upon them to lie down, when they fell very soon into a heavy slumber, accompanied with loud stertorous breathing.	true	348.59	357.28	20
7816_108621_000007_000000	I now found myself, as it were, alone in the brig, and my reflections, to be sure, were of the most fearful and gloomy nature.	I now found myself, as it were, alone in the brig, and my reflections, to be sure, were of the most fearful and gloomy nature.	false	358.43	366.31	23.478615
7816_108621_000007_000001	No prospect offered itself to my view but a lingering death by famine, or, at the best, by being overwhelmed in the first gale which should spring up, for in our present exhausted condition we could have no hope of living through another.	No prospect offered itself to my view but a lingering death by famine, or, at the best, by being overwhelmed in the first gale which should spring up, for in our present exhausted condition we could have no hope of living through another.	true	366.65	380.26	24.025558
7816_108621_000008_000000	The gnawing hunger which I now experienced was nearly insupportable, and I felt myself capable of going to any lengths in order to appease it.	The gnawing hunger which I now experienced was nearly insupportable, and I felt myself capable of going to any lengths in order to appease it.	true	381.05	389.35	22.390781
7816_108621_000008_000001	With my knife I cut off a small portion of the leather trunk, and endeavoured to eat it, but found it utterly impossible to swallow a single morsel, although I fancied that some little alleviation of my suffering was obtained by chewing small pieces of it and spitting them out.	With my knife I cut off a small portion of the leather trunk, and endeavoured to eat it, but found it utterly impossible to swallow a single morsel, although I fancied that some little alleviation of my suffering was obtained by chewing small pieces of it and spitting them out.	true	389.69	405.85	21.192175
7816_108621_000008_000002	Toward night my companions awoke, one by one, each in an indescribable state of weakness and horror, brought on by the wine, whose fumes had now evaporated.	Toward night my companions awoke, one by one, each in an indescribable state of weakness and horror, brought on by the wine, whose fumes had now evaporated.	false	406.73	416.23	23.237383
7816_108621_000008_000003	They shook as if with a violent ague, and uttered the most lamentable cries for water.	They shook as if with a violent ague, and uttered the most lamentable cries for water.	false	416.6	421.77	22.799475
7816_108621_000008_000004	Their condition affected me in the most lively degree, at the same time causing me to rejoice in the fortunate train of circumstances which had prevented me from indulging in the wine, and consequently from sharing their melancholy and most distressing sensations.	Their condition affected me in the most lively degree, at the same time causing me to rejoice in the fortunate train of circumstances which had prevented me from indulging in the wine, and consequently from sharing their melancholy and most distressing sensations.	false	421.77	437.29	22.202856
7816_108621_000008_000005	Their conduct, however, gave me great uneasiness and alarm; for it was evident that, unless some favourable change took place, they could afford me no assistance in providing for our common safety.	Their conduct, however, gave me great uneasiness and alarm; for it was evident that, unless some favourable change took place, they could afford me no assistance in providing for our common safety.	true	437.69	448.51	22.802004
7816_108621_000008_000006	I had not yet abandoned all idea being able to get up something from below; but the attempt could not possibly be resumed until some one of them was sufficiently master of himself to aid me by holding the end of the rope while I went down.	I had not yet abandoned all idea being able to get up something from below; but the attempt could not possibly be resumed until some one of them was sufficiently master of himself to aid me by holding the end of the rope while I went down.	true	448.85	462.7	23.97101
7816_108621_000008_000007	Parker appeared to be somewhat more in possession of his senses than the others, and I endeavoured, by every means in my power, to rouse him.	Parker appeared to be somewhat more in possession of his senses than the others, and I endeavoured, by every means in my power, to rouse him.	true	463.16	470.26	20
7816_108621_000008_000008	Thinking that a plunge in the sea-water might have a beneficial effect, I contrived to fasten the end of a rope around his body, and then, leading him to the companion-way (he remaining quite passive all the while), pushed him in, and immediately drew him out.	Thinking that a plunge in the sea water might have a beneficial effect, I contrived to fasten the end of a rope around his body, and then, leading him to the companion way (he remaining quite passive all the while), pushed him in, and immediately drew him out.	false	470.75	486.07	22.509935
7816_108621_000008_000009	I had good reason to congratulate myself upon having made this experiment; for he appeared much revived and invigorated, and, upon getting out, asked me, in a rational manner, why I had so served him.	I had good reason to congratulate myself upon having made this experiment; for he appeared much revived and invigorated, and, upon getting out, asked me, in a rational manner, why I had so served him.	true	486.74	499.63	23.6948
7816_108621_000008_000010	Having explained my object, he expressed himself indebted to me, and said that he felt greatly better from the immersion, afterward conversing sensibly upon our situation.	Having explained my object, he expressed himself indebted to me, and said that he felt greatly better from the immersion, afterward conversing sensibly upon our situation.	true	500.06	509.2	21
7816_108621_000008_000011	We then resolved to treat Augustus and Peters in the same way, which we immediately did, when they both experienced much benefit from the shock.	We then resolved to treat Augustus and Peters in the same way, which we immediately did, when they both experienced much benefit from the shock.	true	509.78	518.35	22.408978
7816_108621_000008_000012	This idea of sudden immersion had been suggested to me by reading in some medical work the good effect of the shower-bath in a case where the patient was suffering from _mania a potu_.	This idea of sudden immersion had been suggested to me by reading in some medical work the good effect of the shower bath in a case where the patient was suffering from underscore mania a potu underscore.	false	518.48	529.53	21.818712
7816_108621_000009_000000	Finding that I could now trust my companions to hold the end of the rope, I again made three or four plunges into the cabin, although it was now quite dark, and a gentle but long swell from the northward rendered the hulk somewhat unsteady.	Finding that I could now trust my companions to hold the end of the rope, I again made three or four plunges into the cabin, although it was now quite dark, and a gentle but long swell from the northward rendered the hulk somewhat unsteady.	true	529.53	542.59	24.016422
7816_108621_000009_000001	In the course of these attempts I succeeded in bringing up two case-knives, a three-gallon jug, empty, and a blanket, but nothing which could serve us for food.	In the course of these attempts I succeeded in bringing up two case knives, a three gallon jug, empty, and a blanket, but nothing which could serve us for food.	true	543.08	552.82	24.43394
7816_108621_000009_000002	I continued my efforts, after getting these articles, until I was completely exhausted, but brought up nothing else.	I continued my efforts, after getting these articles, until I was completely exhausted, but brought up nothing else.	true	553.4	560.17	24.146646
7816_108621_000009_000003	During the night Parker and Peters occupied themselves by turns in the same manner; but nothing coming to hand, we now gave up this attempt in despair, concluding that we were exhausting ourselves in vain.	During the night Parker and Peters occupied themselves by turns in the same manner; but nothing coming to hand, we now gave up this attempt in despair, concluding that we were exhausting ourselves in vain.	true	560.66	572.38	23.755589
7816_108621_000010_000000	We passed the remainder of this night in a state of the most intense mental and bodily anguish that can possibly be imagined.	We passed the remainder of this night in a state of the most intense mental and bodily anguish that can possibly be imagined.	true	573.35	580.87	25.155485
7816_108621_000010_000001	The morning of the sixteenth at length dawned, and we looked eagerly around the horizon for relief, but to no purpose.	The morning of the sixteenth at length dawned, and we looked eagerly around the horizon for relief, but to no purpose.	true	581.48	588.64	25.54001
7816_108621_000010_000002	The sea was still smooth, with only a long swell from the northward, as on yesterday.	The sea was still smooth, with only a long swell from the northward, as on yesterday.	false	589.1	593.89	20
7816_108621_000010_000003	This was the sixth day since we had tasted either food or drink, with the exception of the bottle of port wine, and it was clear that we could hold out but a very little while longer unless something could be obtained.	This was the sixth day since we had tasted either food or drink, with the exception of the bottle of port wine, and it was clear that we could hold out but a very little while longer unless something could be obtained.	false	594.32	606.76	24.324713
7816_108621_000010_000004	I never saw before, nor wish to see again, human beings so utterly emaciated as Peters and Augustus.	I never saw before, nor wish to see again, human beings so utterly emaciated as Peters and Augustus.	false	607.25	613.9	18
7816_108621_000010_000005	Had I met them on shore in their present condition I should not have had the slightest suspicion that I had ever beheld them.	Had I met them on shore in their present condition I should not have had the slightest suspicion that I had ever beheld them.	true	614.3	622.02	24.792877
7816_108621_000010_000006	Their countenances were totally changed in character, so that I could not bring myself to believe them really the same individuals with whom I had been in company but a few days before.	Their countenances were totally changed in character, so that I could not bring myself to believe them really the same individuals with whom I had been in company but a few days before.	false	622.02	633.16	24.787262
7816_108621_000010_000007	Parker, although sadly reduced, and so feeble that he could not raise his head from his bosom, was not so far gone as the other two.	Parker, although sadly reduced, and so feeble that he could not raise his head from his bosom, was not so far gone as the other two.	true	633.5	641.41	24
7816_108621_000010_000008	He suffered with great patience, making no complaint, and endeavouring to inspire us with hope in every manner he could devise.	He suffered with great patience, making no complaint, and endeavouring to inspire us with hope in every manner he could devise.	true	641.75	649.66	23.909578
7816_108621_000010_000009	For myself, although at the commencement of the voyage I had been in bad health, and was at all times of a delicate constitution, I suffered less than any of us, being much less reduced in frame, and retaining my powers of mind in a surprising degree, while the rest were completely prostrated in intellect, and seemed to be brought to a species of second childhood, generally simpering in their expressions, with idiotic smiles, and uttering the most absurd platitudes.	For myself, although at the commencement of the voyage I had been in bad health, and was at all times of a delicate constitution, I suffered less than any of us, being much less reduced in frame, and retaining my powers of mind in a surprising degree, while the rest were completely prostrated in intellect, and seemed to be brought to a species of second childhood, generally simpering in their expressions, with idiotic smiles, and uttering the most absurd platitudes.	false	650.24	679.81	24.702332
7816_108621_000010_000010	At intervals, however, they would appear to revive suddenly, as if inspired all at once with a consciousness of their condition, when they would spring upon their feet in a momentary flash of vigour, and speak, for a short period, of their prospects, in a manner altogether rational, although full of the most intense despair.	At intervals, however, they would appear to revive suddenly, as if inspired all at once with a consciousness of their condition, when they would spring upon their feet in a momentary flash of vigour, and speak, for a short period, of their prospects, in a manner altogether rational, although full of the most intense despair.	false	680.27	700.09	24.172266
7816_108621_000010_000011	It is possible, however, that my companions may have entertained the same opinion of their own condition as I did of mine, and that I may have unwittingly been guilty of the same extravagances and imbecilities as themselves--this is a matter which cannot be determined.	It is possible, however, that my companions may have entertained the same opinion of their own condition as I did of mine, and that I may have unwittingly been guilty of the same extravagances and imbecilities as themselves-this is a matter which cannot be determined.	false	700.79	718.6	24
7816_108621_000011_000000	About noon Parker declared that he saw land off the larboard quarter, and it was with the utmost difficulty I could restrain him from plunging into the sea with the view of swimming toward it.	About noon Parker declared that he saw land off the larboard quarter, and it was with the utmost difficulty I could restrain him from plunging into the sea with the view of swimming toward it.	false	719.42	731.08	26.125858
7816_108621_000011_000001	Peters and Augustus took little notice of what he said, being apparently wrapped up in moody contemplation.	Peters and Augustus took little notice of what he said, being apparently wrapped up in moody contemplation.	true	731.57	738.43	25.22398
7816_108621_000011_000002	Upon looking in the direction pointed out, I could not perceive the faintest appearance of the shore--indeed, I was too well aware that we were far from any land to indulge in a hope of that nature.	Upon looking in the direction pointed out, I could not perceive the faintest appearance of the shore-indeed, I was too well aware that we were far from any land to indulge in a hope of that nature.	true	739.04	751.9	24.736141
7816_108621_000011_000003	It was a long time, nevertheless, before I could convince Parker of his mistake.	It was a long time, nevertheless, before I could convince Parker of his mistake.	true	752.54	757.63	25.471127
7816_108621_000011_000004	He then burst into a flood of tears, weeping like a child, with loud cries and sobs, for two or three hours, when becoming exhausted, he fell asleep.	He then burst into a flood of tears, weeping like a child, with loud cries and sobs, for two or three hours, when becoming exhausted, he fell asleep.	true	757.76	768.49	23.757874
7816_108621_000012_000000	Peters and Augustus now made several ineffectual efforts to swallow portions of the leather.	Peters and Augustus now made several ineffectual efforts to swallow portions of the leather.	true	768.83	774.22	24
7816_108621_000012_000001	I advised them to chew it and spit it out; but they were too excessively debilitated to be able to follow my advice.	I advised them to chew it and spit it out; but they were too excessively debilitated to be able to follow my advice.	true	774.26	781.48	25.505093
7816_108621_000012_000002	I continued to chew pieces of it at intervals, and found some relief from so doing; my chief distress was for water, and I was only prevented from taking a draught from the sea by remembering the horrible consequences which thus have resulted to others who were similarly situated with ourselves.	I continued to chew pieces of it at intervals, and found some relief from so doing; my chief distress was for water, and I was only prevented from taking a draught from the sea by remembering the horrible consequences which thus have resulted to others who were similarly situated with ourselves.	false	781.88	801.61	23.23763
7816_108621_000013_000000	The day wore on in this manner, when I suddenly discovered a sail to the eastward, and on our larboard bow.	The day wore on in this manner, when I suddenly discovered a sail to the eastward, and on our larboard bow.	false	802.94	809.56	21.753866
7816_108621_000013_000001	She appeared to be a large ship, and was coming nearly athwart us, being probably twelve or fifteen miles distant.	She appeared to be a large ship, and was coming nearly athwart us, being probably twelve or fifteen miles distant.	true	809.63	816.1	26
7816_108621_000013_000002	None of my companions had as yet discovered her, and I forbore to tell them of her for the present, lest we might again be disappointed of relief.	None of my companions had as yet discovered her, and I forbore to tell them of her for the present, lest we might again be disappointed of relief.	true	816.59	825.07	23.491516
7816_108621_000013_000003	At length upon her getting nearer, I saw distinctly that she was heading immediately for us, with her light sails filled.	At length upon her getting nearer, I saw distinctly that she was heading immediately for us, with her light sails filled.	true	825.35	831.85	24.705647
7816_108621_000013_000004	I could now contain myself no longer, and pointed her out to my fellow-sufferers. They immediately sprang to their feet, again indulging in the most extravagant demonstrations of joy, weeping, laughing in an idiotic manner, jumping, stamping upon the deck, tearing their hair, and praying and cursing by turns.	I could now contain myself no longer, and pointed her out to my fellow sufferers. They immediately sprang to their feet, again indulging in the most extravagant demonstrations of joy, weeping, laughing in an idiotic manner, jumping, stamping upon the deck, tearing their hair, and praying and cursing by turns.	true	832.34	852.25	23.69466
7816_108621_000013_000005	I was so affected by their conduct, as well as by what I considered a sure prospect of deliverance, that I could not refrain from joining in with their madness, and gave way to the impulses of my gratitude and ecstasy by lying and rolling on the deck, clapping my hands, shouting, and other similar acts, until I was suddenly called to my recollection, and once more to the extreme human misery and despair, by perceiving the ship all at once with her stern fully presented toward us, and steering in a direction nearly opposite to that in which I had at first perceived her.	I was so affected by their conduct, as well as by what I considered a sure prospect of deliverance, that I could not refrain from joining in with their madness, and gave way to the impulses of my gratitude and ecstasy by lying and rolling on the deck, clapping my hands, shouting, and other similar acts, until I was suddenly called to my recollection, and once more to the extreme human misery and despair, by perceiving the ship all at once with her stern fully presented toward us, and steering in a direction nearly opposite to that in which I had at first perceived her.	false	852.98	889.54	22.823877
7816_108621_000014_000000	It was some time before I could induce my poor companions to believe that this sad reverse in our prospects had actually taken place.	It was some time before I could induce my poor companions to believe that this sad reverse in our prospects had actually taken place.	true	890.3	897.88	24
7816_108621_000014_000001	They replied to all my assertions with a stare and a gesture implying that they were not to be deceived by such misrepresentations.	They replied to all my assertions with a stare and a gesture implying that they were not to be deceived by such misrepresentations.	true	898.37	906.04	20
7816_108621_000014_000002	The conduct of Augustus most sensibly affected me.	The conduct of Augustus most sensibly affected me.	true	906.44	909.7	24.53832
7816_108621_000014_000003	In spite of all I could say or do to the contrary, he persisted in saying that the ship was rapidly nearing us, and in making preparations to go on board of her.	In spite of all I could say or do to the contrary, he persisted in saying that the ship was rapidly nearing us, and in making preparations to go on board of her.	true	909.92	919.99	22.056372
7816_108621_000014_000004	Some seaweed floating by the brig, he maintained that it was the ship's boat, and endeavoured to throw himself upon it, howling and shrieking in the most heartrending manner, when I forcibly restrained him from thus casting himself into the sea.	Some seaweed floating by the brig, he maintained that it was the ship's boat, and endeavoured to throw himself upon it, howling and shrieking in the most heartrending manner, when I forcibly restrained him from thus casting himself into the sea.	true	920.69	934.45	23.793045
7816_108621_000015_000000	Having become in some degree pacified, we continued to watch the ship until we finally lost sight of her, the weather becoming hazy, with a light breeze springing up.	Having become in some degree pacified, we continued to watch the ship until we finally lost sight of her, the weather becoming hazy, with a light breeze springing up.	false	935.18	945.58	24.268902
7816_108621_000015_000001	As soon as she was entirely gone, Parker turned suddenly toward me with an expression of countenance which made me shudder.	As soon as she was entirely gone, Parker turned suddenly toward me with an expression of countenance which made me shudder.	true	946.19	953.62	23.258736
7816_108621_000015_000002	There was about him an air of self-possession which I had not noticed in him until now, and before he opened his lips my heart told me what he would say.	There was about him an air of self possession which I had not noticed in him until now, and before he opened his lips my heart told me what he would say.	true	954.71	963.61	25.268219
7816_108621_000015_000003	He proposed, in a few words, that one of us should die to preserve the existence of the others.	He proposed, in a few words, that one of us should die to preserve the existence of the others.	true	964.13	970.02	25.308632
7816_108621_000016_000000	CHAPTER 12	CHAPTER twelve	false	970.02	970.62	-20
7816_108621_000017_000000	I had for some time past, dwelt upon the prospect of our being reduced to this last horrible extremity, and had secretly made up my mind to suffer death in any shape or under any circumstances rather than resort to such a course.	I had for some time past, dwelt upon the prospect of our being reduced to this last horrible extremity, and had secretly made up my mind to suffer death in any shape or under any circumstances rather than resort to such a course.	false	970.62	975.72	18.522802
7816_108621_000017_000001	Nor was this resolution in any degree weakened by the present intensity of hunger under which I laboured.	Nor was this resolution in any degree weakened by the present intensity of hunger under which I laboured.	false	975.72	977.04	18
7816_108621_000017_000002	The proposition had not been heard by either Peters or Augustus.	The proposition had not been heard by either Peters or Augustus.	false	977.04	977.85	21.983168
7816_108621_000017_000003	I therefore took Parker aside; and mentally praying to God for power to dissuade him from the horrible purpose he entertained, I expostulated with him for a long time, and in the most supplicating manner, begging him in the name of every thing which he held sacred, and urging him by every species of argument which the extremity of the case suggested, to abandon the idea, and not to mention it to either of the other two.	I therefore took Parker aside; and mentally praying to God for power to dissuade him from the horrible purpose he entertained, I expostulated with him for a long time, and in the most supplicating manner, begging him in the name of every thing which he held sacred, and urging him by every species of argument which the extremity of the case suggested, to abandon the idea, and not to mention it to either of the other two.	false	977.85	983.49	-20
