7816_108621_000000_000000	CHAPTER 11	CHAPTER eleven
7816_108621_000006_000011	The other two endeavoured to laugh the matter off as a joke, but I hope never again to behold laughter of such a species: the distortion of countenance was absolutely frightful.	The other two endeavoured to laugh the matter off as a joke, but I hope never again to behold laughter of such a species: the distortion of countenance was absolutely frightful.
7816_108621_000006_000012	Indeed, it was apparent that the stimulus, in the empty state of their stomachs, had taken instant and violent effect, and that they were all exceedingly intoxicated.	Indeed, it was apparent that the stimulus, in the empty state of their stomachs, had taken instant and violent effect, and that they were all exceedingly intoxicated.
7816_108621_000006_000013	With great difficulty I prevailed upon them to lie down, when they fell very soon into a heavy slumber, accompanied with loud stertorous breathing.	With great difficulty I prevailed upon them to lie down, when they fell very soon into a heavy slumber, accompanied with loud stertorous breathing.
7816_108621_000007_000001	No prospect offered itself to my view but a lingering death by famine, or, at the best, by being overwhelmed in the first gale which should spring up, for in our present exhausted condition we could have no hope of living through another.	No prospect offered itself to my view but a lingering death by famine, or, at the best, by being overwhelmed in the first gale which should spring up, for in our present exhausted condition we could have no hope of living through another.
7816_108621_000008_000000	The gnawing hunger which I now experienced was nearly insupportable, and I felt myself capable of going to any lengths in order to appease it.	The gnawing hunger which I now experienced was nearly insupportable, and I felt myself capable of going to any lengths in order to appease it.
7816_108621_000008_000001	With my knife I cut off a small portion of the leather trunk, and endeavoured to eat it, but found it utterly impossible to swallow a single morsel, although I fancied that some little alleviation of my suffering was obtained by chewing small pieces of it and spitting them out.	With my knife I cut off a small portion of the leather trunk, and endeavoured to eat it, but found it utterly impossible to swallow a single morsel, although I fancied that some little alleviation of my suffering was obtained by chewing small pieces of it and spitting them out.
7816_108621_000008_000005	Their conduct, however, gave me great uneasiness and alarm; for it was evident that, unless some favourable change took place, they could afford me no assistance in providing for our common safety.	Their conduct, however, gave me great uneasiness and alarm; for it was evident that, unless some favourable change took place, they could afford me no assistance in providing for our common safety.
7816_108621_000008_000006	I had not yet abandoned all idea being able to get up something from below; but the attempt could not possibly be resumed until some one of them was sufficiently master of himself to aid me by holding the end of the rope while I went down.	I had not yet abandoned all idea being able to get up something from below; but the attempt could not possibly be resumed until some one of them was sufficiently master of himself to aid me by holding the end of the rope while I went down.
7816_108621_000008_000007	Parker appeared to be somewhat more in possession of his senses than the others, and I endeavoured, by every means in my power, to rouse him.	Parker appeared to be somewhat more in possession of his senses than the others, and I endeavoured, by every means in my power, to rouse him.
7816_108621_000008_000009	I had good reason to congratulate myself upon having made this experiment; for he appeared much revived and invigorated, and, upon getting out, asked me, in a rational manner, why I had so served him.	I had good reason to congratulate myself upon having made this experiment; for he appeared much revived and invigorated, and, upon getting out, asked me, in a rational manner, why I had so served him.
7816_108621_000008_000010	Having explained my object, he expressed himself indebted to me, and said that he felt greatly better from the immersion, afterward conversing sensibly upon our situation.	Having explained my object, he expressed himself indebted to me, and said that he felt greatly better from the immersion, afterward conversing sensibly upon our situation.
7816_108621_000008_000011	We then resolved to treat Augustus and Peters in the same way, which we immediately did, when they both experienced much benefit from the shock.	We then resolved to treat Augustus and Peters in the same way, which we immediately did, when they both experienced much benefit from the shock.
7816_108621_000009_000000	Finding that I could now trust my companions to hold the end of the rope, I again made three or four plunges into the cabin, although it was now quite dark, and a gentle but long swell from the northward rendered the hulk somewhat unsteady.	Finding that I could now trust my companions to hold the end of the rope, I again made three or four plunges into the cabin, although it was now quite dark, and a gentle but long swell from the northward rendered the hulk somewhat unsteady.
7816_108621_000009_000001	In the course of these attempts I succeeded in bringing up two case-knives, a three-gallon jug, empty, and a blanket, but nothing which could serve us for food.	In the course of these attempts I succeeded in bringing up two case knives, a three gallon jug, empty, and a blanket, but nothing which could serve us for food.
7816_108621_000009_000002	I continued my efforts, after getting these articles, until I was completely exhausted, but brought up nothing else.	I continued my efforts, after getting these articles, until I was completely exhausted, but brought up nothing else.
7816_108621_000009_000003	During the night Parker and Peters occupied themselves by turns in the same manner; but nothing coming to hand, we now gave up this attempt in despair, concluding that we were exhausting ourselves in vain.	During the night Parker and Peters occupied themselves by turns in the same manner; but nothing coming to hand, we now gave up this attempt in despair, concluding that we were exhausting ourselves in vain.
7816_108621_000010_000000	We passed the remainder of this night in a state of the most intense mental and bodily anguish that can possibly be imagined.	We passed the remainder of this night in a state of the most intense mental and bodily anguish that can possibly be imagined.
7816_108621_000010_000001	The morning of the sixteenth at length dawned, and we looked eagerly around the horizon for relief, but to no purpose.	The morning of the sixteenth at length dawned, and we looked eagerly around the horizon for relief, but to no purpose.
7816_108621_000010_000005	Had I met them on shore in their present condition I should not have had the slightest suspicion that I had ever beheld them.	Had I met them on shore in their present condition I should not have had the slightest suspicion that I had ever beheld them.
7816_108621_000010_000007	Parker, although sadly reduced, and so feeble that he could not raise his head from his bosom, was not so far gone as the other two.	Parker, although sadly reduced, and so feeble that he could not raise his head from his bosom, was not so far gone as the other two.
7816_108621_000010_000008	He suffered with great patience, making no complaint, and endeavouring to inspire us with hope in every manner he could devise.	He suffered with great patience, making no complaint, and endeavouring to inspire us with hope in every manner he could devise.
7816_108621_000011_000001	Peters and Augustus took little notice of what he said, being apparently wrapped up in moody contemplation.	Peters and Augustus took little notice of what he said, being apparently wrapped up in moody contemplation.
7816_108621_000011_000002	Upon looking in the direction pointed out, I could not perceive the faintest appearance of the shore--indeed, I was too well aware that we were far from any land to indulge in a hope of that nature.	Upon looking in the direction pointed out, I could not perceive the faintest appearance of the shore-indeed, I was too well aware that we were far from any land to indulge in a hope of that nature.
7816_108621_000011_000003	It was a long time, nevertheless, before I could convince Parker of his mistake.	It was a long time, nevertheless, before I could convince Parker of his mistake.
7816_108621_000011_000004	He then burst into a flood of tears, weeping like a child, with loud cries and sobs, for two or three hours, when becoming exhausted, he fell asleep.	He then burst into a flood of tears, weeping like a child, with loud cries and sobs, for two or three hours, when becoming exhausted, he fell asleep.
7816_108621_000012_000000	Peters and Augustus now made several ineffectual efforts to swallow portions of the leather.	Peters and Augustus now made several ineffectual efforts to swallow portions of the leather.
7816_108621_000012_000001	I advised them to chew it and spit it out; but they were too excessively debilitated to be able to follow my advice.	I advised them to chew it and spit it out; but they were too excessively debilitated to be able to follow my advice.
7816_108621_000013_000001	She appeared to be a large ship, and was coming nearly athwart us, being probably twelve or fifteen miles distant.	She appeared to be a large ship, and was coming nearly athwart us, being probably twelve or fifteen miles distant.
7816_108621_000013_000002	None of my companions had as yet discovered her, and I forbore to tell them of her for the present, lest we might again be disappointed of relief.	None of my companions had as yet discovered her, and I forbore to tell them of her for the present, lest we might again be disappointed of relief.
7816_108621_000013_000003	At length upon her getting nearer, I saw distinctly that she was heading immediately for us, with her light sails filled.	At length upon her getting nearer, I saw distinctly that she was heading immediately for us, with her light sails filled.
7816_108621_000013_000004	I could now contain myself no longer, and pointed her out to my fellow-sufferers. They immediately sprang to their feet, again indulging in the most extravagant demonstrations of joy, weeping, laughing in an idiotic manner, jumping, stamping upon the deck, tearing their hair, and praying and cursing by turns.	I could now contain myself no longer, and pointed her out to my fellow sufferers. They immediately sprang to their feet, again indulging in the most extravagant demonstrations of joy, weeping, laughing in an idiotic manner, jumping, stamping upon the deck, tearing their hair, and praying and cursing by turns.
7816_108621_000014_000000	It was some time before I could induce my poor companions to believe that this sad reverse in our prospects had actually taken place.	It was some time before I could induce my poor companions to believe that this sad reverse in our prospects had actually taken place.
7816_108621_000014_000001	They replied to all my assertions with a stare and a gesture implying that they were not to be deceived by such misrepresentations.	They replied to all my assertions with a stare and a gesture implying that they were not to be deceived by such misrepresentations.
7816_108621_000014_000002	The conduct of Augustus most sensibly affected me.	The conduct of Augustus most sensibly affected me.
7816_108621_000014_000003	In spite of all I could say or do to the contrary, he persisted in saying that the ship was rapidly nearing us, and in making preparations to go on board of her.	In spite of all I could say or do to the contrary, he persisted in saying that the ship was rapidly nearing us, and in making preparations to go on board of her.
7816_108621_000014_000004	Some seaweed floating by the brig, he maintained that it was the ship's boat, and endeavoured to throw himself upon it, howling and shrieking in the most heartrending manner, when I forcibly restrained him from thus casting himself into the sea.	Some seaweed floating by the brig, he maintained that it was the ship's boat, and endeavoured to throw himself upon it, howling and shrieking in the most heartrending manner, when I forcibly restrained him from thus casting himself into the sea.
7816_108621_000015_000001	As soon as she was entirely gone, Parker turned suddenly toward me with an expression of countenance which made me shudder.	As soon as she was entirely gone, Parker turned suddenly toward me with an expression of countenance which made me shudder.
7816_108621_000015_000002	There was about him an air of self-possession which I had not noticed in him until now, and before he opened his lips my heart told me what he would say.	There was about him an air of self possession which I had not noticed in him until now, and before he opened his lips my heart told me what he would say.
7816_108621_000015_000003	He proposed, in a few words, that one of us should die to preserve the existence of the others.	He proposed, in a few words, that one of us should die to preserve the existence of the others.
