4519_6171_000001_000001	And now the question was between the moon and the cottage.	And now the question was between the moon and the cottage.
4519_6171_000012_000000	And the princess answered,	And the princess answered,
4519_6171_000013_000000	"Rosamond."	"Rosamond."
4519_6171_000014_000001	But the princess soon ventured to knock a third time.	But the princess soon ventured to knock a third time.
4519_6171_000015_000000	"What do you want?" said the voice.	"What do you want?" said the voice.
4519_6171_000016_000000	"Oh, please, let me in!" said the princess.	"Oh, please, let me in!" said the princess.
4519_6171_000018_000000	Then the door opened, and the princess entered.	Then the door opened, and the princess entered.
4519_6171_000018_000001	She looked all around, but saw nothing of the wise woman.	She looked all around, but saw nothing of the wise woman.
4519_6171_000019_000000	It was a single bare little room, with a white deal table, and a few old wooden chairs, a fire of fir-wood on the hearth, the smoke of which smelt sweet, and a patch of thick-growing heath in one corner.	It was a single bare little room, with a white deal table, and a few old wooden chairs, a fire of fir wood on the hearth, the smoke of which smelt sweet, and a patch of thick growing heath in one corner.
4519_6171_000019_000002	And what with the sufferings and terrors she had left outside, the new kind of tears she had shed, the love she had begun to feel for her parents, and the trust she had begun to place in the wise woman, it seemed to her as if her soul had grown larger of a sudden, and she had left the days of her childishness and naughtiness far behind her.	And what with the sufferings and terrors she had left outside, the new kind of tears she had shed, the love she had begun to feel for her parents, and the trust she had begun to place in the wise woman, it seemed to her as if her soul had grown larger of a sudden, and she had left the days of her childishness and naughtiness far behind her.
4519_6171_000019_000003	People are so ready to think themselves changed when it is only their mood that is changed!	People are so ready to think themselves changed when it is only their mood that is changed!
4519_6171_000019_000004	Those who are good-tempered because it is a fine day, will be ill-tempered when it rains: their selves are just the same both days; only in the one case, the fine weather has got into them, in the other the rainy.	Those who are good tempered because it is a fine day, will be ill tempered when it rains: their selves are just the same both days; only in the one case, the fine weather has got into them, in the other the rainy.
4519_6171_000020_000000	Then in her terror the princess grew angry, and saying to herself, "She must be somewhere in the place, else who was there to open the door to me?" began to shout and yell, and call the wise woman all the bad names she had been in the habit of throwing at her nurses.	Then in her terror the princess grew angry, and saying to herself, "She must be somewhere in the place, else who was there to open the door to me?" began to shout and yell, and call the wise woman all the bad names she had been in the habit of throwing at her nurses.
4519_6171_000021_000001	On the contrary, she thought she had a perfect right to be angry, for was she not most desperately ill used--and a princess too?	On the contrary, she thought she had a perfect right to be angry, for was she not most desperately ill used-and a princess too?
4519_6171_000021_000002	But the wind howled on, and the rain kept pouring down the chimney, and every now and then the lightning burst out, and the thunder rushed after it, as if the great lumbering sound could ever think to catch up with the swift light!	But the wind howled on, and the rain kept pouring down the chimney, and every now and then the lightning burst out, and the thunder rushed after it, as if the great lumbering sound could ever think to catch up with the swift light!
4519_6171_000022_000001	But being in a bad temper always makes people stupid, and presently she struck her forehead such a blow against something--she thought herself it felt like the old woman's cloak--that she fell back--not on the floor, though, but on the patch of heather, which felt as soft and pleasant as any bed in the palace.	But being in a bad temper always makes people stupid, and presently she struck her forehead such a blow against something-she thought herself it felt like the old woman's cloak-that she fell back-not on the floor, though, but on the patch of heather, which felt as soft and pleasant as any bed in the palace.
4519_6171_000023_000001	It was no use stopping to look about her, for what had she to do but forever look about her as she went on and on and on--never seeing any thing, and never expecting to see any thing!	It was no use stopping to look about her, for what had she to do but forever look about her as she went on and on and on-never seeing any thing, and never expecting to see any thing!
4519_6171_000023_000002	The only shadow of a hope she had was, that she might by slow degrees grow thinner and thinner, until at last she wore away to nothing at all; only alas! she could not detect the least sign that she had yet begun to grow thinner.	The only shadow of a hope she had was, that she might by slow degrees grow thinner and thinner, until at last she wore away to nothing at all; only alas! she could not detect the least sign that she had yet begun to grow thinner.
4519_6171_000023_000003	The hopelessness grew at length so unendurable that she woke with a start.	The hopelessness grew at length so unendurable that she woke with a start.
4519_6171_000023_000004	Seeing the face of the wise woman bending over her, she threw her arms around her neck and held up her mouth to be kissed.	Seeing the face of the wise woman bending over her, she threw her arms around her neck and held up her mouth to be kissed.
4519_6171_000023_000005	And the kiss of the wise woman was like the rose-gardens of Damascus.	And the kiss of the wise woman was like the rose gardens of Damascus.
