4519_6171_000000_000000	III.	three.	false	0.93	15.54	19.664026
4519_6171_000005_000000	But the old woman--as the princess called her, not knowing that her real name was the Wise Woman--had told her that she must knock at the door: how was she to do that when there was no door?	But the old woman-as the princess called her, not knowing that her real name was the Wise Woman-had told her that she must knock at the door: how was she to do that when there was no door?	true	312.47	323.5	22.524082
4519_6171_000005_000001	But again she bethought herself--that, if she could not do all she was told, she could, at least, do a part of it: if she could not knock at the door, she could at least knock--say on the wall, for there was nothing else to knock upon--and perhaps the old woman would hear her, and lift her in by some window.	But again she bethought herself-that, if she could not do all she was told, she could, at least, do a part of it: if she could not knock at the door, she could at least knock-say on the wall, for there was nothing else to knock upon-and perhaps the old woman would hear her, and lift her in by some window.	true	323.78	342.73	21.818865
4519_6171_000005_000002	Thereupon, she rose at once to her feet, and picking up a stone, began to knock on the wall with it.	Thereupon, she rose at once to her feet, and picking up a stone, began to knock on the wall with it.	true	343.52	349.62	23.515697
4519_6171_000005_000003	A loud noise was the result, and she found she was knocking on the very door itself.	A loud noise was the result, and she found she was knocking on the very door itself.	false	349.62	355.24	19.431736
4519_6171_000005_000004	For a moment she feared the old woman would be offended, but the next, there came a voice, saying,	For a moment she feared the old woman would be offended, but the next, there came a voice, saying,	true	355.61	361.42	22.692932
4519_6171_000006_000000	"Who is there?"	"Who is there?"	true	361.67	363.01	24.007206
4519_6171_000007_000000	The princess answered,	The princess answered,	true	363.65	365.14	22.281393
4519_6171_000008_000000	"Please, old woman, I did not mean to knock so loud."	"Please, old woman, I did not mean to knock so loud."	true	365.39	368.98	23.214489
4519_6171_000009_000000	To this there came no reply.	To this there came no reply.	true	369.38	371.44	23.505116
4519_6171_000010_000000	Then the princess knocked again, this time with her knuckles, and the voice came again, saying,	Then the princess knocked again, this time with her knuckles, and the voice came again, saying,	true	371.9	377.26	21.118103
4519_6171_000011_000000	"Who is there?"	"Who is there?"	true	377.3	378.55	23.20596
4519_6171_000012_000000	And the princess answered,	And the princess answered,	true	378.86	380.46	22.02583
4519_6171_000013_000000	"Rosamond."	"Rosamond."	true	380.46	381.73	21.513653
4519_6171_000014_000000	Then a second time there was silence.	Then a second time there was silence.	false	382.28	384.43	19.379986
4519_6171_000014_000001	But the princess soon ventured to knock a third time.	But the princess soon ventured to knock a third time.	true	384.5	387.46	21.809734
4519_6171_000015_000000	"What do you want?" said the voice.	"What do you want?" said the voice.	true	387.77	389.62	24.120424
4519_6171_000016_000000	"Oh, please, let me in!" said the princess.	"Oh, please, let me in!" said the princess.	true	389.96	392.5	20.890556
4519_6171_000017_000000	"The moon will keep staring at me; and I hear the wolves in the wood."	"The moon will keep staring at me; and I hear the wolves in the wood."	true	392.54	396.82	19.783749
4519_6171_000018_000000	Then the door opened, and the princess entered.	Then the door opened, and the princess entered.	true	397.4	400.27	21.85065
4519_6171_000018_000001	She looked all around, but saw nothing of the wise woman.	She looked all around, but saw nothing of the wise woman.	true	400.4	404.14	20
4519_6171_000019_000000	It was a single bare little room, with a white deal table, and a few old wooden chairs, a fire of fir-wood on the hearth, the smoke of which smelt sweet, and a patch of thick-growing heath in one corner.	It was a single bare little room, with a white deal table, and a few old wooden chairs, a fire of fir wood on the hearth, the smoke of which smelt sweet, and a patch of thick growing heath in one corner.	true	404.66	418.06	21.32119
4519_6171_000019_000001	Poor as it was, compared to the grand place Rosamond had left, she felt no little satisfaction as she shut the door, and looked around her.	Poor as it was, compared to the grand place Rosamond had left, she felt no little satisfaction as she shut the door, and looked around her.	false	418.55	426.79	19.614933
4519_6171_000019_000002	And what with the sufferings and terrors she had left outside, the new kind of tears she had shed, the love she had begun to feel for her parents, and the trust she had begun to place in the wise woman, it seemed to her as if her soul had grown larger of a sudden, and she had left the days of her childishness and naughtiness far behind her.	And what with the sufferings and terrors she had left outside, the new kind of tears she had shed, the love she had begun to feel for her parents, and the trust she had begun to place in the wise woman, it seemed to her as if her soul had grown larger of a sudden, and she had left the days of her childishness and naughtiness far behind her.	true	427.04	447.31	20
4519_6171_000019_000003	People are so ready to think themselves changed when it is only their mood that is changed!	People are so ready to think themselves changed when it is only their mood that is changed!	true	447.71	453.01	22.050901
4519_6171_000019_000004	Those who are good-tempered because it is a fine day, will be ill-tempered when it rains: their selves are just the same both days; only in the one case, the fine weather has got into them, in the other the rainy.	Those who are good tempered because it is a fine day, will be ill tempered when it rains: their selves are just the same both days; only in the one case, the fine weather has got into them, in the other the rainy.	true	453.08	465.55	21.995264
4519_6171_000019_000005	Rosamond, as she sat warming herself by the glow of the peat-fire, turning over in her mind all that had passed, and feeling how pleasant the change in her feelings was, began by degrees to think how very good she had grown, and how very good she was to have grown good, and how extremely good she must always have been that she was able to grow so very good as she now felt she had grown; and she became so absorbed in her self-admiration as never to notice either that the fire was dying, or that a heap of fir-cones lay in a corner near it. Suddenly, a great wind came roaring down the chimney, and scattered the ashes about the floor; a tremendous rain followed, and fell hissing on the embers; the moon was swallowed up, and there was darkness all about her.	Rosamond, as she sat warming herself by the glow of the peat fire, turning over in her mind all that had passed, and feeling how pleasant the change in her feelings was, began by degrees to think how very good she had grown, and how very good she was to have grown good, and how extremely good she must always have been that she was able to grow so very good as she now felt she had grown; and she became so absorbed in her self admiration as never to notice either that the fire was dying, or that a heap of fir cones lay in a corner near it. Suddenly, a great wind came roaring down the chimney, and scattered the ashes about the floor; a tremendous rain followed, and fell hissing on the embers; the moon was swallowed up, and there was darkness all about her.	false	466.28	515.98	21.005686
4519_6171_000019_000006	Then a flash of lightning, followed by a peal of thunder, so terrified the princess, that she cried aloud for the old woman, but there came no answer to her cry.	Then a flash of lightning, followed by a peal of thunder, so terrified the princess, that she cried aloud for the old woman, but there came no answer to her cry.	true	516.11	526.57	19.794207
4519_6171_000020_000000	Then in her terror the princess grew angry, and saying to herself, "She must be somewhere in the place, else who was there to open the door to me?" began to shout and yell, and call the wise woman all the bad names she had been in the habit of throwing at her nurses.	Then in her terror the princess grew angry, and saying to herself, "She must be somewhere in the place, else who was there to open the door to me?" began to shout and yell, and call the wise woman all the bad names she had been in the habit of throwing at her nurses.	true	527.18	543.82	21
4519_6171_000020_000001	But there came not a single sound in reply.	But there came not a single sound in reply.	true	544.28	547.48	18
4519_6171_000021_000000	Strange to say, the princess never thought of telling herself now how naughty she was, though that would surely have been reasonable.	Strange to say, the princess never thought of telling herself now how naughty she was, though that would surely have been reasonable.	false	547.76	555.07	19.53306
4519_6171_000021_000001	On the contrary, she thought she had a perfect right to be angry, for was she not most desperately ill used--and a princess too?	On the contrary, she thought she had a perfect right to be angry, for was she not most desperately ill used-and a princess too?	true	555.38	564.1	20.808523
4519_6171_000021_000002	But the wind howled on, and the rain kept pouring down the chimney, and every now and then the lightning burst out, and the thunder rushed after it, as if the great lumbering sound could ever think to catch up with the swift light!	But the wind howled on, and the rain kept pouring down the chimney, and every now and then the lightning burst out, and the thunder rushed after it, as if the great lumbering sound could ever think to catch up with the swift light!	true	564.62	577.72	20.840004
4519_6171_000022_000000	At length the princess had again grown so angry, frightened, and miserable, all together, that she jumped up and hurried about the cottage with outstretched arms, trying to find the wise woman.	At length the princess had again grown so angry, frightened, and miserable, all together, that she jumped up and hurried about the cottage with outstretched arms, trying to find the wise woman.	true	578.15	589.54	19
4519_6171_000022_000001	But being in a bad temper always makes people stupid, and presently she struck her forehead such a blow against something--she thought herself it felt like the old woman's cloak--that she fell back--not on the floor, though, but on the patch of heather, which felt as soft and pleasant as any bed in the palace.	But being in a bad temper always makes people stupid, and presently she struck her forehead such a blow against something-she thought herself it felt like the old woman's cloak-that she fell back-not on the floor, though, but on the patch of heather, which felt as soft and pleasant as any bed in the palace.	true	590.06	609.04	21.897568
4519_6171_000022_000002	There, worn out with weeping and rage, she soon fell fast asleep.	There, worn out with weeping and rage, she soon fell fast asleep.	true	609.53	614.26	19.805508
4519_6171_000023_000000	She dreamed that she was the old cold woman up in the sky, with no home and no friends, and no nothing at all, not even a pocket; wandering, wandering forever, over a desert of blue sand, never to get to anywhere, and never to lie down or die.	She dreamed that she was the old cold woman up in the sky, with no home and no friends, and no nothing at all, not even a pocket; wandering, wandering forever, over a desert of blue sand, never to get to anywhere, and never to lie down or die.	false	614.87	631.6	21.517122
4519_6171_000023_000001	It was no use stopping to look about her, for what had she to do but forever look about her as she went on and on and on--never seeing any thing, and never expecting to see any thing!	It was no use stopping to look about her, for what had she to do but forever look about her as she went on and on and on-never seeing any thing, and never expecting to see any thing!	true	631.94	643.42	20
4519_6171_000023_000002	The only shadow of a hope she had was, that she might by slow degrees grow thinner and thinner, until at last she wore away to nothing at all; only alas! she could not detect the least sign that she had yet begun to grow thinner.	The only shadow of a hope she had was, that she might by slow degrees grow thinner and thinner, until at last she wore away to nothing at all; only alas! she could not detect the least sign that she had yet begun to grow thinner.	true	643.91	658.24	20.79418
4519_6171_000023_000003	The hopelessness grew at length so unendurable that she woke with a start.	The hopelessness grew at length so unendurable that she woke with a start.	true	658.55	664.03	21.956087
4519_6171_000023_000004	Seeing the face of the wise woman bending over her, she threw her arms around her neck and held up her mouth to be kissed.	Seeing the face of the wise woman bending over her, she threw her arms around her neck and held up her mouth to be kissed.	true	664.28	671.92	20.830229
4519_6171_000023_000005	And the kiss of the wise woman was like the rose-gardens of Damascus.	And the kiss of the wise woman was like the rose gardens of Damascus.	true	672.08	676.62	21
4519_6171_000024_000000	IV.	i v.	false	676.62	676.86	-20
4519_6171_000025_000000	The wise woman lifted her tenderly, and washed and dressed her far more carefully than even her nurse.	The wise woman lifted her tenderly, and washed and dressed her far more carefully than even her nurse.	false	676.86	679.17	24.189669
4519_6171_000025_000001	Then she set her down by the fire, and prepared her breakfast.	Then she set her down by the fire, and prepared her breakfast.	false	679.17	680.76	20.066578
4519_6171_000025_000002	The princess was very hungry, and the bread and milk as good as it could be, so that she thought she had never in her life eaten any thing nicer.	The princess was very hungry, and the bread and milk as good as it could be, so that she thought she had never in her life eaten any thing nicer.	false	680.76	684.15	-20
4519_6171_000025_000003	Nevertheless, as soon as she began to have enough, she said to herself,--	Nevertheless, as soon as she began to have enough, she said to herself,--	false	684.15	685.62	-20
