30_4447_000001_000000	CHAPTER III	CHAPTER three
30_4447_000006_000003	She was a plain, motherly kind of woman, who had worked hard in her youth, and now thought herself entitled to the occasional holiday of a tea-visit; and having formerly owed much to Mr. Woodhouse's kindness, felt his particular claim on her to leave her neat parlour, hung round with fancy-work, whenever she could, and win or lose a few sixpences by his fireside.	She was a plain, motherly kind of woman, who had worked hard in her youth, and now thought herself entitled to the occasional holiday of a tea visit; and having formerly owed much to mr Woodhouse's kindness, felt his particular claim on her to leave her neat parlour, hung round with fancy work, whenever she could, and win or lose a few sixpences by his fireside.
30_4447_000007_000000	These were the ladies whom Emma found herself very frequently able to collect; and happy was she, for her father's sake, in the power; though, as far as she was herself concerned, it was no remedy for the absence of Mrs. Weston.	These were the ladies whom Emma found herself very frequently able to collect; and happy was she, for her father's sake, in the power; though, as far as she was herself concerned, it was no remedy for the absence of mrs Weston.
30_4447_000008_000000	As she sat one morning, looking forward to exactly such a close of the present day, a note was brought from Mrs. Goddard, requesting, in most respectful terms, to be allowed to bring Miss Smith with her; a most welcome request: for Miss Smith was a girl of seventeen, whom Emma knew very well by sight, and had long felt an interest in, on account of her beauty.	As she sat one morning, looking forward to exactly such a close of the present day, a note was brought from mrs Goddard, requesting, in most respectful terms, to be allowed to bring Miss Smith with her; a most welcome request: for Miss Smith was a girl of seventeen, whom Emma knew very well by sight, and had long felt an interest in, on account of her beauty.
30_4447_000009_000000	Harriet Smith was the natural daughter of somebody.	Harriet Smith was the natural daughter of somebody.
30_4447_000009_000001	Somebody had placed her, several years back, at Mrs. Goddard's school, and somebody had lately raised her from the condition of scholar to that of parlour-boarder.	Somebody had placed her, several years back, at mrs Goddard's school, and somebody had lately raised her from the condition of scholar to that of parlour boarder.
30_4447_000009_000002	This was all that was generally known of her history. She had no visible friends but what had been acquired at Highbury, and was now just returned from a long visit in the country to some young ladies who had been at school there with her.	This was all that was generally known of her history. She had no visible friends but what had been acquired at Highbury, and was now just returned from a long visit in the country to some young ladies who had been at school there with her.
30_4447_000011_000002	The acquaintance she had already formed were unworthy of her.	The acquaintance she had already formed were unworthy of her.
30_4447_000011_000003	The friends from whom she had just parted, though very good sort of people, must be doing her harm.	The friends from whom she had just parted, though very good sort of people, must be doing her harm.
30_4447_000014_000000	Such another small basin of thin gruel as his own was all that he could, with thorough self-approbation, recommend; though he might constrain himself, while the ladies were comfortably clearing the nicer things, to say:	Such another small basin of thin gruel as his own was all that he could, with thorough self approbation, recommend; though he might constrain himself, while the ladies were comfortably clearing the nicer things, to say:
30_4447_000015_000000	"Mrs. Bates, let me propose your venturing on one of these eggs.	"mrs Bates, let me propose your venturing on one of these eggs.
30_4447_000015_000001	An egg boiled very soft is not unwholesome.	An egg boiled very soft is not unwholesome.
30_4447_000015_000005	Ours are all apple-tarts.	Ours are all apple tarts.
30_4447_000015_000007	I do not advise the custard.	I do not advise the custard.
30_4447_000015_000010	I do not think it could disagree with you."	I do not think it could disagree with you."
30_4447_000016_000000	Emma allowed her father to talk--but supplied her visitors in a much more satisfactory style, and on the present evening had particular pleasure in sending them away happy.	Emma allowed her father to talk-but supplied her visitors in a much more satisfactory style, and on the present evening had particular pleasure in sending them away happy.
30_4447_000016_000001	The happiness of Miss Smith was quite equal to her intentions.	The happiness of Miss Smith was quite equal to her intentions.
