126_125084_000000_000000	CHAPTER I	CHAPTER one	true	25.08	26.26	15
126_125084_000006_000001	If it does not show us Cartier as he was,--and we have no absolute proof in the one or the other direction,--at least it shows us Cartier as he might well have been, with precisely the face and bearing which the hero-worshipper would read into the character of such a discoverer.	If it does not show us Cartier as he was,--and we have no absolute proof in the one or the other direction,--at least it shows us Cartier as he might well have been, with precisely the face and bearing which the hero worshipper would read into the character of such a discoverer.	true	359.63	378.82	16
126_125084_000007_000000	The port of St Malo, the birthplace and the home of Cartier, is situated in the old province of Brittany, in the present department of Ille-et-Vilaine.	The port of saint Malo, the birthplace and the home of Cartier, is situated in the old province of Brittany, in the present department of Ille et Vilaine.	true	380.6	390.94	17
126_125084_000007_000001	It is thus near the lower end of the English Channel. To the north, about forty miles away, lies Jersey, the nearest of the Channel Islands, while on the west surges the restless tide of the broad Atlantic.	It is thus near the lower end of the English Channel. To the north, about forty miles away, lies Jersey, the nearest of the Channel Islands, while on the west surges the restless tide of the broad Atlantic.	true	391.73	405.61	17
126_125084_000007_000002	The situation of the port has made it a nursery of hardy seamen.	The situation of the port has made it a nursery of hardy seamen.	true	406.4	410.41	14
126_125084_000007_000003	The town stands upon a little promontory that juts out as a peninsula into the ocean.	The town stands upon a little promontory that juts out as a peninsula into the ocean.	true	410.81	416.53	17
126_125084_000007_000004	The tide pours in and out of the harbour thus formed, and rises within the harbour to a height of thirty or forty feet.	The tide pours in and out of the harbour thus formed, and rises within the harbour to a height of thirty or forty feet.	true	416.9	424.54	16
126_125084_000007_000005	The rude gales of the western ocean spend themselves upon the rocky shores of this Breton coast.	The rude gales of the western ocean spend themselves upon the rocky shores of this Breton coast.	true	424.88	431.02	11
126_125084_000007_000006	Here for centuries has dwelt a race of adventurous fishermen and navigators, whose daring is unsurpassed by any other seafaring people in the world.	Here for centuries has dwelt a race of adventurous fishermen and navigators, whose daring is unsurpassed by any other seafaring people in the world.	false	431.24	443.14	15
126_125084_000008_000000	The history, or at least the legend, of the town goes back ten centuries before the time of Cartier.	The history, or at least the legend, of the town goes back ten centuries before the time of Cartier.	true	444.29	450.88	16
126_125084_000008_000001	It was founded, tradition tells us, by a certain Aaron, a pilgrim who landed there with his disciples in the year 507 A.D., and sought shelter upon the sea-girt promontory which has since borne the name of Aaron's Rock.	It was founded, tradition tells us, by a certain Aaron, a pilgrim who landed there with his disciples in the year five hundred seven a d, and sought shelter upon the sea girt promontory which has since borne the name of Aaron's Rock.	false	451.52	467.26	17
126_125084_000008_000002	Aaron founded a settlement.	Aaron founded a settlement.	true	467.99	470.14	20
126_125084_000008_000003	To the same place came, about twenty years later, a bishop of Castle Gwent, with a small band of followers.	To the same place came, about twenty years later, a bishop of Castle Gwent, with a small band of followers.	true	470.78	477.97	17
126_125084_000008_000004	The leader of this flock was known as St Malo, and he gave his name to the seaport.	The leader of this flock was known as saint Malo, and he gave his name to the seaport.	false	478.88	484.36	17
126_125084_000009_000000	But the religious character of the first settlement soon passed away. St Malo became famous as the headquarters of the corsairs of the northern coast.	But the religious character of the first settlement soon passed away. saint Malo became famous as the headquarters of the corsairs of the northern coast.	true	486.14	495.67	14
126_125084_000009_000001	These had succeeded the Vikings of an earlier day, and they showed a hardihood and a reckless daring equal to that of their predecessors.	These had succeeded the Vikings of an earlier day, and they showed a hardihood and a reckless daring equal to that of their predecessors.	true	496.01	504.88	12
126_125084_000009_000002	Later on, in more settled times, the place fell into the hands of the fishermen and traders of northern France.	Later on, in more settled times, the place fell into the hands of the fishermen and traders of northern France.	true	505.52	512.68	16
126_125084_000009_000003	When hardy sailors pushed out into the Atlantic ocean to reach the distant shores of America, St Malo became a natural port and place of outfit for the passage of the western sea.	When hardy sailors pushed out into the Atlantic ocean to reach the distant shores of America, saint Malo became a natural port and place of outfit for the passage of the western sea.	false	513.14	525.13	15
126_125084_000010_000000	Jacques Cartier first saw the light in the year 1491.	Jacques Cartier first saw the light in the year fourteen ninety one.	true	526.91	530.95	12
126_125084_000010_000001	The family has been traced back to a grandfather who lived in the middle of the fifteenth century.	The family has been traced back to a grandfather who lived in the middle of the fifteenth century.	true	531.86	537.43	14
126_125084_000010_000002	This Jean Cartier, or Quartier, who was born in St Malo in 1428, took to wife in 1457 Guillemette Baudoin.	This Jean Cartier, or Quartier, who was born in saint Malo in fourteen twenty eight, took to wife in fourteen fifty seven Guillemette Baudoin.	false	538.52	550.77	20.042036
126_125084_000010_000003	Of the four sons that she bore him, Jamet, the eldest, married Geseline Jansart, and of their five children the second one, Jacques, rose to greatness as the discoverer of Canada.	Of the four sons that she bore him, Jamet, the eldest, married Geseline Jansart, and of their five children the second one, Jacques, rose to greatness as the discoverer of Canada.	false	550.77	565.54	18
126_125084_000010_000004	There is little to chronicle that is worth while of the later descendants of the original stock.	There is little to chronicle that is worth while of the later descendants of the original stock.	true	566.66	572.56	13
126_125084_000010_000005	Jacques Cartier himself was married in 1519 to Marie Katherine des Granches.	Jacques Cartier himself was married in fifteen nineteen to Marie Katherine des Granches.	false	573.44	580.155	19
126_125084_000010_000006	Her father was the Chevalier Honore des Granches, high constable of St Malo.	Her father was the Chevalier Honore des Granches, high constable of saint Malo.	false	580.155	585.82	12
126_125084_000010_000007	In all probability he stood a few degrees higher in the social scale of the period than such plain seafaring folk as the Cartier family.	In all probability he stood a few degrees higher in the social scale of the period than such plain seafaring folk as the Cartier family.	true	586.4	594.91	15
126_125084_000010_000008	From this, biographers have sought to prove that, early in life, young Jacques Cartier must have made himself a notable person among his townsmen.	From this, biographers have sought to prove that, early in life, young Jacques Cartier must have made himself a notable person among his townsmen.	true	595.55	605.86	13
126_125084_000010_000009	But the plain truth is that we know nothing of the circumstances that preceded the marriage, and have only the record of 15199 on the civil register of St Malo: 'The nuptial benediction was received by Jacques Cartier, master-pilot of the port of Saincte-Malo, son of Jamet Cartier and of Geseline Jansart, and Marie Katherine des Granches, daughter of Messire Honore des Granches, chevalier of our lord the king, and constable of the town and city of Saint-Malo.'	But the plain truth is that we know nothing of the circumstances that preceded the marriage, and have only the record of fifteen thousand one hundred ninety nine on the civil register of saint Malo: 'The nuptial benediction was received by Jacques Cartier, master pilot of the port of Saincte Malo, son of Jamet Cartier and of Geseline Jansart, and Marie Katherine des Granches, daughter of Messire Honore des Granches, chevalier of our lord the king, and constable of the town and city of Saint Malo.'	false	606.68	640.51	18
126_125084_000011_000000	Cartier's marriage was childless, so that he left no direct descendants.	Cartier's marriage was childless, so that he left no direct descendants.	true	641.51	646.69	17
126_125084_000011_000001	But the branches of the family descended from the original Jean Cartier appear on the registers of St Malo, Saint Briac, and other places in some profusion during the sixteenth and seventeenth centuries.	But the branches of the family descended from the original Jean Cartier appear on the registers of saint Malo, Saint Briac, and other places in some profusion during the sixteenth and seventeenth centuries.	true	646.88	659.8	15
126_125084_000011_000002	The family seems to have died out, although not many years ago direct descendants of Pierre Cartier, the uncle of Jacques, were still surviving in France.	The family seems to have died out, although not many years ago direct descendants of Pierre Cartier, the uncle of Jacques, were still surviving in France.	true	660.11	671.17	17
126_125084_000012_000000	It is perhaps no great loss to the world that we have so little knowledge of the ancestors and relatives of the famous mariner.	It is perhaps no great loss to the world that we have so little knowledge of the ancestors and relatives of the famous mariner.	true	671.84	678.7	8
126_125084_000012_000001	It is, however, deeply to be deplored that, beyond the record of his voyages, we know so little of Jacques Cartier himself.	It is, however, deeply to be deplored that, beyond the record of his voyages, we know so little of Jacques Cartier himself.	true	679.31	687.16	14
126_125084_000012_000002	We may take it for granted that he early became a sailor.	We may take it for granted that he early became a sailor.	true	687.47	691.93	19
126_125084_000012_000003	Brought up at such a time and place, he could hardly have failed to do so.	Brought up at such a time and place, he could hardly have failed to do so.	false	691.94	697.15	18.89437
126_125084_000012_000004	Within a few years after the great discovery of Columbus, the Channel ports of St Malo and Dieppe were sending forth adventurous fishermen to ply their trade among the fogs of the Great Banks of the New Land.	Within a few years after the great discovery of Columbus, the Channel ports of saint Malo and Dieppe were sending forth adventurous fishermen to ply their trade among the fogs of the Great Banks of the New Land.	true	697.19	710.32	15
126_125084_000012_000005	The Breton boy, whom we may imagine wandering about the crowded wharves of the little harbour, must have heard strange tales from the sailors of the new discoveries.	The Breton boy, whom we may imagine wandering about the crowded wharves of the little harbour, must have heard strange tales from the sailors of the new discoveries.	false	711.5	722.83	17
126_125084_000012_000006	Doubtless he grew up, as did all the seafarers of his generation, with the expectation that at any time some fortunate adventurer might find behind the coasts and islands now revealed to Europe in the western sea the half-fabled empires of Cipango and Cathay.	Doubtless he grew up, as did all the seafarers of his generation, with the expectation that at any time some fortunate adventurer might find behind the coasts and islands now revealed to Europe in the western sea the half fabled empires of c i pango and Cathay.	false	723.53	742.18	15
126_125084_000012_000007	That, when a boy, he came into actual contact with sailors who had made the Atlantic voyage is not to be questioned.	That, when a boy, he came into actual contact with sailors who had made the Atlantic voyage is not to be questioned.	false	743.09	750.88	14
126_125084_000012_000008	We know that in 1507 the Pensee of Dieppe had crossed to the coast of Newfoundland and that this adventure was soon followed by the sailing of other Norman ships for the same goal.	We know that in fifteen o seven the Pensee of Dieppe had crossed to the coast of Newfoundland and that this adventure was soon followed by the sailing of other Norman ships for the same goal.	false	751.49	762.76	15
126_125084_000013_000000	We have, however, no record of Cartier and his actual doings until we find his name in an entry on the baptismal register of St Malo.	We have, however, no record of Cartier and his actual doings until we find his name in an entry on the baptismal register of saint Malo.	true	764	772.48	12
126_125084_000013_000001	He stood as godfather to his nephew, Etienne Nouel, the son of his sister Jehanne.	He stood as godfather to his nephew, Etienne Nouel, the son of his sister Jehanne.	false	773.06	780.75	20.223732
126_125084_000013_000002	Strangely enough, this proved to be only the first of a great many sacred ceremonies of this sort in which he took part.	Strangely enough, this proved to be only the first of a great many sacred ceremonies of this sort in which he took part.	true	780.75	787.93	13
126_125084_000013_000003	There is a record of more than fifty baptisms at St Malo in the next forty-five years in which the illustrious mariner had some share; in twenty-seven of them he appeared as a godfather.	There is a record of more than fifty baptisms at saint Malo in the next forty five years in which the illustrious mariner had some share; in twenty seven of them he appeared as a godfather.	true	788.45	800.5	15
126_125084_000014_000000	What voyages Cartier actually made before he suddenly appears in history as a pilot of the king of France and the protege of the high admiral of France we do not know.	What voyages Cartier actually made before he suddenly appears in history as a pilot of the king of France and the protege of the high admiral of France we do not know.	true	801.59	812.35	14
126_125084_000014_000001	This position in itself, and the fact that at the time of his marriage in 1519 he had already the rank of master-pilot, would show that he had made the Atlantic voyage.	This position in itself, and the fact that at the time of his marriage in fifteen nineteen he had already the rank of master pilot, would show that he had made the Atlantic voyage.	true	812.9	824.26	16
126_125084_000014_000002	There is some faint evidence that he had even been to Brazil, for in the account of his first recorded voyage he makes a comparison between the maize of Canada and that of South America; and in those days this would scarcely have occurred to a writer who had not seen both plants of which he spoke.	There is some faint evidence that he had even been to Brazil, for in the account of his first recorded voyage he makes a comparison between the maize of Canada and that of South America; and in those days this would scarcely have occurred to a writer who had not seen both plants of which he spoke.	true	824.96	842.53	16
126_125084_000014_000003	'There groweth likewise,' so runs the quaint translation that appears in Hakluyt's 'Voyages,' 'a kind of Millet as big as peason [i.e. peas] like unto that which groweth in Bresil.' And later on, in the account of his second voyage, he repeats the reference to Brazil; then 'goodly and large fields' which he saw on the present site of Montreal recall to him the millet fields of Brazil.	'There groweth likewise,' so runs the quaint translation that appears in Hakluyt's 'Voyages,' 'a kind of Millet as big as peason [i e peas] like unto that which groweth in Bresil.' And later on, in the account of his second voyage, he repeats the reference to Brazil; then 'goodly and large fields' which he saw on the present site of Montreal recall to him the millet fields of Brazil.	false	842.93	874.12	19.767021
126_125084_000014_000004	It is possible, indeed, that not only had he been in Brazil, but that he had carried a native of that country to France.	It is possible, indeed, that not only had he been in Brazil, but that he had carried a native of that country to France.	true	875.03	882.88	13
126_125084_000014_000005	In a baptismal register of St Malo is recorded the christening, in 1528, of a certain 'Catherine of Brezil,' to whom Cartier's wife stood godmother.	In a baptismal register of saint Malo is recorded the christening, in fifteen twenty eight, of a certain 'Catherine of Brezil,' to whom Cartier's wife stood godmother.	false	883.25	894.52	18
126_125084_000014_000006	We may, in fancy at least, suppose that this forlorn little savage with the regal title was a little girl whom the navigator, after the fashion of his day, had brought home as living evidence of the existence of the strange lands that he had seen.	We may, in fancy at least, suppose that this forlorn little savage with the regal title was a little girl whom the navigator, after the fashion of his day, had brought home as living evidence of the existence of the strange lands that he had seen.	true	895.1	911.08	14
126_125084_000015_000000	Out of this background, then, of uncertainty and conjecture emerges, in 1534, Jacques Cartier, a master-pilot in the prime of life, now sworn to the service of His Most Christian Majesty Francis I of France, and about to undertake on behalf of his illustrious master a voyage to the New Land.	Out of this background, then, of uncertainty and conjecture emerges, in fifteen thirty four, Jacques Cartier, a master pilot in the prime of life, now sworn to the service of His Most Christian Majesty Francis the first of France, and about to undertake on behalf of his illustrious master a voyage to the New Land.	false	912.56	937.05	18
126_125084_000016_000000	CHAPTER II	CHAPTER two	false	937.05	937.26	-20
126_125084_000017_000000	THE FIRST VOYAGE--NEWFOUNDLAND AND LABRADOR	THE FIRST VOYAGE-NEWFOUNDLAND AND LABRADOR	false	937.26	937.89	-20
126_125084_000018_000000	It was on April 20, 1534, that Jacques Cartier sailed out of the port of St Malo on his first voyage in the service of Francis I. Before leaving their anchorage the commander, the sailing-masters, and the men took an oath, administered by Charles de Mouy, vice-admiral of France, that they would behave themselves truly and faithfully in the service of the Most Christian King.	It was on april twentieth fifteen thirty four, that Jacques Cartier sailed out of the port of saint Malo on his first voyage in the service of Francis the first Before leaving their anchorage the commander, the sailing masters, and the men took an oath, administered by Charles de Mouy, vice admiral of France, that they would behave themselves truly and faithfully in the service of the Most Christian King.	false	937.89	939.96	19.628805
126_125084_000018_000001	The company were borne in two ships, each of about sixty tons burden, and numbered in all sixty-one souls.	The company were borne in two ships, each of about sixty tons burden, and numbered in all sixty one souls.	false	939.96	943.41	19.789183
