882_123268_000002_000000	CHAPTER XV.	CHAPTER fifteen.
882_123268_000022_000000	To judge by the distant appearance of the summit of Snaefell, it would have seemed too steep to ascend on our side.	To judge by the distant appearance of the summit of Snaefell, it would have seemed too steep to ascend on our side.
882_123268_000022_000002	It was formed by one of those torrents of stones flung up by the eruptions, called 'sting' by the Icelanders.	It was formed by one of those torrents of stones flung up by the eruptions, called 'sting' by the Icelanders.
882_123268_000023_000000	Such as it was, it did us good service.	Such as it was, it did us good service.
882_123268_000023_000001	The steepness increased, but these stone steps allowed us to rise with facility, and even with such rapidity that, having rested for a moment while my companions continued their ascent, I perceived them already reduced by distance to microscopic dimensions.	The steepness increased, but these stone steps allowed us to rise with facility, and even with such rapidity that, having rested for a moment while my companions continued their ascent, I perceived them already reduced by distance to microscopic dimensions.
882_123268_000025_000000	Three thousand two hundred feet below us stretched the sea.	Three thousand two hundred feet below us stretched the sea.
882_123268_000025_000004	The Professor saw that my limbs were refusing to perform their office, and in spite of his impatience he decided on stopping.	The Professor saw that my limbs were refusing to perform their office, and in spite of his impatience he decided on stopping.
882_123268_000025_000005	He therefore spoke to the hunter, who shook his head, saying:	He therefore spoke to the hunter, who shook his head, saying:
882_123268_000032_000000	"Look!" said my uncle.	"Look!" said my uncle.
882_123268_000033_000000	I looked down upon the plain.	I looked down upon the plain.
882_123268_000033_000002	If that huge revolving pillar sloped down, it would involve us in its whirling eddies.	If that huge revolving pillar sloped down, it would involve us in its whirling eddies.
882_123268_000033_000003	This phenomenon, which is not unfrequent when the wind blows from the glaciers, is called in Icelandic 'mistour.'	This phenomenon, which is not unfrequent when the wind blows from the glaciers, is called in Icelandic 'mistour.'
882_123268_000035_000000	Without knowing Danish I understood at once that we must follow Hans at the top of our speed.	Without knowing Danish I understood at once that we must follow Hans at the top of our speed.
882_123268_000035_000002	Happily we were on the opposite side, and sheltered from all harm.	Happily we were on the opposite side, and sheltered from all harm.
882_123268_000036_000000	Yet Hans did not think it prudent to spend the night upon the sides of the cone.	Yet Hans did not think it prudent to spend the night upon the sides of the cone.
882_123268_000036_000004	I was yielding to the effects of hunger and cold.	I was yielding to the effects of hunger and cold.
882_123268_000036_000005	The rarefied air scarcely gave play to the action of my lungs.	The rarefied air scarcely gave play to the action of my lungs.
