8163_274549_000000_000000	METZENGERSTEIN	m e t z e n g e r s t e i n	false	3.12	21.6	23.402586
8163_274549_000008_000000	Frederick, Baron Metzengerstein, was, on the other hand, not yet of age. His father, the Minister G--, died young.	Frederick, Baron Metzengerstein, was, on the other hand, not yet of age. His father, the Minister G-, died young.	true	254.99	265.26	21.186954
8163_274549_000008_000001	His mother, the Lady Mary, followed him quickly after.	His mother, the Lady Mary, followed him quickly after.	true	265.26	269.11	22.303345
8163_274549_000008_000002	Frederick was, at that time, in his fifteenth year.	Frederick was, at that time, in his fifteenth year.	false	269.69	273.04	22.784372
8163_274549_000008_000003	In a city, fifteen years are no long period--a child may be still a child in his third lustrum: but in a wilderness--in so magnificent a wilderness as that old principality, fifteen years have a far deeper meaning.	In a city, fifteen years are no long period-a child may be still a child in his third lustrum: but in a wilderness-in so magnificent a wilderness as that old principality, fifteen years have a far deeper meaning.	false	273.11	287.62	20.6382
8163_274549_000009_000000	From some peculiar circumstances attending the administration of his father, the young Baron, at the decease of the former, entered immediately upon his vast possessions.	From some peculiar circumstances attending the administration of his father, the young Baron, at the decease of the former, entered immediately upon his vast possessions.	true	288.35	299.71	20.867954
8163_274549_000009_000001	Such estates were seldom held before by a nobleman of Hungary.	Such estates were seldom held before by a nobleman of Hungary.	true	299.81	304.06	19
8163_274549_000009_000002	His castles were without number.	His castles were without number.	true	304.55	306.73	21.74143
8163_274549_000009_000003	The chief in point of splendor and extent was the "Chateau Metzengerstein." The boundary line of his dominions was never clearly defined; but his principal park embraced a circuit of fifty miles.	The chief in point of splendor and extent was the "Chateau Metzengerstein." The boundary line of his dominions was never clearly defined; but his principal park embraced a circuit of fifty miles.	false	306.92	319.84	23
8163_274549_000010_000000	Upon the succession of a proprietor so young, with a character so well known, to a fortune so unparalleled, little speculation was afloat in regard to his probable course of conduct.	Upon the succession of a proprietor so young, with a character so well known, to a fortune so unparalleled, little speculation was afloat in regard to his probable course of conduct.	true	320.09	332.98	23.2526
8163_274549_000010_000001	And, indeed, for the space of three days, the behavior of the heir out-heroded Herod, and fairly surpassed the expectations of his most enthusiastic admirers.	And, indeed, for the space of three days, the behavior of the heir out heroded Herod, and fairly surpassed the expectations of his most enthusiastic admirers.	false	333.29	344.71	22.306223
8163_274549_000010_000002	Shameful debaucheries--flagrant treacheries--unheard-of atrocities--gave his trembling vassals quickly to understand that no servile submission on their part--no punctilios of conscience on his own--were thenceforward to prove any security against the remorseless fangs of a petty Caligula. On the night of the fourth day, the stables of the castle Berlifitzing were discovered to be on fire; and the unanimous opinion of the neighborhood added the crime of the incendiary to the already hideous list of the Baron's misdemeanors and enormities.	Shameful debaucheries-flagrant treacheries-unheard of atrocities-gave his trembling vassals quickly to understand that no servile submission on their part-no punctilios of conscience on his own-were thenceforward to prove any security against the remorseless fangs of a petty Caligula. On the night of the fourth day, the stables of the castle Berlifitzing were discovered to be on fire; and the unanimous opinion of the neighborhood added the crime of the incendiary to the already hideous list of the Baron's misdemeanors and enormities.	true	344.99	383.98	21.93771
8163_274549_000011_000000	But during the tumult occasioned by this occurrence, the young nobleman himself sat apparently buried in meditation, in a vast and desolate upper apartment of the family palace of Metzengerstein.	But during the tumult occasioned by this occurrence, the young nobleman himself sat apparently buried in meditation, in a vast and desolate upper apartment of the family palace of Metzengerstein.	false	384.44	397.75	22
8163_274549_000011_000001	The rich although faded tapestry hangings which swung gloomily upon the walls, represented the shadowy and majestic forms of a thousand illustrious ancestors.	The rich although faded tapestry hangings which swung gloomily upon the walls, represented the shadowy and majestic forms of a thousand illustrious ancestors.	true	398.27	408.6	17
8163_274549_000011_000002	_Here_, rich-ermined priests, and pontifical dignitaries, familiarly seated with the autocrat and the sovereign, put a veto on the wishes of a temporal king, or restrained with the fiat of papal supremacy the rebellious sceptre of the Arch-enemy.	underscore Here underscore, rich ermined priests, and pontifical dignitaries, familiarly seated with the autocrat and the sovereign, put a veto on the wishes of a temporal king, or restrained with the fiat of papal supremacy the rebellious sceptre of the Arch enemy.	false	408.6	427.23	21.479706
8163_274549_000011_000003	_There_, the dark, tall statures of the Princes Metzengerstein--their muscular war-coursers plunging over the carcasses of fallen foes--startled the steadiest nerves with their vigorous expression; and _here_, again, the voluptuous and swan-like figures of the dames of days gone by, floated away in the mazes of an unreal dance to the strains of imaginary melody.	underscore There underscore, the dark, tall statures of the Princes Metzengerstein-their muscular war coursers plunging over the carcasses of fallen foes-startled the steadiest nerves with their vigorous expression; and underscore here underscore, again, the voluptuous and swan like figures of the dames of days gone by, floated away in the mazes of an unreal dance to the strains of imaginary melody.	false	427.23	454.6	22.358515
8163_274549_000012_000000	But as the Baron listened, or affected to listen, to the gradually increasing uproar in the stables of Berlifitzing--or perhaps pondered upon some more novel, some more decided act of audacity--his eyes became unwittingly rivetted to the figure of an enormous, and unnaturally colored horse, represented in the tapestry as belonging to a Saracen ancestor of the family of his rival.	But as the Baron listened, or affected to listen, to the gradually increasing uproar in the stables of Berlifitzing-or perhaps pondered upon some more novel, some more decided act of audacity-his eyes became unwittingly rivetted to the figure of an enormous, and unnaturally colored horse, represented in the tapestry as belonging to a Saracen ancestor of the family of his rival.	true	455.27	481.99	19
8163_274549_000012_000001	The horse itself, in the foreground of the design, stood motionless and statue-like--while farther back, its discomfited rider perished by the dagger of a Metzengerstein.	The horse itself, in the foreground of the design, stood motionless and statue like-while farther back, its discomfited rider perished by the dagger of a Metzengerstein.	true	482.3	493.87	22.100586
8163_274549_000013_000000	On Frederick's lip arose a fiendish expression, as he became aware of the direction which his glance had, without his consciousness, assumed. Yet he did not remove it.	On Frederick's lip arose a fiendish expression, as he became aware of the direction which his glance had, without his consciousness, assumed. Yet he did not remove it.	true	494.51	506.29	22.569145
8163_274549_000013_000001	On the contrary, he could by no means account for the overwhelming anxiety which appeared falling like a pall upon his senses.	On the contrary, he could by no means account for the overwhelming anxiety which appeared falling like a pall upon his senses.	true	506.45	515.53	17
8163_274549_000013_000002	It was with difficulty that he reconciled his dreamy and incoherent feelings with the certainty of being awake.	It was with difficulty that he reconciled his dreamy and incoherent feelings with the certainty of being awake.	true	515.72	522.975	22.532633
8163_274549_000013_000003	The longer he gazed the more absorbing became the spell--the more impossible did it appear that he could ever withdraw his glance from the fascination of that tapestry.	The longer he gazed the more absorbing became the spell-the more impossible did it appear that he could ever withdraw his glance from the fascination of that tapestry.	true	522.975	534.37	22.828793
8163_274549_000013_000004	But the tumult without becoming suddenly more violent, with a compulsory exertion he diverted his attention to the glare of ruddy light thrown full by the flaming stables upon the windows of the apartment.	But the tumult without becoming suddenly more violent, with a compulsory exertion he diverted his attention to the glare of ruddy light thrown full by the flaming stables upon the windows of the apartment.	false	534.83	548.83	21.495539
8163_274549_000014_000000	The action, however, was but momentary, his gaze returned mechanically to the wall.	The action, however, was but momentary, his gaze returned mechanically to the wall.	true	548.99	555.07	24.881842
8163_274549_000014_000001	To his extreme horror and astonishment, the head of the gigantic steed had, in the meantime, altered its position.	To his extreme horror and astonishment, the head of the gigantic steed had, in the meantime, altered its position.	true	555.17	562.96	20.89926
8163_274549_000014_000002	The neck of the animal, before arched, as if in compassion, over the prostrate body of its lord, was now extended, at full length, in the direction of the Baron.	The neck of the animal, before arched, as if in compassion, over the prostrate body of its lord, was now extended, at full length, in the direction of the Baron.	true	563.6	574.45	24.548592
8163_274549_000014_000003	The eyes, before invisible, now wore an energetic and human expression, while they gleamed with a fiery and unusual red; and the distended lips of the apparently enraged horse left in full view his gigantic and disgusting teeth.	The eyes, before invisible, now wore an energetic and human expression, while they gleamed with a fiery and unusual red; and the distended lips of the apparently enraged horse left in full view his gigantic and disgusting teeth.	true	575.15	591.91	22.383104
8163_274549_000015_000000	Stupified with terror, the young nobleman tottered to the door.	Stupified with terror, the young nobleman tottered to the door.	true	592.22	597.28	21.86714
8163_274549_000015_000001	As he threw it open, a flash of red light, streaming far into the chamber, flung his shadow with a clear outline against the quivering tapestry, and he shuddered to perceive that shadow--as he staggered awhile upon the threshold--assuming the exact position, and precisely filling up the contour, of the relentless and triumphant murderer of the Saracen Berlifitzing.	As he threw it open, a flash of red light, streaming far into the chamber, flung his shadow with a clear outline against the quivering tapestry, and he shuddered to perceive that shadow-as he staggered awhile upon the threshold-assuming the exact position, and precisely filling up the contour, of the relentless and triumphant murderer of the Saracen Berlifitzing.	true	597.71	622.03	21
8163_274549_000016_000000	To lighten the depression of his spirits, the Baron hurried into the open air.	To lighten the depression of his spirits, the Baron hurried into the open air.	true	622.73	627.34	19
8163_274549_000016_000001	At the principal gate of the palace he encountered three equerries.	At the principal gate of the palace he encountered three equerries.	true	627.5	631.66	21.203283
8163_274549_000016_000002	With much difficulty, and at the imminent peril of their lives, they were restraining the convulsive plunges of a gigantic and fiery-colored horse.	With much difficulty, and at the imminent peril of their lives, they were restraining the convulsive plunges of a gigantic and fiery colored horse.	true	632.21	641.65	21
8163_274549_000017_000000	"Whose horse?	"Whose horse?	true	641.75	642.915	21.07156
8163_274549_000017_000001	Where did you get him?" demanded the youth, in a querulous and husky tone of voice, as he became instantly aware that the mysterious steed in the tapestried chamber was the very counterpart of the furious animal before his eyes.	Where did you get him?" demanded the youth, in a querulous and husky tone of voice, as he became instantly aware that the mysterious steed in the tapestried chamber was the very counterpart of the furious animal before his eyes.	true	642.915	656.34	14
8163_274549_000018_000000	"He is your own property, sire," replied one of the equerries, "at least he is claimed by no other owner.	"He is your own property, sire," replied one of the equerries, "at least he is claimed by no other owner.	false	656.34	663.88	21.369581
8163_274549_000018_000001	We caught him flying, all smoking and foaming with rage, from the burning stables of the Castle Berlifitzing. Supposing him to have belonged to the old Count's stud of foreign horses, we led him back as an estray.	We caught him flying, all smoking and foaming with rage, from the burning stables of the Castle Berlifitzing. Supposing him to have belonged to the old Count's stud of foreign horses, we led him back as an estray.	true	663.98	677.17	21.0995
8163_274549_000018_000002	But the grooms there disclaim any title to the creature; which is strange, since he bears evident marks of having made a narrow escape from the flames.	But the grooms there disclaim any title to the creature; which is strange, since he bears evident marks of having made a narrow escape from the flames.	true	677.48	685.96	19
8163_274549_000019_000000	"The letters W. V. B. are also branded very distinctly on his forehead," interrupted a second equerry, "I supposed them, of course, to be the initials of Wilhelm Von Berlifitzing--but all at the castle are positive in denying any knowledge of the horse."	"The letters w v b are also branded very distinctly on his forehead," interrupted a second equerry, "I supposed them, of course, to be the initials of Wilhelm Von Berlifitzing-but all at the castle are positive in denying any knowledge of the horse."	true	686.39	702.82	21.669285
8163_274549_000020_000000	"Extremely singular!" said the young Baron, with a musing air, and apparently unconscious of the meaning of his words.	"Extremely singular!" said the young Baron, with a musing air, and apparently unconscious of the meaning of his words.	true	702.95	709.81	20
8163_274549_000020_000001	"He is, as you say, a remarkable horse--a prodigious horse!	"He is, as you say, a remarkable horse-a prodigious horse!	true	709.94	714.49	20.94882
8163_274549_000020_000002	although, as you very justly observe, of a suspicious and untractable character, let him be mine, however," he added, after a pause, "perhaps a rider like Frederick of Metzengerstein, may tame even the devil from the stables of Berlifitzing."	although, as you very justly observe, of a suspicious and untractable character, let him be mine, however," he added, after a pause, "perhaps a rider like Frederick of Metzengerstein, may tame even the devil from the stables of Berlifitzing."	true	714.74	729.69	20
8163_274549_000021_000000	"You are mistaken, my lord; the horse, as I think we mentioned, is _not_ from the stables of the Count.	"You are mistaken, my lord; the horse, as I think we mentioned, is underscore not underscore from the stables of the Count.	false	729.69	735.91	21.086792
8163_274549_000021_000001	If such had been the case, we know our duty better than to bring him into the presence of a noble of your family."	If such had been the case, we know our duty better than to bring him into the presence of a noble of your family."	true	736.28	743.29	21
8163_274549_000022_000000	"True!" observed the Baron, dryly, and at that instant a page of the bedchamber came from the palace with a heightened color, and a precipitate step.	"True!" observed the Baron, dryly, and at that instant a page of the bedchamber came from the palace with a heightened color, and a precipitate step.	true	743.42	753.22	22.784214
8163_274549_000022_000001	He whispered into his master's ear an account of the sudden disappearance of a small portion of the tapestry, in an apartment which he designated; entering, at the same time, into particulars of a minute and circumstantial character; but from the low tone of voice in which these latter were communicated, nothing escaped to gratify the excited curiosity of the equerries.	He whispered into his master's ear an account of the sudden disappearance of a small portion of the tapestry, in an apartment which he designated; entering, at the same time, into particulars of a minute and circumstantial character; but from the low tone of voice in which these latter were communicated, nothing escaped to gratify the excited curiosity of the equerries.	false	753.32	775.69	23
8163_274549_000023_000000	The young Frederick, during the conference, seemed agitated by a variety of emotions.	The young Frederick, during the conference, seemed agitated by a variety of emotions.	true	776.09	781.75	20.997671
8163_274549_000023_000001	He soon, however, recovered his composure, and an expression of determined malignancy settled upon his countenance, as he gave peremptory orders that a certain chamber should be immediately locked up, and the key placed in his own possession.	He soon, however, recovered his composure, and an expression of determined malignancy settled upon his countenance, as he gave peremptory orders that a certain chamber should be immediately locked up, and the key placed in his own possession.	true	781.85	796.84	22.084995
8163_274549_000024_000000	"Have you heard of the unhappy death of the old hunter Berlifitzing?" said one of his vassals to the Baron, as, after the departure of the page, the huge steed which that nobleman had adopted as his own, plunged and curvetted, with redoubled fury, down the long avenue which extended from the chateau to the stables of Metzengerstein.	"Have you heard of the unhappy death of the old hunter Berlifitzing?" said one of his vassals to the Baron, as, after the departure of the page, the huge steed which that nobleman had adopted as his own, plunged and curvetted, with redoubled fury, down the long avenue which extended from the chateau to the stables of Metzengerstein.	false	797.03	817.81	19
8163_274549_000025_000000	"No!" said the Baron, turning abruptly toward the speaker, "dead! say you?"	"No!" said the Baron, turning abruptly toward the speaker, "dead! say you?"	false	818.21	823.14	24.0751
8163_274549_000026_000000	"It is indeed true, my lord; and, to a noble of your name, will be, I imagine, no unwelcome intelligence."	"It is indeed true, my lord; and, to a noble of your name, will be, I imagine, no unwelcome intelligence."	false	823.14	830.2	21
8163_274549_000027_000000	A rapid smile shot over the countenance of the listener.	A rapid smile shot over the countenance of the listener.	true	830.39	834.04	22.84567
8163_274549_000027_000001	"How died he?"	"How died he?"	true	834.26	835.51	21.871943
8163_274549_000028_000000	"In his rash exertions to rescue a favorite portion of his hunting stud, he has himself perished miserably in the flames."	"In his rash exertions to rescue a favorite portion of his hunting stud, he has himself perished miserably in the flames."	true	835.97	844.05	20.589046
8163_274549_000029_000000	"I-n-d-e-e-d-!" ejaculated the Baron, as if slowly and deliberately impressed with the truth of some exciting idea.	"I n d e e d !" ejaculated the Baron, as if slowly and deliberately impressed with the truth of some exciting idea.	false	844.05	851.65	22
8163_274549_000030_000000	"Indeed;" repeated the vassal.	"Indeed;" repeated the vassal.	true	851.81	853.725	21.9541
8163_274549_000031_000000	"Shocking!" said the youth, calmly, and turned quietly into the chateau.	"Shocking!" said the youth, calmly, and turned quietly into the chateau.	true	853.725	858.43	23.74932
8163_274549_000032_000000	From this date a marked alteration took place in the outward demeanor of the dissolute young Baron Frederick Von Metzengerstein.	From this date a marked alteration took place in the outward demeanor of the dissolute young Baron Frederick Von Metzengerstein.	true	858.83	867.49	23
8163_274549_000032_000001	Indeed, his behavior disappointed every expectation, and proved little in accordance with the views of many a manoeuvering mamma; while his habits and manner, still less than formerly, offered any thing congenial with those of the neighboring aristocracy.	Indeed, his behavior disappointed every expectation, and proved little in accordance with the views of many a manoeuvering mamma; while his habits and manner, still less than formerly, offered any thing congenial with those of the neighboring aristocracy.	true	867.86	883.51	21.866705
8163_274549_000032_000002	He was never to be seen beyond the limits of his own domain, and, in this wide and social world, was utterly companionless--unless, indeed, that unnatural, impetuous, and fiery-colored horse, which he henceforward continually bestrode, had any mysterious right to the title of his friend.	He was never to be seen beyond the limits of his own domain, and, in this wide and social world, was utterly companionless-unless, indeed, that unnatural, impetuous, and fiery colored horse, which he henceforward continually bestrode, had any mysterious right to the title of his friend.	true	884.06	903.85	22
8163_274549_000033_000000	Numerous invitations on the part of the neighborhood for a long time, however, periodically came in.	Numerous invitations on the part of the neighborhood for a long time, however, periodically came in.	true	904.46	911.02	19
8163_274549_000033_000001	"Will the Baron honor our festivals with his presence?"	"Will the Baron honor our festivals with his presence?"	true	911.51	914.62	22.93129
8163_274549_000033_000002	"Will the Baron join us in a hunting of the boar?"--"Metzengerstein does not hunt;" "Metzengerstein will not attend," were the haughty and laconic answers.	"Will the Baron join us in a hunting of the boar?"--"Metzengerstein does not hunt;" "Metzengerstein will not attend," were the haughty and laconic answers.	true	914.81	925.48	21.751022
8163_274549_000034_000000	These repeated insults were not to be endured by an imperious nobility. Such invitations became less cordial--less frequent--in time they ceased altogether.	These repeated insults were not to be endured by an imperious nobility. Such invitations became less cordial-less frequent-in time they ceased altogether.	true	926.24	937.63	24.277624
8163_274549_000034_000001	The widow of the unfortunate Count Berlifitzing was even heard to express a hope "that the Baron might be at home when he did not wish to be at home, since he disdained the company of his equals; and ride when he did not wish to ride, since he preferred the society of a horse." This to be sure was a very silly explosion of hereditary pique; and merely proved how singularly unmeaning our sayings are apt to become, when we desire to be unusually energetic.	The widow of the unfortunate Count Berlifitzing was even heard to express a hope "that the Baron might be at home when he did not wish to be at home, since he disdained the company of his equals; and ride when he did not wish to ride, since he preferred the society of a horse." This to be sure was a very silly explosion of hereditary pique; and merely proved how singularly unmeaning our sayings are apt to become, when we desire to be unusually energetic.	false	937.7	967.39	22.035809
8163_274549_000035_000000	The charitable, nevertheless, attributed the alteration in the conduct of the young nobleman to the natural sorrow of a son for the untimely loss of his parents--forgetting, however, his atrocious and reckless behavior during the short period immediately succeeding that bereavement.	The charitable, nevertheless, attributed the alteration in the conduct of the young nobleman to the natural sorrow of a son for the untimely loss of his parents-forgetting, however, his atrocious and reckless behavior during the short period immediately succeeding that bereavement.	false	968.21	985.18	20
8163_274549_000035_000001	Some there were, indeed, who suggested a too haughty idea of self-consequence and dignity.	Some there were, indeed, who suggested a too haughty idea of self consequence and dignity.	true	985.85	992.77	23.233912
8163_274549_000035_000002	Others again (among them may be mentioned the family physician) did not hesitate in speaking of morbid melancholy, and hereditary ill-health; while dark hints, of a more equivocal nature, were current among the multitude.	Others again (among them may be mentioned the family physician) did not hesitate in speaking of morbid melancholy, and hereditary ill health; while dark hints, of a more equivocal nature, were current among the multitude.	false	993.23	1008.52	23.548523
8163_274549_000036_000000	Indeed, the Baron's perverse attachment to his lately-acquired charger--an attachment which seemed to attain new strength from every fresh example of the animal's ferocious and demon-like propensities--at length became, in the eyes of all reasonable men, a hideous and unnatural fervor.	Indeed, the Baron's perverse attachment to his lately acquired charger-an attachment which seemed to attain new strength from every fresh example of the animal's ferocious and demon like propensities-at length became, in the eyes of all reasonable men, a hideous and unnatural fervor.	true	1008.65	1028.11	23
8163_274549_000036_000001	In the glare of noon--at the dead hour of night--in sickness or in health--in calm or in tempest--the young Metzengerstein seemed rivetted to the saddle of that colossal horse, whose intractable audacities so well accorded with his own spirit.	In the glare of noon-at the dead hour of night-in sickness or in health-in calm or in tempest-the young Metzengerstein seemed rivetted to the saddle of that colossal horse, whose intractable audacities so well accorded with his own spirit.	true	1028.72	1045.69	23.059286
8163_274549_000037_000000	There were circumstances, moreover, which coupled with late events, gave an unearthly and portentous character to the mania of the rider, and to the capabilities of the steed.	There were circumstances, moreover, which coupled with late events, gave an unearthly and portentous character to the mania of the rider, and to the capabilities of the steed.	true	1045.94	1056.78	22.929247
8163_274549_000037_000001	The space passed over in a single leap had been accurately measured, and was found to exceed, by an astounding difference, the wildest expectations of the most imaginative.	The space passed over in a single leap had been accurately measured, and was found to exceed, by an astounding difference, the wildest expectations of the most imaginative.	false	1056.78	1067.83	21
8163_274549_000037_000002	The Baron, besides, had no particular _name_ for the animal, although all the rest in his collection were distinguished by characteristic appellations.	The Baron, besides, had no particular underscore name underscore for the animal, although all the rest in his collection were distinguished by characteristic appellations.	false	1068.59	1077.37	20
8163_274549_000037_000003	His stable, too, was appointed at a distance from the rest; and with regard to grooming and other necessary offices, none but the owner in person had ventured to officiate, or even to enter the enclosure of that particular stall.	His stable, too, was appointed at a distance from the rest; and with regard to grooming and other necessary offices, none but the owner in person had ventured to officiate, or even to enter the enclosure of that particular stall.	true	1077.8	1092.22	22
8163_274549_000037_000004	It was also to be observed, that although the three grooms, who had caught the steed as he fled from the conflagration at Berlifitzing, had succeeded in arresting his course, by means of a chain-bridle and noose--yet no one of the three could with any certainty affirm that he had, during that dangerous struggle, or at any period thereafter, actually placed his hand upon the body of the beast. Instances of peculiar intelligence in the demeanor of a noble and high-spirited horse are not to be supposed capable of exciting unreasonable attention--especially among men who, daily trained to the labors of the chase, might appear well acquainted with the sagacity of a horse--but there were certain circumstances which intruded themselves per force upon the most skeptical and phlegmatic; and it is said there were times when the animal caused the gaping crowd who stood around to recoil in horror from the deep and impressive meaning of his terrible stamp--times when the young Metzengerstein turned pale and shrunk away from the rapid and searching expression of his earnest and human-looking eye.	It was also to be observed, that although the three grooms, who had caught the steed as he fled from the conflagration at Berlifitzing, had succeeded in arresting his course, by means of a chain bridle and noose-yet no one of the three could with any certainty affirm that he had, during that dangerous struggle, or at any period thereafter, actually placed his hand upon the body of the beast. Instances of peculiar intelligence in the demeanor of a noble and high spirited horse are not to be supposed capable of exciting unreasonable attention-especially among men who, daily trained to the labors of the chase, might appear well acquainted with the sagacity of a horse-but there were certain circumstances which intruded themselves per force upon the most skeptical and phlegmatic; and it is said there were times when the animal caused the gaping crowd who stood around to recoil in horror from the deep and impressive meaning of his terrible stamp-times when the young Metzengerstein turned pale and shrunk away from the rapid and searching expression of his earnest and human looking eye.	false	1092.86	1161.4	21.905037
8163_274549_000038_000000	Among all the retinue of the Baron, however, none were found to doubt the ardor of that extraordinary affection which existed on the part of the young nobleman for the fiery qualities of his horse; at least, none but an insignificant and misshapen little page, whose deformities were in everybody's way, and whose opinions were of the least possible importance.	Among all the retinue of the Baron, however, none were found to doubt the ardor of that extraordinary affection which existed on the part of the young nobleman for the fiery qualities of his horse; at least, none but an insignificant and misshapen little page, whose deformities were in everybody's way, and whose opinions were of the least possible importance.	true	1162.01	1185.4	22.215044
8163_274549_000038_000001	He--if his ideas are worth mentioning at all--had the effrontery to assert that his master never vaulted into the saddle without an unaccountable and almost imperceptible shudder, and that, upon his return from every long-continued and habitual ride, an expression of triumphant malignity distorted every muscle in his countenance.	He-if his ideas are worth mentioning at all-had the effrontery to assert that his master never vaulted into the saddle without an unaccountable and almost imperceptible shudder, and that, upon his return from every long continued and habitual ride, an expression of triumphant malignity distorted every muscle in his countenance.	false	1185.83	1207.9	22.943314
8163_274549_000039_000000	One tempestuous night, Metzengerstein, awaking from a heavy slumber, descended like a maniac from his chamber, and, mounting in hot haste, bounded away into the mazes of the forest.	One tempestuous night, Metzengerstein, awaking from a heavy slumber, descended like a maniac from his chamber, and, mounting in hot haste, bounded away into the mazes of the forest.	true	1208.75	1221.25	20.90314
