2240_148522_000000_000000	Chapter III: Individualism Stronger At The Close Of A Democratic Revolution Than At Other Periods	Chapter three: Individualism Stronger At The Close Of A Democratic Revolution Than At Other Periods	false	46.47	60.22	25.451626
2240_148522_000003_000000	Chapter IV: That The Americans Combat The Effects Of Individualism By Free Institutions	Chapter four: That The Americans Combat The Effects Of Individualism By Free Institutions	true	253.23	261.4	28.795616
2240_148522_000004_000000	Despotism, which is of a very timorous nature, is never more secure of continuance than when it can keep men asunder; and all is influence is commonly exerted for that purpose.	Despotism, which is of a very timorous nature, is never more secure of continuance than when it can keep men asunder; and all is influence is commonly exerted for that purpose.	true	262.97	277.6	26.118933
2240_148522_000004_000001	No vice of the human heart is so acceptable to it as egotism: a despot easily forgives his subjects for not loving him, provided they do not love each other.	No vice of the human heart is so acceptable to it as egotism: a despot easily forgives his subjects for not loving him, provided they do not love each other.	true	278.39	292.09	26.148119
2240_148522_000004_000002	He does not ask them to assist him in governing the State; it is enough that they do not aspire to govern it themselves.	He does not ask them to assist him in governing the State; it is enough that they do not aspire to govern it themselves.	true	293	301.81	23.978703
2240_148522_000004_000003	He stigmatizes as turbulent and unruly spirits those who would combine their exertions to promote the prosperity of the community, and, perverting the natural meaning of words, he applauds as good citizens those who have no sympathy for any but themselves.	He stigmatizes as turbulent and unruly spirits those who would combine their exertions to promote the prosperity of the community, and, perverting the natural meaning of words, he applauds as good citizens those who have no sympathy for any but themselves.	true	302.45	322.96	25.8984
2240_148522_000004_000004	Thus the vices which despotism engenders are precisely those which equality fosters.	Thus the vices which despotism engenders are precisely those which equality fosters.	true	323.45	330.31	26.022057
2240_148522_000004_000005	These two things mutually and perniciously complete and assist each other.	These two things mutually and perniciously complete and assist each other.	true	331.01	336.58	24.272223
2240_148522_000004_000006	Equality places men side by side, unconnected by any common tie; despotism raises barriers to keep them asunder; the former predisposes them not to consider their fellow-creatures, the latter makes general indifference a sort of public virtue.	Equality places men side by side, unconnected by any common tie; despotism raises barriers to keep them asunder; the former predisposes them not to consider their fellow creatures, the latter makes general indifference a sort of public virtue.	false	337.4	358.23	24.004272
2240_148522_000005_000000	Despotism then, which is at all times dangerous, is more particularly to be feared in democratic ages.	Despotism then, which is at all times dangerous, is more particularly to be feared in democratic ages.	false	358.23	368.5	26.796919
2240_148522_000005_000001	It is easy to see that in those same ages men stand most in need of freedom.	It is easy to see that in those same ages men stand most in need of freedom.	false	369.47	375.76	24.200441
2240_148522_000005_000002	When the members of a community are forced to attend to public affairs, they are necessarily drawn from the circle of their own interests, and snatched at times from self-observation.	When the members of a community are forced to attend to public affairs, they are necessarily drawn from the circle of their own interests, and snatched at times from self observation.	true	376.61	389.26	24.468973
2240_148522_000005_000003	As soon as a man begins to treat of public affairs in public, he begins to perceive that he is not so independent of his fellow-men as he had at first imagined, and that, in order to obtain their support, he must often lend them his co-operation.	As soon as a man begins to treat of public affairs in public, he begins to perceive that he is not so independent of his fellow men as he had at first imagined, and that, in order to obtain their support, he must often lend them his co-operation.	false	390.2	409.18	25.259726
2240_148522_000006_000000	When the public is supreme, there is no man who does not feel the value of public goodwill, or who does not endeavor to court it by drawing to himself the esteem and affection of those amongst whom he is to live. Many of the passions which congeal and keep asunder human hearts, are then obliged to retire and hide below the surface.	When the public is supreme, there is no man who does not feel the value of public goodwill, or who does not endeavor to court it by drawing to himself the esteem and affection of those amongst whom he is to live. Many of the passions which congeal and keep asunder human hearts, are then obliged to retire and hide below the surface.	true	411.38	437.29	23.994116
2240_148522_000006_000001	Pride must be dissembled; disdain dares not break out; egotism fears its own self. Under a free government, as most public offices are elective, the men whose elevated minds or aspiring hopes are too closely circumscribed in private life, constantly feel that they cannot do without the population which surrounds them.	Pride must be dissembled; disdain dares not break out; egotism fears its own self. Under a free government, as most public offices are elective, the men whose elevated minds or aspiring hopes are too closely circumscribed in private life, constantly feel that they cannot do without the population which surrounds them.	true	438.29	467.11	22.853
2240_148522_000006_000002	Men learn at such times to think of their fellow-men from ambitious motives; and they frequently find it, in a manner, their interest to forget themselves.	Men learn at such times to think of their fellow men from ambitious motives; and they frequently find it, in a manner, their interest to forget themselves.	true	467.87	478.45	24.179298
2240_148522_000007_000000	I may here be met by an objection derived from electioneering intrigues, the meannesses of candidates, and the calumnies of their opponents. These are opportunities for animosity which occur the oftener the more frequent elections become.	I may here be met by an objection derived from electioneering intrigues, the meannesses of candidates, and the calumnies of their opponents. These are opportunities for animosity which occur the oftener the more frequent elections become.	false	479.51	497.44	24.697393
2240_148522_000007_000001	Such evils are doubtless great, but they are transient; whereas the benefits which attend them remain.	Such evils are doubtless great, but they are transient; whereas the benefits which attend them remain.	true	498.23	507.79	27.228981
2240_148522_000007_000002	The desire of being elected may lead some men for a time to violent hostility; but this same desire leads all men in the long run mutually to support each other; and if it happens that an election accidentally severs two friends, the electoral system brings a multitude of citizens permanently together, who would always have remained unknown to each other.	The desire of being elected may lead some men for a time to violent hostility; but this same desire leads all men in the long run mutually to support each other; and if it happens that an election accidentally severs two friends, the electoral system brings a multitude of citizens permanently together, who would always have remained unknown to each other.	false	509.24	536.2	23.74807
2240_148522_000007_000003	Freedom engenders private animosities, but despotism gives birth to general indifference.	Freedom engenders private animosities, but despotism gives birth to general indifference.	true	536.99	544.93	24.131752
2240_148522_000008_000000	The Americans have combated by free institutions the tendency of equality to keep men asunder, and they have subdued it.	The Americans have combated by free institutions the tendency of equality to keep men asunder, and they have subdued it.	true	546.65	555.88	25.658884
2240_148522_000008_000001	The legislators of America did not suppose that a general representation of the whole nation would suffice to ward off a disorder at once so natural to the frame of democratic society, and so fatal: they also thought that it would be well to infuse political life into each portion of the territory, in order to multiply to an infinite extent opportunities of acting in concert for all the members of the community, and to make them constantly feel their mutual dependence on each other.	The legislators of America did not suppose that a general representation of the whole nation would suffice to ward off a disorder at once so natural to the frame of democratic society, and so fatal: they also thought that it would be well to infuse political life into each portion of the territory, in order to multiply to an infinite extent opportunities of acting in concert for all the members of the community, and to make them constantly feel their mutual dependence on each other.	false	556.55	590.17	24.614386
2240_148522_000008_000002	The plan was a wise one.	The plan was a wise one.	true	591.14	593.8	20.227968
2240_148522_000008_000003	The general affairs of a country only engage the attention of leading politicians, who assemble from time to time in the same places; and as they often lose sight of each other afterwards, no lasting ties are established between them.	The general affairs of a country only engage the attention of leading politicians, who assemble from time to time in the same places; and as they often lose sight of each other afterwards, no lasting ties are established between them.	true	594.05	611.2	26.121443
2240_148522_000008_000004	But if the object be to have the local affairs of a district conducted by the men who reside there, the same persons are always in contact, and they are, in a manner, forced to be acquainted, and to adapt themselves to one another.	But if the object be to have the local affairs of a district conducted by the men who reside there, the same persons are always in contact, and they are, in a manner, forced to be acquainted, and to adapt themselves to one another.	false	612.23	629.38	26.668575
2240_148522_000009_000000	It is difficult to draw a man out of his own circle to interest him in the destiny of the State, because he does not clearly understand what influence the destiny of the State can have upon his own lot.	It is difficult to draw a man out of his own circle to interest him in the destiny of the State, because he does not clearly understand what influence the destiny of the State can have upon his own lot.	false	630.11	643.72	24.476473
2240_148522_000009_000001	But if it be proposed to make a road cross the end of his estate, he will see at a glance that there is a connection between this small public affair and his greatest private affairs; and he will discover, without its being shown to him, the close tie which unites private to general interest. Thus, far more may be done by intrusting to the citizens the administration of minor affairs than by surrendering to them the control of important ones, towards interesting them in the public welfare, and convincing them that they constantly stand in need one of the other in order to provide for it.	But if it be proposed to make a road cross the end of his estate, he will see at a glance that there is a connection between this small public affair and his greatest private affairs; and he will discover, without its being shown to him, the close tie which unites private to general interest. Thus, far more may be done by intrusting to the citizens the administration of minor affairs than by surrendering to them the control of important ones, towards interesting them in the public welfare, and convincing them that they constantly stand in need one of the other in order to provide for it.	false	644.87	687.91	23.172873
2240_148522_000009_000002	A brilliant achievement may win for you the favor of a people at one stroke; but to earn the love and respect of the population which surrounds you, a long succession of little services rendered and of obscure good deeds--a constant habit of kindness, and an established reputation for disinterestedness--will be required. Local freedom, then, which leads a great number of citizens to value the affection of their neighbors and of their kindred, perpetually brings men together, and forces them to help one another, in spite of the propensities which sever them.	A brilliant achievement may win for you the favor of a people at one stroke; but to earn the love and respect of the population which surrounds you, a long succession of little services rendered and of obscure good deeds-a constant habit of kindness, and an established reputation for disinterestedness-will be required. Local freedom, then, which leads a great number of citizens to value the affection of their neighbors and of their kindred, perpetually brings men together, and forces them to help one another, in spite of the propensities which sever them.	true	688.94	732.58	24.249903
2240_148522_000010_000000	In the United States the more opulent citizens take great care not to stand aloof from the people; on the contrary, they constantly keep on easy terms with the lower classes: they listen to them, they speak to them every day.	In the United States the more opulent citizens take great care not to stand aloof from the people; on the contrary, they constantly keep on easy terms with the lower classes: they listen to them, they speak to them every day.	false	734.15	750.85	26.098942
2240_148522_000010_000001	They know that the rich in democracies always stand in need of the poor; and that in democratic ages you attach a poor man to you more by your manner than by benefits conferred.	They know that the rich in democracies always stand in need of the poor; and that in democratic ages you attach a poor man to you more by your manner than by benefits conferred.	true	751.67	765.67	26.0456
2240_148522_000010_000002	The magnitude of such benefits, which sets off the difference of conditions, causes a secret irritation to those who reap advantage from them; but the charm of simplicity of manners is almost irresistible: their affability carries men away, and even their want of polish is not always displeasing.	The magnitude of such benefits, which sets off the difference of conditions, causes a secret irritation to those who reap advantage from them; but the charm of simplicity of manners is almost irresistible: their affability carries men away, and even their want of polish is not always displeasing.	true	766.97	789.31	24.888067
2240_148522_000010_000003	This truth does not take root at once in the minds of the rich.	This truth does not take root at once in the minds of the rich.	true	790.31	794.92	25.905983
2240_148522_000010_000004	They generally resist it as long as the democratic revolution lasts, and they do not acknowledge it immediately after that revolution is accomplished.	They generally resist it as long as the democratic revolution lasts, and they do not acknowledge it immediately after that revolution is accomplished.	false	795.47	805.09	25.838596
2240_148522_000010_000005	They are very ready to do good to the people, but they still choose to keep them at arm's length; they think that is sufficient, but they are mistaken.	They are very ready to do good to the people, but they still choose to keep them at arm's length; they think that is sufficient, but they are mistaken.	false	806	817.57	24.80091
2240_148522_000010_000006	They might spend fortunes thus without warming the hearts of the population around them;--that population does not ask them for the sacrifice of their money, but of their pride.	They might spend fortunes thus without warming the hearts of the population around them;--that population does not ask them for the sacrifice of their money, but of their pride.	true	818.24	832.18	26.706934
2240_148522_000011_000000	It would seem as if every imagination in the United States were upon the stretch to invent means of increasing the wealth and satisfying the wants of the public.	It would seem as if every imagination in the United States were upon the stretch to invent means of increasing the wealth and satisfying the wants of the public.	false	834.26	844.27	25.117596
2240_148522_000011_000001	The best-informed inhabitants of each district constantly use their information to discover new truths which may augment the general prosperity; and if they have made any such discoveries, they eagerly surrender them to the mass of the people.	The best informed inhabitants of each district constantly use their information to discover new truths which may augment the general prosperity; and if they have made any such discoveries, they eagerly surrender them to the mass of the people.	false	845.69	862.3	25.274637
2240_148522_000012_000000	When the vices and weaknesses, frequently exhibited by those who govern in America, are closely examined, the prosperity of the people occasions--but improperly occasions--surprise.	When the vices and weaknesses, frequently exhibited by those who govern in America, are closely examined, the prosperity of the people occasions-but improperly occasions-surprise.	true	863.51	878.2	25.753881
2240_148522_000012_000001	Elected magistrates do not make the American democracy flourish; it flourishes because the magistrates are elective.	Elected magistrates do not make the American democracy flourish; it flourishes because the magistrates are elective.	true	878.81	887.89	26.363142
2240_148522_000013_000000	It would be unjust to suppose that the patriotism and the zeal which every American displays for the welfare of his fellow-citizens are wholly insincere.	It would be unjust to suppose that the patriotism and the zeal which every American displays for the welfare of his fellow citizens are wholly insincere.	false	889.43	900.01	23.297873
2240_148522_000013_000001	Although private interest directs the greater part of human actions in the United States as well as elsewhere, it does not regulate them all.	Although private interest directs the greater part of human actions in the United States as well as elsewhere, it does not regulate them all.	false	900.92	910.33	27.89448
2240_148522_000013_000002	I must say that I have often seen Americans make great and real sacrifices to the public welfare; and I have remarked a hundred instances in which they hardly ever failed to lend faithful support to each other.	I must say that I have often seen Americans make great and real sacrifices to the public welfare; and I have remarked a hundred instances in which they hardly ever failed to lend faithful support to each other.	true	910.76	925.48	25.53624
2240_148522_000013_000003	The free institutions which the inhabitants of the United States possess, and the political rights of which they make so much use, remind every citizen, and in a thousand ways, that he lives in society.	The free institutions which the inhabitants of the United States possess, and the political rights of which they make so much use, remind every citizen, and in a thousand ways, that he lives in society.	true	926.39	942.49	23.664206
2240_148522_000013_000004	They every instant impress upon his mind the notion that it is the duty, as well as the interest of men, to make themselves useful to their fellow-creatures; and as he sees no particular ground of animosity to them, since he is never either their master or their slave, his heart readily leans to the side of kindness.	They every instant impress upon his mind the notion that it is the duty, as well as the interest of men, to make themselves useful to their fellow creatures; and as he sees no particular ground of animosity to them, since he is never either their master or their slave, his heart readily leans to the side of kindness.	true	943.34	966.49	25.166382
2240_148522_000013_000005	Men attend to the interests of the public, first by necessity, afterwards by choice: what was intentional becomes an instinct; and by dint of working for the good of one's fellow citizens, the habit and the taste for serving them is at length acquired.	Men attend to the interests of the public, first by necessity, afterwards by choice: what was intentional becomes an instinct; and by dint of working for the good of one's fellow citizens, the habit and the taste for serving them is at length acquired.	false	967.37	985.84	24.046314
2240_148522_000014_000000	Many people in France consider equality of conditions as one evil, and political freedom as a second.	Many people in France consider equality of conditions as one evil, and political freedom as a second.	true	987.53	995.02	24.772747
2240_148522_000014_000001	When they are obliged to yield to the former, they strive at least to escape from the latter.	When they are obliged to yield to the former, they strive at least to escape from the latter.	true	995.75	1001.89	24.495014
2240_148522_000014_000002	But I contend that in order to combat the evils which equality may produce, there is only one effectual remedy--namely, political freedom.	But I contend that in order to combat the evils which equality may produce, there is only one effectual remedy-namely, political freedom.	true	1002.47	1014.06	25.31454
2240_148522_000015_000000	Chapter V: Of The Use Which The Americans Make Of Public Associations In Civil Life	Chapter five: Of The Use Which The Americans Make Of Public Associations In Civil Life	false	1014.06	1024.62	23.874662
2240_148522_000016_000000	I do not propose to speak of those political associations--by the aid of which men endeavor to defend themselves against the despotic influence of a majority--or against the aggressions of regal power.	I do not propose to speak of those political associations-by the aid of which men endeavor to defend themselves against the despotic influence of a majority-or against the aggressions of regal power.	false	1024.62	1027.89	31.177711
2240_148522_000016_000001	That subject I have already treated.	That subject I have already treated.	false	1027.89	1029.09	24.495829
2240_148522_000016_000002	If each citizen did not learn, in proportion as he individually becomes more feeble, and consequently more incapable of preserving his freedom single-handed, to combine with his fellow-citizens for the purpose of defending it, it is clear that tyranny would unavoidably increase together with equality.	If each citizen did not learn, in proportion as he individually becomes more feeble, and consequently more incapable of preserving his freedom single handed, to combine with his fellow citizens for the purpose of defending it, it is clear that tyranny would unavoidably increase together with equality.	false	1029.09	1038.48	14.795581
