6080_233342_000001_000000	NEWS, TRUTH, AND A CONCLUSION	NEWS, TRUTH, AND A CONCLUSION
6080_233342_000007_000002	And when we expect it to supply such a body of truth we employ a misleading standard of judgment.	And when we expect it to supply such a body of truth we employ a misleading standard of judgment.
6080_233342_000008_000000	If the newspapers, then, are to be charged with the duty of translating the whole public life of mankind, so that every adult can arrive at an opinion on every moot topic, they fail, they are bound to fail, in any future one can conceive they will continue to fail.	If the newspapers, then, are to be charged with the duty of translating the whole public life of mankind, so that every adult can arrive at an opinion on every moot topic, they fail, they are bound to fail, in any future one can conceive they will continue to fail.
6080_233342_000008_000002	Unconsciously the theory sets up the single reader as theoretically omnicompetent, and puts upon the press the burden of accomplishing whatever representative government, industrial organization, and diplomacy have failed to accomplish.	Unconsciously the theory sets up the single reader as theoretically omnicompetent, and puts upon the press the burden of accomplishing whatever representative government, industrial organization, and diplomacy have failed to accomplish.
6080_233342_000008_000003	Acting upon everybody for thirty minutes in twenty-four hours, the press is asked to create a mystical force called Public Opinion that will take up the slack in public institutions.	Acting upon everybody for thirty minutes in twenty four hours, the press is asked to create a mystical force called Public Opinion that will take up the slack in public institutions.
6080_233342_000008_000006	Institutions, having failed to furnish themselves with instruments of knowledge, have become a bundle of "problems," which the population as a whole, reading the press as a whole, is supposed to solve.	Institutions, having failed to furnish themselves with instruments of knowledge, have become a bundle of "problems," which the population as a whole, reading the press as a whole, is supposed to solve.
6080_233342_000009_000001	The Court of Public Opinion, open day and night, is to lay down the law for everything all the time.	The Court of Public Opinion, open day and night, is to lay down the law for everything all the time.
6080_233342_000009_000002	It is not workable.	It is not workable.
6080_233342_000009_000003	And when you consider the nature of news, it is not even thinkable.	And when you consider the nature of news, it is not even thinkable.
6080_233342_000009_000004	For the news, as we have seen, is precise in proportion to the precision with which the event is recorded.	For the news, as we have seen, is precise in proportion to the precision with which the event is recorded.
6080_233342_000011_000000	The press is no substitute for institutions.	The press is no substitute for institutions.
6080_233342_000011_000003	They cannot govern society by episodes, incidents, and eruptions.	They cannot govern society by episodes, incidents, and eruptions.
6080_233342_000011_000005	The trouble lies deeper than the press, and so does the remedy.	The trouble lies deeper than the press, and so does the remedy.
6080_233342_000011_000008	Then, too, the news is uncovered for the press by a system of intelligence that is also a check upon the press.	Then, too, the news is uncovered for the press by a system of intelligence that is also a check upon the press.
6080_233342_000012_000000	That is the radical way.	That is the radical way.
6080_233342_000012_000002	It is because they are compelled to act without a reliable picture of the world, that governments, schools, newspapers and churches make such small headway against the more obvious failings of democracy, against violent prejudice, apathy, preference for the curious trivial as against the dull important, and the hunger for sideshows and three legged calves.	It is because they are compelled to act without a reliable picture of the world, that governments, schools, newspapers and churches make such small headway against the more obvious failings of democracy, against violent prejudice, apathy, preference for the curious trivial as against the dull important, and the hunger for sideshows and three legged calves.
6080_233342_000012_000003	This is the primary defect of popular government, a defect inherent in its traditions, and all its other defects can, I believe, be traced to this one.	This is the primary defect of popular government, a defect inherent in its traditions, and all its other defects can, I believe, be traced to this one.
