1060_134451_000000_000000	SOPHISTICATION	SOPHISTICATION	true	20.82	22.06	19
1060_134451_000005_000014	With all his heart he wants to come close to some other human, touch someone with his hands, be touched by the hand of another.	With all his heart he wants to come close to some other human, touch someone with his hands, be touched by the hand of another.	true	278	286.9	19.98897
1060_134451_000005_000015	If he prefers that the other be a woman, that is because he believes that a woman will be gentle, that she will understand.	If he prefers that the other be a woman, that is because he believes that a woman will be gentle, that she will understand.	false	287.6	295.81	22.713066
1060_134451_000005_000016	He wants, most of all, understanding.	He wants, most of all, understanding.	true	296.39	299.86	24.337063
1060_134451_000006_000000	When the moment of sophistication came to George Willard his mind turned to Helen White, the Winesburg banker's daughter.	When the moment of sophistication came to George Willard his mind turned to Helen White, the Winesburg banker's daughter.	true	301.82	310.63	24.925642
1060_134451_000006_000001	Always he had been conscious of the girl growing into womanhood as he grew into manhood. Once on a summer night when he was eighteen, he had walked with her on a country road and in her presence had given way to an impulse to boast, to make himself appear big and significant in her eyes.	Always he had been conscious of the girl growing into womanhood as he grew into manhood. Once on a summer night when he was eighteen, he had walked with her on a country road and in her presence had given way to an impulse to boast, to make himself appear big and significant in her eyes.	false	311.48	330.49	23.158869
1060_134451_000006_000002	Now he wanted to see her for another purpose.	Now he wanted to see her for another purpose.	true	331.4	334.63	22
1060_134451_000006_000003	He wanted to tell her of the new impulses that had come to him.	He wanted to tell her of the new impulses that had come to him.	true	335.15	338.47	22
1060_134451_000006_000004	He had tried to make her think of him as a man when he knew nothing of manhood and now he wanted to be with her and to try to make her feel the change he believed had taken place in his nature.	He had tried to make her think of him as a man when he knew nothing of manhood and now he wanted to be with her and to try to make her feel the change he believed had taken place in his nature.	true	339.08	350.05	21
1060_134451_000007_000000	As for Helen White, she also had come to a period of change.	As for Helen White, she also had come to a period of change.	true	350.51	354.73	22.612741
1060_134451_000007_000001	What George felt, she in her young woman's way felt also.	What George felt, she in her young woman's way felt also.	true	355.37	359.77	19.335833
1060_134451_000007_000002	She was no longer a girl and hungered to reach into the grace and beauty of womanhood.	She was no longer a girl and hungered to reach into the grace and beauty of womanhood.	true	360.71	366.34	21
1060_134451_000007_000003	She had come home from Cleveland, where she was attending college, to spend a day at the Fair.	She had come home from Cleveland, where she was attending college, to spend a day at the Fair.	true	367.28	372.82	22
1060_134451_000007_000004	She also had begun to have memories.	She also had begun to have memories.	true	373.82	376.12	15.871523
1060_134451_000007_000005	During the day she sat in the grand-stand with a young man, one of the instructors from the college, who was a guest of her mother's.	During the day she sat in the grand stand with a young man, one of the instructors from the college, who was a guest of her mother's.	true	376.85	384.76	21.363201
1060_134451_000007_000006	The young man was of a pedantic turn of mind and she felt at once he would not do for her purpose.	The young man was of a pedantic turn of mind and she felt at once he would not do for her purpose.	false	385.67	391.75	21.935879
1060_134451_000007_000007	At the Fair she was glad to be seen in his company as he was well dressed and a stranger.	At the Fair she was glad to be seen in his company as he was well dressed and a stranger.	true	392.6	398.41	22.845074
1060_134451_000007_000008	She knew that the fact of his presence would create an impression.	She knew that the fact of his presence would create an impression.	true	399.32	402.85	24
1060_134451_000007_000009	During the day she was happy, but when night came on she began to grow restless.	During the day she was happy, but when night came on she began to grow restless.	true	403.61	409.39	21.760033
1060_134451_000007_000010	She wanted to drive the instructor away, to get out of his presence.	She wanted to drive the instructor away, to get out of his presence.	true	410.21	414.46	24.419132
1060_134451_000007_000011	While they sat together in the grand-stand and while the eyes of former schoolmates were upon them, she paid so much attention to her escort that he grew interested.	While they sat together in the grand stand and while the eyes of former schoolmates were upon them, she paid so much attention to her escort that he grew interested.	true	415.97	426.13	20.674515
1060_134451_000007_000012	"A scholar needs money. I should marry a woman with money," he mused.	"A scholar needs money. I should marry a woman with money," he mused.	true	426.92	432.37	22.836416
1060_134451_000008_000000	Helen White was thinking of George Willard even as he wandered gloomily through the crowds thinking of her. She remembered the summer evening when they had walked together and wanted to walk with him again.	Helen White was thinking of George Willard even as he wandered gloomily through the crowds thinking of her. She remembered the summer evening when they had walked together and wanted to walk with him again.	true	432.86	444.94	21.288008
1060_134451_000008_000001	She thought that the months she had spent in the city, the going to theaters and the seeing of great crowds wandering in lighted thoroughfares, had changed her profoundly.	She thought that the months she had spent in the city, the going to theaters and the seeing of great crowds wandering in lighted thoroughfares, had changed her profoundly.	true	446	455.29	20
1060_134451_000008_000002	She wanted him to feel and be conscious of the change in her nature.	She wanted him to feel and be conscious of the change in her nature.	true	456.05	460.81	19.95281
1060_134451_000009_000000	The summer evening together that had left its mark on the memory of both the young man and woman had, when looked at quite sensibly, been rather stupidly spent. They had walked out of town along a country road.	The summer evening together that had left its mark on the memory of both the young man and woman had, when looked at quite sensibly, been rather stupidly spent. They had walked out of town along a country road.	true	461.18	474.61	23.010788
1060_134451_000009_000001	Then they had stopped by a fence near a field of young corn and George had taken off his coat and let it hang on his arm.	Then they had stopped by a fence near a field of young corn and George had taken off his coat and let it hang on his arm.	true	475.07	482.14	21
1060_134451_000009_000002	"Well, I've stayed here in Winesburg--yes--I've not yet gone away but I'm growing up," he had said.	"Well, I've stayed here in Winesburg-yes-I've not yet gone away but I'm growing up," he had said.	true	483.47	491.32	20.8648
1060_134451_000009_000003	"I've been reading books and I've been thinking.	"I've been reading books and I've been thinking.	true	491.9	494.29	22
1060_134451_000009_000004	I'm going to try to amount to something in life.	I'm going to try to amount to something in life.	true	494.78	497.59	19.986969
1060_134451_000010_000000	"Well," he explained, "that isn't the point.	"Well," he explained, "that isn't the point.	true	498.89	502.24	21.60961
1060_134451_000010_000001	Perhaps I'd better quit talking."	Perhaps I'd better quit talking."	true	503.45	505.48	25.807726
1060_134451_000011_000000	The confused boy put his hand on the girl's arm.	The confused boy put his hand on the girl's arm.	true	507.92	510.79	20
1060_134451_000011_000001	His voice trembled.	His voice trembled.	true	511.28	512.77	22.117958
1060_134451_000011_000002	The two started to walk back along the road toward town.	The two started to walk back along the road toward town.	true	513.35	518.74	21.426083
1060_134451_000011_000003	In his desperation George boasted, "I'm going to be a big man, the biggest that ever lived here in Winesburg," he declared.	In his desperation George boasted, "I'm going to be a big man, the biggest that ever lived here in Winesburg," he declared.	true	519.26	526.84	20.943647
1060_134451_000011_000004	"I want you to do something, I don't know what.	"I want you to do something, I don't know what.	true	527.33	530.32	18.317074
1060_134451_000011_000005	Perhaps it is none of my business.	Perhaps it is none of my business.	true	530.51	532.33	16
1060_134451_000011_000006	I want you to try to be different from other women.	I want you to try to be different from other women.	false	532.67	535.03	23.670404
1060_134451_000011_000007	You see the point.	You see the point.	true	535.1	536.23	21
1060_134451_000011_000008	It's none of my business I tell you.	It's none of my business I tell you.	true	536.48	538.57	16
1060_134451_000011_000009	I want you to be a beautiful woman.	I want you to be a beautiful woman.	true	538.97	540.79	19
1060_134451_000011_000010	You see what I want."	You see what I want."	true	541.07	543.52	16.280762
1060_134451_000012_000000	The boy's voice failed and in silence the two came back into town and went along the street to Helen White's house.	The boy's voice failed and in silence the two came back into town and went along the street to Helen White's house.	true	544.34	552.19	20.385605
1060_134451_000012_000001	At the gate he tried to say something impressive.	At the gate he tried to say something impressive.	true	553.34	556.99	19.377651
1060_134451_000012_000002	Speeches he had thought out came into his head, but they seemed utterly pointless.	Speeches he had thought out came into his head, but they seemed utterly pointless.	true	557.84	562.87	20
1060_134451_000012_000003	"I thought--I used to think--I had it in my mind you would marry Seth Richmond.	"I thought-I used to think-I had it in my mind you would marry Seth Richmond.	true	564.29	572.5	22.706745
1060_134451_000012_000004	Now I know you won't," was all he could find to say as she went through the gate and toward the door of her house.	Now I know you won't," was all he could find to say as she went through the gate and toward the door of her house.	true	573.41	581.53	20.027752
1060_134451_000013_000000	On the warm fall evening as he stood in the stairway and looked at the crowd drifting through Main Street, George thought of the talk beside the field of young corn and was ashamed of the figure he had made of himself.	On the warm fall evening as he stood in the stairway and looked at the crowd drifting through Main Street, George thought of the talk beside the field of young corn and was ashamed of the figure he had made of himself.	false	584.6	597.13	20
1060_134451_000013_000001	In the street the people surged up and down like cattle confined in a pen.	In the street the people surged up and down like cattle confined in a pen.	true	598.04	602.74	18
1060_134451_000013_000002	Buggies and wagons almost filled the narrow thoroughfare.	Buggies and wagons almost filled the narrow thoroughfare.	true	603.74	606.94	15
1060_134451_000013_000003	A band played and small boys raced along the sidewalk, diving between the legs of men.	A band played and small boys raced along the sidewalk, diving between the legs of men.	true	608.21	613.93	16
1060_134451_000013_000004	Young men with shining red faces walked awkwardly about with girls on their arms.	Young men with shining red faces walked awkwardly about with girls on their arms.	true	614.87	620.65	18
1060_134451_000013_000005	In a room above one of the stores, where a dance was to be held, the fiddlers tuned their instruments.	In a room above one of the stores, where a dance was to be held, the fiddlers tuned their instruments.	true	621.44	627.97	21.181505
1060_134451_000013_000006	The broken sounds floated down through an open window and out across the murmur of voices and the loud blare of the horns of the band.	The broken sounds floated down through an open window and out across the murmur of voices and the loud blare of the horns of the band.	true	629.27	638.73	15
1060_134451_000013_000007	The medley of sounds got on young Willard's nerves.	The medley of sounds got on young Willard's nerves.	false	638.73	643.54	17.658335
1060_134451_000013_000008	Everywhere, on all sides, the sense of crowding, moving life closed in about him.	Everywhere, on all sides, the sense of crowding, moving life closed in about him.	true	644.6	650.92	19
1060_134451_000013_000009	He wanted to run away by himself and think.	He wanted to run away by himself and think.	true	652.13	655.81	21.97725
1060_134451_000013_000010	"If she wants to stay with that fellow she may.	"If she wants to stay with that fellow she may.	true	655.94	659.23	11
1060_134451_000013_000011	Why should I care?	Why should I care?	true	660.11	661.42	12
1060_134451_000013_000012	What difference does it make to me?" he growled and went along Main Street and through Hern's Grocery into a side street.	What difference does it make to me?" he growled and went along Main Street and through Hern's Grocery into a side street.	true	661.43	669.55	18.302845
1060_134451_000014_000000	George felt so utterly lonely and dejected that he wanted to weep but pride made him walk rapidly along, swinging his arms.	George felt so utterly lonely and dejected that he wanted to weep but pride made him walk rapidly along, swinging his arms.	true	671.51	679.81	16
1060_134451_000014_000001	He came to Wesley Moyer's livery barn and stopped in the shadows to listen to a group of men who talked of a race Wesley's stallion, Tony Tip, had won at the Fair during the afternoon.	He came to Wesley Moyer's livery barn and stopped in the shadows to listen to a group of men who talked of a race Wesley's stallion, Tony Tip, had won at the Fair during the afternoon.	true	680.48	690.73	13
1060_134451_000014_000002	A crowd had gathered in front of the barn and before the crowd walked Wesley, prancing up and down boasting.	A crowd had gathered in front of the barn and before the crowd walked Wesley, prancing up and down boasting.	false	691.25	697.75	19.560125
1060_134451_000014_000003	He held a whip in his hand and kept tapping the ground.	He held a whip in his hand and kept tapping the ground.	false	698.33	701.83	17
1060_134451_000014_000004	Little puffs of dust arose in the lamplight.	Little puffs of dust arose in the lamplight.	true	702.38	705.13	16
1060_134451_000014_000005	"Hell, quit your talking," Wesley exclaimed.	"Hell, quit your talking," Wesley exclaimed.	false	705.98	709.51	24.627287
1060_134451_000014_000006	"I wasn't afraid, I knew I had 'em beat all the time.	"I wasn't afraid, I knew I had 'em beat all the time.	true	709.67	713.08	22.638245
1060_134451_000014_000007	I wasn't afraid."	I wasn't afraid."	true	713.27	714.61	19.511335
1060_134451_000015_000000	Ordinarily George Willard would have been intensely interested in the boasting of Moyer, the horseman.	Ordinarily George Willard would have been intensely interested in the boasting of Moyer, the horseman.	true	716.09	721.18	15
1060_134451_000015_000001	Now it made him angry.	Now it made him angry.	true	721.97	723.28	14
1060_134451_000015_000002	He turned and hurried away along the street.	He turned and hurried away along the street.	true	723.5	725.98	14
1060_134451_000015_000003	"Old windbag," he sputtered.	"Old windbag," he sputtered.	true	726.32	728.8	19.480938
1060_134451_000015_000004	"Why does he want to be bragging?	"Why does he want to be bragging?	true	729.62	731.415	18
1060_134451_000015_000005	Why don't he shut up?"	Why don't he shut up?"	true	731.415	732.88	19.45111
1060_134451_000016_000000	George went into a vacant lot and, as he hurried along, fell over a pile of rubbish.	George went into a vacant lot and, as he hurried along, fell over a pile of rubbish.	true	734.9	740.32	17.938513
1060_134451_000016_000001	A nail protruding from an empty barrel tore his trousers.	A nail protruding from an empty barrel tore his trousers.	true	741.26	744.37	13
1060_134451_000016_000002	He sat down on the ground and swore.	He sat down on the ground and swore.	true	745.07	747.04	12
1060_134451_000016_000003	With a pin he mended the torn place and then arose and went on.	With a pin he mended the torn place and then arose and went on.	true	748.19	752.02	15
1060_134451_000016_000004	"I'll go to Helen White's house, that's what I'll do.	"I'll go to Helen White's house, that's what I'll do.	true	753.74	757.18	16
1060_134451_000016_000005	I'll walk right in.	I'll walk right in.	true	757.85	759.1	13
1060_134451_000016_000006	I'll say that I want to see her.	I'll say that I want to see her.	false	759.8	762.3	20.487225
1060_134451_000016_000007	I'll walk right in and sit down, that's what I'll do," he declared, climbing over a fence and beginning to run.	I'll walk right in and sit down, that's what I'll do," he declared, climbing over a fence and beginning to run.	true	762.3	769.87	17.518114
1060_134451_000017_000000	On the veranda of Banker White's house Helen was restless and distraught.	On the veranda of Banker White's house Helen was restless and distraught.	true	773.69	778.87	18.844976
1060_134451_000017_000001	The instructor sat between the mother and daughter.	The instructor sat between the mother and daughter.	true	779.87	782.38	16
1060_134451_000017_000002	His talk wearied the girl. Although he had also been raised in an Ohio town, the instructor began to put on the airs of the city.	His talk wearied the girl. Although he had also been raised in an Ohio town, the instructor began to put on the airs of the city.	true	782.81	791.41	18.910364
1060_134451_000017_000003	He wanted to appear cosmopolitan.	He wanted to appear cosmopolitan.	true	792.56	794.65	17
1060_134451_000017_000004	"I like the chance you have given me to study the background out of which most of our girls come," he declared.	"I like the chance you have given me to study the background out of which most of our girls come," he declared.	false	796.13	802.48	18
1060_134451_000017_000005	"It was good of you, Mrs. White, to have me down for the day." He turned to Helen and laughed.	"It was good of you, mrs White, to have me down for the day." He turned to Helen and laughed.	true	803.24	809.53	18.321182
1060_134451_000017_000006	"Your life is still bound up with the life of this town?" he asked.	"Your life is still bound up with the life of this town?" he asked.	true	811.25	815.65	23
1060_134451_000017_000007	"There are people here in whom you are interested?" To the girl his voice sounded pompous and heavy.	"There are people here in whom you are interested?" To the girl his voice sounded pompous and heavy.	true	816.77	824.47	21.655647
1060_134451_000018_000000	Helen arose and went into the house.	Helen arose and went into the house.	true	826.16	828.19	16
1060_134451_000018_000001	At the door leading to a garden at the back she stopped and stood listening.	At the door leading to a garden at the back she stopped and stood listening.	true	828.83	833.05	15
1060_134451_000018_000002	Her mother began to talk.	Her mother began to talk.	true	834.23	835.9	19.31144
1060_134451_000018_000003	"There is no one here fit to associate with a girl of Helen's breeding," she said.	"There is no one here fit to associate with a girl of Helen's breeding," she said.	true	837.26	842.23	17
1060_134451_000019_000000	Helen ran down a flight of stairs at the back of the house and into the garden.	Helen ran down a flight of stairs at the back of the house and into the garden.	true	843.59	847.33	17
1060_134451_000019_000001	In the darkness she stopped and stood trembling.	In the darkness she stopped and stood trembling.	true	848.06	851.35	20
1060_134451_000019_000002	It seemed to her that the world was full of meaningless people saying words.	It seemed to her that the world was full of meaningless people saying words.	true	852.5	857.26	15
1060_134451_000019_000003	Afire with eagerness she ran through a garden gate and, turning a corner by the banker's barn, went into a little side street.	Afire with eagerness she ran through a garden gate and, turning a corner by the banker's barn, went into a little side street.	true	858.59	866.98	19.829847
1060_134451_000019_000004	"George!	"George!	true	867.83	868.81	24.044569
1060_134451_000019_000005	Where are you, George?" she cried, filled with nervous excitement.	Where are you, George?" she cried, filled with nervous excitement.	true	868.85	872.98	24.729712
1060_134451_000019_000006	She stopped running, and leaned against a tree to laugh hysterically.	She stopped running, and leaned against a tree to laugh hysterically.	true	873.86	877.57	19
1060_134451_000019_000007	Along the dark little street came George Willard, still saying words.	Along the dark little street came George Willard, still saying words.	true	878.63	882.64	18
1060_134451_000019_000008	"I'm going to walk right into her house. I'll go right in and sit down," he declared as he came up to her.	"I'm going to walk right into her house. I'll go right in and sit down," he declared as he came up to her.	false	883.61	890.86	19.242796
1060_134451_000019_000009	He stopped and stared stupidly.	He stopped and stared stupidly.	true	892.28	894.58	20.51305
1060_134451_000019_000010	"Come on," he said and took hold of her hand.	"Come on," he said and took hold of her hand.	true	896.6	901.27	20.171604
1060_134451_000019_000011	With hanging heads they walked away along the street under the trees.	With hanging heads they walked away along the street under the trees.	true	903.08	906.97	11
1060_134451_000019_000012	Dry leaves rustled under foot.	Dry leaves rustled under foot.	true	907.91	910.03	21.292469
1060_134451_000019_000013	Now that he had found her George wondered what he had better do and say.	Now that he had found her George wondered what he had better do and say.	true	911.24	916.24	19.409906
1060_134451_000020_000000	At the upper end of the Fair Ground, in Winesburg, there is a half decayed old grand-stand.	At the upper end of the Fair Ground, in Winesburg, there is a half decayed old grand stand.	true	921.14	926.41	19.550972
1060_134451_000020_000001	It has never been painted and the boards are all warped out of shape.	It has never been painted and the boards are all warped out of shape.	true	927.26	931.39	20
1060_134451_000020_000002	The Fair Ground stands on top of a low hill rising out of the valley of Wine Creek and from the grand-stand one can see at night, over a cornfield, the lights of the town reflected against the sky.	The Fair Ground stands on top of a low hill rising out of the valley of Wine Creek and from the grand stand one can see at night, over a cornfield, the lights of the town reflected against the sky.	true	932.9	944.56	20
1060_134451_000021_000000	George and Helen climbed the hill to the Fair Ground, coming by the path past Waterworks Pond.	George and Helen climbed the hill to the Fair Ground, coming by the path past Waterworks Pond.	true	946.61	952.24	20
1060_134451_000021_000001	The feeling of loneliness and isolation that had come to the young man in the crowded streets of his town was both broken and intensified by the presence of Helen.	The feeling of loneliness and isolation that had come to the young man in the crowded streets of his town was both broken and intensified by the presence of Helen.	false	953.36	962.53	15
1060_134451_000021_000002	What he felt was reflected in her.	What he felt was reflected in her.	true	963.62	966.07	23.089622
1060_134451_000022_000000	In youth there are always two forces fighting in people.	In youth there are always two forces fighting in people.	true	968.45	971.71	20
1060_134451_000022_000001	The warm unthinking little animal struggles against the thing that reflects and remembers, and the older, the more sophisticated thing had possession of George Willard.	The warm unthinking little animal struggles against the thing that reflects and remembers, and the older, the more sophisticated thing had possession of George Willard.	false	972.56	984.1	18.805426
1060_134451_000022_000002	Sensing his mood, Helen walked beside him filled with respect.	Sensing his mood, Helen walked beside him filled with respect.	true	985.37	989.32	21.192287
1060_134451_000022_000003	When they got to the grand-stand they climbed up under the roof and sat down on one of the long bench-like seats.	When they got to the grand stand they climbed up under the roof and sat down on one of the long bench like seats.	true	990.29	997.12	17
1060_134451_000023_000000	There is something memorable in the experience to be had by going into a fair ground that stands at the edge of a Middle Western town on a night after the annual fair has been held.	There is something memorable in the experience to be had by going into a fair ground that stands at the edge of a Middle Western town on a night after the annual fair has been held.	true	999.89	1009.81	12
1060_134451_000023_000001	The sensation is one never to be forgotten.	The sensation is one never to be forgotten.	true	1011.14	1015.42	17.246979
1060_134451_000023_000002	On all sides are ghosts, not of the dead, but of living people.	On all sides are ghosts, not of the dead, but of living people.	true	1015.91	1021.42	19.714102
1060_134451_000023_000003	Here, during the day just passed, have come the people pouring in from the town and the country around.	Here, during the day just passed, have come the people pouring in from the town and the country around.	true	1023.02	1030.27	18
1060_134451_000023_000004	Farmers with their wives and children and all the people from the hundreds of little frame houses have gathered within these board walls.	Farmers with their wives and children and all the people from the hundreds of little frame houses have gathered within these board walls.	false	1031.6	1040.44	18
1060_134451_000023_000005	Young girls have laughed and men with beards have talked of the affairs of their lives.	Young girls have laughed and men with beards have talked of the affairs of their lives.	true	1041.68	1046.95	19.965776
1060_134451_000023_000006	The place has been filled to overflowing with life.	The place has been filled to overflowing with life.	true	1048.7	1052.22	19.72237
1060_134451_000023_000007	It has itched and squirmed with life and now it is night and the life has all gone away.	It has itched and squirmed with life and now it is night and the life has all gone away.	false	1052.22	1059.46	18
1060_134451_000023_000008	The silence is almost terrifying.	The silence is almost terrifying.	true	1061.75	1063.78	15
1060_134451_000023_000009	One conceals oneself standing silently beside the trunk of a tree and what there is of a reflective tendency in his nature is intensified.	One conceals oneself standing silently beside the trunk of a tree and what there is of a reflective tendency in his nature is intensified.	true	1065.53	1074.16	11
1060_134451_000023_000010	One shudders at the thought of the meaninglessness of life while at the same instant, and if the people of the town are his people, one loves life so intensely that tears come into the eyes.	One shudders at the thought of the meaninglessness of life while at the same instant, and if the people of the town are his people, one loves life so intensely that tears come into the eyes.	false	1076.33	1090.15	17.43303
1060_134451_000024_000000	In the darkness under the roof of the grand-stand, George Willard sat beside Helen White and felt very keenly his own insignificance in the scheme of existence.	In the darkness under the roof of the grand stand, George Willard sat beside Helen White and felt very keenly his own insignificance in the scheme of existence.	false	1093.22	1103.41	17
1060_134451_000024_000001	Now that he had come out of town where the presence of the people stirring about, busy with a multitude of affairs, had been so irritating, the irritation was all gone.	Now that he had come out of town where the presence of the people stirring about, busy with a multitude of affairs, had been so irritating, the irritation was all gone.	false	1105.07	1115.89	14
1060_134451_000024_000002	The presence of Helen renewed and refreshed him.	The presence of Helen renewed and refreshed him.	true	1117.52	1120.06	15
1060_134451_000024_000003	It was as though her woman's hand was assisting him to make some minute readjustment of the machinery of his life.	It was as though her woman's hand was assisting him to make some minute readjustment of the machinery of his life.	true	1121.36	1128.22	13
1060_134451_000024_000004	He began to think of the people in the town where he had always lived with something like reverence.	He began to think of the people in the town where he had always lived with something like reverence.	false	1130.15	1134.85	15
1060_134451_000024_000005	He had reverence for Helen. He wanted to love and to be loved by her, but he did not want at the moment to be confused by her womanhood. In the darkness he took hold of her hand and when she crept close put a hand on her shoulder.	He had reverence for Helen. He wanted to love and to be loved by her, but he did not want at the moment to be confused by her womanhood. In the darkness he took hold of her hand and when she crept close put a hand on her shoulder.	false	1136.84	1155.16	17.567703
