7881_110131_000000_000000	JOSE THE BEAST SLAYER	JOSE THE BEAST SLAYER	true	24.375	25.98	23.88705
7881_110131_000017_000002	Then they wandered on until at last they came to a house with a door in which a little window had been cut.	Then they wandered on until at last they came to a house with a door in which a little window had been cut.	true	261.41	267.34	18.16558
7881_110131_000017_000003	The boy thrust in his arm and opened the door as if it had been his own.	The boy thrust in his arm and opened the door as if it had been his own.	true	267.98	272.11	21.732279
7881_110131_000018_000000	"Walk in, mother dear," were his words.	"Walk in, mother dear," were his words.	true	272.66	275.95	24.48326
7881_110131_000019_000000	Together they entered the house and together they explored the various rooms.	Together they entered the house and together they explored the various rooms.	true	276.95	281.56	20.721508
7881_110131_000019_000001	There was nobody there and there was nothing to eat. Accordingly, Jose went out begging.	There was nobody there and there was nothing to eat. Accordingly, Jose went out begging.	true	282.11	288.61	21.470087
7881_110131_000019_000002	He asked alms at the royal palace and there he was given money to buy food.	He asked alms at the royal palace and there he was given money to buy food.	true	288.86	294.28	21.47913
7881_110131_000019_000003	There was even enough left over to pay for a gun.	There was even enough left over to pay for a gun.	true	294.98	297.79	21.07634
7881_110131_000020_000000	Now that he owned a gun there was no need of begging any more.	Now that he owned a gun there was no need of begging any more.	true	298.85	302.5	21
7881_110131_000020_000001	He shot plenty of game for his mother and what was left he carried to the royal palace to give to the king.	He shot plenty of game for his mother and what was left he carried to the royal palace to give to the king.	true	303.23	309.73	23.763176
7881_110131_000021_000000	One day in the deep forest he entered a cave where the giant of the forest lived.	One day in the deep forest he entered a cave where the giant of the forest lived.	true	311.12	316.87	20.761911
7881_110131_000022_000000	"What are you doing here, little penny chicken?" asked the huge giant as he frowned down at Jose.	"What are you doing here, little penny chicken?" asked the huge giant as he frowned down at Jose.	true	318.86	326.28	22.514612
7881_110131_000023_000000	[Illustration: He frowned down at Jose]	[Illustration: He frowned down at Jose]	false	326.28	327.405	-20
7881_110131_000024_000000	"I may be a little penny chicken, but I'm not in the least afraid of giants," replied the boy boldly.	"I may be a little penny chicken, but I'm not in the least afraid of giants," replied the boy boldly.	true	327.405	334.48	25.304523
7881_110131_000025_000000	"What, a little penny chicken like you not afraid of me!" cried the giant as he picked him up roughly and set him on his neck.	"What, a little penny chicken like you not afraid of me!" cried the giant as he picked him up roughly and set him on his neck.	true	335.48	346.03	24.289204
7881_110131_000026_000000	Jose seized the giant's long beard and drew it around his neck so tightly that the giant fell to the floor dead.	Jose seized the giant's long beard and drew it around his neck so tightly that the giant fell to the floor dead.	true	346.73	353.98	22.193943
7881_110131_000026_000001	Then Jose seized one of the money-bags and ran home with it to his mother.	Then Jose seized one of the money bags and ran home with it to his mother.	true	354.62	359.44	19.848064
7881_110131_000027_000000	"You must carry some of this to the king," said his mother when she saw it and had heard his story.	"You must carry some of this to the king," said his mother when she saw it and had heard his story.	true	360.2	366.37	21.956272
7881_110131_000028_000000	Accordingly, Jose carried the money as a gift to the king.	Accordingly, Jose carried the money as a gift to the king.	true	367.1	371.05	22.536367
7881_110131_000029_000000	"Who is bringing me all this?" asked the king when he saw it.	"Who is bringing me all this?" asked the king when he saw it.	true	371.66	376.63	17.886131
7881_110131_000030_000000	"A little lad," replied the king's servants.	"A little lad," replied the king's servants.	true	377.09	381.16	20.974031
7881_110131_000031_000000	"Lead him in to me," said the king.	"Lead him in to me," said the king.	true	381.95	385.36	17.941673
7881_110131_000031_000001	"I'd like to see him."	"I'd like to see him."	true	385.67	387.82	21.313364
7881_110131_000032_000000	Accordingly, the boy was led before the throne.	Accordingly, the boy was led before the throne.	true	388.16	390.97	21.92255
7881_110131_000033_000000	"What is your name, my lad?" asked the king kindly.	"What is your name, my lad?" asked the king kindly.	true	391.49	396.61	20.820122
7881_110131_000034_000000	"I am called Jose the Beast Slayer, your majesty," replied the boy as he bowed low before the throne.	"I am called Jose the Beast Slayer, your majesty," replied the boy as he bowed low before the throne.	true	397.37	404.29	22.560623
7881_110131_000035_000000	"Who are your parents?" asked the king.	"Who are your parents?" asked the king.	true	404.93	409.42	24.104095
7881_110131_000036_000000	"My father is dead," replied Jose, "and my mother is a princess who ran away from a tower in the forest."	"My father is dead," replied Jose, "and my mother is a princess who ran away from a tower in the forest."	true	410.27	418.33	22.758774
7881_110131_000037_000000	Jose had often heard the story of his mother's life in the tower.	Jose had often heard the story of his mother's life in the tower.	true	419.18	422.74	19.137835
7881_110131_000037_000001	It was the tale he liked best of all.	It was the tale he liked best of all.	true	423.08	425.44	24.93195
7881_110131_000038_000000	At the boy's words the king started and looked at him sharply.	At the boy's words the king started and looked at him sharply.	true	426.41	430.45	24.794592
7881_110131_000039_000000	"Tell me about this tower," he said eagerly.	"Tell me about this tower," he said eagerly.	true	430.88	435.31	23.042057
7881_110131_000040_000000	"It was a tower in the deep forest," replied Jose.	"It was a tower in the deep forest," replied Jose.	true	436.01	439.93	24.931847
7881_110131_000040_000001	"It had no door, only a little window through which food was passed to her.	"It had no door, only a little window through which food was passed to her.	true	440.57	445.78	19.97591
7881_110131_000040_000002	She could never have any meat with a bone.	She could never have any meat with a bone.	true	446.48	449.23	18.339565
7881_110131_000040_000003	This was because the Wise Man of the Forest had told her father that it was the best way to bring her up. One day her father went away and the servants gave her meat with a bone in it and--"	This was because the Wise Man of the Forest had told her father that it was the best way to bring her up. One day her father went away and the servants gave her meat with a bone in it and-"	true	449.63	461.14	22.626724
7881_110131_000041_000000	"I always suspected something like that," interrupted the king.	"I always suspected something like that," interrupted the king.	true	461.45	467.23	21.811857
7881_110131_000042_000000	Jose looked at him in surprise.	Jose looked at him in surprise.	true	467.93	469.74	21.867706
7881_110131_000043_000000	"Were you there?" he asked.	"Were you there?" he asked.	false	469.74	473.38	20.88419
7881_110131_000044_000000	The king nodded.	The king nodded.	true	473.42	474.58	23.550959
7881_110131_000044_000001	"Go on with your story, my boy," he said.	"Go on with your story, my boy," he said.	true	474.89	479.44	22.015991
7881_110131_000045_000000	Jose told all the circumstances of his mother's escape from the tower, just as she had so often described them to him.	Jose told all the circumstances of his mother's escape from the tower, just as she had so often described them to him.	true	480.11	487.12	24.486937
7881_110131_000045_000001	Tears were running down the king's cheeks when at last the story was ended.	Tears were running down the king's cheeks when at last the story was ended.	true	487.76	492.09	21
7881_110131_000046_000000	"My lad, you are my own grandson!" cried the king as he took him in his arms.	"My lad, you are my own grandson!" cried the king as he took him in his arms.	false	492.09	500.89	16.058025
7881_110131_000046_000001	"Proud am I, too, that I have a grandson like you!	"Proud am I, too, that I have a grandson like you!	true	501.17	506.59	19.551258
7881_110131_000046_000002	Where is your mother now?"	Where is your mother now?"	true	507.11	509.05	17.84428
7881_110131_000047_000000	"My mother is in the house in the forest," replied Jose.	"My mother is in the house in the forest," replied Jose.	true	509.9	513.88	17.932775
7881_110131_000047_000001	"It is she who told me to carry the money to the king."	"It is she who told me to carry the money to the king."	true	514.04	517.42	22
7881_110131_000048_000000	"Why did she never come to me?" asked the father.	"Why did she never come to me?" asked the father.	true	518.48	523.87	22.496464
7881_110131_000049_000000	"I think she was afraid she'd be punished for running away from the tower without any door," was Jose's reply.	"I think she was afraid she'd be punished for running away from the tower without any door," was Jose's reply.	true	524.09	530.92	21.572584
7881_110131_000050_000000	When the princess was brought home to the royal palace there was a great feast held which lasted for three days and three nights.	When the princess was brought home to the royal palace there was a great feast held which lasted for three days and three nights.	true	532.04	539.77	21.450842
7881_110131_000050_000001	Then the king sent his men with Jose into the forest to the cave where the giant had lived.	Then the king sent his men with Jose into the forest to the cave where the giant had lived.	true	540.56	545.92	19.179426
7881_110131_000050_000002	They brought home so many bags of gold that it required the entire royal army to transport it.	They brought home so many bags of gold that it required the entire royal army to transport it.	true	546.41	552.52	21.820543
7881_110131_000051_000000	Years passed, and when the old king died it was Jose the Beast Slayer who was king of the land.	Years passed, and when the old king died it was Jose the Beast Slayer who was king of the land.	false	553.37	569.97	18.349766
