7881_110131_000000_000000	JOSE THE BEAST SLAYER	JOSE THE BEAST SLAYER
7881_110131_000011_000002	When at last her baby son was born she thought that she was the very happiest person in the whole world.	When at last her baby son was born she thought that she was the very happiest person in the whole world.
7881_110131_000012_000000	Now when the baby was two years old, the duke decided that they must take him to a hermitage to be baptized.	Now when the baby was two years old, the duke decided that they must take him to a hermitage to be baptized.
7881_110131_000012_000002	Then he returned for the princess, but on the way his foot slipped and he fell into the river.	Then he returned for the princess, but on the way his foot slipped and he fell into the river.
7881_110131_000012_000003	The strong current bore him swiftly away, leaving the princess on one side of the river and her little son on the other.	The strong current bore him swiftly away, leaving the princess on one side of the river and her little son on the other.
7881_110131_000013_000000	"How shall I get across?" cried the princess when she saw what had happened.	"How shall I get across?" cried the princess when she saw what had happened.
7881_110131_000014_000000	"Don't worry, mother," replied the child.	"Don't worry, mother," replied the child.
7881_110131_000014_000001	"I'll come and get you."	"I'll come and get you."
7881_110131_000015_000000	To her amazement he crossed the great river in safety and bravely escorted his mother to the other bank in spite of her tears and cries of fear.	To her amazement he crossed the great river in safety and bravely escorted his mother to the other bank in spite of her tears and cries of fear.
7881_110131_000016_000001	"You are indeed a son to be proud of!"	"You are indeed a son to be proud of!"
7881_110131_000017_000000	They went to a church and the boy was baptized.	They went to a church and the boy was baptized.
7881_110131_000017_000003	The boy thrust in his arm and opened the door as if it had been his own.	The boy thrust in his arm and opened the door as if it had been his own.
7881_110131_000018_000000	"Walk in, mother dear," were his words.	"Walk in, mother dear," were his words.
7881_110131_000019_000000	Together they entered the house and together they explored the various rooms.	Together they entered the house and together they explored the various rooms.
7881_110131_000019_000001	There was nobody there and there was nothing to eat. Accordingly, Jose went out begging.	There was nobody there and there was nothing to eat. Accordingly, Jose went out begging.
7881_110131_000019_000002	He asked alms at the royal palace and there he was given money to buy food.	He asked alms at the royal palace and there he was given money to buy food.
7881_110131_000019_000003	There was even enough left over to pay for a gun.	There was even enough left over to pay for a gun.
7881_110131_000020_000000	Now that he owned a gun there was no need of begging any more.	Now that he owned a gun there was no need of begging any more.
7881_110131_000020_000001	He shot plenty of game for his mother and what was left he carried to the royal palace to give to the king.	He shot plenty of game for his mother and what was left he carried to the royal palace to give to the king.
7881_110131_000021_000000	One day in the deep forest he entered a cave where the giant of the forest lived.	One day in the deep forest he entered a cave where the giant of the forest lived.
7881_110131_000022_000000	"What are you doing here, little penny chicken?" asked the huge giant as he frowned down at Jose.	"What are you doing here, little penny chicken?" asked the huge giant as he frowned down at Jose.
7881_110131_000024_000000	"I may be a little penny chicken, but I'm not in the least afraid of giants," replied the boy boldly.	"I may be a little penny chicken, but I'm not in the least afraid of giants," replied the boy boldly.
7881_110131_000025_000000	"What, a little penny chicken like you not afraid of me!" cried the giant as he picked him up roughly and set him on his neck.	"What, a little penny chicken like you not afraid of me!" cried the giant as he picked him up roughly and set him on his neck.
7881_110131_000026_000000	Jose seized the giant's long beard and drew it around his neck so tightly that the giant fell to the floor dead.	Jose seized the giant's long beard and drew it around his neck so tightly that the giant fell to the floor dead.
7881_110131_000027_000000	"You must carry some of this to the king," said his mother when she saw it and had heard his story.	"You must carry some of this to the king," said his mother when she saw it and had heard his story.
7881_110131_000028_000000	Accordingly, Jose carried the money as a gift to the king.	Accordingly, Jose carried the money as a gift to the king.
7881_110131_000030_000000	"A little lad," replied the king's servants.	"A little lad," replied the king's servants.
7881_110131_000031_000001	"I'd like to see him."	"I'd like to see him."
7881_110131_000032_000000	Accordingly, the boy was led before the throne.	Accordingly, the boy was led before the throne.
7881_110131_000033_000000	"What is your name, my lad?" asked the king kindly.	"What is your name, my lad?" asked the king kindly.
7881_110131_000034_000000	"I am called Jose the Beast Slayer, your majesty," replied the boy as he bowed low before the throne.	"I am called Jose the Beast Slayer, your majesty," replied the boy as he bowed low before the throne.
7881_110131_000035_000000	"Who are your parents?" asked the king.	"Who are your parents?" asked the king.
7881_110131_000036_000000	"My father is dead," replied Jose, "and my mother is a princess who ran away from a tower in the forest."	"My father is dead," replied Jose, "and my mother is a princess who ran away from a tower in the forest."
7881_110131_000037_000001	It was the tale he liked best of all.	It was the tale he liked best of all.
7881_110131_000038_000000	At the boy's words the king started and looked at him sharply.	At the boy's words the king started and looked at him sharply.
7881_110131_000039_000000	"Tell me about this tower," he said eagerly.	"Tell me about this tower," he said eagerly.
7881_110131_000040_000000	"It was a tower in the deep forest," replied Jose.	"It was a tower in the deep forest," replied Jose.
7881_110131_000040_000003	This was because the Wise Man of the Forest had told her father that it was the best way to bring her up. One day her father went away and the servants gave her meat with a bone in it and--"	This was because the Wise Man of the Forest had told her father that it was the best way to bring her up. One day her father went away and the servants gave her meat with a bone in it and-"
7881_110131_000041_000000	"I always suspected something like that," interrupted the king.	"I always suspected something like that," interrupted the king.
7881_110131_000042_000000	Jose looked at him in surprise.	Jose looked at him in surprise.
7881_110131_000044_000000	The king nodded.	The king nodded.
7881_110131_000044_000001	"Go on with your story, my boy," he said.	"Go on with your story, my boy," he said.
7881_110131_000045_000000	Jose told all the circumstances of his mother's escape from the tower, just as she had so often described them to him.	Jose told all the circumstances of his mother's escape from the tower, just as she had so often described them to him.
7881_110131_000045_000001	Tears were running down the king's cheeks when at last the story was ended.	Tears were running down the king's cheeks when at last the story was ended.
7881_110131_000047_000001	"It is she who told me to carry the money to the king."	"It is she who told me to carry the money to the king."
7881_110131_000048_000000	"Why did she never come to me?" asked the father.	"Why did she never come to me?" asked the father.
7881_110131_000049_000000	"I think she was afraid she'd be punished for running away from the tower without any door," was Jose's reply.	"I think she was afraid she'd be punished for running away from the tower without any door," was Jose's reply.
7881_110131_000050_000000	When the princess was brought home to the royal palace there was a great feast held which lasted for three days and three nights.	When the princess was brought home to the royal palace there was a great feast held which lasted for three days and three nights.
7881_110131_000050_000002	They brought home so many bags of gold that it required the entire royal army to transport it.	They brought home so many bags of gold that it required the entire royal army to transport it.
