3340_170982_000000_000000	I should be much to blame if I had forgotten.	I should be much to blame if I had forgotten.	false	0	0.96	25.933739
3340_170982_000023_000015	We were at the mouth of the cavern, and, having completed all our experiences, were about to reascend, when of a sudden Ardiaeus appeared and several others, most of whom were tyrants; and there were also besides the tyrants private individuals who had been great criminals: they were just, as they fancied, about to return into the upper world, but the mouth, instead of admitting them, gave a roar, whenever any of these incurable sinners or some one who had not been sufficiently punished tried to ascend; and then wild men of fiery aspect, who were standing by and heard the sound, seized and carried them off; and Ardiaeus and others they bound head and foot and hand, and threw them down and flayed them with scourges, and dragged them along the road at the side, carding them on thorns like wool, and declaring to the passers-by what were their crimes, and that they were being taken away to be cast into hell.' And of all the many terrors which they had endured, he said that there was none like the terror which each of them felt at that moment, lest they should hear the voice; and when there was silence, one by one they ascended with exceeding joy.	We were at the mouth of the cavern, and, having completed all our experiences, were about to reascend, when of a sudden Ardiaeus appeared and several others, most of whom were tyrants; and there were also besides the tyrants private individuals who had been great criminals: they were just, as they fancied, about to return into the upper world, but the mouth, instead of admitting them, gave a roar, whenever any of these incurable sinners or some one who had not been sufficiently punished tried to ascend; and then wild men of fiery aspect, who were standing by and heard the sound, seized and carried them off; and Ardiaeus and others they bound head and foot and hand, and threw them down and flayed them with scourges, and dragged them along the road at the side, carding them on thorns like wool, and declaring to the passers by what were their crimes, and that they were being taken away to be cast into hell.' And of all the many terrors which they had endured, he said that there was none like the terror which each of them felt at that moment, lest they should hear the voice; and when there was silence, one by one they ascended with exceeding joy.	false	321.885	384.9	13
3340_170982_000023_000016	These, said Er, were the penalties and retributions, and there were blessings as great.	These, said Er, were the penalties and retributions, and there were blessings as great.	true	384.9	390.01	17
3340_170982_000024_000000	Now when the spirits which were in the meadow had tarried seven days, on the eighth they were obliged to proceed on their journey, and, on the fourth day after, he said that they came to a place where they could see from above a line of light, straight as a column, extending right through the whole heaven and through the earth, in colour resembling the rainbow, only brighter and purer; another day's journey brought them to the place, and there, in the midst of the light, they saw the ends of the chains of heaven let down from above: for this light is the belt of heaven, and holds together the circle of the universe, like the under-girders of a trireme.	Now when the spirits which were in the meadow had tarried seven days, on the eighth they were obliged to proceed on their journey, and, on the fourth day after, he said that they came to a place where they could see from above a line of light, straight as a column, extending right through the whole heaven and through the earth, in colour resembling the rainbow, only brighter and purer; another day's journey brought them to the place, and there, in the midst of the light, they saw the ends of the chains of heaven let down from above: for this light is the belt of heaven, and holds together the circle of the universe, like the under girders of a trireme.	false	390.65	425.25	14
3340_170982_000024_000001	From these ends is extended the spindle of Necessity, on which all the revolutions turn.	From these ends is extended the spindle of Necessity, on which all the revolutions turn.	true	425.25	430.6	14
3340_170982_000024_000002	The shaft and hook of this spindle are made of steel, and the whorl is made partly of steel and also partly of other materials.	The shaft and hook of this spindle are made of steel, and the whorl is made partly of steel and also partly of other materials.	false	431.09	438.49	13
3340_170982_000024_000003	Now the whorl is in form like the whorl used on earth; and the description of it implied that there is one large hollow whorl which is quite scooped out, and into this is fitted another lesser one, and another, and another, and four others, making eight in all, like vessels which fit into one another; the whorls show their edges on the upper side, and on their lower side all together form one continuous whorl.	Now the whorl is in form like the whorl used on earth; and the description of it implied that there is one large hollow whorl which is quite scooped out, and into this is fitted another lesser one, and another, and another, and four others, making eight in all, like vessels which fit into one another; the whorls show their edges on the upper side, and on their lower side all together form one continuous whorl.	false	438.68	462.63	13
3340_170982_000024_000004	This is pierced by the spindle, which is driven home through the centre of the eighth.	This is pierced by the spindle, which is driven home through the centre of the eighth.	true	462.63	466.74	16
3340_170982_000024_000005	The first and outermost whorl has the rim broadest, and the seven inner whorls are narrower, in the following proportions--the sixth is next to the first in size, the fourth next to the sixth; then comes the eighth; the seventh is fifth, the fifth is sixth, the third is seventh, last and eighth comes the second. The largest (or fixed stars) is spangled, and the seventh (or sun) is brightest; the eighth (or moon) coloured by the reflected light of the seventh; the second and fifth (Saturn and Mercury) are in colour like one another, and yellower than the preceding; the third (Venus) has the whitest light; the fourth (Mars) is reddish; the sixth (Jupiter) is in whiteness second.	The first and outermost whorl has the rim broadest, and the seven inner whorls are narrower, in the following proportions-the sixth is next to the first in size, the fourth next to the sixth; then comes the eighth; the seventh is fifth, the fifth is sixth, the third is seventh, last and eighth comes the second. The largest (or fixed stars) is spangled, and the seventh (or sun) is brightest; the eighth (or moon) coloured by the reflected light of the seventh; the second and fifth (Saturn and Mercury) are in colour like one another, and yellower than the preceding; the third (Venus) has the whitest light; the fourth (Mars) is reddish; the sixth (Jupiter) is in whiteness second.	false	466.74	509.08	19
3340_170982_000024_000006	Now the whole spindle has the same motion; but, as the whole revolves in one direction, the seven inner circles move slowly in the other, and of these the swiftest is the eighth; next in swiftness are the seventh, sixth, and fifth, which move together; third in swiftness appeared to move according to the law of this reversed motion the fourth; the third appeared fourth and the second fifth.	Now the whole spindle has the same motion; but, as the whole revolves in one direction, the seven inner circles move slowly in the other, and of these the swiftest is the eighth; next in swiftness are the seventh, sixth, and fifth, which move together; third in swiftness appeared to move according to the law of this reversed motion the fourth; the third appeared fourth and the second fifth.	false	509.48	531.61	16
3340_170982_000024_000007	The spindle turns on the knees of Necessity; and on the upper surface of each circle is a siren, who goes round with them, hymning a single tone or note.	The spindle turns on the knees of Necessity; and on the upper surface of each circle is a siren, who goes round with them, hymning a single tone or note.	true	531.92	540.24	17
3340_170982_000024_000008	The eight together form one harmony; and round about, at equal intervals, there is another band, three in number, each sitting upon her throne: these are the Fates, daughters of Necessity, who are clothed in white robes and have chaplets upon their heads, Lachesis and Clotho and Atropos, who accompany with their voices the harmony of the sirens--Lachesis singing of the past, Clotho of the present, Atropos of the future; Clotho from time to time assisting with a touch of her right hand the revolution of the outer circle of the whorl or spindle, and Atropos with her left hand touching and guiding the inner ones, and Lachesis laying hold of either in turn, first with one hand and then with the other.	The eight together form one harmony; and round about, at equal intervals, there is another band, three in number, each sitting upon her throne: these are the Fates, daughters of Necessity, who are clothed in white robes and have chaplets upon their heads, Lachesis and Clotho and Atropos, who accompany with their voices the harmony of the sirens-Lachesis singing of the past, Clotho of the present, Atropos of the future; Clotho from time to time assisting with a touch of her right hand the revolution of the outer circle of the whorl or spindle, and Atropos with her left hand touching and guiding the inner ones, and Lachesis laying hold of either in turn, first with one hand and then with the other.	false	540.24	582.04	16
3340_170982_000025_000000	When Er and the spirits arrived, their duty was to go at once to Lachesis; but first of all there came a prophet who arranged them in order; then he took from the knees of Lachesis lots and samples of lives, and having mounted a high pulpit, spoke as follows: 'Hear the word of Lachesis, the daughter of Necessity.	When Er and the spirits arrived, their duty was to go at once to Lachesis; but first of all there came a prophet who arranged them in order; then he took from the knees of Lachesis lots and samples of lives, and having mounted a high pulpit, spoke as follows: 'Hear the word of Lachesis, the daughter of Necessity.	false	582.26	599.82	17
3340_170982_000025_000001	Mortal souls, behold a new cycle of life and mortality.	Mortal souls, behold a new cycle of life and mortality.	true	599.82	603.52	15
3340_170982_000025_000002	Your genius will not be allotted to you, but you will choose your genius; and let him who draws the first lot have the first choice, and the life which he chooses shall be his destiny.	Your genius will not be allotted to you, but you will choose your genius; and let him who draws the first lot have the first choice, and the life which he chooses shall be his destiny.	true	603.86	613.45	12
3340_170982_000025_000003	Virtue is free, and as a man honours or dishonours her he will have more or less of her; the responsibility is with the chooser--God is justified.' When the Interpreter had thus spoken he scattered lots indifferently among them all, and each of them took up the lot which fell near him, all but Er himself (he was not allowed), and each as he took his lot perceived the number which he had obtained.	Virtue is free, and as a man honours or dishonours her he will have more or less of her; the responsibility is with the chooser-God is justified.' When the Interpreter had thus spoken he scattered lots indifferently among them all, and each of them took up the lot which fell near him, all but Er himself (he was not allowed), and each as he took his lot perceived the number which he had obtained.	true	613.7	638.31	19.033594
3340_170982_000025_000004	Then the Interpreter placed on the ground before them the samples of lives; and there were many more lives than the souls present, and they were of all sorts.	Then the Interpreter placed on the ground before them the samples of lives; and there were many more lives than the souls present, and they were of all sorts.	true	638.31	646.09	14
3340_170982_000025_000005	There were lives of every animal and of man in every condition. And there were tyrannies among them, some lasting out the tyrant's life, others which broke off in the middle and came to an end in poverty and exile and beggary; and there were lives of famous men, some who were famous for their form and beauty as well as for their strength and success in games, or, again, for their birth and the qualities of their ancestors; and some who were the reverse of famous for the opposite qualities.	There were lives of every animal and of man in every condition. And there were tyrannies among them, some lasting out the tyrant's life, others which broke off in the middle and came to an end in poverty and exile and beggary; and there were lives of famous men, some who were famous for their form and beauty as well as for their strength and success in games, or, again, for their birth and the qualities of their ancestors; and some who were the reverse of famous for the opposite qualities.	true	646.16	673.66	14
3340_170982_000025_000006	And of women likewise; there was not, however, any definite character in them, because the soul, when choosing a new life, must of necessity become different.	And of women likewise; there was not, however, any definite character in them, because the soul, when choosing a new life, must of necessity become different.	true	674.15	683.44	15
3340_170982_000025_000007	But there was every other quality, and the all mingled with one another, and also with elements of wealth and poverty, and disease and health; and there were mean states also.	But there was every other quality, and the all mingled with one another, and also with elements of wealth and poverty, and disease and health; and there were mean states also.	false	683.6	693.345	14
3340_170982_000025_000008	And here, my dear Glaucon, is the supreme peril of our human state; and therefore the utmost care should be taken.	And here, my dear Glaucon, is the supreme peril of our human state; and therefore the utmost care should be taken.	true	693.345	700.15	16
3340_170982_000025_000009	Let each one of us leave every other kind of knowledge and seek and follow one thing only, if peradventure he may be able to learn and may find some one who will make him able to learn and discern between good and evil, and so to choose always and everywhere the better life as he has opportunity.	Let each one of us leave every other kind of knowledge and seek and follow one thing only, if peradventure he may be able to learn and may find some one who will make him able to learn and discern between good and evil, and so to choose always and everywhere the better life as he has opportunity.	false	700.25	716.65	11
3340_170982_000025_000010	He should consider the bearing of all these things which have been mentioned severally and collectively upon virtue; he should know what the effect of beauty is when combined with poverty or wealth in a particular soul, and what are the good and evil consequences of noble and humble birth, of private and public station, of strength and weakness, of cleverness and dullness, and of all the natural and acquired gifts of the soul, and the operation of them when conjoined; he will then look at the nature of the soul, and from the consideration of all these qualities he will be able to determine which is the better and which is the worse; and so he will choose, giving the name of evil to the life which will make his soul more unjust, and good to the life which will make his soul more just; all else he will disregard.	He should consider the bearing of all these things which have been mentioned severally and collectively upon virtue; he should know what the effect of beauty is when combined with poverty or wealth in a particular soul, and what are the good and evil consequences of noble and humble birth, of private and public station, of strength and weakness, of cleverness and dullness, and of all the natural and acquired gifts of the soul, and the operation of them when conjoined; he will then look at the nature of the soul, and from the consideration of all these qualities he will be able to determine which is the better and which is the worse; and so he will choose, giving the name of evil to the life which will make his soul more unjust, and good to the life which will make his soul more just; all else he will disregard.	false	717.02	762.13	15
3340_170982_000025_000011	For we have seen and know that this is the best choice both in life and after death.	For we have seen and know that this is the best choice both in life and after death.	true	762.23	767.145	10
3340_170982_000025_000012	A man must take with him into the world below an adamantine faith in truth and right, that there too he may be undazzled by the desire of wealth or the other allurements of evil, lest, coming upon tyrannies and similar villainies, he do irremediable wrongs to others and suffer yet worse himself; but let him know how to choose the mean and avoid the extremes on either side, as far as possible, not only in this life but in all that which is to come. For this is the way of happiness.	A man must take with him into the world below an adamantine faith in truth and right, that there too he may be undazzled by the desire of wealth or the other allurements of evil, lest, coming upon tyrannies and similar villainies, he do irremediable wrongs to others and suffer yet worse himself; but let him know how to choose the mean and avoid the extremes on either side, as far as possible, not only in this life but in all that which is to come. For this is the way of happiness.	false	767.145	795.855	14
3340_170982_000026_000000	And according to the report of the messenger from the other world this was what the prophet said at the time: 'Even for the last comer, if he chooses wisely and will live diligently, there is appointed a happy and not undesirable existence.	And according to the report of the messenger from the other world this was what the prophet said at the time: 'Even for the last comer, if he chooses wisely and will live diligently, there is appointed a happy and not undesirable existence.	true	795.855	809.89	19.119333
3340_170982_000026_000001	Let not him who chooses first be careless, and let not the last despair.' And when he had spoken, he who had the first choice came forward and in a moment chose the greatest tyranny; his mind having been darkened by folly and sensuality, he had not thought out the whole matter before he chose, and did not at first sight perceive that he was fated, among other evils, to devour his own children.	Let not him who chooses first be careless, and let not the last despair.' And when he had spoken, he who had the first choice came forward and in a moment chose the greatest tyranny; his mind having been darkened by folly and sensuality, he had not thought out the whole matter before he chose, and did not at first sight perceive that he was fated, among other evils, to devour his own children.	true	809.99	834.25	20.00796
3340_170982_000026_000002	But when he had time to reflect, and saw what was in the lot, he began to beat his breast and lament over his choice, forgetting the proclamation of the prophet; for, instead of throwing the blame of his misfortune on himself, he accused chance and the gods, and everything rather than himself.	But when he had time to reflect, and saw what was in the lot, he began to beat his breast and lament over his choice, forgetting the proclamation of the prophet; for, instead of throwing the blame of his misfortune on himself, he accused chance and the gods, and everything rather than himself.	true	834.65	851.02	15
3340_170982_000026_000003	Now he was one of those who came from heaven, and in a former life had dwelt in a well-ordered State, but his virtue was a matter of habit only, and he had no philosophy.	Now he was one of those who came from heaven, and in a former life had dwelt in a well ordered State, but his virtue was a matter of habit only, and he had no philosophy.	true	851.03	860.05	15
3340_170982_000026_000004	And it was true of others who were similarly overtaken, that the greater number of them came from heaven and therefore they had never been schooled by trial, whereas the pilgrims who came from earth having themselves suffered and seen others suffer, were not in a hurry to choose.	And it was true of others who were similarly overtaken, that the greater number of them came from heaven and therefore they had never been schooled by trial, whereas the pilgrims who came from earth having themselves suffered and seen others suffer, were not in a hurry to choose.	false	860.36	874.395	13
3340_170982_000026_000005	And owing to this inexperience of theirs, and also because the lot was a chance, many of the souls exchanged a good destiny for an evil or an evil for a good. For if a man had always on his arrival in this world dedicated himself from the first to sound philosophy, and had been moderately fortunate in the number of the lot, he might, as the messenger reported, be happy here, and also his journey to another life and return to this, instead of being rough and underground, would be smooth and heavenly.	And owing to this inexperience of theirs, and also because the lot was a chance, many of the souls exchanged a good destiny for an evil or an evil for a good. For if a man had always on his arrival in this world dedicated himself from the first to sound philosophy, and had been moderately fortunate in the number of the lot, he might, as the messenger reported, be happy here, and also his journey to another life and return to this, instead of being rough and underground, would be smooth and heavenly.	false	874.395	903.37	14
3340_170982_000026_000006	Most curious, he said, was the spectacle--sad and laughable and strange; for the choice of the souls was in most cases based on their experience of a previous life.	Most curious, he said, was the spectacle-sad and laughable and strange; for the choice of the souls was in most cases based on their experience of a previous life.	true	903.8	913.485	17
3340_170982_000026_000007	There he saw the soul which had once been Orpheus choosing the life of a swan out of enmity to the race of women, hating to be born of a woman because they had been his murderers; he beheld also the soul of Thamyras choosing the life of a nightingale; birds, on the other hand, like the swan and other musicians, wanting to be men. The soul which obtained the twentieth lot chose the life of a lion, and this was the soul of Ajax the son of Telamon, who would not be a man, remembering the injustice which was done him in the judgment about the arms.	There he saw the soul which had once been Orpheus choosing the life of a swan out of enmity to the race of women, hating to be born of a woman because they had been his murderers; he beheld also the soul of Thamyras choosing the life of a nightingale; birds, on the other hand, like the swan and other musicians, wanting to be men. The soul which obtained the twentieth lot chose the life of a lion, and this was the soul of Ajax the son of Telamon, who would not be a man, remembering the injustice which was done him in the judgment about the arms.	false	913.485	944.05	14
3340_170982_000026_000008	The next was Agamemnon, who took the life of an eagle, because, like Ajax, he hated human nature by reason of his sufferings.	The next was Agamemnon, who took the life of an eagle, because, like Ajax, he hated human nature by reason of his sufferings.	true	944.27	951.58	15
3340_170982_000026_000009	About the middle came the lot of Atalanta; she, seeing the great fame of an athlete, was unable to resist the temptation: and after her there followed the soul of Epeus the son of Panopeus passing into the nature of a woman cunning in the arts; and far away among the last who chose, the soul of the jester Thersites was putting on the form of a monkey. There came also the soul of Odysseus having yet to make a choice, and his lot happened to be the last of them all.	About the middle came the lot of Atalanta; she, seeing the great fame of an athlete, was unable to resist the temptation: and after her there followed the soul of Epeus the son of Panopeus passing into the nature of a woman cunning in the arts; and far away among the last who chose, the soul of the jester Thersites was putting on the form of a monkey. There came also the soul of Odysseus having yet to make a choice, and his lot happened to be the last of them all.	false	951.77	979.035	18
3340_170982_000026_000010	Now the recollection of former toils had disenchanted him of ambition, and he went about for a considerable time in search of the life of a private man who had no cares; he had some difficulty in finding this, which was lying about and had been neglected by everybody else; and when he saw it, he said that he would have done the same had his lot been first instead of last, and that he was delighted to have it.	Now the recollection of former toils had disenchanted him of ambition, and he went about for a considerable time in search of the life of a private man who had no cares; he had some difficulty in finding this, which was lying about and had been neglected by everybody else; and when he saw it, he said that he would have done the same had his lot been first instead of last, and that he was delighted to have it.	false	979.035	1000.9	15
3340_170982_000026_000011	And not only did men pass into animals, but I must also mention that there were animals tame and wild who changed into one another and into corresponding human natures--the good into the gentle and the evil into the savage, in all sorts of combinations.	And not only did men pass into animals, but I must also mention that there were animals tame and wild who changed into one another and into corresponding human natures-the good into the gentle and the evil into the savage, in all sorts of combinations.	false	1001.42	1149.15	18
