2751_142363_000000_000000	Chapter XXIV	Chapter twenty four	false	1.2	8.01	15
2751_142363_000004_000003	That's what I mean, an' that's what we all mean; and when a man's said what he means, he'd better stop, for th' ale 'ull be none the better for stannin'.	That's what I mean, an' that's what we all mean; and when a man's said what he means, he'd better stop, for t h' ale 'u l l be none the better for stannin'.	false	145.61	153.81	18.922607
2751_142363_000004_000004	An' I'll not say how we like th' ale yet, for we couldna well taste it till we'd drunk your health in it; but the dinner was good, an' if there's anybody hasna enjoyed it, it must be the fault of his own inside.	An' I'll not say how we like t h' ale yet, for we couldna well taste it till we'd drunk your health in it; but the dinner was good, an' if there's anybody hasna enjoyed it, it must be the fault of his own inside.	false	153.81	166.56	24.64747
2751_142363_000004_000005	An' as for the rector's company, it's well known as that's welcome t' all the parish wherever he may be; an' I hope, an' we all hope, as he'll live to see us old folks, an' our children grown to men an' women an' Your Honour a family man.	An' as for the rector's company, it's well known as that's welcome t' all the parish wherever he may be; an' I hope, an' we all hope, as he'll live to see us old folks, an' our children grown to men an' women an' Your Honour a family man.	false	166.56	182.41	21.253687
2751_142363_000004_000006	I've no more to say as concerns the present time, an' so we'll drink our young squire's health--three times three."	I've no more to say as concerns the present time, an' so we'll drink our young squire's health-three times three."	false	182.72	189.79	21.373245
2751_142363_000005_000000	Hereupon a glorious shouting, a rapping, a jingling, a clattering, and a shouting, with plentiful da capo, pleasanter than a strain of sublimest music in the ears that receive such a tribute for the first time.	Hereupon a glorious shouting, a rapping, a jingling, a clattering, and a shouting, with plentiful da capo, pleasanter than a strain of sublimest music in the ears that receive such a tribute for the first time.	true	190.37	203.53	21
2751_142363_000005_000001	Arthur had felt a twinge of conscience during Mr. Poyser's speech, but it was too feeble to nullify the pleasure he felt in being praised.	Arthur had felt a twinge of conscience during mr Poyser's speech, but it was too feeble to nullify the pleasure he felt in being praised.	true	204.38	212.53	21
2751_142363_000005_000002	Did he not deserve what was said of him on the whole?	Did he not deserve what was said of him on the whole?	true	212.75	215.77	23.967216
2751_142363_000005_000003	If there was something in his conduct that Poyser wouldn't have liked if he had known it, why, no man's conduct will bear too close an inspection; and Poyser was not likely to know it; and, after all, what had he done?	If there was something in his conduct that Poyser wouldn't have liked if he had known it, why, no man's conduct will bear too close an inspection; and Poyser was not likely to know it; and, after all, what had he done?	true	216.17	228.91	21.659273
2751_142363_000005_000004	Gone a little too far, perhaps, in flirtation, but another man in his place would have acted much worse; and no harm would come--no harm should come, for the next time he was alone with Hetty, he would explain to her that she must not think seriously of him or of what had passed.	Gone a little too far, perhaps, in flirtation, but another man in his place would have acted much worse; and no harm would come-no harm should come, for the next time he was alone with Hetty, he would explain to her that she must not think seriously of him or of what had passed.	true	229.16	245.38	20.585413
2751_142363_000005_000005	It was necessary to Arthur, you perceive, to be satisfied with himself.	It was necessary to Arthur, you perceive, to be satisfied with himself.	true	245.69	249.91	20
2751_142363_000005_000006	Uncomfortable thoughts must be got rid of by good intentions for the future, which can be formed so rapidly that he had time to be uncomfortable and to become easy again before Mr. Poyser's slow speech was finished, and when it was time for him to speak he was quite light-hearted.	Uncomfortable thoughts must be got rid of by good intentions for the future, which can be formed so rapidly that he had time to be uncomfortable and to become easy again before mr Poyser's slow speech was finished, and when it was time for him to speak he was quite light-hearted.	true	250.07	265.96	21
2751_142363_000006_000000	"I thank you all, my good friends and neighbours," Arthur said, "for the good opinion of me, and the kind feelings towards me which Mr. Poyser has been expressing on your behalf and on his own, and it will always be my heartiest wish to deserve them.	"I thank you all, my good friends and neighbours," Arthur said, "for the good opinion of me, and the kind feelings towards me which mr Poyser has been expressing on your behalf and on his own, and it will always be my heartiest wish to deserve them.	true	266.72	280.27	19
2751_142363_000006_000001	In the course of things we may expect that, if I live, I shall one day or other be your landlord; indeed, it is on the ground of that expectation that my grandfather has wished me to celebrate this day and to come among you now; and I look forward to this position, not merely as one of power and pleasure for myself, but as a means of benefiting my neighbours.	In the course of things we may expect that, if I live, I shall one day or other be your landlord; indeed, it is on the ground of that expectation that my grandfather has wished me to celebrate this day and to come among you now; and I look forward to this position, not merely as one of power and pleasure for myself, but as a means of benefiting my neighbours.	true	280.64	300.94	23
2751_142363_000006_000002	It hardly becomes so young a man as I am to talk much about farming to you, who are most of you so much older, and are men of experience; still, I have interested myself a good deal in such matters, and learned as much about them as my opportunities have allowed; and when the course of events shall place the estate in my hands, it will be my first desire to afford my tenants all the encouragement a landlord can give them, in improving their land and trying to bring about a better practice of husbandry.	It hardly becomes so young a man as I am to talk much about farming to you, who are most of you so much older, and are men of experience; still, I have interested myself a good deal in such matters, and learned as much about them as my opportunities have allowed; and when the course of events shall place the estate in my hands, it will be my first desire to afford my tenants all the encouragement a landlord can give them, in improving their land and trying to bring about a better practice of husbandry.	true	301.31	329.11	20
2751_142363_000006_000003	It will be my wish to be looked on by all my deserving tenants as their best friend, and nothing would make me so happy as to be able to respect every man on the estate, and to be respected by him in return.	It will be my wish to be looked on by all my deserving tenants as their best friend, and nothing would make me so happy as to be able to respect every man on the estate, and to be respected by him in return.	false	329.45	340.77	19
2751_142363_000006_000004	It is not my place at present to enter into particulars; I only meet your good hopes concerning me by telling you that my own hopes correspond to them--that what you expect from me I desire to fulfil; and I am quite of Mr. Poyser's opinion, that when a man has said what he means, he had better stop.	It is not my place at present to enter into particulars; I only meet your good hopes concerning me by telling you that my own hopes correspond to them-that what you expect from me I desire to fulfil; and I am quite of mr Poyser's opinion, that when a man has said what he means, he had better stop.	false	340.77	357.1	22
2751_142363_000006_000005	But the pleasure I feel in having my own health drunk by you would not be perfect if we did not drink the health of my grandfather, who has filled the place of both parents to me.	But the pleasure I feel in having my own health drunk by you would not be perfect if we did not drink the health of my grandfather, who has filled the place of both parents to me.	true	357.29	366.46	22.637045
2751_142363_000006_000006	I will say no more, until you have joined me in drinking his health on a day when he has wished me to appear among you as the future representative of his name and family."	I will say no more, until you have joined me in drinking his health on a day when he has wished me to appear among you as the future representative of his name and family."	true	366.8	375.16	17
2751_142363_000007_000000	Perhaps there was no one present except Mr. Irwine who thoroughly understood and approved Arthur's graceful mode of proposing his grandfather's health.	Perhaps there was no one present except mr Irwine who thoroughly understood and approved Arthur's graceful mode of proposing his grandfather's health.	true	375.95	383.65	20
2751_142363_000007_000001	The farmers thought the young squire knew well enough that they hated the old squire, and Mrs. Poyser said, "he'd better not ha' stirred a kettle o' sour broth." The bucolic mind does not readily apprehend the refinements of good taste.	The farmers thought the young squire knew well enough that they hated the old squire, and mrs Poyser said, "he'd better not ha' stirred a kettle o' sour broth." The bucolic mind does not readily apprehend the refinements of good taste.	false	383.93	397.83	22.215502
2751_142363_000007_000002	But the toast could not be rejected and when it had been drunk, Arthur said, "I thank you, both for my grandfather and myself; and now there is one more thing I wish to tell you, that you may share my pleasure about it, as I hope and believe you will.	But the toast could not be rejected and when it had been drunk, Arthur said, "I thank you, both for my grandfather and myself; and now there is one more thing I wish to tell you, that you may share my pleasure about it, as I hope and believe you will.	true	397.83	412.27	22.709095
2751_142363_000007_000003	I think there can be no man here who has not a respect, and some of you, I am sure, have a very high regard, for my friend Adam Bede.	I think there can be no man here who has not a respect, and some of you, I am sure, have a very high regard, for my friend Adam Bede.	false	412.73	420.61	21
2751_142363_000007_000004	It is well known to every one in this neighbourhood that there is no man whose word can be more depended on than his; that whatever he undertakes to do, he does well, and is as careful for the interests of those who employ him as for his own.	It is well known to every one in this neighbourhood that there is no man whose word can be more depended on than his; that whatever he undertakes to do, he does well, and is as careful for the interests of those who employ him as for his own.	true	420.8	433.54	16
2751_142363_000007_000005	I'm proud to say that I was very fond of Adam when I was a little boy, and I have never lost my old feeling for him--I think that shows that I know a good fellow when I find him.	I'm proud to say that I was very fond of Adam when I was a little boy, and I have never lost my old feeling for him-I think that shows that I know a good fellow when I find him.	true	434	444.16	22
2751_142363_000007_000006	It has long been my wish that he should have the management of the woods on the estate, which happen to be very valuable, not only because I think so highly of his character, but because he has the knowledge and the skill which fit him for the place.	It has long been my wish that he should have the management of the woods on the estate, which happen to be very valuable, not only because I think so highly of his character, but because he has the knowledge and the skill which fit him for the place.	true	444.59	456.61	21
2751_142363_000007_000007	And I am happy to tell you that it is my grandfather's wish too, and it is now settled that Adam shall manage the woods--a change which I am sure will be very much for the advantage of the estate; and I hope you will by and by join me in drinking his health, and in wishing him all the prosperity in life that he deserves.	And I am happy to tell you that it is my grandfather's wish too, and it is now settled that Adam shall manage the woods-a change which I am sure will be very much for the advantage of the estate; and I hope you will by and by join me in drinking his health, and in wishing him all the prosperity in life that he deserves.	false	456.95	473.92	20
2751_142363_000007_000008	But there is a still older friend of mine than Adam Bede present, and I need not tell you that it is Mr. Irwine.	But there is a still older friend of mine than Adam Bede present, and I need not tell you that it is mr Irwine.	false	474.74	480.96	21
2751_142363_000007_000009	I'm sure you will agree with me that we must drink no other person's health until we have drunk his.	I'm sure you will agree with me that we must drink no other person's health until we have drunk his.	false	480.96	485.47	15
2751_142363_000007_000010	I know you have all reason to love him, but no one of his parishioners has so much reason as I. Come, charge your glasses, and let us drink to our excellent rector--three times three!"	I know you have all reason to love him, but no one of his parishioners has so much reason as i Come, charge your glasses, and let us drink to our excellent rector-three times three!"	true	485.78	496.96	20.511444
2751_142363_000008_000000	This toast was drunk with all the enthusiasm that was wanting to the last, and it certainly was the most picturesque moment in the scene when Mr. Irwine got up to speak, and all the faces in the room were turned towards him.	This toast was drunk with all the enthusiasm that was wanting to the last, and it certainly was the most picturesque moment in the scene when mr Irwine got up to speak, and all the faces in the room were turned towards him.	false	497.81	510.31	20
2751_142363_000008_000001	The superior refinement of his face was much more striking than that of Arthur's when seen in comparison with the people round them.	The superior refinement of his face was much more striking than that of Arthur's when seen in comparison with the people round them.	true	510.53	517.63	20.267736
2751_142363_000008_000002	Arthur's was a much commoner British face, and the splendour of his new-fashioned clothes was more akin to the young farmer's taste in costume than Mr. Irwine's powder and the well-brushed but well-worn black, which seemed to be his chosen suit for great occasions; for he had the mysterious secret of never wearing a new-looking coat.	Arthur's was a much commoner British face, and the splendour of his new fashioned clothes was more akin to the young farmer's taste in costume than mr Irwine's powder and the well brushed but well worn black, which seemed to be his chosen suit for great occasions; for he had the mysterious secret of never wearing a new looking coat.	true	518	537.58	18
2751_142363_000009_000000	"This is not the first time, by a great many," he said, "that I have had to thank my parishioners for giving me tokens of their goodwill, but neighbourly kindness is among those things that are the more precious the older they get.	"This is not the first time, by a great many," he said, "that I have had to thank my parishioners for giving me tokens of their goodwill, but neighbourly kindness is among those things that are the more precious the older they get.	true	538.46	551.22	22.663815
2751_142363_000009_000001	Indeed, our pleasant meeting to-day is a proof that when what is good comes of age and is likely to live, there is reason for rejoicing, and the relation between us as clergyman and parishioners came of age two years ago, for it is three-and-twenty years since I first came among you, and I see some tall fine-looking young men here, as well as some blooming young women, that were far from looking as pleasantly at me when I christened them as I am happy to see them looking now.	Indeed, our pleasant meeting to day is a proof that when what is good comes of age and is likely to live, there is reason for rejoicing, and the relation between us as clergyman and parishioners came of age two years ago, for it is three and twenty years since I first came among you, and I see some tall fine looking young men here, as well as some blooming young women, that were far from looking as pleasantly at me when I christened them as I am happy to see them looking now.	false	551.22	579.46	21
2751_142363_000009_000002	But I'm sure you will not wonder when I say that among all those young men, the one in whom I have the strongest interest is my friend Mr. Arthur Donnithorne, for whom you have just expressed your regard.	But I'm sure you will not wonder when I say that among all those young men, the one in whom I have the strongest interest is my friend mr Arthur Donnithorne, for whom you have just expressed your regard.	true	580.25	591.01	19
2751_142363_000009_000003	I had the pleasure of being his tutor for several years, and have naturally had opportunities of knowing him intimately which cannot have occurred to any one else who is present; and I have some pride as well as pleasure in assuring you that I share your high hopes concerning him, and your confidence in his possession of those qualities which will make him an excellent landlord when the time shall come for him to take that important position among you.	I had the pleasure of being his tutor for several years, and have naturally had opportunities of knowing him intimately which cannot have occurred to any one else who is present; and I have some pride as well as pleasure in assuring you that I share your high hopes concerning him, and your confidence in his possession of those qualities which will make him an excellent landlord when the time shall come for him to take that important position among you.	true	591.35	614.44	20
2751_142363_000009_000004	We feel alike on most matters on which a man who is getting towards fifty can feel in common with a young man of one-and-twenty, and he has just been expressing a feeling which I share very heartily, and I would not willingly omit the opportunity of saying so.	We feel alike on most matters on which a man who is getting towards fifty can feel in common with a young man of one and twenty, and he has just been expressing a feeling which I share very heartily, and I would not willingly omit the opportunity of saying so.	false	615.5	630.25	20
2751_142363_000009_000005	That feeling is his value and respect for Adam Bede.	That feeling is his value and respect for Adam Bede.	true	630.38	633.67	26
2751_142363_000009_000006	People in a high station are of course more thought of and talked about and have their virtues more praised, than those whose lives are passed in humble everyday work; but every sensible man knows how necessary that humble everyday work is, and how important it is to us that it should be done well.	People in a high station are of course more thought of and talked about and have their virtues more praised, than those whose lives are passed in humble everyday work; but every sensible man knows how necessary that humble everyday work is, and how important it is to us that it should be done well.	true	633.89	650.35	19
2751_142363_000009_000007	And I agree with my friend Mr. Arthur Donnithorne in feeling that when a man whose duty lies in that sort of work shows a character which would make him an example in any station, his merit should be acknowledged.	And I agree with my friend mr Arthur Donnithorne in feeling that when a man whose duty lies in that sort of work shows a character which would make him an example in any station, his merit should be acknowledged.	false	650.54	662.74	21.753647
2751_142363_000009_000008	He is one of those to whom honour is due, and his friends should delight to honour him.	He is one of those to whom honour is due, and his friends should delight to honour him.	true	662.87	667.99	22.288336
2751_142363_000009_000009	I know Adam Bede well--I know what he is as a workman, and what he has been as a son and brother--and I am saying the simplest truth when I say that I respect him as much as I respect any man living.	I know Adam Bede well-I know what he is as a workman, and what he has been as a son and brother-and I am saying the simplest truth when I say that I respect him as much as I respect any man living.	true	668.09	680.29	19.796333
2751_142363_000009_000010	But I am not speaking to you about a stranger; some of you are his intimate friends, and I believe there is not one here who does not know enough of him to join heartily in drinking his health."	But I am not speaking to you about a stranger; some of you are his intimate friends, and I believe there is not one here who does not know enough of him to join heartily in drinking his health."	false	680.75	691.57	22
2751_142363_000010_000000	As Mr. Irwine paused, Arthur jumped up and, filling his glass, said, "A bumper to Adam Bede, and may he live to have sons as faithful and clever as himself!"	As mr Irwine paused, Arthur jumped up and, filling his glass, said, "A bumper to Adam Bede, and may he live to have sons as faithful and clever as himself!"	true	691.94	702.22	22.832045
2751_142363_000011_000000	No hearer, not even Bartle Massey, was so delighted with this toast as Mr. Poyser.	No hearer, not even Bartle Massey, was so delighted with this toast as mr Poyser.	true	702.5	707.89	20.62421
2751_142363_000011_000001	"Tough work" as his first speech had been, he would have started up to make another if he had not known the extreme irregularity of such a course.	"Tough work" as his first speech had been, he would have started up to make another if he had not known the extreme irregularity of such a course.	true	708.17	716.41	25
2751_142363_000011_000002	As it was, he found an outlet for his feeling in drinking his ale unusually fast, and setting down his glass with a swing of his arm and a determined rap.	As it was, he found an outlet for his feeling in drinking his ale unusually fast, and setting down his glass with a swing of his arm and a determined rap.	true	716.72	726.04	19
2751_142363_000011_000003	If Jonathan Burge and a few others felt less comfortable on the occasion, they tried their best to look contented, and so the toast was drunk with a goodwill apparently unanimous.	If Jonathan Burge and a few others felt less comfortable on the occasion, they tried their best to look contented, and so the toast was drunk with a goodwill apparently unanimous.	true	726.29	736.54	23.053469
2751_142363_000012_000000	Adam was rather paler than usual when he got up to thank his friends.	Adam was rather paler than usual when he got up to thank his friends.	true	736.91	740.95	21.934237
2751_142363_000012_000001	He was a good deal moved by this public tribute--very naturally, for he was in the presence of all his little world, and it was uniting to do him honour.	He was a good deal moved by this public tribute-very naturally, for he was in the presence of all his little world, and it was uniting to do him honour.	true	741.08	750.16	19.229935
2751_142363_000012_000002	But he felt no shyness about speaking, not being troubled with small vanity or lack of words; he looked neither awkward nor embarrassed, but stood in his usual firm upright attitude, with his head thrown a little backward and his hands perfectly still, in that rough dignity which is peculiar to intelligent, honest, well-built workmen, who are never wondering what is their business in the world.	But he felt no shyness about speaking, not being troubled with small vanity or lack of words; he looked neither awkward nor embarrassed, but stood in his usual firm upright attitude, with his head thrown a little backward and his hands perfectly still, in that rough dignity which is peculiar to intelligent, honest, well built workmen, who are never wondering what is their business in the world.	true	750.53	774.07	23
2751_142363_000013_000000	"I'm quite taken by surprise," he said.	"I'm quite taken by surprise," he said.	true	774.8	777.1	25.03271
2751_142363_000013_000001	"I didn't expect anything o' this sort, for it's a good deal more than my wages.	"I didn't expect anything o' this sort, for it's a good deal more than my wages.	false	777.26	781.81	24
2751_142363_000013_000002	But I've the more reason to be grateful to you, Captain, and to you, Mr. Irwine, and to all my friends here, who've drunk my health and wished me well.	But I've the more reason to be grateful to you, Captain, and to you, mr Irwine, and to all my friends here, who've drunk my health and wished me well.	false	782.24	789.64	20.632174
2751_142363_000013_000003	It 'ud be nonsense for me to be saying, I don't at all deserve th' opinion you have of me; that 'ud be poor thanks to you, to say that you've known me all these years and yet haven't sense enough to find out a great deal o' the truth about me.	It 'u d be nonsense for me to be saying, I don't at all deserve t h' opinion you have of me; that 'u d be poor thanks to you, to say that you've known me all these years and yet haven't sense enough to find out a great deal o' the truth about me.	false	789.95	802.9	21.336464
2751_142363_000013_000004	You think, if I undertake to do a bit o' work, I'll do it well, be my pay big or little--and that's true.	You think, if I undertake to do a bit o' work, I'll do it well, be my pay big or little-and that's true.	false	803.66	810.19	25.11395
2751_142363_000013_000005	I'd be ashamed to stand before you here if it wasna true.	I'd be ashamed to stand before you here if it wasna true.	false	810.32	813.55	23.158699
2751_142363_000013_000006	But it seems to me that's a man's plain duty, and nothing to be conceited about, and it's pretty clear to me as I've never done more than my duty; for let us do what we will, it's only making use o' the sperrit and the powers that ha' been given to us.	But it seems to me that's a man's plain duty, and nothing to be conceited about, and it's pretty clear to me as I've never done more than my duty; for let us do what we will, it's only making use o' the sperrit and the powers that ha' been given to us.	false	813.92	827.59	22
2751_142363_000013_000007	And so this kindness o' yours, I'm sure, is no debt you owe me, but a free gift, and as such I accept it and am thankful.	And so this kindness o' yours, I'm sure, is no debt you owe me, but a free gift, and as such I accept it and am thankful.	false	828.86	836.43	21.927881
2751_142363_000013_000008	And as to this new employment I've taken in hand, I'll only say that I took it at Captain Donnithorne's desire, and that I'll try to fulfil his expectations.	And as to this new employment I've taken in hand, I'll only say that I took it at Captain Donnithorne's desire, and that I'll try to fulfil his expectations.	true	836.43	844.99	21
2751_142363_000013_000009	I'd wish for no better lot than to work under him, and to know that while I was getting my own bread I was taking care of his int'rests.	I'd wish for no better lot than to work under him, and to know that while I was getting my own bread I was taking care of his int'rests.	false	845	852.09	21
2751_142363_000013_000010	For I believe he's one o those gentlemen as wishes to do the right thing, and to leave the world a bit better than he found it, which it's my belief every man may do, whether he's gentle or simple, whether he sets a good bit o' work going and finds the money, or whether he does the work with his own hands.	For I believe he's one o those gentlemen as wishes to do the right thing, and to leave the world a bit better than he found it, which it's my belief every man may do, whether he's gentle or simple, whether he sets a good bit o' work going and finds the money, or whether he does the work with his own hands.	false	852.09	867.37	19
2751_142363_000013_000011	There's no occasion for me to say any more about what I feel towards him: I hope to show it through the rest o' my life in my actions."	There's no occasion for me to say any more about what I feel towards him: I hope to show it through the rest o' my life in my actions."	false	867.56	875.02	21.515871
2751_142363_000014_000000	There were various opinions about Adam's speech: some of the women whispered that he didn't show himself thankful enough, and seemed to speak as proud as could be; but most of the men were of opinion that nobody could speak more straightfor'ard, and that Adam was as fine a chap as need to be.	There were various opinions about Adam's speech: some of the women whispered that he didn't show himself thankful enough, and seemed to speak as proud as could be; but most of the men were of opinion that nobody could speak more straightfor'ard, and that Adam was as fine a chap as need to be.	false	876.05	891.43	20
2751_142363_000014_000001	While such observations were being buzzed about, mingled with wonderings as to what the old squire meant to do for a bailiff, and whether he was going to have a steward, the two gentlemen had risen, and were walking round to the table where the wives and children sat.	While such observations were being buzzed about, mingled with wonderings as to what the old squire meant to do for a bailiff, and whether he was going to have a steward, the two gentlemen had risen, and were walking round to the table where the wives and children sat	true	891.83	906.16	18
2751_142363_000014_000002	There was none of the strong ale here, of course, but wine and dessert--sparkling gooseberry for the young ones, and some good sherry for the mothers.	There was none of the strong ale here, of course, but wine and dessert-sparkling gooseberry for the young ones, and some good sherry for the mothers.	true	906.47	914.86	20
2751_142363_000014_000003	Mrs. Poyser was at the head of this table, and Totty was now seated in her lap, bending her small nose deep down into a wine-glass in search of the nuts floating there.	mrs Poyser was at the head of this table, and Totty was now seated in her lap, bending her small nose deep down into a wine glass in search of the nuts floating there.	false	914.9	923.8	16
2751_142363_000015_000000	"How do you do, Mrs. Poyser?" said Arthur.	"How do you do, mrs Poyser?" said Arthur.	true	924.14	926.38	19
2751_142363_000015_000001	"Weren't you pleased to hear your husband make such a good speech to-day?"	"Weren't you pleased to hear your husband make such a good speech to day?"	true	926.42	929.65	19
2751_142363_000016_000000	"Oh, sir, the men are mostly so tongue-tied--you're forced partly to guess what they mean, as you do wi' the dumb creaturs."	"Oh, sir, the men are mostly so tongue tied-you're forced partly to guess what they mean, as you do wi' the dumb creaturs."	false	930.05	936.73	22
2751_142363_000017_000000	"What! you think you could have made it better for him?" said Mr. Irwine, laughing.	"What! you think you could have made it better for him?" said mr Irwine, laughing.	true	937.22	941.5	21.947279
2751_142363_000018_000000	"Well, sir, when I want to say anything, I can mostly find words to say it in, thank God.	"Well, sir, when I want to say anything, I can mostly find words to say it in, thank God.	true	941.63	946.5	23.213821
2751_142363_000018_000001	Not as I'm a-finding faut wi' my husband, for if he's a man o' few words, what he says he'll stand to."	Not as I'm a finding faut wi' my husband, for if he's a man o' few words, what he says he'll stand to."	false	946.5	952.36	22.062904
2751_142363_000019_000000	"I'm sure I never saw a prettier party than this," Arthur said, looking round at the apple-cheeked children.	"I'm sure I never saw a prettier party than this," Arthur said, looking round at the apple cheeked children.	true	952.91	958.6	22.761856
2751_142363_000019_000001	"My aunt and the Miss Irwines will come up and see you presently.	"My aunt and the Miss Irwines will come up and see you presently.	true	958.79	962.38	23
2751_142363_000019_000002	They were afraid of the noise of the toasts, but it would be a shame for them not to see you at table."	They were afraid of the noise of the toasts, but it would be a shame for them not to see you at table."	true	962.51	967.54	21.951647
2751_142363_000020_000000	He walked on, speaking to the mothers and patting the children, while Mr. Irwine satisfied himself with standing still and nodding at a distance, that no one's attention might be disturbed from the young squire, the hero of the day.	He walked on, speaking to the mothers and patting the children, while mr Irwine satisfied himself with standing still and nodding at a distance, that no one's attention might be disturbed from the young squire, the hero of the day.	false	967.64	981.01	20
2751_142363_000020_000001	Arthur did not venture to stop near Hetty, but merely bowed to her as he passed along the opposite side.	Arthur did not venture to stop near Hetty, but merely bowed to her as he passed along the opposite side.	true	981.38	987.76	23.812183
2751_142363_000020_000002	The foolish child felt her heart swelling with discontent; for what woman was ever satisfied with apparent neglect, even when she knows it to be the mask of love?	The foolish child felt her heart swelling with discontent; for what woman was ever satisfied with apparent neglect, even when she knows it to be the mask of love?	true	988.01	997.63	23.06693
2751_142363_000020_000003	Hetty thought this was going to be the most miserable day she had had for a long while, a moment of chill daylight and reality came across her dream: Arthur, who had seemed so near to her only a few hours before, was separated from her, as the hero of a great procession is separated from a small outsider in the crowd.	Hetty thought this was going to be the most miserable day she had had for a long while, a moment of chill daylight and reality came across her dream: Arthur, who had seemed so near to her only a few hours before, was separated from her, as the hero of a great procession is separated from a small outsider in the crowd.	false	997.97	1018.11	19
2751_142363_000021_000000	Chapter XXV	Chapter twenty five	false	1018.11	1018.35	-20
2751_142363_000022_000000	The Games	The Games	false	1018.35	1018.53	-20
2751_142363_000023_000000	THE great dance was not to begin until eight o'clock, but for any lads and lasses who liked to dance on the shady grass before then, there was music always at hand--for was not the band of the Benefit Club capable of playing excellent jigs, reels, and hornpipes?	THE great dance was not to begin until eight o'clock, but for any lads and lasses who liked to dance on the shady grass before then, there was music always at hand-for was not the band of the Benefit Club capable of playing excellent jigs, reels, and hornpipes?	false	1018.53	1020.96	15.471061
2751_142363_000023_000001	And, besides this, there was a grand band hired from Rosseter, who, with their wonderful wind-instruments and puffed-out cheeks, were themselves a delightful show to the small boys and girls.	And, besides this, there was a grand band hired from Rosseter, who, with their wonderful wind instruments and puffed out cheeks, were themselves a delightful show to the small boys and girls.	false	1020.96	1022.79	10
2751_142363_000023_000002	To say nothing of Joshua Rann's fiddle, which, by an act of generous forethought, he had provided himself with, in case any one should be of sufficiently pure taste to prefer dancing to a solo on that instrument.	To say nothing of joshua Rann's fiddle, which, by an act of generous forethought, he had provided himself with, in case any one should be of sufficiently pure taste to prefer dancing to a solo on that instrument.	false	1022.79	1024.95	-20
