1705_142318_000000_000000	'Yo' may say that.	'Yo' may say that.	false	0	0.54	9
1705_142318_000007_000014	There might be toilers and moilers there in London, but she never saw them; the very servants lived in an underground world of their own, of which she knew neither the hopes nor the fears; they only seemed to start into existence when some want or whim of their master and mistress needed them.	There might be toilers and moilers there in London, but she never saw them; the very servants lived in an underground world of their own, of which she knew neither the hopes nor the fears; they only seemed to start into existence when some want or whim of their master and mistress needed them.	true	216.11	234.37	19
1705_142318_000007_000015	There was a strange unsatisfied vacuum in Margaret's heart and mode of life; and, once when she had dimly hinted this to Edith, the latter, wearied with dancing the night before, languidly stroked Margaret's cheek as she sat by her in the old attitude,--she on a footstool by the sofa where Edith lay.	There was a strange unsatisfied vacuum in Margaret's heart and mode of life; and, once when she had dimly hinted this to Edith, the latter, wearied with dancing the night before, languidly stroked Margaret's cheek as she sat by her in the old attitude,--she on a footstool by the sofa where Edith lay.	true	235.07	254.56	20
1705_142318_000008_000000	'Poor child!' said Edith.	'Poor child!' said Edith.	true	255.32	257.05	25.240593
1705_142318_000008_000001	'It is a little sad for you to be left, night after night, just at this time when all the world is so gay.	'It is a little sad for you to be left, night after night, just at this time when all the world is so gay.	true	257.15	263.68	20
1705_142318_000008_000002	But we shall be having our dinner-parties soon--as soon as Henry comes back from circuit--and then there will be a little pleasant variety for you. No wonder it is moped, poor darling!'	But we shall be having our dinner parties soon-as soon as Henry comes back from circuit-and then there will be a little pleasant variety for you. No wonder it is moped, poor darling!'	true	264.47	275.8	19
1705_142318_000009_000000	Margaret did not feel as if the dinner-parties would be a panacea.	Margaret did not feel as if the dinner parties would be a panacea.	true	276.95	280.63	18
1705_142318_000009_000001	But Edith piqued herself on her dinner-parties; 'so different,' as she said, 'from the old dowager dinners under mamma's regime;' and Mrs. Shaw herself seemed to take exactly the same kind of pleasure in the very different arrangements and circle of acquaintances which were to Captain and Mrs. Lennox's taste, as she did in the more formal and ponderous entertainments which she herself used to give.	But Edith piqued herself on her dinner parties; 'so different,' as she said, 'from the old dowager dinners under mamma's regime;' and mrs Shaw herself seemed to take exactly the same kind of pleasure in the very different arrangements and circle of acquaintances which were to Captain and mrs Lennox's taste, as she did in the more formal and ponderous entertainments which she herself used to give.	false	281.03	305.8	21
1705_142318_000009_000002	Captain Lennox was always extremely kind and brotherly to Margaret.	Captain Lennox was always extremely kind and brotherly to Margaret.	true	306.8	310.87	19
1705_142318_000009_000003	She was really very fond of him, excepting when he was anxiously attentive to Edith's dress and appearance, with a view to her beauty making a sufficient impression on the world.	She was really very fond of him, excepting when he was anxiously attentive to Edith's dress and appearance, with a view to her beauty making a sufficient impression on the world.	true	311.33	322.12	21
1705_142318_000009_000004	Then all the latent Vashti in Margaret was roused, and she could hardly keep herself from expressing her feelings.	Then all the latent Vashti in Margaret was roused, and she could hardly keep herself from expressing her feelings.	false	322.52	329.11	17
1705_142318_000010_000000	The course of Margaret's day was this; a quiet hour or two before a late breakfast; an unpunctual meal, lazily eaten by weary and half-awake people, but yet at which, in all its dragged-out length, she was expected to be present, because, directly afterwards, came a discussion of plans, at which, although they none of them concerned her, she was expected to give her sympathy, if she could not assist with her advice; an endless number of notes to write, which Edith invariably left to her, with many caressing compliments as to her eloquence du billet; a little play with Sholto as he returned from his morning's walk; besides the care of the children during the servants' dinner; a drive or callers; and some dinner or morning engagement for her aunt and cousins, which left Margaret free, it is true, but rather wearied with the inactivity of the day, coming upon depressed spirits and delicate health.	The course of Margaret's day was this; a quiet hour or two before a late breakfast; an unpunctual meal, lazily eaten by weary and half awake people, but yet at which, in all its dragged out length, she was expected to be present, because, directly afterwards, came a discussion of plans, at which, although they none of them concerned her, she was expected to give her sympathy, if she could not assist with her advice; an endless number of notes to write, which Edith invariably left to her, with many caressing compliments as to her eloquence du billet; a little play with Sholto as he returned from his morning's walk; besides the care of the children during the servants' dinner; a drive or callers; and some dinner or morning engagement for her aunt and cousins, which left Margaret free, it is true, but rather wearied with the inactivity of the day, coming upon depressed spirits and delicate health.	false	330.32	389.89	19.589554
1705_142318_000011_000000	She looked forward with longing, though unspoken interest to the homely object of Dixon's return from Milton; where, until now, the old servant had been busily engaged in winding up all the affairs of the Hale family.	She looked forward with longing, though unspoken interest to the homely object of Dixon's return from Milton; where, until now, the old servant had been busily engaged in winding up all the affairs of the Hale family.	false	391.01	405.28	16
1705_142318_000011_000001	It had appeared a sudden famine to her heart, this entire cessation of any news respecting the people amongst whom she had lived so long.	It had appeared a sudden famine to her heart, this entire cessation of any news respecting the people amongst whom she had lived so long.	true	406.22	414.79	17
1705_142318_000011_000002	It was true, that Dixon, in her business-letters, quoted, every now and then, an opinion of Mr. Thornton's as to what she had better do about the furniture, or how act in regard to the landlord of the Crampton Terrace house.	It was true, that Dixon, in her business letters, quoted, every now and then, an opinion of mr Thornton's as to what she had better do about the furniture, or how act in regard to the landlord of the Crampton Terrace house.	false	415.46	429.49	19
1705_142318_000011_000003	But it was only here and there that the name came in, or any Milton name, indeed; and Margaret was sitting one evening, all alone in the Lennoxes's drawing-room, not reading Dixon's letters, which yet she held in her hand, but thinking over them, and recalling the days which had been, and picturing the busy life out of which her own had been taken and never missed; wondering if all went on in that whirl just as if she and her father had never been; questioning within herself, if no one in all the crowd missed her, (not Higgins, she was not thinking of him,) when, suddenly, Mr. Bell was announced; and Margaret hurried the letters into her work-basket, and started up, blushing as if she had been doing some guilty thing.	But it was only here and there that the name came in, or any Milton name, indeed; and Margaret was sitting one evening, all alone in the Lennoxes's drawing room, not reading Dixon's letters, which yet she held in her hand, but thinking over them, and recalling the days which had been, and picturing the busy life out of which her own had been taken and never missed; wondering if all went on in that whirl just as if she and her father had never been; questioning within herself, if no one in all the crowd missed her, (not Higgins, she was not thinking of him,) when, suddenly, mr Bell was announced; and Margaret hurried the letters into her work basket, and started up, blushing as if she had been doing some guilty thing.	true	430.01	477.97	20.277166
1705_142318_000012_000000	'Oh, Mr. Bell!	'Oh, mr Bell!	true	478.94	480.25	21.706253
1705_142318_000012_000001	I never thought of seeing you!'	I never thought of seeing you!'	true	480.38	482.11	18.99224
1705_142318_000013_000000	'But you give me a welcome, I hope, as well as that very pretty start of surprise.'	'But you give me a welcome, I hope, as well as that very pretty start of surprise.'	false	483.08	488.41	20
1705_142318_000014_000000	'Have you dined?	'Have you dined?	true	489.14	490.35	21.2695
1705_142318_000014_000001	How did you come?	How did you come?	true	490.35	491.62	21.721663
1705_142318_000014_000002	Let me order you some dinner.'	Let me order you some dinner.'	true	491.63	493.39	18.552298
1705_142318_000015_000000	'If you're going to have any.	'If you're going to have any.	true	494.24	495.88	18.449394
1705_142318_000015_000001	Otherwise, you know, there is no one who cares less for eating than I do.	Otherwise, you know, there is no one who cares less for eating than I do.	true	495.95	500.14	13
1705_142318_000015_000002	But where are the others?	But where are the others?	true	500.48	501.99	20
1705_142318_000015_000003	Gone out to dinner?	Gone out to dinner?	false	501.99	503.475	25.578714
1705_142318_000015_000004	Left you alone?'	Left you alone?'	true	503.475	504.91	25.426695
1705_142318_000016_000000	'Oh yes! and it is such a rest.	'Oh yes! and it is such a rest.	true	505.4	507.94	22.01963
1705_142318_000016_000001	I was just thinking--But will you run the risk of dinner?	I was just thinking-But will you run the risk of dinner?	true	508.22	511.935	18.778004
1705_142318_000016_000002	I don't know if there is anything in the house.'	I don't know if there is anything in the house.'	false	511.935	514.15	17
1705_142318_000017_000000	'Why, to tell you the truth, I dined at my club.	'Why, to tell you the truth, I dined at my club.	true	515.06	518.17	21.532406
1705_142318_000017_000001	Only they don't cook as well as they did, so I thought, if you were going to dine, I might try and make out my dinner.	Only they don't cook as well as they did, so I thought, if you were going to dine, I might try and make out my dinner.	true	518.18	524.83	19
1705_142318_000017_000002	But never mind, never mind!	But never mind, never mind!	true	525.11	527.38	20.599789
1705_142318_000017_000003	There aren't ten cooks in England to be trusted at impromptu dinners.	There aren't ten cooks in England to be trusted at impromptu dinners.	true	527.39	531.46	16
1705_142318_000017_000004	If their skill and their fires will stand it, their tempers won't.	If their skill and their fires will stand it, their tempers won't.	true	531.68	535.87	22.52006
1705_142318_000017_000005	You shall make me some tea, Margaret.	You shall make me some tea, Margaret.	true	536.24	538.27	24.12829
1705_142318_000017_000006	And now, what were you thinking of?	And now, what were you thinking of?	true	538.58	540.85	22
1705_142318_000017_000007	you were going to tell me.	you were going to tell me.	true	541.13	542.71	22
1705_142318_000017_000008	Whose letters were those, god-daughter, that you hid away so speedily?'	Whose letters were those, god daughter, that you hid away so speedily?'	true	543.05	547.66	20
1705_142318_000018_000000	'Only Dixon's,' replied Margaret, growing very red.	'Only Dixon's,' replied Margaret, growing very red.	true	548.42	552.46	19.92153
1705_142318_000019_000000	'Whew! is that all?	'Whew! is that all?	true	553.19	554.74	20.637444
1705_142318_000019_000001	Who do you think came up in the train with me?'	Who do you think came up in the train with me?'	true	555.35	558.04	22
1705_142318_000020_000000	'I don't know,' said Margaret, resolved against making a guess.	'I don't know,' said Margaret, resolved against making a guess.	true	558.8	562.33	17
1705_142318_000021_000000	'Your what d'ye call him?	'Your what d'ye call him?	false	563.03	564.49	23.129635
1705_142318_000021_000001	What's the right name for a cousin-in-law's brother?'	What's the right name for a cousin in law's brother?'	true	564.83	567.82	19
1705_142318_000022_000000	'Mr.	'mr	true	568.43	568.86	26.576958
1705_142318_000022_000001	Henry Lennox?' asked Margaret.	Henry Lennox?' asked Margaret.	true	568.86	571.12	26.269659
1705_142318_000023_000000	'Yes,' replied Mr. Bell.	'Yes,' replied mr Bell.	true	571.4	573.4	20
1705_142318_000023_000001	'You knew him formerly, didn't you?	'You knew him formerly, didn't you?	true	573.62	575.74	18
1705_142318_000023_000002	What sort of a person is he, Margaret?'	What sort of a person is he, Margaret?'	false	575.84	578.14	25
1705_142318_000024_000000	'I liked him long ago,' said Margaret, glancing down for a moment.	'I liked him long ago,' said Margaret, glancing down for a moment.	true	578.78	582.79	21
1705_142318_000024_000001	And then she looked straight up and went on in her natural manner.	And then she looked straight up and went on in her natural manner.	true	582.86	586.63	16
1705_142318_000024_000002	'You know we have been corresponding about Frederick since; but I have not seen him for nearly three years, and he may be changed.	'You know we have been corresponding about Frederick since; but I have not seen him for nearly three years, and he may be changed.	true	587.33	595.54	18.600275
1705_142318_000024_000003	What did you think of him?'	What did you think of him?'	true	595.79	597.43	22.57597
1705_142318_000025_000000	'I don't know.	'I don't know.	true	598.4	599.59	19.478546
1705_142318_000025_000001	He was so busy trying to find out who I was, in the first instance, and what I was in the second, that he never let out what he was; unless indeed that veiled curiosity of his as to what manner of man he had to talk to was not a good piece, and a fair indication of his character.	He was so busy trying to find out who I was, in the first instance, and what I was in the second, that he never let out what he was; unless indeed that veiled curiosity of his as to what manner of man he had to talk to was not a good piece, and a fair indication of his character.	true	600.02	619.39	19
1705_142318_000025_000002	Do you call him good looking, Margaret?'	Do you call him good looking, Margaret?'	true	620.24	622.66	25.415709
1705_142318_000026_000000	'No! certainly not.	'No! certainly not.	true	623.21	625.35	18.828178
1705_142318_000026_000001	Do you?'	Do you?'	true	625.35	626.02	17
1705_142318_000027_000000	'Not I. But I thought, perhaps, you might.	'Not i But I thought, perhaps, you might.	true	626.66	630.19	24.09269
1705_142318_000027_000001	Is he a great deal here?'	Is he a great deal here?'	true	630.74	632.5	18.550598
1705_142318_000028_000000	'I fancy he is when he is in town.	'I fancy he is when he is in town.	true	633.08	635.53	19
1705_142318_000028_000001	He has been on circuit now since I came.	He has been on circuit now since I came.	true	635.87	638.35	20
1705_142318_000028_000002	But--Mr.	But-mr	true	639.02	639.75	27.672573
1705_142318_000028_000003	Bell--have you come from Oxford or from Milton?'	Bell-have you come from Oxford or from Milton?'	true	639.75	642.91	22.893486
1705_142318_000029_000000	'From Milton.	'From Milton.	true	643.55	644.43	19.252
1705_142318_000029_000001	Don't you see I'm smoke-dried?'	Don't you see I'm smoke dried?'	true	644.43	646.33	17
1705_142318_000030_000000	'Certainly.	'Certainly.	true	646.97	647.95	24.711329
1705_142318_000030_000001	But I thought that it might be the effect of the antiquities of Oxford.'	But I thought that it might be the effect of the antiquities of Oxford.'	true	648.17	652.57	24.298477
1705_142318_000031_000000	'Come now, be a sensible woman!	'Come now, be a sensible woman!	true	653.27	655.45	19
1705_142318_000031_000001	In Oxford, I could have managed all the landlords in the place, and had my own way, with half the trouble your Milton landlord has given me, and defeated me after all.	In Oxford, I could have managed all the landlords in the place, and had my own way, with half the trouble your Milton landlord has given me, and defeated me after all.	true	655.61	666.19	21.024776
1705_142318_000031_000002	He won't take the house off our hands till next June twelvemonth.	He won't take the house off our hands till next June twelvemonth.	false	666.35	670.12	21.455654
1705_142318_000031_000003	Luckily, Mr. Thornton found a tenant for it.	Luckily, mr Thornton found a tenant for it.	true	670.43	673.24	24.491606
1705_142318_000031_000004	Why don't you ask after Mr. Thornton, Margaret?	Why don't you ask after mr Thornton, Margaret?	true	673.91	676.42	20.487846
1705_142318_000031_000005	He has proved himself a very active friend of yours, I can tell you.	He has proved himself a very active friend of yours, I can tell you.	true	676.67	680.41	17
1705_142318_000031_000006	Taken more than half the trouble off my hands.'	Taken more than half the trouble off my hands.'	true	680.81	683.62	20.22648
1705_142318_000032_000000	'And how is he?	'And how is he?	true	684.35	685.425	19.328138
1705_142318_000032_000001	How is Mrs. Thornton?' asked Margaret hurriedly and below her breath, though she tried to speak out.	How is mrs Thornton?' asked Margaret hurriedly and below her breath, though she tried to speak out.	true	685.425	691.96	21.067842
1705_142318_000033_000000	'I suppose they're well.	'I suppose they're well.	true	692.78	694.21	21.626978
1705_142318_000033_000001	I've been staying at their house till I was driven out of it by the perpetual clack about that Thornton girl's marriage.	I've been staying at their house till I was driven out of it by the perpetual clack about that Thornton girl's marriage.	true	694.52	700.99	21
1705_142318_000033_000002	It was too much for Thornton himself, though she was his sister.	It was too much for Thornton himself, though she was his sister.	true	701.21	705.28	20.985153
1705_142318_000033_000003	He used to go and sit in his own room perpetually.	He used to go and sit in his own room perpetually.	true	705.74	708.91	18
1705_142318_000033_000004	He's getting past the age for caring for such things, either as principal or accessory.	He's getting past the age for caring for such things, either as principal or accessory.	true	709.19	715	21
1705_142318_000033_000005	I was surprised to find the old lady falling into the current, and carried away by her daughter's enthusiasm for orange-blossoms and lace.	I was surprised to find the old lady falling into the current, and carried away by her daughter's enthusiasm for orange blossoms and lace.	true	715.28	724.3	15
1705_142318_000033_000006	I thought Mrs. Thornton had been made of sterner stuff.'	I thought mrs Thornton had been made of sterner stuff.'	true	724.76	728.05	21.36971
1705_142318_000034_000000	'She would put on any assumption of feeling to veil her daughter's weakness,' said Margaret in a low voice.	'She would put on any assumption of feeling to veil her daughter's weakness,' said Margaret in a low voice.	true	728.72	735.61	18.58506
1705_142318_000035_000000	'Perhaps so.	'Perhaps so.	true	736.52	737.68	23.591436
1705_142318_000035_000001	You've studied her, have you?	You've studied her, have you?	true	737.84	739.48	20
1705_142318_000035_000002	She doesn't seem over fond of you, Margaret.'	She doesn't seem over fond of you, Margaret.'	true	739.73	742.51	17.742765
1705_142318_000036_000000	'I know it,' said Margaret.	'I know it,' said Margaret.	true	743.12	744.67	23.057915
1705_142318_000036_000001	'Oh, here is tea at last!' exclaimed she, as if relieved.	'Oh, here is tea at last!' exclaimed she, as if relieved.	true	745.16	749.59	20.972107
1705_142318_000036_000002	And with tea came Mr. Henry Lennox, who had walked up to Harley Street after a late dinner, and had evidently expected to find his brother and sister-in-law at home.	And with tea came mr Henry Lennox, who had walked up to Harley Street after a late dinner, and had evidently expected to find his brother and sister in law at home.	true	750.35	760.51	19
1705_142318_000036_000003	Margaret suspected him of being as thankful as she was at the presence of a third party, on this their first meeting since the memorable day of his offer, and her refusal at Helstone.	Margaret suspected him of being as thankful as she was at the presence of a third party, on this their first meeting since the memorable day of his offer, and her refusal at Helstone.	false	761.33	772.69	19
1705_142318_000036_000004	She could hardly tell what to say at first, and was thankful for all the tea-table occupations, which gave her an excuse for keeping silence, and him an opportunity of recovering himself.	She could hardly tell what to say at first, and was thankful for all the tea table occupations, which gave her an excuse for keeping silence, and him an opportunity of recovering himself.	true	773.57	785.44	22
1705_142318_000036_000005	For, to tell the truth, he had rather forced himself up to Harley Street this evening, with a view of getting over an awkward meeting, awkward even in the presence of Captain Lennox and Edith, and doubly awkward now that he found her the only lady there, and the person to whom he must naturally and perforce address a great part of his conversation.	For, to tell the truth, he had rather forced himself up to Harley Street this evening, with a view of getting over an awkward meeting, awkward even in the presence of Captain Lennox and Edith, and doubly awkward now that he found her the only lady there, and the person to whom he must naturally and perforce address a great part of his conversation.	true	785.87	807.49	21
1705_142318_000036_000006	She was the first to recover her self-possession.	She was the first to recover her self possession.	true	808.28	810.97	18
1705_142318_000036_000007	She began to talk on the subject which came uppermost in her mind, after the first flush of awkward shyness.	She began to talk on the subject which came uppermost in her mind, after the first flush of awkward shyness.	true	811.19	817.63	23
1705_142318_000037_000000	'Mr. Lennox, I have been so much obliged to you for all you have done about Frederick.'	'mr Lennox, I have been so much obliged to you for all you have done about Frederick.'	true	818.57	823.9	19.944448
1705_142318_000038_000000	'I am only sorry it has been so unsuccessful,' replied he, with a quick glance towards Mr. Bell, as if reconnoitring how much he might say before him.	'I am only sorry it has been so unsuccessful,' replied he, with a quick glance towards mr Bell, as if reconnoitring how much he might say before him.	false	824.81	835.75	21
1705_142318_000038_000001	Margaret, as if she read his thought, addressed herself to Mr. Bell, both including him in the conversation, and implying that he was perfectly aware of the endeavours that had been made to clear Frederick.	Margaret, as if she read his thought, addressed herself to mr Bell, both including him in the conversation, and implying that he was perfectly aware of the endeavours that had been made to clear Frederick.	false	836.45	849.13	19.827616
1705_142318_000039_000000	'That Horrocks--that very last witness of all, has proved as unavailing as all the others.	'That Horrocks-that very last witness of all, has proved as unavailing as all the others.	true	849.86	856.18	19.814003
1705_142318_000039_000001	Mr. Lennox has discovered that he sailed for Australia only last August; only two months before Frederick was in England, and gave us the names of---- '	mr Lennox has discovered that he sailed for Australia only last August; only two months before Frederick was in England, and gave us the names of---- '	true	856.7	866.62	21
1705_142318_000040_000000	'Frederick in England! you never told me that!' exclaimed Mr. Bell in surprise.	'Frederick in England! you never told me that!' exclaimed mr Bell in surprise.	true	866.87	872.59	21
1705_142318_000041_000000	'I thought you knew.	'I thought you knew.	true	873.05	874.36	18.038214
1705_142318_000041_000001	I never doubted you had been told.	I never doubted you had been told.	true	874.49	876.52	20.373522
1705_142318_000041_000002	Of course, it was a great secret, and perhaps I should not have named it now,' said Margaret, a little dismayed.	Of course, it was a great secret, and perhaps I should not have named it now,' said Margaret, a little dismayed.	true	876.68	883.24	21.307327
1705_142318_000042_000000	'I have never named it to either my brother or your cousin,' said Mr. Lennox, with a little professional dryness of implied reproach.	'I have never named it to either my brother or your cousin,' said mr Lennox, with a little professional dryness of implied reproach.	true	884.15	893.17	22.269804
1705_142318_000043_000000	'Never mind, Margaret.	'Never mind, Margaret.	true	893.84	895.32	15.429292
1705_142318_000043_000001	I am not living in a talking, babbling world, nor yet among people who are trying to worm facts out of me; you needn't look so frightened because you have let the cat out of the bag to a faithful old hermit like me.	I am not living in a talking, babbling world, nor yet among people who are trying to worm facts out of me; you needn't look so frightened because you have let the cat out of the bag to a faithful old hermit like me.	true	895.32	909.52	20
1705_142318_000043_000002	I shall never name his having been in England; I shall be out of temptation, for no one will ask me.	I shall never name his having been in England; I shall be out of temptation, for no one will ask me.	true	909.68	916.9	17.44001
1705_142318_000043_000003	Stay!' (interrupting himself rather abruptly) 'was it at your mother's funeral?'	Stay!' (interrupting himself rather abruptly) 'was it at your mother's funeral?'	true	917.24	923.35	21.898382
1705_142318_000044_000000	'He was with mamma when she died,' said Margaret, softly.	'He was with mamma when she died,' said Margaret, softly.	true	924.26	927.88	19.728733
1705_142318_000045_000000	'To be sure!	'To be sure!	true	928.7	929.55	21
1705_142318_000045_000001	To be sure!	To be sure!	true	929.55	930.58	20.718496
1705_142318_000045_000002	Why, some one asked me if he had not been over then, and I denied it stoutly--not many weeks ago--who could it have been?	Why, some one asked me if he had not been over then, and I denied it stoutly-not many weeks ago-who could it have been?	true	930.8	939.24	21.061378
1705_142318_000045_000003	Oh!	Oh!	false	939.24	940.14	-20
1705_142318_000045_000004	I recollect!'	I recollect!'	true	940.14	942.1	19
1705_142318_000046_000000	But he did not say the name; and although Margaret would have given much to know if her suspicions were right, and it had been Mr. Thornton who had made the enquiry, she could not ask the question of Mr. Bell, much as she longed to do so.	But he did not say the name; and although Margaret would have given much to know if her suspicions were right, and it had been mr Thornton who had made the enquiry, she could not ask the question of mr Bell, much as she longed to do so.	true	943.01	956.77	19
1705_142318_000047_000000	There was a pause for a moment or two.	There was a pause for a moment or two.	true	957.92	960.34	22
1705_142318_000047_000001	Then Mr. Lennox said, addressing himself to Margaret, 'I suppose as Mr. Bell is now acquainted with all the circumstances attending your brother's unfortunate dilemma, I cannot do better than inform him exactly how the research into the evidence we once hoped to produce in his favour stands at present.	Then mr Lennox said, addressing himself to Margaret, 'I suppose as mr Bell is now acquainted with all the circumstances attending your brother's unfortunate dilemma, I cannot do better than inform him exactly how the research into the evidence we once hoped to produce in his favour stands at present.	true	960.44	980.05	19.744184
1705_142318_000047_000002	So, if he will do me the honour to breakfast with me to-morrow, we will go over the names of these missing gentry.'	So, if he will do me the honour to breakfast with me to morrow, we will go over the names of these missing gentry.'	true	980.33	987.22	17
1705_142318_000048_000000	'I should like to hear all the particulars, if I may.	'I should like to hear all the particulars, if I may.	true	988.04	990.73	18
1705_142318_000048_000001	Cannot you come here?	Cannot you come here?	true	991.16	992.74	20.625628
1705_142318_000048_000002	I dare not ask you both to breakfast, though I am sure you would be welcome.	I dare not ask you both to breakfast, though I am sure you would be welcome.	false	993.17	997.12	19
1705_142318_000048_000003	But let me know all I can about Frederick, even though there may be no hope at present.'	But let me know all I can about Frederick, even though there may be no hope at present.'	true	997.46	1002.52	18.975876
