8080_3961_000004_000000	CHAPTER IX	CHAPTER nine
8080_3961_000022_000001	She thought that she never wished any evil to her; but, when she reflected, there were several times when she began to think that a wounded spirit, such as her own, might have some influence of the kind.	She thought that she never wished any evil to her; but, when she reflected, there were several times when she began to think that a wounded spirit, such as her own, might have some influence of the kind.
8080_3961_000022_000002	She had sometimes dreams, after weary thinking, between slumber and waking, in which she seemed to fly to some beautiful girl, apparently Lady Aoi, and to engage in bitter contention and struggle with her.	She had sometimes dreams, after weary thinking, between slumber and waking, in which she seemed to fly to some beautiful girl, apparently Lady Aoi, and to engage in bitter contention and struggle with her.
8080_3961_000022_000003	She became even terrified at these dreams; but yet they took place very often.	She became even terrified at these dreams; but yet they took place very often.
8080_3961_000022_000004	"Even in ordinary matters," she thought, "it is too common a practice, to say nothing of the good done by people, but to exaggerate the bad; and so, in such cases, if it should be rumored that mine was that living spirit which tormented Lady Aoi, how trying it would be to me!	"Even in ordinary matters," she thought, "it is too common a practice, to say nothing of the good done by people, but to exaggerate the bad; and so, in such cases, if it should be rumored that mine was that living spirit which tormented Lady Aoi, how trying it would be to me!
8080_3961_000022_000005	It is no rare occurrence that one's disembodied spirit, after death, should wander about; but even that is not a very agreeable idea.	It is no rare occurrence that one's disembodied spirit, after death, should wander about; but even that is not a very agreeable idea.
8080_3961_000022_000006	How much more, then, must it be disagreeable to have the repute that one's living spirit was inflicting pain upon another!"	How much more, then, must it be disagreeable to have the repute that one's living spirit was inflicting pain upon another!"
8080_3961_000023_000000	These thoughts still preyed upon her mind, and made her listless and depressed.	These thoughts still preyed upon her mind, and made her listless and depressed.
8080_3961_000024_000000	In due course, the confinement of Lady Aoi approached.	In due course, the confinement of Lady Aoi approached.
8080_3961_000024_000001	At the same time, the jealous spirit still vexed her, and now more vigorous exorcising was employed.	At the same time, the jealous spirit still vexed her, and now more vigorous exorcising was employed.
8080_3961_000024_000002	She became much affected by it, and cried out, "Please release me a little; I have something to tell the Prince."	She became much affected by it, and cried out, "Please release me a little; I have something to tell the Prince."
8080_3961_000025_000001	The curtain was dropped, and the mother of the lady left the room, as she thought her daughter might prefer to speak to him in private.	The curtain was dropped, and the mother of the lady left the room, as she thought her daughter might prefer to speak to him in private.
8080_3961_000025_000003	The lady was lying on her couch, dressed in a pure white garment, with her long tresses unfastened.	The lady was lying on her couch, dressed in a pure white garment, with her long tresses unfastened.
8080_3961_000025_000004	He approached her, and taking her hand, said: "What sad affliction you cause us!" She then lifted her heavy eyelids, and gazed on Genji for some minutes.	He approached her, and taking her hand, said: "What sad affliction you cause us!" She then lifted her heavy eyelids, and gazed on Genji for some minutes.
8080_3961_000026_000000	He tried to soothe her, and said, "Pray don't trouble yourself too much about matters.	He tried to soothe her, and said, "Pray don't trouble yourself too much about matters.
8080_3961_000026_000001	Everything will come right.	Everything will come right.
8080_3961_000026_000002	Your illness, I think, will soon pass away.	Your illness, I think, will soon pass away.
8080_3961_000026_000003	Even supposing you quit this present world, there is another where we shall meet, and where I shall see you once more cheerful, and there will be a time when your mother and father will also join you."	Even supposing you quit this present world, there is another where we shall meet, and where I shall see you once more cheerful, and there will be a time when your mother and father will also join you."
8080_3961_000027_000000	"Ah! no. I only come here to solicit you to give me a little rest.	"Ah! no I only come here to solicit you to give me a little rest.
8080_3961_000027_000001	I feel extremely disturbed.	I feel extremely disturbed.
8080_3961_000027_000002	I never thought of coming here in such a way; but it seems the spirit of one whose thoughts are much disconcerted wanders away unknown even to itself.	I never thought of coming here in such a way; but it seems the spirit of one whose thoughts are much disconcerted wanders away unknown even to itself.
8080_3961_000029_000001	"You speak thus," said Genji, as if he was addressing the spirit, "but you do not tell me who you are.	"You speak thus," said Genji, as if he was addressing the spirit, "but you do not tell me who you are.
8080_3961_000029_000003	On this, Genji was still more perplexed and anxious, and put a stop to the colloquy.	On this, Genji was still more perplexed and anxious, and put a stop to the colloquy.
8080_3961_000029_000004	Presently she became very calm, and people thought that she was a little relieved.	Presently she became very calm, and people thought that she was a little relieved.
8080_3961_000029_000005	Soon after this, the lady was safely delivered of a child.	Soon after this, the lady was safely delivered of a child.
8080_3961_000030_000001	They came in all haste, wiping off the perspiration from their faces as they journeyed; and, from the Emperor and Royal princes down to the ordinary nobles, all took an interest in the ceremony of Ub-yashinai (first feeding), and the more so as the child was a boy.	They came in all haste, wiping off the perspiration from their faces as they journeyed; and, from the Emperor and Royal princes down to the ordinary nobles, all took an interest in the ceremony of Ub yashinai (first feeding), and the more so as the child was a boy.
8080_3961_000031_000000	To return to the Lady of Rokjio.	To return to the Lady of Rokjio.
8080_3961_000032_000000	Some days passed, and the day of autumn appointments arrived.	Some days passed, and the day of autumn appointments arrived.
8080_3961_000033_000000	When he said good-by to her, there was a strange and unusual look in her eyes.	When he said good by to her, there was a strange and unusual look in her eyes.
8080_3961_000033_000001	Sadaijin also went to Court, as well as his sons, who had some expectation of promotion, and there were few people left in the mansion.	Sadaijin also went to Court, as well as his sons, who had some expectation of promotion, and there were few people left in the mansion.
8080_3961_000034_000000	It was in the evening of that day that Lady Aoi was suddenly attacked by a spasm, and before the news of this could be carried to the Court, she died.	It was in the evening of that day that Lady Aoi was suddenly attacked by a spasm, and before the news of this could be carried to the Court, she died.
8080_3961_000035_000000	These sad tidings soon reached the Court, and created great distress and confusion: even the arrangements for appointments and promotion were disturbed.	These sad tidings soon reached the Court, and created great distress and confusion: even the arrangements for appointments and promotion were disturbed.
8080_3961_000035_000001	As it happened late in the evening there was no time to send for the head of the monastery, or any other distinguished priest.	As it happened late in the evening there was no time to send for the head of the monastery, or any other distinguished priest.
8080_3961_000035_000002	Messengers of inquiry came one after another to the mansion, so numerous that it was almost impossible to return them all answers. We need not add how greatly affected were all her relations.	Messengers of inquiry came one after another to the mansion, so numerous that it was almost impossible to return them all answers. We need not add how greatly affected were all her relations.
8080_3961_000036_000000	As the death took place from a malign spiritual influence, she was left untouched during two or three days, in the hope that she might revive; but no change took place, and now all hope was abandoned.	As the death took place from a malign spiritual influence, she was left untouched during two or three days, in the hope that she might revive; but no change took place, and now all hope was abandoned.
8080_3961_000036_000001	In due course the corpse was taken to the cemetery of Toribeno.	In due course the corpse was taken to the cemetery of Toribeno.
8080_3961_000036_000002	Numerous mourners and priests of different churches crowded to the spot, while representatives of the ex-Emperor, Princess Wistaria, and the Heir-apparent also were present.	Numerous mourners and priests of different churches crowded to the spot, while representatives of the ex Emperor, Princess Wistaria, and the Heir apparent also were present.
8080_3961_000036_000003	The ceremony of burial was performed with all solemnity and pathos.	The ceremony of burial was performed with all solemnity and pathos.
8080_3961_000037_000000	Thus the modest and virtuous Lady Aoi passed away forever.	Thus the modest and virtuous Lady Aoi passed away forever.
8080_3961_000039_000000	It was on one of these occasions that a soft shower of rain was falling.	It was on one of these occasions that a soft shower of rain was falling.
8080_3961_000039_000002	Genji was leaning out of a window, his cheek resting on his hand; and, looking out upon the half-fading shrubberies, was humming--	Genji was leaning out of a window, his cheek resting on his hand; and, looking out upon the half fading shrubberies, was humming-
8080_3961_000043_000000	This was soon responded to by Genji:--	This was soon responded to by Genji:--
8080_3961_000044_000000	"That cloudy shrine we view on high, Where my lost love may dwell unseen, Looks gloomy now to this sad eye That looks with tears on what has been."	"That cloudy shrine we view on high, Where my lost love may dwell unseen, Looks gloomy now to this sad eye That looks with tears on what has been."
8080_3961_000047_000000	Genji still felt lonely.	Genji still felt lonely.
8080_3961_000047_000001	He wrote a letter to the Princess Momo-zono (peach-gardens).	He wrote a letter to the Princess Momo zono (peach gardens).
8080_3961_000047_000003	He admired her, too.	He admired her, too.
8080_3961_000047_000005	In his letter he stated that she might have a little sympathy with him in his sorrow, and he also sent with it the following:--	In his letter he stated that she might have a little sympathy with him in his sorrow, and he also sent with it the following:--
8080_3961_000049_000000	There was, indeed, nothing serious between Genji and this princess; yet, as far as correspondence was concerned, they now and then exchanged letters, so she did not object to receiving this communication.	There was, indeed, nothing serious between Genji and this princess; yet, as far as correspondence was concerned, they now and then exchanged letters, so she did not object to receiving this communication.
8080_3961_000049_000001	She felt for him much, and an answer was returned, in which she expressed her sympathy at his bereavement.	She felt for him much, and an answer was returned, in which she expressed her sympathy at his bereavement.
8080_3961_000050_000000	Now, in the mansion of Sadaijin every performance of requiem was celebrated.	Now, in the mansion of Sadaijin every performance of requiem was celebrated.
8080_3961_000050_000003	The room was the same as before, and everything was unchanged; but his only daughter, the pride of his old days, was no more, and his son-in-law had gone too.	The room was the same as before, and everything was unchanged; but his only daughter, the pride of his old days, was no more, and his son in law had gone too.
8080_3961_000051_000002	Among these papers he saw one on which the words "Old pillows and old quilts" were written, and close to these the following:--	Among these papers he saw one on which the words "Old pillows and old quilts" were written, and close to these the following:--
8080_3961_000052_000000	"How much the soul departed, still May love to linger round this couch, My own heart tells me, even I Reluctant am to leave it now."	"How much the soul departed, still May love to linger round this couch, My own heart tells me, even I Reluctant am to leave it now."
8080_3961_000055_000000	As Sadaijin was turning over these papers a withered flower, which seems to have marked some particular occasion, dropped from amongst them.	As Sadaijin was turning over these papers a withered flower, which seems to have marked some particular occasion, dropped from amongst them.
8080_3961_000056_000000	Return we now to Genji.	Return we now to Genji.
8080_3961_000056_000001	He went to the ex-Emperor, to whom he still seemed thin and careworn.	He went to the ex Emperor, to whom he still seemed thin and careworn.
8080_3961_000056_000002	He had some affectionate conversation with him, remained till evening, and then proceeded to his mansion at Nijio.	He had some affectionate conversation with him, remained till evening, and then proceeded to his mansion at Nijio.
8080_3961_000056_000003	He went to the western wing to visit the young Violet.	He went to the western wing to visit the young Violet.
8080_3961_000056_000004	All were habited in new winter apparel, and looked fresh and blooming.	All were habited in new winter apparel, and looked fresh and blooming.
8080_3961_000057_000001	Violet turned her glance a little aside.	Violet turned her glance a little aside.
8080_3961_000057_000002	She was apparently shy, which only increased her beauty.	She was apparently shy, which only increased her beauty.
8080_3961_000058_000000	He approached, and after having a little conversation, said, "I have many things to say to you, but now I must have a little rest," and returned to his own quarters.	He approached, and after having a little conversation, said, "I have many things to say to you, but now I must have a little rest," and returned to his own quarters.
8080_3961_000060_000000	At this time he confined himself more than usual to his own house, and for companionship he was constantly with Violet, who was now approaching womanhood.	At this time he confined himself more than usual to his own house, and for companionship he was constantly with Violet, who was now approaching womanhood.
8080_3961_000061_000001	The inmates of the house, who did not know what was the reason, were anxious about her, thinking she was indisposed.	The inmates of the house, who did not know what was the reason, were anxious about her, thinking she was indisposed.
8080_3961_000061_000002	About noon Genji came.	About noon Genji came.
8080_3961_000061_000003	He entered the little room, saying, "Are you not quite well?	He entered the little room, saying, "Are you not quite well?
8080_3961_000061_000004	Perhaps you would like to play at Go again, like last night, for a change;" but she was more than ever shy.	Perhaps you would like to play at Go again, like last night, for a change;" but she was more than ever shy.
8080_3961_000062_000000	"Why are you so shy?" he exclaimed; "be a little more cheerful--people may think it strange," said he, and stayed with her a long time trying to soothe her; but to no effect--she still continued silent and shy.	"Why are you so shy?" he exclaimed; "be a little more cheerful-people may think it strange," said he, and stayed with her a long time trying to soothe her; but to no effect-she still continued silent and shy.
8080_3961_000064_000000	He called Koremitz before him and said, "To-day is not a very opportune day; I would rather have them to-morrow evening.	He called Koremitz before him and said, "To day is not a very opportune day; I would rather have them to morrow evening.
8080_3961_000065_000000	Up to this time nothing about Violet had been publicly known, and Genji thought it was time to inform her father about his daughter; but he considered he had better have the ceremony of Mogi first performed, and ordered preparations to be made with that object.	Up to this time nothing about Violet had been publicly known, and Genji thought it was time to inform her father about his daughter; but he considered he had better have the ceremony of Mogi first performed, and ordered preparations to be made with that object.
8080_3961_000066_000000	Let us here notice that the young daughter of Udaijin, after she saw Genji, was longing to see him again.	Let us here notice that the young daughter of Udaijin, after she saw Genji, was longing to see him again.
8080_3961_000066_000001	This inclination was perceived by her relations.	This inclination was perceived by her relations.
8080_3961_000066_000002	It seems that her father was not quite averse to this liking, and he told his eldest daughter, the reigning Emperor's mother, that Genji was recently bereaved of his good consort, and that he should not feel discontented if his daughter were to take the place of Lady Aoi; but this the royal mother did not approve.	It seems that her father was not quite averse to this liking, and he told his eldest daughter, the reigning Emperor's mother, that Genji was recently bereaved of his good consort, and that he should not feel discontented if his daughter were to take the place of Lady Aoi; but this the royal mother did not approve.
