209_157830_000001_000000	Chapter 2	Chapter two
209_157830_000009_000000	Sir Walter would quit Kellynch Hall; and after a very few days more of doubt and indecision, the great question of whither he should go was settled, and the first outline of this important change made out.	Sir Walter would quit Kellynch Hall; and after a very few days more of doubt and indecision, the great question of whither he should go was settled, and the first outline of this important change made out.
209_157830_000010_000000	There had been three alternatives, London, Bath, or another house in the country.	There had been three alternatives, London, Bath, or another house in the country.
209_157830_000010_000001	All Anne's wishes had been for the latter.	All Anne's wishes had been for the latter.
209_157830_000010_000002	A small house in their own neighbourhood, where they might still have Lady Russell's society, still be near Mary, and still have the pleasure of sometimes seeing the lawns and groves of Kellynch, was the object of her ambition.	A small house in their own neighbourhood, where they might still have Lady Russell's society, still be near Mary, and still have the pleasure of sometimes seeing the lawns and groves of Kellynch, was the object of her ambition.
209_157830_000010_000004	She disliked Bath, and did not think it agreed with her; and Bath was to be her home.	She disliked Bath, and did not think it agreed with her; and Bath was to be her home.
209_157830_000011_000000	Sir Walter had at first thought more of London; but Mr Shepherd felt that he could not be trusted in London, and had been skilful enough to dissuade him from it, and make Bath preferred.	Sir Walter had at first thought more of London; but Mr Shepherd felt that he could not be trusted in London, and had been skilful enough to dissuade him from it, and make Bath preferred.
209_157830_000011_000001	It was a much safer place for a gentleman in his predicament: he might there be important at comparatively little expense.	It was a much safer place for a gentleman in his predicament: he might there be important at comparatively little expense.
209_157830_000012_000001	It would be too much to expect Sir Walter to descend into a small house in his own neighbourhood.	It would be too much to expect Sir Walter to descend into a small house in his own neighbourhood.
209_157830_000012_000003	And with regard to Anne's dislike of Bath, she considered it as a prejudice and mistake arising, first, from the circumstance of her having been three years at school there, after her mother's death; and secondly, from her happening to be not in perfectly good spirits the only winter which she had afterwards spent there with herself.	And with regard to Anne's dislike of Bath, she considered it as a prejudice and mistake arising, first, from the circumstance of her having been three years at school there, after her mother's death; and secondly, from her happening to be not in perfectly good spirits the only winter which she had afterwards spent there with herself.
209_157830_000013_000000	Lady Russell was fond of Bath, in short, and disposed to think it must suit them all; and as to her young friend's health, by passing all the warm months with her at Kellynch Lodge, every danger would be avoided; and it was in fact, a change which must do both health and spirits good.	Lady Russell was fond of Bath, in short, and disposed to think it must suit them all; and as to her young friend's health, by passing all the warm months with her at Kellynch Lodge, every danger would be avoided; and it was in fact, a change which must do both health and spirits good.
209_157830_000013_000002	Her spirits were not high.	Her spirits were not high.
209_157830_000013_000003	A larger society would improve them.	A larger society would improve them.
209_157830_000013_000004	She wanted her to be more known.	She wanted her to be more known.
209_157830_000014_000000	The undesirableness of any other house in the same neighbourhood for Sir Walter was certainly much strengthened by one part, and a very material part of the scheme, which had been happily engrafted on the beginning.	The undesirableness of any other house in the same neighbourhood for Sir Walter was certainly much strengthened by one part, and a very material part of the scheme, which had been happily engrafted on the beginning.
209_157830_000014_000001	He was not only to quit his home, but to see it in the hands of others; a trial of fortitude, which stronger heads than Sir Walter's have found too much.	He was not only to quit his home, but to see it in the hands of others; a trial of fortitude, which stronger heads than Sir Walter's have found too much.
209_157830_000014_000002	Kellynch Hall was to be let.	Kellynch Hall was to be let.
209_157830_000014_000003	This, however, was a profound secret, not to be breathed beyond their own circle.	This, however, was a profound secret, not to be breathed beyond their own circle.
209_157830_000015_000001	Mr Shepherd had once mentioned the word "advertise," but never dared approach it again.	Mr Shepherd had once mentioned the word "advertise," but never dared approach it again.
209_157830_000016_000000	How quick come the reasons for approving what we like!	How quick come the reasons for approving what we like!
209_157830_000016_000002	Elizabeth had been lately forming an intimacy, which she wished to see interrupted. It was with the daughter of Mr Shepherd, who had returned, after an unprosperous marriage, to her father's house, with the additional burden of two children.	Elizabeth had been lately forming an intimacy, which she wished to see interrupted. It was with the daughter of Mr Shepherd, who had returned, after an unprosperous marriage, to her father's house, with the additional burden of two children.
209_157830_000017_000000	Lady Russell, indeed, had scarcely any influence with Elizabeth, and seemed to love her, rather because she would love her, than because Elizabeth deserved it.	Lady Russell, indeed, had scarcely any influence with Elizabeth, and seemed to love her, rather because she would love her, than because Elizabeth deserved it.
209_157830_000017_000001	She had never received from her more than outward attention, nothing beyond the observances of complaisance; had never succeeded in any point which she wanted to carry, against previous inclination.	She had never received from her more than outward attention, nothing beyond the observances of complaisance; had never succeeded in any point which she wanted to carry, against previous inclination.
