4744_4158_000001_000000	TRUTH STRANGER THAN FICTION	TRUTH STRANGER THAN FICTION
4744_4158_000005_000011	This was a most singular spot, remote, in a dense forest spreading over the summit of a cliff that rose abruptly to a great height above the sea; but so grand in its situation, in the desolate sublimity which reigned around, in the reverential murmur of the waves that washed its base, that, though picturesque, it was a forest prison.	This was a most singular spot, remote, in a dense forest spreading over the summit of a cliff that rose abruptly to a great height above the sea; but so grand in its situation, in the desolate sublimity which reigned around, in the reverential murmur of the waves that washed its base, that, though picturesque, it was a forest prison.
4744_4158_000006_000001	The poverty of the young man, and the youthful age of the girl, had caused their feelings to be kept from the young lady's parents.	The poverty of the young man, and the youthful age of the girl, had caused their feelings to be kept from the young lady's parents.
4744_4158_000006_000002	At the death of his master, Volney had returned to his widowed mother at Mobile, and knew nothing of the misfortune that had befallen his mistress, until he received a letter from her.	At the death of his master, Volney had returned to his widowed mother at Mobile, and knew nothing of the misfortune that had befallen his mistress, until he received a letter from her.
4744_4158_000006_000004	There she remained more than a fortnight, and with the exception of a daily visit from her master, she saw no one but the old Negress who waited upon her.	There she remained more than a fortnight, and with the exception of a daily visit from her master, she saw no one but the old Negress who waited upon her.
4744_4158_000006_000005	One bright moonlight evening as she was seated at the window, she perceived the figure of a man beneath her window.	One bright moonlight evening as she was seated at the window, she perceived the figure of a man beneath her window.
4744_4158_000006_000008	He had no sooner received her letter, than he set out for New Orleans; and finding on his arrival there, that his mistress had been taken away, resolved to follow her.	He had no sooner received her letter, than he set out for New Orleans; and finding on his arrival there, that his mistress had been taken away, resolved to follow her.
4744_4158_000006_000010	She dared not trust the old Negress with her secret, for fear that it might reach her master.	She dared not trust the old Negress with her secret, for fear that it might reach her master.
4744_4158_000006_000011	Jane wrote a hasty note and threw it out of the window, which was eagerly picked up by the young man, and he soon disappeared in the woods. Night passed away in dreariness to her, and the next morning she viewed the spot beneath her window with the hope of seeing the footsteps of him who had stood there the previous night.	Jane wrote a hasty note and threw it out of the window, which was eagerly picked up by the young man, and he soon disappeared in the woods. Night passed away in dreariness to her, and the next morning she viewed the spot beneath her window with the hope of seeing the footsteps of him who had stood there the previous night.
4744_4158_000006_000016	Soon the young maiden was seen descending, and the enthusiastic lover, with his arms extended, waiting to receive his mistress.	Soon the young maiden was seen descending, and the enthusiastic lover, with his arms extended, waiting to receive his mistress.
4744_4158_000006_000018	At this moment the sharp sound of a rifle was heard, and the young man fell weltering in his blood, at the feet of his mistress.	At this moment the sharp sound of a rifle was heard, and the young man fell weltering in his blood, at the feet of his mistress.
4744_4158_000006_000019	Jane fell senseless by his side.	Jane fell senseless by his side.
4744_4158_000006_000021	The slow recovery of her reason settled into the most intense melancholy, which gained at length the compassion even of her cruel master.	The slow recovery of her reason settled into the most intense melancholy, which gained at length the compassion even of her cruel master.
4744_4158_000006_000022	The beautiful bright eyes, always pleading in expression, were now so heart-piercing in their sadness, that he could not endure their gaze.	The beautiful bright eyes, always pleading in expression, were now so heart piercing in their sadness, that he could not endure their gaze.
4744_4158_000006_000023	In a few days the poor girl died of a broken heart, and was buried at night at the back of the garden by the Negroes; and no one wept at the grave of her who had been so carefully cherished, and so tenderly beloved.	In a few days the poor girl died of a broken heart, and was buried at night at the back of the garden by the Negroes; and no one wept at the grave of her who had been so carefully cherished, and so tenderly beloved.
4744_4158_000007_000000	This, reader, is an unvarnished narrative of one doomed by the laws of the Southern States to be a slave.	This, reader, is an unvarnished narrative of one doomed by the laws of the Southern States to be a slave.
