5092_28462_000001_000000	Chapter V	Chapter five
5092_28462_000028_000004	The first land plant met was a tall grass, nine feet high, forming a meadow-like margin in front of the forest. Pushing my way well back into the forest, I found it composed almost entirely of spruce and two hemlocks (Picea sitchensis, Tsuga heterophylla and T. mertensiana) with a few specimens of yellow cypress.	The first land plant met was a tall grass, nine feet high, forming a meadow like margin in front of the forest. Pushing my way well back into the forest, I found it composed almost entirely of spruce and two hemlocks (Picea sitchensis, Tsuga heterophylla and t mertensiana) with a few specimens of yellow cypress.
5092_28462_000028_000007	On the opener spots beneath the trees the ground is covered to a depth of two or three feet with mosses of indescribable freshness and beauty, a few dwarf conifers often planted on their rich furred bosses, together with pyrola, coptis, and Solomon's-seal.	On the opener spots beneath the trees the ground is covered to a depth of two or three feet with mosses of indescribable freshness and beauty, a few dwarf conifers often planted on their rich furred bosses, together with pyrola, coptis, and Solomon's seal.
5092_28462_000028_000009	As the twilight began to fall, I sat down on the mossy instep of a spruce.	As the twilight began to fall, I sat down on the mossy instep of a spruce.
5092_28462_000028_000011	One bird, a thrush, embroidered the silence with cheery notes, making the solitude familiar and sweet, while the solemn monotone of the stream sifting through the woods seemed like the very voice of God, humanized, terrestrialized, and entering one's heart as to a home prepared for it.	One bird, a thrush, embroidered the silence with cheery notes, making the solitude familiar and sweet, while the solemn monotone of the stream sifting through the woods seemed like the very voice of God, humanized, terrestrialized, and entering one's heart as to a home prepared for it.
5092_28462_000029_000000	The stream was bridged at short intervals with picturesque, moss-embossed logs, and the trees on its banks, leaning over from side to side, made high embowering arches.	The stream was bridged at short intervals with picturesque, moss embossed logs, and the trees on its banks, leaning over from side to side, made high embowering arches.
5092_28462_000035_000003	Our next attempt, made nearer the middle of the valley, was successful, and we soon found ourselves on firm gravelly ground, and made haste to the huge ice wall, which seemed to recede as we advanced.	Our next attempt, made nearer the middle of the valley, was successful, and we soon found ourselves on firm gravelly ground, and made haste to the huge ice wall, which seemed to recede as we advanced.
5092_28462_000035_000010	Mr. Young and I traced the glorious crystal wall, admiring its wonderful architecture, the play of light in the rifts and caverns, and the structure of the ice as displayed in the less fractured sections, finding fresh beauty everywhere and facts for study.	mr Young and I traced the glorious crystal wall, admiring its wonderful architecture, the play of light in the rifts and caverns, and the structure of the ice as displayed in the less fractured sections, finding fresh beauty everywhere and facts for study.
5092_28462_000036_000000	Along the sides of the glacier we saw the mighty flood grinding against the granite walls with tremendous pressure, rounding outswelling bosses, and deepening the retreating hollows into the forms they are destined to have when, in the fullness of appointed time, the huge ice tool shall be withdrawn by the sun.	Along the sides of the glacier we saw the mighty flood grinding against the granite walls with tremendous pressure, rounding outswelling bosses, and deepening the retreating hollows into the forms they are destined to have when, in the fullness of appointed time, the huge ice tool shall be withdrawn by the sun
5092_28462_000036_000001	Every feature glowed with intention, reflecting the plans of God.	Every feature glowed with intention, reflecting the plans of God.
5092_28462_000040_000000	In the mean time another excursion was being invented, one of small size and price.	In the mean time another excursion was being invented, one of small size and price.
5092_28462_000042_000001	"We shall probably find stone axes and other curiosities.	"We shall probably find stone axes and other curiosities.
5092_28462_000045_000006	For example, the first dwelling we visited was about forty feet square, with walls built of planks two feet wide and six inches thick.	For example, the first dwelling we visited was about forty feet square, with walls built of planks two feet wide and six inches thick.
5092_28462_000045_000009	The pillars that had supported the ridgepole were still standing in some of the ruins.	The pillars that had supported the ridgepole were still standing in some of the ruins.
5092_28462_000045_000013	With the same tools not one in a thousand of our skilled mechanics could do as good work.	With the same tools not one in a thousand of our skilled mechanics could do as good work.
5092_28462_000046_000000	The carved totem-pole monuments are the most striking of the objects displayed here.	The carved totem pole monuments are the most striking of the objects displayed here.
5092_28462_000046_000001	The simplest of them consisted of a smooth, round post fifteen or twenty feet high and about eighteen inches in diameter, with the figure of some animal on top--a bear, porpoise, eagle, or raven, about life-size or larger.	The simplest of them consisted of a smooth, round post fifteen or twenty feet high and about eighteen inches in diameter, with the figure of some animal on top-a bear, porpoise, eagle, or raven, about life-size or larger.
5092_28462_000046_000003	The largest were thirty or forty feet high, carved from top to bottom into human and animal totem figures, one above another, with their limbs grotesquely doubled and folded.	The largest were thirty or forty feet high, carved from top to bottom into human and animal totem figures, one above another, with their limbs grotesquely doubled and folded.
5092_28462_000046_000005	But a telling display of family pride seemed to have been the prevailing motive. All the figures were more or less rude, and some were broadly grotesque, but there was never any feebleness or obscurity in the expression.	But a telling display of family pride seemed to have been the prevailing motive. All the figures were more or less rude, and some were broadly grotesque, but there was never any feebleness or obscurity in the expression.
5092_28462_000049_000002	This sacrilege came near causing trouble and would have cost us dear had the totem not chanced to belong to the Kadachan family, the representative of which is a member of the newly organized Wrangell Presbyterian Church.	This sacrilege came near causing trouble and would have cost us dear had the totem not chanced to belong to the Kadachan family, the representative of which is a member of the newly organized Wrangell Presbyterian Church.
