5092_28462_000000_000000	In his mission lectures in the East, Mr. Young oftentimes told this story.	In his mission lectures in the East, mr Young oftentimes told this story.	false	0	5.91	19.531702
5092_28462_000025_000003	It was to this glacier that the ships of the Alaska Ice Company resorted for the ice they carried to San Francisco and the Sandwich Islands, and, I believe, also to China and Japan.	It was to this glacier that the ships of the Alaska Ice Company resorted for the ice they carried to San Francisco and the Sandwich Islands, and, I believe, also to China and Japan.	true	306.5	319.24	22.805502
5092_28462_000025_000004	To load, they had only to sail up the fiord within a short distance of the front and drop anchor in the terminal moraine.	To load, they had only to sail up the fiord within a short distance of the front and drop anchor in the terminal moraine.	true	319.7	328.12	21.586538
5092_28462_000026_000000	Another glacier, a few miles to the south of this one, receives two large tributaries about equal in size, and then flows down a forested valley to within a hundred feet or so of sea-level.	Another glacier, a few miles to the south of this one, receives two large tributaries about equal in size, and then flows down a forested valley to within a hundred feet or so of sea-level.	true	328.49	339.97	18
5092_28462_000026_000001	The third of this low-descending group is four or five miles farther south, and, though less imposing than either of the two sketched above, is still a truly noble object, even as imperfectly seen from the channel, and would of itself be well worth a visit to Alaska to any lowlander so unfortunate as never to have seen a glacier.	The third of this low descending group is four or five miles farther south, and, though less imposing than either of the two sketched above, is still a truly noble object, even as imperfectly seen from the channel, and would of itself be well worth a visit to Alaska to any lowlander so unfortunate as never to have seen a glacier.	false	340.22	360.46	19.008543
5092_28462_000027_000000	The boilers of our little steamer were not made for sea water, but it was hoped that fresh water would be found at available points along our course where streams leap down the cliffs.	The boilers of our little steamer were not made for sea water, but it was hoped that fresh water would be found at available points along our course where streams leap down the cliffs.	true	361.1	371.05	19.502155
5092_28462_000027_000001	In this particular we failed, however, and were compelled to use salt water an hour or two before reaching Cape Fanshawe, the supply of fifty tons of fresh water brought from Wrangell having then given out.	In this particular we failed, however, and were compelled to use salt water an hour or two before reaching Cape Fanshawe, the supply of fifty tons of fresh water brought from Wrangell having then given out.	false	371.42	385.42	19.398052
5092_28462_000027_000002	To make matters worse, the captain and engineer were not in accord concerning the working of the engines.	To make matters worse, the captain and engineer were not in accord concerning the working of the engines.	false	385.7	391.18	17
5092_28462_000027_000003	The captain repeatedly called for more steam, which the engineer refused to furnish, cautiously keeping the pressure low because the salt water foamed in the boilers and some of it passed over into the cylinders, causing heavy thumping at the end of each piston stroke, and threatening to knock out the cylinder-heads.	The captain repeatedly called for more steam, which the engineer refused to furnish, cautiously keeping the pressure low because the salt water foamed in the boilers and some of it passed over into the cylinders, causing heavy thumping at the end of each piston stroke, and threatening to knock out the cylinder heads.	true	391.46	409.96	20
5092_28462_000027_000004	At seven o'clock in the evening we had made only about seventy miles, which caused dissatisfaction, especially among the divines, who thereupon called a meeting in the cabin to consider what had better be done.	At seven o'clock in the evening we had made only about seventy miles, which caused dissatisfaction, especially among the divines, who thereupon called a meeting in the cabin to consider what had better be done.	true	410.24	423.76	19.182556
5092_28462_000027_000005	In the discussions that followed much indignation and economy were brought to light.	In the discussions that followed much indignation and economy were brought to light.	true	424.19	429.19	21.003254
5092_28462_000027_000006	We had chartered the boat for sixty dollars per day, and the round trip was to have been made in four or five days.	We had chartered the boat for sixty dollars per day, and the round trip was to have been made in four or five days.	true	429.62	436.33	19.354887
5092_28462_000027_000007	But at the present rate of speed it was found that the cost of the trip for each passenger would be five or ten dollars above the first estimate.	But at the present rate of speed it was found that the cost of the trip for each passenger would be five or ten dollars above the first estimate.	true	436.67	445.09	22.095251
5092_28462_000027_000008	Therefore, the majority ruled that we must return next day to Wrangell, the extra dollars outweighing the mountains and missions as if they had suddenly become dust in the balance.	Therefore, the majority ruled that we must return next day to Wrangell, the extra dollars outweighing the mountains and missions as if they had suddenly become dust in the balance.	false	446	457.66	19.913166
5092_28462_000028_000000	Soon after the close of this economical meeting, we came to anchor in a beautiful bay, and as the long northern day had still hours of good light to offer, I gladly embraced the opportunity to go ashore to see the rocks and plants.	Soon after the close of this economical meeting, we came to anchor in a beautiful bay, and as the long northern day had still hours of good light to offer, I gladly embraced the opportunity to go ashore to see the rocks and plants.	false	458.21	473.14	19
5092_28462_000028_000001	One of the Indians, employed as a deck hand on the steamer, landed me at the mouth of a stream.	One of the Indians, employed as a deck hand on the steamer, landed me at the mouth of a stream.	false	473.63	479.86	22
5092_28462_000028_000002	The tide was low, exposing a luxuriant growth of algae, which sent up a fine, fresh sea smell.	The tide was low, exposing a luxuriant growth of algae, which sent up a fine, fresh sea smell.	true	480.05	486.7	21.135828
5092_28462_000028_000003	The shingle was composed of slate, quartz, and granite, named in the order of abundance.	The shingle was composed of slate, quartz, and granite, named in the order of abundance.	true	487.07	492.22	20.07478
5092_28462_000028_000004	The first land plant met was a tall grass, nine feet high, forming a meadow-like margin in front of the forest. Pushing my way well back into the forest, I found it composed almost entirely of spruce and two hemlocks (Picea sitchensis, Tsuga heterophylla and T. mertensiana) with a few specimens of yellow cypress.	The first land plant met was a tall grass, nine feet high, forming a meadow like margin in front of the forest. Pushing my way well back into the forest, I found it composed almost entirely of spruce and two hemlocks (Picea sitchensis, Tsuga heterophylla and t mertensiana) with a few specimens of yellow cypress.	true	492.92	517.3	21.176775
5092_28462_000028_000005	The ferns were developed in remarkable beauty and size--aspidiums, one of which is about six feet high, a woodsia, lomaria, and several species of polypodium.	The ferns were developed in remarkable beauty and size-aspidiums, one of which is about six feet high, a woodsia, lomaria, and several species of polypodium.	false	517.67	529.66	21.530296
5092_28462_000028_000006	The underbrush is chiefly alder, rubus, ledum, three species of vaccinium, and Echinopanax horrida, the whole about from six to eight feet high, and in some places closely intertangled and hard to penetrate.	The underbrush is chiefly alder, rubus, ledum, three species of vaccinium, and Echinopanax horrida, the whole about from six to eight feet high, and in some places closely intertangled and hard to penetrate.	false	530	546.28	21.250599
5092_28462_000028_000007	On the opener spots beneath the trees the ground is covered to a depth of two or three feet with mosses of indescribable freshness and beauty, a few dwarf conifers often planted on their rich furred bosses, together with pyrola, coptis, and Solomon's-seal.	On the opener spots beneath the trees the ground is covered to a depth of two or three feet with mosses of indescribable freshness and beauty, a few dwarf conifers often planted on their rich furred bosses, together with pyrola, coptis, and Solomon's seal.	true	546.68	564.34	22
5092_28462_000028_000008	The tallest of the trees are about a hundred and fifty feet high, with a diameter of about four or five feet, their branches mingling together and making a perfect shade.	The tallest of the trees are about a hundred and fifty feet high, with a diameter of about four or five feet, their branches mingling together and making a perfect shade.	true	564.89	575.86	19.405529
5092_28462_000028_000009	As the twilight began to fall, I sat down on the mossy instep of a spruce.	As the twilight began to fall, I sat down on the mossy instep of a spruce.	true	575.93	580.99	23.324121
5092_28462_000028_000010	Not a bush or tree was moving; every leaf seemed hushed in brooding repose.	Not a bush or tree was moving; every leaf seemed hushed in brooding repose.	true	581.21	586.66	19.126999
5092_28462_000028_000011	One bird, a thrush, embroidered the silence with cheery notes, making the solitude familiar and sweet, while the solemn monotone of the stream sifting through the woods seemed like the very voice of God, humanized, terrestrialized, and entering one's heart as to a home prepared for it.	One bird, a thrush, embroidered the silence with cheery notes, making the solitude familiar and sweet, while the solemn monotone of the stream sifting through the woods seemed like the very voice of God, humanized, terrestrialized, and entering one's heart as to a home prepared for it.	true	586.94	605.74	20.252289
5092_28462_000028_000012	Go where we will, all the world over, we seem to have been there before.	Go where we will, all the world over, we seem to have been there before.	true	606.23	610.75	18.953218
5092_28462_000029_000000	The stream was bridged at short intervals with picturesque, moss-embossed logs, and the trees on its banks, leaning over from side to side, made high embowering arches.	The stream was bridged at short intervals with picturesque, moss embossed logs, and the trees on its banks, leaning over from side to side, made high embowering arches.	true	611.24	622.9	20
5092_28462_000029_000001	The log bridge I crossed was, I think, the most beautiful of the kind I ever saw.	The log bridge I crossed was, I think, the most beautiful of the kind I ever saw.	true	623.09	629.17	18.115149
5092_28462_000029_000002	The massive log is plushed to a depth of six inches or more with mosses of three or four species, their different tones of yellow shading finely into each other, while their delicate fronded branches and foliage lie in exquisite order, inclining outward and down the sides in rich, furred, clasping sheets overlapping and felted together until the required thickness is attained.	The massive log is plushed to a depth of six inches or more with mosses of three or four species, their different tones of yellow shading finely into each other, while their delicate fronded branches and foliage lie in exquisite order, inclining outward and down the sides in rich, furred, clasping sheets overlapping and felted together until the required thickness is attained.	false	629.42	655.12	18
5092_28462_000029_000003	The pedicels and spore-cases give a purplish tinge, and the whole bridge is enriched with ferns and a row of small seedling trees and currant bushes with colored leaves, every one of which seems to have been culled from the woods for this special use, so perfectly do they harmonize in size, shape, and color with the mossy cover, the width of the span, and the luxuriant, brushy abutments.	The pedicels and spore cases give a purplish tinge, and the whole bridge is enriched with ferns and a row of small seedling trees and currant bushes with colored leaves, every one of which seems to have been culled from the woods for this special use, so perfectly do they harmonize in size, shape, and color with the mossy cover, the width of the span, and the luxuriant, brushy abutments.	false	655.22	680.68	18
5092_28462_000030_000000	Sauntering back to the beach, I found four or five Indian deck hands getting water, with whom I returned aboard the steamer, thanking the Lord for so noble an addition to my life as was this one big mountain, forest, and glacial day.	Sauntering back to the beach, I found four or five Indian deck hands getting water, with whom I returned aboard the steamer, thanking the Lord for so noble an addition to my life as was this one big mountain, forest, and glacial day.	true	680.93	695.5	17
5092_28462_000031_000000	Next morning most of the company seemed uncomfortably conscience-stricken, and ready to do anything in the way of compensation for our broken excursion that would not cost too much. It was not found difficult, therefore, to convince the captain and disappointed passengers that instead of creeping back to Wrangell direct we should make an expiatory branch-excursion to the largest of the three low-descending glaciers we had passed.	Next morning most of the company seemed uncomfortably conscience stricken, and ready to do anything in the way of compensation for our broken excursion that would not cost too much. It was not found difficult, therefore, to convince the captain and disappointed passengers that instead of creeping back to Wrangell direct we should make an expiatory branch excursion to the largest of the three low descending glaciers we had passed.	false	696.41	721.69	18
5092_28462_000031_000001	The Indian pilot, well acquainted with this part of the coast, declared himself willing to guide us.	The Indian pilot, well acquainted with this part of the coast, declared himself willing to guide us.	true	722.21	727.72	17
5092_28462_000031_000002	The water in these fiord channels is generally deep and safe, and though at wide intervals rocks rise abruptly here and there, lacking only a few feet in height to enable them to take rank as islands, the flat-bottomed Cassiar drew but little more water than a duck, so that even the most timid raised no objection on this score.	The water in these fiord channels is generally deep and safe, and though at wide intervals rocks rise abruptly here and there, lacking only a few feet in height to enable them to take rank as islands, the flat bottomed Cassiar drew but little more water than a duck, so that even the most timid raised no objection on this score.	false	728.09	748.87	17
5092_28462_000031_000003	The cylinder-heads of our engines were the main source of anxiety; provided they could be kept on all might yet be well.	The cylinder heads of our engines were the main source of anxiety; provided they could be kept on all might yet be well.	true	749.18	756.76	19.187948
5092_28462_000031_000004	But in this matter there was evidently some distrust, the engineer having imprudently informed some of the passengers that in consequence of using salt water in his frothing boilers the cylinder-heads might fly off at any moment.	But in this matter there was evidently some distrust, the engineer having imprudently informed some of the passengers that in consequence of using salt water in his frothing boilers the cylinder heads might fly off at any moment.	false	757.28	771.73	16
5092_28462_000031_000005	To the glacier, however, it was at length decided we should venture.	To the glacier, however, it was at length decided we should venture.	true	772.1	777.4	17.717098
5092_28462_000032_000000	Arriving opposite the mouth of its fiord, we steered straight inland between beautiful wooded shores, and the grand glacier came in sight in its granite valley, glowing in the early sunshine and extending a noble invitation to come and see.	Arriving opposite the mouth of its fiord, we steered straight inland between beautiful wooded shores, and the grand glacier came in sight in its granite valley, glowing in the early sunshine and extending a noble invitation to come and see.	true	778.19	793.66	19
5092_28462_000032_000001	After we passed between the two mountain rocks that guard the gate of the fiord, the view that was unfolded fixed every eye in wondering admiration.	After we passed between the two mountain rocks that guard the gate of the fiord, the view that was unfolded fixed every eye in wondering admiration.	false	794.21	803.74	16
5092_28462_000032_000002	No words can convey anything like an adequate conception of its sublime grandeur--the noble simplicity and fineness of the sculpture of the walls; their magnificent proportions; their cascades, gardens, and forest adornments; the placid fiord between them; the great white and blue ice wall, and the snow-laden mountains beyond.	No words can convey anything like an adequate conception of its sublime grandeur-the noble simplicity and fineness of the sculpture of the walls; their magnificent proportions; their cascades, gardens, and forest adornments; the placid fiord between them; the great white and blue ice wall, and the snow laden mountains beyond.	false	804.08	825.91	18.53136
5092_28462_000032_000003	Still more impotent are words in telling the peculiar awe one experiences in entering these mansions of the icy North, notwithstanding it is only the natural effect of appreciable manifestations of the presence of God.	Still more impotent are words in telling the peculiar awe one experiences in entering these mansions of the icy North, notwithstanding it is only the natural effect of appreciable manifestations of the presence of God.	true	826.25	841.03	18
5092_28462_000033_000000	Standing in the gateway of this glorious temple, and regarding it only as a picture, its outlines may be easily traced, the water foreground of a pale-green color, a smooth mirror sheet sweeping back five or six miles like one of the lower reaches of a great river, bounded at the head by a beveled barrier wall of blueish-white ice four or five hundred feet high.	Standing in the gateway of this glorious temple, and regarding it only as a picture, its outlines may be easily traced, the water foreground of a pale green color, a smooth mirror sheet sweeping back five or six miles like one of the lower reaches of a great river, bounded at the head by a beveled barrier wall of blueish white ice four or five hundred feet high.	false	841.46	865.69	19.250982
5092_28462_000033_000001	A few snowy mountain-tops appear beyond it, and on either hand rise a series of majestic, pale-gray granite rocks from three to four thousand feet high, some of them thinly forested and striped with bushes and flowery grass on narrow shelves, especially about half way up, others severely sheer and bare and built together into walls like those of Yosemite, extending far beyond the ice barrier, one immense brow appearing beyond another with their bases buried in the glacier.	A few snowy mountain tops appear beyond it, and on either hand rise a series of majestic, pale gray granite rocks from three to four thousand feet high, some of them thinly forested and striped with bushes and flowery grass on narrow shelves, especially about half way up, others severely sheer and bare and built together into walls like those of Yosemite, extending far beyond the ice barrier, one immense brow appearing beyond another with their bases buried in the glacier.	true	866.24	900.4	19.772793
5092_28462_000033_000002	This is a Yosemite Valley in process of formation, the modeling and sculpture of the walls nearly completed and well planted, but no groves as yet or gardens or meadows on the raw and unfinished bottom.	This is a Yosemite Valley in process of formation, the modeling and sculpture of the walls nearly completed and well planted, but no groves as yet or gardens or meadows on the raw and unfinished bottom.	false	900.92	915.64	17.752182
5092_28462_000033_000003	It is as if the explorer, in entering the Merced Yosemite, should find the walls nearly in their present condition, trees and flowers in the warm nooks and along the sunny portions of the moraine-covered brows, but the bottom of the valley still covered with water and beds of gravel and mud, and the grand glacier that formed it slowly receding but still filling the upper half of the valley.	It is as if the explorer, in entering the Merced Yosemite, should find the walls nearly in their present condition, trees and flowers in the warm nooks and along the sunny portions of the moraine covered brows, but the bottom of the valley still covered with water and beds of gravel and mud, and the grand glacier that formed it slowly receding but still filling the upper half of the valley.	false	916.25	940.33	19.231976
5092_28462_000034_000000	Sailing directly up to the edge of the low, outspread, water-washed terminal moraine, scarce noticeable in a general view, we seemed to be separated from the glacier only by a bed of gravel a hundred yards or so in width; but on so grand a scale are all the main features of the valley, we afterwards found the distance to be a mile or more.	Sailing directly up to the edge of the low, outspread, water washed terminal moraine, scarce noticeable in a general view, we seemed to be separated from the glacier only by a bed of gravel a hundred yards or so in width; but on so grand a scale are all the main features of the valley, we afterwards found the distance to be a mile or more.	false	940.82	963.52	20.588182
5092_28462_000035_000000	The captain ordered the Indian deck hands to get out the canoe, take as many of us ashore as wished to go, and accompany us to the glacier in case we should need their help.	The captain ordered the Indian deck hands to get out the canoe, take as many of us ashore as wished to go, and accompany us to the glacier in case we should need their help.	false	964.16	974.56	20
5092_28462_000035_000001	Only three of the company, in the first place, availed themselves of this rare opportunity of meeting a glacier in the flesh,--Mr.	Only three of the company, in the first place, availed themselves of this rare opportunity of meeting a glacier in the flesh,--mr	true	974.75	982.56	18
5092_28462_000035_000002	Young, one of the doctors, and myself. Paddling to the nearest and driest-looking part of the moraine flat, we stepped ashore, but gladly wallowed back into the canoe; for the gray mineral mud, a paste made of fine-ground mountain meal kept unstable by the tides, at once began to take us in, swallowing us feet foremost with becoming glacial deliberation.	Young, one of the doctors, and myself. Paddling to the nearest and driest looking part of the moraine flat, we stepped ashore, but gladly wallowed back into the canoe; for the gray mineral mud, a paste made of fine ground mountain meal kept unstable by the tides, at once began to take us in, swallowing us feet foremost with becoming glacial deliberation.	false	982.56	1005.67	19.482395
5092_28462_000035_000003	Our next attempt, made nearer the middle of the valley, was successful, and we soon found ourselves on firm gravelly ground, and made haste to the huge ice wall, which seemed to recede as we advanced.	Our next attempt, made nearer the middle of the valley, was successful, and we soon found ourselves on firm gravelly ground, and made haste to the huge ice wall, which seemed to recede as we advanced.	true	1005.89	1018.78	20.000233
5092_28462_000035_000004	The only difficulty we met was a network of icy streams, at the largest of which we halted, not willing to get wet in fording.	The only difficulty we met was a network of icy streams, at the largest of which we halted, not willing to get wet in fording.	false	1019.72	1028.25	18.922724
5092_28462_000035_000005	The Indian attendant promptly carried us over on his back.	The Indian attendant promptly carried us over on his back.	true	1028.25	1031.38	19.315239
5092_28462_000035_000006	When my turn came I told him I would ford, but he bowed his shoulders in so ludicrously persuasive a manner I thought I would try the queer mount, the only one of the kind I had enjoyed since boyhood days in playing leapfrog.	When my turn came I told him I would ford, but he bowed his shoulders in so ludicrously persuasive a manner I thought I would try the queer mount, the only one of the kind I had enjoyed since boyhood days in playing leapfrog.	false	1031.54	1044.85	16
5092_28462_000035_000007	Away staggered my perpendicular mule over the boulders into the brawling torrent, and in spite of top-heavy predictions to the contrary, crossed without a fall.	Away staggered my perpendicular mule over the boulders into the brawling torrent, and in spite of top heavy predictions to the contrary, crossed without a fall.	false	1045.34	1055.32	19.282824
5092_28462_000035_000008	After being ferried in this way over several more of these glacial streams, we at length reached the foot of the glacier wall.	After being ferried in this way over several more of these glacial streams, we at length reached the foot of the glacier wall.	true	1055.9	1063.27	19
5092_28462_000035_000009	The doctor simply played tag on it, touched it gently as if it were a dangerous wild beast, and hurried back to the boat, taking the portage Indian with him for safety, little knowing what he was missing.	The doctor simply played tag on it, touched it gently as if it were a dangerous wild beast, and hurried back to the boat, taking the portage Indian with him for safety, little knowing what he was missing.	false	1063.76	1076.26	19
5092_28462_000035_000010	Mr. Young and I traced the glorious crystal wall, admiring its wonderful architecture, the play of light in the rifts and caverns, and the structure of the ice as displayed in the less fractured sections, finding fresh beauty everywhere and facts for study.	mr Young and I traced the glorious crystal wall, admiring its wonderful architecture, the play of light in the rifts and caverns, and the structure of the ice as displayed in the less fractured sections, finding fresh beauty everywhere and facts for study.	true	1076.54	1091.92	20
5092_28462_000035_000011	We then tried to climb it, and by dint of patient zigzagging and doubling among the crevasses, and cutting steps here and there, we made our way up over the brow and back a mile or two to a height of about seven hundred feet.	We then tried to climb it, and by dint of patient zigzagging and doubling among the crevasses, and cutting steps here and there, we made our way up over the brow and back a mile or two to a height of about seven hundred feet.	false	1092.2	1107.55	20.895597
5092_28462_000035_000012	The whole front of the glacier is gashed and sculptured into a maze of shallow caves and crevasses, and a bewildering variety of novel architectural forms, clusters of glittering lance-tipped spires, gables, and obelisks, bold outstanding bastions and plain mural cliffs, adorned along the top with fretted cornice and battlement, while every gorge and crevasse, groove and hollow, was filled with light, shimmering and throbbing in pale-blue tones of ineffable tenderness and beauty.	The whole front of the glacier is gashed and sculptured into a maze of shallow caves and crevasses, and a bewildering variety of novel architectural forms, clusters of glittering lance tipped spires, gables, and obelisks, bold outstanding bastions and plain mural cliffs, adorned along the top with fretted cornice and battlement, while every gorge and crevasse, groove and hollow, was filled with light, shimmering and throbbing in pale blue tones of ineffable tenderness and beauty.	false	1108.25	1140.37	18
