4145_14013_000002_000000	VOLTAIRE.	VOLTAIRE.
4145_14013_000011_000005	Lady Maclaughlan is in High spirits at Sir Sampson's Success, though, at the Same Time, I assure you, she Felt much for the Distress of poor Mr. M'Dunsmuir, and had sent him a Large Box of Pills, and a Bottle of Gout Tincture, only two days before he died.	Lady Maclaughlan is in High spirits at Sir Sampson's Success, though, at the Same Time, I assure you, she Felt much for the Distress of poor mr M'Dunsmuir, and had sent him a Large Box of Pills, and a Bottle of Gout Tincture, only two days before he died.
4145_14013_000011_000007	I hope Harry wont take it amiss if Sir Sampson does not pay him so much Attention as he might expect; but he says that he will not be master of a moment of his own Time in London.	I hope Harry wont take it amiss if Sir Sampson does not pay him so much Attention as he might expect; but he says that he will not be master of a moment of his own Time in London.
4145_14013_000011_000008	He will be so much taken up with the King and the Duke of York, that he is afraid he will Disoblige a great Number of the Nobility by it, besides injuring his own health by such Constant application to business.	He will be so much taken up with the King and the Duke of York, that he is afraid he will Disoblige a great Number of the Nobility by it, besides injuring his own health by such Constant application to business.
4145_14013_000011_000009	He is to make a very fine Speech in Parliament, but it is not yet Fixed what his First Motion is to be upon.	He is to make a very fine Speech in Parliament, but it is not yet Fixed what his First Motion is to be upon.
4145_14013_000011_000014	This Place is in great Beauty at present, and the new Byre is completely finished.	This Place is in great Beauty at present, and the new Byre is completely finished.
4145_14013_000011_000016	Our dear Little Grand-niece is in great health, and much improved.	Our dear Little Grand niece is in great health, and much improved.
4145_14013_000011_000017	We reckon her Extremely like our Family, Particularly Becky; though she has a great Look of Bella, at the Same Time, Then she Laughs.	We reckon her Extremely like our Family, Particularly Becky; though she has a great Look of Bella, at the Same Time, Then she Laughs.
4145_14013_000011_000018	Excuse the Shortness of this Letter, my dear Niece, as I shall Write a much Longer one by Lady Maclaughlan.	Excuse the Shortness of this Letter, my dear Niece, as I shall Write a much Longer one by Lady Maclaughlan.
4145_14013_000015_000001	aunt,	aunt,
4145_14013_000017_000001	Such jewels! such dresses! such a house! such a husband! so easy and good-natured, and rich and generous!	Such jewels! such dresses! such a house! such a husband! so easy and good-natured, and rich and generous!
4145_14013_000017_000003	She might give what parties she pleased, go where she liked, spend as much money as she chose, and he would never, trouble his head about the matter.	She might give what parties she pleased, go where she liked, spend as much money as she chose, and he would never, trouble his head about the matter.
4145_14013_000018_000002	When, shutting the drawing room doors, he said, with earnestness, "I think, Julia, you were talking of Lady Lindore this morning: oblige me by repeating what you said, as I was reading the papers, and really did not attend much to what passed."	When, shutting the drawing room doors, he said, with earnestness, "I think, Julia, you were talking of Lady Lindore this morning: oblige me by repeating what you said, as I was reading the papers, and really did not attend much to what passed."
4145_14013_000019_000000	Her Ladyship, in extreme surprise, wondered how Harry could be so tiresome and absurd as to stop her airing for any such purpose.	Her Ladyship, in extreme surprise, wondered how Harry could be so tiresome and absurd as to stop her airing for any such purpose.
4145_14013_000019_000001	She really did not know what she said.	She really did not know what she said.
4145_14013_000019_000002	How could she?	How could she?
4145_14013_000019_000003	It was more than an hour ago.	It was more than an hour ago.
4145_14013_000020_000000	"Well, then, say what you think of her now," cried Douglas impatiently.	"Well, then, say what you think of her now," cried Douglas impatiently.
4145_14013_000021_000000	"Think of her!	"Think of her!
4145_14013_000021_000001	why, what all the world must think--that she is the happiest woman in it.	why, what all the world must think-that she is the happiest woman in it.
4145_14013_000021_000003	After that, I quite lost sight of her."	After that, I quite lost sight of her."
4145_14013_000022_000000	"As everyone else has done.	"As everyone else has done.
4145_14013_000022_000001	She has not been seen since.	She has not been seen since.
4145_14013_000023_000000	Even Lady Juliana was shocked at this intelligence, though the folly, more than the wickedness, of the thing, seemed to strike her mind; but Henry was no nice observer, and was therefore completely satisfied with the disapprobation she expressed for her sister-in-law's conduct.	Even Lady Juliana was shocked at this intelligence, though the folly, more than the wickedness, of the thing, seemed to strike her mind; but Henry was no nice observer, and was therefore completely satisfied with the disapprobation she expressed for her sister in law's conduct.
4145_14013_000024_000000	"I am so sorry for poor dear Lindore," said Lady Juliana after having exhausted herself in invectives against his wife.	"I am so sorry for poor dear Lindore," said Lady Juliana after having exhausted herself in invectives against his wife.
4145_14013_000024_000002	If he had been an ill-natured stingy wretch it would have been nothing; but Frederick is such a noble-hearted fellow--I dare say he would give me a thousand pounds if I were to ask him, for he don't care about money."	If he had been an ill natured stingy wretch it would have been nothing; but Frederick is such a noble hearted fellow-I dare say he would give me a thousand pounds if I were to ask him, for he don't care about money."
4145_14013_000025_000000	"Lord Lindore takes the matter very coolly, understand," replied her husband; "but--don't be alarmed, dear Julia--your father has suffered a little from the violence of his feelings.	"Lord Lindore takes the matter very coolly, understand," replied her husband; "but-don't be alarmed, dear Julia-your father has suffered a little from the violence of his feelings.
4145_14013_000025_000001	He has had a sort of apoplectic fit, but is not considered in immediate danger."	He has had a sort of apoplectic fit, but is not considered in immediate danger."
4145_14013_000026_000000	Lady Juliana burst into tears, desired the carriage might be put up, as she should not go out, and even declared her intention of abstaining from Mrs. D-----'s assembly that evening.	Lady Juliana burst into tears, desired the carriage might be put up, as she should not go out, and even declared her intention of abstaining from mrs D-----'s assembly that evening.
