380_129064_000000_000000	"My God, how like he is!" said the long gentleman with a start.	"My God, how like he is!" said the long gentleman with a start.	false	0	2.43	24.878532
380_129064_000010_000000	Some such boons as these were the best which Fortune allotted to poor little Amelia.	Some such boons as these were the best which Fortune allotted to poor little Amelia.	true	266.72	271	19
380_129064_000010_000001	Her life, begun not unprosperously, had come down to this--to a mean prison and a long, ignoble bondage.	Her life, begun not unprosperously, had come down to this-to a mean prison and a long, ignoble bondage.	false	271.82	278.68	18
380_129064_000010_000002	Little George visited her captivity sometimes and consoled it with feeble gleams of encouragement.	Little George visited her captivity sometimes and consoled it with feeble gleams of encouragement.	true	279.11	284.8	21
380_129064_000010_000003	Russell Square was the boundary of her prison: she might walk thither occasionally, but was always back to sleep in her cell at night; to perform cheerless duties; to watch by thankless sick-beds; to suffer the harassment and tyranny of querulous disappointed old age.	Russell Square was the boundary of her prison: she might walk thither occasionally, but was always back to sleep in her cell at night; to perform cheerless duties; to watch by thankless sick beds; to suffer the harassment and tyranny of querulous disappointed old age.	true	285.35	300.28	20
380_129064_000010_000004	How many thousands of people are there, women for the most part, who are doomed to endure this long slavery?--who are hospital nurses without wages--sisters of Charity, if you like, without the romance and the sentiment of sacrifice--who strive, fast, watch, and suffer, unpitied, and fade away ignobly and unknown.	How many thousands of people are there, women for the most part, who are doomed to endure this long slavery?--who are hospital nurses without wages-sisters of Charity, if you like, without the romance and the sentiment of sacrifice-who strive, fast, watch, and suffer, unpitied, and fade away ignobly and unknown.	false	300.98	320.83	20
380_129064_000011_000000	The hidden and awful Wisdom which apportions the destinies of mankind is pleased so to humiliate and cast down the tender, good, and wise, and to set up the selfish, the foolish, or the wicked.	The hidden and awful Wisdom which apportions the destinies of mankind is pleased so to humiliate and cast down the tender, good, and wise, and to set up the selfish, the foolish, or the wicked.	true	322.13	334.2	20
380_129064_000011_000001	Oh, be humble, my brother, in your prosperity!	Oh, be humble, my brother, in your prosperity!	false	334.2	337.12	19.040003
380_129064_000011_000002	Be gentle with those who are less lucky, if not more deserving.	Be gentle with those who are less lucky, if not more deserving.	true	337.4	340.54	23
380_129064_000011_000003	Think, what right have you to be scornful, whose virtue is a deficiency of temptation, whose success may be a chance, whose rank may be an ancestor's accident, whose prosperity is very likely a satire.	Think, what right have you to be scornful, whose virtue is a deficiency of temptation, whose success may be a chance, whose rank may be an ancestor's accident, whose prosperity is very likely a satire.	true	341.12	353.74	22.83919
380_129064_000012_000000	They buried Amelia's mother in the churchyard at Brompton, upon just such a rainy, dark day as Amelia recollected when first she had been there to marry George.	They buried Amelia's mother in the churchyard at Brompton, upon just such a rainy, dark day as Amelia recollected when first she had been there to marry George.	true	354.65	364.18	21.163544
380_129064_000012_000001	Her little boy sat by her side in pompous new sables.	Her little boy sat by her side in pompous new sables.	true	365.03	368.26	18
380_129064_000012_000002	She remembered the old pew-woman and clerk.	She remembered the old pew woman and clerk.	true	368.78	371.17	26.53055
380_129064_000012_000003	Her thoughts were away in other times as the parson read.	Her thoughts were away in other times as the parson read.	true	371.54	374.59	20.634642
380_129064_000012_000004	But that she held George's hand in her own, perhaps she would have liked to change places with.... Then, as usual, she felt ashamed of her selfish thoughts and prayed inwardly to be strengthened to do her duty.	But that she held George's hand in her own, perhaps she would have liked to change places with.... Then, as usual, she felt ashamed of her selfish thoughts and prayed inwardly to be strengthened to do her duty.	false	374.99	387.46	20.567987
380_129064_000013_000000	So she determined with all her might and strength to try and make her old father happy.	So she determined with all her might and strength to try and make her old father happy.	true	387.65	392.02	21
380_129064_000013_000001	She slaved, toiled, patched, and mended, sang and played backgammon, read out the newspaper, cooked dishes for old Sedley, walked him out sedulously into Kensington Gardens or the Brompton Lanes, listened to his stories with untiring smiles and affectionate hypocrisy, or sat musing by his side and communing with her own thoughts and reminiscences, as the old man, feeble and querulous, sunned himself on the garden benches and prattled about his wrongs or his sorrows.	She slaved, toiled, patched, and mended, sang and played backgammon, read out the newspaper, cooked dishes for old Sedley, walked him out sedulously into Kensington Gardens or the Brompton Lanes, listened to his stories with untiring smiles and affectionate hypocrisy, or sat musing by his side and communing with her own thoughts and reminiscences, as the old man, feeble and querulous, sunned himself on the garden benches and prattled about his wrongs or his sorrows.	false	392.45	421.36	19
380_129064_000013_000002	What sad, unsatisfactory thoughts those of the widow were!	What sad, unsatisfactory thoughts those of the widow were!	true	422	425.62	20.532953
380_129064_000013_000003	The children running up and down the slopes and broad paths in the gardens reminded her of George, who was taken from her; the first George was taken from her; her selfish, guilty love, in both instances, had been rebuked and bitterly chastised.	The children running up and down the slopes and broad paths in the gardens reminded her of George, who was taken from her; the first George was taken from her; her selfish, guilty love, in both instances, had been rebuked and bitterly chastised.	true	426.02	440.86	23
380_129064_000013_000004	She strove to think it was right that she should be so punished.	She strove to think it was right that she should be so punished.	true	441.17	444.25	24.318775
380_129064_000013_000005	She was such a miserable wicked sinner.	She was such a miserable wicked sinner.	true	444.38	446.385	16
380_129064_000013_000006	She was quite alone in the world.	She was quite alone in the world.	true	446.385	448.03	21
380_129064_000014_000000	I know that the account of this kind of solitary imprisonment is insufferably tedious, unless there is some cheerful or humorous incident to enliven it--a tender gaoler, for instance, or a waggish commandant of the fortress, or a mouse to come out and play about Latude's beard and whiskers, or a subterranean passage under the castle, dug by Trenck with his nails and a toothpick: the historian has no such enlivening incident to relate in the narrative of Amelia's captivity.	I know that the account of this kind of solitary imprisonment is insufferably tedious, unless there is some cheerful or humorous incident to enliven it-a tender gaoler, for instance, or a waggish commandant of the fortress, or a mouse to come out and play about Latude's beard and whiskers, or a subterranean passage under the castle, dug by Trenck with his nails and a toothpick: the historian has no such enlivening incident to relate in the narrative of Amelia's captivity.	false	449.3	478.84	21
380_129064_000014_000001	Fancy her, if you please, during this period, very sad, but always ready to smile when spoken to; in a very mean, poor, not to say vulgar position of life; singing songs, making puddings, playing cards, mending stockings, for her old father's benefit.	Fancy her, if you please, during this period, very sad, but always ready to smile when spoken to; in a very mean, poor, not to say vulgar position of life; singing songs, making puddings, playing cards, mending stockings, for her old father's benefit.	true	479.51	495.76	19.613314
380_129064_000014_000002	So, never mind, whether she be a heroine or no; or you and I, however old, scolding, and bankrupt--may we have in our last days a kind soft shoulder on which to lean and a gentle hand to soothe our gouty old pillows.	So, never mind, whether she be a heroine or no; or you and I, however old, scolding, and bankrupt-may we have in our last days a kind soft shoulder on which to lean and a gentle hand to soothe our gouty old pillows.	true	496.19	509.35	19
380_129064_000015_000000	Old Sedley grew very fond of his daughter after his wife's death, and Amelia had her consolation in doing her duty by the old man.	Old Sedley grew very fond of his daughter after his wife's death, and Amelia had her consolation in doing her duty by the old man.	true	510.23	518.47	20.211864
380_129064_000016_000000	But we are not going to leave these two people long in such a low and ungenteel station of life.	But we are not going to leave these two people long in such a low and ungenteel station of life.	true	518.63	523.84	18
380_129064_000016_000001	Better days, as far as worldly prosperity went, were in store for both.	Better days, as far as worldly prosperity went, were in store for both.	true	523.97	528.16	19
380_129064_000016_000002	Perhaps the ingenious reader has guessed who was the stout gentleman who called upon Georgy at his school in company with our old friend Major Dobbin.	Perhaps the ingenious reader has guessed who was the stout gentleman who called upon Georgy at his school in company with our old friend Major Dobbin.	false	529.25	537.13	16
380_129064_000016_000003	It was another old acquaintance returned to England, and at a time when his presence was likely to be of great comfort to his relatives there.	It was another old acquaintance returned to England, and at a time when his presence was likely to be of great comfort to his relatives there.	false	537.62	544.66	21
380_129064_000017_000000	Major Dobbin having easily succeeded in getting leave from his good-natured commandant to proceed to Madras, and thence probably to Europe, on urgent private affairs, never ceased travelling night and day until he reached his journey's end, and had directed his march with such celerity that he arrived at Madras in a high fever.	Major Dobbin having easily succeeded in getting leave from his good-natured commandant to proceed to Madras, and thence probably to Europe, on urgent private affairs, never ceased travelling night and day until he reached his journey's end, and had directed his march with such celerity that he arrived at Madras in a high fever.	false	545.24	566.5	20
380_129064_000017_000001	His servants who accompanied him brought him to the house of the friend with whom he had resolved to stay until his departure for Europe in a state of delirium; and it was thought for many, many days that he would never travel farther than the burying-ground of the church of St. George's, where the troops should fire a salvo over his grave, and where many a gallant officer lies far away from his home.	His servants who accompanied him brought him to the house of the friend with whom he had resolved to stay until his departure for Europe in a state of delirium; and it was thought for many, many days that he would never travel farther than the burying ground of the church of saint George's, where the troops should fire a salvo over his grave, and where many a gallant officer lies far away from his home.	true	567.11	589.03	20
380_129064_000018_000000	Here, as the poor fellow lay tossing in his fever, the people who watched him might have heard him raving about Amelia.	Here, as the poor fellow lay tossing in his fever, the people who watched him might have heard him raving about Amelia.	true	590.09	595.99	18
380_129064_000018_000001	The idea that he should never see her again depressed him in his lucid hours.	The idea that he should never see her again depressed him in his lucid hours.	true	596.48	600.88	20.829819
380_129064_000018_000002	He thought his last day was come, and he made his solemn preparations for departure, setting his affairs in this world in order and leaving the little property of which he was possessed to those whom he most desired to benefit.	He thought his last day was come, and he made his solemn preparations for departure, setting his affairs in this world in order and leaving the little property of which he was possessed to those whom he most desired to benefit.	false	601.19	613.57	19
380_129064_000018_000003	The friend in whose house he was located witnessed his testament.	The friend in whose house he was located witnessed his testament.	false	614.09	617.68	18.93534
380_129064_000018_000004	He desired to be buried with a little brown hair-chain which he wore round his neck and which, if the truth must be known, he had got from Amelia's maid at Brussels, when the young widow's hair was cut off, during the fever which prostrated her after the death of George Osborne on the plateau at Mount St. John.	He desired to be buried with a little brown hair chain which he wore round his neck and which, if the truth must be known, he had got from Amelia's maid at Brussels, when the young widow's hair was cut off, during the fever which prostrated her after the death of George Osborne on the plateau at Mount saint John.	true	618.8	637.99	23
380_129064_000019_000000	He recovered, rallied, relapsed again, having undergone such a process of blood-letting and calomel as showed the strength of his original constitution.	He recovered, rallied, relapsed again, having undergone such a process of blood letting and calomel as showed the strength of his original constitution.	false	638.18	646.99	21
380_129064_000019_000001	He was almost a skeleton when they put him on board the Ramchunder East Indiaman, Captain Bragg, from Calcutta, touching at Madras, and so weak and prostrate that his friend who had tended him through his illness prophesied that the honest Major would never survive the voyage, and that he would pass some morning, shrouded in flag and hammock, over the ship's side, and carrying down to the sea with him the relic that he wore at his heart.	He was almost a skeleton when they put him on board the Ramchunder East Indiaman, Captain Bragg, from Calcutta, touching at Madras, and so weak and prostrate that his friend who had tended him through his illness prophesied that the honest Major would never survive the voyage, and that he would pass some morning, shrouded in flag and hammock, over the ship's side, and carrying down to the sea with him the relic that he wore at his heart.	true	647.51	673.54	19
380_129064_000019_000002	But whether it was the sea air, or the hope which sprung up in him afresh, from the day that the ship spread her canvas and stood out of the roads towards home, our friend began to amend, and he was quite well (though as gaunt as a greyhound) before they reached the Cape.	But whether it was the sea air, or the hope which sprung up in him afresh, from the day that the ship spread her canvas and stood out of the roads towards home, our friend began to amend, and he was quite well (though as gaunt as a greyhound) before they reached the Cape.	true	674.6	689.38	22
380_129064_000019_000003	"Kirk will be disappointed of his majority this time," he said with a smile; "he will expect to find himself gazetted by the time the regiment reaches home." For it must be premised that while the Major was lying ill at Madras, having made such prodigious haste to go thither, the gallant --th, which had passed many years abroad, which after its return from the West Indies had been baulked of its stay at home by the Waterloo campaign, and had been ordered from Flanders to India, had received orders home; and the Major might have accompanied his comrades, had he chosen to wait for their arrival at Madras.	"Kirk will be disappointed of his majority this time," he said with a smile; "he will expect to find himself gazetted by the time the regiment reaches home." For it must be premised that while the Major was lying ill at Madras, having made such prodigious haste to go thither, the gallant --t h, which had passed many years abroad, which after its return from the West Indies had been baulked of its stay at home by the Waterloo campaign, and had been ordered from Flanders to India, had received orders home; and the Major might have accompanied his comrades, had he chosen to wait for their arrival at Madras.	false	689.75	725.8	22
380_129064_000020_000000	Perhaps he was not inclined to put himself in his exhausted state again under the guardianship of Glorvina.	Perhaps he was not inclined to put himself in his exhausted state again under the guardianship of Glorvina.	true	727.31	732.705	17
380_129064_000020_000001	"I think Miss O'Dowd would have done for me," he said laughingly to a fellow-passenger, "if we had had her on board, and when she had sunk me, she would have fallen upon you, depend upon it, and carried you in as a prize to Southampton, Jos, my boy."	"I think Miss O'Dowd would have done for me," he said laughingly to a fellow passenger, "if we had had her on board, and when she had sunk me, she would have fallen upon you, depend upon it, and carried you in as a prize to Southampton, Jos, my boy."	false	732.705	746.35	22
380_129064_000021_000000	For indeed it was no other than our stout friend who was also a passenger on board the Ramchunder.	For indeed it was no other than our stout friend who was also a passenger on board the Ramchunder.	true	747.35	752.74	20
380_129064_000021_000001	He had passed ten years in Bengal. Constant dinners, tiffins, pale ale and claret, the prodigious labour of cutcherry, and the refreshment of brandy-pawnee which he was forced to take there, had their effect upon Waterloo Sedley.	He had passed ten years in Bengal. Constant dinners, tiffins, pale ale and claret, the prodigious labour of cutcherry, and the refreshment of brandy pawnee which he was forced to take there, had their effect upon Waterloo Sedley.	false	753.17	768.49	22.641449
380_129064_000021_000002	A voyage to Europe was pronounced necessary for him--and having served his full time in India and had fine appointments which had enabled him to lay by a considerable sum of money, he was free to come home and stay with a good pension, or to return and resume that rank in the service to which his seniority and his vast talents entitled him.	A voyage to Europe was pronounced necessary for him-and having served his full time in India and had fine appointments which had enabled him to lay by a considerable sum of money, he was free to come home and stay with a good pension, or to return and resume that rank in the service to which his seniority and his vast talents entitled him.	false	768.68	788.74	19
380_129064_000022_000000	He was rather thinner than when we last saw him, but had gained in majesty and solemnity of demeanour.	He was rather thinner than when we last saw him, but had gained in majesty and solemnity of demeanour.	true	789.59	794.89	16
380_129064_000022_000001	He had resumed the mustachios to which his services at Waterloo entitled him, and swaggered about on deck in a magnificent velvet cap with a gold band and a profuse ornamentation of pins and jewellery about his person.	He had resumed the mustachios to which his services at Waterloo entitled him, and swaggered about on deck in a magnificent velvet cap with a gold band and a profuse ornamentation of pins and jewellery about his person.	true	795.5	808.3	18
380_129064_000022_000002	He took breakfast in his cabin and dressed as solemnly to appear on the quarter-deck as if he were going to turn out for Bond Street, or the Course at Calcutta.	He took breakfast in his cabin and dressed as solemnly to appear on the quarter deck as if he were going to turn out for Bond Street, or the Course at Calcutta.	false	809.21	817.81	20
380_129064_000022_000003	He brought a native servant with him, who was his valet and pipe-bearer and who wore the Sedley crest in silver on his turban. That oriental menial had a wretched life under the tyranny of Jos Sedley.	He brought a native servant with him, who was his valet and pipe bearer and who wore the Sedley crest in silver on his turban. That oriental menial had a wretched life under the tyranny of Jos Sedley.	false	818.57	832.36	21.80179
380_129064_000022_000004	Jos was as vain of his person as a woman, and took as long a time at his toilette as any fading beauty.	Jos was as vain of his person as a woman, and took as long a time at his toilette as any fading beauty.	true	832.76	838.96	18
380_129064_000022_000005	The youngsters among the passengers, Young Chaffers of the 150th, and poor little Ricketts, coming home after his third fever, used to draw out Sedley at the cuddy-table and make him tell prodigious stories about himself and his exploits against tigers and Napoleon.	The youngsters among the passengers, Young Chaffers of the one hundred fiftieth, and poor little Ricketts, coming home after his third fever, used to draw out Sedley at the cuddy table and make him tell prodigious stories about himself and his exploits against tigers and Napoleon.	true	839.6	854.68	17
380_129064_000022_000006	He was great when he visited the Emperor's tomb at Longwood, when to these gentlemen and the young officers of the ship, Major Dobbin not being by, he described the whole battle of Waterloo and all but announced that Napoleon never would have gone to Saint Helena at all but for him, Jos Sedley.	He was great when he visited the Emperor's tomb at Longwood, when to these gentlemen and the young officers of the ship, Major Dobbin not being by, he described the whole battle of Waterloo and all but announced that Napoleon never would have gone to Saint Helena at all but for him, Jos Sedley.	true	855.44	871.54	17
380_129064_000023_000000	After leaving St. Helena he became very generous, disposing of a great quantity of ship stores, claret, preserved meats, and great casks packed with soda-water, brought out for his private delectation.	After leaving saint Helena he became very generous, disposing of a great quantity of ship stores, claret, preserved meats, and great casks packed with soda water, brought out for his private delectation.	true	872.69	885.07	21
380_129064_000023_000001	There were no ladies on board; the Major gave the pas of precedency to the civilian, so that he was the first dignitary at table, and treated by Captain Bragg and the officers of the Ramchunder with the respect which his rank warranted.	There were no ladies on board; the Major gave the pas of precedency to the civilian, so that he was the first dignitary at table, and treated by Captain Bragg and the officers of the Ramchunder with the respect which his rank warranted.	false	885.56	899.44	22
380_129064_000023_000002	He disappeared rather in a panic during a two-days' gale, in which he had the portholes of his cabin battened down, and remained in his cot reading the Washerwoman of Finchley Common, left on board the Ramchunder by the Right Honourable the Lady Emily Hornblower, wife of the Rev.	He disappeared rather in a panic during a two days' gale, in which he had the portholes of his cabin battened down, and remained in his cot reading the Washerwoman of Finchley Common, left on board the Ramchunder by the Right Honourable the Lady Emily Hornblower, wife of the Rev.	false	899.48	915.39	18
380_129064_000023_000003	Silas Hornblower, when on their passage out to the Cape, where the Reverend gentleman was a missionary; but, for common reading, he had brought a stock of novels and plays which he lent to the rest of the ship, and rendered himself agreeable to all by his kindness and condescension.	Silas Hornblower, when on their passage out to the Cape, where the Reverend gentleman was a missionary; but, for common reading, he had brought a stock of novels and plays which he lent to the rest of the ship, and rendered himself agreeable to all by his kindness and condescension.	false	915.39	931.84	20
380_129064_000024_000000	Many and many a night as the ship was cutting through the roaring dark sea, the moon and stars shining overhead and the bell singing out the watch, Mr. Sedley and the Major would sit on the quarter-deck of the vessel talking about home, as the Major smoked his cheroot and the civilian puffed at the hookah which his servant prepared for him.	Many and many a night as the ship was cutting through the roaring dark sea, the moon and stars shining overhead and the bell singing out the watch, mr Sedley and the Major would sit on the quarter deck of the vessel talking about home, as the Major smoked his cheroot and the civilian puffed at the hookah which his servant prepared for him.	false	933.38	953.56	21
380_129064_000025_000000	In these conversations it was wonderful with what perseverance and ingenuity Major Dobbin would manage to bring the talk round to the subject of Amelia and her little boy.	In these conversations it was wonderful with what perseverance and ingenuity Major Dobbin would manage to bring the talk round to the subject of Amelia and her little boy.	true	954.26	963.73	17
380_129064_000025_000001	Jos, a little testy about his father's misfortunes and unceremonious applications to him, was soothed down by the Major, who pointed out the elder's ill fortunes and old age.	Jos, a little testy about his father's misfortunes and unceremonious applications to him, was soothed down by the Major, who pointed out the elder's ill fortunes and old age.	true	964.25	975.82	20.869934
380_129064_000025_000002	He would not perhaps like to live with the old couple, whose ways and hours might not agree with those of a younger man, accustomed to different society (Jos bowed at this compliment); but, the Major pointed out, how advantageous it would be for Jos Sedley to have a house of his own in London, and not a mere bachelor's establishment as before; how his sister Amelia would be the very person to preside over it; how elegant, how gentle she was, and of what refined good manners. He recounted stories of the success which Mrs. George Osborne had had in former days at Brussels, and in London, where she was much admired by people of very great fashion; and he then hinted how becoming it would be for Jos to send Georgy to a good school and make a man of him, for his mother and her parents would be sure to spoil him.	He would not perhaps like to live with the old couple, whose ways and hours might not agree with those of a younger man, accustomed to different society (Jos bowed at this compliment); but, the Major pointed out, how advantageous it would be for Jos Sedley to have a house of his own in London, and not a mere bachelor's establishment as before; how his sister Amelia would be the very person to preside over it; how elegant, how gentle she was, and of what refined good manners. He recounted stories of the success which mrs George Osborne had had in former days at Brussels, and in London, where she was much admired by people of very great fashion; and he then hinted how becoming it would be for Jos to send Georgy to a good school and make a man of him, for his mother and her parents would be sure to spoil him.	false	976.1	1022.74	19
380_129064_000025_000003	In a word, this artful Major made the civilian promise to take charge of Amelia and her unprotected child.	In a word, this artful Major made the civilian promise to take charge of Amelia and her unprotected child.	false	1023.38	1029.28	20
380_129064_000025_000004	He did not know as yet what events had happened in the little Sedley family, and how death had removed the mother, and riches had carried off George from Amelia.	He did not know as yet what events had happened in the little Sedley family, and how death had removed the mother, and riches had carried off George from Amelia.	false	1029.83	1038.61	18
380_129064_000025_000005	But the fact is that every day and always, this love-smitten and middle-aged gentleman was thinking about Mrs. Osborne, and his whole heart was bent upon doing her good.	But the fact is that every day and always, this love smitten and middle aged gentleman was thinking about mrs Osborne, and his whole heart was bent upon doing her good.	true	1039.25	1048.63	19
380_129064_000025_000006	He coaxed, wheedled, cajoled, and complimented Jos Sedley with a perseverance and cordiality of which he was not aware himself, very likely; but some men who have unmarried sisters or daughters even, may remember how uncommonly agreeable gentlemen are to the male relations when they are courting the females; and perhaps this rogue of a Dobbin was urged by a similar hypocrisy.	He coaxed, wheedled, cajoled, and complimented Jos Sedley with a perseverance and cordiality of which he was not aware himself, very likely; but some men who have unmarried sisters or daughters even, may remember how uncommonly agreeable gentlemen are to the male relations when they are courting the females; and perhaps this rogue of a Dobbin was urged by a similar hypocrisy.	false	1049.27	1071.76	18
