4856_12103_000000_000000	Something in the unnatural calmness of her tone startled him; he turned to question her.	Something in the unnatural calmness of her tone startled him; he turned to question her.	false	0.42	7.62	17.346447
4856_12103_000006_000000	"A loose rein for the present," he would say to himself, with a smile; "but by and by, my lady, you will find whether or no I am master!"	"A loose rein for the present," he would say to himself, with a smile; "but by and by, my lady, you will find whether or no I am master!"	false	133.25	142.72	20.598694
4856_12103_000007_000000	He seldom attempted now to draw her into a tete a tete conversation, but finding her one evening sitting upon a low divan in one of the bay-windows looking out into the moonlight, he seated himself beside her and began one of his entertaining tales of travel.	He seldom attempted now to draw her into a tete a tete conversation, but finding her one evening sitting upon a low divan in one of the bay windows looking out into the moonlight, he seated himself beside her and began one of his entertaining tales of travel.	false	143.84	160.6	20
4856_12103_000007_000001	An hour or more passed pleasantly, and Walcott inquired, casually,--	An hour or more passed pleasantly, and Walcott inquired, casually,--	true	161.09	166.45	23.069176
4856_12103_000008_000000	"By the way, Miss Underwood, what has become of my four-footed friend?	"By the way, Miss Underwood, what has become of my four footed friend?	true	167.33	171.37	18.805172
4856_12103_000008_000001	I have not seen him for three weeks or more, and his attentions to me were so marked I naturally miss them."	I have not seen him for three weeks or more, and his attentions to me were so marked I naturally miss them."	true	171.68	178.48	20
4856_12103_000009_000000	"Duke is at the mining camp," Kate answered, with a faint smile.	"Duke is at the mining camp," Kate answered, with a faint smile.	true	179.06	183.13	28.399853
4856_12103_000010_000000	Walcott raised his eyebrows incredulously.	Walcott raised his eyebrows incredulously.	true	183.62	186.67	21.384136
4856_12103_000010_000001	"Possible!	"Possible!	true	186.83	187.68	16.438356
4856_12103_000010_000002	With my other admirer, Mr. Darrell?"	With my other admirer, mr Darrell?"	true	187.68	190.36	15
4856_12103_000011_000000	"He is with Mr. Darrell."	"He is with mr Darrell."	true	190.94	192.79	18.12176
4856_12103_000012_000000	"Accept my gratitude, Miss Underwood, for having made my entree to your home much pleasanter, not to say safer."	"Accept my gratitude, Miss Underwood, for having made my entree to your home much pleasanter, not to say safer."	false	193.61	201.1	20.202465
4856_12103_000013_000000	"I neither claim nor accept your gratitude, Mr. Walcott," Kate replied, with cool dignity, "since I did it simply out of regard for Duke's welfare and not out of any consideration whatever for your wishes in the matter."	"I neither claim nor accept your gratitude, mr Walcott," Kate replied, with cool dignity, "since I did it simply out of regard for Duke's welfare and not out of any consideration whatever for your wishes in the matter."	true	201.8	215.17	19
4856_12103_000014_000000	"I might have known as much," said Walcott, with a mock sigh of resignation, settling back comfortably among the pillows on the divan and fixing his eyes on Kate's face; "I might have known that consideration for any wish of mine could never by any chance be assigned as the motive for an act of yours."	"I might have known as much," said Walcott, with a mock sigh of resignation, settling back comfortably among the pillows on the divan and fixing his eyes on Kate's face; "I might have known that consideration for any wish of mine could never by any chance be assigned as the motive for an act of yours."	false	216.35	236.38	19
4856_12103_000015_000000	Kate made no reply, but the lines about her mouth deepened.	Kate made no reply, but the lines about her mouth deepened.	true	237.53	241.57	24.718327
4856_12103_000015_000001	For a moment he watched her silently; then he continued slowly, in low, nonchalant tones:	For a moment he watched her silently; then he continued slowly, in low, nonchalant tones:	true	241.97	249.31	20.65778
4856_12103_000016_000000	"I am positive that when I at last gain your consent to marry me,"--he paused an instant to note the effect of his words, but there was not the quiver of an eyelash on her part,--"even then, you will have the audacity to tell me that you gave it for any other reason under heaven than consideration for me or my wishes."	"I am positive that when I at last gain your consent to marry me,"--he paused an instant to note the effect of his words, but there was not the quiver of an eyelash on her part,--"even then, you will have the audacity to tell me that you gave it for any other reason under heaven than consideration for me or my wishes."	false	250.28	271.57	20.49735
4856_12103_000017_000000	"Mr. Walcott," said Kate, facing him with sudden hauteur of tone and manner, "you are correct.	"mr Walcott," said Kate, facing him with sudden hauteur of tone and manner, "you are correct.	true	272.21	278.95	24.709076
4856_12103_000017_000001	If ever I consent to marry you I can tell you now as well as then my reason for doing so: it will be simply and solely for my dear father's sake, for the love I bear him, out of consideration for his wishes, and with no more thought of you than if you did not exist."	If ever I consent to marry you I can tell you now as well as then my reason for doing so: it will be simply and solely for my dear father's sake, for the love I bear him, out of consideration for his wishes, and with no more thought of you than if you did not exist."	true	278.99	297.88	20.951971
4856_12103_000018_000000	Conflicting emotions filled Walcott's breast at these words, but he preserved a calm, smiling exterior.	Conflicting emotions filled Walcott's breast at these words, but he preserved a calm, smiling exterior.	true	298.82	305.68	19.395464
4856_12103_000018_000001	He could not but admire Kate's spirit; at the same time the thought flashed through his mind that this apparent slip of a girl might prove rather difficult to "tame;" but he reflected that the more difficult, the keener would be his enjoyment of the final victory.	He could not but admire Kate's spirit; at the same time the thought flashed through his mind that this apparent slip of a girl might prove rather difficult to "tame;" but he reflected that the more difficult, the keener would be his enjoyment of the final victory.	false	305.78	322.57	23.953785
4856_12103_000019_000000	"A novel situation, surely!" he commented, with a low, musical laugh; "decidedly unique!"	"A novel situation, surely!" he commented, with a low, musical laugh; "decidedly unique!"	true	323.24	330.1	19.958256
4856_12103_000020_000000	"But, my dear Miss Underwood," he continued, a moment later, "if your love for your father and regard for his wishes are to constitute your sole reasons for consenting to become my wife, why need you withhold that consent longer?	"But, my dear Miss Underwood," he continued, a moment later, "if your love for your father and regard for his wishes are to constitute your sole reasons for consenting to become my wife, why need you withhold that consent longer?	false	331.19	345.7	20.586164
4856_12103_000020_000001	I am sure his wishes in the matter will remain unchanged, as will also your love for him; why then should our marriage be further delayed?"	I am sure his wishes in the matter will remain unchanged, as will also your love for him; why then should our marriage be further delayed?"	true	346.01	355.06	19.362446
4856_12103_000021_000000	"After what I have just told you, Mr. Walcott, do you still ask me to be your wife?" Kate demanded, indignantly.	"After what I have just told you, mr Walcott, do you still ask me to be your wife?" Kate demanded, indignantly.	true	355.64	363.25	23
4856_12103_000022_000000	"I do, Miss Underwood; and, pardon me, I feel that you have trifled with me long enough; I must have your answer."	"I do, Miss Underwood; and, pardon me, I feel that you have trifled with me long enough; I must have your answer."	true	363.89	371.02	19.787716
4856_12103_000023_000000	She rose, drawing herself proudly to her full height.	She rose, drawing herself proudly to her full height.	true	371.99	375.64	23.093664
4856_12103_000024_000000	"Take me to my father," she said, imperiously.	"Take me to my father," she said, imperiously.	true	375.98	379.48	22.07379
4856_12103_000025_000000	Walcott offered his arm, which she refused with a gesture of scorn, and they proceeded to the adjoining room, where Mr. Underwood and his sister were seated together before the fire.	Walcott offered his arm, which she refused with a gesture of scorn, and they proceeded to the adjoining room, where mr Underwood and his sister were seated together before the fire.	true	380.24	391.27	18
4856_12103_000025_000001	As Kate advanced towards her father both looked up simultaneously, and each read in her white face and proud bearing that a crisis was at hand.	As Kate advanced towards her father both looked up simultaneously, and each read in her white face and proud bearing that a crisis was at hand.	false	392.51	403.08	23.224897
4856_12103_000025_000002	Mrs. Dean at once arose and noiselessly withdrew from the room.	mrs Dean at once arose and noiselessly withdrew from the room.	true	403.08	407.59	11
4856_12103_000026_000000	Walcott paused at a little distance from Mr. Underwood, assuming a graceful attitude as he leaned languidly over the large chair just vacated by Mrs. Dean, but Kate did not stop till she reached her father's side, where she bowed coldly to Walcott to proceed with what he had to say.	Walcott paused at a little distance from mr Underwood, assuming a graceful attitude as he leaned languidly over the large chair just vacated by mrs Dean, but Kate did not stop till she reached her father's side, where she bowed coldly to Walcott to proceed with what he had to say.	false	408.56	428.76	20.882399
4856_12103_000027_000000	"Some time ago, Mr. Underwood," he began, smoothly and easily, "I asked you for your daughter's hand in marriage, and you honored me with your consent.	"Some time ago, mr Underwood," he began, smoothly and easily, "I asked you for your daughter's hand in marriage, and you honored me with your consent.	true	428.76	437.89	20.384413
4856_12103_000027_000001	Since that time I have paid my addresses to Miss Underwood in so marked a manner as to leave her no room for doubt or misunderstanding regarding my intentions, although, finding that she was not inclined to look upon me with favor, I have hitherto refrained from pressing my suit.	Since that time I have paid my addresses to Miss Underwood in so marked a manner as to leave her no room for doubt or misunderstanding regarding my intentions, although, finding that she was not inclined to look upon me with favor, I have hitherto refrained from pressing my suit.	false	438.47	455.74	21
4856_12103_000027_000002	Feeling now that I have given her abundance of time I have this evening asked her to become my wife, and insisted that I was entitled to a decision.	Feeling now that I have given her abundance of time I have this evening asked her to become my wife, and insisted that I was entitled to a decision.	true	456.56	465.97	23
4856_12103_000027_000003	Instead, however, of giving me a direct answer, she has suggested that we refer the matter to yourself."	Instead, however, of giving me a direct answer, she has suggested that we refer the matter to yourself."	true	466.55	473.44	18.756664
4856_12103_000028_000000	"How is this, Kate?" her father asked, not unkindly; "I supposed you and I had settled this matter long ago."	"How is this, Kate?" her father asked, not unkindly; "I supposed you and I had settled this matter long ago."	true	474.41	481.9	20.081005
4856_12103_000029_000000	Her voice was clear, her tones unfaltering, as she replied: "Before giving my answer I wanted to ask you, papa, for the last time, whether, knowing the circumstances as you do and how I regard Mr. Walcott, it is still your wish that I marry him?"	Her voice was clear, her tones unfaltering, as she replied: "Before giving my answer I wanted to ask you, papa, for the last time, whether, knowing the circumstances as you do and how I regard mr Walcott, it is still your wish that I marry him?"	true	483.26	499.42	23
4856_12103_000030_000000	"It is; and I expect my child to be governed by my wishes in this matter rather than by her own feelings."	"It is; and I expect my child to be governed by my wishes in this matter rather than by her own feelings."	true	500	507.55	20.191267
4856_12103_000031_000000	"Have I ever gone contrary to your wishes, papa, or disobeyed you?"	"Have I ever gone contrary to your wishes, papa, or disobeyed you?"	true	508.1	511.84	17
4856_12103_000032_000000	"No, my child, no!"	"No, my child, no!"	true	511.85	513.55	21.511631
4856_12103_000033_000000	"Then I shall not attempt it at this late day.	"Then I shall not attempt it at this late day.	true	514.7	517.27	22
4856_12103_000033_000001	I only wanted to be sure that this was still your wish."	I only wanted to be sure that this was still your wish."	true	517.28	520.63	19.442282
4856_12103_000034_000000	"I desire it above all things," said Mr. Underwood, delighted to find Kate so ready to accede to his wishes, rising and taking her hand in his; "and the day that I see my little girl settled in the home which she will receive as a wedding-gift from her old father will be the proudest and happiest day of my life."	"I desire it above all things," said mr Underwood, delighted to find Kate so ready to accede to his wishes, rising and taking her hand in his; "and the day that I see my little girl settled in the home which she will receive as a wedding gift from her old father will be the proudest and happiest day of my life."	true	521.09	541	19.740513
4856_12103_000035_000000	Kate smiled sadly.	Kate smiled sadly.	true	542	543.82	23
4856_12103_000035_000001	"No home can ever seem to me like The Pines, papa, but I appreciate your kindness, and I want you to know that I am taking this step solely for your happiness."	"No home can ever seem to me like The Pines, papa, but I appreciate your kindness, and I want you to know that I am taking this step solely for your happiness."	true	544.04	554.17	25.10001
4856_12103_000036_000000	She then turned, facing Walcott, who advanced slightly, while Mr. Underwood made a movement as though to place her hand in his.	She then turned, facing Walcott, who advanced slightly, while mr Underwood made a movement as though to place her hand in his.	true	555.17	563.29	20.508577
4856_12103_000037_000000	"Not yet, papa," she said, gently; then, addressing Walcott, she continued:	"Not yet, papa," she said, gently; then, addressing Walcott, she continued:	true	563.69	570.22	25.590887
4856_12103_000038_000000	"Mr. Walcott, this must be my answer, since you insist upon having one: Out of love for him who has been both father and mother to me, out of reverence for his gray hairs frosted by the sorrows of earlier years, out of regard for his wishes, which have always been my law,--for his sake only,--I consent to become your wife upon one condition."	"mr Walcott, this must be my answer, since you insist upon having one: Out of love for him who has been both father and mother to me, out of reverence for his gray hairs frosted by the sorrows of earlier years, out of regard for his wishes, which have always been my law,--for his sake only,--I consent to become your wife upon one condition."	false	570.8	596.35	21.858812
4856_12103_000039_000000	"Name it," Walcott replied.	"Name it," Walcott replied.	true	597.02	599.26	19.518547
4856_12103_000040_000000	"There can be no love between us, either in our engagement or our marriage, for, as I have told you, I can never love you, and you yourself are incapable of love in its best sense; you have not even the slightest knowledge of what it is.	"There can be no love between us, either in our engagement or our marriage, for, as I have told you, I can never love you, and you yourself are incapable of love in its best sense; you have not even the slightest knowledge of what it is.	true	600.14	615.58	21.337444
4856_12103_000040_000001	For this reason any token of love between us would be only a mockery, a farce, and true wedded love is something too holy, too sacred, to be travestied in any such manner.	For this reason any token of love between us would be only a mockery, a farce, and true wedded love is something too holy, too sacred, to be travestied in any such manner.	true	616.28	627.79	23.045036
4856_12103_000040_000002	I consent to our marriage, therefore, only upon this condition: that we henceforth treat each other simply with kindness and courtesy; that no expressions of affection or endearment are to be used by either of us to the other, and that no word or sign of love ever pass between us."	I consent to our marriage, therefore, only upon this condition: that we henceforth treat each other simply with kindness and courtesy; that no expressions of affection or endearment are to be used by either of us to the other, and that no word or sign of love ever pass between us."	false	628.4	647.71	23.599655
4856_12103_000041_000000	"Kate," interposed her father, sternly, "this is preposterous!	"Kate," interposed her father, sternly, "this is preposterous!	true	649.22	653.35	23.612623
4856_12103_000041_000001	I cannot allow such absurdity;" but Walcott silenced him with a deprecatory wave of his hand, and, taking Kate's hand in his, replied, with smiling indifference,--	I cannot allow such absurdity;" but Walcott silenced him with a deprecatory wave of his hand, and, taking Kate's hand in his, replied, with smiling indifference,--	true	653.48	664.87	20.122993
4856_12103_000042_000000	"I accept the condition imposed by Miss Underwood, since it is no more unique than the entire situation, and I congratulate her upon her decided originality.	"I accept the condition imposed by Miss Underwood, since it is no more unique than the entire situation, and I congratulate her upon her decided originality.	true	665.36	676.12	19
4856_12103_000042_000001	I suppose," he added, addressing Kate, at the same time producing a superb diamond ring, "you will not object to wearing this?"	I suppose," he added, addressing Kate, at the same time producing a superb diamond ring, "you will not object to wearing this?"	true	677.27	686.08	21.619955
4856_12103_000043_000000	"I yield that much to conventionality," she replied, allowing him to place it on her finger; "there is no need to advertise the situation publicly; besides, it is a fitting symbol of my future fetters."	"I yield that much to conventionality," she replied, allowing him to place it on her finger; "there is no need to advertise the situation publicly; besides, it is a fitting symbol of my future fetters."	false	687.59	702.1	18.028013
4856_12103_000044_000000	"Conventionality, I believe, would require that it be placed on your hand with a kiss and some appropriate bit of sentiment, but since that sort of thing is tabooed between us, we will have to dispense with that part of the ceremony."	"Conventionality, I believe, would require that it be placed on your hand with a kiss and some appropriate bit of sentiment, but since that sort of thing is tabooed between us, we will have to dispense with that part of the ceremony."	true	703.28	718.3	21.438803
4856_12103_000045_000000	Then turning to Mr. Underwood, who stood looking on frowningly, somewhat troubled by the turn matters had taken, Walcott added, playfully,--	Then turning to mr Underwood, who stood looking on frowningly, somewhat troubled by the turn matters had taken, Walcott added, playfully,--	true	718.91	728.11	20.506128
4856_12103_000046_000000	"According to the usual custom, I believe the next thing on the programme is for you to embrace us and give us a father's blessing, but my lady might not approve of anything so commonplace."	"According to the usual custom, I believe the next thing on the programme is for you to embrace us and give us a father's blessing, but my lady might not approve of anything so commonplace."	false	728.75	739.57	19
4856_12103_000047_000000	Before her father could reply Kate spoke for him, glancing at him with an affectionate smile:	Before her father could reply Kate spoke for him, glancing at him with an affectionate smile:	true	740.63	747.07	19.870953
4856_12103_000048_000000	"Papa is not one of the demonstrative sort, and he and I need no demonstration of our love for each other; do we, dear?"	"Papa is not one of the demonstrative sort, and he and I need no demonstration of our love for each other; do we, dear?"	true	748.01	754.9	19
4856_12103_000049_000000	"No, child, we understand each other," said her father, reseating himself, with Kate in her accustomed place on the arm of his chair, while Walcott took the large chair on the other side of the fire; "and you neither of you need any assurance of my good wishes or good intentions towards you; but," he continued, doubtfully, shaking his head, "I don't quite like the way you've gone about this business, Puss."	"No, child, we understand each other," said her father, reseating himself, with Kate in her accustomed place on the arm of his chair, while Walcott took the large chair on the other side of the fire; "and you neither of you need any assurance of my good wishes or good intentions towards you; but," he continued, doubtfully, shaking his head, "I don't quite like the way you've gone about this business, Puss."	false	755.39	783.22	21.8835
4856_12103_000050_000000	"It was the only way for me, papa," Kate answered, gravely and decidedly.	"It was the only way for me, papa," Kate answered, gravely and decidedly.	true	784.67	790.36	22.244688
4856_12103_000051_000000	"I admit," said Walcott, "it will be quite a departure from the mode of procedure ordinarily laid down for newly engaged and newly wedded couples; but really, come to think it over, I am inclined to think that Miss Underwood's proposition will save us an immense amount of boredom which is the usual concomitant of engagements and honeymoons.	"I admit," said Walcott, "it will be quite a departure from the mode of procedure ordinarily laid down for newly engaged and newly wedded couples; but really, come to think it over, I am inclined to think that Miss Underwood's proposition will save us an immense amount of boredom which is the usual concomitant of engagements and honeymoons.	true	791.12	812.44	19.994928
4856_12103_000051_000001	That sort of thing, you know," he added, his lip curling just perceptibly, "is apt to get a little monotonous after a while."	That sort of thing, you know," he added, his lip curling just perceptibly, "is apt to get a little monotonous after a while."	true	812.78	821.35	22.039808
4856_12103_000052_000000	Kate, watching him from under level brows, saw the slight sneer and inwardly rejoiced at the stand she had taken.	Kate, watching him from under level brows, saw the slight sneer and inwardly rejoiced at the stand she had taken.	true	822.65	830.26	18.672495
4856_12103_000053_000000	"Well," said Mr. Underwood, resignedly, "fix it up between you any way to suit yourselves; but for heaven's sake, don't do anything to cause comment or remarks!"	"Well," said mr Underwood, resignedly, "fix it up between you any way to suit yourselves; but for heaven's sake, don't do anything to cause comment or remarks!"	true	831.53	843.16	22.468916
4856_12103_000054_000000	"Papa, you can depend on me not to make myself conspicuous in any way," Kate replied, with dignity.	"Papa, you can depend on me not to make myself conspicuous in any way," Kate replied, with dignity.	true	843.95	850.35	22
4856_12103_000054_000001	"What I have said to-night was said simply to let you and Mr. Walcott know just where I stand, and just what you may, and may not, expect of me; but this is only between us three, and you can rest assured that I shall never wear my heart upon my sleeve or take the public into my confidence regarding my home life."	"What I have said to night was said simply to let you and mr Walcott know just where I stand, and just what you may, and may not, expect of me; but this is only between us three, and you can rest assured that I shall never wear my heart upon my sleeve or take the public into my confidence regarding my home life."	false	850.35	872.14	23.080774
4856_12103_000055_000000	"I think myself you need have no fear on that score, Mr. Underwood," Walcott remarked, with a smile of amusement; "I believe Miss Underwood is entirely capable of carrying out to perfection any role she may assume, and if she chooses to take the part of leading lady in the little comedy of 'The Model Husband and Wife, I shall be only too delighted to render her any assistance within my power."	"I think myself you need have no fear on that score, mr Underwood," Walcott remarked, with a smile of amusement; "I believe Miss Underwood is entirely capable of carrying out to perfection any role she may assume, and if she chooses to take the part of leading lady in the little comedy of 'The Model Husband and Wife, I shall be only too delighted to render her any assistance within my power."	true	873.05	899.11	20.403267
4856_12103_000056_000000	As Walcott bade Kate good-night at a late hour he inquired, "What do you think of the little comedy I suggested to-night for our future line of action?	As Walcott bade Kate good night at a late hour he inquired, "What do you think of the little comedy I suggested to night for our future line of action?	true	900.2	910.45	21.677197
4856_12103_000056_000001	Does it meet with your approval?"	Does it meet with your approval?"	true	910.79	912.73	22.5849
4856_12103_000057_000000	She was quick to catch the significance of the question, and, looking him straight in the eyes, she replied, calmly,--	She was quick to catch the significance of the question, and, looking him straight in the eyes, she replied, calmly,--	true	913.58	920.68	24.59324
4856_12103_000058_000000	"It will answer as well as any, I suppose; but it has in it more of the elements of tragedy than of comedy."	"It will answer as well as any, I suppose; but it has in it more of the elements of tragedy than of comedy."	false	921.32	938.88	19.08359
