7241_90852_000000_000000	THE MARVELOUS DOG AND THE WONDERFUL CAT	THE MARVELOUS DOG AND THE WONDERFUL CAT	false	1.98	7.26	21.828112
7241_90852_000007_000002	The little dog barked merrily out of pure high spirits, whilst the kitten leaped and struck with its tiny paws at the passing white butterflies.	The little dog barked merrily out of pure high spirits, whilst the kitten leaped and struck with its tiny paws at the passing white butterflies.	true	175.125	182.775	18
7241_90852_000008_000000	As the old enchanter approached the countryman, he happened to hear him say to the animals,--	As the old enchanter approached the countryman, he happened to hear him say to the animals,--	true	182.775	187.45	15
7241_90852_000009_000000	"Alas, my poor innocents, what a pity that I should have to abandon you!"	"Alas, my poor innocents, what a pity that I should have to abandon you!"	true	187.91	192.4	15
7241_90852_000010_000000	"What's that?" said the enchanter, halting the countryman.	"What's that?" said the enchanter, halting the countryman.	true	193.01	196.09	19.635677
7241_90852_000010_000001	"You intend to abandon these helpless creatures?"	"You intend to abandon these helpless creatures?"	true	196.13	199.45	18
7241_90852_000011_000000	"Alas, I must," replied the countryman, pulling a large blue bandanna handkerchief from his pocket and applying it to the corners of his eyes. "We are too poor to be able to feed them, and my children love them so well that I cannot find it in my heart to do them harm.	"Alas, I must," replied the countryman, pulling a large blue bandanna handkerchief from his pocket and applying it to the corners of his eyes. "We are too poor to be able to feed them, and my children love them so well that I cannot find it in my heart to do them harm.	false	199.85	214.59	13
7241_90852_000011_000001	I am taking them into these woods to abandon them, in the hope that, like the wild animals, they will soon learn to shift for themselves."	I am taking them into these woods to abandon them, in the hope that, like the wild animals, they will soon learn to shift for themselves."	true	214.59	221.88	13
7241_90852_000012_000000	"Give them to me," said the old enchanter, "I will bring them up." The countryman nodded his head.	"Give them to me," said the old enchanter, "I will bring them up." The countryman nodded his head.	true	221.88	227.715	20.873232
7241_90852_000012_000001	"As for you, here is a golden florin.	"As for you, here is a golden florin.	true	227.715	230.07	19
7241_90852_000012_000002	May it bring you better fortune."	May it bring you better fortune."	false	230.07	232.11	23.859715
7241_90852_000013_000000	Thus did the white puppy and black kitten change hands.	Thus did the white puppy and black kitten change hands.	true	232.11	235.75	24.631964
7241_90852_000014_000000	Once he had led the animals safely home, the enchanter resolved to make them the most wonderful animals that had ever been seen in the whole wide world, whether in Fairyland or out of it.	Once he had led the animals safely home, the enchanter resolved to make them the most wonderful animals that had ever been seen in the whole wide world, whether in Fairyland or out of it.	true	235.79	246.49	14
7241_90852_000014_000001	Being an enchanter, he could, of course, do this more easily than other people.	Being an enchanter, he could, of course, do this more easily than other people.	true	246.71	250.99	16
7241_90852_000014_000002	So he taught the cat and the dog all the known languages, then history, arithmetic, dancing, social deportment, and a variety of the best magic and spells. The cat, as was to be expected, was particularly good on anything that had 'cat' in it; he once catalogued all the principal catastrophes; while the dog, although a good student, had a fancy for writing doggerel.	So he taught the cat and the dog all the known languages, then history, arithmetic, dancing, social deportment, and a variety of the best magic and spells. The cat, as was to be expected, was particularly good on anything that had 'cat' in it; he once catalogued all the principal catastrophes; while the dog, although a good student, had a fancy for writing doggerel.	true	251.06	276.03	23.08983
7241_90852_000014_000003	Many and many a time, when the enchanter and his wonderful animals were seated in their armchairs round a blazing fire, talking exactly as any three good friends might talk, a nose would flatten itself against the panes, and the three companions would see looking in at them some stranger whose curiosity had got the better of his manners.	Many and many a time, when the enchanter and his wonderful animals were seated in their armchairs round a blazing fire, talking exactly as any three good friends might talk, a nose would flatten itself against the panes, and the three companions would see looking in at them some stranger whose curiosity had got the better of his manners.	true	276.03	296.23	17
7241_90852_000015_000000	The dog, I may say, had grown up to be a fine fellow of the short-haired, white bull terrier family; the cat had grown to be as aristocratic as a panther.	The dog, I may say, had grown up to be a fine fellow of the short haired, white bull terrier family; the cat had grown to be as aristocratic as a panther.	true	296.81	305.625	16
7241_90852_000015_000001	When their education was complete, the animals came to their teacher and begged him to let them go away and see the world.	When their education was complete, the animals came to their teacher and begged him to let them go away and see the world.	true	305.625	313.03	18
7241_90852_000015_000002	For a long time the enchanter, who loved his charges very much indeed, resisted their request; but as they continued to press him, he came at length to yield.	For a long time the enchanter, who loved his charges very much indeed, resisted their request; but as they continued to press him, he came at length to yield.	true	313.04	323.65	20.981655
7241_90852_000015_000003	Calling them before him, he said to them:--	Calling them before him, he said to them:--	true	323.75	325.93	20.356672
7241_90852_000016_000000	"Well, dear pupils, if you must go, you must go.	"Well, dear pupils, if you must go, you must go.	true	326.21	329.76	22.285881
7241_90852_000016_000001	I owe the Fairy Jocapa twelve months rent for this house.	I owe the Fairy Jocapa twelve months rent for this house.	true	329.76	333.045	20
7241_90852_000016_000002	She is now living with her nephew, the King of the Land of the Runaway Rivers.	She is now living with her nephew, the King of the Land of the Runaway Rivers.	true	333.045	337.3	15.891113
7241_90852_000016_000003	You shall take twelve golden florins to her.	You shall take twelve golden florins to her.	false	337.37	340.92	18.639982
7241_90852_000016_000004	Your route will take you over all the kingdoms of the whole wide world."	Your route will take you over all the kingdoms of the whole wide world."	false	340.92	345.49	16
7241_90852_000017_000000	So the white dog, who was the stronger of the two, took the purse with the twelve golden coins, and put it in a large wallet which he wore at his side, and then both the wonderful animals said good-bye.	So the white dog, who was the stronger of the two, took the purse with the twelve golden coins, and put it in a large wallet which he wore at his side, and then both the wonderful animals said good bye.	true	345.65	356.62	20
7241_90852_000017_000001	At the corner of the lane they turned again to look for the last time at their dwelling, and saw their old master still waving at them from the little window over the door.	At the corner of the lane they turned again to look for the last time at their dwelling, and saw their old master still waving at them from the little window over the door.	true	356.9	366.04	16
7241_90852_000017_000002	Then they fared over the hills and far away.	Then they fared over the hills and far away.	true	366.26	369.105	16
7241_90852_000018_000000	So wise, so well-bred and good-tempered were these wonderful animals, that their journey across the world was a great success from the beginning.	So wise, so well bred and good tempered were these wonderful animals, that their journey across the world was a great success from the beginning.	true	369.105	377.38	12
7241_90852_000018_000001	Their fame spread from kingdom to kingdom like wild-fire.	Their fame spread from kingdom to kingdom like wild fire.	true	377.48	381.37	16
7241_90852_000018_000002	The universities, colleges, and other learned societies fought with each other for the privilege of entertaining these distinguished students.	The universities, colleges, and other learned societies fought with each other for the privilege of entertaining these distinguished students.	true	381.38	389.05	12
7241_90852_000018_000003	To this very day, the address which the cat made on catapults and cataplasms, before the professors of the University of Sagessa, is remembered as one of the great events of the time; while the dog's address on dogma before the assembled scholars of the Royal Academy of Fairyland was printed in a special book bound in gold leaf and walpus leather.	To this very day, the address which the cat made on catapults and cataplasms, before the professors of the University of Sagessa, is remembered as one of the great events of the time; while the dog's address on dogma before the assembled scholars of the Royal Academy of Fairyland was printed in a special book bound in gold leaf and walpus leather.	true	389.21	410.44	16
7241_90852_000018_000004	Both the cat and the dog were awarded countless honorary decorations.	Both the cat and the dog were awarded countless honorary decorations.	true	410.78	415.63	20.911911
7241_90852_000019_000000	And so, little by little, they came to a hilly land in which all the streams raced pell-mell to the sea, and there they knew themselves to be in the Kingdom of the Runaway Rivers.	And so, little by little, they came to a hilly land in which all the streams raced pell mell to the sea, and there they knew themselves to be in the Kingdom of the Runaway Rivers.	true	415.91	426.52	17
7241_90852_000019_000001	A three days' journey brought them to the royal castle.	A three days' journey brought them to the royal castle.	true	426.74	429.82	19.628159
7241_90852_000019_000002	Arriving in the twilight, they were somewhat surprised to find a number of torchbearers waiting for them in the castle courtyard.	Arriving in the twilight, they were somewhat surprised to find a number of torchbearers waiting for them in the castle courtyard.	true	429.89	437.35	23
7241_90852_000019_000003	With great respect, these attendants conducted the cat and the dog into a little ante-room, and then retired, leaving them alone.	With great respect, these attendants conducted the cat and the dog into a little ante room, and then retired, leaving them alone.	true	437.48	445.03	20
7241_90852_000019_000004	A few minutes later, a very old woman, who, the animals noticed, was stone-blind, came to take them before the king.	A few minutes later, a very old woman, who, the animals noticed, was stone blind, came to take them before the king.	true	445.13	452.65	20.58928
7241_90852_000020_000000	"How strange!" whispered the cat in its rather meouw-y voice.	"How strange!" whispered the cat in its rather m e o u w y voice.	false	453.38	457.9	15
7241_90852_000021_000000	"Very," whispered back the dog in his deeper tone.	"Very," whispered back the dog in his deeper tone.	true	458.6	462.405	23.19554
7241_90852_000022_000000	Having opened, one after the other, three great doors with three different iron keys, the old woman, guiding herself by touching the wall with her hand, led the animals into a long dark corridor.	Having opened, one after the other, three great doors with three different iron keys, the old woman, guiding herself by touching the wall with her hand, led the animals into a long dark corridor.	true	462.405	474.85	16
7241_90852_000022_000001	The cat, who could see quite well in the dark, did not mind this, but the dog was not particularly pleased.	The cat, who could see quite well in the dark, did not mind this, but the dog was not particularly pleased.	true	474.98	481.39	22.360832
7241_90852_000022_000002	The echoes of the old woman's boots went rolling along in the hollow darkness; the dog could hear his heart beat, and saw his black companion's eyes glowing like pools of flame.	The echoes of the old woman's boots went rolling along in the hollow darkness; the dog could hear his heart beat, and saw his black companion's eyes glowing like pools of flame.	true	481.46	493.09	19.711988
7241_90852_000022_000003	Then, to their mutual relief, the animals saw a point of light appearing far down the passage, and on reaching this, they discovered a second blind old woman holding a torch.	Then, to their mutual relief, the animals saw a point of light appearing far down the passage, and on reaching this, they discovered a second blind old woman holding a torch.	true	493.76	503.65	15
7241_90852_000022_000004	The first old woman beckoned them to follow this new guide, and disappeared again into the dark corridors by which they had arrived.	The first old woman beckoned them to follow this new guide, and disappeared again into the dark corridors by which they had arrived.	false	503.84	512.26	21.386566
7241_90852_000023_000000	The second old woman, lifting high the torch, first led her charges through three more great doors, all of which she carefully locked behind her.	The second old woman, lifting high the torch, first led her charges through three more great doors, all of which she carefully locked behind her.	true	513.26	521.92	18
7241_90852_000023_000001	Soon the animals found themselves at the top of a winding stair whose end was lost in darkness.	Soon the animals found themselves at the top of a winding stair whose end was lost in darkness.	true	521.93	528.25	15
7241_90852_000023_000002	Down this stair they went, turning, ever turning, down and round, down and round, till both cat and dog felt dizzily that they must have reached the heart of the earth.	Down this stair they went, turning, ever turning, down and round, down and round, till both cat and dog felt dizzily that they must have reached the heart of the earth.	true	528.74	539.98	19.601479
7241_90852_000023_000003	Then, little by little, a pin-point of light began to glow brighter and brighter, and the animals found themselves at the foot of the stairs and opposite a little door.	Then, little by little, a pin point of light began to glow brighter and brighter, and the animals found themselves at the foot of the stairs and opposite a little door.	true	540.41	549.79	17
7241_90852_000023_000004	And there, by this door, stood another blind old woman, who held a torch and beckoned to the animals to follow.	And there, by this door, stood another blind old woman, who held a torch and beckoned to the animals to follow.	false	549.8	556.42	15
7241_90852_000024_000000	Three more doors they passed, the last one opening on a very narrow, winding passage.	Three more doors they passed, the last one opening on a very narrow, winding passage.	true	557.33	563.29	18
7241_90852_000024_000001	In and out they turned, walking one behind the other, for a time that seemed very, very long.	In and out they turned, walking one behind the other, for a time that seemed very, very long.	true	563.69	570.6	18
7241_90852_000024_000002	Suddenly a narrow door appeared in the winding wall, which opened inward as they drew near, revealing a beautiful round chamber richly furnished and hung with the finest tapestries.	Suddenly a narrow door appeared in the winding wall, which opened inward as they drew near, revealing a beautiful round chamber richly furnished and hung with the finest tapestries.	true	570.6	580.96	13
7241_90852_000024_000003	Beside the fireplace, in which a wood-fire was cheerily burning, sat a gray-haired lady, who was no other than the Fairy Jocapa, and in the centre of the room, reading a great book by the light of many candles, sat a young man, the King.	Beside the fireplace, in which a wood fire was cheerily burning, sat a gray haired lady, who was no other than the Fairy Jocapa, and in the centre of the room, reading a great book by the light of many candles, sat a young man, the King.	true	581.45	597.76	20.586437
7241_90852_000025_000000	In spite of the enchanter's careful training in manners, the cat and the dog, I am sorry to say, almost stared for an instant at the King.	In spite of the enchanter's careful training in manners, the cat and the dog, I am sorry to say, almost stared for an instant at the King.	true	597.98	606.555	18
7241_90852_000025_000001	Small wonder that they did so, for the unfortunate young man lay under a horrid spell, and his face and hands were not pink or white or sun-brown, like yours or mine, but bright green, like a parrot's wing!	Small wonder that they did so, for the unfortunate young man lay under a horrid spell, and his face and hands were not pink or white or sun brown, like yours or mine, but bright green, like a parrot's wing!	true	606.555	621.34	17
7241_90852_000026_000000	"Welcome, O wonderful animals," said the enchanted King.	"Welcome, O wonderful animals," said the enchanted King.	false	621.44	625.3	19
7241_90852_000026_000001	"Your fame has gone before you into every land, and it is said that there is no question you cannot answer.	"Your fame has gone before you into every land, and it is said that there is no question you cannot answer.	true	625.55	632.23	13
7241_90852_000026_000002	Listen, then, to my story and help me if you can.	Listen, then, to my story and help me if you can.	true	632.24	635.86	23
7241_90852_000027_000000	"You see me before you, hideously changed.	"You see me before you, hideously changed.	true	635.99	639.405	19.78117
7241_90852_000027_000001	Until you entered here, an instant past, no eyes but those of my aunt had beheld my horrible countenance.	Until you entered here, an instant past, no eyes but those of my aunt had beheld my horrible countenance.	true	639.405	646.33	18.793034
7241_90852_000027_000002	It was she who caused this enchanted chamber to appear in the heart of the foundations of my castle; and in this chamber I have hidden since that terrible hour when the spell was put upon me.	It was she who caused this enchanted chamber to appear in the heart of the foundations of my castle; and in this chamber I have hidden since that terrible hour when the spell was put upon me.	true	646.4	657.52	20
7241_90852_000027_000003	My subjects only know that I am still alive.	My subjects only know that I am still alive.	true	657.71	660.6	18.232151
7241_90852_000027_000004	The Lord Chancellor rules the kingdom in my stead.	The Lord Chancellor rules the kingdom in my stead.	true	660.6	663.85	21.062643
7241_90852_000027_000005	But hearken to my story.	But hearken to my story.	true	663.89	665.68	27.442305
7241_90852_000028_000000	"Ten months ago, as I was driving my chariot down a narrow road built along a river-bank close to the stream, I encountered a chariot being driven furiously in the opposite direction.	"Ten months ago, as I was driving my chariot down a narrow road built along a river bank close to the stream, I encountered a chariot being driven furiously in the opposite direction.	true	665.93	677.17	16
7241_90852_000028_000001	The driver of the chariot was a tall, elderly man, wearing a wizard's cap; his face was red as with anger, an evil light gleamed in his small malicious eyes.	The driver of the chariot was a tall, elderly man, wearing a wizard's cap; his face was red as with anger, an evil light gleamed in his small malicious eyes.	true	677.33	688.03	20.889069
7241_90852_000028_000002	In order to let him pass, I turned to one side, as near to the river-brink as I dared; but the space was too narrow, our chariots locked wheels, and his was overthrown.	In order to let him pass, I turned to one side, as near to the river brink as I dared; but the space was too narrow, our chariots locked wheels, and his was overthrown.	false	688.19	697.96	17
7241_90852_000028_000003	Turning upon me a face aflame with hatred, he cried out, 'I will teach you what it is to offend the Enchanter Zidoc'; and an instant later the wizard himself, the struggling horses, and the overturned chariot disappeared in a rumble of thunder and a great flash of flame.	Turning upon me a face aflame with hatred, he cried out, 'I will teach you what it is to offend the Enchanter Zidoc'; and an instant later the wizard himself, the struggling horses, and the overturned chariot disappeared in a rumble of thunder and a great flash of flame.	true	698.3	716.23	16
7241_90852_000028_000004	I turned homeward, never noticing that anything had happened to me.	I turned homeward, never noticing that anything had happened to me.	true	716.72	720.43	18
7241_90852_000028_000005	As I chanced to pass a roadside cottage, a little child playing about saw me and ran, screaming for fear, to the door.	As I chanced to pass a roadside cottage, a little child playing about saw me and ran, screaming for fear, to the door.	true	720.8	728.68	18
7241_90852_000028_000006	A little farther on, I stopped to drink of a spring.	A little farther on, I stopped to drink of a spring.	true	728.69	732.16	19.73601
7241_90852_000028_000007	Judge of my horror when I leaned over the clear pool of water and saw that my face had turned a bright green!	Judge of my horror when I leaned over the clear pool of water and saw that my face had turned a bright green!	true	732.56	739.87	13
7241_90852_000028_000008	I waited till nightfall, stole into the castle unobserved, and sought the aid of my aunt, the fairy.	I waited till nightfall, stole into the castle unobserved, and sought the aid of my aunt, the fairy.	true	741.35	747.25	15
7241_90852_000028_000009	You know the rest.	You know the rest.	true	747.44	748.75	20.760246
7241_90852_000028_000010	Speak, O wonderful dog and wonderful cat, and bid me hope a little!"	Speak, O wonderful dog and wonderful cat, and bid me hope a little!"	false	748.79	753.4	21
7241_90852_000029_000000	And the poor King hid his bright green face in his hands.	And the poor King hid his bright green face in his hands.	true	754.01	758.02	19.875137
7241_90852_000030_000000	"The Enchanter Zidoc is an old enemy of our dear master," said the white dog, "and his power as a sorcerer is the greatest in Fairyland!'	"The Enchanter Zidoc is an old enemy of our dear master," said the white dog, "and his power as a sorcerer is the greatest in Fairyland!'	true	759.17	768.64	19
7241_90852_000031_000000	"I have tried all my powers against him in vain," said the Fairy Jocapa, sadly.	"I have tried all my powers against him in vain," said the Fairy Jocapa, sadly.	true	769.52	774.9	11
7241_90852_000032_000000	"But let us not despair," broke in the cat.	"But let us not despair," broke in the cat.	false	774.9	778.605	21.433588
7241_90852_000032_000001	"Zidoc is now to be found in these dominions.	"Zidoc is now to be found in these dominions.	true	778.605	781.755	17
7241_90852_000032_000002	His castle lies on the border of the Silver Hills.	His castle lies on the border of the Silver Hills.	true	781.755	785.055	12
7241_90852_000032_000003	The dog and I will go there, and see if we can help the King."	The dog and I will go there, and see if we can help the King."	true	785.055	788.95	17
7241_90852_000033_000000	So the Fairy and the unhappy King thanked the wise animals, and sent for the blind old women to lead them back to the upper world.	So the Fairy and the unhappy King thanked the wise animals, and sent for the blind old women to lead them back to the upper world.	false	789.5	797.29	14
7241_90852_000033_000001	Early next morning, the famous pair began the journey to the Enchanter's den.	Early next morning, the famous pair began the journey to the Enchanter's den.	true	797.42	801.46	14
7241_90852_000033_000002	The dog's plan was to pretend to be but an everyday stray dog, and to this end, he rolled several times in a mud-puddle; the cat, too, was to appear as a stray cat, and neglected his fine black coat in order to look the part.	The dog's plan was to pretend to be but an everyday stray dog, and to this end, he rolled several times in a mud puddle; the cat, too, was to appear as a stray cat, and neglected his fine black coat in order to look the part.	true	801.56	815.43	20
7241_90852_000034_000000	Unfortunately for their plan, Zidoc had in his chamber a little enchanted bell which rang shrilly when danger threatened him.	Unfortunately for their plan, Zidoc had in his chamber a little enchanted bell which rang shrilly when danger threatened him.	false	815.43	823.87	15
7241_90852_000034_000001	Hearing the bell ring late at night, Zidoc rose from his bed, and hurrying to the turret window, saw, by the light of the waning moon, the dog and the cat making their way to the castle through the wood.	Hearing the bell ring late at night, Zidoc rose from his bed, and hurrying to the turret window, saw, by the light of the waning moon, the dog and the cat making their way to the castle through the wood.	false	824.21	835.15	12
7241_90852_000034_000002	Rubbing his hands with glee, he determined to let the two animals walk headlong into his power, and then inflict upon them some terrible revenge.	Rubbing his hands with glee, he determined to let the two animals walk headlong into his power, and then inflict upon them some terrible revenge.	true	835.22	845.77	18
7241_90852_000035_000000	The first day the dog went indoors, and concealed himself under a sofa, while the cat remained outside.	The first day the dog went indoors, and concealed himself under a sofa, while the cat remained outside.	true	846.65	852.54	16
7241_90852_000035_000001	When twilight came, the dog ran out and met the cat in the castle garden.	When twilight came, the dog ran out and met the cat in the castle garden.	true	852.54	856.66	20
7241_90852_000036_000000	"Did you discover anything?" asked the cat.	"Did you discover anything?" asked the cat.	true	857.27	859.84	15
7241_90852_000037_000000	"Nothing whatever," replied the dog.	"Nothing whatever," replied the dog.	true	859.88	862.515	22.931202
7241_90852_000038_000000	"I will try to-morrow," said the cat.	"I will try to morrow," said the cat.	true	862.515	865.09	20.927124
7241_90852_000039_000000	And so, when the morning came, the dog remained outside while the cat concealed himself behind a curtain.	And so, when the morning came, the dog remained outside while the cat concealed himself behind a curtain.	true	865.1	871	17
7241_90852_000039_000001	When the twilight came, the animals met again.	When the twilight came, the animals met again.	true	871.25	873.48	15
7241_90852_000040_000000	"Did you discover anything?" asked the dog.	"Did you discover anything?" asked the dog.	false	873.48	877.065	20.026148
7241_90852_000041_000000	"Very little," replied the cat.	"Very little," replied the cat.	true	877.065	879.165	23.71644
7241_90852_000041_000001	"The Sorcerer Serponel is coming to-morrow to pay Zidoc a visit.	"The Sorcerer Serponel is coming to morrow to pay Zidoc a visit.	false	879.165	883.81	14
7241_90852_000041_000002	One of us must hide in the room in which they will talk; for perhaps we may learn something which may help us to lift the spell from the King."	One of us must hide in the room in which they will talk; for perhaps we may learn something which may help us to lift the spell from the King."	true	883.91	892	15
7241_90852_000042_000000	"To-morrow it is my turn," said the dog.	"To morrow it is my turn," said the dog.	true	892.7	895.455	18
7241_90852_000042_000001	And so the next morning he stole into the house and hid again beneath the sofa.	And so the next morning he stole into the house and hid again beneath the sofa.	false	895.455	900.25	19
7241_90852_000043_000000	Now Zidoc knew very well where the dog had concealed himself.	Now Zidoc knew very well where the dog had concealed himself.	true	900.26	903.94	20.574581
7241_90852_000043_000001	Moreover, he had summoned the powerful Serponel to his aid in order that the dog and the cat should have no opportunity to escape.	Moreover, he had summoned the powerful Serponel to his aid in order that the dog and the cat should have no opportunity to escape.	true	903.95	912.735	18
7241_90852_000044_000000	When Serponel arrived, both the wicked enchanters went to the room in which the dog lay concealed.	When Serponel arrived, both the wicked enchanters went to the room in which the dog lay concealed.	false	912.735	918.67	17
7241_90852_000044_000001	First, Zidoc locked the only door with a great key and then he said to Serponel,--	First, Zidoc locked the only door with a great key and then he said to Serponel,--	true	918.68	925.18	22.545498
7241_90852_000045_000000	"Brother, someone tells me that there is an enemy hidden under the sofa."	"Brother, someone tells me that there is an enemy hidden under the sofa."	true	925.4	931.74	15
7241_90852_000046_000000	"Yes, brother," replied the dreadful Serponel.	"Yes, brother," replied the dreadful Serponel.	false	931.74	936.94	20
7241_90852_000047_000000	"And something tells me that it is time to let him feel your staff."	"And something tells me that it is time to let him feel your staff."	true	937.28	943.9	21.553753
7241_90852_000048_000000	Now Zidoc had an enchanted staff whose blows were mortal, and knowing this, the poor dog, who was trapped between the wall and the two sorcerers, grew cold with fear to the tip of his white tail.	Now Zidoc had an enchanted staff whose blows were mortal, and knowing this, the poor dog, who was trapped between the wall and the two sorcerers, grew cold with fear to the tip of his white tail.	true	944.06	956.4	16
7241_90852_000048_000001	Just as he was about to make a bolt into the open, Zidoc dragged the sofa swiftly aside, and aimed a terrible blow at him, which by the greatest good luck just missed its mark.	Just as he was about to make a bolt into the open, Zidoc dragged the sofa swiftly aside, and aimed a terrible blow at him, which by the greatest good luck just missed its mark.	true	956.4	967.92	15
7241_90852_000048_000002	He then ran out into the room, pursued by the sorcerers, who little by little forced him toward a corner.	He then ran out into the room, pursued by the sorcerers, who little by little forced him toward a corner.	false	967.92	974.77	19
7241_90852_000049_000000	And now, just as Zidoc, holding the staff uplifted, was about to strike the poor dog with all his force, a black shape, with flaming eyes and paws outstretched to scratch, leaped through the open window and landed upon Zidoc's back.	And now, just as Zidoc, holding the staff uplifted, was about to strike the poor dog with all his force, a black shape, with flaming eyes and paws outstretched to scratch, leaped through the open window and landed upon Zidoc's back.	true	975.26	989.43	16
7241_90852_000049_000001	It was the brave cat, who had heard the fracas from his hiding-place below and had clawed his way up the castle wall to help his friend.	It was the brave cat, who had heard the fracas from his hiding place below and had clawed his way up the castle wall to help his friend.	true	989.43	996.94	16
7241_90852_000049_000002	Valiant Puss, forgetting in one instant, I must admit, all its knowledge of languages, catastrophes, history, social deportment, and agriculture, plunged instantly into the fray, and gave Zidoc a frightful scratch, which so upset him that it caused him to drop his staff, while the dog profiting by the confusion, and forgetting all about geometry, mathematics, agriculture, and dogma, managed to give Serponel a good bite just above the ankle.	Valiant Puss, forgetting in one instant, I must admit, all its knowledge of languages, catastrophes, history, social deportment, and agriculture, plunged instantly into the fray, and gave Zidoc a frightful scratch, which so upset him that it caused him to drop his staff, while the dog profiting by the confusion, and forgetting all about geometry, mathematics, agriculture, and dogma, managed to give Serponel a good bite just above the ankle.	true	997.16	1024.69	18
