1387_130989_000000_000000	PUBLIUS	PUBLIUS	true	5.16	5.46	19
1387_130989_000009_000009	The first war of this kind would probably terminate in a dissolution of the Union.	The first war of this kind would probably terminate in a dissolution of the Union.	true	246.86	252.04	22.084473
1387_130989_000010_000000	This may be considered as the violent death of the Confederacy.	This may be considered as the violent death of the Confederacy.	true	252.71	256.39	25.238346
1387_130989_000010_000001	Its more natural death is what we now seem to be on the point of experiencing, if the federal system be not speedily renovated in a more substantial form. It is not probable, considering the genius of this country, that the complying States would often be inclined to support the authority of the Union by engaging in a war against the non-complying States.	Its more natural death is what we now seem to be on the point of experiencing, if the federal system be not speedily renovated in a more substantial form. It is not probable, considering the genius of this country, that the complying States would often be inclined to support the authority of the Union by engaging in a war against the non complying States.	true	256.94	276.94	22.4037
1387_130989_000010_000002	They would always be more ready to pursue the milder course of putting themselves upon an equal footing with the delinquent members by an imitation of their example.	They would always be more ready to pursue the milder course of putting themselves upon an equal footing with the delinquent members by an imitation of their example.	true	277.55	285.82	21
1387_130989_000010_000003	And the guilt of all would thus become the security of all.	And the guilt of all would thus become the security of all.	true	286.73	290.26	22.26857
1387_130989_000010_000004	Our past experience has exhibited the operation of this spirit in its full light.	Our past experience has exhibited the operation of this spirit in its full light.	true	291.02	295.6	21.929964
1387_130989_000010_000005	There would, in fact, be an insuperable difficulty in ascertaining when force could with propriety be employed.	There would, in fact, be an insuperable difficulty in ascertaining when force could with propriety be employed.	true	296.24	302.95	22
1387_130989_000010_000006	In the article of pecuniary contribution, which would be the most usual source of delinquency, it would often be impossible to decide whether it had proceeded from disinclination or inability.	In the article of pecuniary contribution, which would be the most usual source of delinquency, it would often be impossible to decide whether it had proceeded from disinclination or inability.	false	303.74	315.25	23.677588
1387_130989_000010_000007	The pretense of the latter would always be at hand.	The pretense of the latter would always be at hand.	true	315.89	318.82	22.724377
1387_130989_000010_000008	And the case must be very flagrant in which its fallacy could be detected with sufficient certainty to justify the harsh expedient of compulsion.	And the case must be very flagrant in which its fallacy could be detected with sufficient certainty to justify the harsh expedient of compulsion.	true	319.19	328.15	24.777714
1387_130989_000010_000009	It is easy to see that this problem alone, as often as it should occur, would open a wide field for the exercise of factious views, of partiality, and of oppression, in the majority that happened to prevail in the national council.	It is easy to see that this problem alone, as often as it should occur, would open a wide field for the exercise of factious views, of partiality, and of oppression, in the majority that happened to prevail in the national council.	false	328.64	341.71	21.642118
1387_130989_000011_000000	It seems to require no pains to prove that the States ought not to prefer a national Constitution which could only be kept in motion by the instrumentality of a large army continually on foot to execute the ordinary requisitions or decrees of the government.	It seems to require no pains to prove that the States ought not to prefer a national Constitution which could only be kept in motion by the instrumentality of a large army continually on foot to execute the ordinary requisitions or decrees of the government.	true	342.08	355.75	20
1387_130989_000011_000001	And yet this is the plain alternative involved by those who wish to deny it the power of extending its operations to individuals.	And yet this is the plain alternative involved by those who wish to deny it the power of extending its operations to individuals.	true	356.39	363.34	25
1387_130989_000011_000002	Such a scheme, if practicable at all, would instantly degenerate into a military despotism; but it will be found in every light impracticable.	Such a scheme, if practicable at all, would instantly degenerate into a military despotism; but it will be found in every light impracticable.	true	363.92	374.11	23.135334
1387_130989_000011_000003	The resources of the Union would not be equal to the maintenance of an army considerable enough to confine the larger States within the limits of their duty; nor would the means ever be furnished of forming such an army in the first instance. Whoever considers the populousness and strength of several of these States singly at the present juncture, and looks forward to what they will become, even at the distance of half a century, will at once dismiss as idle and visionary any scheme which aims at regulating their movements by laws to operate upon them in their collective capacities, and to be executed by a coercion applicable to them in the same capacities.	The resources of the Union would not be equal to the maintenance of an army considerable enough to confine the larger States within the limits of their duty; nor would the means ever be furnished of forming such an army in the first instance. Whoever considers the populousness and strength of several of these States singly at the present juncture, and looks forward to what they will become, even at the distance of half a century, will at once dismiss as idle and visionary any scheme which aims at regulating their movements by laws to operate upon them in their collective capacities, and to be executed by a coercion applicable to them in the same capacities.	true	375.08	411	22.400469
1387_130989_000011_000004	A project of this kind is little less romantic than the monster-taming spirit which is attributed to the fabulous heroes and demi-gods of antiquity.	A project of this kind is little less romantic than the monster taming spirit which is attributed to the fabulous heroes and demi gods of antiquity.	false	411	419.53	21.770973
1387_130989_000012_000000	Even in those confederacies which have been composed of members smaller than many of our counties, the principle of legislation for sovereign States, supported by military coercion, has never been found effectual. It has rarely been attempted to be employed, but against the weaker members; and in most instances attempts to coerce the refractory and disobedient have been the signals of bloody wars, in which one half of the confederacy has displayed its banners against the other half.	Even in those confederacies which have been composed of members smaller than many of our counties, the principle of legislation for sovereign States, supported by military coercion, has never been found effectual. It has rarely been attempted to be employed, but against the weaker members; and in most instances attempts to coerce the refractory and disobedient have been the signals of bloody wars, in which one half of the confederacy has displayed its banners against the other half.	false	420.05	450.46	22.743696
1387_130989_000013_000000	The result of these observations to an intelligent mind must be clearly this, that if it be possible at any rate to construct a federal government capable of regulating the common concerns and preserving the general tranquillity, it must be founded, as to the objects committed to its care, upon the reverse of the principle contended for by the opponents of the proposed Constitution.	The result of these observations to an intelligent mind must be clearly this, that if it be possible at any rate to construct a federal government capable of regulating the common concerns and preserving the general tranquillity, it must be founded, as to the objects committed to its care, upon the reverse of the principle contended for by the opponents of the proposed Constitution.	true	451.55	473.2	23.125786
1387_130989_000013_000001	It must carry its agency to the persons of the citizens.	It must carry its agency to the persons of the citizens.	true	473.96	477.73	22.19857
1387_130989_000013_000002	It must stand in need of no intermediate legislations; but must itself be empowered to employ the arm of the ordinary magistrate to execute its own resolutions.	It must stand in need of no intermediate legislations; but must itself be empowered to employ the arm of the ordinary magistrate to execute its own resolutions.	true	478.4	488.74	26.030508
1387_130989_000013_000003	The majesty of the national authority must be manifested through the medium of the courts of justice.	The majesty of the national authority must be manifested through the medium of the courts of justice.	true	489.17	494.92	23.656904
1387_130989_000013_000004	The government of the Union, like that of each State, must be able to address itself immediately to the hopes and fears of individuals; and to attract to its support those passions which have the strongest influence upon the human heart.	The government of the Union, like that of each State, must be able to address itself immediately to the hopes and fears of individuals; and to attract to its support those passions which have the strongest influence upon the human heart.	true	495.68	508.12	21.650248
1387_130989_000013_000005	It must, in short, possess all the means, and have aright to resort to all the methods, of executing the powers with which it is intrusted, that are possessed and exercised by the government of the particular States.	It must, in short, possess all the means, and have aright to resort to all the methods, of executing the powers with which it is intrusted, that are possessed and exercised by the government of the particular States.	true	508.19	522.1	23.638105
1387_130989_000014_000000	To this reasoning it may perhaps be objected, that if any State should be disaffected to the authority of the Union, it could at any time obstruct the execution of its laws, and bring the matter to the same issue of force, with the necessity of which the opposite scheme is reproached.	To this reasoning it may perhaps be objected, that if any State should be disaffected to the authority of the Union, it could at any time obstruct the execution of its laws, and bring the matter to the same issue of force, with the necessity of which the opposite scheme is reproached.	false	523.58	537.76	22
1387_130989_000015_000000	The plausibility of this objection will vanish the moment we advert to the essential difference between a mere NON-COMPLIANCE and a DIRECT and ACTIVE RESISTANCE.	The plausibility of this objection will vanish the moment we advert to the essential difference between a mere NON COMPLIANCE and a DIRECT and ACTIVE RESISTANCE.	true	538.91	549.25	24.12119
1387_130989_000015_000001	If the interposition of the State legislatures be necessary to give effect to a measure of the Union, they have only NOT TO ACT, or TO ACT EVASIVELY, and the measure is defeated.	If the interposition of the State legislatures be necessary to give effect to a measure of the Union, they have only NOT TO a c t, or TO a c t EVASIVELY, and the measure is defeated.	false	550.07	562.24	25.318176
1387_130989_000015_000002	This neglect of duty may be disguised under affected but unsubstantial provisions, so as not to appear, and of course not to excite any alarm in the people for the safety of the Constitution.	This neglect of duty may be disguised under affected but unsubstantial provisions, so as not to appear, and of course not to excite any alarm in the people for the safety of the Constitution.	false	563.09	576.88	24.154602
1387_130989_000015_000003	The State leaders may even make a merit of their surreptitious invasions of it on the ground of some temporary convenience, exemption, or advantage.	The State leaders may even make a merit of their surreptitious invasions of it on the ground of some temporary convenience, exemption, or advantage.	true	577.73	586.51	23.765388
1387_130989_000016_000000	But if the execution of the laws of the national government should not require the intervention of the State legislatures, if they were to pass into immediate operation upon the citizens themselves, the particular governments could not interrupt their progress without an open and violent exertion of an unconstitutional power.	But if the execution of the laws of the national government should not require the intervention of the State legislatures, if they were to pass into immediate operation upon the citizens themselves, the particular governments could not interrupt their progress without an open and violent exertion of an unconstitutional power.	true	587.12	606.34	22
1387_130989_000016_000001	No omissions nor evasions would answer the end.	No omissions nor evasions would answer the end.	true	607.1	610.33	21.930195
1387_130989_000016_000002	They would be obliged to act, and in such a manner as would leave no doubt that they had encroached on the national rights. An experiment of this nature would always be hazardous in the face of a constitution in any degree competent to its own defense, and of a people enlightened enough to distinguish between a legal exercise and an illegal usurpation of authority.	They would be obliged to act, and in such a manner as would leave no doubt that they had encroached on the national rights. An experiment of this nature would always be hazardous in the face of a constitution in any degree competent to its own defense, and of a people enlightened enough to distinguish between a legal exercise and an illegal usurpation of authority.	true	610.43	631.03	22.97225
1387_130989_000016_000003	The success of it would require not merely a factious majority in the legislature, but the concurrence of the courts of justice and of the body of the people.	The success of it would require not merely a factious majority in the legislature, but the concurrence of the courts of justice and of the body of the people.	false	631.85	641.23	23.28872
1387_130989_000016_000004	If the judges were not embarked in a conspiracy with the legislature, they would pronounce the resolutions of such a majority to be contrary to the supreme law of the land, unconstitutional, and void.	If the judges were not embarked in a conspiracy with the legislature, they would pronounce the resolutions of such a majority to be contrary to the supreme law of the land, unconstitutional, and void.	true	641.78	652.81	22.326237
1387_130989_000016_000005	If the people were not tainted with the spirit of their State representatives, they, as the natural guardians of the Constitution, would throw their weight into the national scale and give it a decided preponderancy in the contest. Attempts of this kind would not often be made with levity or rashness, because they could seldom be made without danger to the authors, unless in cases of a tyrannical exercise of the federal authority.	If the people were not tainted with the spirit of their State representatives, they, as the natural guardians of the Constitution, would throw their weight into the national scale and give it a decided preponderancy in the contest. Attempts of this kind would not often be made with levity or rashness, because they could seldom be made without danger to the authors, unless in cases of a tyrannical exercise of the federal authority.	true	653.84	680.08	23.634762
1387_130989_000017_000000	If opposition to the national government should arise from the disorderly conduct of refractory or seditious individuals, it could be overcome by the same means which are daily employed against the same evil under the State governments.	If opposition to the national government should arise from the disorderly conduct of refractory or seditious individuals, it could be overcome by the same means which are daily employed against the same evil under the State governments.	true	680.6	693.97	21.221981
1387_130989_000017_000001	The magistracy, being equally the ministers of the law of the land, from whatever source it might emanate, would doubtless be as ready to guard the national as the local regulations from the inroads of private licentiousness.	The magistracy, being equally the ministers of the law of the land, from whatever source it might emanate, would doubtless be as ready to guard the national as the local regulations from the inroads of private licentiousness.	true	694.67	708.4	21.54596
1387_130989_000017_000002	As to those partial commotions and insurrections, which sometimes disquiet society, from the intrigues of an inconsiderable faction, or from sudden or occasional illhumors that do not infect the great body of the community the general government could command more extensive resources for the suppression of disturbances of that kind than would be in the power of any single member.	As to those partial commotions and insurrections, which sometimes disquiet society, from the intrigues of an inconsiderable faction, or from sudden or occasional illhumors that do not infect the great body of the community the general government could command more extensive resources for the suppression of disturbances of that kind than would be in the power of any single member.	false	709.25	732.1	23
1387_130989_000017_000003	And as to those mortal feuds which, in certain conjunctures, spread a conflagration through a whole nation, or through a very large proportion of it, proceeding either from weighty causes of discontent given by the government or from the contagion of some violent popular paroxysm, they do not fall within any ordinary rules of calculation.	And as to those mortal feuds which, in certain conjunctures, spread a conflagration through a whole nation, or through a very large proportion of it, proceeding either from weighty causes of discontent given by the government or from the contagion of some violent popular paroxysm, they do not fall within any ordinary rules of calculation.	true	733.19	755.32	25.253353
1387_130989_000017_000004	When they happen, they commonly amount to revolutions and dismemberments of empire.	When they happen, they commonly amount to revolutions and dismemberments of empire.	true	755.6	761.35	21
1387_130989_000017_000005	No form of government can always either avoid or control them.	No form of government can always either avoid or control them.	true	761.66	765.4	20.562029
1387_130989_000017_000006	It is in vain to hope to guard against events too mighty for human foresight or precaution, and it would be idle to object to a government because it could not perform impossibilities.	It is in vain to hope to guard against events too mighty for human foresight or precaution, and it would be idle to object to a government because it could not perform impossibilities.	true	765.59	776.4	23.753952
1387_130989_000018_000000	PUBLIUS	PUBLIUS	false	776.4	776.61	-20
1387_130989_000019_000000	FEDERALIST No. 17	FEDERALIST no seventeen	false	776.61	777.3	-20
1387_130989_000020_000000	The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union)	The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union)	false	777.3	788.25	19.353767
