1387_130989_000004_000000	From the New York Packet.	From the New York Packet.
1387_130989_000009_000008	The suggestions of wounded pride, the instigations of irritated resentment, would be apt to carry the States against which the arms of the Union were exerted, to any extremes necessary to avenge the affront or to avoid the disgrace of submission.	The suggestions of wounded pride, the instigations of irritated resentment, would be apt to carry the States against which the arms of the Union were exerted, to any extremes necessary to avenge the affront or to avoid the disgrace of submission.
1387_130989_000009_000009	The first war of this kind would probably terminate in a dissolution of the Union.	The first war of this kind would probably terminate in a dissolution of the Union.
1387_130989_000010_000000	This may be considered as the violent death of the Confederacy.	This may be considered as the violent death of the Confederacy.
1387_130989_000010_000001	Its more natural death is what we now seem to be on the point of experiencing, if the federal system be not speedily renovated in a more substantial form. It is not probable, considering the genius of this country, that the complying States would often be inclined to support the authority of the Union by engaging in a war against the non-complying States.	Its more natural death is what we now seem to be on the point of experiencing, if the federal system be not speedily renovated in a more substantial form. It is not probable, considering the genius of this country, that the complying States would often be inclined to support the authority of the Union by engaging in a war against the non complying States.
1387_130989_000010_000002	They would always be more ready to pursue the milder course of putting themselves upon an equal footing with the delinquent members by an imitation of their example.	They would always be more ready to pursue the milder course of putting themselves upon an equal footing with the delinquent members by an imitation of their example.
1387_130989_000010_000003	And the guilt of all would thus become the security of all.	And the guilt of all would thus become the security of all.
1387_130989_000010_000004	Our past experience has exhibited the operation of this spirit in its full light.	Our past experience has exhibited the operation of this spirit in its full light.
1387_130989_000010_000005	There would, in fact, be an insuperable difficulty in ascertaining when force could with propriety be employed.	There would, in fact, be an insuperable difficulty in ascertaining when force could with propriety be employed.
1387_130989_000010_000007	The pretense of the latter would always be at hand.	The pretense of the latter would always be at hand.
1387_130989_000010_000008	And the case must be very flagrant in which its fallacy could be detected with sufficient certainty to justify the harsh expedient of compulsion.	And the case must be very flagrant in which its fallacy could be detected with sufficient certainty to justify the harsh expedient of compulsion.
1387_130989_000011_000000	It seems to require no pains to prove that the States ought not to prefer a national Constitution which could only be kept in motion by the instrumentality of a large army continually on foot to execute the ordinary requisitions or decrees of the government.	It seems to require no pains to prove that the States ought not to prefer a national Constitution which could only be kept in motion by the instrumentality of a large army continually on foot to execute the ordinary requisitions or decrees of the government.
1387_130989_000011_000001	And yet this is the plain alternative involved by those who wish to deny it the power of extending its operations to individuals.	And yet this is the plain alternative involved by those who wish to deny it the power of extending its operations to individuals.
1387_130989_000011_000002	Such a scheme, if practicable at all, would instantly degenerate into a military despotism; but it will be found in every light impracticable.	Such a scheme, if practicable at all, would instantly degenerate into a military despotism; but it will be found in every light impracticable.
1387_130989_000013_000000	The result of these observations to an intelligent mind must be clearly this, that if it be possible at any rate to construct a federal government capable of regulating the common concerns and preserving the general tranquillity, it must be founded, as to the objects committed to its care, upon the reverse of the principle contended for by the opponents of the proposed Constitution.	The result of these observations to an intelligent mind must be clearly this, that if it be possible at any rate to construct a federal government capable of regulating the common concerns and preserving the general tranquillity, it must be founded, as to the objects committed to its care, upon the reverse of the principle contended for by the opponents of the proposed Constitution.
1387_130989_000013_000001	It must carry its agency to the persons of the citizens.	It must carry its agency to the persons of the citizens.
1387_130989_000013_000002	It must stand in need of no intermediate legislations; but must itself be empowered to employ the arm of the ordinary magistrate to execute its own resolutions.	It must stand in need of no intermediate legislations; but must itself be empowered to employ the arm of the ordinary magistrate to execute its own resolutions.
1387_130989_000013_000003	The majesty of the national authority must be manifested through the medium of the courts of justice.	The majesty of the national authority must be manifested through the medium of the courts of justice.
1387_130989_000013_000004	The government of the Union, like that of each State, must be able to address itself immediately to the hopes and fears of individuals; and to attract to its support those passions which have the strongest influence upon the human heart.	The government of the Union, like that of each State, must be able to address itself immediately to the hopes and fears of individuals; and to attract to its support those passions which have the strongest influence upon the human heart.
1387_130989_000013_000005	It must, in short, possess all the means, and have aright to resort to all the methods, of executing the powers with which it is intrusted, that are possessed and exercised by the government of the particular States.	It must, in short, possess all the means, and have aright to resort to all the methods, of executing the powers with which it is intrusted, that are possessed and exercised by the government of the particular States.
1387_130989_000015_000000	The plausibility of this objection will vanish the moment we advert to the essential difference between a mere NON-COMPLIANCE and a DIRECT and ACTIVE RESISTANCE.	The plausibility of this objection will vanish the moment we advert to the essential difference between a mere NON COMPLIANCE and a DIRECT and ACTIVE RESISTANCE.
1387_130989_000015_000003	The State leaders may even make a merit of their surreptitious invasions of it on the ground of some temporary convenience, exemption, or advantage.	The State leaders may even make a merit of their surreptitious invasions of it on the ground of some temporary convenience, exemption, or advantage.
1387_130989_000016_000000	But if the execution of the laws of the national government should not require the intervention of the State legislatures, if they were to pass into immediate operation upon the citizens themselves, the particular governments could not interrupt their progress without an open and violent exertion of an unconstitutional power.	But if the execution of the laws of the national government should not require the intervention of the State legislatures, if they were to pass into immediate operation upon the citizens themselves, the particular governments could not interrupt their progress without an open and violent exertion of an unconstitutional power.
1387_130989_000016_000001	No omissions nor evasions would answer the end.	No omissions nor evasions would answer the end.
1387_130989_000016_000002	They would be obliged to act, and in such a manner as would leave no doubt that they had encroached on the national rights. An experiment of this nature would always be hazardous in the face of a constitution in any degree competent to its own defense, and of a people enlightened enough to distinguish between a legal exercise and an illegal usurpation of authority.	They would be obliged to act, and in such a manner as would leave no doubt that they had encroached on the national rights. An experiment of this nature would always be hazardous in the face of a constitution in any degree competent to its own defense, and of a people enlightened enough to distinguish between a legal exercise and an illegal usurpation of authority.
1387_130989_000016_000004	If the judges were not embarked in a conspiracy with the legislature, they would pronounce the resolutions of such a majority to be contrary to the supreme law of the land, unconstitutional, and void.	If the judges were not embarked in a conspiracy with the legislature, they would pronounce the resolutions of such a majority to be contrary to the supreme law of the land, unconstitutional, and void.
1387_130989_000017_000000	If opposition to the national government should arise from the disorderly conduct of refractory or seditious individuals, it could be overcome by the same means which are daily employed against the same evil under the State governments.	If opposition to the national government should arise from the disorderly conduct of refractory or seditious individuals, it could be overcome by the same means which are daily employed against the same evil under the State governments.
1387_130989_000017_000001	The magistracy, being equally the ministers of the law of the land, from whatever source it might emanate, would doubtless be as ready to guard the national as the local regulations from the inroads of private licentiousness.	The magistracy, being equally the ministers of the law of the land, from whatever source it might emanate, would doubtless be as ready to guard the national as the local regulations from the inroads of private licentiousness.
1387_130989_000017_000003	And as to those mortal feuds which, in certain conjunctures, spread a conflagration through a whole nation, or through a very large proportion of it, proceeding either from weighty causes of discontent given by the government or from the contagion of some violent popular paroxysm, they do not fall within any ordinary rules of calculation.	And as to those mortal feuds which, in certain conjunctures, spread a conflagration through a whole nation, or through a very large proportion of it, proceeding either from weighty causes of discontent given by the government or from the contagion of some violent popular paroxysm, they do not fall within any ordinary rules of calculation.
1387_130989_000017_000004	When they happen, they commonly amount to revolutions and dismemberments of empire.	When they happen, they commonly amount to revolutions and dismemberments of empire.
1387_130989_000017_000005	No form of government can always either avoid or control them.	No form of government can always either avoid or control them.
1387_130989_000017_000006	It is in vain to hope to guard against events too mighty for human foresight or precaution, and it would be idle to object to a government because it could not perform impossibilities.	It is in vain to hope to guard against events too mighty for human foresight or precaution, and it would be idle to object to a government because it could not perform impossibilities.
