4438_48513_000001_000000	III	three
4438_48513_000018_000000	'Who is Vera?' asked Lucy.	'Who is Vera?' asked Lucy.
4438_48513_000019_000000	'My wife.'	'My wife.'
4438_48513_000020_000000	'Ah, don't,' said Lucy earnestly, taking his hand very gently in hers. 'Don't talk of that to-night please don't let yourself think of it.	'Ah, don't,' said Lucy earnestly, taking his hand very gently in hers. 'Don't talk of that to night please don't let yourself think of it.
4438_48513_000020_000001	If I could only, only find the words that would comfort you----'	If I could only, only find the words that would comfort you----'
4438_48513_000022_000000	'Aren't we like two children,' he said, his voice, like hers, deepened by feeling, 'two scared, unhappy children, clinging to each other alone in the dark.'	'Aren't we like two children,' he said, his voice, like hers, deepened by feeling, 'two scared, unhappy children, clinging to each other alone in the dark.'
4438_48513_000023_000000	So they talked on in subdued voices as people do who are in some holy place, sitting close together, looking out at the starlit sea, darkness and coolness gathering round them, and the grass smelling sweetly after the hot day, and the little waves, such a long way down, lapping lazily along the shingle, till Wemyss said it must be long past bedtime, and she, poor girl, must badly need rest.	So they talked on in subdued voices as people do who are in some holy place, sitting close together, looking out at the starlit sea, darkness and coolness gathering round them, and the grass smelling sweetly after the hot day, and the little waves, such a long way down, lapping lazily along the shingle, till Wemyss said it must be long past bedtime, and she, poor girl, must badly need rest.
4438_48513_000024_000000	'How old are you?' he asked suddenly, turning to her and scrutinising the delicate faint outline of her face against the night.	'How old are you?' he asked suddenly, turning to her and scrutinising the delicate faint outline of her face against the night.
4438_48513_000025_000000	'Twenty-two,' said Lucy.	'Twenty two,' said Lucy.
4438_48513_000026_000000	'You might just as easily be twelve,' he said, 'except for the sorts of things you say.'	'You might just as easily be twelve,' he said, 'except for the sorts of things you say.'
4438_48513_000027_000000	'It's my hair,' said Lucy.	'It's my hair,' said Lucy.
4438_48513_000027_000001	'My father liked--he liked----'	'My father liked-he liked----'
4438_48513_000028_000001	'Don't cry again. Don't cry any more to-night.	'Don't cry again. Don't cry any more to night.
4438_48513_000028_000003	It's time you were in bed.'	It's time you were in bed.'
4438_48513_000029_000000	And he helped her up, and when they got into the light of the hall he saw that she had, this time, successfully strangled her tears.	And he helped her up, and when they got into the light of the hall he saw that she had, this time, successfully strangled her tears.
4438_48513_000030_000000	'Good-night,' she said, when he had lit her candle for her, 'good-night, and--God bless you.'	'Good night,' she said, when he had lit her candle for her, 'good night, and-God bless you.'
4438_48513_000032_000000	'He has,' said Lucy. 'Indeed He has already, in sending me you.' And she smiled up at him.	'He has,' said Lucy. 'Indeed He has already, in sending me you.' And she smiled up at him.
4438_48513_000033_000000	For the first time since he had known her--and he too had the feeling that he had known her ever since he could remember--he saw her smile, and the difference it made to her marred, stained face surprised him.	For the first time since he had known her-and he too had the feeling that he had known her ever since he could remember-he saw her smile, and the difference it made to her marred, stained face surprised him.
4438_48513_000035_000000	'Do what?' asked Lucy.	'Do what?' asked Lucy.
4438_48513_000037_000000	Then she laughed; but the sound of it in the silent, brooding house was shocking.	Then she laughed; but the sound of it in the silent, brooding house was shocking.
4438_48513_000039_000000	'Remember you're to go to sleep and not think of anything,' Wemyss ordered as she went slowly upstairs.	'Remember you're to go to sleep and not think of anything,' Wemyss ordered as she went slowly upstairs.
