3866_9919_000000_000000	This family was that of the merry barefoot boy.	This family was that of the merry barefoot boy.	false	0	3.78	12
3866_9919_000011_000000	M.Gillenormand, who was as much alive as possible in 1831, was one of those men who had become curiosities to be viewed, simply because they have lived a long time, and who are strange because they formerly resembled everybody, and now resemble nobody.	M.Gillenormand, who was as much alive as possible in eighteen thirty one, was one of those men who had become curiosities to be viewed, simply because they have lived a long time, and who are strange because they formerly resembled everybody, and now resemble nobody.	false	91.98	111.82	17
3866_9919_000011_000001	He was a peculiar old man, and in very truth, a man of another age, the real, complete and rather haughty bourgeois of the eighteenth century, who wore his good, old bourgeoisie with the air with which marquises wear their marquisates.	He was a peculiar old man, and in very truth, a man of another age, the real, complete and rather haughty bourgeois of the eighteenth century, who wore his good, old bourgeoisie with the air with which marquises wear their marquisates.	false	112.25	131.08	18.510458
3866_9919_000011_000002	He was over ninety years of age, his walk was erect, he talked loudly, saw clearly, drank neat, ate, slept, and snored.	He was over ninety years of age, his walk was erect, he talked loudly, saw clearly, drank neat, ate, slept, and snored.	true	131.78	140.86	19.280207
3866_9919_000011_000003	He had all thirty-two of his teeth.	He had all thirty two of his teeth.	true	141.44	143.89	21.195988
3866_9919_000011_000004	He only wore spectacles when he read.	He only wore spectacles when he read.	false	144.08	147.16	20
3866_9919_000011_000005	He was of an amorous disposition, but declared that, for the last ten years, he had wholly and decidedly renounced women.	He was of an amorous disposition, but declared that, for the last ten years, he had wholly and decidedly renounced women.	true	147.56	156.55	19.449223
3866_9919_000011_000006	He could no longer please, he said; he did not add: "I am too old," but: "I am too poor." He said: "If I were not ruined--Heee!" All he had left, in fact, was an income of about fifteen thousand francs.	He could no longer please, he said; he did not add: "I am too old," but: "I am too poor." He said: "If I were not ruined-Heee!" All he had left, in fact, was an income of about fifteen thousand francs.	true	157.04	174.61	18.927826
3866_9919_000011_000007	His dream was to come into an inheritance and to have a hundred thousand livres income for mistresses.	His dream was to come into an inheritance and to have a hundred thousand livres income for mistresses.	true	174.95	182.08	18
3866_9919_000011_000008	He did not belong, as the reader will perceive, to that puny variety of octogenaries who, like M. de Voltaire, have been dying all their life; his was no longevity of a cracked pot; this jovial old man had always had good health.	He did not belong, as the reader will perceive, to that puny variety of octogenaries who, like m de Voltaire, have been dying all their life; his was no longevity of a cracked pot; this jovial old man had always had good health.	false	183.11	201.16	19.913076
3866_9919_000011_000009	He was superficial, rapid, easily angered.	He was superficial, rapid, easily angered.	true	201.2	204.97	19.196861
3866_9919_000011_000010	He flew into a passion at everything, generally quite contrary to all reason.	He flew into a passion at everything, generally quite contrary to all reason.	true	205.19	211.09	19.689442
3866_9919_000011_000011	When contradicted, he raised his cane; he beat people as he had done in the great century.	When contradicted, he raised his cane; he beat people as he had done in the great century.	true	211.31	216.43	18
3866_9919_000011_000012	He had a daughter over fifty years of age, and unmarried, whom he chastised severely with his tongue, when in a rage, and whom he would have liked to whip.	He had a daughter over fifty years of age, and unmarried, whom he chastised severely with his tongue, when in a rage, and whom he would have liked to whip.	true	217.01	226	18
3866_9919_000011_000013	She seemed to him to be eight years old.	She seemed to him to be eight years old.	true	226.31	229.5	20.831594
3866_9919_000011_000014	He boxed his servants' ears soundly, and said: "Ah! carogne!" One of his oaths was: "By the pantoufloche of the pantouflochade!" He had singular freaks of tranquillity; he had himself shaved every day by a barber who had been mad and who detested him, being jealous of M. Gillenormand on account of his wife, a pretty and coquettish barberess.	He boxed his servants' ears soundly, and said: "Ah! carogne!" One of his oaths was: "By the pantoufloche of the pantouflochade!" He had singular freaks of tranquillity; he had himself shaved every day by a barber who had been mad and who detested him, being jealous of m Gillenormand on account of his wife, a pretty and coquettish barberess.	false	229.5	255.09	18.620903
3866_9919_000011_000015	M. Gillenormand admired his own discernment in all things, and declared that he was extremely sagacious; here is one of his sayings: "I have, in truth, some penetration; I am able to say when a flea bites me, from what woman it came."	M. Gillenormand admired his own discernment in all things, and declared that he was extremely sagacious; here is one of his sayings: "I have, in truth, some penetration; I am able to say when a flea bites me, from what woman it came."	false	255.09	272.47	17.338657
3866_9919_000012_000000	The words which he uttered the most frequently were: the sensible man, and nature.	The words which he uttered the most frequently were: the sensible man, and nature.	true	273.41	278.74	18.719925
3866_9919_000012_000001	He did not give to this last word the grand acceptation which our epoch has accorded to it, but he made it enter, after his own fashion, into his little chimney-corner satires: "Nature," he said, "in order that civilization may have a little of everything, gives it even specimens of its amusing barbarism.	He did not give to this last word the grand acceptation which our epoch has accorded to it, but he made it enter, after his own fashion, into his little chimney corner satires: "Nature," he said, "in order that civilization may have a little of everything, gives it even specimens of its amusing barbarism.	false	278.87	299.11	16
3866_9919_000012_000002	Europe possesses specimens of Asia and Africa on a small scale.	Europe possesses specimens of Asia and Africa on a small scale.	true	299.51	304.42	19
3866_9919_000012_000003	The cat is a drawing-room tiger, the lizard is a pocket crocodile.	The cat is a drawing room tiger, the lizard is a pocket crocodile.	true	304.76	309.76	18.89668
3866_9919_000012_000004	The dancers at the opera are pink female savages. They do not eat men, they crunch them; or, magicians that they are, they transform them into oysters and swallow them.	The dancers at the opera are pink female savages. They do not eat men, they crunch them; or, magicians that they are, they transform them into oysters and swallow them.	true	310.04	320.71	19.55931
3866_9919_000012_000005	The Caribbeans leave only the bones, they leave only the shell.	The Caribbeans leave only the bones, they leave only the shell.	true	321.11	325.18	18.246418
3866_9919_000012_000006	Such are our morals.	Such are our morals.	true	325.73	327.76	17
3866_9919_000012_000007	We do not devour, we gnaw; we do not exterminate, we claw."	We do not devour, we gnaw; we do not exterminate, we claw."	true	327.89	332.68	17.878517
3866_9919_000013_000000	CHAPTER II--LIKE MASTER, LIKE HOUSE	CHAPTER two-LIKE MASTER, LIKE HOUSE	true	333.32	336.55	19.398956
3866_9919_000014_000000	He lived in the Marais, Rue des Filles-du-Calvaire, No. 6.	He lived in the Marais, Rue des Filles du Calvaire, no six.	false	337.04	341.74	18.798258
3866_9919_000014_000001	He owned the house.	He owned the house.	true	342.02	343.51	14
3866_9919_000014_000002	This house has since been demolished and rebuilt, and the number has probably been changed in those revolutions of numeration which the streets of Paris undergo.	This house has since been demolished and rebuilt, and the number has probably been changed in those revolutions of numeration which the streets of Paris undergo.	true	343.94	354.1	18.126228
3866_9919_000014_000003	He occupied an ancient and vast apartment on the first floor, between street and gardens, furnished to the very ceilings with great Gobelins and Beauvais tapestries representing pastoral scenes; the subjects of the ceilings and the panels were repeated in miniature on the arm-chairs.	He occupied an ancient and vast apartment on the first floor, between street and gardens, furnished to the very ceilings with great Gobelins and Beauvais tapestries representing pastoral scenes; the subjects of the ceilings and the panels were repeated in miniature on the arm chairs.	false	354.38	373.99	18.679628
3866_9919_000014_000004	He enveloped his bed in a vast, nine-leaved screen of Coromandel lacquer.	He enveloped his bed in a vast, nine leaved screen of Coromandel lacquer.	true	374.33	381.4	18.875359
3866_9919_000014_000005	Long, full curtains hung from the windows, and formed great, broken folds that were very magnificent. The garden situated immediately under his windows was attached to that one of them which formed the angle, by means of a staircase twelve or fifteen steps long, which the old gentleman ascended and descended with great agility.	Long, full curtains hung from the windows, and formed great, broken folds that were very magnificent. The garden situated immediately under his windows was attached to that one of them which formed the angle, by means of a staircase twelve or fifteen steps long, which the old gentleman ascended and descended with great agility.	true	381.47	403.84	19.892126
3866_9919_000014_000006	In addition to a library adjoining his chamber, he had a boudoir of which he thought a great deal, a gallant and elegant retreat, with magnificent hangings of straw, with a pattern of flowers and fleurs-de-lys made on the galleys of Louis XIV. and ordered of his convicts by M. de Vivonne for his mistress.	In addition to a library adjoining his chamber, he had a boudoir of which he thought a great deal, a gallant and elegant retreat, with magnificent hangings of straw, with a pattern of flowers and fleurs de lys made on the galleys of Louis the fourteenth. and ordered of his convicts by m de Vivonne for his mistress.	false	404.15	425.16	18.807598
3866_9919_000014_000007	M. Gillenormand had inherited it from a grim maternal great-aunt, who had died a centenarian.	M. Gillenormand had inherited it from a grim maternal great aunt, who had died a centenarian.	false	425.16	431.86	18.520706
3866_9919_000014_000008	He had had two wives.	He had had two wives.	true	432.41	434.35	18.02352
3866_9919_000014_000009	His manners were something between those of the courtier, which he had never been, and the lawyer, which he might have been.	His manners were something between those of the courtier, which he had never been, and the lawyer, which he might have been.	false	435.08	442.36	18.208529
3866_9919_000014_000010	He was gay, and caressing when he had a mind.	He was gay, and caressing when he had a mind.	true	442.79	445.66	18
3866_9919_000014_000011	In his youth he had been one of those men who are always deceived by their wives and never by their mistresses, because they are, at the same time, the most sullen of husbands and the most charming of lovers in existence.	In his youth he had been one of those men who are always deceived by their wives and never by their mistresses, because they are, at the same time, the most sullen of husbands and the most charming of lovers in existence.	true	446.12	459.31	18.965044
3866_9919_000014_000012	He was a connoisseur of painting.	He was a connoisseur of painting.	true	459.71	461.92	20.012543
3866_9919_000014_000013	He had in his chamber a marvellous portrait of no one knows whom, painted by Jordaens, executed with great dashes of the brush, with millions of details, in a confused and hap-hazard manner.	He had in his chamber a marvellous portrait of no one knows whom, painted by Jordaens, executed with great dashes of the brush, with millions of details, in a confused and hap hazard manner.	true	462.23	476.16	18.145233
3866_9919_000014_000014	M. Gillenormand's attire was not the habit of Louis XIV. nor yet that of Louis XVI.; it was that of the Incroyables of the Directory.	M. Gillenormand's attire was not the habit of Louis the fourteenth. nor yet that of Louis the sixteenth.; it was that of the Incroyables of the Directory.	false	476.16	488.23	17.814016
3866_9919_000014_000015	He had thought himself young up to that period and had followed the fashions.	He had thought himself young up to that period and had followed the fashions.	true	488.63	492.31	18
3866_9919_000014_000016	His coat was of light-weight cloth with voluminous revers, a long swallow-tail and large steel buttons.	His coat was of light weight cloth with voluminous revers, a long swallow tail and large steel buttons.	false	492.5	500.26	19.059792
3866_9919_000014_000017	With this he wore knee-breeches and buckle shoes.	With this he wore knee breeches and buckle shoes.	true	500.36	503.17	17
3866_9919_000014_000018	He always thrust his hands into his fobs.	He always thrust his hands into his fobs.	true	503.57	506.47	18
3866_9919_000014_000019	He said authoritatively: "The French Revolution is a heap of blackguards."	He said authoritatively: "The French Revolution is a heap of blackguards."	true	506.69	512.02	16
3866_9919_000015_000000	CHAPTER III--LUC-ESPRIT	CHAPTER three-LUC ESPRIT	true	513.08	515.77	17.806007
3866_9919_000016_000000	At the age of sixteen, one evening at the opera, he had had the honor to be stared at through opera-glasses by two beauties at the same time--ripe and celebrated beauties then, and sung by Voltaire, the Camargo and the Salle.	At the age of sixteen, one evening at the opera, he had had the honor to be stared at through opera glasses by two beauties at the same time-ripe and celebrated beauties then, and sung by Voltaire, the Camargo and the Salle.	false	516.53	534.75	17.74276
3866_9919_000016_000001	Caught between two fires, he had beaten a heroic retreat towards a little dancer, a young girl named Nahenry, who was sixteen like himself, obscure as a cat, and with whom he was in love. He abounded in memories.	Caught between two fires, he had beaten a heroic retreat towards a little dancer, a young girl named Nahenry, who was sixteen like himself, obscure as a cat, and with whom he was in love. He abounded in memories.	false	534.75	552.07	17.333916
3866_9919_000016_000002	He was accustomed to exclaim: "How pretty she was--that Guimard-Guimardini-Guimardinette, the last time I saw her at Longchamps, her hair curled in sustained sentiments, with her come-and-see of turquoises, her gown of the color of persons newly arrived, and her little agitation muff!" He had worn in his young manhood a waistcoat of Nain-Londrin, which he was fond of talking about effusively.	He was accustomed to exclaim: "How pretty she was-that Guimard Guimardini Guimardinette, the last time I saw her at Longchamps, her hair curled in sustained sentiments, with her come and see of turquoises, her gown of the color of persons newly arrived, and her little agitation muff!" He had worn in his young manhood a waistcoat of Nain Londrin, which he was fond of talking about effusively.	false	552.35	581.32	17
3866_9919_000016_000003	"I was dressed like a Turk of the Levant Levantin," said he. Madame de Boufflers, having seen him by chance when he was twenty, had described him as "a charming fool." He was horrified by all the names which he saw in politics and in power, regarding them as vulgar and bourgeois.	"I was dressed like a Turk of the Levant Levantin," said he. Madame de Boufflers, having seen him by chance when he was twenty, had described him as "a charming fool." He was horrified by all the names which he saw in politics and in power, regarding them as vulgar and bourgeois.	false	581.63	602.65	17.809967
3866_9919_000016_000004	He read the journals, the newspapers, the gazettes as he said, stifling outbursts of laughter the while.	He read the journals, the newspapers, the gazettes as he said, stifling outbursts of laughter the while.	true	603.2	610.84	16
3866_9919_000016_000005	"Oh!" he said, "what people these are!	"Oh!" he said, "what people these are!	true	610.91	613.63	19.774042
3866_9919_000016_000006	Corbiere!	Corbiere!	false	613.76	614.94	17.427526
3866_9919_000016_000007	Humann!	Humann!	false	614.94	615.75	19.089148
3866_9919_000016_000008	Casimir Perier!	Casimir Perier!	false	615.75	617.58	17.93313
3866_9919_000016_000009	There's a minister for you!	There's a minister for you!	true	617.58	619.03	15
3866_9919_000016_000010	I can imagine this in a journal: 'M.	I can imagine this in a journal: 'M.	false	619.07	622.71	13
3866_9919_000016_000011	Gillenorman, minister!' that would be a farce.	Gillenorman, minister!' that would be a farce.	false	622.71	625.75	18.867973
3866_9919_000016_000012	Well!	Well!	true	626	626.73	18.937174
3866_9919_000016_000013	They are so stupid that it would pass"; he merrily called everything by its name, whether decent or indecent, and did not restrain himself in the least before ladies.	They are so stupid that it would pass"; he merrily called everything by its name, whether decent or indecent, and did not restrain himself in the least before ladies.	true	626.73	637.45	15
3866_9919_000016_000014	He uttered coarse speeches, obscenities, and filth with a certain tranquillity and lack of astonishment which was elegant.	He uttered coarse speeches, obscenities, and filth with a certain tranquillity and lack of astonishment which was elegant.	true	637.76	646.09	16
3866_9919_000016_000015	It was in keeping with the unceremoniousness of his century.	It was in keeping with the unceremoniousness of his century.	true	646.22	650.08	12
3866_9919_000016_000016	It is to be noted that the age of periphrase in verse was the age of crudities in prose.	It is to be noted that the age of periphrase in verse was the age of crudities in prose.	true	650.33	657.01	14
3866_9919_000016_000017	His god-father had predicted that he would turn out a man of genius, and had bestowed on him these two significant names: Luc-Esprit.	His god father had predicted that he would turn out a man of genius, and had bestowed on him these two significant names: Luc Esprit.	true	657.32	666.85	17
3866_9919_000017_000000	CHAPTER IV--A CENTENARIAN ASPIRANT	CHAPTER four-A c e n t e n a r i a n ASPIRANT	false	667.73	672.015	18.76834
3866_9919_000018_000000	He had taken prizes in his boyhood at the College of Moulins, where he was born, and he had been crowned by the hand of the Duc de Nivernais, whom he called the Duc de Nevers.	He had taken prizes in his boyhood at the College of Moulins, where he was born, and he had been crowned by the hand of the Duc de Nivernais, whom he called the Duc de Nevers.	false	672.015	685.035	17.209435
3866_9919_000018_000001	Neither the Convention, nor the death of Louis XVI., nor the Napoleon, nor the return of the Bourbons, nor anything else had been able to efface the memory of this crowning.	Neither the Convention, nor the death of Louis the sixteenth., nor the Napoleon, nor the return of the Bourbons, nor anything else had been able to efface the memory of this crowning.	true	685.035	695.95	19.972334
3866_9919_000018_000002	The Duc de Nevers was, in his eyes, the great figure of the century.	The Duc de Nevers was, in his eyes, the great figure of the century.	false	696.23	701.02	20.633787
3866_9919_000018_000003	"What a charming grand seigneur," he said, "and what a fine air he had with his blue ribbon!"	"What a charming grand seigneur," he said, "and what a fine air he had with his blue ribbon!"	true	701.33	708.04	20.717533
3866_9919_000019_000000	In the eyes of M. Gillenormand, Catherine the Second had made reparation for the crime of the partition of Poland by purchasing, for three thousand roubles, the secret of the elixir of gold, from Bestucheff.	In the eyes of m Gillenormand, Catherine the Second had made reparation for the crime of the partition of Poland by purchasing, for three thousand roubles, the secret of the elixir of gold, from Bestucheff.	false	708.17	721.84	18.735151
3866_9919_000019_000001	He grew animated on this subject: "The elixir of gold," he exclaimed, "the yellow dye of Bestucheff, General Lamotte's drops, in the eighteenth century,--this was the great remedy for the catastrophes of love, the panacea against Venus, at one louis the half-ounce phial.	He grew animated on this subject: "The elixir of gold," he exclaimed, "the yellow dye of Bestucheff, General Lamotte's drops, in the eighteenth century,--this was the great remedy for the catastrophes of love, the panacea against Venus, at one louis the half ounce phial.	true	722.45	741.15	19.373665
3866_9919_000019_000002	Louis XV. sent two hundred phials of it to the Pope." He would have been greatly irritated and thrown off his balance, had any one told him that the elixir of gold is nothing but the perchloride of iron.	Louis the fifteenth. sent two hundred phials of it to the Pope." He would have been greatly irritated and thrown off his balance, had any one told him that the elixir of gold is nothing but the perchloride of iron.	false	741.15	754.35	20.79774
3866_9919_000019_000003	M. Gillenormand adored the Bourbons, and had a horror of 1789; he was forever narrating in what manner he had saved himself during the Terror, and how he had been obliged to display a vast deal of gayety and cleverness in order to escape having his head cut off.	M. Gillenormand adored the Bourbons, and had a horror of seventeen eighty nine; he was forever narrating in what manner he had saved himself during the Terror, and how he had been obliged to display a vast deal of gayety and cleverness in order to escape having his head cut off.	false	754.35	774.435	18.833738
3866_9919_000019_000004	If any young man ventured to pronounce an eulogium on the Republic in his presence, he turned purple and grew so angry that he was on the point of swooning.	If any young man ventured to pronounce an eulogium on the Republic in his presence, he turned purple and grew so angry that he was on the point of swooning.	false	774.435	785.5	19.918098
3866_9919_000019_000005	He sometimes alluded to his ninety years, and said, "I hope that I shall not see ninety-three twice." On these occasions, he hinted to people that he meant to live to be a hundred.	He sometimes alluded to his ninety years, and said, "I hope that I shall not see ninety three twice." On these occasions, he hinted to people that he meant to live to be a hundred.	false	786.05	804.48	19.838018
