209_4733_000000_000000	CHAPTER V	CHAPTER five	true	19.755	21.01	23.52137
209_4733_000010_000000	"I should have been sorry, Mr. Knightley, to be dependent on _your_ recommendation, had I quitted Mr. Woodhouse's family and wanted another situation; I do not think you would have spoken a good word for me to any body.	"I should have been sorry, mr Knightley, to be dependent on underscore your underscore recommendation, had I quitted mr Woodhouse's family and wanted another situation; I do not think you would have spoken a good word for me to any body.	false	231.65	243.07	21.98562
209_4733_000010_000001	I am sure you always thought me unfit for the office I held."	I am sure you always thought me unfit for the office I held."	true	243.2	246.76	18.231203
209_4733_000011_000000	"Yes," said he, smiling.	"Yes," said he, smiling.	true	247.55	249.43	16.684235
209_4733_000011_000001	"You are better placed _here_; very fit for a wife, but not at all for a governess.	"You are better placed underscore here underscore; very fit for a wife, but not at all for a governess.	false	249.68	254.26	23.883398
209_4733_000011_000002	But you were preparing yourself to be an excellent wife all the time you were at Hartfield.	But you were preparing yourself to be an excellent wife all the time you were at Hartfield.	true	254.63	258.94	22.363861
209_4733_000011_000003	You might not give Emma such a complete education as your powers would seem to promise; but you were receiving a very good education from _her_, on the very material matrimonial point of submitting your own will, and doing as you were bid; and if Weston had asked me to recommend him a wife, I should certainly have named Miss Taylor."	You might not give Emma such a complete education as your powers would seem to promise; but you were receiving a very good education from underscore her underscore, on the very material matrimonial point of submitting your own will, and doing as you were bid; and if Weston had asked me to recommend him a wife, I should certainly have named Miss Taylor."	false	259.43	277.53	23.827415
209_4733_000012_000000	"Thank you.	"Thank you.	true	277.53	278.44	23
209_4733_000012_000001	There will be very little merit in making a good wife to such a man as Mr. Weston."	There will be very little merit in making a good wife to such a man as mr Weston."	true	278.63	282.7	20.785812
209_4733_000013_000000	"Why, to own the truth, I am afraid you are rather thrown away, and that with every disposition to bear, there will be nothing to be borne.	"Why, to own the truth, I am afraid you are rather thrown away, and that with every disposition to bear, there will be nothing to be borne.	true	283.43	291.49	22.54941
209_4733_000013_000001	We will not despair, however.	We will not despair, however.	true	291.92	293.65	25.60263
209_4733_000013_000002	Weston may grow cross from the wantonness of comfort, or his son may plague him."	Weston may grow cross from the wantonness of comfort, or his son may plague him."	true	293.81	298.57	22.476397
209_4733_000014_000000	"I hope not _that_.--It is not likely.	"I hope not underscore that underscore.--It is not likely.	false	299.15	302.02	27.50284
209_4733_000014_000001	No, Mr. Knightley, do not foretell vexation from that quarter."	No, mr Knightley, do not foretell vexation from that quarter."	true	302.24	306.31	22.288136
209_4733_000015_000000	"Not I, indeed.	"Not I, indeed.	true	307.19	308.67	20.769814
209_4733_000015_000001	I only name possibilities.	I only name possibilities.	true	308.67	310.45	20
209_4733_000015_000002	I do not pretend to Emma's genius for foretelling and guessing.	I do not pretend to Emma's genius for foretelling and guessing.	true	310.76	314.14	24
209_4733_000015_000003	I hope, with all my heart, the young man may be a Weston in merit, and a Churchill in fortune.--But Harriet Smith--I have not half done about Harriet Smith.	I hope, with all my heart, the young man may be a Weston in merit, and a Churchill in fortune.--But Harriet Smith-I have not half done about Harriet Smith.	true	314.51	325.36	21.922516
209_4733_000015_000004	I think her the very worst sort of companion that Emma could possibly have.	I think her the very worst sort of companion that Emma could possibly have.	true	325.67	329.8	20.54133
209_4733_000015_000005	She knows nothing herself, and looks upon Emma as knowing every thing.	She knows nothing herself, and looks upon Emma as knowing every thing.	true	330.08	334.27	20.350376
209_4733_000015_000006	She is a flatterer in all her ways; and so much the worse, because undesigned. Her ignorance is hourly flattery.	She is a flatterer in all her ways; and so much the worse, because undesigned. Her ignorance is hourly flattery.	true	334.88	342.52	19.713104
209_4733_000015_000007	How can Emma imagine she has any thing to learn herself, while Harriet is presenting such a delightful inferiority?	How can Emma imagine she has any thing to learn herself, while Harriet is presenting such a delightful inferiority?	true	343.31	350.44	21
209_4733_000015_000008	And as for Harriet, I will venture to say that _she_ cannot gain by the acquaintance.	And as for Harriet, I will venture to say that underscore she underscore cannot gain by the acquaintance.	false	350.9	355.66	21.343576
209_4733_000015_000009	Hartfield will only put her out of conceit with all the other places she belongs to.	Hartfield will only put her out of conceit with all the other places she belongs to.	true	356.03	361.03	23.933533
209_4733_000015_000010	She will grow just refined enough to be uncomfortable with those among whom birth and circumstances have placed her home.	She will grow just refined enough to be uncomfortable with those among whom birth and circumstances have placed her home.	true	361.58	368.32	22
209_4733_000015_000011	I am much mistaken if Emma's doctrines give any strength of mind, or tend at all to make a girl adapt herself rationally to the varieties of her situation in life.--They only give a little polish."	I am much mistaken if Emma's doctrines give any strength of mind, or tend at all to make a girl adapt herself rationally to the varieties of her situation in life.--They only give a little polish."	true	368.78	380.41	23.447575
209_4733_000016_000000	"I either depend more upon Emma's good sense than you do, or am more anxious for her present comfort; for I cannot lament the acquaintance. How well she looked last night!"	"I either depend more upon Emma's good sense than you do, or am more anxious for her present comfort; for I cannot lament the acquaintance. How well she looked last night!"	true	381.62	391.96	23.950459
209_4733_000017_000000	"Oh! you would rather talk of her person than her mind, would you?	"Oh! you would rather talk of her person than her mind, would you?	true	392.63	396.46	20.642996
209_4733_000017_000001	Very well; I shall not attempt to deny Emma's being pretty."	Very well; I shall not attempt to deny Emma's being pretty."	true	396.89	400.48	24.739733
209_4733_000018_000000	"Pretty! say beautiful rather.	"Pretty! say beautiful rather.	true	400.97	403.66	20.78294
209_4733_000018_000001	Can you imagine any thing nearer perfect beauty than Emma altogether--face and figure?"	Can you imagine any thing nearer perfect beauty than Emma altogether-face and figure?"	true	403.79	409.15	21.975332
209_4733_000019_000000	"I do not know what I could imagine, but I confess that I have seldom seen a face or figure more pleasing to me than hers.	"I do not know what I could imagine, but I confess that I have seldom seen a face or figure more pleasing to me than hers.	true	410.9	418.09	21.171566
209_4733_000019_000001	But I am a partial old friend."	But I am a partial old friend."	true	418.49	420.46	22.988811
209_4733_000020_000000	"Such an eye!--the true hazle eye--and so brilliant! regular features, open countenance, with a complexion! oh! what a bloom of full health, and such a pretty height and size; such a firm and upright figure! There is health, not merely in her bloom, but in her air, her head, her glance.	"Such an eye!--the true hazle eye-and so brilliant! regular features, open countenance, with a complexion! oh! what a bloom of full health, and such a pretty height and size; such a firm and upright figure! There is health, not merely in her bloom, but in her air, her head, her glance.	false	421.1	441.1	21.096945
209_4733_000020_000001	One hears sometimes of a child being 'the picture of health;' now, Emma always gives me the idea of being the complete picture of grown-up health.	One hears sometimes of a child being 'the picture of health;' now, Emma always gives me the idea of being the complete picture of grown up health.	true	441.68	450.4	19.952017
209_4733_000020_000002	She is loveliness itself.	She is loveliness itself.	true	450.74	452.58	19.840017
209_4733_000020_000003	Mr. Knightley, is not she?"	mr Knightley, is not she?"	true	452.58	454.39	23.789824
209_4733_000021_000000	"I have not a fault to find with her person," he replied.	"I have not a fault to find with her person," he replied.	true	455.45	458.62	24.019863
209_4733_000021_000001	"I think her all you describe.	"I think her all you describe.	true	458.75	460.9	22.425215
209_4733_000021_000002	I love to look at her; and I will add this praise, that I do not think her personally vain.	I love to look at her; and I will add this praise, that I do not think her personally vain.	true	460.94	466.51	23.501104
209_4733_000021_000003	Considering how very handsome she is, she appears to be little occupied with it; her vanity lies another way.	Considering how very handsome she is, she appears to be little occupied with it; her vanity lies another way.	true	466.82	473.41	20.403341
209_4733_000021_000004	Mrs. Weston, I am not to be talked out of my dislike of Harriet Smith, or my dread of its doing them both harm."	mrs Weston, I am not to be talked out of my dislike of Harriet Smith, or my dread of its doing them both harm."	true	474.17	481	24.228762
209_4733_000022_000000	"And I, Mr. Knightley, am equally stout in my confidence of its not doing them any harm.	"And I, mr Knightley, am equally stout in my confidence of its not doing them any harm.	true	482.03	487.63	25.406603
209_4733_000022_000001	With all dear Emma's little faults, she is an excellent creature.	With all dear Emma's little faults, she is an excellent creature.	true	487.97	491.83	17.928165
209_4733_000022_000002	Where shall we see a better daughter, or a kinder sister, or a truer friend?	Where shall we see a better daughter, or a kinder sister, or a truer friend?	true	492.17	496.93	24.189856
209_4733_000022_000003	No, no; she has qualities which may be trusted; she will never lead any one really wrong; she will make no lasting blunder; where Emma errs once, she is in the right a hundred times."	No, no; she has qualities which may be trusted; she will never lead any one really wrong; she will make no lasting blunder; where Emma errs once, she is in the right a hundred times."	false	497.15	510.9	21.77996
209_4733_000023_000000	"Very well; I will not plague you any more.	"Very well; I will not plague you any more.	true	510.9	513.88	23.055178
209_4733_000023_000001	Emma shall be an angel, and I will keep my spleen to myself till Christmas brings John and Isabella. John loves Emma with a reasonable and therefore not a blind affection, and Isabella always thinks as he does; except when he is not quite frightened enough about the children.	Emma shall be an angel, and I will keep my spleen to myself till Christmas brings john and Isabella. john loves Emma with a reasonable and therefore not a blind affection, and Isabella always thinks as he does; except when he is not quite frightened enough about the children.	true	514.13	530.47	21.92825
209_4733_000023_000002	I am sure of having their opinions with me."	I am sure of having their opinions with me."	true	530.87	533.38	23.379282
209_4733_000024_000000	"I know that you all love her really too well to be unjust or unkind; but excuse me, Mr. Knightley, if I take the liberty (I consider myself, you know, as having somewhat of the privilege of speech that Emma's mother might have had) the liberty of hinting that I do not think any possible good can arise from Harriet Smith's intimacy being made a matter of much discussion among you.	"I know that you all love her really too well to be unjust or unkind; but excuse me, mr Knightley, if I take the liberty (I consider myself, you know, as having somewhat of the privilege of speech that Emma's mother might have had) the liberty of hinting that I do not think any possible good can arise from Harriet Smith's intimacy being made a matter of much discussion among you.	true	534.65	556.36	21.891851
209_4733_000024_000001	Pray excuse me; but supposing any little inconvenience may be apprehended from the intimacy, it cannot be expected that Emma, accountable to nobody but her father, who perfectly approves the acquaintance, should put an end to it, so long as it is a source of pleasure to herself.	Pray excuse me; but supposing any little inconvenience may be apprehended from the intimacy, it cannot be expected that Emma, accountable to nobody but her father, who perfectly approves the acquaintance, should put an end to it, so long as it is a source of pleasure to herself.	true	556.76	573.31	23.298037
209_4733_000024_000002	It has been so many years my province to give advice, that you cannot be surprized, Mr. Knightley, at this little remains of office."	It has been so many years my province to give advice, that you cannot be surprized, mr Knightley, at this little remains of office."	true	573.98	581.35	21.663763
209_4733_000025_000000	"Not at all," cried he; "I am much obliged to you for it.	"Not at all," cried he; "I am much obliged to you for it.	true	582.02	585.85	24.024343
209_4733_000025_000001	It is very good advice, and it shall have a better fate than your advice has often found; for it shall be attended to."	It is very good advice, and it shall have a better fate than your advice has often found; for it shall be attended to."	true	586.16	592.15	20.82599
209_4733_000026_000000	"Mrs. John Knightley is easily alarmed, and might be made unhappy about her sister."	"mrs john Knightley is easily alarmed, and might be made unhappy about her sister."	true	593.48	597.97	18
209_4733_000027_000000	"Be satisfied," said he, "I will not raise any outcry.	"Be satisfied," said he, "I will not raise any outcry.	true	598.67	602.65	26.610382
209_4733_000027_000001	I will keep my ill-humour to myself.	I will keep my ill humour to myself.	true	602.84	605.05	20.356302
209_4733_000027_000002	I have a very sincere interest in Emma.	I have a very sincere interest in Emma.	true	605.33	607.66	17.099096
209_4733_000027_000003	Isabella does not seem more my sister; has never excited a greater interest; perhaps hardly so great.	Isabella does not seem more my sister; has never excited a greater interest; perhaps hardly so great.	true	608.09	614.41	22.276976
209_4733_000027_000004	There is an anxiety, a curiosity in what one feels for Emma.	There is an anxiety, a curiosity in what one feels for Emma.	true	614.93	618.43	21.096725
209_4733_000027_000005	I wonder what will become of her!"	I wonder what will become of her!"	true	618.77	620.68	24.952723
209_4733_000028_000000	"So do I," said Mrs. Weston gently, "very much."	"So do I," said mrs Weston gently, "very much."	true	621.65	626.92	18.786764
209_4733_000029_000000	"She always declares she will never marry, which, of course, means just nothing at all.	"She always declares she will never marry, which, of course, means just nothing at all.	true	626.96	631.75	22.696268
209_4733_000029_000001	But I have no idea that she has yet ever seen a man she cared for.	But I have no idea that she has yet ever seen a man she cared for.	true	632.03	636.16	23.515215
209_4733_000029_000002	It would not be a bad thing for her to be very much in love with a proper object.	It would not be a bad thing for her to be very much in love with a proper object.	true	636.86	640.87	22.36276
209_4733_000029_000003	I should like to see Emma in love, and in some doubt of a return; it would do her good.	I should like to see Emma in love, and in some doubt of a return; it would do her good.	true	641.3	646.45	21.649576
209_4733_000029_000004	But there is nobody hereabouts to attach her; and she goes so seldom from home."	But there is nobody hereabouts to attach her; and she goes so seldom from home."	true	646.94	651.7	22.808508
209_4733_000030_000000	"There does, indeed, seem as little to tempt her to break her resolution at present," said Mrs. Weston, "as can well be; and while she is so happy at Hartfield, I cannot wish her to be forming any attachment which would be creating such difficulties on poor Mr. Woodhouse's account.	"There does, indeed, seem as little to tempt her to break her resolution at present," said mrs Weston, "as can well be; and while she is so happy at Hartfield, I cannot wish her to be forming any attachment which would be creating such difficulties on poor mr Woodhouse's account.	false	652.76	669.52	22.014902
209_4733_000030_000001	I do not recommend matrimony at present to Emma, though I mean no slight to the state, I assure you."	I do not recommend matrimony at present to Emma, though I mean no slight to the state, I assure you."	true	670.04	675.67	21.786594
209_4733_000031_000000	Part of her meaning was to conceal some favourite thoughts of her own and Mr. Weston's on the subject, as much as possible.	Part of her meaning was to conceal some favourite thoughts of her own and mr Weston's on the subject, as much as possible.	true	676.64	684.01	19.785545
209_4733_000031_000001	There were wishes at Randalls respecting Emma's destiny, but it was not desirable to have them suspected; and the quiet transition which Mr. Knightley soon afterwards made to "What does Weston think of the weather; shall we have rain?" convinced her that he had nothing more to say or surmise about Hartfield.	There were wishes at Randalls respecting Emma's destiny, but it was not desirable to have them suspected; and the quiet transition which mr Knightley soon afterwards made to "What does Weston think of the weather; shall we have rain?" convinced her that he had nothing more to say or surmise about Hartfield.	true	684.47	702.78	21.905342
209_4733_000032_000000	CHAPTER VI	CHAPTER six	false	702.78	703.23	-20
209_4733_000033_000000	Emma could not feel a doubt of having given Harriet's fancy a proper direction and raised the gratitude of her young vanity to a very good purpose, for she found her decidedly more sensible than before of Mr. Elton's being a remarkably handsome man, with most agreeable manners; and as she had no hesitation in following up the assurance of his admiration by agreeable hints, she was soon pretty confident of creating as much liking on Harriet's side, as there could be any occasion for. She was quite convinced of Mr. Elton's being in the fairest way of falling in love, if not in love already.	Emma could not feel a doubt of having given Harriet's fancy a proper direction and raised the gratitude of her young vanity to a very good purpose, for she found her decidedly more sensible than before of mr Elton's being a remarkably handsome man, with most agreeable manners; and as she had no hesitation in following up the assurance of his admiration by agreeable hints, she was soon pretty confident of creating as much liking on Harriet's side, as there could be any occasion for. She was quite convinced of mr Elton's being in the fairest way of falling in love, if not in love already.	false	703.23	709.8	20.306793
209_4733_000033_000001	She had no scruple with regard to him.	She had no scruple with regard to him.	false	709.8	710.31	15
209_4733_000033_000002	He talked of Harriet, and praised her so warmly, that she could not suppose any thing wanting which a little time would not add.	He talked of Harriet, and praised her so warmly, that she could not suppose any thing wanting which a little time would not add.	false	710.31	711.66	21.79978
209_4733_000033_000003	His perception of the striking improvement of Harriet's manner, since her introduction at Hartfield, was not one of the least agreeable proofs of his growing attachment.	His perception of the striking improvement of Harriet's manner, since her introduction at Hartfield, was not one of the least agreeable proofs of his growing attachment.	false	711.66	714.81	-20
