5909_287837_000003_000000	CHAPTER X	CHAPTER ten
5909_287837_000064_000006	Not expecting anything of this sort the boy was not holding his breath. The result was that he got a mouthful of water.	Not expecting anything of this sort the boy was not holding his breath. The result was that he got a mouthful of water.
5909_287837_000064_000007	He came up choking, then pretended to go down again.	He came up choking, then pretended to go down again.
5909_287837_000064_000008	Instead he crawled up to the bank, under which he hid.	Instead he crawled up to the bank, under which he hid.
5909_287837_000065_000001	Dippy stepped to the edge of the pool and leaning over peered down somewhat anxiously.	Dippy stepped to the edge of the pool and leaning over peered down somewhat anxiously.
5909_287837_000066_000000	Quick as a flash a pair of arms encircled his neck.	Quick as a flash a pair of arms encircled his neck.
5909_287837_000066_000001	Dippy plunged in head first.	Dippy plunged in head first.
5909_287837_000066_000002	He did not even have time to cry out.	He did not even have time to cry out.
5909_287837_000066_000005	Within sixty seconds from that time half of the crowd were threshing about in the cold waters of the pool, while Tad, who had crawled out, sat on the bank dripping, watching their struggles.	Within sixty seconds from that time half of the crowd were threshing about in the cold waters of the pool, while Tad, who had crawled out, sat on the bank dripping, watching their struggles.
5909_287837_000067_000001	All at once he was picked up in a pair of strong arms and tossed in bodily. Stacy howled lustily.	All at once he was picked up in a pair of strong arms and tossed in bodily. Stacy howled lustily.
5909_287837_000067_000002	Clambering out he squared off for fight, but the only fight he got was another ducking in the pool.	Clambering out he squared off for fight, but the only fight he got was another ducking in the pool.
5909_287837_000068_000001	Don't you know I've been shot?"	Don't you know I've been shot?"
5909_287837_000069_000000	"Shot?"	"Shot?"
5909_287837_000070_000000	"Yes, shot."	"Yes, shot."
5909_287837_000072_000000	"Any of the rest of you kiddies been wounded in the fracas?" demanded Folly.	"Any of the rest of you kiddies been wounded in the fracas?" demanded Folly.
5909_287837_000073_000000	"No, but you've overlooked two of us," announced Ned stepping out.	"No, but you've overlooked two of us," announced Ned stepping out.
5909_287837_000073_000001	"We haven't had our baths yet and I reckon we need them."	"We haven't had our baths yet and I reckon we need them."
5909_287837_000074_000002	They had a rough and tumble scrimmage in the cold water, coming out choking, dripping and laughing.	They had a rough and tumble scrimmage in the cold water, coming out choking, dripping and laughing.
5909_287837_000075_000000	All this made a favorable impression on the Rangers.	All this made a favorable impression on the Rangers.
5909_287837_000075_000001	Boys who could take rough handling such as this, without losing their tempers or even offering any objection, surely must be worth while.	Boys who could take rough handling such as this, without losing their tempers or even offering any objection, surely must be worth while.
5909_287837_000076_000000	"I reckon you kin go back and dry off now," drawled Dippy.	"I reckon you kin go back and dry off now," drawled Dippy.
5909_287837_000077_000000	"Yes, you might fetch me a piece of soap," answered Butler laughingly.	"Yes, you might fetch me a piece of soap," answered Butler laughingly.
5909_287837_000079_000001	But their troubles for the night were not wholly over yet.	But their troubles for the night were not wholly over yet.
5909_287837_000079_000002	Their initiation was not yet complete.	Their initiation was not yet complete.
